director_name,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,content_rating,budget,actor_2_facebook_likes,movie_facebook_likes
Mark Waters,70,169,878,10397365,Comedy|Mystery|Romance,Monica Potter,Head Over Heels ,11693,2165,China Chow,5,apartment|fast motion scene|model|private investigation|suspected murder,104,PG-13,14000000,834,613
Josh Schwartz,90,635,962,9402410,Adventure|Comedy,Thomas McDonell,Fun Size ,11233,3715,Osric Chau,1,adult humor|best friend|friend|halloween|teenage girl,32,PG-13,14000000,925,0
Julian Schnabel,232,177,413,5990075,Biography|Drama,Emmanuelle Seigner,The Diving Bell and the Butterfly ,89906,1372,Isaach De Bankolé,1,arc de triomphe paris|based on autobiography|coma|elle magazine|male frontal nudity,175,PG-13,,412,13000
Todd Field,143,280,14000,5459824,Drama|Romance,Kate Winslet,Little Children ,92781,15337,Jane Adams,0,adulterous wife|bar|dysfunctional marriage|sex offender|suburb,320,R,26000000,617,5000
Davis Guggenheim,49,191,12000,5108820,Drama|Mystery|Thriller,Norman Reedus,Gossip ,12519,12776,Noam Jenkins,5,college|college campus|gossip|rape|sex,112,R,24000000,215,853
Tony Goldwyn,956,113,10000,4741987,Drama,Viggo Mortensen,A Walk on the Moon ,6782,10368,Tovah Feldshuh,1,adulterous wife|cheating wife|summer|unfaithfulness|woodstock,114,R,14000000,233,860
Phillip Noyce,176,15,543,4291965,Biography|Drama|History,Derek Luke,Catch a Fire ,9334,678,Bonnie Henna,3,attack|coach|colonel|jail|oil refinery,59,PG-13,14000000,113,447
Stephen Carpenter,12,102,159,3100650,Drama|Horror|Mystery|Thriller,Melissa Sagemiller,Soul Survivors ,7277,417,Candace Kroslak,4,car accident|college|ghost|girl in panties|white panties,181,PG-13,14000000,102,231
James Ivory,133,5,423,2474000,Biography|Drama|History|Romance,Seth Gilliam,Jefferson in Paris ,2427,446,Nigel Whitmey,1,18th century|ambassador|french revolution|friendship|thomas jefferson,27,PG-13,14000000,15,127
Stephan Elliott,11,548,14000,2656324,Comedy|Romance,Colin Firth,Easy Virtue ,16444,16431,Kris Marshall,4,estate|female frontal nudity|female nudity|no panties|unhappy marriage,79,PG-13,,1000,2000
James Fargo,109,324,16000,1000000,Action|Adventure|History,Christopher Lee,Caravans ,524,17250,Behrouz Vossoughi,0,afghanistan|caravan|rebel|russian|tribe,8,PG,14000000,469,76
Mike Leigh,608,43,149,3958500,Biography|Drama|History,Lesley Manville,Mr. Turner ,17933,390,Karl Johnson,0,prism|rented room|scrofula|sketching|sunrise,165,R,8200000,44,0
Alain Resnais,752,59,412,403649,Drama|Romance,Mathieu Amalric,Wild Grass ,3174,799,Edouard Baer,0,dentist|letter|pilot|skateboard|wallet,31,PG,,74,512
Costa-Gavras,333,284,380,274299,Biography|Crime|Drama|War,Sebastian Koch,Amen. ,11077,1429,Ulrich Mühe,2,jesuit|jew|pope|priest|ss,55,Unrated,103000000,326,0
Chao-Bin Su,2,21,149,,Action,Woo-sung Jung,Reign of Assassins ,6069,243,Kelly Lin,2,martial arts|sword fight|wuxia,34,R,12000000,32,1000
Neil Burger,168,322,697,183088,Comedy|Drama|War,John Heard,The Lucky Ones ,11704,2243,Mark L. Young,0,college tuition|guitar|road trip|soldier|stranded,36,R,15000000,329,702
Kenneth Lonergan,50,338,13000,46495,Drama,Matt Damon,Margaret ,12053,14638,John Gallagher Jr.,1,accident|bus|loss of virginity|new york city|virginity,119,R,14000000,1000,0
Bo Zenga,10,378,826,,Comedy|Horror,Steve Howey,Stan Helsing ,9928,2207,Diora Baird,7,dollar bill|double entendre|escaped convict|halloween|striptease,66,R,,521,934
Rob Reiner,0,767,1000,1752214,Comedy|Drama|Romance,Madeline Carroll,Flipped ,60460,4377,Aidan Quinn,0,apology|falling in love|multiple perspectives|narrated by a girl|younger version of character,104,PG,14000000,872,14000
Ang Lee,0,11000,15000,83025853,Drama|Romance,Jake Gyllenhaal,Brokeback Mountain ,259837,39789,Anne Hathaway,0,gay relationship|homosexuality|mountain|ranch|rodeo,2254,R,14000000,13000,13000
Jonathan Liebesman,473,429,833,190871240,Action|Adventure|Comedy|Sci-Fi,Noel Fisher,Teenage Mutant Ninja Turtles ,167089,2690,Jeremy Howard,0,18 wheeler|mutant|ninja|sewer|turtle,491,PG-13,125000000,809,62000
Amy Heckerling,143,201,927,56631572,Comedy|Romance,Donald Faison,Clueless ,123390,1724,Elisa Donovan,1,female protagonist|high school|makeover|matchmaker|popularity,248,PG-13,12000000,281,0
Todd Haynes,162,135,2000,15854988,Drama|Romance,Dennis Quaid,Far from Heaven ,36542,2447,Michael Gaston,2,african american|catastrophe|family relationships|farewell scene|therapy,378,PG-13,13500000,258,0
Steve Pink,38,390,3000,12282677,Comedy|Sci-Fi,Adam Scott,Hot Tub Time Machine 2 ,28159,4702,Collette Wolfe,4,acid trip|gameshow|hot tub|time lord|time machine,96,R,14000000,837,0
,,2,20,447093,Drama,Krystyna Janda,Dekalog             ,12590,25,Olgierd Lukaszewicz,0,meaning of life|moral challenge|morality|search for meaning|ten commandments,37,TV-MA,,3,0
Philip Kaufman,133,170,14000,7060876,Biography|Drama,Kate Winslet,Quills ,44795,14726,Amelia Warner,1,asylum|lust|male pubic hair|penis|pubic hair,314,R,13500000,230,0
Martin McDonagh,454,816,2000,14989761,Comedy|Crime,Abbie Cornish,Seven Psychopaths ,185845,4757,Michael Stuhlbarg,7,dognapping|gangster|misfiring gun|screenwriter|shih tzu,284,R,15000000,906,52000
Kasi Lemmons,148,400,539,687081,Crime|Drama|Music|Mystery|Thriller,Colm Feore,The Caveman's Valentine ,5602,1767,Aunjanue Ellis,0,chrysler building manhattan new york city|delusion|manhattan new york city|new york city|title directed by female,59,R,,508,329
,,2,70,,Action|Crime|Drama|Thriller,Jacek Koman,The Border             ,271,74,Jaroslaw Boberek,4,,2,,,2,64
Oliver Hirschbiegel,101,471,918,5501940,Biography|Drama|History|War,Thomas Kretschmann,Downfall ,248354,2334,Alexandra Maria Lara,0,bunker|hitler|nazi|no exit|war ruins,564,R,13500000,653,14000
Alejandro Amenábar,448,93,273,2086345,Biography|Drama|Romance,Belén Rueda,The Sea Inside ,64556,529,Tamar Novas,1,dignity|euthanasia|freedom|lawyer|sailor,140,PG-13,10000000,114,0
Jonathan Glazer,143,21,19000,2605039,Drama|Horror|Sci-Fi|Thriller,Scarlett Johansson,Under the Skin ,85022,19086,Alison Chand,0,alien|desire|female nudity|male frontal nudity|scotland,616,R,,50,29000
Barry Levinson,272,227,49000,123922370,Biography|Comedy|Drama|War,Robin Williams,Good Morning, Vietnam ,98348,50141,Bruno Kirby,1,disc jockey|friendship|radio|vietnam|vietnamese,131,R,13000000,263,0
Hyung-rae Shim,26,385,898,163591,Comedy,Jason Mewes,The Last Godfather ,912,2895,Michael Rispoli,5,mafia|mafia boss|mafiosi|mafioso|three word title,17,PG-13,13400000,391,502
Jon M. Chu,209,41,569,73000942,Documentary|Music,Usher Raymond,Justin Bieber: Never Say Never ,74351,714,Boys II Men,1,boyhood friend|manager|plasma tv|prodigy|star,233,G,13000000,69,62000
Darren Aronofsky,0,1000,20000,106952327,Drama|Thriller,Natalie Portman,Black Swan ,551363,38072,Mark Margolis,1,ballerina|ballet|fear|female protagonist|madness,1140,R,13000000,15000,106000
José Padilha,294,1000,10000,58607007,Action|Crime|Sci-Fi|Thriller,Gary Oldman,RoboCop ,182910,14160,Jennifer Ehle,0,law enforcement|police|robocop|robot|technology,630,PG-13,100000000,2000,60000
Francis Ford Coppola,0,3000,22000,57300000,Crime|Drama,Robert De Niro,The Godfather: Part II ,790926,39960,Robert Duvall,1,1950s|corrupt politician|lake tahoe nevada|melancholy|revenge,650,R,13000000,14000,14000
Thomas Carter,49,237,656,91038276,Drama|Music|Romance,Sean Patrick Thomas,Save the Last Dance ,47876,1307,Fredro Starr,0,dance|dancing|ghetto|hip hop|imperative in title,320,PG-13,13000000,363,0
Renny Harlin,212,54,130,49369900,Fantasy|Horror|Thriller,Tuesday Knight,A Nightmare on Elm Street 4: The Dream Master ,36108,450,Brooke Bundy,0,demon|dream|elm street|freddy krueger|nightmare,260,R,7000000,125,0
Patricia Riggen,36,579,3000,61693523,Drama,Jennifer Garner,Miracles from Heaven ,6276,7833,Martin Henderson,0,child cancer|christian film|christianity|falling into a hole|inspiring,55,PG,13000000,3000,16000
Danny Leiner,8,612,3000,46729374,Comedy|Mystery,Jennifer Garner,Dude, Where's My Car? ,116625,6454,Marla Sokoloff,2,bare chested male|gay kiss|homoeroticism|lesbian kiss|transsexual,469,PG-13,13000000,934,0
Christopher Cain,58,316,549,44726644,Action|Crime|Drama|Thriller|Western,Jack Palance,Young Guns ,42614,1747,Brian Keith,5,army|cattle|deputy|new mexico|rancher,120,R,13000000,439,0
Theodore Melfi,51,360,13000,44134898,Comedy|Drama,Bill Murray,St. Vincent ,72803,20330,Reg E. Cathey,3,bullying|grumpy old man|school presentation|stroke|stroke recovery,171,PG-13,13000000,6000,33000
Steve Pink,38,460,833,48637684,Comedy|Romance,Joe Lo Truglio,About Last Night ,16979,2800,Bryan Callen,4,bedroom|boyfriend girlfriend relationship|hug|interrupted sex|urban setting,42,R,12500000,807,0
Gil Junger,19,835,23000,38176108,Comedy|Drama|Romance,Joseph Gordon-Levitt,10 Things I Hate About You ,222099,37907,Andrew Keegan,6,dating|protective father|school|shrew|teen movie,549,PG-13,16000000,13000,10000
Ed Decter,13,301,11000,28972187,Comedy,Zooey Deschanel,The New Guy ,28805,12687,Gene Simmons,1,cheerleader|geek|high school|prison|reference to janet jackson,159,PG-13,13000000,489,1000
Gene Quintano,0,182,11000,27979400,Action|Comedy|Crime,Jon Lovitz,Loaded Weapon 1 ,37611,12322,Bill Nunn,2,cookie|detective|microfilm|parody|sergeant,72,PG-13,8200000,852,0
Jaume Collet-Serra,174,2,619,54257433,Drama|Horror|Thriller,Óscar Jaenada,The Shallows ,12983,971,Sedona Legge,0,beach|island|mexico|prey|trapped,139,PG-13,17000000,350,0
Eric Bress,19,829,8000,23947,Sci-Fi|Thriller,Logan Lerman,The Butterfly Effect ,357579,12755,Cameron Bright,0,blackout|child pornography|memory|surprise ending|time travel,1100,R,13000000,902,15000
Chris Koch,13,329,571,60008303,Adventure|Comedy|Family,Chris Elliott,Snow Day ,9285,2241,Jean Smart,1,meteorologist|snow|snowed in|snowplow|weather,91,PG,13000000,442,0
Preston A. Whitmore II,17,912,1000,49121934,Comedy|Drama|Romance,Mekhi Phifer,This Christmas ,6528,6554,Loretta Devine,9,christmas|family home|musician|piano|secret,32,PG-13,13000000,997,0
Bob Clark,84,782,899,27141959,Comedy|Crime|Family|Sci-Fi,Kathleen Turner,Baby Geniuses ,19547,2936,Ruby Dee,2,baby|boy|science|scientist|toddler,168,PG,18000000,842,0
Kirk Wong,6,459,904,27052167,Action|Comedy|Crime|Thriller,Bokeem Woodbine,The Big Hit ,24834,3353,Antonio Sabato Jr.,5,hitman|kidnapping|kosher|vhs|video store,168,R,13000000,471,934
Bronwen Hughes,15,388,694,26539321,Comedy|Drama|Family,Gregory Smith,Harriet the Spy ,7984,2486,Charlotte Sullivan,1,binoculars|child spy|notebook|secret|spy,42,PG,13000000,558,833
John Lafia,5,435,659,28501605,Fantasy|Horror,Jenny Agutter,Child's Play 2 ,31371,2646,Greg Germann,0,boy|doll|foster home|killer doll|serial killer,166,R,13000000,628,0
Sam Miller,12,334,1000,52543632,Crime|Thriller,Leslie Bibb,No Good Deed ,12676,2297,Henry Simmons,2,home invasion|police officer shot|police officer shot in the chest|psychopath|three word title,84,PG-13,13200000,345,0
Frank Darabont,0,745,2000,25592632,Horror,Toby Jones,The Mist ,220475,5371,Jeffrey DeMunn,0,desperation|fog|giant insect|survival|survival horror,1066,R,18000000,850,20000
Alex Garland,232,123,149,25440971,Drama|Mystery|Sci-Fi|Thriller,Elina Alminas,Ex Machina ,289508,430,Corey Johnson,0,artificial intelligence|robot|robot human relationship|turing test|video surveillance,611,R,15000000,145,109000
Spike Jonze,0,213,512,22858926,Comedy|Drama|Fantasy,Willie Garson,Being John Malkovich ,254404,1171,Mary Kay Place,2,body swap|magical realism|portal|puppeteer|surrealism,840,R,13000000,216,0
Mark Brown,7,405,939,22235901,Comedy|Romance,Mo'Nique,Two Can Play That Game ,4339,2815,Tamala Jones,2,advice|battle of the sexes|lingerie|romantic rivalry|rule,31,R,6000000,890,593
Dave Green,13,140,803,38916903,Adventure|Family|Sci-Fi,Teo Halm,Earth to Echo ,15664,1921,Jason Gray-Stanford,0,alien|bar|construction worker|no opening credits|no title at beginning,149,PG,13000000,587,0
John Stockwell,134,525,4000,16929123,Drama|Romance,Kirsten Dunst,Crazy/Beautiful ,21406,6214,Rolando Molina,2,congressman|high school|latino|pacific palisades|school,169,PG-13,14000000,1000,0
Clint Eastwood,16000,78,378,13753931,Drama|History|War,Yuki Matsuzaki,Letters from Iwo Jima ,132149,751,Shidô Nakamura,0,blood splatter|general|island|japan|world war two,316,R,19000000,85,5000
Michael Polish,35,844,24000,10996440,Adventure|Drama|Sci-Fi,J.K. Simmons,The Astronaut Farmer ,19707,27806,Bruce Dern,0,bank|fbi|fuel|rocket|space travel,128,PG,13000000,912,862
Daisy von Scherler Mayer,18,744,1000,8026971,Comedy|Romance,LL Cool J,Woo ,1520,3352,Dave Chappelle,0,blind date|law clerk|love|manhattan new york city|world trade center manhattan new york city,20,R,13000000,851,204
Lenny Abrahamson,412,491,805,14677654,Drama,Joan Allen,Room ,161288,2499,Cas Anvar,0,based on novel|escape|imprisonment|kidnapping|mother son relationship,351,R,13000000,681,72000
Bob Saget,799,294,721,9975684,Comedy,Don Rickles,Dirty Work ,20033,1805,Traylor Howard,0,cult film|gambling debt|job|off screen murder|revenge,117,PG-13,13000000,359,679
John Waters,0,650,899,7881335,Comedy|Crime|Thriller,Kathleen Turner,Serial Mom ,21212,3092,Traci Lords,4,dentist|housewife|howie scream|murder|perfection,107,R,13000000,849,3000
Andrew Fleming,26,4000,16000,6241697,Comedy,Ryan Reynolds,Dick ,16059,31005,Kirsten Dunst,2,political cover up|political satire|teenage girl|white house|witness,210,PG-13,13000000,8000,0
Niels Arden Oplev,76,75,690,,Action|Crime|Mystery|Thriller,Michael Nyqvist,Del 1 - Män som hatar kvinnor             ,335,998,Lena Endre,0,,,,,94,22
Craig Bolotin,7,730,3000,5871603,Drama|Thriller,Rosario Dawson,Light It Up ,3116,6485,Robert Ri'chard,3,black cop|die hard scenario|hostage negotiator|police|police brutality,39,R,13000000,1000,251
Mark Christopher,15,812,4000,16574731,Drama|Music,Salma Hayek,54 ,27675,6910,Sela Ward,4,angel dust the drug|disco|new york city|quaalude|reference to princess grace of monaco,181,R,13000000,957,0
Blair Hayes,2,690,15000,5002310,Adventure|Comedy|Romance|Sci-Fi,Jake Gyllenhaal,Bubble Boy ,25541,18864,Marley Shelton,0,cigarette smoking|hand on butt|niagara falls|plastic bubble|wedding,181,PG-13,13000000,816,0
Jez Butterworth,16,258,567,4919896,Comedy|Crime|Thriller,Mark Gatiss,Birthday Girl ,21530,1775,Ben Chaplin,1,bank|bank clerk|birthday|mail order bride|russian,159,R,13000000,326,618
Jon Lucas,24,499,552,25675765,Comedy,Justin Chon,21 & Over ,60407,2730,Sarah Wright,0,21st birthday|college student|drunken man|pubic hair|standing up to father,84,R,13000000,528,11000
Olivier Assayas,107,280,12000,4857376,Comedy|Drama|Romance,Steve Buscemi,Paris, je t'aime ,63084,13208,Catalina Sandino Moreno,0,baby|divorce|oscar wilde|pigalle|tourist,123,R,13000000,530,0
Rod Lurie,37,548,748,3169424,Drama|Sport,Harry Lennix,Resurrecting the Champ ,18442,2417,Peter Coyote,1,boxing|colosseum|homeless man|reporter|writer,59,PG-13,13000000,573,689
Paul Weitz,80,252,2000,18004225,Comedy|Drama|Romance,Tina Fey,Admission ,28573,3004,Christopher Evan Welch,2,adoption|female protagonist|princeton university|wedding|working women,87,PG-13,13000000,257,5000
Patrice Leconte,83,8,2000,3058380,Drama|Romance,Emir Kusturica,The Widow of Saint-Pierre ,4767,2389,Yves Jacques,1,archipelago|guillotine|island|prison|redemption,69,R,100000000,370,186
Atom Egoyan,460,73,14000,3074838,Drama|Mystery|Romance|Thriller,Liam Neeson,Chloe ,56264,14372,Natalie Lisinska,2,bare chested boy|doctor|escort|infidelity|prostitute,166,R,11000000,153,0
Paul Mazursky,150,150,979,2104000,Comedy|Crime|Drama,Chazz Palminteri,Faithful ,1595,1679,Paul Mazursky,3,bathroom|bathtub|female protagonist|flashback|kitchen,19,R,13000000,385,69
Jim Sheridan,260,1000,20000,28501651,Drama|Thriller,Natalie Portman,Brothers ,88037,39473,Ethan Suplee,0,afghanistan|death of soldier|presumed dead|prisoner|war trauma,201,R,26000000,15000,10000
Sidney Lumet,0,968,22000,1172769,Biography|Comedy|Crime|Drama,Peter Dinklage,Find Me Guilty ,28068,37606,Alex Rocco,2,court|drugs|judge|mafia|mobster,108,R,13000000,14000,0
Stephen Chbosky,139,850,8000,17738570,Drama|Romance,Logan Lerman,The Perks of Being a Wallflower ,351274,13631,Kate Walsh,2,coming of age|depression|gay|high school|mental illness,457,PG-13,13000000,3000,131000
Jon Hess,29,147,683,1200000,Action,Burt Young,Excessive Force ,922,1139,Thomas Ian Griffith,1,exercise bicycle|face in food|police|police brutality|policeman,23,R,3000000,155,107
Douglas McGrath,41,442,2000,1150403,Biography|Crime|Drama,Toby Jones,Infamous ,14143,3474,Hope Davis,4,blood|book|cold calculation|murder|writer,102,R,13000000,812,0
Michael Winterbottom,187,887,14000,403932,Drama|Romance|Western,Milla Jovovich,The Claim ,5254,17104,Shirley Henderson,4,gold|gold mine|miner|railroad|surveyor,92,R,20000000,900,141
Mark Neveldine,83,794,3000,1712111,Horror|Thriller,Djimon Hounsou,The Vatican Tapes ,7199,7875,Dougray Scott,0,evil|injury|possession|priest|vatican,53,PG-13,8495000,1000,0
Joe Cornish,115,304,1000,1024175,Action|Comedy|Sci-Fi|Thriller,John Boyega,Attack the Block ,82331,2011,Jodie Whittaker,6,alien|alien invasion|apartment|creature|gang,297,R,13000000,305,18000
Angelina Jolie Pitt,11000,116,306,301305,Drama|Romance|War,Jelena Jovanova,In the Land of Blood and Honey ,31414,796,Branko Djuric,0,bosnian war|church|emaciation|soldier|violence,180,R,13000000,164,0
Brad Anderson,122,383,873,51872378,Crime|Thriller,Michael Imperioli,The Call ,88241,2812,Roma Maffia,0,911 operator|calling 911|die hard scenario|head held underwater|white villain,266,R,13000000,461,23000
John H. Lee,32,29,14000,31662,Action|Drama|History|War,Liam Neeson,Operation Chromite ,90,14133,Jung-jae Lee,1,,1,,12620000,81,139
John Stainton,0,234,477,28399192,Action|Adventure|Comedy|Family,Steve Irwin,The Crocodile Hunter: Collision Course ,5663,1483,Steve Bastoni,0,cia|crocodile|satellite|snake|spider,106,PG,13000000,238,332
Glenn Ficarra,43,113,170,2035566,Biography|Comedy|Crime|Drama|Romance,Dameon Clarke,I Love You Phillip Morris ,77305,931,Annie Golden,0,character name in title|con artist|fraud|gay|prison break,162,R,13000000,157,11000
Jean-Jacques Annaud,218,91,581,,Adventure|Drama|History,Rae Dawn Chong,Quest for Fire ,16281,931,Gary Schwartz,0,fire|prehistoric times|primitive|tribe|trio,96,R,12500000,201,0
Denzel Washington,18000,543,18000,21078145,Biography|Drama,Denzel Washington,Antwone Fisher ,26493,20456,Derek Luke,0,black american|extortion|navy|psychiatrist|sailor,159,PG-13,12500000,638,0
Michael Hoffman,97,355,13000,14060950,Drama,Gabriel Millman,The Emperor's Club ,14354,14347,Rob Morrow,1,classroom|fund raising|headmaster|reunion|roman,139,PG-13,12500000,795,0
Tony Scott,12000,975,11000,12281500,Action|Crime|Drama|Romance|Thriller,Brad Pitt,True Romance ,163492,23602,Michael Rapaport,3,aspiring actor|cocaine|drugs|pimp|suitcase full of money,460,R,13000000,10000,15000
Benedek Fliegauf,28,1000,6000,,Drama|Romance|Sci-Fi,Eva Green,Womb ,9957,9244,Hannah Murray,1,clone|love|male nudity|medical ethics|virginity,35,Unrated,3660000,2000,0
James Foley,164,99,18000,10725228,Crime|Drama|Mystery,Kevin Spacey,Glengarry Glen Ross ,75675,32288,Jude Ciccolella,1,office|pressure|real estate|robbery|sales,365,R,12500000,14000,0
Michael Winterbottom,187,204,818,214966,Crime|Drama|Thriller,Liam Aiken,The Killer Inside Me ,28483,1813,Jay R. Ferguson,0,deputy|murder|revenge|sheriff|texas,176,R,13000000,467,0
Paul Schrader,261,697,783,,Fantasy|Horror|Thriller,Ed Begley Jr.,Cat People ,14193,3700,John Heard,1,cat|cat people|leopard|love|slip the undergarment,106,R,18000000,782,0
