director_name,num_critic_for_reviews,actor_2_name,gross,actor_1_name,movie_title,actor_3_name,num_user_for_reviews,country,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Steve Miner,235,Dana Kimmell,36200000,Richard Brooker,Friday the 13th Part III ,Catherine Parks,372,USA,31,5.7,2.35,0
Danny Steinmann,160,Melanie Kinnaman,21300000,Tiffany Helm,Friday the 13th: A New Beginning ,Dominick Brascia,342,USA,27,4.7,1.85,1000
Michael Landon Jr.,18,Louise Fletcher,379643,Henry Thomas,The Last Sin Eater ,A.J. Buckley,29,USA,425,5.9,1.85,285
Jon Gunn,11,Delroy Lindo,12985267,Alexa PenaVega,Do You Believe? ,Madison Pettis,63,USA,848,5.9,,13000
Hayley Cloake,11,Kayla Ewell,,Brian Austin Green,Impact Point ,Linden Ashby,9,USA,399,4.3,,77
Tay Garnett,7,Greer Garson,,Jessica Tandy,The Valley of Decision ,Lionel Barrymore,29,USA,284,7.5,1.37,68
Shyam Madiraju,5,Ethan Peck,,Jessica Lowndes,Eden ,Brad Schmidt,4,Spain,800,4.8,,452
Harmage Singh Kalirai,10,Zohra Segal,,Saeed Jaffrey,Chicken Tikka Masala ,Shobu Kapoor,14,UK,79,5.8,1.85,172
Rita Merson,5,James Wolk,,Ryan Guzman,Always Woodstock ,Jason Ritter,6,USA,938,5.3,,107
Jon Knautz,95,Daniel Kash,,Rachel Skarsten,Jack Brooks: Monster Slayer ,Stefanie Drummond,46,Canada,52,6.0,1.85,870
William Wyler,97,Teresa Wright,23650000,Myrna Loy,The Best Years of Our Lives ,Dana Andrews,235,USA,208,8.1,1.37,0
Larry Clark,76,Nick Stahl,510092,Kelli Garner,Bully ,Brad Renfro,336,USA,648,7.0,1.85,0
Petter Næss,67,Per Christian Ellefsen,313436,Jørgen Langhelle,Elling ,Sven Nordin,95,Norway,21,7.6,1.85,0
Robert Fontaine,4,Arturo Castro,3330,Michael Derek,Mi America ,Brad Lee Wind,1,USA,22,7.2,2.35,305
Jaume Balagueró,252,Pablo Rosso,,Manuela Velasco,[Rec] ,Carlos Lasarte,374,Spain,9,7.5,1.85,15000
Patricia Cardoso,,Martha Higareda,,Rosie Perez,Lies in Plain Sight ,Cheyenne Haynes,4,USA,718,6.3,1.78,162
Dan Perri,1,David Proval,,Travis Myers,Sharkskin ,Carmen Argenziano,1,USA,354,6.7,2.39,14
Neil Mcenery-West,33,Michael Chapman,,Walter Hendrix III,Containment ,Louise Brealey,21,UK,366,4.8,,275
Anthony O'Brien,19,Maria Doyle Kennedy,,James Ransone,The Timber ,Shaun O'Hagan,17,USA,308,5.5,2.35,380
Terence Young,167,Daniela Bianchi,24800000,Robert Shaw,From Russia with Love ,Lois Maxwell,358,UK,201,7.5,1.37,0
Michael Herz,49,Jessica Dublin,792966,Phoebe Legere,The Toxic Avenger Part II ,Lisa Gaye,40,USA,30,5.1,1.33,321
,1,Alan Autry,,Carroll O'Connor,In the Heat of the Night             ,Crystal R. Fox,24,USA,360,7.4,1.33,763
Woody Allen,66,John Beck,,Woody Allen,Sleeper ,Mews Small,128,USA,66,7.3,1.85,0
David Robert Mitchell,533,Ruby Harris,14673301,Maika Monroe,It Follows ,Jake Weary,631,USA,189,6.9,2.35,45000
Woody Allen,50,John Carradine,,Woody Allen,Everything You Always Wanted to Know About Sex * But Were Afraid to Ask ,Lynn Redgrave,78,USA,300,6.8,1.85,0
Robert Mulligan,127,Brock Peters,,Robert Duvall,To Kill a Mockingbird ,William Windom,471,USA,226,8.4,1.85,15000
George Miller,177,Bruce Spence,9003011,Vernon Wells,Mad Max 2: The Road Warrior ,Kjell Nilsson,294,Australia,531,7.6,2.35,0
Chia-Liang Liu,77,Anita Mui,11546543,Andy Lau,The Legend of Drunken Master ,Ho-Sung Pak,146,Hong Kong,147,7.6,2.35,0
Stanley Kubrick,103,Shelley Winters,,James Mason,Lolita ,Lois Maxwell,207,UK,367,7.7,1.66,0
Kimberly Peirce,123,Brendan Sexton III,11533945,Alicia Goranson,Boys Don't Cry ,Jeannetta Arnette,434,USA,148,7.6,1.85,0
Chris Kentis,218,Julia Taylor Ross,12555230,Eric Sheffer Stevens,Silent House ,Adam Trese,154,France,44,5.3,1.85,0
Florian Henckel von Donnersmarck,215,Ulrich Mühe,11284657,Sebastian Koch,The Lives of Others ,Martina Gedeck,407,Germany,284,8.5,2.35,39000
Alex Kendrick,34,Alex Kendrick,34522221,Ben Davies,Courageous ,T.C. Stallings,175,USA,589,7.0,2.35,10000
Robert Rossen,100,Jackie Gleason,,George C. Scott,The Hustler ,Murray Hamilton,167,USA,491,8.0,2.35,0
Jack Conway,12,Spencer Tracy,,Hedy Lamarr,Boom Town ,Claudette Colbert,34,USA,760,7.1,1.37,236
Sylvain Chomet,167,Charles Linton,7002255,Michel Robin,The Triplets of Belleville ,Béatrice Bonifassi,312,France,6,7.8,1.66,0
Chris Eyre,56,Irene Bedard,6719300,Michael Greyeyes,Smoke Signals ,Gary Farmer,132,Canada,752,7.2,1.85,0
Shari Springer Berman,180,James Urbaniak,6003587,Josh Hutcherson,American Splendor ,Daniel Tay,226,USA,119,7.5,1.85,0
Richard Linklater,211,Albert Delpy,5792822,Vernon Dobtcheff,Before Sunset ,Marie Pillet,492,USA,8,8.0,1.85,13000
Alejandro G. Iñárritu,157,Jorge Salinas,5383834,Adriana Barraza,Amores Perros ,Goya Toledo,361,Mexico,79,8.1,1.85,11000
Catherine Hardwicke,126,Sarah Clarke,4599680,Holly Hunter,Thirteen ,Kip Pardue,545,USA,482,6.8,1.85,0
Elia Kazan,61,Celeste Holm,,Dean Stockwell,Gentleman's Agreement ,John Garfield,113,USA,297,7.4,1.37,0
Debra Granik,365,Shelley Waggener,6531491,Jennifer Lawrence,Winter's Bone ,Lauren Sweetser,297,USA,248,7.2,1.85,20000
Kevin Macdonald,121,Brendan Mackey,4581222,Nicholas Aaron,Touching the Void ,Joe Simpson,156,UK,5,8.1,1.85,0
Henry King,10,Don Ameche,,Tyrone Power,Alexander's Ragtime Band ,John Carradine,29,USA,392,7.0,1.37,60
Miranda July,151,Brad William Henke,3885134,Najarra Townsend,Me and You and Everyone We Know ,Miranda July,243,USA,363,7.4,1.85,0
Charles Ferguson,171,George W. Bush,4311834,Matt Damon,Inside Job ,Barney Frank,129,USA,125,8.3,2.35,63000
Max Joseph,158,Emily Ratajkowski,3590010,Vanessa Lengies,We Are Your Friends ,Jonny Weston,60,UK,625,6.1,1.85,0
Jim Jarmusch,167,Gano Grills,3300230,Henry Silva,Ghost Dog: The Way of the Samurai ,Richard Portnow,346,France,147,7.5,1.85,0
David Ayer,118,Christian Bale,3335839,J.K. Simmons,Harsh Times ,Noel Gugliemi,222,USA,23000,7.0,1.85,0
Jerry Jameson,39,Leonor Varela,2557668,David Oyelowo,Captive ,Sydelle Noel,22,USA,426,5.3,1.85,0
Steven Soderbergh,108,Enrico Colantoni,2506446,Julia Roberts,Full Frontal ,Blair Underwood,172,USA,724,4.7,1.85,134
Kevin Tenney,65,Tawny Kitaen,7369373,Kathleen Wilhoite,Witchboard ,Rose Marie,74,UK,194,5.7,1.85,0
,8,Amy Sedaris,,Stephen Colbert,Strangers with Candy             ,Maria Thayer,62,USA,396,8.1,4.0,558
Kenneth Branagh,85,Brian Blessed,4414535,Julie Christie,Hamlet ,Richard Briers,224,UK,591,7.8,2.2,0
John Cameron Mitchell,160,Peter Stickles,1984378,Sook-Yin Lee,Shortbus ,Raphael Barker,206,USA,51,6.5,1.78,0
Ari Folman,231,Ronny Dayag,2283276,Ari Folman,Waltz with Bashir ,Zahava Solomon,156,Israel,0,8.0,1.85,0
Gary Rogers,7,Kirby Heyborne,1098224,Noah Danby,The Book of Mormon Movie, Volume 1: The Journey ,Bruce Newbold,30,USA,69,3.3,1.85,32
Charles Ferguson,79,Dick Cheney,1430185,Campbell Scott,No End in Sight ,Donald Rumsfeld,55,USA,21,8.3,1.85,0
Marielle Heller,168,David Fine,1477002,Alexander Skarsgård,The Diary of a Teenage Girl ,Austin Lyon,72,USA,1000,6.9,2.35,0
,1,Jon Tenney,,Anne Hathaway,Get Real             ,Debrah Farentino,26,USA,289,7.3,1.33,43
David Sington,107,Buzz Aldrin,1134049,John F. Kennedy,In the Shadow of the Moon ,Neil Armstrong,44,UK,142,8.1,1.85,0
Kelly Reichardt,200,Zoe Kazan,977600,Bruce Greenwood,Meek's Cutoff ,Shirley Henderson,98,USA,962,6.5,1.33,0
Fenton Bailey,123,Bill Maher,653621,Hugh M. Hefner,Inside Deep Throat ,Linda Lovelace,64,USA,334,6.8,1.85,592
Bob Giraldi,39,Manny Perez,110000,Danny Aiello,Dinner Rush ,Ajay Naidu,73,USA,159,7.3,1.85,495
Jill Sprecher,41,Bob Balaban,444354,Alanna Ubach,Clockwatchers ,Jamie Kennedy,111,UK,559,6.4,,166
Huck Botko,46,Krysta Rodriguez,535249,Matt Bennett,The Virginity Hit ,Zack Pearlman,13,USA,131,4.6,1.85,974
Luc Besson,30,Isabelle Adjani,,Christopher Lambert,Subway ,Jean-Hugues Anglade,45,France,572,6.5,2.35,739
David Duchovny,46,Mark Margolis,371081,Robin Williams,House of D ,Frank Langella,86,USA,1000,7.0,1.85,857
Mitchell Lichtenstein,221,Nathan Parsons,347578,Jess Weixler,Teeth ,John Hensley,161,USA,357,5.4,1.85,17000
Lance Mungia,51,Stephane Gauger,124494,Jeffrey Falcon,Six-String Samurai ,Kim De Angelo,102,USA,3,6.7,1.85,0
Kundan Shah,1,Bobby Deol,,Karisma Kapoor,Hum To Mohabbat Karega ,Shakti Kapoor,1,India,89,2.8,,10
Michael Dowse,58,Neil Maskell,120620,Paul Kaye,It's All Gone Pete Tong ,Kate Magowan,67,UK,246,7.4,2.35,0
Hue Rhodes,45,Steve Buscemi,100669,Peter Dinklage,Saint John of Las Vegas ,Romany Malco,11,USA,12000,5.8,2.35,407
Shane Meadows,44,Annette Badland,,Bob Hoskins,24 7: Twenty Four Seven ,Karl Collins,21,UK,497,7.1,1.85,224
Roland Emmerich,74,Caleb Landry Jones,186354,Jeremy Irvine,Stonewall ,Matt Craven,30,USA,463,4.5,2.35,0
,20,Colin Ferguson,,Joe Morton,Eureka             ,Salli Richardson-Whitfield,136,USA,747,7.9,1.78,3000
Jugal Hansraj,6,Sanjay Mishra,55202,Saif Ali Khan,Roadside Romeo ,Javed Jaffrey,17,India,85,5.3,2.35,39
Danny Provenzano,5,Frank Vincent,,Vincent Pastore,This Thing of Ours ,Chuck Zito,18,USA,356,5.4,1.85,61
Bill Muir,10,Jansen Panettiere,549632,Alex Kendrick,The Lost Medallion: The Adventures of Billy Stone ,Tiya Sircar,16,Thailand,488,4.8,2.35,715
Richard LaGravenese,81,Jeremy Jordan,137945,Anna Kendrick,The Last Five Years ,Charly Bivona,40,USA,773,5.9,2.35,0
Noah Buschel,66,Amy Ryan,17580,Merritt Wever,The Missing Person ,Paul Adelstein,23,USA,423,6.2,1.85,195
Brian Yuzna,46,Kent McCord,,Melinda Clarke,Return of the Living Dead III ,Sarah Douglas,130,USA,196,5.9,1.85,810
Hunter Richards,34,Chris Evans,12667,Jason Statham,London ,Dane Cook,90,UK,11000,6.6,2.35,0
Laurie Collyer,78,Kate Burton,198407,Brad William Henke,Sherrybaby ,Michelle Hurst,78,USA,223,6.6,1.85,474
Bruce McCulloch,52,Megan Mullally,13973532,Martin Starr,Stealing Harvard ,Chris Penn,92,USA,637,5.1,1.85,215
Aaron Hann,29,Michael McLafferty,,Jordi Vilasuso,Circle ,Kaiwi Lyman-Mersereau,59,USA,152,6.0,,0
James Watkins,161,Jack O'Connell,5824,Michael Fassbender,Eden Lake ,Lorraine Stanley,357,UK,698,6.8,2.35,0
Catherine Hardwicke,18,James Kyson,2843,Frances Fisher,Plush ,Marlene Forte,24,USA,449,5.4,1.78,604
Phil Claydon,107,James Corden,,MyAnna Buring,Vampire Killers ,Silvia Colloca,91,UK,480,5.2,2.35,0
Ralph Ziman,30,Kenneth Nkosi,4958,Rapulana Seiphemo,Gangster's Paradise: Jerusalema ,Robert Hobbs,23,South Africa,18,7.8,2.35,1000
John Simpson,24,Lee Evans,,Colin Salmon,Freeze Frame ,Ian McNeice,41,UK,312,6.4,2.35,205
Colin Minihan,116,Sean Rogerson,,Mackenzie Gray,Grave Encounters ,Ashleigh Gryzko,235,Canada,113,6.1,1.78,0
Conor McMahon,98,Tommy Knight,,Peter McQuinn,Stitches ,Jemma Curran,53,Ireland,94,5.7,1.85,0
Chris Shadley,25,William Lee Scott,,Daniel Baldwin,Nine Dead ,Marc Macaulay,64,USA,167,5.5,2.35,0
Simon Napier-Bell,,Tim Rice,,Alice Cooper,To Be Frank, Sinatra at 100 ,Louis Walsh,,UK,27,7.4,,0
Woody Allen,40,Charlotte Rae,,Woody Allen,Bananas ,Louise Lasser,105,USA,430,7.1,1.37,0
Simon Yin,20,Linus Roache,13220,Paul Sheehan,Supercapitalist ,Kathy Uyen,9,USA,303,3.9,,115
Jeff Crook,8,Mario Cimarro,,Nicholas Gonzalez,Rockaway ,Ricardo Chavira,6,USA,453,4.6,2.35,44
,19,Tim Daly,,Steven Weber,Wings             ,Amy Yasbeck,56,USA,511,7.3,1.33,1000
Orson Welles,90,Everett Sloane,7927,Rita Hayworth,The Lady from Shanghai ,Ted de Corsia,175,USA,29,7.7,1.37,0
Dave Payne,21,Lew Temple,,Mircea Monroe,No Man's Land: The Rise of Reeker ,Robert Pine,31,USA,597,4.9,1.78,153
James Cox,12,M.C. Gainey,,Jake Gyllenhaal,Highway ,Mark Rolston,67,USA,284,6.3,2.35,912
Jonas Åkerlund,33,Saffron Burrows,,Noel Gugliemi,Small Apartments ,Matt Lucas,26,USA,811,6.1,1.85,0
Brad Copeland,9,Ben Schwartz,,Sunil Narkar,Coffee Town ,Glenn Howerton,19,USA,463,6.6,2.35,0
Paul Bunnell,94,Kevin McCarthy,2436,Kate Maberly,The Ghastly Love of Johnny X ,Paul Williams,19,USA,403,5.7,2.35,655
Phil Morrison,41,Curtiss Cook,4556,Sally Hawkins,All Is Bright ,Peter Hermann,23,USA,591,5.6,,825
Harald Reinl,38,Lex Barker,,Christopher Lee,The Torture Chamber of Dr. Sadism ,Karin Dor,36,West Germany,57,6.0,1.66,200
James Cox,12,Powers Boothe,,Jon Mack,Straight A's ,Josh Meyers,20,USA,472,5.7,,0
Richard Lester,25,Zero Mostel,,Buster Keaton,A Funny Thing Happened on the Way to the Forum ,Phil Silvers,72,USA,164,7.0,1.85,805
Michael Moore,27,Eddie Vedder,,Michael Moore,Slacker Uprising ,Steve Earle,15,USA,562,5.3,,69
Tanner Beard,2,Kevin Alejandro,,William McNamara,The Legend of Hell's Gate: An American Conspiracy ,Glenn Morshower,14,USA,1000,4.4,,651
Scott Dow,23,Wray Crawford,,Trenton Rostedt,The Walking Deceased ,Dave Sheridan,25,USA,418,3.4,,0
Derick Martini,32,Bella Heathcote,,Kevin Zegers,The Curse of Downers Grove ,Tom Arnold,22,USA,860,4.5,,0
Jerry Dugan,18,Michael Aaron Milligan,,Melissa Bolona,Shark Lake ,James Chalke,17,USA,1000,3.4,,728
Tim Hunter,45,Daniel Roebuck,4600000,Keanu Reeves,River's Edge ,Ione Skye,111,USA,1000,7.1,1.85,0
Michael Polish,60,Anthony Edwards,1420578,Peter Coyote,Northfork ,Jon Gries,122,USA,495,6.4,2.35,298
William Kaufman,23,Mike 'The Miz' Mizanin,,Paul McGillion,The Marine 4: Moving Target ,David Lewis,15,USA,217,5.2,1.78,620
Rodrigo Cortés,363,Samantha Mathis,1028658,Ryan Reynolds,Buried ,Erik Palladino,447,Spain,517,7.0,2.35,24000
Richard Ayoade,249,Paddy Considine,466702,Craig Roberts,Submarine ,Sally Hawkins,100,UK,680,7.3,1.85,17000
Jehane Noujaim,68,Ahmed Hassan,,Khalid Abdalla,The Square ,Aida Elkashef,42,Egypt,10,8.1,1.85,0
Pascal Arnold,14,Lizzie Brocheré,18435,Karl E. Landler,One to Another ,Pierre Perrier,15,France,323,5.8,1.85,104
Kimberly Peirce,359,Judy Greer,35266619,Chloë Grace Moretz,Carrie ,Portia Doubleday,371,USA,2000,5.9,2.35,39000
Remo,15,Remo,95236,Lauren Gottlieb,ABCD (Any Body Can Dance) ,Prabhudheva,38,India,168,6.4,,1000
Wes Craven,256,Lin Shaye,26505000,Johnny Depp,A Nightmare on Elm Street ,Amanda Wyss,668,USA,852,7.5,1.85,10000
James Marsh,194,Philippe Petit,2957978,Paul McGill,Man on Wire ,Jean-Louis Blondeau,134,UK,27,7.8,1.85,0
John Laing,,Peter Feeney,,Siobhan Marshall,Abandoned ,Rachel Nash,6,New Zealand,40,6.3,,213
Jamal Hill,10,Adam Ratcliffe,444044,Logan Browning,Brotherly Love ,Faizon Love,19,USA,606,7.2,1.85,1000
Daniel Stamm,311,Ashley Bell,40990055,Caleb Landry Jones,The Last Exorcism ,Patrick Fabian,300,France,400,5.6,1.85,0
Sam Taylor-Johnson,205,Ophelia Lovibond,1445366,Kristin Scott Thomas,Nowhere Boy ,Anne-Marie Duff,75,UK,548,7.2,2.35,10000
Elia Kazan,94,Karl Malden,,Marlon Brando,A Streetcar Named Desire ,Kim Hunter,233,USA,416,8.0,1.37,5000
Stanley Kubrick,192,Slim Pickens,,George C. Scott,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,Keenan Wynn,839,USA,575,8.5,1.66,18000
Carlos Carrera,85,Ana Claudia Talancón,5709616,Damián Alcázar,El crimen del padre Amaro ,Pedro Armendáriz Jr.,110,Mexico,163,6.8,1.85,544
Benh Zeitlin,663,Gina Montana,12784397,Quvenzhané Wallis,Beasts of the Southern Wild ,Dwight Henry,269,USA,458,7.3,1.85,31000
J. Lee Thompson,62,Paul Williams,,Roddy McDowall,Battle for the Planet of the Apes ,Claude Akins,91,USA,356,5.5,2.35,511
Maggie Greenwald,39,David Patrick Kelly,3050934,Aidan Quinn,Songcatcher ,Jane Adams,78,USA,380,7.3,1.85,0
Vera Farmiga,68,Bill Irwin,841206,Donna Murphy,Higher Ground ,Michael Chernus,34,USA,471,6.3,1.85,952
Vijay Chandar,3,T.R. Silambarasan,,Hansika Motwani,Vaalu ,Brahmanandam,6,India,77,5.1,,82
Morgan Spurlock,130,J.J. Abrams,638476,Quentin Tarantino,The Greatest Movie Ever Sold ,Donald Trump,45,USA,14000,6.6,,0
Jonathan Wacks,13,Gary Farmer,,Steve Buscemi,Ed and His Dead Mother ,Jon Gries,17,USA,580,6.1,1.78,266
Khyentse Norbu,44,Lhakpa Dorji,505295,Tshewang Dendup,Travelers and Magicians ,Sonam Kinga,28,Australia,0,7.5,1.85,353
Ted Post,26,Bruce Dern,,Clint Eastwood,Hang 'Em High ,Alan Hale Jr.,109,USA,844,7.0,1.85,0
Richard Brooks,27,Jim Backus,,Humphrey Bogart,Deadline - U.S.A. ,Kim Hunter,28,USA,399,7.2,1.37,169
Tony Krantz,53,Tom Cavanagh,,George Newbern,Sublime ,Cas Anvar,103,USA,642,5.3,2.35,368
Mitchell Altieri,,Luke Edwards,,Kimberley Crossman,A Beginner's Guide to Snuff ,Bree Williamson,,USA,258,8.7,,8
W.D. Hogan,10,Keenan Tracey,,Tom Everett Scott,Independence Daysaster ,Nicholas Carella,12,Canada,108,3.4,,566
Corey Grant,4,Essence Atkins,,Christian Keyes,Dysfunctional Friends ,Tatyana Ali,8,USA,713,5.4,1.85,569
Tom Tykwer,181,Ludger Pistor,7267324,Moritz Bleibtreu,Run Lola Run ,Armin Rohde,709,Germany,37,7.8,1.85,0
Lucky McKee,114,Will Estes,145540,James Duval,May ,Nora Zehetner,277,USA,461,6.7,1.85,0
Richard Boddington,11,CJ Adams,,Natasha Henstridge,Against the Wild ,Erin Pitt,9,Canada,450,4.7,,326
David Hunt,1,Chris Cleveland,,Matthew Alan,Living Dark: The Story of Ted the Caver ,Circus-Szalewski,1,USA,42,6.3,1.85,73
Patricia Riggen,75,Eugenio Derbez,12589108,America Ferrera,Under the Same Moon ,Kate del Castillo,58,Mexico,399,7.4,1.85,0
J. Lee Thompson,80,Gordon Jump,,Roddy McDowall,Conquest of the Planet of the Apes ,John Randolph,95,USA,70,6.1,2.35,794
Todd Field,179,Sissy Spacek,35918429,Tom Wilkinson,In the Bedroom ,Karen Allen,510,USA,874,7.5,2.35,951
Steven R. Monroe,225,Chad Lindberg,92401,Sarah Butler,I Spit on Your Grave ,Daniel Franzese,209,USA,445,6.3,2.35,17000
Mark Illsley,77,Illeana Douglas,1943649,Ally Walker,Happy, Texas ,Jeremy Northam,122,USA,347,6.3,1.85,374
Pawel Pawlikowski,124,Natalie Press,992238,Paddy Considine,My Summer of Love ,Dean Andrews,103,UK,46,6.8,1.85,869
Ritesh Batra,195,Nimrat Kaur,4231500,Nawazuddin Siddiqui,The Lunchbox ,Lillete Dubey,162,India,85,7.8,2.35,16000
Sally Potter,76,Joan Allen,396035,Shirley Henderson,Yes ,Stephanie Leonidas,48,UK,805,6.9,1.85,305
Frank Capra,51,Ann Miller,,Jean Arthur,You Can't Take It with You ,Lionel Barrymore,133,USA,302,8.0,1.37,0
Fred Zinnemann,101,Donna Reed,,Montgomery Clift,From Here to Eternity ,Deborah Kerr,150,USA,488,7.8,1.37,0
John Ford,55,Ben Johnson,,Harry Carey Jr.,She Wore a Yellow Ribbon ,Victor McLaglen,90,USA,230,7.4,1.37,721
Brad J. Silverman,15,Michael Welch,2507106,Shawnee Smith,Grace Unplugged ,Anthony Reynolds,21,USA,611,6.1,,0
Dave Meyers,16,Clifton Powell,6026908,Eddie Griffin,Foolish ,Marla Gibbs,13,USA,469,4.3,,43
David M. Matthews,5,Lamman Rucker,2592808,Essence Atkins,N-Secure ,Tempestt Bledsoe,15,USA,607,3.5,2.35,588
Nadine Labaki,109,Adel Karam,1060591,Yasmine Al Massri,Caramel ,Nadine Labaki,66,France,4,7.2,1.85,0
Lluís Quílez,40,Pixie Davies,,Stephen Rea,Out of the Dark ,Alejandro Furth,18,USA,51,4.7,2.35,844
Eytan Fox,51,Lior Ashkenazi,155972,Ohad Knoller,The Bubble ,Yousef 'Joe' Sweid,23,Israel,30,7.3,,0
Francis Ford Coppola,149,Teri Garr,,Harrison Ford,The Conversation ,Cindy Williams,313,USA,481,7.9,1.37,6000
Romesh Sharma,4,Revathy,129319,Annabelle Wallis,Dil Jo Bhi Kahey... ,Bhoomika Chawla,4,India,96,5.1,,9
François Truffaut,35,Jean-Paul Belmondo,26893,Catherine Deneuve,Mississippi Mermaid ,Michel Bouquet,26,France,710,7.2,2.35,278
Adam Goldberg,22,Marisa Coughlan,2580,Judy Greer,I Love Your Work ,Nicky Katt,40,USA,163,5.4,2.35,63
Travis Zariwny,68,Gage Golightly,,Dustin Ingram,Cabin Fever ,Samuel Davis,40,USA,253,3.7,,2000
Zack Snyder,287,Kevin Zegers,58885635,Ty Burrell,Dawn of the Dead ,Mekhi Phifer,1057,USA,2000,7.4,2.35,7000
Adrienne Shelly,173,Cheryl Hines,19067631,Lew Temple,Waitress ,Eddie Jemison,204,USA,541,7.1,1.85,0
Newt Arnold,61,Donald Gibb,11806119,Bolo Yeung,Bloodsport ,Ken Siu,210,USA,403,6.8,1.85,0
Frank Capra,96,Jean Arthur,,Claude Rains,Mr. Smith Goes to Washington ,Thomas Mitchell,245,USA,319,8.2,1.37,0
Larry Clark,71,Leo Fitzpatrick,7417210,Rosario Dawson,Kids ,Justin Pierce,408,USA,202,7.0,1.85,0
Noah Baumbach,110,Elizabeth Meriwether,7362100,William Baldwin,The Squid and the Whale ,Owen Kline,232,USA,25,7.4,1.85,0
Charles Herman-Wurmfeld,110,Jennifer Westfeldt,7022940,Scott Cohen,Kissing Jessica Stein ,Brian Stepanek,190,USA,321,6.7,1.85,682
Yimou Zhang,101,Ni Yan,190666,Honglei Sun,A Woman, a Gun and a Noodle Shop ,Dahong Ni,20,China,4,5.7,2.35,784
John Stockwell,2,T.J. Storm,,Matthew Ziff,Kickboxer: Vengeance ,Sam Medina,1,USA,454,9.1,,0
Alfred Hitchcock,97,Rhonda Fleming,,Norman Lloyd,Spellbound ,Leo G. Carroll,161,USA,239,7.6,1.37,0
Atom Egoyan,53,Mia Kirshner,5132222,Bruce Greenwood,Exotica ,Sarah Polley,83,Canada,971,7.2,1.85,619
Vincent Gallo,106,Vincent Gallo,2365931,Anjelica Huston,Buffalo '66 ,Jan-Michael Vincent,318,USA,787,7.5,1.85,0
James Wan,445,Barbara Hershey,53991137,Lin Shaye,Insidious ,Philip Friedman,752,USA,618,6.8,2.35,60000
Alex Cox,131,Tracey Walter,,Del Zamora,Repo Man ,Miguel Sandoval,148,USA,324,6.9,1.85,0
Fabián Bielinsky,94,Gastón Pauls,1221261,Ricardo Darín,Nine Queens ,Leticia Brédice,125,Argentina,22,7.9,1.85,0
Dror Moreh,105,Yuval Diskin,2408553,Ami Ayalon,The Gatekeepers ,Yaakov Peri,33,Israel,0,7.6,1.85,0
Rebecca Miller,75,Susanna Thompson,712294,Beau Bridges,The Ballad of Jack and Rose ,Ryan McDonald,68,USA,265,6.7,1.66,608
Maggie Carey,97,Alia Shawkat,3447339,Donald Glover,The To Do List ,Scott Porter,79,USA,727,5.8,1.78,0
Roger Avary,37,Salvator Xuereb,418953,Eric Stoltz,Killing Zoe ,Jean-Hugues Anglade,93,France,424,6.5,1.85,853
Henry Bean,84,Theresa Russell,406035,Ryan Gosling,The Believer ,Summer Phoenix,159,USA,243,7.2,1.66,0
David Gordon Green,88,Connor Paolo,402820,Michael Angarano,Snow Angels ,Tom Noonan,57,USA,530,6.9,2.35,415
Simeon Rice,6,Lisa Brave,,Ward G. Smith,Unsullied ,Malone Thomas,3,USA,191,5.5,2.35,307
Brad Anderson,127,Brendan Sexton III,373967,Paul Guilfoyle,Session 9 ,Larry Fessenden,481,USA,148,6.5,2.35,0
Jeff Garlin,32,Jeff Garlin,194568,Jessy Schram,I Want Someone to Eat Cheese With ,Joey Slotnick,28,USA,522,6.2,1.85,0
Qasim Basir,8,Nia Long,,Dorian Missick,Mooz-Lum ,Evan Ross,14,USA,826,6.7,,0
Adam Green,229,Kane Hodder,,Joel David Moore,Hatchet ,Joel Murray,235,USA,935,5.7,1.85,0
Charles Chaplin,120,Stanley Blystone,163245,Paulette Goddard,Modern Times ,Fred Malatesta,211,USA,8,8.6,1.37,0
Pete Jones,31,Aidan Quinn,119841,Brian Dennehy,Stolen Summer ,Bonnie Hunt,55,USA,767,6.5,1.85,304
Bruce Campbell,100,Dan Hicks,173066,Ted Raimi,My Name Is Bruce ,Timothy Patrick Quill,88,USA,328,6.3,1.85,0
Mark Brown,14,Monica Calhoun,92362,Vivica A. Fox,The Salon ,Garrett Morris,5,USA,597,4.3,1.85,68
Adam Carolla,14,Jim O'Heir,105943,Jay Mohr,Road Hard ,David Alan Grier,11,USA,485,6.1,,212
Ira Sachs,39,Jenny O'Hara,,Rip Torn,Forty Shades of Blue ,Darren E. Burrows,26,USA,189,6.0,1.85,216
John Sayles,35,John Arcilla,183490,Brian Lee Franklin,Amigo ,Ronnie Lazaro,8,USA,8,5.8,,594
Bruce McDonald,178,Georgina Reilly,3478,Stephen McHattie,Pontypool ,Boyd Banks,142,Canada,98,6.7,2.35,0
James Mottern,46,Joey Lauren Adams,52166,Jimmy Bennett,Trucker ,Matthew Lawrence,22,USA,781,6.7,2.35,371
Jaime Zevallos,,Jaime Zevallos,,Angela Sarafyan,Me You and Five Bucks ,Michael Elian,,USA,228,7.6,,132
Rob Zombie,234,Dee Wallace,1163508,Sid Haig,The Lords of Salem ,Michael Berryman,166,USA,725,5.1,2.35,15000
