director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_2_name,genres,actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,plot_keywords,num_user_for_reviews,budget
Justin Chadwick,211,141,56,Fana Mokoena,Biography|Drama|History,Terry Pheto,21223,301,Tony Kgoroge,africa|apartheid|nelson mandela|president|resistance,108,35000000
Warren Beatty,57,195,631,Warren Beatty,Biography|Drama|History|Romance,Paul Sorvino,16255,2291,M. Emmet Walsh,cold war|cold war era|interview|russia|written and directed by cast member,127,35000000
Rob Reiner,81,138,0,Demi Moore,Drama|Thriller,Tom Cruise,181879,14619,Kevin Pollak,cuba|guantanamo|lance corporal|lawyer|murder,319,40000000
Andrzej Bartkowiak,107,101,43,Bill Duke,Action|Comedy|Crime|Drama|Thriller,Michael Jai White,27580,5942,Bruce McGill,corrupt cop|drug dealer|drugs|heroin|vice president,232,33000000
Raja Gosnell,100,99,67,Cedric the Entertainer,Action|Comedy|Crime,Nia Long,66941,1790,Tichina Arnold,disguise|fbi|female impersonation|gender disguise|obesity,148,30000000
Jeremy Degruson,60,85,0,Brianne Brozey,Adventure|Animation|Comedy|Family|Fantasy,Kyle Hebert,4265,369,Joe Ochman,,16,34000000
Chris Gorak,195,89,21,Veronika Vernadskaya,Action|Adventure|Horror|Sci-Fi|Thriller,Max Minghella,49312,843,Dato Bakhtadze,alien|aurora borealis|critically bashed|killing an animal|nightclub,211,30000000
Scott Speer,121,99,35,Stephen Boss,Drama|Music|Romance,Ryan Guzman,45394,4863,Misha Gabriel Hamilton,3 dimensional|dance|dancer|dancing|flash mob,72,33000000
David R. Ellis,285,105,160,Kenan Thompson,Action|Adventure|Crime|Drama|Thriller,Lin Shaye,115649,2604,Rachel Blanchard,baby rattle|famous line|murder|passenger|snake,1033,33000000
Joe Charbanic,103,97,10,Joseph Sikora,Crime|Horror|Mystery|Thriller,Keanu Reeves,22220,18688,Chris Ellis,fbi|murder|scene of the crime|serial killer|therapy,181,33000000
Jonathan Hensleigh,192,140,36,Marco St. John,Action|Crime|Drama|Thriller,Laura Harring,124242,2114,Eddie Jemison,death|family reunion|fbi|fbi agent|vigilante,622,33000000
Danny Cannon,90,118,41,Kuno Becker,Drama|Romance|Sport,Sean Pertwee,50919,2859,Stephen Dillane,barrio|border|newcastle united|party|soccer,114,10000000
Boaz Yakin,258,94,132,Reggie Lee,Action|Crime|Thriller,Jason Statham,83097,27759,Robert John Burke,bodyguard|gang war|russian|russian mafia|triad,134,30000000
Mike Newell,56,124,179,Kurt Fuller,Comedy|Drama|Romance,Angelina Jolie Pitt,24826,13093,Jake Weber,air traffic control|air traffic controller|female bodybuilder|job|marriage,175,38000000
Richard Marquand,197,134,37,Ian McDiarmid,Action|Adventure|Fantasy|Sci-Fi,Harrison Ford,681857,13649,Kenny Baker,death star|emperor|empire|princess|rebel,647,32500000
Neil Marshall,254,113,197,Jason Cope,Action|Sci-Fi|Thriller,Ryan Kruger,62770,391,Jeremy Crutchley,cure|quarantine|scotland|virus|wall,396,30000000
Stephen Daldry,299,124,335,David Kross,Drama|Romance,Kate Winslet,189812,14504,Susanne Lothar,love|reading|teaching oneself to read|trial|war crime,370,32000000
David Wain,163,98,136,Lauren Ambrose,Comedy,Justin Theroux,62198,4151,Joe Lo Truglio,childbirth|female frontal nudity|nude protest|nudist|skinny dipping,139,
Jon Favreau,152,97,4000,Zooey Deschanel,Comedy|Family|Fantasy|Romance,Peter Dinklage,147597,43354,Will Ferrell,baby|christmas spirit|elf|new york city|north pole,395,33000000
Jon Turteltaub,53,123,226,Kyra Sedgwick,Drama|Fantasy|Romance|Sci-Fi,Robert Duvall,63839,5975,David Gallagher,brain tumor|genius|psionic power|telekinesis|terminal illness,118,32000000
Brian Levant,67,99,32,Nichelle Nichols,Adventure|Comedy|Family|Sport,James Coburn,20219,2916,M. Emmet Walsh,dentist|dog|inheritance|race|sled dog,100,35000000
Richard Donner,88,101,503,Alfre Woodard,Comedy|Drama|Fantasy,Bill Murray,61396,18734,Robert Mitchum,christmas|compassion|executive|ghost|redemption,159,32000000
Jared Hess,163,92,100,Moises Arias,Comedy|Family|Sport,Ana de la Reguera,65551,1729,Héctor Jiménez,lucha libre|monastery|nun|orphan|wrestling,441,32000000
Paul Feig,371,131,176,Wendi McLendon-Covey,Comedy|Romance,Matt Lucas,218711,3229,Steve Bannos,best friend|failure|food|job|partial female nudity,485,32500000
Evan Goldberg,418,107,133,James Franco,Comedy|Fantasy,Channing Tatum,310540,38751,Emma Watson,apocalypse|celebrity|ensemble cast|party|rapture,669,32000000
Rupert Wainwright,131,103,9,Enrico Colantoni,Horror,Nia Long,54390,3004,Portia de Rossi,catholic|priest|stigmata|vatican|wound,398,29000000
George Tillman Jr.,98,129,88,Charlize Theron,Biography|Drama,Robert De Niro,89424,36069,Michael Rapaport,african american|amputee|navy|racial discrimination|racism,224,32000000
John Luessenhop,119,107,34,Hayden Christensen,Action|Crime|Thriller,Paul Walker,46961,31529,Jay Hernandez,armored car|bank|falling out among thieves|heist|planning,132,20000000
Justin Zackham,133,89,16,Robert De Niro,Comedy,Robin Williams,37493,74181,Topher Grace,adoption|divorce|family relationships|farce|wedding,108,35000000
John Whitesell,88,113,14,Tony Curran,Action|Comedy|Crime,Brandon T. Jackson,19671,3500,Portia Doubleday,fbi agent|murder|performing arts school|scene during end credits|undercover,47,32000000
Duncan Jones,522,93,0,Cas Anvar,Mystery|Sci-Fi|Thriller,Jake Gyllenhaal,379462,16034,Russell Peters,bomber|time|time loop|train|trapped in a time loop,571,32000000
Frank Marshall,43,120,155,Danny Nucci,Adventure|Biography|Drama|Thriller,Illeana Douglas,38949,2054,Michael DeLorenzo,andes mountains|crash|death|starvation|stranded,112,32000000
Joel Schumacher,224,98,541,Virginia Madsen,Mystery|Thriller,Logan Lerman,164608,10938,Ed Lauter,destiny|detective|imagination|murder|sex scene,383,32000000
Jean-Pierre Jeunet,122,105,0,Julian Richings,Action|Adventure|Drama|Family,Callum Rennie,11347,1843,Judy Davis,3 dimensional|cartographer|punctuation in title|smithsonian|train,28,33000000
Steven Spielberg,56,142,14000,John Belushi,Action|Comedy|War,Christopher Lee,25193,20201,Treat Williams,california|captain|cult film|pearl harbor|submarine,217,35000000
John Gatins,75,98,61,Freddy Rodríguez,Drama|Family|Sport,Ken Howard,10018,1400,Holmes Osborne,colon in title|horse|kentucky|overalls|six word title,108,32000000
David Cronenberg,441,96,0,Kyle Schmid,Crime|Drama|Thriller,Viggo Mortensen,186606,12754,William Hurt,bar|crotch shot|female full frontal nudity|female pubic hair|robbery,1125,32000000
Louis Leterrier,163,87,255,Jason Flemyng,Action|Crime|Thriller,Jason Statham,156267,29050,Matthew Modine,driver|french|kidnapping|police|sequel,340,32000000
Sam Raimi,63,107,0,Pat Hingle,Action|Thriller|Western,Leonardo DiCaprio,69197,29743,Roberts Blossom,authority figure as villian|gun duel|saved from hanging|showdown|street shootout,216,32000000
Peter Howitt,90,90,29,Mike Doyle,Comedy|Romance,Frances Fisher,18771,961,Nora Dunn,date|divorce|divorce lawyer|drinking|lawyer,102,28000000
Martin Scorsese,163,121,17000,Marc Anthony,Drama|Thriller,Nicolas Cage,53028,13040,Sonja Sohn,ambulance|ghost|hell|paramedic|rescue,382,55000000
Miguel Sapochnik,197,119,238,RZA,Action|Crime|Sci-Fi|Thriller,Alice Braga,87768,2925,Yvette Nicole Brown,artificial organ|best friend|enforcer|future|near future,187,32000000
Hyung-rae Shim,93,107,26,Aimee Garcia,Action|Drama|Fantasy|Horror|Thriller,Robert Forster,21506,3274,Chris Mulkey,antique shop|asian dragon|dragon|korean|reporter,364,35000000
Norman Jewison,15,110,278,Nancy Travis,Comedy|Family|Fantasy,Haley Joel Osment,5176,3864,Andrea Martin,box office flop|circus|imaginary friend|magician|one word title,30,30000000
Don Scardino,260,100,35,Olivia Wilde,Comedy,Steve Buscemi,60596,32094,Steve Carell,magic|magic kit|magician|stage magician|vegas,158,30000000
Mark Dindal,18,75,10,Frank Welker,Animation|Comedy|Family|Fantasy|Musical,George Kennedy,5600,7394,Hal Holbrook,animal|cat|child star|hollywood|star,49,32000000
Tim Robbins,70,132,0,Vanessa Redgrave,Drama,Bill Murray,8039,16878,Emily Watson,1930s|depression|play|theatre|union,161,32000000
Steven Soderbergh,183,105,0,Beau Bridges,Drama|Mystery|Thriller,Tony Curran,21481,2355,Leland Orser,american|driver|journalist|russian|secret,175,32000000
Tom Reeve,12,93,0,Rollo Weeks,Action|Adventure|Comedy|Fantasy|Romance,Joan Plowright,3088,1073,Simon Callow,dragon|knight|love|priest|princess,31,32000000
Francis Ford Coppola,261,289,0,Marlon Brando,Drama|War,Harrison Ford,450676,25313,Robert Duvall,army|green beret|insanity|jungle|vietnam,983,31500000
Nanette Burstein,167,102,8,Kelli Garner,Comedy|Romance,Rob Riggle,50523,2961,Jim Gaffigan,bar|job|long distance relationship|male pubic hair|pubic hair,113,32000000
Stephen Herek,42,143,65,Olympia Dukakis,Drama|Music,Alicia Witt,30230,2223,Jean Louisa Kelly,1990s|high school|high school teacher|teacher inspires students|teaching,154,6500000
Ariel Vromen,130,113,34,Jordi Mollà,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,Gary Oldman,17319,10910,Doug Cockle,cia|husband wife relationship|memory|tied up while barefoot|violence,100,31500000
Sydney Pollack,66,161,521,Michael Gough,Biography|Drama|Romance,Meryl Streep,52339,12518,Michael Kitchen,africa|hunter|love|marriage|plantation,200,31000000
Robert Zemeckis,449,138,0,Bruce Greenwood,Drama|Thriller,Denzel Washington,264047,20952,Nadine Velazquez,airline|flight|flight attendant|lawyer|pilot,491,31000000
Lewis Gilbert,121,126,43,Lois Chiles,Action|Adventure|Sci-Fi|Thriller,Desmond Llewelyn,69534,1008,Lois Maxwell,astronaut|dog|official james bond series|space shuttle|space shuttle transported on a 747,294,34000000
Wes Anderson,536,99,0,Tom Wilkinson,Adventure|Comedy|Crime|Drama,Bill Murray,475518,15082,F. Murray Abraham,first person narration|hotel|lobby boy|mentor protege relationship|painting,644,25000000
Scott Hicks,135,101,96,Mika Boorem,Drama|Mystery,Anthony Hopkins,30339,13811,Hope Davis,based on multiple works|bully|kiss|memory|mysterious stranger,268,31000000
Frank Marshall,74,103,155,Peter Jason,Comedy|Fantasy|Horror|Thriller,Julian Sands,50389,1440,Brian McNamara,arachnophobia|death|doctor|small town|spider,136,31000000
Gregory Hoblit,168,118,40,Andre Braugher,Crime|Drama|Mystery|Sci-Fi|Thriller,Dennis Quaid,81866,4045,Noah Emmerich,altering history|alternate history|amateur radio|ham radio|paranormal phenomena,510,31000000
Paul Feig,464,116,176,Kate McKinnon,Action|Comedy|Fantasy|Sci-Fi,Ed Begley Jr.,69790,2097,Zach Woods,ghost|ghostbuster|ghostbusters|male objectification|reboot,1211,144000000
John Francis Daley,204,99,0,Norman Reedus,Adventure|Comedy,Chris Hemsworth,66123,40312,Beverly D'Angelo,amusement park|dysfunctional family|road trip|sequel|vacation,219,31000000
Barry Sonnenfeld,96,105,188,Rene Russo,Comedy|Crime|Thriller,Delroy Lindo,62986,3439,Jon Gries,debt|loan shark|mobster|movie business|producer,150,30250000
Rob Marshall,223,113,252,Chita Rivera,Comedy|Crime|Musical,Colm Feore,172080,813,Jayne Eastwood,fame|jail|jazz age|murder|vaudeville,1017,45000000
Dennis Dugan,112,93,221,Adam Sandler,Comedy|Drama,Steve Buscemi,161858,26760,Joey Lauren Adams,homosexual|law|law school|responsibility|vomiting,289,34200000
J.B. Rogers,142,108,6,Shannon Elizabeth,Comedy,Alyson Hannigan,200260,7872,Natasha Lyonne,beach|beach house|college|party|student,431,30000000
John Lasseter,166,74,487,John Ratzenberger,Adventure|Animation|Comedy|Family|Fantasy,Tom Hanks,623757,19046,Jim Varney,claw crane|cowboy|jealousy|rivalry|toy,391,30000000
Jan de Bont,114,116,101,Alan Ruck,Action|Adventure|Crime|Thriller,Keanu Reeves,260981,20966,Joe Morton,bomb|bus|elevator|explosive|rescue,373,25000000
Michael Sucsy,214,104,23,Lucas Bryant,Drama|Romance,Channing Tatum,145852,18322,Dillon Casey,car accident|life support|memory loss|trauma|voice recording,164,30000000
Tom Vaughan,126,106,12,Brendan Fraser,Drama,Harrison Ford,14281,17560,Alan Ruck,cure|disease|imagination|race against time|venture capital,64,31000000
Boaz Yakin,157,120,132,Denzel Washington,Biography|Drama|Sport,Ryan Gosling,160776,54877,Ethan Suplee,american football|based on true story|head coach|high school|school,402,30000000
John McTiernan,104,135,323,Jeffrey Jones,Action|Adventure|Thriller,Scott Glenn,143696,2575,Courtney B. Vance,analyst|defection|navy|soviet submarine|submarine,241,30000000
Lee Daniels,304,132,304,David Oyelowo,Biography|Drama,Alex Pettyfer,87665,20035,Vanessa Redgrave,butler|civil rights|hotel|president|white house,323,30000000
Rawson Marshall Thurber,191,92,43,Stephen Root,Comedy|Sport,Gary Cole,185338,4730,Joel David Moore,dodgeball|gym|las vegas|pirate|ups,392,20000000
Barry Sonnenfeld,55,99,188,Raul Julia,Comedy|Fantasy,Anjelica Huston,96607,3696,Carel Struycken,accountant|loan shark|macabre|uncle|uncle fester,125,38000000
Steve Oedekerk,59,90,176,Bob Gunton,Adventure|Comedy,Bruce Spence,160321,2203,Sophie Okonedo,africa|bat|hawaiian shirt|pregnancy|pregnant,178,30000000
Garry Marshall,108,111,0,Hector Elizondo,Comedy|Family|Romance,Anne Hathaway,94049,13645,Heather Matarazzo,cinderella story|fish out of water|makeover|manners|princess,301,37000000
Hugh Wilson,50,103,37,Elizabeth Berkley,Comedy,Stockard Channing,31817,3143,Stephen Collins,cult film|female therapist|revenge|revenge motive|therapy session,117,26000000
David Fincher,216,127,21000,Brad Pitt,Crime|Drama|Mystery|Thriller,Morgan Freeman,1023511,22678,Reg E. Cathey,detective|police partner|serial killer|serial murder|seven deadly sins,1080,33000000
Neill Blomkamp,472,112,662,Jed Brophy,Action|Sci-Fi|Thriller,Sharlto Copley,531737,2639,Jason Cope,alien|ghetto|prawn|refugee|refugee camp,1262,30000000
Stephen Hillenburg,89,87,47,Bill Fagerbakke,Adventure|Animation|Comedy|Family|Fantasy,Scarlett Johansson,58906,20097,Rodger Bumpass,based on tv series|crown|dream|king neptune|plankton,186,30000000
Clint Eastwood,229,138,16000,Spencer Treat Clark,Crime|Drama|Mystery|Thriller,John Doman,338415,1942,Tom Guiry,ballistics|detective|friend|gun|sexual abuse,935,25000000
Clint Eastwood,268,132,16000,Morgan Freeman,Drama|Sport,Clint Eastwood,482064,28830,Mike Colter,boxing|boxing trainer|death|suicide attempt|women boxing,1106,30000000
Harold Ramis,145,103,11000,Chazz Palminteri,Comedy|Crime,Robert De Niro,123940,24333,Molly Shannon,analyst|mafia|patient|psychiatrist|wedding,337,30000000
Nick Cassavetes,177,123,415,Kevin Connolly,Drama|Romance,Ryan Gosling,396396,34495,Gena Rowlands,class differences|letter|nursing home|second chance|summer love,1111,29000000
Anne Fletcher,175,111,98,Bern Cohen,Comedy|Romance,Judy Greer,124501,2978,Yetta Gottesman,boss|bridesmaid|friend|love|wedding,154,30000000
Peter Chelsom,131,102,23,Vanessa Williams,Comedy|Drama|Family|Music|Romance,Emily Osment,31760,4516,Moises Arias,farm|female protagonist|hannah montana|horseback riding|overalls,140,30000000
Stig Bergqvist,41,78,0,Casey Kasem,Adventure|Animation|Comedy|Family|Romance,Elizabeth Daily,8146,4527,Debbie Reynolds,amusement park|baby|france|paris france|villain,49,30000000
Barbra Streisand,30,132,0,Blythe Danner,Drama|Romance,George Carlin,12549,1936,Melinda Dillon,new york|psychiatrist|shrimper|south carolina|twins,109,30000000
Edward Zwick,57,133,380,Brad Pitt,Drama|Romance|War|Western,Anthony Hopkins,112175,26388,Julia Ormond,epic|heart|killing an animal|passion|usa,329,30000000
Jason Reitman,391,108,655,Anna Kendrick,Drama|Romance,J.K. Simmons,270238,35209,Chris Lowell,airport|business trip|downsizing|on the road|travel,452,25000000
Alexander Payne,217,125,729,June Squibb,Comedy|Drama,Hope Davis,107557,1556,Howard Hesseman,highway travel|on the road|retirement|road movie|wedding,612,30000000
Jonathan Levine,452,98,129,Vincent Leclerc,Comedy|Horror|Romance,Cory Hardrict,184641,337,Daniel Rindress-Kay,fight|memory|teenager|undead|zombie,326,35000000
Rian Johnson,589,119,0,Bruce Willis,Action|Crime|Drama|Sci-Fi|Thriller,Joseph Gordon-Levitt,428916,37387,Tracie Thoms,chase|future|surprise ending|time loop|time travel,667,30000000
Chris Weitz,61,87,129,Mark Addy,Comedy|Fantasy,Chazz Palminteri,19079,2911,Wanda Sykes,angel|butler|heaven|manhattan new york city|reincarnation,122,30000000
Chris Noonan,79,91,108,Christine Cavanaugh,Comedy|Drama|Family,Miriam Margolyes,94435,1185,Roscoe Lee Browne,dog|farmer|pig|sheep|sheepdog,182,30000000
David Frankel,234,100,64,Steve Carell,Comedy|Drama|Romance,Meryl Streep,34258,19420,Jean Smart,couple|intimacy|marriage|marriage counseling|middle age couple,178,30000000
Nicholas Stoller,253,118,89,Jack McBrayer,Comedy|Drama|Romance,Mila Kunis,217507,16758,Maria Thayer,breakup|hawaii|hotel|male full frontal nudity|resort,325,30000000
,51,44,,Aimee Teegarden,Drama|Sport,Zach Gilford,42746,3418,Scott Porter,football|football coach|high school|small town|texas,257,
John Singleton,123,109,309,Tony Nappo,Action|Crime|Drama|Mystery|Thriller,Josh Charles,109894,2740,Fionnula Flanagan,bare butt|corrupt police|four brothers|funeral|murder,340,45000000
Michael McCullers,145,99,5,Amy Poehler,Comedy|Romance,Tina Fey,34079,6930,Romany Malco,baby|book|cartoon on tv|female protagonist|male anorexia,97,30000000
Forest Whitaker,65,114,0,Harry Connick Jr.,Drama|Romance,Bill Cobbs,18973,2860,Gena Rowlands,best friend|friend|mother daughter relationship|small town|texas,162,30000000
Gary Winick,152,89,56,Steve Howey,Comedy|Romance,Anne Hathaway,79094,13794,Candice Bergen,best friend|dyed hair|fake tan|rivalry|wedding,129,30000000
Steven Brill,94,95,65,Scott Adsit,Adventure|Comedy|Mystery,Antony Starr,37479,1266,Bonnie Somerville,death|friend|hijacker|river|tree house,152,19000000
Gary Winick,119,98,56,Judy Greer,Comedy|Fantasy|Romance,Jennifer Garner,122187,6742,Christa B. Allen,13 year old|13th birthday|30 year old|wish|year 1987,339,37000000
Woody Allen,487,94,11000,Audrey Fleurot,Comedy|Fantasy|Romance,Kurt Fuller,301149,1289,Nina Arianda,1920s|golden age|midnight|paris france|time travel romance,509,17000000
Peter Lepeniotis,121,85,7,Brendan Fraser,Adventure|Animation|Comedy|Family,Liam Neeson,19547,18795,Sarah Gadon,bank robbery|heist|raccoon|rat|squirrel,64,42000000
Ted Demme,147,124,47,Ethan Suplee,Biography|Crime|Drama,Johnny Depp,198066,43453,Jordi Mollà,1960s|1970s|california|cocaine|wealth,426,30000000
Luis Mandoki,85,131,43,John Savage,Drama|Romance,Robin Wright,28942,19815,Raphael Sbarge,beach|bottle|jogging|letter|love,223,55000000
William Shatner,98,107,0,Nichelle Nichols,Action|Adventure|Sci-Fi|Thriller,Leonard Nimoy,43743,14710,Walter Koenig,captain|half brother|klingon|planet|vulcan,293,27800000
John Schultz,39,99,13,Robert Forster,Comedy|Family|Fantasy|Sport,Brenda Song,15074,3679,Anne Meara,basketball|lightning|nba|orphanage|shoe,72,30000000
Peter Segal,43,83,88,Fred Ward,Comedy|Crime,George Kennedy,76850,4767,Priscilla Presley,retirement|spoof|terrorist|transsexual|undercover,85,30000000
John Glen,108,131,46,Alison Doody,Action|Adventure|Thriller,Patrick Macnee,68565,2943,Tanya Roberts,computer|earthquake|microchip|official james bond series|silicon valley,300,30000000
Steve Box,209,85,9,Geraldine McEwan,Animation|Comedy|Family|Mystery|Sci-Fi,Mark Gatiss,98160,1145,Peter Sallis,competition|giant vegetable|pest control|stop motion animation|vegetable,307,30000000
Richard LaGravenese,131,126,98,Harry Connick Jr.,Drama|Romance,Gerard Butler,167967,18726,Nellie McKay,birthday|friendship|hairy chest|letter|widow,243,30000000
Frederik Du Chau,73,102,7,Frankie Muniz,Adventure|Comedy|Drama|Family|Sport,Bruce Greenwood,12570,2910,M. Emmet Walsh,farm|horse|kentucky|racehorse|zebra,86,
Joe Wright,316,123,456,Alfie Allen,Drama|Mystery|Romance|War,Benedict Cumberbatch,192930,20499,Brenda Blethyn,death of sister|dying|loss of virginity|septicemia|sex,581,30000000
Gary Winick,159,105,56,Marcia DeBonis,Comedy|Drama|Romance,Vanessa Redgrave,74630,1026,Luisa Ranieri,chick flick|female protagonist|italian stereotype|man in a swimsuit|verona italy,156,30000000
Ridley Scott,63,125,0,Ken Takakura,Action|Crime|Thriller,Stephen Root,39306,1748,Kate Capshaw,counterfeit|detective|japan|police chase|yakuza,119,30000000
Bobby Farrelly,162,92,101,Larry David,Comedy,Kate Upton,25484,6137,Sean Hayes,mule|nun|orphanage|tennis court|the three stooges,189,
Tim Burton,267,77,13000,Christopher Lee,Animation|Drama|Family|Fantasy|Musical|Romance,Johnny Depp,188785,60683,Joanna Lumley,arranged marriage|bride|corpse|groom|woods,467,40000000
James Gartner,95,118,0,Austin Nichols,Biography|Drama|Sport,Mehcad Brooks,34910,2577,Derek Luke,coach|college basketball|national championship|ncaa|texas,145,
Denis Villeneuve,478,121,777,Bernardo Saracino,Action|Crime|Drama|Mystery|Thriller,Edgar Arreola,196217,1467,Daniel Kaluuya,critically acclaimed|drug cartel|juarez mexico|u.s. mexico border|war on drugs,461,30000000
Antoine Fuqua,305,124,845,50 Cent,Drama|Sport,Jake Gyllenhaal,147128,16881,Oona Laurence,boxer|boxing training|death of wife|male in shower|rage,277,30000000
Sam Raimi,397,99,0,Alison Lohman,Horror|Thriller,Bojana Novakovic,158354,5642,Reggie Lee,evil|fight|hell|psychic|psychologist,691,30000000
Lee Toland Krieger,214,112,43,Michiel Huisman,Drama|Fantasy|Romance,Harrison Ford,93767,15327,Ellen Burstyn,hit by a pickup truck|immortality|paramedic|resuscitation|san francisco california,209,25000000
Tim McCanlies,82,111,23,Robert Duvall,Comedy|Drama|Family,Haley Joel Osment,43378,9638,Emmanuelle Vaugier,africa|eyeglasses|money|texas|veteran,292,30000000
Jon M. Chu,138,107,209,Stephen Boss,Drama|Music|Romance,Alyson Stoner,47297,4059,Facundo Lombard,dance|dance crew|dancer|mortgage|new york city,86,30000000
John Stockwell,69,104,134,Mika Boorem,Drama|Romance|Sport,Faizon Love,26066,1165,Sanoe Lake,bikini|female surfer|sister sister relationship|surfing contest|swimsuit,216,30000000
Marc Forster,253,113,395,Christian Stolte,Comedy|Drama|Fantasy|Romance,Will Ferrell,186977,8362,Danny Rhodes,author|fate|novelist|professor|writer,529,38000000
