num_critic_for_reviews,duration,actor_1_facebook_likes,genres,movie_title,cast_total_facebook_likes,movie_imdb_link,language,budget,imdb_score,aspect_ratio
142,108,3000,Comedy,American Pie 2 ,7872,http://www.imdb.com/title/tt0252866/?ref_=fn_tt_tt_1,English,30000000,6.4,1.85
166,74,15000,Adventure|Animation|Comedy|Family|Fantasy,Toy Story ,19046,http://www.imdb.com/title/tt0114709/?ref_=fn_tt_tt_1,English,30000000,8.3,1.85
114,116,18000,Action|Adventure|Crime|Thriller,Speed ,20966,http://www.imdb.com/title/tt0111257/?ref_=fn_tt_tt_1,English,25000000,7.2,2.35
214,104,17000,Drama|Romance,The Vow ,18322,http://www.imdb.com/title/tt1606389/?ref_=fn_tt_tt_1,English,30000000,6.8,2.35
126,106,11000,Drama,Extraordinary Measures ,17560,http://www.imdb.com/title/tt1244659/?ref_=fn_tt_tt_1,English,31000000,6.5,1.85
157,120,33000,Biography|Drama|Sport,Remember the Titans ,54877,http://www.imdb.com/title/tt0210945/?ref_=fn_tt_tt_1,English,30000000,7.8,2.35
104,135,826,Action|Adventure|Thriller,The Hunt for Red October ,2575,http://www.imdb.com/title/tt0099810/?ref_=fn_tt_tt_1,English,30000000,7.6,2.35
304,132,15000,Biography|Drama,Lee Daniels' The Butler ,20035,http://www.imdb.com/title/tt1327773/?ref_=fn_tt_tt_1,English,30000000,7.2,1.85
191,92,989,Comedy|Sport,Dodgeball: A True Underdog Story ,4730,http://www.imdb.com/title/tt0364725/?ref_=fn_tt_tt_1,English,20000000,6.7,2.35
55,99,1000,Comedy|Fantasy,The Addams Family ,3696,http://www.imdb.com/title/tt0101272/?ref_=fn_tt_tt_1,English,38000000,6.8,1.85
59,90,531,Adventure|Comedy,Ace Ventura: When Nature Calls ,2203,http://www.imdb.com/title/tt0112281/?ref_=fn_tt_tt_1,English,30000000,6.3,2.35
108,111,11000,Comedy|Family|Romance,The Princess Diaries ,13645,http://www.imdb.com/title/tt0247638/?ref_=fn_tt_tt_1,English,37000000,6.2,1.85
50,103,944,Comedy,The First Wives Club ,3143,http://www.imdb.com/title/tt0116313/?ref_=fn_tt_tt_1,English,26000000,6.2,1.85
216,127,11000,Crime|Drama|Mystery|Thriller,Se7en ,22678,http://www.imdb.com/title/tt0114369/?ref_=fn_tt_tt_1,English,33000000,8.6,2.35
472,112,2000,Action|Sci-Fi|Thriller,District 9 ,2639,http://www.imdb.com/title/tt1136608/?ref_=fn_tt_tt_1,English,30000000,8.0,1.85
89,87,19000,Adventure|Animation|Comedy|Family|Fantasy,The SpongeBob SquarePants Movie ,20097,http://www.imdb.com/title/tt0345950/?ref_=fn_tt_tt_1,English,30000000,7.0,1.85
229,138,616,Crime|Drama|Mystery|Thriller,Mystic River ,1942,http://www.imdb.com/title/tt0327056/?ref_=fn_tt_tt_1,English,25000000,8.0,2.35
268,132,16000,Drama|Sport,Million Dollar Baby ,28830,http://www.imdb.com/title/tt0405159/?ref_=fn_tt_tt_1,English,30000000,8.1,2.35
145,103,22000,Comedy|Crime,Analyze This ,24333,http://www.imdb.com/title/tt0122933/?ref_=fn_tt_tt_1,English,30000000,6.7,1.85
177,123,33000,Drama|Romance,The Notebook ,34495,http://www.imdb.com/title/tt0332280/?ref_=fn_tt_tt_1,English,29000000,7.9,2.35
175,111,2000,Comedy|Romance,27 Dresses ,2978,http://www.imdb.com/title/tt0988595/?ref_=fn_tt_tt_1,English,30000000,6.1,2.35
131,102,1000,Comedy|Drama|Family|Music|Romance,Hannah Montana: The Movie ,4516,http://www.imdb.com/title/tt1114677/?ref_=fn_tt_tt_1,English,30000000,4.2,1.85
41,78,971,Adventure|Animation|Comedy|Family|Romance,Rugrats in Paris: The Movie ,4527,http://www.imdb.com/title/tt0213203/?ref_=fn_tt_tt_1,English,30000000,6.1,1.85
30,132,769,Drama|Romance,The Prince of Tides ,1936,http://www.imdb.com/title/tt0102713/?ref_=fn_tt_tt_1,English,30000000,6.6,1.85
57,133,12000,Drama|Romance|War|Western,Legends of the Fall ,26388,http://www.imdb.com/title/tt0110322/?ref_=fn_tt_tt_1,English,30000000,7.5,1.85
391,108,24000,Drama|Romance,Up in the Air ,35209,http://www.imdb.com/title/tt1193138/?ref_=fn_tt_tt_1,English,25000000,7.4,1.85
217,125,442,Comedy|Drama,About Schmidt ,1556,http://www.imdb.com/title/tt0257360/?ref_=fn_tt_tt_1,English,30000000,7.2,1.85
452,98,303,Comedy|Horror|Romance,Warm Bodies ,337,http://www.imdb.com/title/tt1588173/?ref_=fn_tt_tt_1,English,35000000,6.9,2.35
589,119,23000,Action|Crime|Drama|Sci-Fi|Thriller,Looper ,37387,http://www.imdb.com/title/tt1276104/?ref_=fn_tt_tt_1,English,30000000,7.4,2.35
61,87,979,Comedy|Fantasy,Down to Earth ,2911,http://www.imdb.com/title/tt0231775/?ref_=fn_tt_tt_1,English,30000000,5.4,1.85
79,91,405,Comedy|Drama|Family,Babe ,1185,http://www.imdb.com/title/tt0112431/?ref_=fn_tt_tt_1,English,30000000,6.8,1.85
234,100,11000,Comedy|Drama|Romance,Hope Springs ,19420,http://www.imdb.com/title/tt1535438/?ref_=fn_tt_tt_1,English,30000000,6.3,2.35
253,118,15000,Comedy|Drama|Romance,Forgetting Sarah Marshall ,16758,http://www.imdb.com/title/tt0800039/?ref_=fn_tt_tt_1,English,30000000,7.2,1.85
51,44,971,Drama|Sport,Friday Night Lights             ,3418,http://www.imdb.com/title/tt0758745/?ref_=fn_tt_tt_1,English,,8.7,1.78
123,109,1000,Action|Crime|Drama|Mystery|Thriller,Four Brothers ,2740,http://www.imdb.com/title/tt0430105/?ref_=fn_tt_tt_1,English,45000000,6.9,2.35
145,99,2000,Comedy|Romance,Baby Mama ,6930,http://www.imdb.com/title/tt0871426/?ref_=fn_tt_tt_1,English,30000000,6.0,1.85
65,114,970,Drama|Romance,Hope Floats ,2860,http://www.imdb.com/title/tt0119313/?ref_=fn_tt_tt_1,English,30000000,5.9,1.85
152,89,11000,Comedy|Romance,Bride Wars ,13794,http://www.imdb.com/title/tt0901476/?ref_=fn_tt_tt_1,English,30000000,5.4,1.85
94,95,506,Adventure|Comedy|Mystery,Without a Paddle ,1266,http://www.imdb.com/title/tt0364751/?ref_=fn_tt_tt_1,English,19000000,5.9,2.35
119,98,3000,Comedy|Fantasy|Romance,13 Going on 30 ,6742,http://www.imdb.com/title/tt0337563/?ref_=fn_tt_tt_1,English,37000000,6.1,1.85
487,94,617,Comedy|Fantasy|Romance,Midnight in Paris ,1289,http://www.imdb.com/title/tt1605783/?ref_=fn_tt_tt_1,English,17000000,7.7,1.85
121,85,14000,Adventure|Animation|Comedy|Family,The Nut Job ,18795,http://www.imdb.com/title/tt1821658/?ref_=fn_tt_tt_1,English,42000000,5.8,1.85
147,124,40000,Biography|Crime|Drama,Blow ,43453,http://www.imdb.com/title/tt0221027/?ref_=fn_tt_tt_1,English,30000000,7.6,2.35
85,131,18000,Drama|Romance,Message in a Bottle ,19815,http://www.imdb.com/title/tt0139462/?ref_=fn_tt_tt_1,English,55000000,6.1,2.35
98,107,12000,Action|Adventure|Sci-Fi|Thriller,Star Trek V: The Final Frontier ,14710,http://www.imdb.com/title/tt0098382/?ref_=fn_tt_tt_1,English,27800000,5.4,2.35
39,99,1000,Comedy|Family|Fantasy|Sport,Like Mike ,3679,http://www.imdb.com/title/tt0308506/?ref_=fn_tt_tt_1,English,30000000,5.1,1.85
43,83,3000,Comedy|Crime,Naked Gun 33 1/3: The Final Insult ,4767,http://www.imdb.com/title/tt0110622/?ref_=fn_tt_tt_1,English,30000000,6.4,1.85
108,131,1000,Action|Adventure|Thriller,A View to a Kill ,2943,http://www.imdb.com/title/tt0090264/?ref_=fn_tt_tt_1,English,30000000,6.3,2.35
209,85,567,Animation|Comedy|Family|Mystery|Sci-Fi,The Curse of the Were-Rabbit ,1145,http://www.imdb.com/title/tt0312004/?ref_=fn_tt_tt_1,English,30000000,7.5,1.85
131,126,18000,Drama|Romance,P.S. I Love You ,18726,http://www.imdb.com/title/tt0431308/?ref_=fn_tt_tt_1,English,30000000,7.1,1.85
73,102,984,Adventure|Comedy|Drama|Family|Sport,Racing Stripes ,2910,http://www.imdb.com/title/tt0376105/?ref_=fn_tt_tt_1,English,,5.2,1.85
316,123,19000,Drama|Mystery|Romance|War,Atonement ,20499,http://www.imdb.com/title/tt0783233/?ref_=fn_tt_tt_1,English,30000000,7.8,1.85
159,105,898,Comedy|Drama|Romance,Letters to Juliet ,1026,http://www.imdb.com/title/tt0892318/?ref_=fn_tt_tt_1,English,30000000,6.5,2.35
63,125,939,Action|Crime|Thriller,Black Rain ,1748,http://www.imdb.com/title/tt0096933/?ref_=fn_tt_tt_1,English,30000000,6.6,2.35
162,92,971,Comedy,The Three Stooges ,6137,http://www.imdb.com/title/tt0383010/?ref_=fn_tt_tt_1,English,,5.1,1.85
267,77,40000,Animation|Drama|Family|Fantasy|Musical|Romance,Corpse Bride ,60683,http://www.imdb.com/title/tt0121164/?ref_=fn_tt_tt_1,English,40000000,7.4,1.85
95,118,696,Biography|Drama|Sport,Glory Road ,2577,http://www.imdb.com/title/tt0385726/?ref_=fn_tt_tt_1,English,,7.2,2.35
478,121,455,Action|Crime|Drama|Mystery|Thriller,Sicario ,1467,http://www.imdb.com/title/tt3397884/?ref_=fn_tt_tt_1,English,30000000,7.6,2.39
305,124,15000,Drama|Sport,Southpaw ,16881,http://www.imdb.com/title/tt1798684/?ref_=fn_tt_tt_1,English,30000000,7.5,2.35
397,99,2000,Horror|Thriller,Drag Me to Hell ,5642,http://www.imdb.com/title/tt1127180/?ref_=fn_tt_tt_1,English,30000000,6.6,2.35
214,112,11000,Drama|Fantasy|Romance,The Age of Adaline ,15327,http://www.imdb.com/title/tt1655441/?ref_=fn_tt_tt_1,English,25000000,7.2,2.35
82,111,3000,Comedy|Drama|Family,Secondhand Lions ,9638,http://www.imdb.com/title/tt0327137/?ref_=fn_tt_tt_1,English,30000000,7.6,1.85
138,107,2000,Drama|Music|Romance,Step Up 3D ,4059,http://www.imdb.com/title/tt1193631/?ref_=fn_tt_tt_1,English,30000000,6.2,1.85
69,104,585,Drama|Romance|Sport,Blue Crush ,1165,http://www.imdb.com/title/tt0300532/?ref_=fn_tt_tt_1,English,30000000,5.6,1.85
253,113,8000,Comedy|Drama|Fantasy|Romance,Stranger Than Fiction ,8362,http://www.imdb.com/title/tt0420223/?ref_=fn_tt_tt_1,English,38000000,7.6,1.85
304,113,430,Horror,30 Days of Night ,814,http://www.imdb.com/title/tt0389722/?ref_=fn_tt_tt_1,English,32000000,6.6,2.35
634,95,26000,Fantasy|Horror|Mystery|Thriller,The Cabin in the Woods ,29551,http://www.imdb.com/title/tt1259521/?ref_=fn_tt_tt_1,English,30000000,7.0,2.35
111,86,869,Comedy,Meet the Spartans ,3854,http://www.imdb.com/title/tt1073498/?ref_=fn_tt_tt_1,English,30000000,2.7,1.85
77,126,22000,Action|Comedy|Crime|Thriller,Midnight Run ,23866,http://www.imdb.com/title/tt0095631/?ref_=fn_tt_tt_1,English,30000000,7.6,1.85
120,101,581,Action|Crime|Sci-Fi|Thriller,The Running Man ,2373,http://www.imdb.com/title/tt0093894/?ref_=fn_tt_tt_1,English,27000000,6.6,1.37
63,102,13000,Comedy|Horror|Musical|Sci-Fi,Little Shop of Horrors ,15308,http://www.imdb.com/title/tt0091419/?ref_=fn_tt_tt_1,English,25000000,6.9,1.85
417,111,157,Action|Drama|Thriller,Hanna ,257,http://www.imdb.com/title/tt0993842/?ref_=fn_tt_tt_1,English,30000000,6.8,2.35
9,60,971,Drama|Mystery,The Family             ,3295,http://www.imdb.com/title/tt4428038/?ref_=fn_tt_tt_1,English,,7.5,16.0
59,95,663,Action|Adventure|Fantasy|Sci-Fi|Thriller,Mortal Kombat: Annihilation ,2266,http://www.imdb.com/title/tt0119707/?ref_=fn_tt_tt_1,English,30000000,3.7,1.85
218,98,15000,Comedy|Drama|Romance,Larry Crowne ,16827,http://www.imdb.com/title/tt1583420/?ref_=fn_tt_tt_1,English,30000000,6.1,2.35
359,100,17000,Drama|Fantasy|Horror,Carrie ,20051,http://www.imdb.com/title/tt1939659/?ref_=fn_tt_tt_1,English,30000000,5.9,2.35
101,118,1000,Drama|Music,Take the Lead ,3797,http://www.imdb.com/title/tt0446046/?ref_=fn_tt_tt_1,English,30000000,6.7,1.85
52,28,680,Comedy|Drama,Entourage             ,2867,http://www.imdb.com/title/tt0387199/?ref_=fn_tt_tt_1,English,,8.5,1.78
85,125,12000,Crime|Drama|Sport,Gridiron Gang ,15811,http://www.imdb.com/title/tt0421206/?ref_=fn_tt_tt_1,English,30000000,6.9,2.35
64,94,1000,Comedy|Crime,What's the Worst That Could Happen? ,3664,http://www.imdb.com/title/tt0161083/?ref_=fn_tt_tt_1,English,45000000,5.5,1.85
263,79,940,Action|Adventure|Animation|Drama|Mystery|Sci-Fi|Thriller,9 ,1594,http://www.imdb.com/title/tt0472033/?ref_=fn_tt_tt_1,English,30000000,7.1,1.85
450,106,17000,Crime|Drama|Thriller,Side Effects ,18469,http://www.imdb.com/title/tt2053463/?ref_=fn_tt_tt_1,English,30000000,7.1,1.85
85,111,1000,Comedy|Family|Romance,The Prince and Me ,3239,http://www.imdb.com/title/tt0337697/?ref_=fn_tt_tt_1,English,,5.9,1.85
162,63,759,Adventure|Animation|Comedy|Family|Musical,Winnie the Pooh ,1002,http://www.imdb.com/title/tt1449283/?ref_=fn_tt_tt_1,English,30000000,7.3,1.85
85,85,577,Comedy,Dumb and Dumberer: When Harry Met Lloyd ,1653,http://www.imdb.com/title/tt0329028/?ref_=fn_tt_tt_1,English,19000000,3.4,1.37
110,108,631,Comedy|Drama|Romance,Bulworth ,1023,http://www.imdb.com/title/tt0118798/?ref_=fn_tt_tt_1,English,30000000,6.8,1.85
165,139,521,Biography|Drama|Music,Get on Up ,2060,http://www.imdb.com/title/tt2473602/?ref_=fn_tt_tt_1,English,30000000,6.9,1.85
64,127,11000,Drama,One True Thing ,12785,http://www.imdb.com/title/tt0120776/?ref_=fn_tt_tt_1,English,30000000,7.0,1.85
44,106,18000,Action|Crime|Sci-Fi|Thriller,Virtuosity ,20772,http://www.imdb.com/title/tt0114857/?ref_=fn_tt_tt_1,English,30000000,5.5,2.35
147,95,973,Comedy|Romance|Sci-Fi,My Super Ex-Girlfriend ,2737,http://www.imdb.com/title/tt0465624/?ref_=fn_tt_tt_1,English,30000000,5.1,2.35
242,118,2000,Horror|Mystery|Thriller,Deliver Us from Evil ,5697,http://www.imdb.com/title/tt2377322/?ref_=fn_tt_tt_1,English,30000000,6.2,2.35
244,108,2000,Adventure|Drama|Thriller,Sanctum ,3892,http://www.imdb.com/title/tt0881320/?ref_=fn_tt_tt_1,English,30000000,5.9,1.85
73,105,1000,Comedy|Drama|Romance,Little Black Book ,4369,http://www.imdb.com/title/tt0361841/?ref_=fn_tt_tt_1,English,35000000,5.2,2.35
232,131,2000,Comedy|Romance,The Five-Year Engagement ,3479,http://www.imdb.com/title/tt1195478/?ref_=fn_tt_tt_1,English,30000000,6.2,1.85
63,104,1000,Comedy|Drama|Romance|Sport,Mr 3000 ,4462,http://www.imdb.com/title/tt0339412/?ref_=fn_tt_tt_1,English,30000000,5.5,1.85
239,133,10000,Crime|Drama|Romance|Thriller,The Next Three Days ,11799,http://www.imdb.com/title/tt1458175/?ref_=fn_tt_tt_1,English,35000000,7.4,2.35
158,94,14000,Action|Horror|Sci-Fi|Thriller,Ultraviolet ,15271,http://www.imdb.com/title/tt0370032/?ref_=fn_tt_tt_1,English,30000000,4.4,1.85
152,109,954,Action|Crime|Drama|Thriller,Assault on Precinct 13 ,3148,http://www.imdb.com/title/tt0398712/?ref_=fn_tt_tt_1,English,20000000,6.3,2.35
105,96,978,Action|Crime|Thriller,The Replacement Killers ,3072,http://www.imdb.com/title/tt0120008/?ref_=fn_tt_tt_1,English,30000000,6.1,2.35
36,105,4000,Action|Adventure|Crime|Drama|Romance,Fled ,6152,http://www.imdb.com/title/tt0116320/?ref_=fn_tt_tt_1,English,25000000,5.3,1.85
181,99,19000,Action|Comedy|Horror,Eight Legged Freaks ,22554,http://www.imdb.com/title/tt0271367/?ref_=fn_tt_tt_1,English,30000000,5.4,2.35
219,112,15000,Comedy|Drama|Romance,Love & Other Drugs ,31278,http://www.imdb.com/title/tt0758752/?ref_=fn_tt_tt_1,English,30000000,6.7,1.85
158,108,14000,Crime|Drama|Mystery|Thriller,88 Minutes ,16722,http://www.imdb.com/title/tt0411061/?ref_=fn_tt_tt_1,English,30000000,5.9,2.35
155,126,10000,Drama,North Country ,20563,http://www.imdb.com/title/tt0395972/?ref_=fn_tt_tt_1,English,35000000,7.3,2.35
74,98,13000,Comedy|Crime|Thriller,The Whole Ten Yards ,18085,http://www.imdb.com/title/tt0327247/?ref_=fn_tt_tt_1,English,40000000,5.5,1.85
368,104,900,Drama|Horror|Sci-Fi,Splice ,2222,http://www.imdb.com/title/tt1017460/?ref_=fn_tt_tt_1,English,26000000,5.8,1.85
81,110,1000,Action|Adventure|Comedy|Romance|Sci-Fi,Howard the Duck ,3000,http://www.imdb.com/title/tt0091225/?ref_=fn_tt_tt_1,English,35000000,4.6,1.85
154,130,1000,Crime|Drama|Thriller,Pride and Glory ,5101,http://www.imdb.com/title/tt0482572/?ref_=fn_tt_tt_1,English,30000000,6.7,1.85
140,93,849,Adventure|Horror|Thriller,The Cave ,2178,http://www.imdb.com/title/tt0402901/?ref_=fn_tt_tt_1,English,30000000,5.1,2.35
73,96,372,Comedy|Romance,Alex & Emma ,977,http://www.imdb.com/title/tt0318283/?ref_=fn_tt_tt_1,English,30000000,5.6,1.85
98,114,489,Drama|Mystery|Romance|Thriller,Wicker Park ,679,http://www.imdb.com/title/tt0324554/?ref_=fn_tt_tt_1,English,30000000,7.0,2.35
358,106,596,Comedy|Horror,Fright Night ,1393,http://www.imdb.com/title/tt1438176/?ref_=fn_tt_tt_1,English,30000000,6.4,1.85
222,150,23000,Biography|Drama|History|Romance,The New World ,27829,http://www.imdb.com/title/tt0402399/?ref_=fn_tt_tt_1,English,30000000,6.7,2.35
85,100,811,Action|Adventure|Sci-Fi,Wing Commander ,2497,http://www.imdb.com/title/tt0131646/?ref_=fn_tt_tt_1,English,30000000,4.1,2.35
62,100,21000,Drama|Fantasy|Thriller,In Dreams ,22006,http://www.imdb.com/title/tt0120710/?ref_=fn_tt_tt_1,English,30000000,5.5,1.85
130,100,473,Action|Adventure|Fantasy|Sci-Fi|Thriller,Dragonball: Evolution ,1100,http://www.imdb.com/title/tt1098327/?ref_=fn_tt_tt_1,English,45000000,2.7,2.35
376,107,971,Action|Crime|Thriller,The Last Stand ,1643,http://www.imdb.com/title/tt1549920/?ref_=fn_tt_tt_1,English,45000000,6.4,2.35
130,102,22000,Drama|Horror|Sci-Fi|Thriller,Godsend ,23352,http://www.imdb.com/title/tt0335121/?ref_=fn_tt_tt_1,English,25000000,4.8,2.35
65,101,448,Comedy|Romance,Chasing Liberty ,842,http://www.imdb.com/title/tt0360139/?ref_=fn_tt_tt_1,English,23000000,6.1,2.35
77,86,1000,Animation|Comedy|Family,Hoodwinked Too! Hood vs. Evil ,5393,http://www.imdb.com/title/tt0844993/?ref_=fn_tt_tt_1,English,30000000,4.8,1.85
107,108,11000,Drama,An Unfinished Life ,11519,http://www.imdb.com/title/tt0350261/?ref_=fn_tt_tt_1,English,30000000,7.0,2.35
292,123,10000,Adventure|Fantasy|Mystery,The Imaginarium of Doctor Parnassus ,11769,http://www.imdb.com/title/tt1054606/?ref_=fn_tt_tt_1,English,40000000,6.8,1.85
193,134,891,Comedy|Drama,Barney's Version ,1873,http://www.imdb.com/title/tt1423894/?ref_=fn_tt_tt_1,English,,7.3,2.35
16,511,147,Crime|Drama|Thriller,Trapped             ,307,http://www.imdb.com/title/tt3561180/?ref_=fn_tt_tt_1,Icelandic,,8.2,16.0
184,88,3000,Crime|Thriller,Runner Runner ,5706,http://www.imdb.com/title/tt2364841/?ref_=fn_tt_tt_1,English,30000000,5.6,2.35
123,109,779,Action|Crime|Drama|Thriller,Antitrust ,1297,http://www.imdb.com/title/tt0218817/?ref_=fn_tt_tt_1,English,30000000,6.1,2.35
60,122,18000,Drama|History|War,Glory ,32930,http://www.imdb.com/title/tt0097441/?ref_=fn_tt_tt_1,English,18000000,7.9,1.85
111,251,22000,Crime|Drama,Once Upon a Time in America ,24719,http://www.imdb.com/title/tt0087843/?ref_=fn_tt_tt_1,English,30000000,8.4,1.85
217,118,3000,Action|Crime|Drama|Thriller,Dead Man Down ,4253,http://www.imdb.com/title/tt2101341/?ref_=fn_tt_tt_1,English,30000000,6.5,2.35
117,131,14000,Drama|Romance,The Merchant of Venice ,16252,http://www.imdb.com/title/tt0379889/?ref_=fn_tt_tt_1,English,18000000,7.1,2.35
105,109,2000,Action|Crime|Drama|Romance|Thriller,The Good Thief ,2759,http://www.imdb.com/title/tt0281820/?ref_=fn_tt_tt_1,English,25000000,6.6,1.85
41,80,17000,Action|Drama|Romance|Sport,Supercross ,21519,http://www.imdb.com/title/tt0403016/?ref_=fn_tt_tt_1,English,,4.0,1.85
124,88,876,Biography|Drama|Romance,Miss Potter ,1518,http://www.imdb.com/title/tt0482546/?ref_=fn_tt_tt_1,English,30000000,7.0,2.35
90,103,489,Action|Drama|Fantasy,The Promise ,949,http://www.imdb.com/title/tt0417976/?ref_=fn_tt_tt_1,Mandarin,60000000,5.6,2.35
110,87,826,Action|Adventure,DOA: Dead or Alive ,4473,http://www.imdb.com/title/tt0398913/?ref_=fn_tt_tt_1,English,21000000,4.8,2.35
273,160,11000,Biography|Crime|Drama|History|Western,The Assassination of Jesse James by the Coward Robert Ford ,22516,http://www.imdb.com/title/tt0443680/?ref_=fn_tt_tt_1,English,30000000,7.5,2.35
63,121,974,Action|Adventure|Drama|History|War,1911 ,1887,http://www.imdb.com/title/tt1772230/?ref_=fn_tt_tt_1,Mandarin,18000000,6.0,2.35
56,91,295,Comedy|Family,Little Nicholas ,545,http://www.imdb.com/title/tt1264904/?ref_=fn_tt_tt_1,French,,7.2,1.85
130,92,26000,Action|Crime|Drama|Thriller,Wild Card ,29773,http://www.imdb.com/title/tt2231253/?ref_=fn_tt_tt_1,English,30000000,5.6,2.35
134,129,18000,Action|Biography|Crime|Drama,Machine Gun Preacher ,19620,http://www.imdb.com/title/tt1586752/?ref_=fn_tt_tt_1,English,30000000,6.8,2.35
36,93,1000,Animation|Comedy|Family,Animals United ,3095,http://www.imdb.com/title/tt1620449/?ref_=fn_tt_tt_1,German,,4.9,2.39
46,118,113,Biography|Drama|History,The Color of Freedom ,143,http://www.imdb.com/title/tt0438859/?ref_=fn_tt_tt_1,English,30000000,7.1,2.35
7,110,922,Drama|History|Sport,United Passions ,2725,http://www.imdb.com/title/tt2814362/?ref_=fn_tt_tt_1,English,24000000,2.0,2.35
132,103,963,Biography|Drama|Romance,Grace of Monaco ,2806,http://www.imdb.com/title/tt2095649/?ref_=fn_tt_tt_1,English,30000000,5.7,2.35
5,85,114,Adventure|Animation|Fantasy,A Warrior's Tail ,229,http://www.imdb.com/title/tt4075322/?ref_=fn_tt_tt_1,Russian,30000000,4.1,
56,110,1000,Crime|Drama|Mystery|Thriller,Ripley's Game ,1831,http://www.imdb.com/title/tt0265651/?ref_=fn_tt_tt_1,English,30000000,6.7,1.85
65,89,11000,Adventure|Animation|Comedy|Fantasy,Sausage Party ,15795,http://www.imdb.com/title/tt1700841/?ref_=fn_tt_tt_1,English,19000000,7.5,1.85
221,115,10000,Comedy|Music,Pitch Perfect 2 ,13159,http://www.imdb.com/title/tt2848292/?ref_=fn_tt_tt_1,English,29000000,6.5,1.85
291,153,523,Biography|Drama|Music|Romance,Walk the Line ,1383,http://www.imdb.com/title/tt0358273/?ref_=fn_tt_tt_1,English,28000000,7.9,2.39
13,42,757,Adventure|Drama|Mystery|Sci-Fi|Thriller,12 Monkeys             ,3309,http://www.imdb.com/title/tt3148266/?ref_=fn_tt_tt_1,English,,7.6,16.0
148,128,955,Comedy|Drama|Romance,Keeping the Faith ,5404,http://www.imdb.com/title/tt0171433/?ref_=fn_tt_tt_1,English,30000000,6.4,1.85
42,89,1000,Adventure|Comedy|Family|Fantasy,The Borrowers ,2056,http://www.imdb.com/title/tt0118755/?ref_=fn_tt_tt_1,English,29000000,5.8,1.85
302,122,2000,Drama,Frost/Nixon ,6161,http://www.imdb.com/title/tt0870111/?ref_=fn_tt_tt_1,English,35000000,7.7,2.35
181,113,504,Biography|Comedy|Crime|Drama|Romance|Thriller,Confessions of a Dangerous Mind ,810,http://www.imdb.com/title/tt0270288/?ref_=fn_tt_tt_1,English,29000000,7.1,2.35
64,99,2000,Comedy|Romance,Serving Sara ,4169,http://www.imdb.com/title/tt0261289/?ref_=fn_tt_tt_1,English,29000000,5.3,1.85
154,99,22000,Comedy,The Boss ,23562,http://www.imdb.com/title/tt2702724/?ref_=fn_tt_tt_1,English,29000000,5.3,1.85
17,147,18000,Biography|Drama|History,Cry Freedom ,18855,http://www.imdb.com/title/tt0092804/?ref_=fn_tt_tt_1,English,29000000,7.5,2.35
65,112,11000,Comedy|Drama,Mumford ,17873,http://www.imdb.com/title/tt0140397/?ref_=fn_tt_tt_1,English,28000000,6.9,2.35
148,88,1000,Comedy|Fantasy|Horror|Thriller,Seed of Chucky ,2567,http://www.imdb.com/title/tt0387575/?ref_=fn_tt_tt_1,English,12000000,4.9,1.85
161,94,1000,Drama|Mystery|Sci-Fi|Thriller,The Jacket ,5085,http://www.imdb.com/title/tt0366627/?ref_=fn_tt_tt_1,English,29000000,7.1,2.35
124,90,49000,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,Aladdin ,52970,http://www.imdb.com/title/tt0103639/?ref_=fn_tt_tt_1,English,28000000,8.0,1.33
349,167,559,Biography|Crime|Drama|History|Music,Straight Outta Compton ,2702,http://www.imdb.com/title/tt1398426/?ref_=fn_tt_tt_1,English,28000000,7.9,2.35
148,118,11000,Action|Adventure,Indiana Jones and the Temple of Doom ,11898,http://www.imdb.com/title/tt0087469/?ref_=fn_tt_tt_1,English,28000000,7.6,2.35
45,83,971,Adventure|Animation|Comedy|Drama|Family|Musical,The Rugrats Movie ,3438,http://www.imdb.com/title/tt0134067/?ref_=fn_tt_tt_1,English,24000000,5.9,1.85
133,104,11000,Crime|Drama|Thriller,Along Came a Spider ,17109,http://www.imdb.com/title/tt0164334/?ref_=fn_tt_tt_1,English,60000000,6.3,2.35
87,110,11000,Biography|Comedy|Drama|Music|Romance,Florence Foster Jenkins ,11534,http://www.imdb.com/title/tt4136084/?ref_=fn_tt_tt_1,English,29000000,7.1,2.35
178,102,40000,Action|Crime|Thriller,Once Upon a Time in Mexico ,46186,http://www.imdb.com/title/tt0285823/?ref_=fn_tt_tt_1,English,29000000,6.4,1.78
233,131,25000,Action|Thriller,Die Hard ,40585,http://www.imdb.com/title/tt0095016/?ref_=fn_tt_tt_1,English,28000000,8.2,2.35
173,101,833,Comedy,Role Models ,3400,http://www.imdb.com/title/tt0430922/?ref_=fn_tt_tt_1,English,28000000,6.9,1.85
426,130,33000,Biography|Comedy|Drama|History,The Big Short ,57308,http://www.imdb.com/title/tt1596363/?ref_=fn_tt_tt_1,English,28000000,7.8,2.35
210,120,579,Comedy|Drama|Music,Taking Woodstock ,1500,http://www.imdb.com/title/tt1127896/?ref_=fn_tt_tt_1,English,30000000,6.7,1.85
129,135,639,Biography|Drama|History|Sport,Miracle ,1845,http://www.imdb.com/title/tt0349825/?ref_=fn_tt_tt_1,English,28000000,7.5,2.4
