director_name,actor_3_facebook_likes,actor_2_name,gross,actor_3_name,movie_imdb_link,language,budget,imdb_score,movie_facebook_likes
Garry Marshall,995,Christopher Meloni,152149590,Hector Elizondo,http://www.imdb.com/title/tt0163187/?ref_=fn_tt_tt_1,English,70000000,5.5,0
Rob Cohen,212,Eve,141204016,Leila Arcieri,http://www.imdb.com/title/tt0295701/?ref_=fn_tt_tt_1,English,70000000,5.8,10000
Paul Tibbitt,726,Billy West,162495848,Eddie Deezen,http://www.imdb.com/title/tt2279373/?ref_=fn_tt_tt_1,English,74000000,6.0,16000
Ron Howard,808,Delroy Lindo,136448821,Rene Russo,http://www.imdb.com/title/tt0117438/?ref_=fn_tt_tt_1,English,80000000,6.6,1000
Quentin Tarantino,11000,Brad Pitt,120523073,Christoph Waltz,http://www.imdb.com/title/tt0361748/?ref_=fn_tt_tt_1,English,75000000,8.3,42000
Steven Spielberg,5000,Julia Roberts,119654900,Bob Hoskins,http://www.imdb.com/title/tt0102057/?ref_=fn_tt_tt_1,English,70000000,6.7,13000
Brett Ratner,467,Rufus Sewell,72660029,Ingrid Bolsø Berdal,http://www.imdb.com/title/tt1267297/?ref_=fn_tt_tt_1,English,100000000,6.0,21000
Renny Harlin,576,John Amos,117541000,Franco Nero,http://www.imdb.com/title/tt0099423/?ref_=fn_tt_tt_1,English,70000000,7.1,0
Clark Johnson,1000,Josh Charles,116643346,LL Cool J,http://www.imdb.com/title/tt0257076/?ref_=fn_tt_tt_1,English,80000000,6.0,0
,160,Katia Winter,,Lyndie Greenwood,http://www.imdb.com/title/tt2647544/?ref_=fn_tt_tt_1,English,,7.5,14000
Cameron Crowe,509,Ivana Milicevic,100614858,Noah Taylor,http://www.imdb.com/title/tt0259711/?ref_=fn_tt_tt_1,English,68000000,6.9,0
M. Night Shyamalan,559,Freddy Rodríguez,42272747,Bob Balaban,http://www.imdb.com/title/tt0452637/?ref_=fn_tt_tt_1,English,70000000,5.6,0
Paul W.S. Anderson,727,Colin Salmon,80281096,Raoul Bova,http://www.imdb.com/title/tt0370263/?ref_=fn_tt_tt_1,English,60000000,5.6,0
Betty Thomas,1000,Bridgit Mendler,219613391,Jesse McCartney,http://www.imdb.com/title/tt1231580/?ref_=fn_tt_tt_1,English,75000000,4.5,2000
Randall Wallace,841,Marc Blucas,78120196,Chris Klein,http://www.imdb.com/title/tt0277434/?ref_=fn_tt_tt_1,English,75000000,7.1,5000
Antoine Fuqua,992,Morgan Freeman,98895417,Radha Mitchell,http://www.imdb.com/title/tt2302755/?ref_=fn_tt_tt_1,English,70000000,6.5,45000
Jonathan Frakes,748,Jonathan Frakes,70117571,Michael Dorn,http://www.imdb.com/title/tt0120844/?ref_=fn_tt_tt_1,English,58000000,6.4,1000
Jonathan Liebesman,464,Jim Parrack,83552429,Ramon Rodriguez,http://www.imdb.com/title/tt1217613/?ref_=fn_tt_tt_1,English,70000000,5.8,25000
Tim Burton,883,Alison Lohman,66257002,Albert Finney,http://www.imdb.com/title/tt0319061/?ref_=fn_tt_tt_1,English,70000000,8.0,26000
Mike Nichols,184,Peter Gerety,65012000,Ron Rifkin,http://www.imdb.com/title/tt0111742/?ref_=fn_tt_tt_1,English,70000000,6.2,0
Steven Spielberg,979,Benedict Cumberbatch,79883359,Eddie Marsan,http://www.imdb.com/title/tt1568911/?ref_=fn_tt_tt_1,English,66000000,7.2,28000
George Clooney,559,Matt Damon,78031620,Bob Balaban,http://www.imdb.com/title/tt2177771/?ref_=fn_tt_tt_1,English,70000000,6.1,34000
James Cameron,638,Todd Graff,54222000,Mary Elizabeth Mastrantonio,http://www.imdb.com/title/tt0096754/?ref_=fn_tt_tt_1,English,69500000,7.6,0
Oliver Stone,17,Austin Pendleton,52474616,John Buffalo Mailer,http://www.imdb.com/title/tt1027718/?ref_=fn_tt_tt_1,English,70000000,6.3,13000
Gary Shore,423,Sarah Gadon,55942830,Zach McGowan,http://www.imdb.com/title/tt0829150/?ref_=fn_tt_tt_1,English,70000000,6.3,37000
Edward Zwick,774,Bruce Willis,40932372,Mark Valley,http://www.imdb.com/title/tt0133952/?ref_=fn_tt_tt_1,English,70000000,6.3,0
Matthew Vaughn,271,David Kelly,38345403,Nathaniel Parker,http://www.imdb.com/title/tt0486655/?ref_=fn_tt_tt_1,English,70000000,7.7,15000
Jean-Jacques Annaud,400,Mako,37901509,Victor Wong,http://www.imdb.com/title/tt0120102/?ref_=fn_tt_tt_1,English,70000000,7.0,0
Ron Howard,244,Clint Howard,48430355,Chelcie Ross,http://www.imdb.com/title/tt1578275/?ref_=fn_tt_tt_1,English,70000000,5.3,0
Joel Schumacher,384,Brooke Smith,30157016,Garcelle Beauvais,http://www.imdb.com/title/tt0280486/?ref_=fn_tt_tt_1,English,70000000,5.6,792
Andrzej Bartkowiak,452,Ben Daniels,28031250,Dexter Fletcher,http://www.imdb.com/title/tt0419706/?ref_=fn_tt_tt_1,English,60000000,5.2,0
Betty Thomas,150,Phill Lewis,33105600,Tate Taylor,http://www.imdb.com/title/tt0297181/?ref_=fn_tt_tt_1,English,70000000,5.4,531
Måns Mårlind,324,Stephen Rea,62321039,Sandrine Holt,http://www.imdb.com/title/tt1496025/?ref_=fn_tt_tt_1,English,70000000,6.4,24000
Adam Shankman,66,Shane Hartline,38509342,Celina Beach,http://www.imdb.com/title/tt1336608/?ref_=fn_tt_tt_1,English,75000000,5.9,33000
Gregory Hoblit,407,Cole Hauser,19076815,Rory Cochrane,http://www.imdb.com/title/tt0251114/?ref_=fn_tt_tt_1,English,60000000,6.3,997
Gary McKendry,748,Robert De Niro,25093607,Ben Mendelsohn,http://www.imdb.com/title/tt1448755/?ref_=fn_tt_tt_1,English,35000000,6.5,17000
John McTiernan,390,Chris Klein,18990542,Andrew Bryniarski,http://www.imdb.com/title/tt0246894/?ref_=fn_tt_tt_1,English,70000000,3.0,584
Wych Kaosayananda,298,Sandrine Holt,14294842,Gregg Henry,http://www.imdb.com/title/tt0308208/?ref_=fn_tt_tt_1,English,70000000,3.6,391
Mikael Salomon,695,Minnie Driver,19819494,Randy Quaid,http://www.imdb.com/title/tt0120696/?ref_=fn_tt_tt_1,English,70000000,5.8,815
Bobby Farrelly,443,Brandy Norwood,13596911,David Hyde Pierce,http://www.imdb.com/title/tt0181739/?ref_=fn_tt_tt_1,English,70000000,6.2,2000
Will Finn,854,Oliver Platt,8460990,Jim Belushi,http://www.imdb.com/title/tt0884726/?ref_=fn_tt_tt_1,English,70000000,5.6,5000
Michael Mann,301,Archie Kao,7097125,Brandon Molale,http://www.imdb.com/title/tt2717822/?ref_=fn_tt_tt_1,English,70000000,5.4,11000
Kerry Conran,582,Laurence Olivier,37760080,Bai Ling,http://www.imdb.com/title/tt0346156/?ref_=fn_tt_tt_1,English,70000000,6.1,0
Michael Caton-Jones,246,Indira Varma,5851188,Neil Maskell,http://www.imdb.com/title/tt0430912/?ref_=fn_tt_tt_1,English,70000000,4.2,764
Mikael Håfström,585,50 Cent,25121291,Matt Gerald,http://www.imdb.com/title/tt1211956/?ref_=fn_tt_tt_1,English,50000000,6.7,34000
Renny Harlin,182,Luke Newberry,18821279,Gaia Weiss,http://www.imdb.com/title/tt1043726/?ref_=fn_tt_tt_1,English,70000000,4.2,12000
Phil Alden Robinson,497,Bruce McGill,118471320,Philip Baker Hall,http://www.imdb.com/title/tt0164184/?ref_=fn_tt_tt_1,English,68000000,6.4,0
David Slade,10000,Kristen Stewart,300523113,Anna Kendrick,http://www.imdb.com/title/tt1325004/?ref_=fn_tt_tt_1,English,68000000,4.9,29000
Frank Oz,580,Marlon Brando,71069884,Gary Farmer,http://www.imdb.com/title/tt0227445/?ref_=fn_tt_tt_1,English,68000000,6.8,0
Pierre Coffin,975,Miranda Cosgrove,251501645,Jack McBrayer,http://www.imdb.com/title/tt1323594/?ref_=fn_tt_tt_1,English,69000000,7.7,31000
Joseph Ruben,97,Robert Blake,35324232,Aida Turturro,http://www.imdb.com/title/tt0113845/?ref_=fn_tt_tt_1,English,68000000,5.6,617
Seth MacFarlane,3000,Morgan Freeman,81257500,Seth MacFarlane,http://www.imdb.com/title/tt2637276/?ref_=fn_tt_tt_1,English,68000000,6.4,30000
Alejandro Amenábar,334,Ashraf Barhom,617840,Rupert Evans,http://www.imdb.com/title/tt1186830/?ref_=fn_tt_tt_1,English,70000000,7.2,29000
Kinka Usher,776,Wes Studi,29655590,Eddie Izzard,http://www.imdb.com/title/tt0132347/?ref_=fn_tt_tt_1,English,65000000,6.0,0
Bobby Farrelly,681,Larry Joe Campbell,45045037,Stephen Merchant,http://www.imdb.com/title/tt0480687/?ref_=fn_tt_tt_1,English,36000000,5.9,10000
Michael Mann,680,Rip Torn,28965197,Debi Mazar,http://www.imdb.com/title/tt0140352/?ref_=fn_tt_tt_1,English,68000000,7.9,0
Craig Gillespie,531,Abraham Benrubi,27550735,Graham McTavish,http://www.imdb.com/title/tt2025690/?ref_=fn_tt_tt_1,English,,6.8,12000
Ridley Scott,135,Simon McBurney,39380442,Michael Gaston,http://www.imdb.com/title/tt0758774/?ref_=fn_tt_tt_1,English,70000000,7.1,0
Jay Roach,982,Stephanie Szostak,72980108,Bruce Greenwood,http://www.imdb.com/title/tt0427152/?ref_=fn_tt_tt_1,English,,5.9,0
Timur Bekmambetov,911,Dominic Cooper,37516013,Benjamin Walker,http://www.imdb.com/title/tt1611224/?ref_=fn_tt_tt_1,English,69000000,5.9,98000
Jon Amiel,232,Kevin McNally,87704396,Maury Chaykin,http://www.imdb.com/title/tt0137494/?ref_=fn_tt_tt_1,English,66000000,6.2,0
,359,Kaitlyn Dever,,Nancy Travis,http://www.imdb.com/title/tt1828327/?ref_=fn_tt_tt_1,English,,7.4,0
Rob Bowman,745,Mitch Pileggi,83892374,Jeffrey DeMunn,http://www.imdb.com/title/tt0120902/?ref_=fn_tt_tt_1,English,66000000,7.0,0
Doug Lefler,112,Nonso Anozie,5932060,Owen Teale,http://www.imdb.com/title/tt0462396/?ref_=fn_tt_tt_1,English,35000000,5.4,0
Steven Spielberg,13000,Vin Diesel,216119491,Matt Damon,http://www.imdb.com/title/tt0120815/?ref_=fn_tt_tt_1,English,70000000,8.6,22000
Scott Waugh,464,Dominic Cooper,43568507,Ramon Rodriguez,http://www.imdb.com/title/tt2369135/?ref_=fn_tt_tt_1,English,66000000,6.5,32000
Nancy Meyers,912,Lisa Edelstein,182805123,Loretta Devine,http://www.imdb.com/title/tt0207201/?ref_=fn_tt_tt_1,English,70000000,6.4,0
Chris Wedge,835,Stephen Root,176387405,Denis Leary,http://www.imdb.com/title/tt0268380/?ref_=fn_tt_tt_1,English,59000000,7.6,3000
Lawrence Kasdan,354,Michael O'Neill,33685268,Reece Thompson,http://www.imdb.com/title/tt0285531/?ref_=fn_tt_tt_1,English,68000000,5.5,4000
Steven Spielberg,655,Hal Holbrook,182204440,Bruce McGill,http://www.imdb.com/title/tt0443272/?ref_=fn_tt_tt_1,English,65000000,7.4,71000
Lana Wachowski,99,Marcus Chong,171383253,Gloria Foster,http://www.imdb.com/title/tt0133093/?ref_=fn_tt_tt_1,English,63000000,8.7,25000
Ron Howard,552,Miko Hughes,172071312,Kathleen Quinlan,http://www.imdb.com/title/tt0112384/?ref_=fn_tt_tt_1,English,62000000,7.6,5000
Paul Verhoeven,217,Rachel Ticotin,119412921,Marshall Bell,http://www.imdb.com/title/tt0100802/?ref_=fn_tt_tt_1,English,65000000,7.5,0
Michael Lembeck,775,Aisha Tyler,139225854,Eric Lloyd,http://www.imdb.com/title/tt0304669/?ref_=fn_tt_tt_1,English,60000000,5.5,1000
Tom Hooper,11000,Eddie Redmayne,148775460,Anne Hathaway,http://www.imdb.com/title/tt1707386/?ref_=fn_tt_tt_1,English,61000000,7.6,144000
Nora Ephron,744,Jean Stapleton,115731542,Dave Chappelle,http://www.imdb.com/title/tt0128853/?ref_=fn_tt_tt_1,English,65000000,6.5,0
Adam McKay,105,Adam Scott,100468793,Andrea Savage,http://www.imdb.com/title/tt0838283/?ref_=fn_tt_tt_1,English,65000000,6.9,0
Martin Campbell,94,Tony Amendola,93771072,Stuart Wilson,http://www.imdb.com/title/tt0120746/?ref_=fn_tt_tt_1,English,65000000,6.7,0
Todd Phillips,490,RZA,100448498,Matt Walsh,http://www.imdb.com/title/tt1231583/?ref_=fn_tt_tt_1,English,65000000,6.6,25000
Angelina Jolie Pitt,465,Jack O'Connell,115603980,Alex Russell,http://www.imdb.com/title/tt1809398/?ref_=fn_tt_tt_1,English,65000000,7.2,35000
Clint Eastwood,416,Courtney B. Vance,90454043,William Devane,http://www.imdb.com/title/tt0186566/?ref_=fn_tt_tt_1,English,65000000,6.4,0
Renny Harlin,369,Leon,84049211,Janine Turner,http://www.imdb.com/title/tt0106582/?ref_=fn_tt_tt_1,English,70000000,6.4,0
John Woo,461,Samantha Mathis,70450000,Bob Gunton,http://www.imdb.com/title/tt0115759/?ref_=fn_tt_tt_1,English,50000000,6.0,0
Jon Turteltaub,577,Lily Tomlin,69688384,Daniel von Bargen,http://www.imdb.com/title/tt0219854/?ref_=fn_tt_tt_1,English,60000000,6.1,0
Oliver Stone,625,Jay Hernandez,70236496,Armando Riesco,http://www.imdb.com/title/tt0469641/?ref_=fn_tt_tt_1,English,63000000,6.0,0
Mike Newell,403,Kirsten Dunst,63695760,Marian Seldes,http://www.imdb.com/title/tt0304415/?ref_=fn_tt_tt_1,English,65000000,6.4,0
Larry Charles,174,Aasif Mandvi,59617068,Horatio Sanz,http://www.imdb.com/title/tt1645170/?ref_=fn_tt_tt_1,English,65000000,6.4,59000
Stanley Kubrick,521,Vinessa Shaw,55637680,Sydney Pollack,http://www.imdb.com/title/tt0120663/?ref_=fn_tt_tt_1,English,65000000,7.3,10000
Will Gluck,929,Dorian Missick,85911262,David Zayas,http://www.imdb.com/title/tt1823664/?ref_=fn_tt_tt_1,English,65000000,5.2,16000
Glenn Ficarra,523,Adrian Martinez,53846915,Gerald McRaney,http://www.imdb.com/title/tt2381941/?ref_=fn_tt_tt_1,English,50100000,6.6,23000
McG,520,Abigail Spencer,54758461,Warren Christie,http://www.imdb.com/title/tt1596350/?ref_=fn_tt_tt_1,English,65000000,6.3,18000
David S. Goyer,957,Natasha Lyonne,52397389,John Michael Higgins,http://www.imdb.com/title/tt0359013/?ref_=fn_tt_tt_1,English,65000000,5.9,0
John Milius,919,Jennifer Grey,,William Smith,http://www.imdb.com/title/tt0087985/?ref_=fn_tt_tt_1,English,16900000,6.4,0
Mike Nichols,210,Adrian Lester,38966057,Paul Guilfoyle,http://www.imdb.com/title/tt0119942/?ref_=fn_tt_tt_1,English,65000000,6.7,688
Paul W.S. Anderson,974,Boris Kodjoe,42345531,Bingbing Li,http://www.imdb.com/title/tt1855325/?ref_=fn_tt_tt_1,English,65000000,5.4,32000
Paul W.S. Anderson,805,Max Ryan,36064910,Joan Allen,http://www.imdb.com/title/tt0452608/?ref_=fn_tt_tt_1,English,45000000,6.4,0
