director_name,num_critic_for_reviews,actor_2_name,gross,genres,movie_title,num_voted_users,actor_3_name,plot_keywords,num_user_for_reviews,language,title_year,imdb_score,aspect_ratio,movie_facebook_likes
Alejandro G. Iñárritu,285,Harriet Walter,34300771,Drama,Babel ,243799,Dermot Crowley,american|destiny|mexican border|multiple perspectives|muslim,908,English,2006,7.5,1.85,0
Shawn Levy,156,Abigail Spencer,34290142,Comedy|Drama,This Is Where I Leave You ,54242,Jane Fonda,brother sister relationship|childhood home|man child|sibling|vomiting,145,English,2014,6.6,2.35,14000
John Patrick Shanley,293,Meryl Streep,33422556,Drama|Mystery,Doubt ,99236,Carrie Preston,boy|catholic|nun|priest|student,321,English,2008,7.5,1.85,0
Trey Parker,233,Maurice LaMarche,32774834,Action|Comedy,Team America: World Police ,136048,Trey Parker,actor|arab stereotype|broadway|terrorist|vomiting,700,English,2004,7.2,2.35,0
John Luessenhop,282,Keram Malicki-Sánchez,34334256,Horror|Thriller,Texas Chainsaw 3D ,35131,Shaun Sipos,chainsaw|halloween|mansion|massacre|texas,255,English,2013,4.8,2.35,16000
Jon Amiel,57,Holly Hunter,32051917,Crime|Drama|Mystery|Thriller,Copycat ,42315,Harry Connick Jr.,agoraphobia|copycat murder|detective|psychologist|serial killer,140,English,1995,6.6,2.35,0
Malcolm D. Lee,153,Snoop Dogg,32014289,Comedy,Scary Movie 5 ,50337,Molly Shannon,2010s|ape|ballet|psychic|supernatural,177,English,2013,3.5,1.85,13000
Joshua Logan,20,Lee Marvin,,Comedy|Drama|Musical|Romance|Western,Paint Your Wagon ,9352,Ray Walston,california|farmer|gold|mining|prospector,106,English,1969,6.7,2.35,0
Gus Van Sant,324,Denis O'Hare,31838002,Biography|Drama|History,Milk ,136673,Lucas Grabeel,california|gay|gay activist|gay pickup|gay rights,281,English,2008,7.6,1.85,10000
Kevin Reynolds,122,Jan Cornet,36874745,Action|Adventure|Drama|Mystery,Risen ,12276,María Botto,biblical|crucifixion|judea|resurrection|roman soldier,117,English,2016,6.3,2.35,21000
Steve Beck,156,Ron Eldard,30079316,Horror,Ghost Ship ,75920,Francesca Rettondini,decapitation|ghost ship|passenger|severed head|torso cut in half,474,English,2002,5.5,1.85,0
Todd Strauss-Schulson,161,Thomas Lennon,35033759,Adventure|Comedy,A Very Harold & Kumar 3D Christmas ,55008,Paula Garcés,christmas|christmas tree|fire|new york city|stoner,93,English,2011,6.3,2.35,21000
John McNaughton,69,Robert Wagner,29753944,Crime|Drama|Mystery|Thriller,Wild Things ,90677,Jeff Perry,erotic thriller|forbidden sex|lesbian sex|sex with a student|taboo sex,389,English,1998,6.5,2.35,0
Nelson McCormick,121,Paige Turco,29062561,Crime|Thriller,The Stepfather ,23424,Skyler Samuels,head dunked in water|military school|plastic bag|playing a video game|suffocating,119,English,2009,5.6,2.35,0
John Madden,258,Jesper Christensen,31146570,Drama|Thriller,The Debt ,55441,Romi Aboulafia,east berlin|kiev ukraine|mossad|nazi|nazi war criminal,165,English,2010,6.9,2.35,0
Stephen Frears,174,Lili Taylor,27277055,Comedy|Drama|Music|Romance,High Fidelity ,143137,Lisa Bonet,employer employee relationship|record store|store|thirty something|vinyl,602,English,2000,7.6,1.85,10000
Eric Valette,141,Jason Beghe,26876529,Horror|Mystery,One Missed Call ,26624,Margaret Cho,death|lifting someone into the air|telephone|telephone call|voice mail,189,English,2008,3.9,1.85,0
John Schlesinger,31,Beverly D'Angelo,53146000,Crime|Drama|Thriller,Eye for an Eye ,9845,Philip Baker Hall,justice|rape|self defense|support group|vigilante,77,English,1996,6.1,1.85,613
Roger Donaldson,222,Saffron Burrows,30028592,Crime|Drama|Romance|Thriller,The Bank Job ,152247,Daniel Mays,chase|heist|london england|mobster|safe deposit,189,English,2008,7.3,2.35,0
Michel Gondry,273,Kirsten Dunst,34126138,Drama|Fantasy|Romance|Sci-Fi,Eternal Sunshine of the Spotless Mind ,666937,Tom Wilkinson,borderline personality disorder|loneliness|memory|playing against type|retrograde narrative,1514,English,2004,8.3,1.85,52000
Andy Fickman,91,James Wolk,25677801,Comedy|Family|Romance,You Again ,41273,Christine Lakin,dancing|dog|flight|hostility|travel,136,English,2010,5.8,2.35,0
David Ayer,190,Chris Evans,26415649,Action|Crime|Drama|Thriller,Street Kings ,94892,Noel Gugliemi,captain|lapd|murder|undercover cop|violence,189,English,2008,6.8,2.35,0
Edgar Wright,427,Thomas Law,26003149,Action|Comedy|Sci-Fi,The World's End ,185587,Jasper Levine,alcoholic|doppelganger|group therapy|self mutilation|twin actresses for twin sisters,401,English,2013,7.0,2.35,49000
Andrew Fleming,93,Laura Harring,25584685,Comedy|Crime|Family|Mystery|Romance|Thriller,Nancy Drew ,15877,Tate Donovan,chase|clue|detective|movie star|murder,102,English,2007,5.9,2.35,590
Michael Spierig,292,Damien Garvey,29975979,Action|Horror|Sci-Fi|Thriller,Daybreakers ,105797,Tiffany Lamb,blood|rationing|vampire|vampire society|year 2019,281,English,2009,6.5,2.35,0
Jim Field Smith,180,Kim Shaw,31584722,Comedy|Romance,She's Out of My League ,101730,Geoff Stults,airport|airport security|confidence|iphone|love,131,English,2010,6.4,2.35,0
Thomas Bezucha,94,Luke Bracey,23179303,Adventure|Comedy|Family|Romance,Monte Carlo ,32951,Brett Cullen,cell phone|hotel|misunderstanding|monte carlo|young woman,44,English,2011,5.8,1.85,6000
William Brent Bell,112,Frankie Muniz,23078294,Horror|Thriller,Stay Alive ,25870,Samaire Armstrong,countess|game reality crossover|ghost|group of friends|tower,281,English,2006,5.1,2.35,0
Simon Wincer,20,Tom Selleck,21413105,Action|Adventure|Drama|Romance|Western,Quigley Down Under ,15230,Ben Mendelsohn,aborigine|australian|australian aborigine|australian outback|rancher,97,English,1990,6.8,2.35,0
Anthony Bell,84,Larry Miller,25077977,Adventure|Animation|Comedy|Family|Romance,Alpha and Omega ,10986,Christine Lakin,arranged marriage|geese|idaho|national park|park,84,English,2010,5.3,1.85,0
Renny Harlin,120,Kyle Schmid,23292105,Action|Fantasy|Horror|Thriller,The Covenant ,39541,Toby Hemingway,family secret|friendship between men|magic|supernatural power|teenager,334,English,2006,5.3,2.35,3000
Jessica Bendinger,90,Vanessa Lengies,26870825,Comedy|Drama|Sport,Stick It ,22604,John Patrick Amedori,coach|gymnastics|houston texas|teenager|texas,124,English,2006,6.4,1.85,0
Robert Rodriguez,103,Leo Howard,20916309,Comedy|Family|Fantasy,Shorts ,5332,Jake Short,boy|family relationships|rock|twin|two headed person,37,English,2009,4.9,1.85,431
Gus Van Sant,59,Wayne Knight,21200000,Comedy|Crime|Drama,To Die For ,34774,Holland Taylor,career|fame|murder|new hampshire|television,162,English,1995,6.8,1.85,1000
Henry Joost,86,Marc John Jefferies,28876924,Adventure|Crime|Mystery|Sci-Fi|Thriller,Nerve ,4303,Emily Meade,dare|game|knocked out|motorcycle|online game,35,English,2016,7.1,,0
Ed Harris,190,James Gammon,20207003,Crime|Drama|Western,Appaloosa ,50198,Tom Bower,deputy|friend|hanging|rancher|widow,202,English,2008,6.8,2.35,0
John Carpenter,114,Cary-Hiroyuki Tagawa,20241395,Action|Horror|Thriller,Vampires ,42664,Maximilian Schell,cross|relic|team|vampire|vampire hunter,403,English,1998,6.1,2.35,0
,6,,,Action|Adventure|Animation|Family|Fantasy,Yu-Gi-Oh! Duel Monsters             ,12417,,anime|based on manga|hero|surrealism|zen,51,Japanese,,7.0,,124
Alfred Hitchcock,290,Vera Miles,32000000,Horror|Mystery|Thriller,Psycho ,422432,John Gavin,money|motel|rain|shower|theft,1040,English,1960,8.5,1.85,18000
Howard Deutch,80,Taran Killam,19151864,Comedy|Romance,My Best Friend's Girl ,36983,Riki Lindhome,breasts|female rear nudity|jesus crust pizza parlor|thong panties|wedding,100,English,2008,5.9,1.85,0
Shana Feste,98,Bruce Greenwood,23393765,Drama|Romance,Endless Love ,31323,Rhys Wakefield,brother sister relationship|high school graduation|love|sparkler|unfaithful husband,76,English,2014,6.3,2.35,0
Garry Marshall,88,Zachary Gordon,18882880,Comedy|Drama,Georgia Rule ,20539,Jane Fonda,alcoholic|rules|secret|summer|teenager,125,English,2007,5.9,2.35,681
Steve Rash,13,Adam Arkin,8500000,Comedy,Under the Rainbow ,2061,Billy Barty,assassin|hotel|japanese tourist|secret service|wizard of oz,34,English,1981,5.4,1.78,501
Richard Donner,52,John Wood,,Adventure|Comedy|Drama|Fantasy,Ladyhawke ,33597,Leo McKern,bishop|escape|hawk|lady|thief,185,English,1985,7.0,2.35,0
Mark Steven Johnson,60,Jan Hooks,18252684,Comedy|Drama|Family,Simon Birch ,18366,Dana Ivey,boy|christmas|christmas pageant|friendship|illegitimate son,219,English,1998,6.9,1.85,0
Mike Binder,154,Don Cheadle,19661987,Drama,Reign Over Me ,83786,John de Lancie,college|depression|grief|mental breakdown|post september 11 2001,231,English,2007,7.5,2.35,0
Sean Penn,274,William Hurt,18352454,Adventure|Biography|Drama,Into the Wild ,426359,Hal Holbrook,alaska|based on true story|male nudity|self discovery|wilderness,760,English,2007,8.2,2.35,76000
Todd Phillips,110,Sarah Silverman,17803796,Comedy,School for Scoundrels ,26100,Jacinda Barrett,paintball|paintball gun|pepper spray|tennis|what happened to epilogue,97,English,2006,5.9,2.35,484
Michael J. Bassett,173,Deborah Kara Unger,17529157,Adventure|Drama|Horror|Mystery|Thriller,Silent Hill: Revelation 3D ,49888,Martin Donovan,18th birthday|alternate reality|introduction|nightmare|on the run,220,English,2012,5.0,2.35,25000
Robert Rodriguez,165,Salma Hayek,25753840,Crime|Fantasy|Horror,From Dusk Till Dawn ,219091,Cheech Marin,brother|human versus vampire|rapist|stripper|vampire,592,English,1996,7.3,1.85,12000
Frank Nissen,45,Brenda Blethyn,18081626,Animation|Family|Fantasy|Mystery,Pooh's Heffalump Movie ,4180,John Fiedler,creature|forest|mother son relationship|rabbit|winnie the pooh,32,English,2005,6.4,1.85,264
Jodie Foster,45,Holly Hunter,17518220,Comedy|Drama|Romance,Home for the Holidays ,9105,Steve Guttenberg,dinner|gay interest|gay sibling|homosexual|thanksgiving,76,English,1995,6.6,1.85,0
Stephen Chow,377,Chi Ling Chiu,17104669,Action|Comedy|Crime|Fantasy,Kung Fu Hustle ,99353,Qiu Yuen,1940s|axe|china|gang|sign language,354,Cantonese,2004,7.8,2.35,0
,,Mark Feuerstein,,Comedy,Fired Up             ,114,Sharon Lawrence,sitcom,6,English,,6.7,1.33,4
Peter Hastings,43,Alex Rocco,16988996,Comedy|Family|Music|Musical,The Country Bears ,3875,Stephen Root,animal in title|bear|box office flop|disney|satire,75,English,2002,4.0,1.85,422
Marc Forster,201,Shaun Toub,15797907,Drama,The Kite Runner ,68119,Khalid Abdalla,afghanistan|based on novel|boy|friend|kite,230,Dari,2007,7.6,2.35,0
Alejandro G. Iñárritu,192,Eddie Marsan,16248701,Drama,21 Grams ,189683,Danny Huston,accident|faith|love|mathematician|nonlinear timeline,559,English,2003,7.7,1.85,0
Paul Abascal,77,Tom Hollander,15712072,Action|Crime|Drama|Thriller,Paparazzi ,13210,Kelly Carlson,actor|coma|movie star|paparazzi|revenge,138,English,2004,5.8,2.35,269
Catherine Hardwicke,350,Taylor Lautner,191449475,Drama|Fantasy|Romance,Twilight ,348010,Anna Kendrick,blood|high school|love|school|vampire,1535,English,2008,5.2,2.35,19000
Chris Koch,81,Lochlyn Munro,15408822,Comedy|Romance,A Guy Thing ,14147,James Brolin,bachelor party|climbing a tree|taxi|toilet|wedding,92,English,2003,5.6,1.85,401
Amy Heckerling,81,Robert Miano,15464026,Comedy|Romance,Loser ,23076,Zak Orth,college|loser|love|new york city|overdose,158,English,2000,5.3,1.85,1000
Michael Moore,222,Michael Moore,14359793,Crime|Documentary|News,Capitalism: A Love Story ,35137,Bernie Sanders,capitalism|critique of capitalism|investment bank|market economy|plutocracy,188,English,2009,7.4,1.85,10000
George Stevens,27,Carroll Baker,8000000,Biography|Drama|History,The Greatest Story Ever Told ,6484,José Ferrer,70mm film|biblical epic|faith|jewish|king herod,100,English,1965,6.6,2.76,1000
Billy Ray,155,Michael Kelly,,Crime|Drama|Mystery|Thriller,Secret in Their Eyes ,20186,Joe Cole,digging a grave|grave digging|investigator|police|secret,81,English,2015,6.2,2.35,0
Jason Friedberg,111,Tony Cox,14174654,Comedy,Disaster Movie ,74945,Ike Barinholtz,disaster|glass|mousetrap|natural disaster|scatological humor,359,English,2008,1.9,1.85,0
Nimród Antal,107,Fred Ward,15988876,Action|Crime|Thriller,Armored ,26236,Lorna Raver,armored truck|blood splatter|die hard scenario|guard|heist,110,English,2009,5.7,2.35,0
Jon Amiel,34,Peter Gallagher,13801755,Action|Comedy|Crime|Thriller,The Man Who Knew Too Little ,23928,Joanne Whalley,assassin|bomb|dominatrix|mistaken identity|spy,100,English,1997,6.6,1.85,0
Mark Mylod,151,Ari Graynor,13987482,Comedy|Romance,What's Your Number? ,58957,Ed Begley Jr.,ex boyfriend|morning after|prince charming|quarrel|womanizer,91,English,2011,6.0,1.85,0
James Mather,289,Vincent Regan,14291570,Action|Adventure|Sci-Fi|Thriller,Lockout ,82082,Jacky Ido,bodyguard|maximum security prison|outer space|president|prison,236,English,2012,6.1,2.35,10000
Barry Levinson,76,Ariel Gade,12181484,Comedy,Envy ,26390,Sam Lerner,best friend|dog|envy|jealousy|neighbor,176,English,2004,4.8,1.85,713
Mark Neveldine,150,Clifton Collins Jr.,13630226,Action|Crime|Sci-Fi|Thriller,Crank: High Voltage ,112516,David Carradine,artificial heart|heart|horse penis|prostitute|stripper,223,English,2009,6.2,1.85,0
Woody Allen,67,Chazz Palminteri,13383737,Comedy|Crime,Bullets Over Broadway ,29385,Dianne Wiest,actress|bodyguard|new york city|play|playwright,86,English,1994,7.5,1.85,979
Michael O. Sajbel,36,Tiffany Dupont,13391174,Biography|Drama|History,One Night with the King ,5796,Nimrat Kaur,biblical|book of esther|esther|persia|treachery,177,English,2006,6.3,2.35,0
Phillip Noyce,149,Tzi Ma,12987647,Drama|Mystery|Romance|Thriller|War,The Quiet American ,24019,Holmes Osborne,american|french|saigon|vietnam|vietnamese,199,English,2002,7.1,2.35,983
Gore Verbinski,156,Hope Davis,12469811,Comedy|Drama,The Weather Man ,69172,Michael Rispoli,corndog|failure|funeral in the rain|new york city|weatherman,316,English,2005,6.6,1.85,0
Walter Hill,64,Wes Studi,12398628,Action|Crime|Drama|Sport,Undisputed ,21542,Jon Seda,boxing|fight|heavyweight champion|iceman|prison,88,English,2002,6.1,2.35,977
David Koepp,210,Dequina Moore,13214030,Comedy|Drama|Fantasy|Romance,Ghost Town ,60516,Jordan Carlos,bouquet of roses|bright light|cardiopulmonary resuscitation|ghost|white rose,147,English,2008,6.7,1.85,0
Renny Harlin,113,Ashley Scott,12232937,Action|Crime|Thriller,12 Rounds ,22823,Nick Gomez,2000s|detective|sadist|terrorism|terrorist,113,English,2009,5.6,2.35,0
Matt Reeves,390,Dylan Minnette,12134420,Drama|Fantasy|Horror|Mystery,Let Me In ,92237,Kodi Smit-McPhee,blood|boy|night|school|vampire,366,English,2010,7.2,2.35,25000
Charles T. Kanganis,5,Dustin Nguyen,11784000,Action|Comedy|Family,3 Ninjas Kick Back ,6701,Don Stark,1990s|dagger|japan|mousetrap|stick fight,26,English,1994,4.3,1.85,444
Michel Gondry,248,Mia Farrow,11169531,Comedy,Be Kind Rewind ,79855,Melonie Diaz,friend|power plant|sabotage|store clerk|video store,235,English,2008,6.4,2.35,0
Stephen Frears,137,Christopher Guest,11034436,Comedy|Drama|Music|War,Mrs Henderson Presents ,13505,Sarah Solemani,anti semitism|breasts|chamberlain|friend|theatre,180,English,2005,7.1,1.85,0
John Hillcoat,214,Norman Reedus,12626905,Action|Crime|Drama|Thriller,Triple 9 ,32567,Clifton Collins Jr.,betrayal|corrupt cop|heist|murder of a police officer|police detective,106,English,2016,6.3,2.35,0
Woody Allen,104,Lynn Cohen,10569071,Comedy,Deconstructing Harry ,35586,Judy Davis,marriage|novelist|panties pulled down|writer's block|writing,131,English,1997,7.4,1.85,0
Damon Santostefano,81,Oliver Platt,10544143,Comedy|Romance,Three to Tango ,16372,David Ramsey,architect|award|farce|love|misunderstanding,121,English,1999,6.1,1.37,311
John Wells,175,Omar Sy,13650738,Comedy|Drama,Burnt ,61360,Riccardo Scamarcio,chef|gay kiss|michelin star|restaurant|violent behavior,129,English,2015,6.6,2.35,25000
Neil Jordan,20,Demi Moore,10555348,Comedy|Crime,We're No Angels ,17349,James Russo,con|convict|escape|police|priest,42,English,1989,6.0,2.35,855
Woody Allen,69,Gaby Hoffmann,9714482,Comedy|Musical|Romance,Everyone Says I Love You ,30083,Jeff DeRocker,engagement|grandfather|liberal|maid|song,140,English,1996,6.8,1.85,0
Frank Oz,168,Ewen Bremner,8579684,Comedy,Death at a Funeral ,89547,Kris Marshall,end credits roll call|four word title|funeral|secret|uncle,199,English,2007,7.4,1.85,0
James Wan,166,Kelly Preston,9525276,Action|Crime|Thriller,Death Sentence ,60156,Edi Gathegi,blood|death|gang|murder|revenge,299,English,2007,6.8,2.35,0
Kirk Jones,160,James Frain,8855646,Adventure|Drama,Everybody's Fine ,49855,Brendan Sexton III,bus trip|parental love|retirement|surprise visit|train ride,117,English,2009,7.2,2.35,10000
Bob Clark,32,Vanessa Angel,9109322,Comedy|Family|Sci-Fi,Superbabies: Baby Geniuses 2 ,25371,Peter Wingfield,computer|good versus evil|mind control|science experiment|sequel,129,English,2004,1.9,2.35,0
Les Mayfield,72,Susie Essman,8326035,Action|Comedy|Crime,The Man ,21933,Gigi Rice,buddy comedy|criminal|gun smuggling|mistaken identity|salesman,76,English,2005,5.5,1.85,676
Les Mayfield,53,Will Patton,8104069,Action|Comedy|Crime,Code Name: The Cleaner ,9785,Cedric the Entertainer,comic violence|hand to hand combat|kung fu|talking to self in mirror|violence,26,English,2007,4.5,1.85,233
Michael Lembeck,76,Nia Vardalos,8054280,Comedy|Crime|Music,Connie and Carla ,6838,Dash Mihok,box office flop|drag queen|gender disguise|mafia|witness,117,English,2004,6.3,1.85,924
Bob Fosse,15,Ricardo Montalban,,Comedy|Drama|Music|Musical|Romance,Sweet Charity ,3454,Ben Vereen,charity|dancer|foreign language adaptation|hope|taxi dancer,64,English,1969,7.0,2.35,548
Paul Thomas Anderson,401,Katherine Waterston,8093318,Comedy|Crime|Drama|Mystery|Romance,Inherent Vice ,61935,Serena Scott Thomas,1960s|based on novel|ex boyfriend ex girlfriend relationship|southern california|voice over narration,242,English,2014,6.7,1.85,18000
Dave Borthwick,31,Kylie Minogue,7382993,Adventure|Animation|Comedy|Family|Fantasy,Doogal ,3851,Jon Stewart,diamond|lava|magic|mountain|sorcerer,114,English,2006,2.8,1.85,346
Benson Lee,65,Caity Lotz,8888355,Drama|Music,Battle of the Year ,7894,Laz Alonso,3 dimensional|box office flop|critically bashed|dancing,25,English,2013,5.0,1.85,0
,26,Eric McCormack,,Crime|Drama|Mystery|Thriller,Perception             ,15612,Scott Wolf,,29,English,,7.5,16.0,0
David Zucker,45,Geoffrey Arend,7001720,Comedy|Fantasy,An American Carol ,8560,Gary Coleman,arab stereotype|box office flop|documentary filmmaker|filmmaker|terrorist,205,English,2008,4.3,2.35,797
Robert Rodriguez,260,Demián Bichir,7268659,Action|Comedy|Crime|Thriller,Machete Kills ,59248,Marko Zaror,arms dealer|battle|bomb|machete|missile,164,English,2013,5.6,1.85,48000
Glen Morgan,129,Ty Olsson,6852144,Drama|Horror|Sci-Fi|Thriller,Willard ,15169,Jackie Burroughs,at work|rat|revenge|vermin|work,213,English,2003,6.2,2.35,0
Fred Wolf,58,Ashley Scott,6563357,Adventure|Comedy,Strange Wilderness ,18571,Jeff Garlin,bigfoot|critically bashed|ecuador|friend|tv show,120,English,2008,5.3,2.35,847
Mike Leigh,103,Dexter Fletcher,6201757,Biography|Comedy|Drama|History|Music|Musical,Topsy-Turvy ,10037,Lesley Manville,19th century|exhibition|gilbert and sullivan|gilbert and sullivan's princess ida|japanese,202,English,1999,7.4,1.66,608
Alejandro Monteverde,45,Cary-Hiroyuki Tagawa,6420319,Drama|War,Little Boy ,15978,Michael Rapaport,,122,English,2015,7.4,2.35,15000
David Cronenberg,345,Viggo Mortensen,5702083,Biography|Drama|Thriller,A Dangerous Method ,80617,Sarah Gadon,carl jung|patient|psychoanalysis|russian|sigmund freud,190,English,2011,6.5,1.85,36000
Richard Linklater,232,Keanu Reeves,5480996,Animation|Drama|Mystery|Sci-Fi|Thriller,A Scanner Darkly ,89383,Rory Cochrane,detective|drugs|substance d|undercover|undercover cop,293,English,2006,7.1,1.85,0
Michael Apted,116,Abigail Spencer,6002756,Biography|Drama|Sport,Chasing Mavericks ,24997,Leven Rambin,box office flop|no opening credits|surfing|two word title|year 1987,75,English,2012,7.2,1.85,13000
Uwe Boll,148,Darren Shahlavi,5132655,Horror|Sci-Fi,Alone in the Dark ,37626,Karin Konoval,artifact|creature|darkness|demon|museum,521,English,2005,2.3,2.35,1000
Todd Graff,79,Charlie Saxton,5205343,Comedy|Drama|Family|Music|Romance,Bandslam ,11958,Ryan Donowho,battle of the bands|high school|rock 'n' roll|school|teenager,39,English,2009,6.4,2.35,1000
Jonathan Glazer,167,Anne Heche,5005883,Drama|Mystery|Romance|Thriller,Birth ,29649,Danny Huston,birthday|boy|dead husband|death|widow,361,English,2004,6.1,1.85,0
J.C. Chandor,350,Ashley Williams,5749134,Action|Crime|Drama|Thriller,A Most Violent Year ,45799,Albert Brooks,american dream|immigrant|new york city|oil|violence,180,English,2014,7.0,2.35,0
Paul Gross,25,Michael Greyeyes,,Drama|History|Romance|War,Passchendaele ,6904,Caroline Dhavernas,battle|canadian armed forces|canadian soldier|directed by star|veteran,102,English,2008,6.5,2.35,971
Marc Abraham,99,Bill Lake,4234040,Biography|Drama,Flash of Genius ,14301,Victoria Learn,flash of genius|genius|intellectual property|professor|university,45,English,2008,7.0,2.35,0
Todd Haynes,231,Heath Ledger,4001121,Biography|Drama|Music,I'm Not There. ,48346,Tyrone Benskin,1960s|actor|horseback riding|reporter|riding the rails,230,English,2007,7.0,2.35,0
Mabrouk El Mechri,119,Bruce Willis,3749061,Action|Thriller,The Cold Light of Day ,28629,Óscar Jaenada,driving a car down stairs|duct tape gag|held captive|murder of a police officer|sailing,113,English,2012,4.9,2.35,0
Rian Johnson,182,Maximilian Schell,3519627,Adventure|Comedy|Drama|Romance,The Brothers Bloom ,41737,Nora Zehetner,con man|eccentric|heiress|love|revenge,105,English,2008,6.9,2.35,0
Charlie Kaufman,245,Jennifer Jason Leigh,3081925,Comedy|Drama|Romance,Synecdoche, New York ,55842,Samantha Morton,actress|director|play|theatre director|warehouse,274,English,2008,7.5,2.35,13000
Hayao Miyazaki,174,Jada Pinkett Smith,2298191,Adventure|Animation|Fantasy,Princess Mononoke ,221552,Billy Crudup,anime|cult film|forest|princess|studio ghibli,570,Japanese,1997,8.4,1.85,11000
Jean-Paul Rappeneau,69,Peter Coyote,2353728,Comedy|Drama|Mystery|Romance|Thriller|War,Bon voyage ,4293,Virginie Ledoyen,actress|bordeaux|german|heavy water|nazi,53,French,2003,6.9,2.35,235
Nancy Walker,26,Randy Jones,2000000,Biography|Comedy|Musical,Can't Stop the Music ,2998,Caitlyn Jenner,male frontal nudity|male full frontal nudity|male nudity|male rear nudity|new york city,74,English,1980,4.5,2.35,1000
John Hillcoat,168,Noah Taylor,1900725,Crime|Drama|Western,The Proposition ,43205,Danny Huston,aborigine|foreboding|gang|hideout|outlaw,232,English,2005,7.4,2.35,0
Angelo Pizzo,27,Finn Wittrock,2246000,Biography|Drama|Sport,Courage ,2302,Brent Anderson,coach|football|football movie|football team|high school sweethearts,20,English,2015,7.0,2.35,0
Richard Benjamin,28,Jane Krakowski,1646664,Comedy|Music,Marci X ,4518,Paula Garcés,female protagonist|hip hop|jewish american princess|rapper|record label,66,English,2003,2.8,1.85,241
Kurt Wimmer,146,Emily Watson,1190018,Action|Drama|Sci-Fi|Thriller,Equilibrium ,261317,Sean Pertwee,cleric|dystopia|fascist|law|neo noir,1137,English,2002,7.5,2.35,20000
Roger Spottiswoode,67,Guang Li,1027749,Drama|War,The Children of Huang Shi ,8087,Matthew Walker,british|communist|journalist|nurse|orphan,33,English,2008,7.1,2.35,1000
James Gray,93,Ellen Burstyn,882710,Crime|Drama|Romance|Thriller,The Yards ,16215,Faye Dunaway,best friend|corruption|fall to death|female nudity|friend,138,English,2000,6.4,2.35,401
Matthew Diamond,28,Garrett Clayton,1064277,Adventure|Family|Fantasy|Musical,The Oogieloves in the Big Balloon Adventure ,14015,Toni Braxton,balloon|birthday|box office flop|critically bashed,83,English,2012,6.7,,831
Angelina Jolie Pitt,131,Angelina Jolie Pitt,531009,Drama|Romance,By the Sea ,7976,Melvil Poupaud,cheating wife|cigarette smoking|male in shower|male nudity|male rear nudity,61,English,2015,5.3,2.35,0
Katsuhiro Ôtomo,105,Robin Atkin Downes,410388,Action|Adventure|Animation|Family|Sci-Fi|Thriller,Steamboy ,13727,Rosalind Ayres,19th century|ball|boy|inventor|steam,79,Japanese,2004,6.9,1.85,973
David Anspaugh,21,Costas Mandylor,375474,Drama|History|Sport,The Game of Their Lives ,2613,Jimmy Jean-Louis,1950s|brazil|soccer|soccer movie|world cup,46,English,2005,6.2,2.35,445
Andrew Jarecki,140,Kirsten Dunst,578382,Crime|Drama|Mystery|Romance|Thriller,All Good Things ,41249,Frank Langella,family business|friend|murder|new york city|trial,67,English,2010,6.3,1.85,0
Kevin Reynolds,9,Jason Scott Lee,305070,Action|Adventure|Drama|History|Romance,Rapa Nui ,3843,Sandrine Holt,easter island|location in title|statue|topless female nudity|two word title,25,English,1994,6.4,2.35,399
Stephen Chow,83,Yuqi Zhang,206678,Comedy|Family|Sci-Fi,CJ7 ,11391,Chi Chung Lam,father son relationship|miracle|school|ufo|written and directed by cast member,66,Cantonese,2008,6.5,2.35,1000
Jean-Marie Poiré,8,Philippe Nahon,146072,Comedy|Family|Fantasy|Sci-Fi,Les couloirs du temps: Les visiteurs II ,7147,Marie-Anne Chazel,jewel|knight|magical potion|sequel|time travel comedy,16,French,1998,6.0,2.35,136
Kevin Munroe,138,Laura Spencer,1183354,Action|Comedy|Crime|Fantasy|Horror|Mystery|Sci-Fi|Thriller,Dylan Dog: Dead of Night ,13026,Anita Briem,close up of eyes|monster|quirkiness|supernatural|vomiting,75,English,2010,5.1,2.35,0
Daniel Algrant,42,Richard Schiff,121972,Crime|Drama|Mystery,People I Know ,9868,Mark Webber,actor|client|new york|protection|scandal,81,English,2002,5.5,1.85,217
,,George Coulouris,,Drama|Family,The Doombolt Chase             ,18,Ewen Solon,,,English,,7.2,,0
Julie Taymor,92,Reeve Carney,263365,Comedy|Drama|Fantasy|Romance,The Tempest ,6147,Tom Conti,banishment|sorcery|spirit|staff|storm at sea,36,English,2010,5.4,2.35,0
Alejandro Amenábar,140,Aaron Ashmore,54734,Crime|Drama|Mystery|Thriller,Regression ,20821,Julian Richings,inspired by true events|memory|minnesota|police|year 1990,62,English,2015,5.7,2.35,0
Jane Clark,,Traci Dinwiddie,,Romance|Short,The Touch ,118,Elea Oberon,lesbian|paris france|period piece|poem|poetess,,English,2007,5.2,1.85,30
Daniel Lee,29,Sammo Kam-Bo Hung,,Action|Drama|History|War,Three Kingdoms: Resurrection of the Dragon ,5154,Andy On,art of war|china|civil war|female warrior|musician,29,Mandarin,2008,6.2,2.35,314
Mike Barker,29,Nicholas Lea,,Crime|Drama|Thriller,Shattered ,25450,Callum Rennie,daughter|gun|nanny|sociopath|suburb,118,English,2007,6.7,2.35,0
