director_name,num_critic_for_reviews,actor_2_name,gross,actor_1_name,movie_title,facenumber_in_poster,plot_keywords,movie_imdb_link,content_rating,budget,actor_2_facebook_likes,aspect_ratio
Malcolm D. Lee,153,Snoop Dogg,32014289,Marisa Saks,Scary Movie 5 ,8,2010s|ape|ballet|psychic|supernatural,http://www.imdb.com/title/tt0795461/?ref_=fn_tt_tt_1,PG-13,20000000,881,1.85
Joshua Logan,20,Lee Marvin,,Clint Eastwood,Paint Your Wagon ,3,california|farmer|gold|mining|prospector,http://www.imdb.com/title/tt0064782/?ref_=fn_tt_tt_1,PG-13,20000000,756,2.35
Gus Van Sant,324,Denis O'Hare,31838002,James Franco,Milk ,1,california|gay|gay activist|gay pickup|gay rights,http://www.imdb.com/title/tt1013753/?ref_=fn_tt_tt_1,R,20000000,896,1.85
Kevin Reynolds,122,Jan Cornet,36874745,Peter Firth,Risen ,2,biblical|crucifixion|judea|resurrection|roman soldier,http://www.imdb.com/title/tt3231054/?ref_=fn_tt_tt_1,PG-13,20000000,76,2.35
Steve Beck,156,Ron Eldard,30079316,Isaiah Washington,Ghost Ship ,0,decapitation|ghost ship|passenger|severed head|torso cut in half,http://www.imdb.com/title/tt0288477/?ref_=fn_tt_tt_1,R,35000000,385,1.85
Todd Strauss-Schulson,161,Thomas Lennon,35033759,Patton Oswalt,A Very Harold & Kumar 3D Christmas ,4,christmas|christmas tree|fire|new york city|stoner,http://www.imdb.com/title/tt1268799/?ref_=fn_tt_tt_1,R,19000000,651,2.35
John McNaughton,69,Robert Wagner,29753944,Bill Murray,Wild Things ,3,erotic thriller|forbidden sex|lesbian sex|sex with a student|taboo sex,http://www.imdb.com/title/tt0120890/?ref_=fn_tt_tt_1,R,20000000,481,2.35
Nelson McCormick,121,Paige Turco,29062561,Sela Ward,The Stepfather ,0,head dunked in water|military school|plastic bag|playing a video game|suffocating,http://www.imdb.com/title/tt0814335/?ref_=fn_tt_tt_1,PG-13,,533,2.35
John Madden,258,Jesper Christensen,31146570,Tom Wilkinson,The Debt ,3,east berlin|kiev ukraine|mossad|nazi|nazi war criminal,http://www.imdb.com/title/tt1226753/?ref_=fn_tt_tt_1,R,20000000,100,2.35
Stephen Frears,174,Lili Taylor,27277055,Drake Bell,High Fidelity ,0,employer employee relationship|record store|store|thirty something|vinyl,http://www.imdb.com/title/tt0146882/?ref_=fn_tt_tt_1,R,20000000,960,1.85
Eric Valette,141,Jason Beghe,26876529,Johnny Lewis,One Missed Call ,1,death|lifting someone into the air|telephone|telephone call|voice mail,http://www.imdb.com/title/tt0479968/?ref_=fn_tt_tt_1,PG-13,27000000,297,1.85
John Schlesinger,31,Beverly D'Angelo,53146000,Joe Mantegna,Eye for an Eye ,1,justice|rape|self defense|support group|vigilante,http://www.imdb.com/title/tt0116260/?ref_=fn_tt_tt_1,R,20000000,816,1.85
Roger Donaldson,222,Saffron Burrows,30028592,Jason Statham,The Bank Job ,0,chase|heist|london england|mobster|safe deposit,http://www.imdb.com/title/tt0200465/?ref_=fn_tt_tt_1,R,20000000,811,2.35
Michel Gondry,273,Kirsten Dunst,34126138,Kate Winslet,Eternal Sunshine of the Spotless Mind ,1,borderline personality disorder|loneliness|memory|playing against type|retrograde narrative,http://www.imdb.com/title/tt0338013/?ref_=fn_tt_tt_1,R,20000000,4000,1.85
Andy Fickman,91,James Wolk,25677801,Jamie Lee Curtis,You Again ,6,dancing|dog|flight|hostility|travel,http://www.imdb.com/title/tt1414382/?ref_=fn_tt_tt_1,PG,20000000,938,2.35
David Ayer,190,Chris Evans,26415649,Keanu Reeves,Street Kings ,4,captain|lapd|murder|undercover cop|violence,http://www.imdb.com/title/tt0421073/?ref_=fn_tt_tt_1,R,20000000,11000,2.35
Edgar Wright,427,Thomas Law,26003149,Michael Smiley,The World's End ,6,alcoholic|doppelganger|group therapy|self mutilation|twin actresses for twin sisters,http://www.imdb.com/title/tt1213663/?ref_=fn_tt_tt_1,R,20000000,55,2.35
Andrew Fleming,93,Laura Harring,25584685,Kay Panabaker,Nancy Drew ,5,chase|clue|detective|movie star|murder,http://www.imdb.com/title/tt0479500/?ref_=fn_tt_tt_1,PG,20000000,669,2.35
Michael Spierig,292,Damien Garvey,29975979,Jay Laga'aia,Daybreakers ,0,blood|rationing|vampire|vampire society|year 2019,http://www.imdb.com/title/tt0433362/?ref_=fn_tt_tt_1,R,20000000,37,2.35
Jim Field Smith,180,Kim Shaw,31584722,Mike Vogel,She's Out of My League ,1,airport|airport security|confidence|iphone|love,http://www.imdb.com/title/tt0815236/?ref_=fn_tt_tt_1,R,20000000,934,2.35
Thomas Bezucha,94,Luke Bracey,23179303,Leighton Meester,Monte Carlo ,3,cell phone|hotel|misunderstanding|monte carlo|young woman,http://www.imdb.com/title/tt1067774/?ref_=fn_tt_tt_1,PG,20000000,775,1.85
William Brent Bell,112,Frankie Muniz,23078294,Adam Goldberg,Stay Alive ,0,countess|game reality crossover|ghost|group of friends|tower,http://www.imdb.com/title/tt0441796/?ref_=fn_tt_tt_1,PG-13,9000000,934,2.35
Simon Wincer,20,Tom Selleck,21413105,Alan Rickman,Quigley Down Under ,1,aborigine|australian|australian aborigine|australian outback|rancher,http://www.imdb.com/title/tt0102744/?ref_=fn_tt_tt_1,PG-13,20000000,19000,2.35
Anthony Bell,84,Larry Miller,25077977,Kevin Sussman,Alpha and Omega ,0,arranged marriage|geese|idaho|national park|park,http://www.imdb.com/title/tt1213012/?ref_=fn_tt_tt_1,PG,20000000,611,1.85
Renny Harlin,120,Kyle Schmid,23292105,Laura Ramsey,The Covenant ,0,family secret|friendship between men|magic|supernatural power|teenager,http://www.imdb.com/title/tt0475944/?ref_=fn_tt_tt_1,PG-13,20000000,917,2.35
Jessica Bendinger,90,Vanessa Lengies,26870825,Jeff Bridges,Stick It ,3,coach|gymnastics|houston texas|teenager|texas,http://www.imdb.com/title/tt0430634/?ref_=fn_tt_tt_1,PG-13,,804,1.85
Robert Rodriguez,103,Leo Howard,20916309,Jimmy Bennett,Shorts ,4,boy|family relationships|rock|twin|two headed person,http://www.imdb.com/title/tt1100119/?ref_=fn_tt_tt_1,PG,40000000,570,1.85
Gus Van Sant,59,Wayne Knight,21200000,Kurtwood Smith,To Die For ,0,career|fame|murder|new hampshire|television,http://www.imdb.com/title/tt0114681/?ref_=fn_tt_tt_1,R,20000000,967,1.85
Henry Joost,86,Marc John Jefferies,28876924,Samira Wiley,Nerve ,0,dare|game|knocked out|motorcycle|online game,http://www.imdb.com/title/tt3531824/?ref_=fn_tt_tt_1,PG-13,20000000,441,
Ed Harris,190,James Gammon,20207003,Viggo Mortensen,Appaloosa ,0,deputy|friend|hanging|rancher|widow,http://www.imdb.com/title/tt0800308/?ref_=fn_tt_tt_1,R,,311,2.35
John Carpenter,114,Cary-Hiroyuki Tagawa,20241395,Sheryl Lee,Vampires ,0,cross|relic|team|vampire|vampire hunter,http://www.imdb.com/title/tt0120877/?ref_=fn_tt_tt_1,R,20000000,1000,2.35
,6,,,Pablo Sevilla,Yu-Gi-Oh! Duel Monsters             ,0,anime|based on manga|hero|surrealism|zen,http://www.imdb.com/title/tt0249327/?ref_=fn_tt_tt_1,,,,
Alfred Hitchcock,290,Vera Miles,32000000,Janet Leigh,Psycho ,2,money|motel|rain|shower|theft,http://www.imdb.com/title/tt0054215/?ref_=fn_tt_tt_1,R,806947,332,1.85
Howard Deutch,80,Taran Killam,19151864,Dane Cook,My Best Friend's Girl ,3,breasts|female rear nudity|jesus crust pizza parlor|thong panties|wedding,http://www.imdb.com/title/tt1046163/?ref_=fn_tt_tt_1,R,40000000,500,1.85
Shana Feste,98,Bruce Greenwood,23393765,Alex Pettyfer,Endless Love ,0,brother sister relationship|high school graduation|love|sparkler|unfaithful husband,http://www.imdb.com/title/tt2318092/?ref_=fn_tt_tt_1,PG-13,20000000,989,2.35
Garry Marshall,88,Zachary Gordon,18882880,Hector Elizondo,Georgia Rule ,3,alcoholic|rules|secret|summer|teenager,http://www.imdb.com/title/tt0791304/?ref_=fn_tt_tt_1,R,20000000,975,2.35
Steve Rash,13,Adam Arkin,8500000,Mako,Under the Rainbow ,0,assassin|hotel|japanese tourist|secret service|wizard of oz,http://www.imdb.com/title/tt0083254/?ref_=fn_tt_tt_1,PG,20000000,374,1.78
Richard Donner,52,John Wood,,Matthew Broderick,Ladyhawke ,2,bishop|escape|hawk|lady|thief,http://www.imdb.com/title/tt0089457/?ref_=fn_tt_tt_1,PG-13,20000000,92,2.35
Mark Steven Johnson,60,Jan Hooks,18252684,Oliver Platt,Simon Birch ,2,boy|christmas|christmas pageant|friendship|illegitimate son,http://www.imdb.com/title/tt0124879/?ref_=fn_tt_tt_1,PG,30000000,367,1.85
Mike Binder,154,Don Cheadle,19661987,Adam Sandler,Reign Over Me ,2,college|depression|grief|mental breakdown|post september 11 2001,http://www.imdb.com/title/tt0490204/?ref_=fn_tt_tt_1,R,20000000,3000,2.35
Sean Penn,274,William Hurt,18352454,Kristen Stewart,Into the Wild ,0,alaska|based on true story|male nudity|self discovery|wilderness,http://www.imdb.com/title/tt0758758/?ref_=fn_tt_tt_1,R,15000000,882,2.35
Todd Phillips,110,Sarah Silverman,17803796,Jon Heder,School for Scoundrels ,1,paintball|paintball gun|pepper spray|tennis|what happened to epilogue,http://www.imdb.com/title/tt0462519/?ref_=fn_tt_tt_1,PG-13,20000000,931,2.35
Michael J. Bassett,173,Deborah Kara Unger,17529157,Radha Mitchell,Silent Hill: Revelation 3D ,0,18th birthday|alternate reality|introduction|nightmare|on the run,http://www.imdb.com/title/tt0938330/?ref_=fn_tt_tt_1,R,20000000,494,2.35
Robert Rodriguez,165,Salma Hayek,25753840,Quentin Tarantino,From Dusk Till Dawn ,2,brother|human versus vampire|rapist|stripper|vampire,http://www.imdb.com/title/tt0116367/?ref_=fn_tt_tt_1,R,19000000,4000,1.85
Frank Nissen,45,Brenda Blethyn,18081626,Kath Soucie,Pooh's Heffalump Movie ,0,creature|forest|mother son relationship|rabbit|winnie the pooh,http://www.imdb.com/title/tt0407121/?ref_=fn_tt_tt_1,G,20000000,286,1.85
Jodie Foster,45,Holly Hunter,17518220,Robert Downey Jr.,Home for the Holidays ,1,dinner|gay interest|gay sibling|homosexual|thanksgiving,http://www.imdb.com/title/tt0113321/?ref_=fn_tt_tt_1,PG-13,20000000,1000,1.85
Stephen Chow,377,Chi Ling Chiu,17104669,Shengyi Huang,Kung Fu Hustle ,1,1940s|axe|china|gang|sign language,http://www.imdb.com/title/tt0373074/?ref_=fn_tt_tt_1,R,20000000,62,2.35
,,Mark Feuerstein,,Leah Remini,Fired Up             ,2,sitcom,http://www.imdb.com/title/tt0118315/?ref_=fn_tt_tt_1,,,417,1.33
Peter Hastings,43,Alex Rocco,16988996,Haley Joel Osment,The Country Bears ,1,animal in title|bear|box office flop|disney|satire,http://www.imdb.com/title/tt0276033/?ref_=fn_tt_tt_1,G,35000000,968,1.85
Marc Forster,201,Shaun Toub,15797907,Mustafa Haidari,The Kite Runner ,0,afghanistan|based on novel|boy|friend|kite,http://www.imdb.com/title/tt0419887/?ref_=fn_tt_tt_1,PG-13,20000000,206,2.35
Alejandro G. Iñárritu,192,Eddie Marsan,16248701,Naomi Watts,21 Grams ,0,accident|faith|love|mathematician|nonlinear timeline,http://www.imdb.com/title/tt0315733/?ref_=fn_tt_tt_1,R,20000000,979,1.85
Paul Abascal,77,Tom Hollander,15712072,Cole Hauser,Paparazzi ,0,actor|coma|movie star|paparazzi|revenge,http://www.imdb.com/title/tt0338325/?ref_=fn_tt_tt_1,PG-13,20000000,555,2.35
Catherine Hardwicke,350,Taylor Lautner,191449475,Kristen Stewart,Twilight ,1,blood|high school|love|school|vampire,http://www.imdb.com/title/tt1099212/?ref_=fn_tt_tt_1,PG-13,37000000,12000,2.35
Chris Koch,81,Lochlyn Munro,15408822,Thomas Lennon,A Guy Thing ,3,bachelor party|climbing a tree|taxi|toilet|wedding,http://www.imdb.com/title/tt0295289/?ref_=fn_tt_tt_1,PG-13,20000000,555,1.85
Amy Heckerling,81,Robert Miano,15464026,Andy Dick,Loser ,2,college|loser|love|new york city|overdose,http://www.imdb.com/title/tt0217630/?ref_=fn_tt_tt_1,PG-13,20000000,216,1.85
Michael Moore,222,Michael Moore,14359793,Ronald Reagan,Capitalism: A Love Story ,0,capitalism|critique of capitalism|investment bank|market economy|plutocracy,http://www.imdb.com/title/tt1232207/?ref_=fn_tt_tt_1,R,,909,1.85
George Stevens,27,Carroll Baker,8000000,Martin Landau,The Greatest Story Ever Told ,6,70mm film|biblical epic|faith|jewish|king herod,http://www.imdb.com/title/tt0059245/?ref_=fn_tt_tt_1,G,20000000,208,2.76
Billy Ray,155,Michael Kelly,,Julia Roberts,Secret in Their Eyes ,0,digging a grave|grave digging|investigator|police|secret,http://www.imdb.com/title/tt1741273/?ref_=fn_tt_tt_1,PG-13,19500000,963,2.35
Jason Friedberg,111,Tony Cox,14174654,Carmen Electra,Disaster Movie ,0,disaster|glass|mousetrap|natural disaster|scatological humor,http://www.imdb.com/title/tt1213644/?ref_=fn_tt_tt_1,PG-13,25000000,624,1.85
Nimród Antal,107,Fred Ward,15988876,Andrew Fiscella,Armored ,6,armored truck|blood splatter|die hard scenario|guard|heist,http://www.imdb.com/title/tt0913354/?ref_=fn_tt_tt_1,PG-13,27000000,459,2.35
Jon Amiel,34,Peter Gallagher,13801755,Bill Murray,The Man Who Knew Too Little ,1,assassin|bomb|dominatrix|mistaken identity|spy,http://www.imdb.com/title/tt0120483/?ref_=fn_tt_tt_1,PG,20000000,828,1.85
Mark Mylod,151,Ari Graynor,13987482,Chris Evans,What's Your Number? ,1,ex boyfriend|morning after|prince charming|quarrel|womanizer,http://www.imdb.com/title/tt0770703/?ref_=fn_tt_tt_1,R,20000000,904,1.85
James Mather,289,Vincent Regan,14291570,Joseph Gilgun,Lockout ,2,bodyguard|maximum security prison|outer space|president|prison,http://www.imdb.com/title/tt1592525/?ref_=fn_tt_tt_1,PG-13,20000000,447,2.35
Barry Levinson,76,Ariel Gade,12181484,Amy Poehler,Envy ,1,best friend|dog|envy|jealousy|neighbor,http://www.imdb.com/title/tt0326856/?ref_=fn_tt_tt_1,PG-13,40000000,87,1.85
Mark Neveldine,150,Clifton Collins Jr.,13630226,Jason Statham,Crank: High Voltage ,0,artificial heart|heart|horse penis|prostitute|stripper,http://www.imdb.com/title/tt1121931/?ref_=fn_tt_tt_1,R,20000000,968,1.85
Woody Allen,67,Chazz Palminteri,13383737,Jim Broadbent,Bullets Over Broadway ,4,actress|bodyguard|new york city|play|playwright,http://www.imdb.com/title/tt0109348/?ref_=fn_tt_tt_1,R,20000000,979,1.85
Michael O. Sajbel,36,Tiffany Dupont,13391174,James Callis,One Night with the King ,0,biblical|book of esther|esther|persia|treachery,http://www.imdb.com/title/tt0430431/?ref_=fn_tt_tt_1,PG,20000000,249,2.35
Phillip Noyce,149,Tzi Ma,12987647,Brendan Fraser,The Quiet American ,2,american|french|saigon|vietnam|vietnamese,http://www.imdb.com/title/tt0258068/?ref_=fn_tt_tt_1,R,30000000,268,2.35
Gore Verbinski,156,Hope Davis,12469811,Nicolas Cage,The Weather Man ,1,corndog|failure|funeral in the rain|new york city|weatherman,http://www.imdb.com/title/tt0384680/?ref_=fn_tt_tt_1,R,22000000,442,1.85
Walter Hill,64,Wes Studi,12398628,Fisher Stevens,Undisputed ,2,boxing|fight|heavyweight champion|iceman|prison,http://www.imdb.com/title/tt0281322/?ref_=fn_tt_tt_1,R,20000000,855,2.35
David Koepp,210,Dequina Moore,13214030,Aasif Mandvi,Ghost Town ,3,bouquet of roses|bright light|cardiopulmonary resuscitation|ghost|white rose,http://www.imdb.com/title/tt0995039/?ref_=fn_tt_tt_1,PG-13,20000000,41,1.85
Renny Harlin,113,Ashley Scott,12232937,Taylor Cole,12 Rounds ,1,2000s|detective|sadist|terrorism|terrorist,http://www.imdb.com/title/tt1160368/?ref_=fn_tt_tt_1,PG-13,22000000,794,2.35
Matt Reeves,390,Dylan Minnette,12134420,Chloë Grace Moretz,Let Me In ,0,blood|boy|night|school|vampire,http://www.imdb.com/title/tt1228987/?ref_=fn_tt_tt_1,R,20000000,1000,2.35
Charles T. Kanganis,5,Dustin Nguyen,11784000,Victor Wong,3 Ninjas Kick Back ,0,1990s|dagger|japan|mousetrap|stick fight,http://www.imdb.com/title/tt0109015/?ref_=fn_tt_tt_1,PG,20000000,220,1.85
Michel Gondry,248,Mia Farrow,11169531,Quinton Aaron,Be Kind Rewind ,2,friend|power plant|sabotage|store clerk|video store,http://www.imdb.com/title/tt0799934/?ref_=fn_tt_tt_1,PG-13,20000000,563,2.35
Stephen Frears,137,Christopher Guest,11034436,Bob Hoskins,Mrs Henderson Presents ,1,anti semitism|breasts|chamberlain|friend|theatre,http://www.imdb.com/title/tt0413015/?ref_=fn_tt_tt_1,R,20000000,378,1.85
John Hillcoat,214,Norman Reedus,12626905,Kate Winslet,Triple 9 ,3,betrayal|corrupt cop|heist|murder of a police officer|police detective,http://www.imdb.com/title/tt1712261/?ref_=fn_tt_tt_1,R,20000000,12000,2.35
Woody Allen,104,Lynn Cohen,10569071,Woody Allen,Deconstructing Harry ,2,marriage|novelist|panties pulled down|writer's block|writing,http://www.imdb.com/title/tt0118954/?ref_=fn_tt_tt_1,R,20000000,474,1.85
Damon Santostefano,81,Oliver Platt,10544143,Matthew Perry,Three to Tango ,2,architect|award|farce|love|misunderstanding,http://www.imdb.com/title/tt0144640/?ref_=fn_tt_tt_1,PG-13,20000000,1000,1.37
John Wells,175,Omar Sy,13650738,Bradley Cooper,Burnt ,1,chef|gay kiss|michelin star|restaurant|violent behavior,http://www.imdb.com/title/tt2503944/?ref_=fn_tt_tt_1,R,20000000,1000,2.35
Neil Jordan,20,Demi Moore,10555348,Robert De Niro,We're No Angels ,0,con|convict|escape|police|priest,http://www.imdb.com/title/tt0098625/?ref_=fn_tt_tt_1,PG-13,20000000,2000,2.35
Woody Allen,69,Gaby Hoffmann,9714482,Natasha Lyonne,Everyone Says I Love You ,0,engagement|grandfather|liberal|maid|song,http://www.imdb.com/title/tt0116242/?ref_=fn_tt_tt_1,R,20000000,612,1.85
Frank Oz,168,Ewen Bremner,8579684,Peter Dinklage,Death at a Funeral ,0,end credits roll call|four word title|funeral|secret|uncle,http://www.imdb.com/title/tt0795368/?ref_=fn_tt_tt_1,R,9000000,557,1.85
James Wan,166,Kelly Preston,9525276,Aisha Tyler,Death Sentence ,0,blood|death|gang|murder|revenge,http://www.imdb.com/title/tt0804461/?ref_=fn_tt_tt_1,R,20000000,742,2.35
Kirk Jones,160,James Frain,8855646,Robert De Niro,Everybody's Fine ,1,bus trip|parental love|retirement|surprise visit|train ride,http://www.imdb.com/title/tt0780511/?ref_=fn_tt_tt_1,PG-13,21000000,1000,2.35
Bob Clark,32,Vanessa Angel,9109322,Scott Baio,Superbabies: Baby Geniuses 2 ,3,computer|good versus evil|mind control|science experiment|sequel,http://www.imdb.com/title/tt0270846/?ref_=fn_tt_tt_1,PG,20000000,384,2.35
Les Mayfield,72,Susie Essman,8326035,Miguel Ferrer,The Man ,2,buddy comedy|criminal|gun smuggling|mistaken identity|salesman,http://www.imdb.com/title/tt0399327/?ref_=fn_tt_tt_1,PG-13,33000000,99,1.85
Les Mayfield,53,Will Patton,8104069,Callum Rennie,Code Name: The Cleaner ,3,comic violence|hand to hand combat|kung fu|talking to self in mirror|violence,http://www.imdb.com/title/tt0462229/?ref_=fn_tt_tt_1,PG-13,20000000,537,1.85
Michael Lembeck,76,Nia Vardalos,8054280,Debbie Reynolds,Connie and Carla ,3,box office flop|drag queen|gender disguise|mafia|witness,http://www.imdb.com/title/tt0345074/?ref_=fn_tt_tt_1,PG-13,20000000,567,1.85
Bob Fosse,15,Ricardo Montalban,,Sammy Davis Jr.,Sweet Charity ,0,charity|dancer|foreign language adaptation|hope|taxi dancer,http://www.imdb.com/title/tt0065054/?ref_=fn_tt_tt_1,G,20000000,641,2.35
Paul Thomas Anderson,401,Katherine Waterston,8093318,Martin Dew,Inherent Vice ,0,1960s|based on novel|ex boyfriend ex girlfriend relationship|southern california|voice over narration,http://www.imdb.com/title/tt1791528/?ref_=fn_tt_tt_1,R,20000000,178,1.85
Dave Borthwick,31,Kylie Minogue,7382993,Jimmy Fallon,Doogal ,0,diamond|lava|magic|mountain|sorcerer,http://www.imdb.com/title/tt0763304/?ref_=fn_tt_tt_1,G,20000000,690,1.85
Benson Lee,65,Caity Lotz,8888355,Chris Brown,Battle of the Year ,19,3 dimensional|box office flop|critically bashed|dancing,http://www.imdb.com/title/tt1532958/?ref_=fn_tt_tt_1,PG-13,20000000,941,1.85
,26,Eric McCormack,,LeVar Burton,Perception             ,1,,http://www.imdb.com/title/tt1714204/?ref_=fn_tt_tt_1,TV-14,,440,16.0
David Zucker,45,Geoffrey Arend,7001720,Chriss Anglin,An American Carol ,2,arab stereotype|box office flop|documentary filmmaker|filmmaker|terrorist,http://www.imdb.com/title/tt1190617/?ref_=fn_tt_tt_1,PG-13,12000000,816,2.35
Robert Rodriguez,260,Demián Bichir,7268659,Alexa PenaVega,Machete Kills ,7,arms dealer|battle|bomb|machete|missile,http://www.imdb.com/title/tt2002718/?ref_=fn_tt_tt_1,R,20000000,749,1.85
Glen Morgan,129,Ty Olsson,6852144,Laura Harring,Willard ,0,at work|rat|revenge|vermin|work,http://www.imdb.com/title/tt0310357/?ref_=fn_tt_tt_1,PG-13,22000000,429,2.35
Fred Wolf,58,Ashley Scott,6563357,Kevin Alejandro,Strange Wilderness ,4,bigfoot|critically bashed|ecuador|friend|tv show,http://www.imdb.com/title/tt0489282/?ref_=fn_tt_tt_1,R,20000000,794,2.35
Mike Leigh,103,Dexter Fletcher,6201757,Jim Broadbent,Topsy-Turvy ,1,19th century|exhibition|gilbert and sullivan|gilbert and sullivan's princess ida|japanese,http://www.imdb.com/title/tt0151568/?ref_=fn_tt_tt_1,R,10000000,452,1.66
Alejandro Monteverde,45,Cary-Hiroyuki Tagawa,6420319,Tom Wilkinson,Little Boy ,0,,http://www.imdb.com/title/tt1810683/?ref_=fn_tt_tt_1,PG-13,20000000,1000,2.35
David Cronenberg,345,Viggo Mortensen,5702083,Michael Fassbender,A Dangerous Method ,3,carl jung|patient|psychoanalysis|russian|sigmund freud,http://www.imdb.com/title/tt1571222/?ref_=fn_tt_tt_1,R,15000000,10000,1.85
Richard Linklater,232,Keanu Reeves,5480996,Robert Downey Jr.,A Scanner Darkly ,0,detective|drugs|substance d|undercover|undercover cop,http://www.imdb.com/title/tt0405296/?ref_=fn_tt_tt_1,R,8700000,18000,1.85
Michael Apted,116,Abigail Spencer,6002756,Gerard Butler,Chasing Mavericks ,2,box office flop|no opening credits|surfing|two word title|year 1987,http://www.imdb.com/title/tt1629757/?ref_=fn_tt_tt_1,PG,20000000,1000,1.85
Uwe Boll,148,Darren Shahlavi,5132655,Catherine Lough Haggquist,Alone in the Dark ,0,artifact|creature|darkness|demon|museum,http://www.imdb.com/title/tt0369226/?ref_=fn_tt_tt_1,R,20000000,294,2.35
Todd Graff,79,Charlie Saxton,5205343,Scott Porter,Bandslam ,3,battle of the bands|high school|rock 'n' roll|school|teenager,http://www.imdb.com/title/tt0976222/?ref_=fn_tt_tt_1,PG,20000000,224,2.35
Jonathan Glazer,167,Anne Heche,5005883,Cameron Bright,Birth ,1,birthday|boy|dead husband|death|widow,http://www.imdb.com/title/tt0337876/?ref_=fn_tt_tt_1,R,20000000,681,1.85
J.C. Chandor,350,Ashley Williams,5749134,David Oyelowo,A Most Violent Year ,0,american dream|immigrant|new york city|oil|violence,http://www.imdb.com/title/tt2937898/?ref_=fn_tt_tt_1,R,20000000,969,2.35
Paul Gross,25,Michael Greyeyes,,Landon Liboiron,Passchendaele ,0,battle|canadian armed forces|canadian soldier|directed by star|veteran,http://www.imdb.com/title/tt1092082/?ref_=fn_tt_tt_1,R,20000000,912,2.35
Marc Abraham,99,Bill Lake,4234040,Dylan Authors,Flash of Genius ,0,flash of genius|genius|intellectual property|professor|university,http://www.imdb.com/title/tt1054588/?ref_=fn_tt_tt_1,PG-13,20000000,18,2.35
Todd Haynes,231,Heath Ledger,4001121,Christian Bale,I'm Not There. ,0,1960s|actor|horseback riding|reporter|riding the rails,http://www.imdb.com/title/tt0368794/?ref_=fn_tt_tt_1,R,20000000,13000,2.35
Mabrouk El Mechri,119,Bruce Willis,3749061,Henry Cavill,The Cold Light of Day ,3,driving a car down stairs|duct tape gag|held captive|murder of a police officer|sailing,http://www.imdb.com/title/tt1366365/?ref_=fn_tt_tt_1,PG-13,20000000,13000,2.35
Rian Johnson,182,Maximilian Schell,3519627,Zachary Gordon,The Brothers Bloom ,4,con man|eccentric|heiress|love|revenge,http://www.imdb.com/title/tt0844286/?ref_=fn_tt_tt_1,PG-13,20000000,877,2.35
Charlie Kaufman,245,Jennifer Jason Leigh,3081925,Philip Seymour Hoffman,"Synecdoche, New York ",0,actress|director|play|theatre director|warehouse,http://www.imdb.com/title/tt0383028/?ref_=fn_tt_tt_1,R,21000000,1000,2.35
Hayao Miyazaki,174,Jada Pinkett Smith,2298191,Minnie Driver,Princess Mononoke ,0,anime|cult film|forest|princess|studio ghibli,http://www.imdb.com/title/tt0119698/?ref_=fn_tt_tt_1,PG-13,2400000000,851,1.85
Jean-Paul Rappeneau,69,Peter Coyote,2353728,Isabelle Adjani,Bon voyage ,5,actress|bordeaux|german|heavy water|nazi,http://www.imdb.com/title/tt0310778/?ref_=fn_tt_tt_1,PG-13,20000000,548,2.35
Nancy Walker,26,Randy Jones,2000000,Steve Guttenberg,Can't Stop the Music ,0,male frontal nudity|male full frontal nudity|male nudity|male rear nudity|new york city,http://www.imdb.com/title/tt0080492/?ref_=fn_tt_tt_1,PG,20000000,174,2.35
John Hillcoat,168,Noah Taylor,1900725,Ray Winstone,The Proposition ,1,aborigine|foreboding|gang|hideout|outlaw,http://www.imdb.com/title/tt0421238/?ref_=fn_tt_tt_1,R,2000000,509,2.35
Angelo Pizzo,27,Finn Wittrock,2246000,Donny Boaz,Courage ,4,coach|football|football movie|football team|high school sweethearts,http://www.imdb.com/title/tt3719896/?ref_=fn_tt_tt_1,PG,20000000,769,2.35
Richard Benjamin,28,Jane Krakowski,1646664,Damon Wayans,Marci X ,2,female protagonist|hip hop|jewish american princess|rapper|record label,http://www.imdb.com/title/tt0266747/?ref_=fn_tt_tt_1,R,20000000,624,1.85
Kurt Wimmer,146,Emily Watson,1190018,Christian Bale,Equilibrium ,2,cleric|dystopia|fascist|law|neo noir,http://www.imdb.com/title/tt0238380/?ref_=fn_tt_tt_1,R,20000000,876,2.35
Roger Spottiswoode,67,Guang Li,1027749,Radha Mitchell,The Children of Huang Shi ,4,british|communist|journalist|nurse|orphan,http://www.imdb.com/title/tt0889588/?ref_=fn_tt_tt_1,R,40000000,10,2.35
James Gray,93,Ellen Burstyn,882710,Charlize Theron,The Yards ,2,best friend|corruption|fall to death|female nudity|friend,http://www.imdb.com/title/tt0138946/?ref_=fn_tt_tt_1,R,24000000,1000,2.35
Matthew Diamond,28,Garrett Clayton,1064277,Chazz Palminteri,The Oogieloves in the Big Balloon Adventure ,0,balloon|birthday|box office flop|critically bashed,http://www.imdb.com/title/tt1520498/?ref_=fn_tt_tt_1,G,20000000,532,
Angelina Jolie Pitt,131,Angelina Jolie Pitt,531009,Brad Pitt,By the Sea ,0,cheating wife|cigarette smoking|male in shower|male nudity|male rear nudity,http://www.imdb.com/title/tt3707106/?ref_=fn_tt_tt_1,R,10000000,11000,2.35
