director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,genres,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,content_rating,budget,actor_2_facebook_likes,imdb_score
Frank Marshall,55,109,155,293,Joe Don Baker,Action|Adventure|Mystery|Sci-Fi,1761,0,147,PG-13,50000000,387,5.0
Cameron Crowe,257,124,488,1000,Matt Damon,Comedy|Drama|Family,36873,3,199,PG,,13000,7.1
Alex Proyas,279,121,295,329,Ben Mendelsohn,Drama|Mystery|Sci-Fi|Thriller,13421,0,791,PG-13,50000000,748,6.2
Tom Dey,143,95,9,11000,Matthew McConaughey,Comedy|Romance,37967,2,242,PG-13,50000000,11000,5.6
Hideo Nakata,196,128,62,874,Gary Cole,Horror|Mystery,10163,0,560,PG-13,,989,5.4
Glenn Ficarra,310,118,43,7000,Emma Stone,Comedy|Drama|Romance,57426,7,292,PG-13,50000000,15000,7.4
Peter Hewitt,116,80,12,58,Mark Christopher Lawrence,Animation|Comedy|Family|Fantasy,13430,0,232,PG,35000000,258,5.0
Joe Roth,105,99,148,660,Cheech Marin,Comedy|Family,6729,1,209,PG,60000000,843,5.2
Bennett Miller,419,133,152,11000,Robin Wright,Biography|Drama|Sport,53094,1,312,PG-13,50000000,18000,7.6
Wolfgang Petersen,64,127,249,808,Morgan Freeman,Action|Drama|Thriller,30383,3,130,R,50000000,11000,6.6
Jaume Collet-Serra,359,106,174,660,Nate Parker,Action|Mystery|Thriller,16967,0,384,PG-13,50000000,664,7.0
Andy Fickman,166,98,99,433,Billy Brown,Action|Adventure|Family|Fantasy|Sci-Fi|Thriller,14007,3,110,PG,65000000,536,5.7
James McTeigue,525,132,160,443,Eddie Marsan,Action|Drama|Thriller,22417,1,2042,R,54000000,979,8.2
David Dobkin,165,114,71,55,Anna-Louise Plowman,Action|Adventure|Comedy,428,2,192,PG-13,50000000,131,6.2
,2,45,,132,Gemma Jones,Crime|Drama,1816,2,9,,,171,7.9
Matthew O'Callaghan,87,78,5,1000,Frank Welker,Adventure|Animation|Comedy|Family,11124,0,118,G,50000000,2000,6.6
Angela Robinson,117,101,23,541,Thomas Lennon,Adventure|Comedy|Family|Fantasy|Romance|Sport,2177,1,168,G,50000000,651,4.7
Gary Fleder,113,113,39,477,Jennifer Esposito,Crime|Drama|Mystery|Thriller,3341,0,248,R,50000000,912,6.3
Tommy Wirkola,349,98,75,467,Derek Mears,Action|Fantasy|Horror,11946,2,304,R,50000000,520,6.1
Adrian Lyne,152,124,213,372,Erik Per Sullivan,Drama|Thriller,2583,0,533,R,50000000,593,6.7
D.J. Caruso,288,109,154,144,Emily Wickersham,Action|Adventure|Sci-Fi|Thriller,15608,1,329,PG-13,60000000,348,6.1
Stephen Gaghan,358,128,79,414,Amr Waked,Drama|Thriller,14747,0,625,R,50000000,903,7.0
Michael Bay,204,144,0,681,James Badge Dale,Action|Drama|Thriller|War,3580,0,219,R,50000000,726,7.4
Jorge R. Gutiérrez,156,95,34,679,Hector Elizondo,Adventure|Animation|Comedy|Family|Fantasy|Romance,19513,1,102,PG,50000000,995,7.3
Richard Loncraine,171,105,12,935,Harrison Ford,Crime|Thriller,101383,1,306,PG-13,50000000,11000,5.8
Clint Eastwood,76,121,16000,826,Mark Margolis,Action|Crime|Drama|Thriller,19139,0,142,R,50000000,1000,6.7
Ridley Scott,97,125,0,957,Demi Moore,Action|Drama|War,15569,1,142,R,50000000,2000,5.8
David Fincher,157,129,21000,283,Armin Mueller-Stahl,Drama|Mystery|Thriller,1397,1,506,R,50000000,294,7.8
Christophe Gans,267,132,50,368,Deborah Kara Unger,Adventure|Horror|Mystery,1933,0,1740,R,50000000,495,6.6
Howard Deutch,118,118,41,585,Jon Favreau,Comedy|Sport,24024,1,261,PG-13,50000000,4000,6.5
Jon Hurwitz,291,113,22,1000,Dania Ramirez,Comedy,8398,7,181,R,50000000,1000,6.7
F. Gary Gray,68,140,473,294,Michael Cudlitz,Action|Crime|Drama|Mystery|Thriller,20152,2,279,R,50000000,822,7.3
Steven Quale,228,89,77,159,Alycia Debnam-Carey,Action|Thriller,1367,0,210,PG-13,50000000,298,5.8
John Landis,36,104,644,174,Jon Tenney,Action|Comedy|Crime|Thriller,1093,1,114,R,55000000,289,5.5
Joe Dante,105,106,287,767,Robert Picardo,Comedy|Fantasy|Horror,19610,0,148,PG-13,50000000,823,6.3
David Dobkin,276,141,71,3000,Robert Duvall,Crime|Drama,30183,1,275,R,50000000,3000,7.4
Mimi Leder,93,124,75,258,Holt McCallany,Action|Thriller,1289,2,156,R,50000000,273,5.9
Alexander Witt,191,98,38,706,Thomas Kretschmann,Action|Horror|Sci-Fi|Thriller,16791,1,672,R,45000000,919,6.2
Beeban Kidron,143,108,17,186,Jim Broadbent,Comedy|Drama|Romance,15634,1,259,R,40000000,1000,5.9
Carl Franklin,124,114,73,323,Sanaa Lathan,Crime|Drama|Romance|Thriller,19739,3,157,R,50000000,886,6.5
Steven Seagal,47,101,0,158,Joan Chen,Action|Adventure|Thriller,1860,1,140,R,50000000,643,4.4
Robert Rodriguez,66,93,0,717,Kristin Davis,Action|Adventure|Family|Fantasy,14899,1,177,PG,50000000,722,3.5
Danny Boyle,118,119,0,39,Virginie Ledoyen,Adventure|Drama|Thriller,29461,0,548,R,50000000,414,6.6
Garry Marshall,93,119,0,434,Felicity Huffman,Comedy|Drama|Romance,2052,1,106,PG-13,50000000,508,6.0
James McTeigue,235,99,160,72,Ben Miles,Action|Crime|Thriller,701,0,194,R,40000000,119,6.4
Sam Raimi,113,137,0,432,Kelly Preston,Drama|Romance|Sport,25469,0,226,PG-13,50000000,743,6.5
,14,105,,5,Bruce Alexander,Crime|Drama|Mystery,344,1,33,,,7,7.8
Andrew Bergman,51,117,31,210,Rumer Willis,Comedy|Crime|Drama|Thriller,3016,1,118,R,40000000,472,4.3
Tom Dey,98,87,9,1000,Judy Greer,Comedy|Family,20061,0,65,PG,50000000,2000,4.2
Clint Eastwood,315,129,16000,447,Jay Mohr,Drama|Fantasy,14344,0,323,PG-13,50000000,563,6.5
Barbet Schroeder,136,115,58,401,Chris Penn,Crime|Mystery|Thriller,34606,0,302,R,50000000,455,6.1
Richard Donner,61,132,503,282,Sylvester Stallone,Action|Crime|Thriller,58528,0,84,R,50000000,13000,6.3
Peter Webber,209,131,73,163,Stephen Walters,Crime|Drama|Thriller,1344,0,392,R,50000000,184,6.2
Rob Reiner,99,95,0,323,Tim Matheson,Comedy|Drama|Romance,14706,1,150,R,50000000,559,5.9
Andrew Niccol,298,125,487,201,Chandler Canterbury,Action|Adventure|Romance|Sci-Fi|Thriller,1300,3,347,PG-13,40000000,329,5.9
John McTiernan,131,98,323,511,Harry Connick Jr.,Action|Crime|Drama|Mystery|Thriller,3357,0,286,R,50000000,631,6.5
Clint Eastwood,146,110,16000,581,Anjelica Huston,Action|Crime|Drama|Mystery|Thriller,18635,1,260,R,50000000,1000,6.4
Tom Tykwer,245,118,670,294,Brían F. O'Byrne,Action|Crime|Drama|Mystery|Thriller,7654,0,190,R,50000000,450,6.5
John Carpenter,104,101,0,764,Valeria Golino,Action|Adventure|Sci-Fi|Thriller,15935,0,227,R,50000000,898,5.7
,4,60,,398,Brittany Curran,Drama|Mystery|Thriller,2758,2,22,,,512,7.5
Brad Bird,162,90,663,521,Harry Connick Jr.,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,16358,1,514,PG,70000000,631,8.0
Wes Anderson,259,119,0,639,Anjelica Huston,Adventure|Comedy|Drama,15757,8,632,R,50000000,1000,7.3
Gary Ross,79,139,378,303,Donald Watkins,Action|Biography|Drama|History|War,12786,1,47,R,50000000,552,6.7
Alan Parker,141,130,317,256,Kate Winslet,Crime|Drama|Thriller,32637,0,420,R,50000000,14000,7.5
Stephen Herek,59,100,65,730,Vanessa Ferlito,Action|Comedy,6171,5,94,PG-13,40000000,923,5.4
Jaume Collet-Serra,236,114,174,655,Common,Action|Crime|Drama|Thriller,16992,2,205,R,50000000,988,6.6
David Cronenberg,356,96,0,509,Naomi Watts,Crime|Mystery|Thriller,17211,1,398,R,25000000,6000,7.7
John Stockwell,120,110,134,795,James Frain,Action|Adventure|Crime|Thriller,25049,3,208,PG-13,50000000,1000,5.8
Luc Besson,111,158,0,15,David Bailie,Adventure|Biography|Drama|History|War,144,0,390,R,390000000,40,6.4
David Gordon Green,208,102,234,11000,Zooey Deschanel,Adventure|Comedy|Fantasy,45202,3,274,R,49900000,11000,5.6
Jim Sheridan,174,84,260,692,Gregory Smith,Drama|Mystery|Thriller,8018,0,137,PG-13,55000000,694,6.0
Costa-Gavras,59,115,333,317,Blythe Danner,Crime|Drama|Thriller,2606,2,73,PG-13,50000000,713,6.2
Patrick Read Johnson,22,99,32,479,Lara Flynn Boyle,Adventure|Comedy|Crime|Drama|Family,2949,1,78,PG,50000000,619,5.9
Roland Joffé,34,135,596,2000,Robert Duvall,Drama|Romance,15820,1,90,R,50000000,3000,5.1
Doug Liman,214,108,218,405,Ty Burrell,Biography|Drama|Thriller,10191,2,127,PG-13,22000000,3000,6.8
,28,43,,600,Tony Curran,Action|Drama|Sci-Fi,5381,3,149,TV-MA,,845,7.0
Tony Scott,186,127,12000,897,Mo'Nique,Action|Biography|Crime|Drama|Thriller,5702,0,374,R,50000000,940,6.0
William Friedkin,50,107,607,602,Chazz Palminteri,Crime|Drama|Thriller,5461,0,70,R,50000000,979,5.1
Mark Neveldine,180,95,83,1000,Logan Lerman,Action|Sci-Fi|Thriller,29926,1,245,R,50000000,8000,5.8
Richard LaGravenese,231,124,98,592,Zoey Deutch,Drama|Fantasy|Romance,3580,7,258,PG-13,60000000,852,6.2
Danny DeVito,105,109,0,809,Vincent Schiavelli,Comedy|Crime|Drama|Thriller,52885,2,341,R,55000000,811,6.4
Ben Stiller,226,102,0,1000,Will Ferrell,Comedy,24107,4,150,PG-13,50000000,8000,4.8
George Armitage,75,88,5,338,Andrew Wilson,Comedy|Crime,11972,5,93,PG-13,50000000,387,4.9
Mike Nichols,82,87,0,591,Linda Fiorentino,Comedy|Sci-Fi,3954,0,91,R,50000000,602,5.6
Patrick Lussier,296,104,71,982,Billy Burke,Action|Fantasy|Thriller,16481,1,211,R,50000000,2000,5.5
Andrzej Bartkowiak,103,96,43,77,Robin Shou,Action|Crime|Drama|Mystery|Thriller,1385,2,179,PG-13,18000000,342,3.7
James Wong,98,85,70,848,Jet Li,Action|Sci-Fi|Thriller,32831,1,294,PG-13,49000000,5000,5.9
,30,64,,184,Graham McTavish,Drama|Romance|Sci-Fi,1863,8,148,TV-MA,,531,8.5
Renny Harlin,48,104,212,380,Gilbert Gottfried,Action|Adventure|Comedy|Crime|Music|Mystery,2795,5,113,R,40000000,560,6.3
Richard Curtis,195,135,628,830,Charlie Rowe,Comedy|Drama|Music,24316,2,209,R,,882,7.4
Steven Soderbergh,223,190,0,215,Jacob Vargas,Crime|Drama|Thriller,1418,0,867,R,48000000,399,7.6
Steven Spielberg,149,127,14000,440,Julian Glover,Action|Adventure|Fantasy,12884,5,477,PG-13,48000000,844,8.3
Joe Wright,324,129,456,0,Guro Nagelhus Schia,Drama|Romance,2035,1,226,R,,35,6.6
Neill Blomkamp,371,120,662,502,Sharlto Copley,Action|Crime|Drama|Sci-Fi|Thriller,23051,0,627,R,49000000,2000,6.9
Phillip Noyce,75,118,176,308,Angelina Jolie Pitt,Crime|Drama|Mystery|Thriller,29748,2,397,R,48000000,11000,6.7
David Fincher,233,112,21000,237,Dwight Yoakam,Crime|Drama|Thriller,18141,0,850,R,48000000,324,6.8
Chuck Bowman,32,89,42,235,Lochlyn Munro,Horror|Thriller,2353,0,32,,1500000,555,4.6
David O. Russell,150,114,737,393,Jamie Kennedy,Action|Adventure|Comedy|Drama|War,3743,1,560,R,48000000,490,7.1
Daniel Espinosa,172,137,79,194,Fares Fares,Crime|Drama|Thriller,27666,3,185,R,50000000,254,6.4
Jerry Zucker,103,112,109,261,Douglas Haase,Adventure|Comedy,1823,8,497,PG-13,48000000,629,6.4
Iain Softley,140,120,34,1000,Jeff Bridges,Drama|Mystery|Sci-Fi,33615,1,537,PG-13,48000000,12000,7.4
James Mangold,125,123,446,821,Natasha Lyonne,Comedy|Fantasy|Romance,22209,1,316,PG-13,48000000,1000,6.4
Harold Ramis,125,93,11000,484,Frances O'Connor,Comedy|Fantasy|Romance,5390,2,254,PG-13,48000000,575,6.0
Francis Ford Coppola,36,123,0,886,Bob Hoskins,Crime|Drama|Music,18793,1,84,R,58000000,5000,6.5
James Mangold,295,122,446,600,Logan Lerman,Adventure|Crime|Drama|Western,33548,1,560,R,55000000,8000,7.8
Olivier Megaton,222,115,118,482,Dougray Scott,Action|Thriller,16967,0,323,PG-13,48000000,794,6.0
Steven Soderbergh,158,123,0,23,Albert Brooks,Crime|Drama|Romance|Thriller,3768,1,307,R,48000000,745,7.0
Ben Stiller,72,96,0,302,Janeane Garofalo,Comedy|Drama|Thriller,3718,1,345,PG-13,47000000,1000,6.0
Deepa Mehta,34,110,375,59,Gulshan Grover,Drama|Romance|War,371,0,55,Unrated,,102,7.8
Warren Beatty,72,105,631,327,Warren Beatty,Action|Comedy|Crime|Music|Romance|Thriller,2096,1,164,PG,100000000,631,6.1
John McTiernan,152,113,323,835,Faye Dunaway,Crime|Romance|Thriller,4660,0,419,R,48000000,977,6.8
Penny Marshall,89,132,545,807,Adam Garcia,Biography|Comedy|Drama,4796,1,210,PG-13,48000000,811,6.4
Ted Kotcheff,145,93,270,535,Brian Dennehy,Action|Adventure|Drama,15192,1,376,R,14000000,954,7.7
Andrei Tarkovsky,144,115,0,12,Anatoliy Solonitsyn,Drama|Mystery|Sci-Fi,95,0,236,PG,1000000,29,8.1
Paul Bolger,93,75,0,677,George Carlin,Adventure|Animation|Comedy|Family|Fantasy,6863,3,71,PG,47000000,769,4.5
Stephen Frears,46,108,350,77,Bronagh Gallagher,Drama|Horror|Romance|Thriller,8349,1,97,R,47000000,115,5.8
P.J. Hogan,84,105,29,692,Christopher Masterson,Comedy|Romance,12344,1,169,PG-13,46000000,1000,6.3
Joe Roth,142,102,148,135,Rainn Wilson,Comedy|Romance,9176,4,343,PG-13,48000000,973,5.7
Christopher Nolan,185,118,22000,319,Maura Tierney,Drama|Mystery|Thriller,15658,0,651,R,46000000,509,7.2
Jonathan Frakes,143,111,906,906,Alfre Woodard,Action|Adventure|Drama|Sci-Fi|Thriller,6315,2,286,PG-13,45000000,1000,7.6
Jimmy Hayward,178,81,39,364,Billy Blair,Action|Drama|Fantasy|Thriller|Western,14619,1,176,PG-13,47000000,541,4.7
Edward Zwick,65,116,380,826,Matt Damon,Action|Drama|Mystery|Thriller|War,33233,1,107,R,46000000,13000,6.6
Tom Shadyac,73,86,293,255,Swoosie Kurtz,Comedy|Fantasy|Romance,2070,1,243,PG-13,45000000,418,6.8
Brad Furman,72,127,65,345,Amy Ryan,Biography|Crime|Drama|Thriller,2104,1,29,R,25000000,423,7.3
Terence Young,10,140,92,522,Ben Gazzara,Drama|History|War,2704,1,16,PG,48000000,623,2.7
Brian Levant,35,91,32,628,Elizabeth Perkins,Comedy|Family|Fantasy,3244,2,85,PG,45000000,664,4.8
Olivier Megaton,358,98,118,558,Luke Grimes,Action|Crime|Thriller,16410,0,461,PG-13,45000000,935,6.3
David Zucker,151,84,119,750,Pamela Anderson,Comedy,3629,7,347,PG-13,48000000,780,5.5
Donald Petrie,140,109,80,213,Wendy Raquel Robinson,Action|Comedy|Crime|Romance,1574,1,370,PG-13,45000000,337,6.2
Eric Brevig,201,93,40,311,Brendan Fraser,Action|Adventure|Family|Fantasy|Sci-Fi,17925,0,212,PG,45000000,3000,5.8
Garry Marshall,77,113,0,995,Raven-Symoné,Comedy|Family|Romance,15362,2,152,G,40000000,1000,5.7
Alan J. Pakula,43,141,79,956,Julia Roberts,Crime|Drama|Mystery|Thriller,30063,0,89,PG-13,45000000,8000,6.5
Joel Schumacher,39,119,541,551,Anthony LaPaglia,Crime|Drama|Mystery|Thriller,4043,3,94,PG-13,45000000,577,6.7
Rob Reiner,207,97,0,760,Noel Gugliemi,Adventure|Comedy|Drama,14868,1,310,PG-13,45000000,2000,7.4
Phillip Noyce,47,117,176,308,Polly Walker,Action|Thriller,12757,1,137,R,45000000,530,6.9
Robert Luketic,132,101,126,586,Jane Fonda,Comedy|Romance,6292,0,228,PG-13,60000000,949,5.5
Denis Villeneuve,454,153,777,1000,Jake Gyllenhaal,Crime|Drama|Mystery|Thriller,37321,2,620,R,46000000,15000,8.1
Antoine Fuqua,109,122,845,854,Snoop Dogg,Crime|Drama|Thriller,22370,2,633,R,45000000,881,7.7
Dean Parisot,213,102,23,436,Enrico Colantoni,Adventure|Comedy|Sci-Fi,26998,3,609,PG,45000000,724,7.3
Keenen Ivory Wayans,127,83,322,179,Veronica Cartwright,Comedy,1645,7,548,R,45000000,422,5.2
James Bobin,398,103,33,84,Eric Jacobson,Adventure|Comedy|Family|Musical,1336,3,252,PG,45000000,91,7.1
Stephen Norrington,184,110,45,595,Traci Lords,Action|Horror,3174,1,582,R,45000000,650,7.1
Thomas Carter,127,136,49,730,Rick Gonzalez,Drama|Sport,20299,0,209,PG-13,30000000,807,7.2
Roger Michell,167,91,50,67,Matt Malloy,Drama|Thriller,758,0,350,R,45000000,108,6.5
Luis Llosa,119,89,49,514,Eric Stoltz,Action|Adventure|Horror|Thriller,3717,0,271,PG-13,45000000,902,4.6
David McNally,155,107,18,560,Tyra Banks,Comedy|Drama|Music|Romance,3106,5,379,PG-13,45000000,625,5.6
Richard Curtis,218,129,628,548,Liam Neeson,Comedy|Drama|Romance,28886,9,1004,R,45000000,14000,7.7
John Lasseter,117,95,487,1000,Madeline Kahn,Adventure|Animation|Comedy|Family|Fantasy,24205,0,317,G,120000000,1000,7.2
Albert Hughes,208,122,117,140,Jason Flemyng,Horror|Mystery|Thriller,41636,1,541,R,35000000,1000,6.8
Luis Llosa,38,110,49,20,Rod Steiger,Action|Crime|Drama|Romance|Thriller,13331,2,116,R,45000000,279,5.4
Ron Shelton,48,135,41,808,Cheech Marin,Comedy|Drama|Romance|Sport,3648,0,73,R,45000000,843,6.3
Melville Shavelson,8,111,5,559,Tom Bosley,Comedy|Family,7493,0,61,Unrated,2500000,584,7.2
Jesse Dylan,94,95,58,3000,Will Ferrell,Comedy|Family|Romance|Sport,27351,1,118,PG,45000000,8000,5.6
Garth Jennings,276,109,37,651,Kelly Macdonald,Adventure|Comedy|Sci-Fi,14073,0,1053,PG,50000000,2000,6.8
Joel Zwick,59,93,38,631,Nick Zano,Comedy|Family|Fantasy|Romance,4604,1,91,PG,26000000,641,4.3
Russell Mulcahy,216,94,85,443,Mike Epps,Action|Horror|Sci-Fi|Thriller,16225,1,348,R,45000000,706,6.3
Frank Coraci,173,117,153,734,Adam Sandler,Comedy|Romance,49743,0,184,PG-13,40000000,11000,6.5
Wayne Wang,99,112,61,501,Alicia Witt,Adventure|Comedy|Drama,3757,1,116,PG-13,45000000,976,6.4
Curtis Hanson,42,111,161,132,Glenn Morshower,Action|Adventure|Crime|Thriller,12161,1,69,PG-13,45000000,894,6.3
Frank Oz,25,96,0,563,Vincent Kartheiser,Drama|Family|Fantasy,2965,1,47,PG,45000000,845,5.9
Oliver Stone,339,141,0,404,Shea Whigham,Crime|Drama|Thriller,1948,4,269,R,45000000,463,6.5
David R. Ellis,127,94,160,167,Valerie Cruz,Action|Crime|Thriller,1102,1,355,PG-13,25000000,216,6.5
Peter Howitt,122,87,29,252,Natalie Imbruglia,Action|Adventure|Comedy,1461,1,285,PG,35000000,304,6.1
John A. Davis,105,88,8,8000,Meryl Streep,Adventure|Animation|Comedy|Family|Fantasy,33822,1,70,PG,50000000,11000,5.9
David Lynch,144,177,0,202,Jürgen Prochnow,Action|Adventure|Sci-Fi,2449,3,569,PG-13,40000000,362,6.6
Julie Taymor,156,133,278,107,T.V. Carpio,Drama|Fantasy|Musical|Romance,5405,0,524,PG-13,45000000,117,7.4
Sam Mendes,323,119,0,10000,Kate Winslet,Drama|Romance,53895,0,414,R,35000000,14000,7.3
Richard Donner,199,102,503,795,David Zayas,Action|Crime|Drama|Thriller,15053,2,305,PG-13,52000000,929,6.6
Mathieu Kassovitz,164,101,326,510,Charlotte Rampling,Action|Adventure|Sci-Fi|Thriller,15990,0,214,PG-13,70000000,844,5.6
John Gray,39,91,29,322,Bob Gunton,Action|Comedy|Crime|Drama|Thriller,3855,1,80,R,45000000,461,5.3
Harold Ramis,43,117,11000,451,Brian Doyle-Murray,Comedy|Romance|Sci-Fi,2348,0,81,PG-13,45000000,484,6.0
John Schultz,82,86,13,553,Carter Jenkins,Adventure|Comedy|Family|Fantasy|Sci-Fi,3423,3,55,PG,45000000,701,5.4
Sean Penn,150,124,0,19,Adrien Dorval,Crime|Drama|Mystery|Thriller,793,0,531,R,45000000,44,6.8
Susan Stroman,168,134,38,2000,Will Ferrell,Comedy|Musical,24351,3,409,PG-13,45000000,8000,6.4
Pete Travis,432,95,38,20,Jason Cope,Action|Sci-Fi,578,0,588,R,35000000,107,7.1
Simon Wincer,60,100,23,579,Treat Williams,Action|Adventure|Comedy|Fantasy,3855,0,148,PG,45000000,642,4.9
Billy Bob Thornton,85,220,0,820,Henry Thomas,Drama|Romance|Western,15006,2,183,PG-13,57000000,861,5.8
Oliver Stone,83,212,0,805,Bob Hoskins,Biography|Drama|History,21130,0,161,R,50000000,5000,7.1
Roman Polanski,343,128,2000,501,Olivia Williams,Mystery|Thriller,2507,2,349,PG-13,45000000,766,7.2
Stephen Sommers,106,106,208,855,Jason Flemyng,Action|Adventure|Horror|Sci-Fi,6558,0,273,R,45000000,1000,6.0
Spike Lee,158,160,0,826,Omari Hardwick,Action|Crime|Drama|Thriller|War,26982,0,182,R,45000000,1000,6.0
Yimou Zhang,189,114,611,10,Ye Liu,Drama|Romance,949,2,229,R,45000000,52,7.0
Danny Pang,125,99,15,61,Charlie Yeung,Action|Crime|Thriller,12166,1,154,R,40000000,68,5.4
Barry Sonnenfeld,87,74,188,865,Janeane Garofalo,Comedy|Crime|Thriller,13917,2,186,PG-13,40000000,1000,6.5
Mike Newell,115,139,179,50,Giovanna Mezzogiorno,Drama|Romance,538,0,115,R,45000000,202,6.4
,23,52,,114,Clotilde Hesme,Drama|Fantasy|Horror|Mystery,654,9,47,TV-MA,,116,8.3
George P. Cosmatos,24,103,170,269,Ben Gazzara,Action|Thriller,2457,2,41,R,45000000,623,4.9
Oliver Parker,152,101,32,104,Tim McInnerny,Action|Adventure|Comedy|Crime,661,1,142,PG,45000000,141,6.3
Lawrence Kasanoff,12,91,11,500,Larry Miller,Action|Animation|Comedy|Family|Fantasy,3090,0,66,PG,65000000,611,1.7
Ben Affleck,656,130,0,650,Scoot McNairy,Biography|Drama|History|Thriller,3133,1,695,R,44500000,660,7.7
Andrew Davis,119,130,99,812,Daniel Roebuck,Action|Adventure|Crime|Drama|Mystery|Thriller,13357,1,270,PG-13,44000000,1000,7.8
Andy Tennant,161,110,72,789,Dorian Missick,Action|Comedy|Romance,21554,1,135,PG-13,40000000,1000,5.5
Barry Levinson,73,147,272,893,Brad Pitt,Crime|Drama|Thriller,37076,3,259,R,44000000,11000,7.5
George P. Cosmatos,96,96,170,668,Julia Nickson,Action|Adventure|Thriller|War,15662,0,217,R,44000000,738,6.4
Brian Gibson,28,118,13,643,Demi Moore,Drama|Thriller,26907,1,62,R,44000000,2000,5.6
Norman Ferguson,105,88,3,40,Dickie Jones,Animation|Family|Fantasy|Musical,1178,0,147,Approved,2600000,48,7.5
Michael Cimino,102,325,517,678,Sam Waterston,Adventure|Drama|Western,14255,0,189,R,44000000,849,6.8
Len Wiseman,206,102,235,520,Tony Curran,Action|Adventure|Fantasy|Sci-Fi|Thriller,2998,1,502,R,50000000,845,6.8
Paul McGuigan,159,110,118,287,Spencer Wilding,Drama|Horror|Sci-Fi|Thriller,12876,2,91,PG-13,40000000,1000,6.0
Gus Van Sant,137,136,835,225,Rob Brown,Drama,1801,1,297,PG-13,43000000,370,7.3
Betty Thomas,116,103,84,664,Viggo Mortensen,Comedy|Drama,23864,1,194,PG-13,43000000,10000,6.0
Louis Leterrier,177,103,255,5000,Jet Li,Action|Crime|Drama|Thriller,22383,1,303,R,45000000,5000,7.0
Roger Kumble,99,90,16,16,Lillian Adams,Comedy|Romance,132,3,403,R,43000000,28,5.1
Sydney Pollack,56,154,521,957,Holly Hunter,Drama|Mystery|Thriller,14244,0,142,R,42000000,1000,6.8
Burr Steers,117,99,23,135,Charlie Tahan,Drama|Fantasy|Romance,1066,1,75,PG-13,44000000,268,6.5
Simon West,252,93,165,350,Tony Goldwyn,Action|Crime|Thriller,27834,0,181,R,40000000,956,6.6
Phil Lord,375,109,97,839,Dax Flame,Action|Comedy|Crime,19968,2,345,R,42000000,971,7.2
Roger Michell,150,124,50,427,Clarke Peters,Comedy|Drama|Romance,9255,1,602,PG-13,42000000,437,7.0
Peter Lord,187,84,91,206,Miranda Richardson,Adventure|Animation|Comedy|Drama|Family,1817,0,358,G,45000000,530,7.0
John Hamburg,108,90,29,650,Masi Oka,Comedy|Romance,24534,1,268,PG-13,42000000,923,5.9
Reginald Hudlin,21,117,71,547,Eartha Kitt,Comedy|Drama|Romance,3841,1,41,R,40000000,558,5.4
Paul Feig,270,123,176,749,William Xifaras,Action|Comedy|Crime,4825,7,380,R,43000000,815,6.6
Joseph L. Mankiewicz,72,251,311,595,Richard Burton,Biography|Drama|History|Romance,2957,2,192,Approved,31115000,726,7.0
Frank Coraci,154,105,153,491,Reggie Lee,Action|Comedy|Sport,6727,2,112,PG,42000000,828,6.5
Carl Franklin,114,115,73,505,Adam Scott,Crime|Drama|Mystery|Thriller,15571,1,175,PG-13,42000000,3000,6.3
Barbra Streisand,27,122,0,292,Austin Pendleton,Comedy|Drama|Romance,13716,0,71,PG-13,42000000,592,6.5
Mark Pellington,166,119,89,395,Will Patton,Drama|Horror|Mystery|Thriller,1651,0,460,PG-13,32000000,537,6.5
Larry Charles,288,81,119,412,Elton John,Comedy,2134,1,396,R,42000000,442,5.8
John Glen,117,133,46,275,Talisa Soto,Action|Adventure|Thriller,2371,0,317,PG-13,32000000,349,6.6
Catherine Hardwicke,291,100,308,913,Billy Burke,Fantasy|Horror|Mystery|Thriller,15369,2,283,PG-13,42000000,2000,5.4
John Herzfeld,151,120,17,808,Charlize Theron,Action|Crime|Drama|Thriller,33585,1,265,R,42000000,9000,6.1
Annabel Jankel,36,104,5,687,Fisher Stevens,Adventure|Comedy|Family|Fantasy|Sci-Fi,7723,0,290,PG,42000000,922,4.0
Andrew Niccol,168,122,487,16,Jeremy Crutchley,Crime|Drama|Thriller,12076,2,437,R,50000000,43,7.6
Yimou Zhang,283,80,611,576,Tony Chiu Wai Leung,Action|Adventure|History,6229,4,841,PG-13,31000000,643,7.9
Julie Anne Robinson,127,91,30,497,Debbie Reynolds,Action|Comedy|Crime|Romance|Thriller,3301,1,169,PG-13,40000000,786,5.3
Evan Goldberg,293,112,133,365,Randall Park,Comedy,12239,4,835,R,44000000,392,6.6
Sngmoo Lee,95,100,19,433,Dong-gun Jang,Action|Fantasy|Western,2056,1,102,R,45000000,489,6.3
,4,30,,253,Gavin MacLeod,Comedy|War,1610,1,18,TV-G,,284,7.5
Jean-Pierre Jeunet,213,105,0,52,Dany Boon,Action|Comedy|Crime,1342,4,71,R,27000000,172,7.2
Curtis Hanson,119,110,161,196,Omar Benson Miller,Drama|Music,1954,0,564,R,41000000,418,7.0
Jamel Debbouze,9,101,326,6,Youssef Hajdi,Adventure|Animation|Comedy|Family,488,0,5,,,152,4.9
