director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,actor_1_name,movie_title,cast_total_facebook_likes,facenumber_in_poster,plot_keywords,num_user_for_reviews,country,content_rating,title_year,imdb_score
Mark Tarlov,35,96,3,Dylan Baker,4000,Comedy|Drama|Fantasy|Romance,Sarah Michelle Gellar,Simply Irresistible ,5668,1,chef|female chef|love|magic|restaurant,190,Germany,PG-13,1999,5.3
,47,44,,Jason Dohring,937,Crime|Drama|Mystery,Francis Capra,Veronica Mars             ,3318,1,best friend|high school|private detective|sheriff|student,315,USA,TV-14,,8.4
John Cameron Mitchell,108,95,263,Miriam Shor,263,Comedy|Drama|Music|Musical,John Cameron Mitchell,Hedwig and the Angry Inch ,993,0,band|rock band|sex change|song|transsexual,231,USA,R,2001,7.8
Sheldon Lettich,17,99,23,Ryan Bollman,97,Action|Drama,Antoni Corone,Only the Strong ,382,1,capoeira|fight|fighting|martial arts|violence,50,USA,PG-13,1993,6.7
Jon Knautz,12,93,10,Monda Scott,397,Drama|Horror|Mystery|Thriller,Rachel Alig,Goddess of Love ,546,0,female nudity|hallucination|sex scene|strip club|stripper,5,USA,,2015,5.4
Billy Ray,129,99,53,Rosario Dawson,4000,Drama|History,Hayden Christensen,Shattered Glass ,8297,0,fabricated facts|journalist|stephen glass|the new republic|writer,190,USA,PG-13,2003,7.2
David Atkins,84,95,8,Lynne Thigpen,244,Comedy|Crime|Drama|Thriller,Chelcie Ross,Novocaine ,489,3,dentist|drugs|murder|sex|sunflower,105,USA,R,2001,5.8
Patrick Stettner,61,84,5,Tony Devon,944,Drama|Thriller,Stockard Channing,The Business of Strangers ,1407,2,airport|businesswoman|hotel|revenge|vegetarian,78,USA,R,2001,6.4
Sam Peckinpah,147,144,541,Warren Oates,682,Action|Adventure|Western,William Holden,The Wild Bunch ,2379,1,friendship|honor|righteous rage|soldier|texas,287,USA,R,1969,8.0
Jonathan Levine,147,99,129,Aaron Yoo,976,Comedy|Drama|Romance,Mary-Kate Olsen,The Wackness ,2748,2,ice cream|marijuana|new york city|summer|therapy,75,USA,R,2008,7.0
Michael Crichton,23,110,735,Michael Elphick,187,Adventure|Crime|Drama|Thriller,Lesley-Anne Down,The Great Train Robbery ,297,2,bank|gold|key|safe|train,50,UK,PG,1979,7.0
Lynne Ramsay,75,97,159,Bryan Dick,631,Drama,Samantha Morton,Morvern Callar ,841,0,breasts|cleavage|female rear nudity|girl in panties|public nudity,111,UK,R,2002,6.7
Sylvio Tabet,17,107,0,Kari Wuhrer,721,Action|Adventure|Fantasy|Sci-Fi,Michael Berryman,Beastmaster 2: Through the Portal of Time ,2000,2,beast|beastmaster|psychotronic|sword and sorcery|warrior,16,USA,PG-13,1991,3.8
Rick Bieber,16,90,11,Kendrick Cross,767,Biography|Drama|Sport,Aidan Quinn,The 5th Quarter ,2370,2,athletic training|football practice|funeral|gymnasium|man crying,29,USA,PG,2010,5.7
Claude Chabrol,60,104,324,Nathalie Baye,173,Drama,Benoît Magimel,The Flower of Evil ,282,5,bordeaux|election|mayor|pamphlet|political thriller,36,France,R,2003,6.6
Shana Feste,63,96,19,Zoë Kravitz,1000,Drama|Romance,Jennifer Ehle,The Greatest ,2163,2,car crash|loss|self help group|teenage mother|title directed by female,50,USA,R,2009,6.7
Wayne Wang,56,104,61,Russell Wong,974,Drama|History,Bingbing Li,Snow Flower and the Secret Fan ,2430,0,car hitting pedestrian|china|fan|nineteenth century|reversal of fortune,22,China,PG-13,2011,6.1
Joey Lauren Adams,36,97,781,Diane Ladd,596,Drama|Romance,Tim Blake Nelson,Come Early Morning ,1081,0,church|drink|knocking on a door|love|three word title,29,USA,R,2006,6.2
Peter Cattaneo,47,107,11,Olivia Williams,773,Comedy|Crime|Romance,James Nesbitt,Lucky Break ,2440,0,escape|prison|prison escape|sadism|solitary confinement,34,UK,PG-13,2001,6.2
Fred Zinnemann,38,117,160,Jane Fonda,11000,Drama,Meryl Streep,Julia ,15604,2,1930s|female protagonist|nazi|romantic friendship|writer,44,USA,PG,1977,7.4
S.R. Bindler,26,85,0,Scott Glenn,11000,Comedy,Matthew McConaughey,"Surfer, Dude ",14599,0,barefoot|endorsement|surfboard|virtual reality|waves,37,USA,R,2008,4.7
Tony Kaye,47,152,194,Pat Buchanan,103,Documentary,Noam Chomsky,Lake of Fire ,105,0,abortion|southern accent|title based on the bible|trial|usa,29,USA,Unrated,2006,8.3
Greg Marcks,68,85,9,Barbara Hershey,861,Comedy|Crime|Drama,Henry Thomas,11:14 ,2200,1,convenience store|multiple perspectives|murder|paramedic|van,133,USA,R,2003,7.2
Perry Lang,19,76,17,Kevin Tighe,636,Action|Drama|Thriller,Catherine Bell,Men of War ,2152,1,cockney accent|fight|island|machismo|mercenary,38,USA,R,1994,5.8
Jake Goldberger,39,87,2,M. Emmet Walsh,592,Drama|Mystery|Thriller,Pruitt Taylor Vince,Don McKay ,1227,1,dead body|dead body in a freezer|dead body wrapped in carpet|person in a car trunk|school janitor,17,USA,R,2009,5.9
Stefan Ruzowitzky,162,95,24,Olivia Wilde,16000,Crime|Drama|Thriller,Charlie Hunnam,Deadfall ,27575,1,police officer|police officer killed|police officer shot|sex scene,86,USA,R,2012,6.3
Vic Sarin,37,101,24,Aidan Quinn,933,Drama|Family,Connie Nielsen,A Shine of Rainbows ,1940,2,island|love|new home|orphan|rainbow,19,Canada,PG,2009,7.2
William Kaufman,26,90,58,Sean Cook,848,Action|Thriller,Drew Waters,The Hit List ,3469,1,die hard scenario|engineer|held at gunpoint|race against time|shot to death,39,USA,R,2011,5.4
,10,240,,Blake Ritson,805,Comedy|Drama|Romance,Romola Garai,Emma             ,2563,1,friendship|love triangle|matchmaker|naivety|opposites attract,50,UK,,,8.2
David Cronenberg,179,89,0,Leslie Carlson,391,Horror|Mystery|Sci-Fi|Thriller,Debbie Harry,Videodrome ,477,0,cyberpunk|hallucination|illegality|snuff film|surrealism,228,Canada,R,1983,7.3
Cédric Klapisch,88,111,82,Cécile De France,809,Comedy|Drama,Romain Duris,L'auberge espagnole ,1858,0,apartment|erasmus|language|student|trip,149,France,R,2002,7.3
Kate Barker-Froyland,43,86,4,Shawn Parsons,11000,Drama|Music,Anne Hathaway,Song One ,12772,1,musician|number in title|recording|sibling,21,USA,PG-13,2014,5.8
Barbet Schroeder,136,115,58,Chris Penn,33000,Crime|Mystery|Thriller,Ryan Gosling,Murder by Numbers ,34605,0,disposing of a dead body|high school student|murder|sociopath|teenage boy,302,USA,R,2002,6.1
Martin Koolhoven,111,103,12,Tygo Gernandt,163,Drama|History|War,Yorick van Wageningen,Winter in Wartime ,219,1,horse|nazi|occupation|resistance movement|uncle nephew relationship,37,Netherlands,R,2008,7.1
Charles Matthau,13,90,139,Michael Jai White,2000,Comedy|Crime|Thriller,Billy Burke,Freaky Deaky ,6569,0,black panties|bomb squad|car bomb|dynamite|girl in panties,11,USA,R,2012,6.5
John Frankenheimer,64,133,287,Paul Scofield,343,Thriller|War,Jeanne Moreau,The Train ,502,0,art|french|german|painting|train,124,France,Unrated,1964,7.9
Christopher M. Bessette,6,88,0,John Billingsley,978,Drama|Thriller,Mira Sorvino,Trade of Innocents ,1443,2,angkor wat|human trafficking|sex slavery|sex tourism,8,USA,PG-13,2012,5.4
Prachya Pinkaew,112,111,64,Nathan Jones,778,Action|Crime|Drama|Thriller,Jon Foo,The Protector ,2205,0,die hard scenario|elephant|long take|police|sydney australia,214,Thailand,R,2005,7.1
Gary Sinyor,12,94,0,Frank Finlay,722,Comedy,Sean Pertwee,Stiff Upper Lips ,1477,2,class conflict|edwardian era|england|sexual awakening|spoof,21,UK,R,1998,6.4
,15,25,,Belinda Stewart-Wilson,229,Comedy|Romance,Simon Bird,The Inbetweeners             ,1239,0,black comedy|bully|friend|house|practical joke,42,UK,TV-14,,8.4
Gurinder Chadha,161,112,98,Parminder Nagra,883,Comedy|Drama|Romance|Sport,Archie Panjabi,Bend It Like Beckham ,2201,0,hinduism|marriage engagement|soccer|team|tradition,438,UK,PG-13,2002,6.7
John Sayles,68,141,407,Edie Falco,688,Drama|Romance,Miguel Ferrer,Sunshine State ,2584,6,african american|business|coastline|florida|real estate,81,USA,PG-13,2002,6.9
Preston A. Whitmore II,25,95,17,Wayne Brady,592,Action|Sport,Wesley Jonathan,Crossover ,2000,6,african american|basketball|basketball movie|critically bashed|tv commercial,36,USA,PG-13,2006,2.1
Ashish R. Mohan,23,141,2,Mithun Chakraborty,634,Action|Comedy,Asin,Khiladi 786 ,1065,1,car crash|impersonating a police officer|long lost brother|marriage bureau|suitor,31,India,Not Rated,2012,4.3
Jaume Balagueró,222,85,57,Pablo Rosso,37,Horror,Jonathan D. Mellor,[Rec] 2 ,73,0,apartment|apartment building|blood sample|crucifix|zombie,148,Spain,R,2009,6.6
Stewart Raffill,9,105,12,Alexis Biesiada,25,Musical,Kayla Jackson,Standing Ovation ,72,9,dance|dream|frog|philadelphia pennsylvania|snake,6,USA,PG,2010,3.4
George Roy Hill,119,129,131,Robert Shaw,1000,Comedy|Crime|Drama,Eileen Brennan,The Sting ,2387,0,con|con man|courier|long con|murder,252,USA,PG,1973,8.3
Hugh Hudson,90,125,46,Ben Cross,368,Biography|Drama|Sport,Alice Krige,Chariots of Fire ,1651,0,athlete|jew|missionary|olympic games|race,213,UK,PG,1981,7.2
Darren Grant,62,116,0,Kimberly Elise,907,Comedy|Drama|Romance,Cicely Tyson,Diary of a Mad Black Woman ,2723,0,comic relief|diary|kiss|madea series|state flag,202,USA,PG-13,2005,5.6
Scott Hicks,71,105,96,Armin Mueller-Stahl,509,Biography|Drama|Music|Romance,Noah Taylor,Shine ,888,0,abuse|australia|concert|pianist|piano,104,Australia,PG-13,1996,7.7
Joseph Gordon-Levitt,364,90,23000,Scarlett Johansson,23000,Comedy|Drama|Romance,Joseph Gordon-Levitt,Don Jon ,44265,1,camera focus on female butt|cunnilingus|new jersey|oral sex|reference to facebook,314,USA,R,2013,6.6
Clint Eastwood,72,105,16000,Richard Bull,16000,Mystery|Western,Clint Eastwood,High Plains Drifter ,17599,0,gravestone|gunfighter|outlaw|revenge|small town,169,USA,R,1973,7.6
Terry Zwigoff,122,111,72,Steve Buscemi,19000,Comedy|Drama,Scarlett Johansson,Ghost World ,34106,0,art class|diner|friend|graduation|high school,488,USA,R,2001,7.4
Richard Eyre,100,91,14,Jim Broadbent,14000,Biography|Drama|Romance,Kate Winslet,Iris ,16768,1,alzheimer's disease|book|love|novelist|writer,144,UK,R,2001,7.1
William Sachs,24,95,14,Avery Schreiber,113,Comedy|Sci-Fi,Stephen Macht,Galaxina ,396,0,alien|android|fem bot|female android|stars,44,USA,R,1980,3.4
Christophe Barratier,112,97,25,François Berléand,517,Drama|Music,Jean-Baptiste Maunier,The Chorus ,745,0,boarding school|boy|choir|school|teacher,110,France,PG-13,2004,7.9
Émile Gaudreault,67,92,9,Luke Kirby,636,Comedy|Drama,Paul Sorvino,Mambo Italiano ,1033,0,gay|immigrant|italian|police|police officer,67,Canada,R,2003,6.7
James Cox,91,104,10,Louis Lombardi,715,Crime|Drama|Mystery|Thriller,Alexis Dziena,Wonderland ,1315,0,murder|police|police investigation|porn star|robbery,153,USA,R,2003,6.6
Spike Lee,103,120,0,John Savage,782,Drama,Ruby Dee,Do the Right Thing ,2892,2,black militant|frustration|pizza|pizza parlor|pizzeria,418,USA,R,1989,7.9
James Toback,27,99,56,Eric Stoltz,4000,Comedy|Crime|Drama|Romance|Thriller,Sarah Michelle Gellar,Harvard Man ,6776,3,basketball|cheerleader|college|harvard|philosophy,69,USA,R,2001,4.9
Aki Kaurismäki,205,93,592,Kati Outinen,232,Comedy|Drama,Jean-Pierre Léaud,Le Havre ,391,1,bar|container|illegal immigrant|neighbor|shoe shiner,41,Finland,Not Rated,2011,7.2
Gaspar Noé,192,99,929,Albert Dupontel,56,Crime|Drama|Mystery|Thriller,Philippe Nahon,Irreversible ,118,0,long take|male frontal nudity|revenge|reverse chronology|vengeance,664,France,Not Rated,2002,7.4
Hitoshi Matsumoto,72,99,17,Hitoshi Matsumoto,31,Comedy|Drama,Lindsay Kay Hayward,R100 ,81,0,coma|one word title|spitting|sushi|swimming pool,12,Japan,Unrated,2013,6.1
Rakeysh Omprakash Mehra,33,157,85,Steven Mackintosh,397,Comedy|Drama|History|Romance,Anupam Kher,Rang De Basanti ,1519,0,freedom|friend|india|student|urination,321,India,Not Rated,2006,8.4
Collin Schiffli,22,90,4,John Heard,934,Drama,Kim Shaw,Animals ,2030,0,drug addict|drug addiction|drug use|drugs|junkie,8,USA,,2014,6.2
George Ratliff,48,96,3,Cree Kelly,472,Action|Comedy|Drama|Thriller,Jim Gaffigan,Salvation Boulevard ,561,5,cross|doused with gasoline|pastor|security guard|shower,31,USA,R,2011,5.3
David Wain,65,96,136,Ken Marino,4000,Comedy|Romance,Jon Hamm,The Ten ,4883,4,death|mexico|sabbath|surgeon|ten stories,117,USA,R,2007,5.0
Shane Meadows,29,90,222,Paddy Considine,5000,Comedy|Drama,Bob Hoskins,A Room for Romeo Brass ,6111,2,betrayal|family relationships|friendship|psychosis|stranger,47,UK,R,1999,7.7
Morten Tyldum,284,100,77,Synnøve Macody Lund,286,Crime|Drama|Thriller,Aksel Hennie,Headhunters ,385,3,art thief|male frontal nudity|male nudity|male star appears nude|painting,121,Norway,R,2011,7.6
Jon Wright,187,94,4,Richard Coyle,796,Comedy|Horror|Sci-Fi|Thriller,Russell Tovey,Grabbers ,1832,0,bathtub|eaten alive|ferry boat|lobster trap|sprinkler system,70,UK,Not Rated,2012,6.3
Michael McGowan,47,98,12,Adam Butcher,393,Comedy|Drama|Sport,Campbell Scott,Saint Ralph ,955,1,boston marathon|coma|marathon|miracles|running,52,Canada,PG-13,2004,7.6
Liv Ullmann,88,129,440,Jessica Chastain,631,Drama|Romance,Samantha Morton,Miss Julie ,631,2,kissing someone's boot|midsummer|telling someone to shut up|two word title|valet,14,Norway,PG-13,2014,5.6
Jeannot Szwarc,41,103,82,Bill Erwin,208,Drama|Fantasy|Romance,Teresa Wright,Somewhere in Time ,454,2,hotel|love|love across time|time travel|time travel romance,249,USA,PG,1980,7.3
Rohan Sippy,24,128,4,Bipasha Basu,374,Action|Crime|Drama|Thriller,Abhishek Bachchan,Dum Maaro Dum ,787,0,airport|drugs|loss of loved one|police|title based on song,27,India,R,2011,6.2
James Wan,318,106,0,Barbara Hershey,852,Fantasy|Horror|Thriller,Lin Shaye,Insidious: Chapter 2 ,2975,0,barricading a door|injection in leg|police detective|supernatural|taser,269,USA,PG-13,2013,6.6
Darren Lynn Bousman,250,95,163,Tony Nappo,1000,Horror|Mystery,Emmanuelle Vaugier,Saw II ,4134,0,death|detective|nerve gas|serial killer|trap,864,USA,R,2005,6.6
Dan Trachtenberg,411,104,16,John Gallagher Jr.,14000,Drama|Horror|Mystery|Sci-Fi|Thriller,Bradley Cooper,10 Cloverfield Lane ,14504,0,alien|bunker|car crash|kidnapping|minimal cast,440,USA,PG-13,2016,7.3
Jeff Tremaine,106,87,79,Steve-O,608,Comedy|Documentary,Bam Margera,Jackass: The Movie ,1770,0,alligator|golf|japan|panda|stunt,327,USA,R,2002,6.6
David F. Sandberg,159,81,26,Amiah Miller,2000,Horror,Billy Burke,Lights Out ,3344,0,based on short film|reference to avenged sevenfold|reference to slayer|switching lights on and off|two word title,95,USA,PG-13,2016,6.9
Henry Joost,251,94,24,Sprague Grayden,581,Horror,Johanna Braddy,Paranormal Activity 3 ,2371,0,animate object|imaginary friend|reference to macgyver|whispering|woman wearing only a man's shirt,314,USA,R,2011,5.8
Stiles White,183,89,10,Shelley Hennig,852,Fantasy|Horror,Lin Shaye,Ouija ,5056,0,death of girlfriend|funeral|ghost|ouija|spirit,159,USA,PG-13,2014,4.4
Chuck Russell,131,88,55,Heather Langenkamp,506,Action|Fantasy|Horror|Thriller,John Saxon,A Nightmare on Elm Street 3: Dream Warriors ,1584,0,dream|freddy krueger|killer|nightmare|springwood ohio,311,USA,X,1987,6.6
Joel Edgerton,297,108,0,Allison Tolman,1000,Mystery|Thriller,Busy Philipps,The Gift ,3215,1,compulsive liar|fired from a job|gift|rape|substance abuse,279,USA,R,2015,7.1
Eugenio Derbez,41,115,399,Jessica Lindsey,399,Comedy|Drama,Eugenio Derbez,Instructions Not Included ,688,1,father daughter relationship,81,Mexico,PG-13,2013,7.6
Henry Joost,248,96,24,Brendon Eggertsen,235,Horror,Matt Shively,Paranormal Activity 4 ,799,0,boy in a bathtub|demon|laptop computer|pulled underwater|walking in the dark,247,USA,R,2012,4.6
Henry Koster,42,135,28,Jean Simmons,726,Drama|History,Richard Burton,The Robe ,1920,1,box office hit|crucifixion|nightmare|palestine|robe,69,USA,Unrated,1953,6.8
Blake Edwards,33,113,688,Herbert Lom,462,Comedy|Crime|Mystery,Burt Kwouk,The Return of the Pink Panther ,971,0,clouseau|diamond|panther|pink|pink panther,73,UK,G,1975,7.1
Rachel Talalay,91,93,54,Tom Arnold,40000,Comedy|Fantasy|Horror|Thriller,Johnny Depp,Freddy's Dead: The Final Nightmare ,42002,0,dark comedy|dream|freddy krueger|nightmare|serial murder,252,USA,R,1991,4.9
Patty Jenkins,185,109,260,Bruce Dern,9000,Biography|Crime|Drama|Thriller,Charlize Theron,Monster ,11736,2,beach|female criminal|hooker|lesbian|prostitute,533,USA,R,2003,7.3
Richard Fleischer,69,127,130,Robert J. Wilke,617,Adventure|Drama|Family|Fantasy|Sci-Fi,James Mason,"20,000 Leagues Under the Sea ",799,0,captain|expedition|sea|submarine|whale,108,USA,Approved,1954,7.2
Christopher Landon,220,101,52,Gloria Sandoval,510,Fantasy|Horror|Thriller,Richard Cabral,Paranormal Activity: The Marked Ones ,2161,0,apartment|blood|demonic possession|neighbor|pentagram,155,USA,R,2014,5.0
David Lynch,117,124,0,Anne Bancroft,12000,Biography|Drama,Anthony Hopkins,The Elephant Man ,13864,1,curiosity|exploitation|freak|hospital|physical deformity,356,USA,PG,1980,8.2
Jean-Marc Vallée,471,117,212,Jennifer Garner,11000,Biography|Drama,Matthew McConaughey,Dallas Buyers Club ,17738,0,drugs|fda|gay community|hiv|homophobia,340,USA,R,2013,8.0
David Gelb,152,83,26,Mark Duplass,10000,Horror|Sci-Fi|Thriller,Olivia Wilde,The Lazarus Effect ,11771,0,electrocuted|experiment|hell|serum|university,126,USA,PG-13,2015,5.2
Christopher Nolan,274,113,22000,Thomas Lennon,716,Mystery|Thriller,Callum Rennie,Memento ,1997,0,flashback|memory|murder|short term memory|telephone,2067,USA,R,2000,8.5
Mike Flanagan,336,104,59,Rory Cochrane,972,Horror|Mystery,James Lafferty,Oculus ,2071,0,home office|mirror|released from a mental hospital|trauma|video camera,339,USA,R,2013,6.5
Kevin Smith,174,97,0,Jason Mewes,1000,Comedy,Ethan Suplee,Clerks II ,2990,3,fast food|fast food restaurant|new jersey|quick stop|restaurant,472,USA,R,2006,7.4
Stephen Daldry,151,110,335,Gary Lewis,838,Drama|Music,Julie Walters,Billy Elliot ,1122,0,audition|ballet|boxing|miner|miners strike,433,UK,R,2000,7.7
Nat Faxon,276,103,214,Liam James,7000,Comedy|Drama,Steve Carell,The Way Way Back ,8375,1,awkward boy|shy kid|summer|vacation|water park,216,USA,PG-13,2013,7.4
George Jackson,12,94,0,Tisha Campbell-Martin,901,Comedy|Drama|Music|Romance,William Schallert,House Party 2 ,2523,0,college|misogyny|money|new friend|party,11,USA,R,1991,5.1
George Miller,18,102,18,Jack Thompson,492,Adventure|Drama|Family|Romance|Western,Tony Bonner,The Man from Snowy River ,854,0,australia|brumby|ranch|stallion|twin,56,Australia,PG,1982,7.3
Maurice Joyce,28,77,0,Constance Shulman,2000,Animation|Comedy|Family,Frank Welker,Doug's 1st Movie ,2908,1,dance|friend|monster|reference to batman|valentine,18,USA,G,1999,5.0
Robert Duvall,95,134,3000,Todd Allen,205,Drama,John Beasley,The Apostle ,428,1,church|louisiana|minister|preacher|texas,157,USA,PG-13,1997,7.2
Frank Perry,74,129,24,Xander Berkeley,977,Biography|Drama,Faye Dunaway,Mommie Dearest ,2014,1,abusive mother|adopted daughter|borderline personality disorder|perfection|sadistic cruelty,161,USA,R,1981,6.7
Jesse Peretz,179,90,37,Adam Scott,11000,Comedy|Drama,Zooey Deschanel,Our Idiot Brother ,15710,1,art model|farmer|jail|nude model|three sisters,115,USA,R,2011,6.4
Stephen Hopkins,125,134,81,Tony Curran,882,Biography|Drama|Sport,William Hurt,Race ,2410,0,1930s|athlete|nazi germany|olympics|track and field,49,Canada,PG-13,2016,7.1
Ice Cube,22,104,0,Monica Calhoun,1000,Comedy|Drama,Bernie Mac,The Players Club ,2868,9,catfight|dominatrix|rape|spanking|stripper,26,USA,R,1998,5.6
Tim Blake Nelson,92,95,596,Andrew Keegan,1000,Drama|Romance|Thriller,Mekhi Phifer,O ,3300,2,basketball|basketball player|boarding school|love|shakespeare's othello,153,USA,R,2001,6.2
John Erick Dowdle,196,93,66,Edwin Hodge,1000,Horror|Mystery|Thriller,Ben Feldman,"As Above, So Below ",1410,0,archeologist|catacomb|found footage|paris france|philosopher's stone,211,USA,R,2014,6.1
Bille Woodruff,9,106,23,Cameron Mills,1000,Drama|Thriller,Boris Kodjoe,Addicted ,2840,0,adultery|attraction|lust|obsession|temptation,33,USA,R,2014,5.2
Kasi Lemmons,31,109,148,Lynn Whitfield,2000,Drama,Jurnee Smollett-Bell,Eve's Bayou ,3843,2,doctor|louisiana|secret|title directed by female|witchcraft,209,USA,R,1997,7.3
Richard Glatzer,309,101,25,Hunter Parrish,17000,Drama,Kristen Stewart,Still Alice ,19673,1,alzheimer's disease|bechdel test passed|linguistics professor|new york city|reference to angels in america the play,195,USA,PG-13,2014,7.5
Michael Curtiz,15,139,345,Peter Ustinov,535,Drama|History,Gene Tierney,The Egyptian ,2112,0,afterlife|egypt|pharaoh|princess|pyramid,67,USA,Approved,1954,6.6
Bruce Malmuth,36,99,6,Lindsay Wagner,13000,Action|Crime|Thriller,Sylvester Stallone,Nighthawks ,14306,2,bomb|new york city|partner|shooting|terrorist,107,USA,R,1981,6.4
Rob Hedden,129,100,6,Peter Mark Richman,935,Adventure|Horror,Kane Hodder,Friday the 13th Part VIII: Jason Takes Manhattan ,1327,0,cult film|friday the thirteenth|hockey mask|jason voorhees|murder spree,291,USA,R,1989,4.5
Joel Zwick,168,95,38,Louis Mandylor,567,Comedy|Family|Romance,Nia Vardalos,My Big Fat Greek Wedding ,1495,3,baptism|greek|greek restaurant|prejudice|travel agency,756,USA,PG,2002,6.6
Harmony Korine,444,94,520,Heather Morris,11000,Crime|Drama,James Franco,Spring Breakers ,12306,4,kissing a dead body|repeated dialogue|sex in pool|spring break|twins,561,USA,R,2012,5.3
Joe Chappelle,123,93,13,Kim Darby,742,Horror|Thriller,Donald Pleasence,Halloween: The Curse of Michael Myers ,1227,0,halloween|michael myers|nudity|returning character with different actor|slasher flick,335,USA,R,1995,4.9
Alfonso Cuarón,173,106,0,Daniel Giménez Cacho,269,Adventure|Comedy|Drama|Romance,Maribel Verdú,Y Tu Mamá También ,361,1,beach|cleaning a swimming pool|male male kiss|mexico|on the road,385,Mexico,R,2001,7.7
Edgar Wright,246,99,1000,Dylan Moran,605,Comedy|Horror,Peter Serafinowicz,Shaun of the Dead ,1686,6,british horror|pub|record collection|zombie|zombie apocalypse,859,UK,R,2004,8.0
Mickey Liddell,74,82,7,Randy Wayne,1000,Drama|Horror|Thriller,Jessica Lowndes,The Haunting of Molly Hartley ,4856,5,18th birthday|birthday|community center|resurrection|teenager,113,USA,PG-13,2008,3.8
John Sayles,68,135,407,Clifton James,11000,Drama|Mystery,Matthew McConaughey,Lone Star ,11400,2,father son relationship|interracial relationship|neo western|sheriff|texas,173,USA,R,1996,7.6
Dwight H. Little,144,88,27,Kathleen Kinmont,742,Horror|Thriller,Donald Pleasence,Halloween 4: The Return of Michael Myers ,1136,0,halloween|michael myers|murder|niece|october,374,USA,R,1988,5.9
Fred Walton,96,89,17,Deborah Foreman,690,Horror|Mystery,Thomas F. Wilson,April Fool's Day ,1160,0,april fool's day|island|mansion|psycho|secret,125,USA,R,1986,6.2
Barry Levinson,42,110,272,Daniel Stern,801,Comedy|Drama,Steve Guttenberg,Diner ,2943,6,baltimore colts|diner|marriage|salesman|wedding,87,USA,R,1982,7.2
Steve Carver,29,107,8,William Sanderson,926,Action|Crime|Drama|Thriller|Western,David Carradine,Lone Wolf McQuade ,2383,0,drugs|martial arts|texas|texas ranger|weapon,65,USA,PG,1983,6.3
Gonzalo López-Gallego,228,86,17,Ryan Robbins,520,Horror|Mystery|Sci-Fi|Thriller,Warren Christie,Apollo 18 ,1520,0,cosmonaut|footprint|found footage|moon|secret mission,323,USA,PG-13,2011,5.2
Christine Jeffs,195,91,19,Mary Lynn Rajskub,968,Comedy|Drama,Clifton Collins Jr.,Sunshine Cleaning ,2528,0,business|crime scene cleanup|private school|school|sister sister relationship,134,USA,R,2008,6.9
John Erick Dowdle,203,103,66,Claire Geare,155,Action|Thriller,Sterling Jerins,No Escape ,259,0,asia|fictional country|hotel|rebellion|revolution,214,USA,R,2015,6.8
Don Coscarelli,44,90,152,John Amos,21000,Action|Adventure|Fantasy,Vanna Bonta,The Beastmaster ,23714,0,breasts|critically acclaimed|female frontal nudity|psychotronic film|sword and sorcery,87,USA,PG,1982,6.2
King Vidor,14,141,54,George Sanders,746,Drama|History|Romance|War,Gina Lollobrigida,Solomon and Sheba ,1332,2,king|pharaoh|queen|queen of sheba|tribe,33,USA,,1959,6.2
Michael Tiddes,59,92,89,Mike Epps,729,Comedy,Fred Willard,Fifty Shades of Black ,2848,4,color in title|parody|reference to cuba gooding jr|reference to netflix|written by star,53,USA,R,2016,3.5
Bill Duke,45,99,1000,Jenifer Lewis,849,Drama|Romance,Eddie Cibrian,Not Easily Broken ,2269,1,african american protagonist|based on novel|title spoken by character,21,USA,PG-13,2009,6.1
Frank Borzage,42,79,57,Helen Hayes,998,Drama|Romance|War,Gary Cooper,A Farewell to Arms ,1284,1,1910s|ambulance driver|italy|lake|nurse,46,USA,Unrated,1932,6.6
Bille Woodruff,12,96,23,Brandy Norwood,927,Comedy|Romance,Donald Faison,The Perfect Match ,3552,6,,9,USA,R,2016,4.5
Mamoru Hosoda,29,82,99,Colleen O'Shaughnessey,93,Action|Adventure|Animation|Family|Sci-Fi,Lara Jill Miller,Digimon: The Movie ,315,0,based on video game|box office hit|computer|digimon|internet,65,USA,PG,2000,5.9
Brian Dannelly,121,92,12,Patrick Fugit,3000,Comedy|Drama,Macaulay Culkin,Saved! ,5668,5,christian|jewish|pastor|school|virginity,324,USA,PG-13,2004,6.9
Denys Arcand,135,112,66,Stéphane Rousseau,150,Comedy|Crime|Drama|Mystery|Romance,Marie-Josée Croze,The Barbarian Invasions ,253,2,cancer|dying|friend|money|socialist,166,Canada,R,2003,7.7
Richard Lester,27,106,44,Denholm Elliott,559,Adventure|Drama|Romance,Robert Shaw,Robin and Marian ,1199,10,crusades|friar|robin hood|sheriff|sheriff of nottingham,90,USA,PG,1976,6.6
J.S. Cardone,56,90,23,Kerr Smith,847,Horror|Thriller,Brendan Fehr,The Forsaken ,3004,4,flashing breasts|hitchhiker|vampire|vampire hunter|virus,131,USA,R,2001,5.3
Guy Hamilton,22,126,82,Carl Weathers,11000,Action|Drama|War,Harrison Ford,Force 10 from Navarone ,13591,2,colonel|mission|partisan|spy|traitor,80,UK,PG,1978,6.3
Jay Levey,59,150,3,Gedde Watanabe,859,Comedy|Drama,Fran Drescher,UHF ,3942,1,gambling|imagination|television|television station|tv show,198,USA,PG-13,1989,7.0
