director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_2_name,gross,movie_title,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,budget,title_year,actor_2_facebook_likes,imdb_score,movie_facebook_likes
Duncan Tucker,169,103,2,Felicity Huffman,9013113,Transamerica ,3192,Paul Borghese,2,bail|male full frontal nudity|sex change|stepfather|transsexual,1000000,2005,508,7.4,0
William Brent Bell,225,83,19,Claudiu Trandafir,53245055,The Devil Inside ,988,Brian Johnson,0,critically bashed|demonic possession|exorcism|exorcist|found footage,1000000,2012,169,4.2,12000
Russ Meyer,101,109,199,Cynthia Myers,9000000,Beyond the Valley of the Dolls ,731,Harrison Page,8,band|drugs|friendship|hollywood|satire,900000,1970,46,6.2,0
Robert D. Webb,39,89,0,Neville Brand,,Love Me Tender ,831,Debra Paget,1,army|civil war|robbery|soldier|train,1000000,1956,110,6.2,365
Davis Guggenheim,372,96,49,Al Gore,23808111,An Inconvenient Truth ,929,,0,climate|earth|global warming|science|truth,,2006,68,7.5,0
Allan Dwan,40,109,23,Richard Jaeckel,,Sands of Iwo Jima ,510,Forrest Tucker,0,battle|combat|heroic military|sergeant|tarawa,1000000,1949,102,7.2,624
Martin Scorsese,129,122,17000,Keith Richards,5355376,Shine a Light ,1218,Albert Maysles,0,band|concert footage|new york city|rolling stones|three word title,,2008,426,7.2,0
Eli Roth,285,100,0,Richard Burgi,7186670,The Green Inferno ,2082,Magda Apanowicz,0,activist|amazon|color in title|rain|rain forest,6000000,2013,550,5.4,12000
Andrew Steggall,29,109,0,Alex Lawther,,Departure ,283,Niamh Cusack,0,france|gay|language|male masturbation|masturbation,1100000,2015,47,7.0,75
Ben Lewin,337,95,20,Adam Arkin,5997134,The Sessions ,1899,Rhea Perlman,3,falling in love|iron lung|priest|sex surrogate|therapist,1000000,2012,374,7.2,11000
Robert Kenner,120,94,11,Eric Schlosser,4417124,"Food, Inc. ",42,Barbara Kowalcyk,0,farming|flesh eating|food|food industry|gluttony,,2008,3,7.9,37000
Andrew Erwin,40,107,10,Robert Amaya,5355847,October Baby ,1147,Jason Burkey,1,abortion|anti choice|christian preach|malpractice|unprofessional conduct,,2011,264,6.8,0
Brad Anderson,38,104,122,Callie Thorne,3386698,Next Stop Wonderland ,23461,Holland Taylor,1,love|marine biologist|nurse|personal ad|plumber,1000000,1998,472,6.7,392
Jason Reitman,387,96,655,Jennifer Garner,143492840,Juno ,28817,Rainn Wilson,0,adoption|baby|friend|pregnancy|school,7500000,2007,3000,7.5,10000
Craig Johnson,185,93,7,Boyd Holbrook,5283379,The Skeleton Twins ,3986,Kathleen Rose Perkins,2,adultery|brother sister relationship|estrangement|siblings|suicide attempt,,2014,439,6.8,0
Sean Durkin,348,102,46,Julia Garner,2981638,Martha Marcy May Marlene ,1263,Brady Corbet,0,connecticut|cult|memory|new york|telephone call,,2011,300,6.9,0
Gillian Robespierre,155,84,9,Jenny Slate,3122616,Obvious Child ,1587,Jake Lacy,1,abortion|divorced parents|one night stand|pregnancy|pregnant,,2014,457,6.8,0
Courtney Hunt,181,97,33,Michael O'Keefe,2508841,Frozen River ,994,Misty Upham,1,border|mohawk|money|new york|river,1000000,2008,238,7.2,0
Morgan Neville,149,91,9,Lou Adler,4946250,20 Feet from Stardom ,198,Merry Clayton,0,backup singer|band|bechdel test passed|concert footage|singer,1000000,2013,19,7.4,14000
James Toback,54,84,56,Natasha Gregson Wagner,1950218,Two Girls and a Guy ,21124,Angel David,3,actor|anilingus|double cross|funeral home|two timing,1000000,1997,104,5.6,387
Nicole Holofcener,18,86,132,Anne Heche,1277257,Walking and Talking ,2400,Vincent Pastore,2,briefs|cancer|cat|cult film|friend,1000000,1996,695,6.8,227
Peter Cattaneo,122,91,11,Mark Addy,45857453,The Full Monty ,2323,Lesley Sharp,3,dole|male stripper|northern england|steel worker|unemployment,3500000,1997,891,7.2,0
Chris Paine,87,92,2,Phyllis Diller,1677838,Who Killed the Electric Car? ,1447,Colette Divine,0,california|car|reference to ralph nader|technology|u.s. president,1000000,2006,659,7.7,0
Greg Berlanti,51,94,112,Nia Long,1744858,The Broken Hearts Club: A Romantic Comedy ,3085,Mary McCormack,1,friend|gay|lesbian|photographer|restaurant,1000000,2000,826,7.0,671
Don Coscarelli,260,92,152,Ossie Davis,,Bubba Ho-Tep ,1587,Ella Joyce,2,cult film|elvis|elvis presley|nursing home|texas,1000000,2002,282,7.2,0
Rob Letterman,218,103,11,Dylan Minnette,80021740,Goosebumps ,5497,Ken Marino,4,based on book|blob|ferris wheel|manuscript|monster,58000000,2015,1000,6.4,35000
Marc Levin,16,100,12,Saul Williams,982214,Slam ,295,Bonz Malone,0,gang|independent film|prison|racial slur|urban setting,1000000,1998,38,7.2,603
Richard Dutcher,12,119,13,Frank Gerrish,798341,Brigham City ,1107,Rick Macy,0,fbi agent|mormon|prayer|sheriff|utah,1000000,2001,81,7.2,100
Khalid Mohamed,1,167,10,Manoj Bajpayee,610991,Fiza ,773,Jaya Bhaduri,3,mumbai riots|politician|riot|suicide|tragic event,1000000,2000,186,6.2,92
Mel Brooks,48,92,0,Sid Caesar,,History of the World: Part I ,3931,Dom DeLuise,0,french revolution|old testament|part of an unfinished series|reference to john wayne|roman emperor,11000000,1981,898,6.9,0
Trey Parker,59,92,406,Dian Bachar,582024,Orgazmo ,904,Matt Stone,0,book of mormon|fight|mormon|ray gun|sidekick,1000000,1997,203,6.2,0
David Gordon Green,88,108,234,Paul Schneider,548712,All the Real Girls ,12385,Shea Whigham,0,best friend|lake|love|small town|womanizer,2500000,2003,552,6.9,571
Finn Taylor,28,97,4,Cathy Moriarty,464655,Dream with the Fishes ,1692,Kathryn Erbe,0,dying|to do list|twenty something|underwear|voyeur,1000000,1997,394,7.0,166
Karen Moncrieff,44,88,22,Agnes Bruckner,464126,Blue Car ,1641,A.J. Buckley,0,contest|poetry|refusing to eat|starving oneself|teenage girl,1000000,2002,400,6.7,115
José Luis Valenzuela,13,100,0,Lupe Ontiveros,428535,Luminarias ,2289,Robert Beltran,1,divorce|friend|jewish|lent|restaurant,1000000,2000,625,3.6,24
Gia Coppola,117,100,71,Nat Wolff,750100,Palo Alto ,12234,Olivia Crocicchia,0,girls' soccer|high school|high school student|soccer coach|teenager,,2013,733,6.3,0
Scandar Copti,100,124,13,Scandar Copti,621240,Ajami ,42,Ranin Karim,6,arab|christian|israeli|palestinian|violence,,2009,13,7.4,0
Goran Dukic,117,88,21,Patrick Fugit,104077,Wristcutters: A Love Story ,4720,Chase Ellison,2,afterlife|camping|death|hitchhiker|suicide,1000000,2006,835,7.4,11000
Mike Cahill,140,106,135,Cara Seymour,334658,I Origins ,7098,Venida Evans,0,buddhism|evolution|eye|reincarnation|stuck in elevator,,2014,71,7.3,32000
Efram Potelle,29,79,2,Elden Henson,279282,The Battle of Shaker Heights ,2489,Kathleen Quinlan,2,bully comeuppance|high school|painter|reference to led zeppelin|wetting pants,1000000,2003,577,6.1,150
Peter Jackson,308,135,0,AJ Michalka,43982842,The Lovely Bones ,2369,Tom McCarthy,1,1970s|afterlife|heaven|pedophile|rape,65000000,2009,559,6.7,16000
Joshua Oppenheimer,248,96,50,Herman Koto,484221,The Act of Killing ,6,Syamsul Arifin,1,death squad|mass killing|musical number|reference to guantanamo bay|surrealism,1000000,2012,3,8.2,20000
Alex Gibney,84,53,141,George W. Bush,274661,Taxi to the Dark Side ,313,Greg D'Agostino,0,afghanistan|detainee|guantanamo bay|taxi|torture,1000000,2007,125,7.7,0
Paul Crowder,40,97,10,Marv Albert,144431,Once in a Lifetime: The Extraordinary Story of the New York Cosmos ,118,Ahmet Ertegun,0,new york|new york cosmos|professional sports|soccer|soccer team,1000000,2006,7,7.3,587
Rohit Jagessar,,120,0,Rufus Graham,227241,Guiana 1838 ,15,Aasheekaa Bathija,0,bare chested male|discipline|imperialism|whipping|white slavery,,2004,3,7.4,32
Griffin Dunne,13,90,165,Fisher Stevens,112521,Lisa Picard Is Famous ,3258,Melissa Gilbert,1,actress|fame|inside joke|new york|one man show,,2000,922,5.7,25
Anthony Powell,31,91,9,Tom Hamann,287761,Antarctica: A Year on Ice ,86,Anthony Powell,1,antarctica,1000000,2013,24,7.6,0
Kief Davidson,43,93,0,Brian Whitaker,100240,A Lego Brickumentary ,28,Jason Bateman,0,artist|denmark|lego|toy|toy company,1000000,2014,8,6.8,0
Johnny Remo,2,112,74,Randy Wayne,96734,Hardflip ,263584,Raquel Elizabeth Ames,3,family relationships|loss of mother|san diego california|single mother|suicide attempt,1000000,2012,984,5.6,706
Vivek Agnihotri,4,160,5,Anil Kapoor,49000,Chocolate: Deep Dark Secrets ,2024,Sunil Shetty,5,chocolate|christmas|christmas eve|death|suspect,1500000,2005,668,4.8,31
Ti West,238,95,243,Greta Gerwig,100659,The House of the Devil ,3833,Dee Wallace,0,cult film|eclipse|haunted house|lunar eclipse|secret,900000,2009,962,6.4,0
Nick Tomnay,112,93,11,Clayne Crawford,48430,The Perfect Host ,1452,Nathaniel Parker,1,arm tattoo|bank robbery|cauterizing a wound|dancing on a table|dinner party,500000,2010,298,6.8,0
John Hamburg,33,88,29,Michael Lerner,21210,Safe Men ,1141,Josh Pais,0,gangster|organized crime|robbery|rosh hashanah|safecracking,1000000,1998,230,6.1,157
Nickolas Perry,8,105,5,Patsy Kensit,,Speedway Junky ,1042,Adrienne Frantz,2,car racing|crush|hustler|scam|watching television,1000000,1999,231,5.2,27
Dan Zukovic,95,98,8,Louis Mustillo,22434,The Last Big Thing ,196,James Lorinz,1,actor|magazine|model|rock band|suburb,,1996,71,6.9,43
Craig Mazin,29,82,82,James Gunn,12996,The Specials ,3905,Jamie Kennedy,0,action figure|press conference|superhero|superhero team|toy,1000000,2000,571,6.0,210
Becky Smith,3,89,32,Emily Baldoni,,16 to Life ,1647,Hallee Hirsh,1,birthday|digit in title|love|masturbation|teenager,1000000,2009,261,6.3,143
Eric Nicholas,71,78,0,Ana Claudia Talancón,10018,Alone with Her ,509,Jonathon Trent,0,female nudity|female pubic hair|masturbation|panties|pubic hair,1000000,2006,163,6.1,244
Benjamin Dickinson,36,97,4,Alexia Rasmussen,62480,Creative Control ,928,Meredith Hagner,1,art exhibition|augmented reality|cocaine|nervous breakdown|speculative fiction,1000000,2015,171,5.5,793
Hal Haberman,56,81,0,Paul Blackthorne,6387,Special ,2694,Ian Bohen,0,dream sequence|locked in a room|looking at self in mirror|medication|superhero,1000000,2006,645,6.9,0
Darren Stein,8,90,18,Jamie Kennedy,5494,Sparkler ,2633,Veronica Cartwright,3,automobile association of america|cheating|psychic|reference to tom jones the singer|trailer park,,1997,490,5.6,17
A. Raven Cruz,3,97,0,Vanilla Ice,,The Helix... Loaded ,1188,Jennifer Sky,2,cnn reporter|ellipsis in title|matrix|punctuation in title|secret agent,1000000,2005,361,1.9,128
Brian Trenchard-Smith,8,88,53,Mariel Hemingway,721,In Her Line of Fire ,1284,Jesse Hutch,2,camp|die hard scenario|female protagonist|island|vice president,1000000,2006,288,4.1,42
Frank Whaley,9,96,436,Frank Whaley,703,The Jimmy Show ,920,Heather Bucha,3,based on play|character name in title,1500000,2001,436,5.4,47
Amat Escalante,87,105,50,Andrea Vergara,,Heli ,351,Gabriel Reyes,0,corrupt police|drug cartel|drugs|mexico|police,1000000,2013,9,6.8,0
Wajahat Rauf,6,,3,Ayesha Omar,,Karachi se Lahore ,19,Javed Sheikh,9,pakistan|road trip,1000000,2015,5,7.0,259
Katherine Brooks,14,76,57,Kevin McCarthy,,Loving Annabelle ,1635,Laura Breckenridge,0,older woman younger woman relationship|sex with student|teacher|teacher student relationship|title directed by female,1000000,2006,403,6.7,501
David Cross,20,96,0,Matt Walsh,,Hits ,2607,Amy Sedaris,1,courtroom|independent film|internet|small town|youtube,1000000,2014,490,5.8,903
Randall Rubin,23,99,0,A.J. Buckley,,Jimmy and Judy ,997,James Eckhouse,2,police|revenge|sex|suburb|video camera,1000000,2006,275,6.2,138
Robert Bennett,6,90,15,Lauren C. Mayhew,,Frat Party ,1752,Alicia Ziegler,4,erotica|masseuse|sister sister relationship|temptation|threesome,1000000,2009,157,2.8,297
Guy Hamilton,12,94,82,Eddie Albert,,The Party's Over ,964,Louise Sorel,1,beatnik|businessman|necrophilia|party|partying,,1965,196,7.3,32
Mary Pat Kelly,2,87,3,Ossie Davis,,Proud ,1593,Janet Hubert,2,,1000000,2004,282,5.8,141
Lori Petty,12,93,923,Chloë Grace Moretz,,The Poker House ,52113,Bokeem Woodbine,3,basketball|drug abuse|interracial rape|iowa|tween girl,,2008,17000,6.5,599
Charlie Levi,,90,0,Barbara Hershey,,Childless ,1996,Diane Venora,5,,1000000,2008,618,6.1,3
Kevin Hamedani,64,89,23,Janette Armand,,ZMD: Zombies of Mass Destruction ,292,Kevin Hamedani,0,cult|homosexual|island|survival horror|zombie,500000,2009,37,5.1,0
David DeCoteau,7,83,142,Shanley Caswell,,Snow White: A Deadly Summer ,1549,Tim Abell,1,reference to snow white|sleeping bag|stepmother stepdaughter relationship|strangulation|totem pole,1000000,2012,383,2.2,150
Mikel Rueda,9,96,0,Germán Alcarazu,,Hidden Away ,90,Joseba Ugalde,0,best friend|deportation|moroccan|unrequited love|xenophobia,,2014,0,7.2,68
Stefan C. Schaefer,21,90,0,Marlene Forte,,My Last Day Without You ,2116,Reg E. Cathey,1,business trip|german|love|new york|singer songwriter,1000000,2011,395,5.7,370
Michael Taliferro,,138,105,Sticky Fingaz,,Steppin: The Movie ,1350,Chrystee Pharris,6,,1000000,2009,207,3.4,41
David DeCoteau,1,84,142,Tom Berenger,,Doc Holliday's Revenge ,11466,Randy Jay Burrell,3,1880s|cowboy|low budget film|shoot out|wild west,1000000,2014,854,3.8,54
Katie Aselton,95,83,224,Anslem Richardson,,Black Rock ,344,Jay Paulson,1,bare breasts|female frontal nudity|hunter|island|weekend,,2012,59,4.7,0
Robert Heath,40,96,0,Alexander Vlahos,,Truth or Die ,1226,Jennie Jacques,2,cabin in the woods|drinking acid|introvert|lesbian kiss|truth or dare,1000000,2012,334,5.6,968
D. Stevens,6,94,6,Pierre Dulat,,The Pet ,109,Summer Napoles,0,dominance submissiveness|female nudity|human branding|human pet|power exchange,1000000,2006,17,3.9,91
Jeffrey St. Jules,16,90,0,Chloe Rose,,Bang Bang Baby ,231,Kristian Bruun,2,,1000000,2014,40,5.4,48
Robert Hall,39,95,53,Kevin Gage,,Fear Clinic ,1825,Fiona Dourif,0,bare breasts|based on web series|claustrophobia|doctor|phobia,1000000,2015,366,5.2,936
K. King,150,93,3,Shona Kay,,Zombie Hunter ,656,Jarrod Phillips,2,desert|drifter|seduction|siege|zombie,1000000,2013,211,3.5,0
Jonathan Meyers,1,111,0,Luke Perry,,A Fine Step ,2677,Leonor Varela,0,,1000000,2014,608,5.3,212
Danny Boyle,393,101,0,Spencer Wilding,2319187,Trance ,5056,Tuppence Middleton,0,amnesia|criminal|heist|hypnotherapy|lost painting,20000000,2013,1000,7.0,23000
Ralph Nelson,32,103,17,Dick Van Patten,,Charly ,1567,Claire Bloom,0,disability|experiment|genius|intelligence|mouse,,1968,605,7.1,785
Blair Erickson,78,87,0,Katia Winter,,Banshee Chapter ,1618,Michael McMillian,1,experiment|lsd|missing friend|mk ultra|radio broadcast,950000,2013,371,5.5,2000
,,30,,David DeLuise,,Jesse             ,1713,Bruno Campos,8,1990s|brother sister relationship|female protagonist|single mother|sitcom,,,275,5.9,57
Allison Burnett,8,100,12,Gia Mantegna,,Ask Me Anything ,2468,Cathryn de Prume,1,bare breasts|female protagonist,950000,2014,413,6.0,884
Richard Schenkman,6,90,29,Mike Colter,,And Then Came Love ,2504,Eartha Kitt,1,facebook|imdb|mediaatlarge.com|mediaatlargellc|sperm donor,989000,2007,569,4.8,42
Sanjay Rawal,9,83,0,Robert Kennedy Jr.,,Food Chains ,104,Eve Ensler,0,two word title,913000,2014,28,7.1,489
Elia Kazan,134,108,603,Karl Malden,9600000,On the Waterfront ,11094,Rod Steiger,2,death|dock|longshoreman|murder|union,910000,1954,416,8.2,0
Kat Coiro,18,100,28,Geoff Stults,20186,L!fe Happens ,2924,Kristen Johnston,8,friendship|los angeles california|one night stand|roommate|single mother,930000,2011,756,5.7,995
Cristian Mungiu,233,113,163,Vlad Ivanov,1185783,"4 Months, 3 Weeks and 2 Days ",264,Alexandru Potocean,0,female rear nudity|friend|hotel|rainy night|towel,590000,2007,60,7.9,14000
Brian Dorton,10,97,171,Brian Dorton,,The Horror Network Vol. 1 ,1343,Jan Cornet,0,anthology,3000000,2015,171,7.3,52
David Slade,231,104,171,G.J. Echternkamp,1007962,Hard Candy ,117,Patrick Wilson,0,chatting|missing person poster|online dating|photographer|sexual predator,950000,2005,8,7.1,12000
Jamie Babbit,65,91,91,David Gallagher,381186,The Quiet ,3299,Edie Falco,0,deaf|death|dysfunctional family|godparent|secret,900000,2005,796,6.4,698
Maryam Keshavarz,76,107,32,Reza Sixo Safai,439958,Circumstance ,509,Sina Amedson,1,closeted lesbian|iranian|islamophobia|propaganda|teenager,,2011,127,5.9,0
Ryan Coogler,327,85,0,Melonie Diaz,16097842,Fruitvale Station ,687,Ariana Neal,0,22 year old|b.a.r.t.|bay area|birthday|police,900000,2013,270,7.5,17000
Ramaa Mosley,62,101,6,Michael Angarano,6643,The Brass Teapot ,4184,Alia Shawkat,2,mini dress|mini skirt|money|voyeur|voyeurism,900000,2012,947,6.4,0
James Algar,116,70,11,Donnie Dunagan,102797150,Bambi ,63,Ann Gillis,0,animal|bambi|deer|forest|hunter,,1942,12,7.4,0
Charles Herman-Wurmfeld,73,88,0,Rian Bishop,442638,The Hammer ,897,Adam Carolla,1,birthday|boxing|coach|gym|olympics,850000,2007,140,7.3,337
Ric Roman Waugh,238,112,29,Harold Perrineau,42919096,Snitch ,15800,Nadine Velazquez,1,cigarette smoking|dea|drugs|inspired by true events|undercover,15000000,2013,1000,6.5,12000
C. Jay Cox,35,107,6,Rob McElhenney,819939,Latter Days ,26017,Jacqueline Bisset,2,christian|male frontal nudity|mormon|mormon missionary|nudity,850000,2003,813,7.2,0
Mariette Monpierre,2,78,0,Christophe Cherki,,Elza ,0,Teddy Doloir,1,foreign|french,900000,2011,0,6.7,24
Tommy Oliver,6,90,66,Ruby Dee,,1982 ,5435,Quinton Aaron,4,number in title|semi autobiographical,1000000,2013,782,7.1,181
Jamie Travis,115,88,15,Ari Graynor,1243961,"For a Good Time, Call... ",3770,Nia Vardalos,0,friend|friendship|gay|phone sex|sex,850000,2012,904,6.0,0
Lee Toland Krieger,193,92,43,Janel Parrish,3094687,Celeste & Jesse Forever ,1751,Rob Huebel,2,best friends|friendship|masturbation|reference to matthias steiner|single,,2012,517,6.7,0
Rich Christiano,16,95,14,D. David Morin,15278,Time Changer ,1185,Hal Linden,1,bible|christian propaganda|christianity|time machine|zealot,825000,2002,234,5.6,409
Paul Andrew Williams,68,85,46,Johnny Harris,,London to Brighton ,926,Georgia Groome,0,bathroom|chase|girl|pimp|toilet,500000,2006,146,7.0,933
Nick Love,16,86,63,Christopher Berry,,American Hero ,1278,Michelle Tabora,2,father son relationship|female nudity|mother daughter relationship|reconciliation|superhero,990000,2015,207,4.9,549
Natalie Bible',7,90,8,Samaire Armstrong,,Windsor Drive ,3336,Matt Cohen,1,,100000,2015,806,3.2,312
Asghar Farhadi,354,123,0,Leila Hatami,7098492,A Separation ,2501,Peyman Moaadi,2,alzheimer's disease|caregiver|divorce|iran|iranian,500000,2011,712,8.4,48000
Justin Molotnikov,16,93,5,Stephen McCole,,Crying with Laughter ,81,Joe Cassidy,1,cocaine|edinburgh scotland|stand up comedian,,2009,11,6.9,33
Todd Solondz,74,88,377,Ken Leung,4771000,Welcome to the Dollhouse ,1502,Christina Vidal,1,bully|first crush|school|social outcast|taunting,800000,1995,502,7.5,0
Victor Nunez,11,114,9,Todd Field,1001437,Ruby in Paradise ,423,Dorothy Lyman,1,desire|florida|identity|resort town|sales,800000,1993,143,7.2,81
Peter Sollett,59,88,6,Melonie Diaz,2073984,Raising Victor Vargas ,663,Judy Marte,1,based on short film|manhattan new york city|urination|vomiting|watching television,800000,2002,270,7.2,219
Georg Wilhelm Pabst,71,110,21,Francis Lederer,9950,Pandora's Box ,455,Fritz Kortner,1,escape|femme fatale|german expressionism|lust|violence,,1929,20,8.0,926
Daniel Davila,5,95,0,Melora Walters,,Harrison Montgomery ,1484,Diane Baker,2,abusive relationship|character name in title|magic|san francisco california|tenderloin san francisco,850000,2008,188,7.4,18
Jorge Gaggero,25,83,0,Hilda Bernard,,Live-In Maid ,29,Claudia Lapacó,0,buenos aires argentina|economics|housekeeper|maid|servant,800000,2004,5,7.2,83
Rod Lurie,29,104,37,Kathryn Morris,144583,Deterrence ,1983,Timothy Hutton,0,colorado|diner|iraq|nuclear missile|president,800000,1999,573,6.5,130
Michael Burke,17,94,3,Tom Guiry,,The Mudge Boy ,991,Ryan Donowho,1,death|farm|fur coat|grief|misfit,800000,2003,262,7.2,396
Catherine Jelski,13,87,0,Eion Bailey,58163,The Young Unknowns ,2359,Arly Jover,0,based on play|independent film,,2000,749,4.2,4
Shane Dawson,6,93,247,Kurt Angle,35688,Not Cool ,954,Cherami Leigh,4,,600000,2014,217,5.1,0
Tommy Wirkola,224,91,75,Stig Frode Henriksen,41709,Dead Snow ,116,Ane Dahl Torp,0,medical student|nazi|snow|snowmobile|zombie,800000,2009,16,6.4,23000
Ryan Little,33,90,38,Larry Bagby,1310270,Saints and Soldiers ,587,Kirby Heyborne,0,ardennes forest|battle of the bulge|behind enemy lines|winter|world war two in belgium,780000,2003,115,6.8,1000
Clark Baker,1,14,0,Alan Pietruszewski,,Vessel ,315,Whit Spurgeon,1,alien|flight attendant|monster|pilot|tentacle,,2012,93,6.2,14
George Lucas,100,112,0,Ron Howard,115000000,American Graffiti ,14954,Mackenzie Phillips,1,california|car|drag racing|high school|rock 'n' roll,777000,1973,2000,7.5,0
Robert Greenwald,21,75,21,Katy Helvenston-Wettengal,,Iraq for Sale: The War Profiteers ,25,Donna Zovko,0,american politics|armed forces|political corruption|shady|war profiteer,750000,2006,0,7.7,274
Matt Maiellaro,82,86,8,Fred Armisen,5518918,Aqua Teen Hunger Force Colon Movie Film for Theaters ,3071,Chris Kattan,0,based on cult tv series|critically acclaimed|exercise machine|midnight movie|robot,750000,2007,424,6.9,307
Colin Trevorrow,271,86,365,Mark Duplass,4007792,Safety Not Guaranteed ,2714,Jeff Garlin,0,classified ad|intern|magazine|time machine|time travel,750000,2012,830,7.0,31000
Leslie Small,5,89,15,Larry King,7705974,Kevin Hart: Laugh at My Pain ,548,Jeanette Branch,1,stand up comedy,,2011,135,7.5,614
Ben Wheatley,255,95,214,Ben Crompton,26297,Kill List ,1269,Neil Maskell,0,female full frontal nudity|hitman|knee breaking|male full frontal nudity|sniper,500000,2011,257,6.3,0
Ti West,292,101,243,Jake Ryan,77501,The Innkeepers ,1252,Pat Healy,0,bathtub|dead body in a bathtub|dead body in bathtub|hotel|inn,750000,2011,128,5.5,0
David S. Goyer,178,89,687,Atticus Shaffer,42638165,The Unborn ,12183,Rachel Brosnahan,1,babysitting|experiment|nightmare|possession|twin,16000000,2009,787,4.8,0
Bernardo Bertolucci,120,106,973,Stefania Sandrelli,,The Conformist ,500,Dominique Sanda,1,fascist|gun|italy|nudity|sexuality,750000,1970,90,8.1,0
Neil Burger,31,88,168,Christel Khalil,47329,Interview with the Assassin ,243,Renee Faia,0,conspiracy theory|kennedy assassination|mock documentary|paranoia,750000,2002,72,6.6,163
Oliver Blackburn,114,99,4,Nichola Burley,18378,Donkey Punch ,1558,Tom Burke,0,male frontal nudity|male nudity|male pubic hair|male rear nudity|spain,900000,2008,233,5.2,0
Jonathan Levine,233,90,129,Michael Welch,,All the Boys Love Mandy Lane ,2170,Whitney Able,1,drugs|female nudity|party|voyeur|voyeurism,750000,2006,611,5.6,2000
Christopher Hutson,8,95,3,Jennifer Lee Wiggins,,Bled ,1117,Michele Morrow,0,artist|blood|drug|tree sap|vampire,750000,2009,134,3.1,128
Fred Zinnemann,153,85,160,Lloyd Bridges,,High Noon ,2496,Lon Chaney Jr.,0,appeasement|frontier justice|justice|one against many|street shootout,750000,1952,575,8.1,3000
Steve James,53,170,23,Arthur Agee,7830611,Hoop Dreams ,15,Isiah Thomas,0,athlete|basketball|high school|high school student|school,700000,1994,6,8.3,0
David LaChapelle,49,86,30,Christopher Toler,3278611,Rize ,321,Tommy the Clown,0,clown|clowning|dance|gang|south central los angeles,,2005,23,7.1,903
Joseph Kosinski,4,,364,Lauren Cohan,,Destiny ,26578,Erick Avari,0,first person shooter,,2014,4000,8.1,1000
Michael Cuesta,64,97,52,Bruce Altman,1141829,L.I.E. ,209,Walter Masterson,1,ephebophile|pederasty|pedophilia|playing hooky|shaving,700000,2001,67,7.2,420
Caryn Waechter,23,104,0,Kara Hayward,,The Sisterhood of Night ,1581,Louis Ozawa Changchien,,accused of witchcraft|based on short story,1000000,2014,524,6.3,523
Emily Dell,8,88,0,Wesley Jonathan,,B-Girl ,2476,Drew Sidora,0,brooklyn new york city|los angeles california|teacher|trauma|violence,,2009,592,4.0,303
Peter Jackson,446,201,0,Thomas Kretschmann,218051260,King Kong ,7122,Evan Parke,0,animal name in title|ape abducts a woman|gorilla|island|king kong,207000000,2005,918,7.2,0
Jaume Collet-Serra,228,108,174,Paris Hilton,32048809,House of Wax ,2160,Brian Van Holt,0,brother sister relationship|group of friends|male nudity|twin|wax,30000000,2005,716,5.3,0
Ryan Fleck,208,106,31,Tristan Mack Wilds,2694973,Half Nelson ,33734,Jeff Lima,2,bathroom|classroom|dialectics|drugs|student,700000,2006,519,7.2,0
Jennifer Wynne Farmer,2,107,0,Akima,10508,Naturally Native ,1763,Max Gail,4,cosmetics|female protagonist|native american|native american protagonist|sister sister relationship,700000,1998,282,6.5,102
Christopher Scott Cherot,25,84,21,Robinne Lee,2301777,Hav Plenty ,714,Chenoa Maxwell,2,friend|new year's eve|screwball|self discovery|social differences,650000,1997,170,6.5,161
H.M. Coakley,8,91,0,Steffinnie Phrommany,,Adulterers ,1210,Danielle Savre,3,cheating husband|female nudity|male nudity|male rear nudity|revenge,750000,2015,320,4.9,158
Randy Moore,143,90,13,Lee Armstrong,169719,Escape from Tomorrow ,2483,Amy Lucas,0,diarrhea|female nudity|middle aged man|sex scene|sexy nurse,,2013,511,5.2,0
Chris Atkins,21,103,2,Harvey Weinstein,,Starsuckers ,1683,Elton John,0,celebrity|consumerism|fashion|media manipulation,400000,2009,474,7.4,203
Bill Benenson,1,71,0,Dave Fennoy,,The Hadza: Last of the First ,1359,Jane Goodall,1,east africa|hunter gatherer|indigenous|rift valley|swahili,650000,2014,338,7.4,5
Ryan Smith,34,90,4,Madison Lintz,,After ,1553,Karolina Wydra,0,coma|crash,650000,2012,385,5.4,1000
Travis Romero,5,67,4,Lorraine Ziff,,Treachery ,283939,Michael Biehn,5,panties|white panties,625000,2013,21000,3.9,0
Anna Mastro,10,94,7,Justin Kirk,,Walter ,4767,Virginia Madsen,2,based on short film|based on short story,700000,2015,945,5.3,0
Mark Sandrich,66,81,10,Edward Everett Horton,3000000,Top Hat ,824,Eric Blore,2,dance|dancer|dancing|horse|tap dancing,609000,1935,172,7.8,1000
Daniel Myrick,360,81,19,Joshua Leonard,140530114,The Blair Witch Project ,399,Michael C. Williams,0,found footage|looking at the camera|lost in the woods|maryland|screaming in horror,60000,1999,170,6.4,0
Michael Wadleigh,53,215,14,Jimi Hendrix,13300000,Woodstock ,778,Joan Baez,0,drugs|hippie|music festival|the who|woodstock,600000,1970,227,8.1,0
