actor_3_facebook_likes,actor_1_facebook_likes,genres,actor_1_name,movie_title,cast_total_facebook_likes,movie_imdb_link,num_user_for_reviews,language,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
100,197,Adventure|Drama|Romance,Judith Anderson,Tycoon ,538,http://www.imdb.com/title/tt0039927/?ref_=fn_tt_tt_1,23,English,3209000,1947,116,6.2,1.37,44
697,1000,Drama,Ethan Suplee,Desert Blue ,3207,http://www.imdb.com/title/tt0126261/?ref_=fn_tt_tt_1,28,English,2000000,1998,697,6.2,1.85,69
383,889,Comedy|Horror|Sci-Fi,Meghan Ory,Decoys ,2984,http://www.imdb.com/title/tt0357585/?ref_=fn_tt_tt_1,66,English,5000000,2004,680,4.6,1.85,174
99,432,Horror|Thriller,Ocean James,The Visit ,1010,http://www.imdb.com/title/tt3567288/?ref_=fn_tt_tt_1,455,English,5000000,2015,309,6.2,1.85,27000
15,343,Crime|Thriller|War,Mike Figueroa,Redacted ,408,http://www.imdb.com/title/tt0937237/?ref_=fn_tt_tt_1,108,English,5000000,2007,29,6.2,1.85,559
227,811,Mystery|Romance|Thriller,Adam Garcia,Fascination ,1789,http://www.imdb.com/title/tt0305632/?ref_=fn_tt_tt_1,44,English,5000000,2004,522,3.3,2.35,40
904,1000,Drama|Fantasy,Holly Hunter,Saving Grace             ,5203,http://www.imdb.com/title/tt0830900/?ref_=fn_tt_tt_1,47,English,,,1000,7.5,1.78,634
14,46,Horror|Sci-Fi|Thriller,Glenn Campbell,Area 51 ,117,http://www.imdb.com/title/tt1519461/?ref_=fn_tt_tt_1,55,English,5000000,2015,21,4.2,,0
78,331,Drama|Horror|Thriller,Luis Tosar,Sleep Tight ,526,http://www.imdb.com/title/tt1437358/?ref_=fn_tt_tt_1,48,Spanish,5000000,2011,93,7.2,2.35,0
141,570,Comedy|Crime|Horror|Thriller,Dave Legeno,The Cottage ,1258,http://www.imdb.com/title/tt0465430/?ref_=fn_tt_tt_1,82,English,2500000,2008,337,6.2,2.35,639
686,866,Comedy|Drama|Fantasy,Henry Ian Cusick,Dead Like Me: Life After Death ,3724,http://www.imdb.com/title/tt1079444/?ref_=fn_tt_tt_1,80,English,5000000,2009,738,6.1,1.78,887
854,3000,Animation|Comedy,Alyson Hannigan,Farce of the Penguins ,10727,http://www.imdb.com/title/tt0488539/?ref_=fn_tt_tt_1,47,English,,2006,2000,4.2,1.85,419
483,695,Drama|Family|Music,Heather Locklear,Flying By ,3217,http://www.imdb.com/title/tt1131732/?ref_=fn_tt_tt_1,2,English,,2009,617,4.5,,38
816,1000,Comedy|Crime|Mystery,Corbin Bernsen,Psych             ,4092,http://www.imdb.com/title/tt0491738/?ref_=fn_tt_tt_1,127,English,,,922,8.4,1.78,0
394,745,Comedy|Drama|Music,Billy Crudup,Rudderless ,1986,http://www.imdb.com/title/tt1798243/?ref_=fn_tt_tt_1,60,English,5000000,2014,508,7.5,,0
388,979,Animation|Family,Chazz Palminteri,Henry & Me ,2509,http://www.imdb.com/title/tt1460798/?ref_=fn_tt_tt_1,1,English,10000000,2014,732,6.7,,165
541,989,Comedy,Gary Cole,Christmas Eve ,3514,http://www.imdb.com/title/tt3703148/?ref_=fn_tt_tt_1,15,English,,2015,970,5.1,,0
601,708,Crime|Drama|Thriller,Teri Polo,We Have Your Husband ,3059,http://www.imdb.com/title/tt2063015/?ref_=fn_tt_tt_1,3,English,5000000,2011,699,5.5,1.78,58
179,12000,Drama|Thriller,Nicolas Cage,Dying of the Light ,12676,http://www.imdb.com/title/tt1274586/?ref_=fn_tt_tt_1,47,English,5000000,2014,316,4.4,2.35,0
126,1000,Action|Drama|Thriller|War,James Frain,Born of War ,1681,http://www.imdb.com/title/tt1554921/?ref_=fn_tt_tt_1,3,English,5000000,2014,266,4.4,,190
826,1000,Action|Sci-Fi|Thriller,David Huddleston,Capricorn One ,5191,http://www.imdb.com/title/tt0077294/?ref_=fn_tt_tt_1,153,English,5000000,1977,849,6.8,2.35,2000
723,975,Comedy|Drama,Michael Rapaport,Should've Been Romeo ,4991,http://www.imdb.com/title/tt1717210/?ref_=fn_tt_tt_1,2,English,5000000,2012,900,6.7,,35
668,784,Family,David Raizor,Running Forever ,3021,http://www.imdb.com/title/tt4453560/?ref_=fn_tt_tt_1,,English,5000000,2015,763,8.6,,49
1000,40000,Comedy|Fantasy|Horror|Thriller,Johnny Depp,Yoga Hosers ,46115,http://www.imdb.com/title/tt3838992/?ref_=fn_tt_tt_1,4,English,5000000,2016,3000,4.8,,0
538,741,Action|Horror,Mikal Vega,Navy Seals vs. Zombies ,2849,http://www.imdb.com/title/tt4511566/?ref_=fn_tt_tt_1,14,English,,2015,615,3.4,,0
4,61,Comedy|Drama|Romance|War,Julia Jentsch,I Served the King of England ,92,http://www.imdb.com/title/tt0284363/?ref_=fn_tt_tt_1,27,Czech,84450000,2006,12,7.4,1.85,1000
269,595,Comedy|Drama,Udo Kier,Soul Kitchen ,1519,http://www.imdb.com/title/tt1244668/?ref_=fn_tt_tt_1,26,German,4000000,2009,486,7.3,1.85,0
263,3000,Drama,Robert Duvall,Sling Blade ,3967,http://www.imdb.com/title/tt0117666/?ref_=fn_tt_tt_1,309,English,890000,1996,324,8.0,1.85,0
537,874,Horror|Thriller,Isaac Hempstead Wright,The Awakening ,2363,http://www.imdb.com/title/tt1687901/?ref_=fn_tt_tt_1,112,English,3000000,2011,579,6.5,2.35,10000
581,1000,Horror,Jay Hernandez,Hostel ,2990,http://www.imdb.com/title/tt0450278/?ref_=fn_tt_tt_1,1516,English,4800000,2005,1000,5.9,2.35,0
427,1000,Comedy|Drama,Steve Coogan,Tristram Shandy: A Cock and Bull Story ,3690,http://www.imdb.com/title/tt0423409/?ref_=fn_tt_tt_1,123,English,2800000,2005,887,6.8,2.35,750
41,982,Drama|Thriller,Katy Mixon,Take Shelter ,1520,http://www.imdb.com/title/tt1675192/?ref_=fn_tt_tt_1,219,English,5000000,2011,463,7.4,2.35,14000
339,968,Fantasy|Horror|Mystery|Thriller,Alex Rocco,Lady in White ,2545,http://www.imdb.com/title/tt0095484/?ref_=fn_tt_tt_1,69,English,4700000,1988,733,6.7,1.85,0
621,10000,Comedy|Drama,Rupert Grint,Driving Lessons ,11703,http://www.imdb.com/title/tt0446687/?ref_=fn_tt_tt_1,70,English,,2006,838,6.8,1.85,864
316,927,Comedy|Crime,Donald Faison,Let's Kill Ward's Wife ,2469,http://www.imdb.com/title/tt2980708/?ref_=fn_tt_tt_1,11,English,5000000,2014,833,5.4,,0
14,237,Comedy|Horror,Bill Johnson,The Texas Chainsaw Massacre 2 ,302,http://www.imdb.com/title/tt0092076/?ref_=fn_tt_tt_1,258,English,4700000,1986,28,5.5,1.85,0
372,773,Biography|Drama|Romance|Western,James Coburn,Pat Garrett & Billy the Kid ,2409,http://www.imdb.com/title/tt0070518/?ref_=fn_tt_tt_1,106,English,4638783,1973,476,7.4,2.35,0
428,33000,Crime|Drama,Ryan Gosling,Only God Forgives ,34779,http://www.imdb.com/title/tt1602613/?ref_=fn_tt_tt_1,475,English,4800000,2013,1000,5.7,1.85,30000
20,226,Drama,Denis Lavant,Camping sauvage ,286,http://www.imdb.com/title/tt0451673/?ref_=fn_tt_tt_1,6,French,,2005,40,5.4,,11
329,571,Comedy,Maria Conchita Alonso,Without Men ,2006,http://www.imdb.com/title/tt1547090/?ref_=fn_tt_tt_1,12,English,4700000,2011,345,3.2,,491
0,5,Comedy|Romance,Bhama,Barfi ,5,http://www.imdb.com/title/tt3099638/?ref_=fn_tt_tt_1,1,Kannada,,2013,0,7.1,,2
16,18000,Drama|Romance,Gerard Butler,Dear Frankie ,18105,http://www.imdb.com/title/tt0377752/?ref_=fn_tt_tt_1,182,English,,2004,66,7.8,1.85,2000
413,584,Western,Keith Carradine,All Hat ,2668,http://www.imdb.com/title/tt0903131/?ref_=fn_tt_tt_1,8,English,5000000,2007,580,5.3,2.35,31
9,74,Comedy|Drama|Romance,Sara Forestier,The Names of Love ,143,http://www.imdb.com/title/tt1646974/?ref_=fn_tt_tt_1,21,French,4600000,2010,52,7.2,1.85,0
140,943,Comedy|Drama,Zoë Kravitz,Treading Water ,1795,http://www.imdb.com/title/tt2091427/?ref_=fn_tt_tt_1,3,English,4700000,2013,480,6.2,,199
577,13000,Drama,Eddie Redmayne,Savage Grace ,15093,http://www.imdb.com/title/tt0379976/?ref_=fn_tt_tt_1,65,English,4600000,2007,1000,5.9,1.85,0
3,109,Crime|Drama,William Kircher,Out of the Blue ,122,http://www.imdb.com/title/tt0839938/?ref_=fn_tt_tt_1,22,English,,2006,10,7.3,1.85,285
542,801,Comedy,Steve Guttenberg,Police Academy ,3113,http://www.imdb.com/title/tt0087928/?ref_=fn_tt_tt_1,133,English,4500000,1984,760,6.7,1.85,0
83,1000,Adventure|Drama|Romance,Brooke Shields,The Blue Lagoon ,1662,http://www.imdb.com/title/tt0080453/?ref_=fn_tt_tt_1,140,English,4500000,1980,511,5.7,1.85,0
239,1000,Comedy|Drama|Romance,Kristin Scott Thomas,Four Weddings and a Funeral ,1862,http://www.imdb.com/title/tt0109831/?ref_=fn_tt_tt_1,197,English,4500000,1994,398,7.1,1.66,0
811,1000,Comedy|Drama,Jennifer Jason Leigh,Fast Times at Ridgemont High ,5002,http://www.imdb.com/title/tt0083929/?ref_=fn_tt_tt_1,228,English,4500000,1982,901,7.2,1.85,0
68,232,Adventure|Drama,Royal Dano,Moby Dick ,588,http://www.imdb.com/title/tt0049513/?ref_=fn_tt_tt_1,115,English,4500000,1956,169,7.4,1.66,0
346,22000,Drama,Philip Seymour Hoffman,25th Hour ,26050,http://www.imdb.com/title/tt0307901/?ref_=fn_tt_tt_1,454,English,15000000,2002,3000,7.7,2.35,0
298,562,Crime|Drama,Dan Fogler,Secrets and Lies             ,1587,http://www.imdb.com/title/tt3516878/?ref_=fn_tt_tt_1,27,English,,,560,7.7,16.0,2000
126,3000,Crime|Drama|Romance|Thriller,Christopher Meloni,Bound ,3668,http://www.imdb.com/title/tt0115736/?ref_=fn_tt_tt_1,208,English,4500000,1996,441,7.4,1.85,2000
167,1000,Drama,Ellen Burstyn,Requiem for a Dream ,2235,http://www.imdb.com/title/tt0180093/?ref_=fn_tt_tt_1,1916,English,4500000,2000,1000,8.4,1.37,38000
37,188,Musical|Romance,Dana Andrews,State Fair ,496,http://www.imdb.com/title/tt0038116/?ref_=fn_tt_tt_1,55,English,,1945,135,7.1,1.37,501
4,341,Drama|Musical,Mía Maestro,Tango ,371,http://www.imdb.com/title/tt0120274/?ref_=fn_tt_tt_1,40,Spanish,700000000,1998,26,7.2,2.0,539
491,854,Drama|History|Thriller|War,Jim Belushi,Salvador ,2762,http://www.imdb.com/title/tt0091886/?ref_=fn_tt_tt_1,89,English,4500000,1986,652,7.5,1.85,1000
402,589,Comedy,Alex Kendrick,Moms' Night Out ,2705,http://www.imdb.com/title/tt3014666/?ref_=fn_tt_tt_1,125,English,5000000,2014,416,5.4,2.35,0
701,15000,Drama|Sci-Fi|Thriller,Jake Gyllenhaal,Donnie Darko ,17040,http://www.imdb.com/title/tt0246578/?ref_=fn_tt_tt_1,2110,English,4500000,2001,933,8.1,2.35,33000
122,274,Adventure|Comedy|Western,Jaime Camil,Saving Private Perez ,793,http://www.imdb.com/title/tt0461336/?ref_=fn_tt_tt_1,14,Spanish,,2011,154,6.0,2.35,0
3,25,Crime|Drama|Mystery,Jan Decleir,Character ,48,http://www.imdb.com/title/tt0119448/?ref_=fn_tt_tt_1,68,Dutch,4500000,1997,20,7.8,1.85,689
391,835,Comedy|Crime|Drama,Patrick Fugit,Spun ,2110,http://www.imdb.com/title/tt0283003/?ref_=fn_tt_tt_1,199,English,2000000,2002,601,6.8,1.85,3000
844,1000,Comedy|Drama,Rich Pecci,Life During Wartime ,5041,http://www.imdb.com/title/tt0808526/?ref_=fn_tt_tt_1,37,English,,2009,887,6.5,1.85,0
38,717,Crime|Drama,Min-sik Choi,Lady Vengeance ,907,http://www.imdb.com/title/tt0451094/?ref_=fn_tt_tt_1,131,Korean,4200000000,2005,126,7.7,2.35,4000
9,24,Biography|Drama|Music|Romance,Nicolas Giraud,Mozart's Sister ,53,http://www.imdb.com/title/tt1653911/?ref_=fn_tt_tt_1,17,French,,2010,12,6.4,1.85,0
798,26000,Comedy|Drama|Sport,Jason Statham,Mean Machine ,29325,http://www.imdb.com/title/tt0291341/?ref_=fn_tt_tt_1,84,English,2500000,2001,1000,6.5,1.85,0
76,155,Action|Crime|Thriller,Simon Yam,Exiled ,398,http://www.imdb.com/title/tt0796212/?ref_=fn_tt_tt_1,26,Cantonese,35000000,2006,96,7.3,2.35,528
327,820,Action|Adventure|Western,Sam Shepard,Blackthorn ,1950,http://www.imdb.com/title/tt1629705/?ref_=fn_tt_tt_1,40,English,,2011,356,6.6,2.35,0
0,129,Crime|Drama,Oksana Akinshina,Lilya 4-Ever ,131,http://www.imdb.com/title/tt0300140/?ref_=fn_tt_tt_1,206,Russian,,2002,2,7.9,1.85,0
329,14000,Drama|Horror|Mystery|Thriller,Liam Neeson,After.Life ,15860,http://www.imdb.com/title/tt0838247/?ref_=fn_tt_tt_1,137,English,4500000,2009,1000,5.9,2.35,7000
62,327,Drama|Thriller,Jimmy Shergill,Fugly ,496,http://www.imdb.com/title/tt3683702/?ref_=fn_tt_tt_1,7,Hindi,,2014,82,4.7,,62
425,888,Drama,Scatman Crothers,One Flew Over the Cuckoo's Nest ,2176,http://www.imdb.com/title/tt0073486/?ref_=fn_tt_tt_1,760,English,4400000,1975,721,8.7,1.85,32000
212,19000,Comedy,Katherine McNamara,R.L. Stine's Monsterville: The Cabinet of Souls ,20397,http://www.imdb.com/title/tt4386242/?ref_=fn_tt_tt_1,4,English,4400000,2015,570,5.9,1.78,224
753,898,Comedy|Romance,Sid Caesar,Silent Movie ,2951,http://www.imdb.com/title/tt0075222/?ref_=fn_tt_tt_1,61,,4400000,1976,842,6.7,1.85,629
12,85,Action|Drama|History|Thriller|War,Nimrat Kaur,Airlift ,151,http://www.imdb.com/title/tt4387040/?ref_=fn_tt_tt_1,178,Hindi,4400000,2016,26,8.5,2.35,10000
505,662,Drama|Family,Zack Ward,Anne of Green Gables             ,2667,http://www.imdb.com/title/tt0088727/?ref_=fn_tt_tt_1,74,English,,,517,8.4,1.33,0
261,2000,Action|Adventure,Michael Jai White,Falcon Rising ,3089,http://www.imdb.com/title/tt2295722/?ref_=fn_tt_tt_1,32,English,4500000,2014,298,5.8,,0
422,2000,Action|Crime|Drama,Hayley Atwell,The Sweeney ,4810,http://www.imdb.com/title/tt0857190/?ref_=fn_tt_tt_1,99,English,3000000,2012,1000,6.1,2.35,0
100,1000,Crime|Thriller,Ray Winstone,Sexy Beast ,1291,http://www.imdb.com/title/tt0203119/?ref_=fn_tt_tt_1,346,English,,2000,146,7.3,2.35,0
93,309,Action|Crime|Drama|Thriller,Fabian Bolin,Easy Money ,857,http://www.imdb.com/title/tt1291652/?ref_=fn_tt_tt_1,25,Swedish,,2010,254,6.7,2.35,0
8,446,Drama|Family,Keisha Castle-Hughes,Whale Rider ,497,http://www.imdb.com/title/tt0298228/?ref_=fn_tt_tt_1,346,English,6000000,2002,20,7.6,2.35,0
106,464,Comedy|Drama,Vidya Balan,Paa ,1045,http://www.imdb.com/title/tt1532957/?ref_=fn_tt_tt_1,49,Hindi,150000000,2009,374,7.2,2.35,504
7,29,Mystery|Sci-Fi|Thriller,Yangzom Brauen,Cargo ,61,http://www.imdb.com/title/tt0381940/?ref_=fn_tt_tt_1,62,German,4500000,2009,9,6.2,2.35,2000
394,20000,Adventure|Family|Fantasy,Hugh Jackman,Pan ,21404,http://www.imdb.com/title/tt3332064/?ref_=fn_tt_tt_1,186,English,150000000,2015,559,5.8,2.35,24000
578,755,Comedy|Drama|Family|Music|Musical|Romance,Lucas Grabeel,High School Musical ,2553,http://www.imdb.com/title/tt0475293/?ref_=fn_tt_tt_1,726,English,4200000,2006,632,5.2,1.33,0
551,1000,Crime|Drama,Dorian Missick,Animal Kingdom             ,3026,http://www.imdb.com/title/tt5574490/?ref_=fn_tt_tt_1,23,English,,,557,8.1,16.0,0
130,471,Comedy|Drama,Jason Priestley,Love and Death on Long Island ,938,http://www.imdb.com/title/tt0119574/?ref_=fn_tt_tt_1,48,English,,1997,232,7.1,1.85,61
