director_name,director_facebook_likes,actor_2_name,gross,movie_title,actor_3_name,budget,actor_2_facebook_likes
José Luis Valenzuela,0,Lupe Ontiveros,428535,Luminarias ,Robert Beltran,1000000,625
Gia Coppola,71,Nat Wolff,750100,Palo Alto ,Olivia Crocicchia,,733
Scandar Copti,13,Scandar Copti,621240,Ajami ,Ranin Karim,,13
Goran Dukic,21,Patrick Fugit,104077,Wristcutters: A Love Story ,Chase Ellison,1000000,835
Mike Cahill,135,Cara Seymour,334658,I Origins ,Venida Evans,,71
Efram Potelle,2,Elden Henson,279282,The Battle of Shaker Heights ,Kathleen Quinlan,1000000,577
Peter Jackson,0,AJ Michalka,43982842,The Lovely Bones ,Tom McCarthy,65000000,559
Joshua Oppenheimer,50,Herman Koto,484221,The Act of Killing ,Syamsul Arifin,1000000,3
Alex Gibney,141,George W. Bush,274661,Taxi to the Dark Side ,Greg D'Agostino,1000000,125
Paul Crowder,10,Marv Albert,144431,Once in a Lifetime: The Extraordinary Story of the New York Cosmos ,Ahmet Ertegun,1000000,7
Rohit Jagessar,0,Rufus Graham,227241,Guiana 1838 ,Aasheekaa Bathija,,3
Griffin Dunne,165,Fisher Stevens,112521,Lisa Picard Is Famous ,Melissa Gilbert,,922
Anthony Powell,9,Tom Hamann,287761,Antarctica: A Year on Ice ,Anthony Powell,1000000,24
Kief Davidson,0,Brian Whitaker,100240,A Lego Brickumentary ,Jason Bateman,1000000,8
Johnny Remo,74,Randy Wayne,96734,Hardflip ,Raquel Elizabeth Ames,1000000,984
Vivek Agnihotri,5,Anil Kapoor,49000,Chocolate: Deep Dark Secrets ,Sunil Shetty,1500000,668
Ti West,243,Greta Gerwig,100659,The House of the Devil ,Dee Wallace,900000,962
Nick Tomnay,11,Clayne Crawford,48430,The Perfect Host ,Nathaniel Parker,500000,298
John Hamburg,29,Michael Lerner,21210,Safe Men ,Josh Pais,1000000,230
Nickolas Perry,5,Patsy Kensit,,Speedway Junky ,Adrienne Frantz,1000000,231
Dan Zukovic,8,Louis Mustillo,22434,The Last Big Thing ,James Lorinz,,71
Craig Mazin,82,James Gunn,12996,The Specials ,Jamie Kennedy,1000000,571
Becky Smith,32,Emily Baldoni,,16 to Life ,Hallee Hirsh,1000000,261
Eric Nicholas,0,Ana Claudia Talancón,10018,Alone with Her ,Jonathon Trent,1000000,163
Benjamin Dickinson,4,Alexia Rasmussen,62480,Creative Control ,Meredith Hagner,1000000,171
Hal Haberman,0,Paul Blackthorne,6387,Special ,Ian Bohen,1000000,645
Darren Stein,18,Jamie Kennedy,5494,Sparkler ,Veronica Cartwright,,490
A. Raven Cruz,0,Vanilla Ice,,The Helix... Loaded ,Jennifer Sky,1000000,361
Brian Trenchard-Smith,53,Mariel Hemingway,721,In Her Line of Fire ,Jesse Hutch,1000000,288
Frank Whaley,436,Frank Whaley,703,The Jimmy Show ,Heather Bucha,1500000,436
Amat Escalante,50,Andrea Vergara,,Heli ,Gabriel Reyes,1000000,9
Wajahat Rauf,3,Ayesha Omar,,Karachi se Lahore ,Javed Sheikh,1000000,5
Katherine Brooks,57,Kevin McCarthy,,Loving Annabelle ,Laura Breckenridge,1000000,403
David Cross,0,Matt Walsh,,Hits ,Amy Sedaris,1000000,490
Randall Rubin,0,A.J. Buckley,,Jimmy and Judy ,James Eckhouse,1000000,275
Robert Bennett,15,Lauren C. Mayhew,,Frat Party ,Alicia Ziegler,1000000,157
Guy Hamilton,82,Eddie Albert,,The Party's Over ,Louise Sorel,,196
Mary Pat Kelly,3,Ossie Davis,,Proud ,Janet Hubert,1000000,282
Lori Petty,923,Chloë Grace Moretz,,The Poker House ,Bokeem Woodbine,,17000
Charlie Levi,0,Barbara Hershey,,Childless ,Diane Venora,1000000,618
Kevin Hamedani,23,Janette Armand,,ZMD: Zombies of Mass Destruction ,Kevin Hamedani,500000,37
David DeCoteau,142,Shanley Caswell,,Snow White: A Deadly Summer ,Tim Abell,1000000,383
Mikel Rueda,0,Germán Alcarazu,,Hidden Away ,Joseba Ugalde,,0
Stefan C. Schaefer,0,Marlene Forte,,My Last Day Without You ,Reg E. Cathey,1000000,395
Michael Taliferro,105,Sticky Fingaz,,Steppin: The Movie ,Chrystee Pharris,1000000,207
David DeCoteau,142,Tom Berenger,,Doc Holliday's Revenge ,Randy Jay Burrell,1000000,854
Katie Aselton,224,Anslem Richardson,,Black Rock ,Jay Paulson,,59
Robert Heath,0,Alexander Vlahos,,Truth or Die ,Jennie Jacques,1000000,334
D. Stevens,6,Pierre Dulat,,The Pet ,Summer Napoles,1000000,17
Jeffrey St. Jules,0,Chloe Rose,,Bang Bang Baby ,Kristian Bruun,1000000,40
Robert Hall,53,Kevin Gage,,Fear Clinic ,Fiona Dourif,1000000,366
K. King,3,Shona Kay,,Zombie Hunter ,Jarrod Phillips,1000000,211
Jonathan Meyers,0,Luke Perry,,A Fine Step ,Leonor Varela,1000000,608
Danny Boyle,0,Spencer Wilding,2319187,Trance ,Tuppence Middleton,20000000,1000
Ralph Nelson,17,Dick Van Patten,,Charly ,Claire Bloom,,605
Blair Erickson,0,Katia Winter,,Banshee Chapter ,Michael McMillian,950000,371
,,David DeLuise,,Jesse             ,Bruno Campos,,275
Allison Burnett,12,Gia Mantegna,,Ask Me Anything ,Cathryn de Prume,950000,413
Richard Schenkman,29,Mike Colter,,And Then Came Love ,Eartha Kitt,989000,569
Sanjay Rawal,0,Robert Kennedy Jr.,,Food Chains ,Eve Ensler,913000,28
Elia Kazan,603,Karl Malden,9600000,On the Waterfront ,Rod Steiger,910000,416
Kat Coiro,28,Geoff Stults,20186,L!fe Happens ,Kristen Johnston,930000,756
Cristian Mungiu,163,Vlad Ivanov,1185783,4 Months, 3 Weeks and 2 Days ,Alexandru Potocean,590000,60
Brian Dorton,171,Brian Dorton,,The Horror Network Vol. 1 ,Jan Cornet,3000000,171
David Slade,171,G.J. Echternkamp,1007962,Hard Candy ,Patrick Wilson,950000,8
Jamie Babbit,91,David Gallagher,381186,The Quiet ,Edie Falco,900000,796
Maryam Keshavarz,32,Reza Sixo Safai,439958,Circumstance ,Sina Amedson,,127
Ryan Coogler,0,Melonie Diaz,16097842,Fruitvale Station ,Ariana Neal,900000,270
Ramaa Mosley,6,Michael Angarano,6643,The Brass Teapot ,Alia Shawkat,900000,947
James Algar,11,Donnie Dunagan,102797150,Bambi ,Ann Gillis,,12
Charles Herman-Wurmfeld,0,Rian Bishop,442638,The Hammer ,Adam Carolla,850000,140
Ric Roman Waugh,29,Harold Perrineau,42919096,Snitch ,Nadine Velazquez,15000000,1000
C. Jay Cox,6,Rob McElhenney,819939,Latter Days ,Jacqueline Bisset,850000,813
Mariette Monpierre,0,Christophe Cherki,,Elza ,Teddy Doloir,900000,0
Tommy Oliver,66,Ruby Dee,,1982 ,Quinton Aaron,1000000,782
Jamie Travis,15,Ari Graynor,1243961,For a Good Time, Call... ,Nia Vardalos,850000,904
Lee Toland Krieger,43,Janel Parrish,3094687,Celeste & Jesse Forever ,Rob Huebel,,517
Rich Christiano,14,D. David Morin,15278,Time Changer ,Hal Linden,825000,234
Paul Andrew Williams,46,Johnny Harris,,London to Brighton ,Georgia Groome,500000,146
Nick Love,63,Christopher Berry,,American Hero ,Michelle Tabora,990000,207
Natalie Bible',8,Samaire Armstrong,,Windsor Drive ,Matt Cohen,100000,806
Asghar Farhadi,0,Leila Hatami,7098492,A Separation ,Peyman Moaadi,500000,712
Justin Molotnikov,5,Stephen McCole,,Crying with Laughter ,Joe Cassidy,,11
Todd Solondz,377,Ken Leung,4771000,Welcome to the Dollhouse ,Christina Vidal,800000,502
Victor Nunez,9,Todd Field,1001437,Ruby in Paradise ,Dorothy Lyman,800000,143
Peter Sollett,6,Melonie Diaz,2073984,Raising Victor Vargas ,Judy Marte,800000,270
Georg Wilhelm Pabst,21,Francis Lederer,9950,Pandora's Box ,Fritz Kortner,,20
Daniel Davila,0,Melora Walters,,Harrison Montgomery ,Diane Baker,850000,188
Jorge Gaggero,0,Hilda Bernard,,Live-In Maid ,Claudia Lapacó,800000,5
Rod Lurie,37,Kathryn Morris,144583,Deterrence ,Timothy Hutton,800000,573
Michael Burke,3,Tom Guiry,,The Mudge Boy ,Ryan Donowho,800000,262
Catherine Jelski,0,Eion Bailey,58163,The Young Unknowns ,Arly Jover,,749
Shane Dawson,247,Kurt Angle,35688,Not Cool ,Cherami Leigh,600000,217
Tommy Wirkola,75,Stig Frode Henriksen,41709,Dead Snow ,Ane Dahl Torp,800000,16
Ryan Little,38,Larry Bagby,1310270,Saints and Soldiers ,Kirby Heyborne,780000,115
Clark Baker,0,Alan Pietruszewski,,Vessel ,Whit Spurgeon,,93
George Lucas,0,Ron Howard,115000000,American Graffiti ,Mackenzie Phillips,777000,2000
Robert Greenwald,21,Katy Helvenston-Wettengal,,Iraq for Sale: The War Profiteers ,Donna Zovko,750000,0
Matt Maiellaro,8,Fred Armisen,5518918,Aqua Teen Hunger Force Colon Movie Film for Theaters ,Chris Kattan,750000,424
Colin Trevorrow,365,Mark Duplass,4007792,Safety Not Guaranteed ,Jeff Garlin,750000,830
Leslie Small,15,Larry King,7705974,Kevin Hart: Laugh at My Pain ,Jeanette Branch,,135
Ben Wheatley,214,Ben Crompton,26297,Kill List ,Neil Maskell,500000,257
Ti West,243,Jake Ryan,77501,The Innkeepers ,Pat Healy,750000,128
David S. Goyer,687,Atticus Shaffer,42638165,The Unborn ,Rachel Brosnahan,16000000,787
Bernardo Bertolucci,973,Stefania Sandrelli,,The Conformist ,Dominique Sanda,750000,90
Neil Burger,168,Christel Khalil,47329,Interview with the Assassin ,Renee Faia,750000,72
Oliver Blackburn,4,Nichola Burley,18378,Donkey Punch ,Tom Burke,900000,233
Jonathan Levine,129,Michael Welch,,All the Boys Love Mandy Lane ,Whitney Able,750000,611
Christopher Hutson,3,Jennifer Lee Wiggins,,Bled ,Michele Morrow,750000,134
Fred Zinnemann,160,Lloyd Bridges,,High Noon ,Lon Chaney Jr.,750000,575
Steve James,23,Arthur Agee,7830611,Hoop Dreams ,Isiah Thomas,700000,6
David LaChapelle,30,Christopher Toler,3278611,Rize ,Tommy the Clown,,23
Joseph Kosinski,364,Lauren Cohan,,Destiny ,Erick Avari,,4000
Michael Cuesta,52,Bruce Altman,1141829,L.I.E. ,Walter Masterson,700000,67
Caryn Waechter,0,Kara Hayward,,The Sisterhood of Night ,Louis Ozawa Changchien,1000000,524
Emily Dell,0,Wesley Jonathan,,B-Girl ,Drew Sidora,,592
Peter Jackson,0,Thomas Kretschmann,218051260,King Kong ,Evan Parke,207000000,918
Jaume Collet-Serra,174,Paris Hilton,32048809,House of Wax ,Brian Van Holt,30000000,716
Ryan Fleck,31,Tristan Mack Wilds,2694973,Half Nelson ,Jeff Lima,700000,519
Jennifer Wynne Farmer,0,Akima,10508,Naturally Native ,Max Gail,700000,282
Christopher Scott Cherot,21,Robinne Lee,2301777,Hav Plenty ,Chenoa Maxwell,650000,170
H.M. Coakley,0,Steffinnie Phrommany,,Adulterers ,Danielle Savre,750000,320
Randy Moore,13,Lee Armstrong,169719,Escape from Tomorrow ,Amy Lucas,,511
Chris Atkins,2,Harvey Weinstein,,Starsuckers ,Elton John,400000,474
Bill Benenson,0,Dave Fennoy,,The Hadza: Last of the First ,Jane Goodall,650000,338
Ryan Smith,4,Madison Lintz,,After ,Karolina Wydra,650000,385
Travis Romero,4,Lorraine Ziff,,Treachery ,Michael Biehn,625000,21000
Anna Mastro,7,Justin Kirk,,Walter ,Virginia Madsen,700000,945
Mark Sandrich,10,Edward Everett Horton,3000000,Top Hat ,Eric Blore,609000,172
Daniel Myrick,19,Joshua Leonard,140530114,The Blair Witch Project ,Michael C. Williams,60000,170
Michael Wadleigh,14,Jimi Hendrix,13300000,Woodstock ,Joan Baez,600000,227
John Landis,644,Barry Dennen,,The Kentucky Fried Movie ,Tara Strohmeier,650000,29
Jon Gunn,16,David A.R. White,171988,Mercy Streets ,Cynthia Watros,600000,266
Gene Teigland,0,Matthew Feeney,23616,Arnolds Park ,Tac Fitzgerald,600000,20
Scott Ziehl,4,Jason London,13493,Broken Vessels ,Brent David Fraser,600000,711
Richard Montoya,12,Angela Nordeng,79043,Water & Power ,Exie Booker,,371
Johanna Schwartz,0,Garba Touré,,They Will Have to Kill Us First ,Khaira Arby,400000,0
William Gazecki,3,Colin Andrews,,Crop Circles: Quest for Truth ,Francine Blake,750000,0
Lance McDaniel,0,Steven Michael Quezada,,Light from the Darkroom ,Lymari Nadal,600000,412
Thomas Lilti,12,Félix Moati,,Irreplaceable ,Marianne Denicourt,,8
Michael Walker,5,Annabella Sciorra,,The Maid's Room ,John Brodsky,600000,448
Richard Lester,44,Ringo Starr,515005,A Hard Day's Night ,George Harrison,560000,725
U. Roberto Romano,6,,2245,The Harvest/La Cosecha ,,560000,
Amy Holden Jones,11,Sally Kirkland,,Love Letters ,Amy Madigan,550000,433
Blaz Zavrsnik,0,Spela Colja,,Julija in alfa Romeo ,Andrej Nahtigal,500000,0
Alex Kendrick,589,Ken Bevel,33451479,Fireproof ,Erin Bethea,500000,153
Pan Nalin,95,Pant Shirt Baba,,Faith Connections ,Shriman Umeshanad Brahmachari,550000,0
Joe Camp,24,Peter Breck,39552600,Benji ,Edgar Buchanan,500000,189
Chris Kentis,9,Saul Stein,30500882,Open Water ,Daniel Travis,500000,10
Matt Walsh,490,Matt Jones,,High Road ,Abby Elliott,,523
John 'Bud' Cardos,8,Hoke Howell,17000000,Kingdom of the Spiders ,Tiffany Bolling,500000,23
Marilyn Agrelo,2,Eva Carrozza,8044906,Mad Hot Ballroom ,Paul Daggett,,0
Tom McCarthy,310,Joe Lo Truglio,5739376,The Station Agent ,Paula Garcés,500000,833
Brian Baugh,3,Sean Michael Afable,3773863,To Save a Life ,D. David Morin,1000000,801
Patrick Creadon,3,Bill Clinton,3117666,Wordplay ,Bob Dole,,184
Barry W. Blaustein,6,Vince McMahon,2047570,Beyond the Mat ,Mick Foley,500000,44
Kurt Hale,0,Lincoln Hoppe,1250798,The Singles Ward ,Daryn Tufts,500000,24
Siddiq Barmak,6,Zubaida Sahar,1127331,Osama ,Mohamad Haref Harati,46000,0
Joseph Dorman,0,Peter Riegert,906666,Sholem Aleichem: Laughing in the Darkness ,Jason Kravits,500000,169
Greg Harrison,7,Ari Gold,1114943,Groove ,Denny Kirkwood,500000,27
Kurt Hale,0,Big Budah,1111615,The R.M. ,Curt Doussett,500000,34
Michael Polish,35,William Katt,985341,Twin Falls Idaho ,Jon Gries,500000,505
Jacob Aaron Estes,9,Scott Mechlowicz,603943,Mean Creek ,Trevor Morgan,500000,634
Morgan J. Freeman,204,Heather Matarazzo,334041,Hurricane Streets ,Lynn Cohen,500000,529
Eric Schaeffer,71,Bill Duke,295468,Never Again ,Michael McKean,500000,1000
Neema Barnette,21,LisaRaye McCoy,243347,Civil Brand ,Clifton Powell,500000,485
Steve Buscemi,12000,Seymour Cassel,154077,Lonesome Jim ,Mary Kay Place,500000,327
Joe Swanberg,217,Anna Kendrick,342936,Drinking Buddies ,Ti West,,10000
Molly Bernstein,0,Ricky Jay,151389,Deceptive Practice: The Mysteries and Mentors of Ricky Jay ,Dick Cavett,500000,79
Akira Kurosawa,0,Minoru Chiaki,269061,Seven Samurai ,Kamatari Fujiwara,2000000,8
Marius A. Markevicius,6,Greg Speirs,133778,The Other Dream Team ,Mickey Hart,500000,9
Tom DiCillo,32,Tina Louise,,Johnny Suede ,Nick Cave,500000,422
Justin Lin,681,Jake Sandvig,52850,Finishing the Game: The Search for a New Bruce Lee ,Joe McQueen,500000,172
Quentin Dupieux,248,Jack Plotnick,98017,Rubber ,Cecelia Antoinette,500000,248
Tim Johnson,12,Matt Jones,177343675,Home ,April Winchell,135000000,523
C. Jay Cox,6,Amber Benson,31937,Kiss the Bride ,Garrett M. Brown,500000,326
Alex Smith,12,Clea DuVall,13134,The Slaughter Rule ,Eddie Spears,500000,1000
Gareth Edwards,380,Whitney Able,237301,Monsters ,Ricky Catter,500000,280
Jonathan Parker,0,Joanne Whalley,,The Californians ,Illeana Douglas,,507
Sol Tryon,0,Ann Dowd,12055,The Living Wake ,Matthew Cowles,500000,185
Alex Craig Mann,38,Christa B. Allen,1332,Detention of the Dead ,Max Adler,500000,533
Hao Ning,0,Zheng Xu,,Crazy Stone ,Zhonghua Chen,3000000,4
Stephen Kijak,3,Jacques Brel,,Scott Walker: 30 Century Man ,Damon Albarn,500000,27
Marc Forster,395,Alan Ruck,,Everything Put Together ,Megan Mullally,100000,946
Andrew Niccol,487,Zoë Kravitz,316842,Good Kill ,Stafford Douglas,,943
Daston Kalili,2,Rai Alexandra,,Insomnia Manica ,Chin-Chien Chang,500000,0
William Gazecki,3,Bruce Vilanch,,The Outrageous Sophie Tucker ,Tony Bennett,500000,244
Ol Parker,21,Olivia Williams,,Now Is Good ,Paddy Considine,,766
Michael Hoffman Jr.,32,John McGlothlin,,Girls Gone Dead ,Al Sapienza,500000,492
Patrick Gilles,0,Dylan Baker,,America Is Still the Place ,Mike Colter,,812
Georgia Hilton,406,Tim Abell,,Subconscious ,Tom Stedham,,317
Tamra Davis,33,Katherine Boecher,37188667,Crossroads ,Dave Allen,12000000,188
Jack Heller,0,Katherine Waterston,,Enter Nowhere ,Christopher Denham,500000,178
Fernando Baez Mella,0,Christian Alvarez,,The King of Najayo ,Claudette Lalí,500000,15
Warren Sheppard,0,Randy Jay Burrell,,Fight to the Finish ,Vincent De Paul,150000,402
Darren Lynn Bousman,163,Barry Bostwick,,Alleluia! The Devil's Carnival ,Terrance Zdunich,500000,456
Justin Paul Miller,0,Jennifer Landa,,The Sound and the Shadow ,Felix Avitia,,41
Joel Paul Reisig,431,Joel Paul Reisig,,Rodeo Girl ,Yassie Hawkes,500000,431
Catherine Gund,0,Sarah Callan,21199,Born to Fly: Elizabeth Streb vs. Gravity ,Laura Flanders,500000,0
Luke Dye,0,Jeff Delaney,,The Little Ponderosa Zoo ,Jamison Stalsworth,500000,169
Sam Raimi,0,Mila Kunis,234903076,Oz the Great and Powerful ,James Franco,215000000,15000
Michael Herz,6,Mark Torgl,,The Toxic Avenger ,Pat Ryan,475000,11
Matty Rich,10,George T. Odom,2712293,Straight Out of Brooklyn ,Matty Rich,450000,12
Paul Greengrass,521,Nicholas Farrell,768045,Bloody Sunday ,Tim Pigott-Smith,2000000,89
Alec Asten,5,Dennis L.A. White,,Diamond Ruff ,Fredro Starr,500000,251
Hans Canosa,3,Thomas Lennon,379122,Conversations with Other Women ,Nora Zehetner,450000,651
Lloyd Kaufman,365,Lloyd Kaufman,23000,Poultrygeist: Night of the Chicken Dead ,Kate Graham,500000,365
Matthew Watts,0,Cheyenne Jackson,,Mutual Friends ,Michael Stahl-David,450000,469
Lloyd Bacon,24,Dick Powell,2300000,42nd Street ,George Brent,439000,105
Joe Kenemore,0,Jack Canfield,,Rise of the Entrepreneur: The Search for a Better Way ,Eric Worre,450000,2
Whit Stillman,89,Taylor Nichols,2938208,Metropolitan ,Ellia Thompson,225000,74
Kay Pollak,10,Frida Hallgren,9910,As It Is in Heaven ,Nils-Anders Vallgårda,25000000,24
Eric England,15,Ace Marrero,,Roadside ,Alan Pietruszewski,,94
Jared Hess,100,Diedrich Bader,44540956,Napoleon Dynamite ,Jon Gries,400000,759
Jeremy Saulnier,57,Eve Plumb,258113,Blue Ruin ,Amy Hargreaves,1066167,235
Oren Peli,110,Ashley Palmer,107917283,Paranormal Activity ,Amber Armstrong,15000,109
Stacy Peralta,147,Jay Adams,1293295,Dogtown and Z-Boys ,Jeff Ament,,20
Terry Gilliam,0,Michael Palin,1229197,Monty Python and the Holy Grail ,Terry Jones,229575,561
Richard Glatzer,25,Jesse Garcia,1689999,Quinceañera ,Alicia Sixtos,400000,200
Sue Corcoran,14,Sue Corcoran,11798,Gory Gory Hallelujah ,David Frederick White,100000,14
,,Masi Oka,,Heroes             ,Greg Grunberg,,923
Jonathan Caouette,20,Jonathan Caouette,592014,Tarnation ,Renee Leblanc,218,20
Ray Griggs,4,Chris Cox,425899,I Want Your Money ,Mike Huckabee,400000,31
Matt Jackson,0,Paul Elia,,Love in the Time of Monsters ,Alex Sanborn,500000,709
Lucio Fulci,385,David Warbeck,126387,The Beyond ,Al Cliver,400000,22
,,Ron Lynch,,Home Movies             ,Melissa Bardin Galsky,,11
Tom Vaughan,12,Andrew Daly,80276912,What Happens in Vegas ,Michelle Krusiec,35000000,171
Paul Fox,3,Jeff Seymour,,The Dark Hours ,Gordon Currie,500000,64
Stephen Frears,350,Roshan Seth,,My Beautiful Laundrette ,Garry Cooper,650000,61
Ari Kirschenbaum,0,Adam LeFevre,25918,Fabled ,Desmond Askew,,80
Cassandra Nicolaou,0,Michelle Nolden,,Show Me ,Gabriel Hogan,900000,100
Ingmar Bergman,0,Ingrid Thulin,,Cries & Whispers ,Erland Josephson,400000,132
D.W. Griffith,204,Mae Marsh,,Intolerance: Love's Struggle Throughout the Ages ,Walter Long,385907,22
Roger Nygard,3,DeForest Kelley,617172,Trekkies ,James Doohan,375000,606
Harry Beaumont,4,Bessie Love,2808000,The Broadway Melody ,Charles King,379000,28
Sam Raimi,0,Betsy Baker,,The Evil Dead ,Ellen Sandweiss,375000,66
Franck Khalfoun,33,Nora Arnezeder,12843,Maniac ,Liane Balaban,6000000,378
Mor Loushy,0,,34151,Censored Voices ,,450000,
Henry Alex Rubin,30,Joe Bishop,1523883,Murderball ,Andy Cohn,1750211,0
Sam Firstenberg,44,Steve James,4000000,American Ninja 2: The Confrontation ,Larry Poindexter,350000,96
Doug Block,0,Ellen Block,84689,51 Birch Street ,Mike Block,,0
,,Tracy Spiridakos,,Revolution             ,David Lyons,,821
Chad Kapper,0,Natalie Welch,,Rotor DR1 ,Christian Kapper,350000,3
John Carpenter,0,Donald Pleasence,47000000,Halloween ,P.J. Soles,300000,742
Sidney Lumet,0,Lee J. Cobb,,12 Angry Men ,John Fiedler,350000,259
Paul Fierlinger,3,Peter Gerety,246574,My Dog Tulip ,Lynn Redgrave,,277
