director_name,director_facebook_likes,actor_3_facebook_likes,actor_2_name,gross,genres,actor_1_name,movie_title,cast_total_facebook_likes,facenumber_in_poster,plot_keywords,num_user_for_reviews,budget
Jeff Tremaine,79,218,Steve-O,72755517,Action|Comedy|Documentary,Bam Margera,Jackass Number Two ,1853,0,blindfold|male frontal nudity|male rear nudity|pubic hair|vomiting,196,
Jonathan Lynn,36,633,Bruce McGill,52929168,Comedy|Crime,Fred Gwynne,My Cousin Vinny ,3280,1,alabama|jail|judicial system|lawyer|trial,201,11000000
R.J. Cutler,15,602,Mireille Enos,50461335,Drama|Fantasy|Music|Romance,Chloë Grace Moretz,If I Stay ,20466,3,car accident|coma|out of body experience|reference to the exploited|teenage girl,132,11000000
Brian Trenchard-Smith,53,32,Damien Garvey,,Action|Comedy|Crime,Zoe Ventoura,Drive Hard ,179,2,,33,12000000
David S. Ward,42,808,Tom Berenger,49797148,Comedy|Sport,Corbin Bernsen,Major League ,3435,3,cleveland indians|league|manager|owner|team,97,11000000
Oliver Parker,32,621,Rupert Everett,,Comedy,Lily Cole,St. Trinian's ,3135,5,2000s|female protagonist|reward|school|st trinian's,102,13500000
Joel Schumacher,541,328,John Enos III,46563158,Crime|Thriller,Radha Mitchell,Phone Booth ,2562,0,phone booth|publicist|single set production|sniper|sniper rifle,629,13000000
Adam Shankman,163,488,Peter Coyote,41227069,Drama|Romance,Lauren German,A Walk to Remember ,2436,1,community service|love|punishment|school|student,962,11000000
Tim Robbins,0,191,Celia Weston,39025000,Crime|Drama,Lois Smith,Dead Man Walking ,903,0,death|execution|nun|solitary confinement|visit,190,11000000
Roger Kumble,16,637,Sean Patrick Thomas,38201895,Drama|Romance,Sarah Michelle Gellar,Cruel Intentions ,6223,3,bet|revenge|seduction|virgin|wager,749,10500000
Kevin Greutert,52,647,Shawnee Smith,27669413,Horror|Mystery,Costas Mandylor,Saw VI ,3101,0,deception|flash photography|game of death|jigsaw|pig mask,194,11000000
Mel Brooks,0,842,Sid Caesar,,Comedy,Madeline Kahn,History of the World: Part I ,3931,0,french revolution|old testament|part of an unfinished series|reference to john wayne|roman emperor,131,11000000
Gina Prince-Bythewood,107,549,Alicia Keys,37766350,Drama,Nate Parker,The Secret Life of Bees ,3376,5,beekeeping|insect in title|racism|sister|south carolina,56,11000000
Rob Pritts,5,532,Vinessa Shaw,23978402,Comedy|Crime,Vincent Pastore,Corky Romano ,3850,1,fbi|mafia|mobster|undercover|veterinarian,100,11000000
Brian De Palma,0,298,Gabrielle Carteris,21370057,Crime|Drama|Thriller,Steven Bauer,Raising Cain ,1852,0,hitchcockian|long tracking shot|psychologist|psychology|wig,80,12000000
Norman Jewison,278,279,Peter Boyle,,Drama,Sylvester Stallone,F.I.S.T. ,14735,2,1930s|driving through a gate|funeral|senator|trade union,35,11000000
Tobe Hooper,365,225,Bud Cort,4884663,Horror|Sci-Fi,Louise Fletcher,Invaders from Mars ,1661,0,alien|boy|nurse|school|school nurse,64,12000000
John Crowley,34,54,Fiona Glascott,38317535,Drama|Romance,Julie Walters,Brooklyn ,995,1,1950s|immigrant|irish|irish accent|torn between two worlds,212,11000000
Stanley Kubrick,0,111,Steven Berkoff,,Adventure|Drama|History|War,Ryan O'Neal,Barry Lyndon ,1104,0,18th century|england|rise and fall|rural setting|wealth,369,11000000
Brendan Malloy,2,651,Jason London,13903262,Comedy|Sport,Lee Majors,Out Cold ,4291,0,alaska|mountain|ski resort|snowboard|snowboarding,90,11000000
Reginald Hudlin,71,553,John Witherspoon,13592872,Comedy,Will Ferrell,The Ladies Man ,10982,1,black pantyhose|female stockinged legs|pantyhose|radio|tattoo,79,11000000
Dustin Hoffman,0,123,Sheridan Smith,18381787,Comedy|Drama,Luke Newberry,Quartet ,1114,4,divorced couple|opera|reference to giuseppe verdi|retirement|senility,126,11000000
Gregory Poirier,5,443,Jake Busey,13558739,Comedy,Shannon Elizabeth,Tomcats ,2729,0,box office flop|critically bashed|dominatrix|friend|money,121,11000000
Bill Paxton,0,303,Powers Boothe,13103828,Crime|Drama|Thriller,Matthew McConaughey,Frailty ,12237,0,demon|fbi|fbi agent|murder|religious fanatic,463,11000000
Simon Curtis,64,553,Frances Fisher,33305037,Biography|Drama|History,Ryan Reynolds,Woman in Gold ,17866,2,art|jewish|justice|nazi|theft,147,11000000
Bill Condon,386,812,Oliver Platt,10214647,Biography|Drama,Liam Neeson,Kinsey ,17490,0,professor|research|sex|sexuality|student,204,11000000
Sam Raimi,0,795,Bridget Fonda,11501093,Comedy|Fantasy|Horror,Patricia Tallman,Army of Darkness ,3913,0,army of the dead|battle|necronomicon|reluctant hero|skeleton soldier,604,13000000
Dewey Nicks,4,424,Gedde Watanabe,4814244,Comedy|Romance,Jaime King,Slackers ,2415,4,blackmail|fall|love|nerd|scam,107,11000000
Lasse Hallström,529,472,Leonardo DiCaprio,9170214,Drama|Romance,Johnny Depp,What's Eating Gilbert Grape ,69746,1,apostrophe in title|face slap|four word title|grocery store|police,292,11000000
Philip Saville,10,109,Alan Van Sprang,4068087,Biography|Drama|History,Henry Ian Cusick,The Visual Bible: The Gospel of John ,1281,1,1st century|based on the bible|miracle|religion|resurrection,74,17000000
Mike Leigh,608,579,Sally Hawkins,3753806,Crime|Drama,Eddie Marsan,Vera Drake ,3133,1,1950s|miscarriage|neighbor|pregnancy|tailor,165,11000000
Daisy von Scherler Mayer,18,183,Dash Mihok,3034181,Comedy|Music|Romance,Michael McKean,The Guru ,1559,3,bollywood|illegal immigrant|live television|restaurant|waiter,128,11000000
Mira Nair,300,787,Chazz Palminteri,2832826,Comedy|Drama|Romance,Anjelica Huston,The Perez Family ,3072,2,immigration|love|political prisoner|reference to john wayne|title directed by female,19,11000000
Ethan Coen,1000,272,Max Casella,13214255,Drama|Music,Justin Timberlake,Inside Llewyn Davis ,4082,1,1960s|car hitting an animal|folk singer|friend|singer,313,11000000
Tim Blake Nelson,596,697,Andrew Keegan,16017403,Drama|Romance|Thriller,Mekhi Phifer,O ,3300,2,basketball|basketball player|boarding school|love|shakespeare's othello,153,5000000
William A. Graham,8,40,Wayne Pygram,2807854,Adventure|Drama|Romance,Milla Jovovich,Return to the Blue Lagoon ,14281,1,baby|desert island|island|sequel|teenage girl,39,11000000
Martin Ritt,58,104,Anthony Zerbe,,Drama|History,Frank Finlay,The Molly Maguires ,800,0,coal|detective|irish|irish immigrant|pennsylvania,36,11000000
John Turturro,0,776,Steve Buscemi,540085,Comedy|Musical|Romance,Kate Winslet,Romance & Cigarettes ,28004,0,anal sex|death|dream|poem|sex,69,
Agnieszka Holland,238,22,David Kennedy,352786,Biography|Drama|Music,Phyllida Law,Copying Beethoven ,150,0,music copyist|music student|musical composition|student|symphony,86,11000000
Tobe Hooper,365,723,Zelda Rubinstein,76600000,Fantasy|Horror,Heather O'Rourke,Poltergeist ,3876,0,ghost|haunted|haunting|house|paranormal investigator,321,10700000
Rowan Joffe,17,405,Sean Harris,,Crime|Drama|Thriller,Sam Riley,Brighton Rock ,3117,2,brighton|catholic|gang|prayer|waitress,59,12000000
David Hackl,43,357,Costas Mandylor,56729973,Horror|Mystery,Julie Benz,Saw V ,5286,0,blood splatter|jigsaw|nazi|serial killer|swastika tattoo,262,10800000
Giuliano Montaldo,4,199,Gena Rowlands,,Crime|Drama|Thriller,John Cassavetes,Machine Gun McCain ,1827,0,casino|gang violence|robbery|suicide|violence,12,
Lisa Azuelos,15,19,Lina Esco,,Comedy|Drama|Romance,Nora Dunn,LOL ,248,1,best friend|girl in panties|high school|high school romance|pink panties,111,11000000
Ray Lawrence,10,48,Deborra-Lee Furness,399879,Crime|Drama|Mystery|Thriller,John Howard,Jindabyne ,378,2,camp|fishing|fishing trip|river|town,115,15000000
Karan Johar,160,860,John Abraham,3275443,Drama,Shah Rukh Khan,Kabhi Alvida Naa Kehna ,10822,2,extramarital affair|fashion magazine editor|marriage|new york|teacher,264,700000000
Oliver Parker,32,327,Rupert Everett,18535191,Comedy|Romance,Minnie Driver,An Ideal Husband ,2640,3,bachelor|blackmail|character says i love you|flirting|social satire,132,14000000
Ruairi Robinson,7,507,Olivia Williams,23838,Horror|Sci-Fi|Thriller,Romola Garai,The Last Days on Mars ,2271,0,alien infection|astronaut|mars|mission|zombie,160,7000000
Jaume Balagueró,57,132,Giancarlo Giannini,22160085,Horror,Lena Olin,Darkness ,1228,0,9 year old|blood|gramophone|house|missing children,349,10600000
Stanley Kubrick,0,73,Gary Lockwood,56715371,Adventure|Mystery|Sci-Fi,Keir Dullea,2001: A Space Odyssey ,727,0,ancient astronaut|famous line|message from outer space|monolith|star child,1736,12000000
Steven Spielberg,14000,548,Dee Wallace,434949459,Family|Sci-Fi,Henry Thomas,E.T. the Extra-Terrestrial ,2811,0,bicyclist|boy|doll|star wars reference|voice impersonation,515,10500000
Jon Kasdan,21,499,Elena Anaya,11043445,Comedy|Drama|Romance,Kristen Stewart,In the Land of Women ,20312,0,actress|love|michigan|neighbor|writer,74,10000000
Léa Pool,4,194,Marc Donato,,Adventure|Drama,William Hurt,The Blue Butterfly ,1554,1,butterfly|entomologist|morpho butterfly|rain|rain forest,28,12500000
Floyd Mutrux,11,327,Kelli Williams,125169,Comedy|Drama,Ricky Schroder,There Goes My Baby ,2272,2,high school|love|police|showdown|surfer,31,10500000
,,44,Johnny Flynn,,Comedy,Antonia Thomas,Lovesick             ,592,3,blond boy|chlamydia|list|male rear nudity|young couple,18,
Sajid Khan,0,119,Boman Irani,1165104,Comedy,Arjun Rampal,Housefull ,1121,5,bad luck|casino|lie|mix up|stutter,43,
Christopher Cain,58,258,Taylor Handley,1066555,Drama|History|Romance|Western,Jon Gries,September Dawn ,1526,0,massacre|mormon|settler|utah|wagon train,111,11000000
Dean Wright,0,280,Eduardo Verástegui,5669081,Drama|History|War,Santiago Cabrera,For Greater Glory: The True Story of Cristiada ,1807,1,catholic|hanging|mexico|rebellion|soldier,57,10818775
Eric Lartigau,7,24,Eric Elmosnino,,Comedy|Drama|Music,Karin Viard,La Famille Bélier ,175,4,audition|deaf|family relationships|love|singing,27,11000000
Gus Van Sant,835,893,Matt Damon,138339411,Drama,Robin Williams,Good Will Hunting ,63710,2,friend|genius|janitor|loss of wife|professor,682,10000000
Shintaro Shimosawa,29,571,Anthony Hopkins,,Drama|Thriller,Al Pacino,Misconduct ,27660,3,black panties|lust|sexual attraction|voyeur|voyeurism,50,11000000
Darren Lynn Bousman,163,482,Shawnee Smith,80150343,Horror|Mystery,Costas Mandylor,Saw III ,3189,0,brutality|female full frontal nudity|female nudity|torture|trap,614,10000000
Ivan Reitman,425,901,Harold Ramis,85300000,Action|Comedy|War,Bill Murray,Stripes ,27378,1,army|boot camp|breasts|graduation|rescue,134,10000000
Peyton Reed,235,229,Lindsay Sloane,68353550,Comedy|Sport,Kirsten Dunst,Bring It On ,5270,1,championship|cheerleading|high school|teen comedy|teenage romance,385,10000000
James DeMonaco,65,393,Joseph Julian Soria,78845130,Action|Horror|Sci-Fi|Thriller,Frank Grillo,The Purge: Election Year ,2480,1,cathedral|minister|presidential election|reference to george washington|ritual sacrifice,94,10000000
Robert Iscove,7,1000,Clea DuVall,63319509,Comedy|Romance,Paul Walker,She's All That ,28734,2,bet|friend|high school|prom|prom queen,389,10000000
Lee Daniels,304,736,Gabourey Sidibe,47536959,Drama,Mo'Nique,Precious ,3276,0,abuse|african american lesbian|lesbian|lesbian couple|school,275,10000000
Darren Lynn Bousman,163,448,Shawnee Smith,63270259,Horror|Mystery,Costas Mandylor,Saw IV ,3492,0,detective|fbi|rape|rapist|serial rapist,319,10000000
Geoffrey Sax,13,368,Keegan Connor Tracy,55865715,Drama|Horror|Mystery|Thriller,Deborah Kara Unger,White Noise ,2013,0,architect|grave|obsession|river|voice,403,10000000
Tyler Perry,0,685,Cicely Tyson,63231524,Comedy|Drama|Romance,Boris Kodjoe,Madea's Family Reunion ,5264,4,cross dressing|family reunion|madea series|reflective|sister sister relationship,137,6000000
Martin Scorsese,17000,638,Bill Cobbs,52293982,Drama|Sport,Tom Cruise,The Color of Money ,11895,1,hustler|losing|pool|pool player|tournament,115,13800000
Ken Annakin,19,196,Richard Beymer,,Action|Drama|History|War,Richard Burton,The Longest Day ,1554,3,allies|d day|invasion|normandy|world war two,192,10000000
Stephen Herek,65,577,Shaun Weiss,50752337,Comedy|Drama|Family|Sport,Lane Smith,The Mighty Ducks ,3362,8,coach|hockey team|lawyer|respect|team,46,10000000
Takashi Shimizu,70,634,Clea DuVall,110175871,Horror|Mystery|Thriller,Sarah Michelle Gellar,The Grudge ,7461,0,american|curse|japan|nurse|rage,911,10000000
Dennis Dugan,221,491,Kevin Nealon,38624000,Comedy|Sport,Adam Sandler,Happy Gilmore ,13162,1,golf|golf ball|golfer|grandmother's house|tournament,289,12000000
Victor Salva,108,270,Patricia Belcher,37470017,Horror|Mystery,Eileen Brennan,Jeepers Creepers ,1982,0,demon|gore|record player|tattoo|wings,985,10000000
Stephen Herek,65,730,George Carlin,40485039,Adventure|Comedy|Music|Sci-Fi,Keanu Reeves,Bill & Ted's Excellent Adventure ,20795,6,failing student|high school|payphone|teenager|telephone booth,181,10000000
Carol Reed,82,139,Ron Moody,16800000,Drama|Family|Musical,Oliver Reed,Oliver! ,1593,1,abuse|child|orphan|orphanage|pickpocket,138,10000000
John Madden,108,186,Penelope Wilton,46377022,Comedy|Drama,Tom Wilkinson,The Best Exotic Marigold Hotel ,1898,3,hotel|india|marigold|retiree|retirement,266,10000000
Chuck Sheetz,6,345,Andrew Lawrence,36696761,Animation|Comedy|Family|Mystery|Sci-Fi,Diedrich Bader,Recess: School's Out ,2197,0,friend|principal|summer|summer camp|summer vacation,38,23000000
George Miller,750,60,Bruce Spence,36200000,Action|Adventure|Sci-Fi|Thriller,Tina Turner,Mad Max Beyond Thunderdome ,1529,2,arena|desert|fight|mad max|post apocalypse,193,12305523
Mark L. Lester,73,581,Vernon Wells,,Action|Adventure|Thriller,Bill Duke,Commando ,3192,0,body count|dictator|jumping from an airplane|knife fight|one man army,437,10000000
William Brent Bell,19,130,Rupert Evans,35794166,Horror|Mystery|Thriller,Lauren Cohan,The Boy ,4687,0,animate doll|doll|england|nanny|surprise ending,155,10000000
John Erick Dowdle,66,816,Bokeem Woodbine,33583175,Horror|Mystery|Thriller,Bojana Novakovic,Devil ,5628,0,devil|elevator|hit and run|throat slitting|trapped in an elevator,319,10000000
Marcus Raboy,7,615,Mike Epps,32983713,Comedy|Drama,John Witherspoon,Friday After Next ,3712,0,apartment|christmas|christmas present|rent|security guard,66,20000000
Leigh Whannell,482,482,Hayley Kiyoko,52200504,Fantasy|Horror|Thriller,Lin Shaye,Insidious: Chapter 3 ,2426,0,demon|possession|psychic|supernatural|teenager,183,10000000
Michael Schultz,78,619,Vanity,33000000,Action|Comedy|Drama|Music,Mike Starr,The Last Dragon ,3394,1,cult film|kung fu|kung fu classic|martial arts|title spoken by character,109,10000000
Guy Ritchie,0,1000,Brad Pitt,30093107,Comedy|Crime,Jason Statham,Snatch ,39175,6,boxer|boxing|diamond|fight|gypsy,726,6000000
Brett Leonard,32,120,Austin O'Brien,32101000,Horror|Sci-Fi,Jeff Fahey,The Lawnmower Man ,1109,0,intelligence|science runs amok|scientist|supernatural power|virtual reality,96,10000000
Peter Sollett,6,617,Alexis Dziena,31487293,Comedy|Drama|Music|Romance,Ari Graynor,Nick and Norah's Infinite Playlist ,2807,2,band|gay|gay friend|love|night,129,9000000
Kevin Smith,0,769,Janeane Garofalo,30651422,Adventure|Comedy|Drama|Fantasy,Matt Damon,Dogma ,16693,8,abortion|abortion clinic|angel|church|clinic,1015,10000000
Bob Dolman,7,73,Eva Amurri Martino,30306281,Comedy|Drama,Erika Christensen,The Banger Sisters ,1917,2,bartender|groupie|lawyer|road trip|writer,147,10000000
Joe Dante,287,257,Al Leong,29500000,Fantasy|Horror|Sci-Fi,Albert Brooks,Twilight Zone: The Movie ,1954,0,1940s|1960s|bar|kick the can|remake,121,10000000
Rowdy Herrington,9,466,Kevin Tighe,30050028,Action|Thriller,Ben Gazzara,Road House ,2484,1,bikini|cult film|fired from the job|martial arts|violence,201,17000000
Keenen Ivory Wayans,322,534,Salli Richardson-Whitfield,29392418,Action|Comedy|Crime,Jada Pinkett Smith,A Low Down Dirty Shame ,3190,2,drugs|ex cop|gun fu|machismo|shootout,26,10000000
John Polson,21,782,Shiri Appleby,28563926,Drama|Thriller,Erika Christensen,Swimfan ,3819,0,high school|hospital|new jersey|stanford university|swimming,217,8500000
Greg Coolidge,27,534,Danny Woodburn,28435406,Comedy|Romance,Dane Cook,Employee of the Month ,4441,2,competition|date|employee|laser in eyes|slacker,151,12000000
Harry Elfont,4,678,Lauren Ambrose,25339117,Comedy|Romance,Ethan Embry,Can't Hardly Wait ,4259,4,graduation|high school|letter|nerd|party,247,10000000
Francis Ford Coppola,0,699,William Smith,25600000,Crime|Drama,Tom Cruise,The Outsiders ,12097,0,dysfunctional family|gang|greaser|holding someone's head underwater|rivalry,308,10000000
David Lowery,38,190,Oona Laurence,,Adventure|Family|Fantasy,Bryce Dallas Howard,Pete's Dragon ,3691,0,,6,65000000
David Cronenberg,0,275,Herbert Lom,,Horror|Sci-Fi|Thriller,Tom Skerritt,The Dead Zone ,2013,0,car accident|coma|evil politician|psychic|vision,182,10000000
Ciarán Foy,11,220,James Ransone,27736779,Horror|Mystery|Thriller,Laila Haley,Sinister 2 ,2403,0,deputy|farmhouse|nightmare|private investigator|rural,126,10000000
Salim Akil,70,706,Curtis Armstrong,24397469,Drama|Music,Omari Hardwick,Sparkle ,5804,7,1960s|death|girl group|nightclub|sister,48,17000000
Jamie Blanks,9,448,Jessica Capshaw,20384136,Horror|Mystery|Thriller,Marley Shelton,Valentine ,2402,1,dance|nosebleed|revenge|valentine|valentine's day,371,10000000
Olatunde Osunsanmi,58,242,Will Patton,25464480,Mystery|Sci-Fi|Thriller,Milla Jovovich,The Fourth Kind ,15251,0,abduction|alaska|alien|owl|patient,330,10000000
Robert Altman,500,718,Virginia Madsen,20338609,Comedy|Drama|Music,Meryl Streep,A Prairie Home Companion ,12946,8,backstage|country music|cowboy|radio|singing,280,10000000
Leon Ichaso,5,338,Clarence Williams III,18272447,Drama|Thriller,Khandi Alexander,Sugar Hill ,2149,1,african american|harlem manhattan new york city|manhattan new york city|new york city|urination,35,10000000
Joseph Zito,17,53,Richard Lynch,,Action|Thriller,Billy Drago,Invasion U.S.A. ,857,1,army|nightmare|one man army|rescue|spy,90,10000000
Malcolm D. Lee,92,826,Brandon T. Jackson,17378977,Comedy|Drama|Music|Romance,Jurnee Smollett-Bell,Roll Bounce ,7552,0,1970s|boy|competition|roller skates|tubesocks,75,
Wes Anderson,0,766,Connie Nielsen,17096053,Comedy|Drama,Bill Murray,Rushmore ,15716,2,coming of age|friendship|private school|student|teacher,640,9000000
Colin Strause,25,861,Donald Faison,21371425,Action|Sci-Fi|Thriller,David Zayas,Skyline ,3679,0,apartment|blue light|drawing|group of friends|light,944,10000000
John Madden,108,111,Celia Imrie,33071558,Comedy|Drama,Tina Desai,The Second Best Exotic Marigold Hotel ,583,6,sequel,100,10000000
Patricia Rozema,22,558,Jane Krakowski,17655201,Drama|Family,Julia Ormond,Kit Kittredge: An American Girl ,3317,1,boarding house|girl|great depression|house|ohio,24,10000000
Mark Rosman,15,804,Chris Noth,16247775,Comedy|Family|Romance,Ben Feldman,The Perfect Man ,4789,3,e mail|moving|perfect man|secret admirer|suitor,104,25000000
Spike Lee,0,203,Nicholas Turturro,16153600,Drama|Music|Romance,Denzel Washington,Mo' Better Blues ,19065,1,comeback|friend|jazz|stage|trumpet,30,10000000
Steve Oedekerk,176,39,Simon Rhee,16033556,Action|Comedy,Steve Oedekerk,Kung Pow: Enter the Fist ,361,1,chosen one|comic violence|intentionally bad|kung fu|stylized violence,518,10000000
Ron Underwood,31,536,Ariana Richards,16667084,Comedy|Horror|Sci-Fi,Reba McEntire,Tremors ,3119,0,desert|giant worm|monster|pipe bomb|small town,248,11000000
Rob Schmidt,36,648,Lindy Booth,15417771,Horror|Thriller,Kevin Zegers,Wrong Turn ,3416,1,forest|mountain|road|stupid victim|west virginia,540,12600000
Walter Hill,394,695,David Carradine,,Western,Dennis Quaid,The Long Riders ,6296,0,bank|breasts|famous score|last man standing|revenge,78,10000000
James Foley,164,45,Paul Ben-Victor,15156200,Action|Crime|Drama|Mystery|Thriller,Byron Mann,The Corruptor ,571,2,chinatown|illegal immigrant|new york|police|triad,131,30000000
Jeff Nichols,337,820,Tye Sheridan,21589307,Drama,Matthew McConaughey,Mud ,13960,1,14 year old|boat|bounty hunter|boy|river,261,10000000
Robert Ben Garant,134,307,Thomas Lennon,20339754,Comedy|Crime,Wendi McLendon-Covey,Reno 911!: Miami ,2737,2,beach|police|sex scene|spring break|vomiting,73,10000000
Morgan Spurlock,293,547,Zayn Malik,28873374,Documentary|Music,Harry Styles,One Direction: This Is Us ,2787,11,3 dimensional|concert footage|englishman abroad|reference to keith richards|reference to the doors,68,10000000
Neal Brennan,23,503,Noureen DeWulf,15102127,Comedy,Rob Riggle,"The Goods: Live Hard, Sell Hard ",3973,5,fourth of july|looking at one's self in a mirror|mirror|sex toy|young version of character,59,
Tuck Tucker,14,636,Vincent Schiavelli,13684949,Adventure|Animation|Comedy|Family,Jennifer Jason Leigh,Hey Arnold! The Movie ,3752,0,castle thunder|document|neighborhood|punctuation in title|villain arrested,43,3000000
Simon Curtis,64,918,Toby Jones,14597405,Biography|Drama,Eddie Redmayne,My Week with Marilyn ,17204,1,actress|assistant director|blonde bombshell|movie star|wardrobe,216,6400000
Richard Shepard,47,442,Philip Baker Hall,12570442,Comedy|Crime|Drama|Thriller,Adam Scott,The Matador ,4053,0,bar|hitman|luck|mexico|mexico city,234,10000000
Theodore Witcher,28,582,Nia Long,12514138,Drama|Romance,Leonard Roberts,Love Jones ,3871,0,african american|cult film|ex boyfriend|middle class|sex,28,10000000
Joel Edgerton,0,458,Allison Tolman,43771291,Mystery|Thriller,Busy Philipps,The Gift ,3215,1,compulsive liar|fired from a job|gift|rape|substance abuse,279,5000000
Jim Hanon,2,30,Chad Allen,11703287,Adventure|Drama,Chase Ellison,End of the Spear ,1058,3,death|missionary|spear|speared to death|tribe,148,10000000
Tommy O'Haver,13,869,Kirsten Dunst,11560259,Comedy|Romance,Mila Kunis,Get Over It ,22485,1,basketball|dancer|high school|love triangle|shakespeare's a midsummer night's dream,180,22000000
Mike Judge,406,759,Stephen Root,10824921,Comedy,Gary Cole,Office Space ,3462,0,boss|computer|downsizing|neighbor|office,621,10000000
Michael Patrick Jann,31,551,Kirstie Alley,10561238,Comedy|Romance|Thriller,Kirsten Dunst,Drop Dead Gorgeous ,6388,0,beauty pageant|blonde|cheerleader uniform|small town|upskirt,321,10000000
Tim Burton,13000,309,Danny Huston,14479776,Biography|Crime|Drama|Romance,Christoph Waltz,Big Eyes ,12418,3,1950s|abusive husband|artist|painting|secret,147,10000000
Peter Berg,532,711,Daniel Stern,9801782,Comedy|Crime|Thriller,Jon Favreau,Very Bad Things ,6046,0,bachelor party|breasts|friend|prostitute|wedding,481,10000000
Joe Nussbaum,18,2000,Alexa PenaVega,8070311,Comedy|Romance,Steve Carell,Sleepover ,13626,9,best friend|party|rival|scavenger hunt|sleepover,75,10000000
Brian De Palma,0,298,Dennis Franz,,Mystery|Thriller,Melanie Griffith,Body Double ,1856,0,actor|neighbor|police|thief|tunnel,178,10000000
Jorma Taccone,434,472,Will Forte,8460995,Action|Comedy|Romance,Jasper Cole,MacGruber ,2618,3,colonel|lieutenant|nuclear warhead|team|washington d.c.,125,10000000
Stephen Frears,350,250,Benedict Wong,8111360,Crime|Drama|Thriller,Sophie Okonedo,Dirty Pretty Things ,1334,1,hotel|immigrant|nigerian|surgery|underwear,203,10000000
Elizabeth Banks,0,3000,Kate Winslet,8828771,Comedy,Hugh Jackman,Movie 43 ,41059,10,awkwardness|embarrassment|gross out|irreverence|shame,352,6000000
Florian Henckel von Donnersmarck,207,3000,Angelina Jolie Pitt,67631157,Action|Romance|Thriller,Johnny Depp,The Tourist ,55175,0,police surveillance|surveillance van|tailing a suspect|tourist|venice italy,374,100000000
Jeff Lowell,4,655,William Morgan Sheppard,7563670,Comedy|Fantasy|Romance,Stephen Root,Over Her Dead Body ,3651,0,accident|diary|ghost|psychic|veterinarian,53,10000000
Lorene Scafaria,63,172,Mark Moses,6619173,Adventure|Comedy|Drama|Romance|Sci-Fi,Steve Carell,Seeking a Friend for the End of the World ,7747,2,candle|end of the world|letter|record|road trip,221,10000000
Miguel Arteta,44,727,Stephen Root,6857503,Comedy,Kurtwood Smith,Cedar Rapids ,4769,1,award|cedar rapids iowa|convention|hotel|insurance,85,
,,476,T.J. Thyne,,Comedy|Crime|Drama|Mystery|Romance,Michaela Conlin,Bones             ,2198,2,anthropologist|fbi|fbi agent|forensics|investigation,173,
Tony Kaye,194,602,Beverly D'Angelo,6712241,Crime|Drama,Ethan Suplee,American History X ,3858,2,curb stomping|neo nazi|prison|son dislikes mother's boyfriend|white supremacist,1420,7500000
Marcus Dunstan,87,444,Johanna Braddy,6842058,Action|Horror|Thriller,Daniel Sharman,The Collection ,3818,0,booby trap|brainwashing|mercenary|serial killer|trap,99,10000000
Timothy Björklund,0,719,Kelsey Grammer,6491350,Animation|Comedy|Family|Fantasy|Musical,Nathan Lane,Teacher's Pet ,5139,0,dog|florida|mad scientist|school|teacher,26,10000000
François Girard,63,2,Clotilde Mollet,9473382,Drama|Music|Mystery|Romance,Johannes Silberschneider,The Red Violin ,29,3,auction|montreal|secret|violin|violinist,247,10000000
David Lynch,0,201,Richard Farnsworth,6197866,Biography|Drama,Sissy Spacek,The Straight Story ,1351,0,cane|iowa|lawn mower|tractor|wisconsin,414,10000000
Scott Kalvert,9,934,James Franco,6044618,Action|Crime|Drama,Norman Reedus,Deuces Wild ,26961,1,1950s|drug overdose|gang|gang war|new york city,92,10000000
Jason Bateman,0,322,Philip Baker Hall,7764027,Comedy|Drama,Beth Grant,Bad Words ,2061,0,directed by star|indian american|spelling|spelling bee|two word title,119,10000000
David Schwimmer,0,231,Iddo Goldberg,5998971,Comedy|Romance|Sport,Dylan Moran,"Run, Fatboy, Run ",1022,0,blister|gym|marathon|training|wedding,143,
Allan Arkush,13,378,Randy Quaid,,Comedy|Sci-Fi,Bernadette Peters,Heartbeeps ,2791,0,escape|fish out of water|love|robot|servant,31,10000000
Mike Binder,57,664,Gillian Jacobs,21569041,Drama,Jennifer Ehle,Black or White ,3745,2,color in title,57,9000000
Eric Bross,49,401,Tamala Jones,4356743,Comedy|Family|Romance,Jerry Stiller,On the Line ,2446,2,based on short film|chicago illinois|el train|love|train,79,16000000
Werner Herzog,0,294,Toby Huss,5484375,Adventure|Biography|Drama|War,Christian Bale,Rescue Dawn ,24270,0,bombing|guard|jungle|laos|prisoner,205,10000000
Dan Fogelman,102,970,Jennifer Garner,5348317,Comedy|Drama|Music,Al Pacino,Danny Collins ,18712,0,entertainer|inspiration|lost opportunity|pregnant mother|rock star,100,10000000
Jay Duplass,157,581,Evan Ross,4244155,Comedy|Drama,Judy Greer,"Jeff, Who Lives at Home ",3374,5,basement|errand|secret admirer|slacker|wrong number,112,10000000
Luca Guadagnino,64,72,Waris Ahluwalia,5004648,Drama|Romance,Flavio Parenti,I Am Love ,474,1,chef|friend|italy|restaurant|russian,114,10000000
John Putch,60,699,Diedrich Bader,3333823,Drama|Mystery|Sci-Fi,Robert Picardo,Atlas Shrugged II: The Strike ,5262,0,box office flop|critically bashed|government|industrialist|railroad,122,10000000
