director_name,duration,gross,genres,actor_1_name,movie_title,cast_total_facebook_likes,actor_3_name,movie_imdb_link,language,country,title_year,imdb_score,movie_facebook_likes
,30,,Action|Animation|Comedy|Family|Fantasy|Sci-Fi,Elizabeth Daily,The Powerpuff Girls             ,2346,Tom Kane,http://www.imdb.com/title/tt0175058/?ref_=fn_tt_tt_1,English,USA,,7.2,581
Robert Redford,122,11538204,Crime|Drama|History,Robin Wright,The Conspirator ,21163,Stephen Root,http://www.imdb.com/title/tt0968264/?ref_=fn_tt_tt_1,English,USA,2010,7.0,0
Catherine Hardwicke,107,11008432,Biography|Drama|Sport,Heath Ledger,Lords of Dogtown ,16651,Rebecca De Mornay,http://www.imdb.com/title/tt0355702/?ref_=fn_tt_tt_1,English,USA,2005,7.1,5000
Patricia Riggen,127,12188642,Biography|Drama|History,Marco Treviño,The 33 ,2230,Jacob Vargas,http://www.imdb.com/title/tt2006295/?ref_=fn_tt_tt_1,English,Chile,2015,6.9,0
John Carpenter,99,11100000,Action|Adventure|Comedy|Fantasy,Victor Wong,Big Trouble in Little China ,896,Peter Kwong,http://www.imdb.com/title/tt0090728/?ref_=fn_tt_tt_1,English,USA,1986,7.3,19000
Pascal Chaumeil,104,,Comedy|Romance,Dany Boon,A Perfect Plan ,210,Alice Pol,http://www.imdb.com/title/tt1986843/?ref_=fn_tt_tt_1,French,France,2012,6.3,853
Gavin O'Connor,140,13651662,Drama|Sport,Tom Hardy,Warrior ,29692,Kevin Dunn,http://www.imdb.com/title/tt1291584/?ref_=fn_tt_tt_1,English,USA,2011,8.2,77000
Neil Jordan,133,11030963,Biography|Drama|Thriller|War,Alan Rickman,Michael Collins ,48482,Julia Roberts,http://www.imdb.com/title/tt0117039/?ref_=fn_tt_tt_1,English,UK,1996,7.1,0
Ron Maxwell,271,10769960,Drama|History|War,Tom Berenger,Gettysburg ,2107,James Patrick Stuart,http://www.imdb.com/title/tt0107007/?ref_=fn_tt_tt_1,English,USA,1993,7.7,0
Kimberly Peirce,112,10911750,Drama|War,Joseph Gordon-Levitt,Stop-Loss ,43560,Abbie Cornish,http://www.imdb.com/title/tt0489281/?ref_=fn_tt_tt_1,English,USA,2008,6.5,982
Stephen Gaghan,99,10719367,Drama|Music|Mystery|Romance|Thriller,Charlie Hunnam,Abandon ,28987,Tony Goldwyn,http://www.imdb.com/title/tt0267248/?ref_=fn_tt_tt_1,English,USA,2002,4.9,261
Jonathan Kaplan,100,10114315,Drama|Mystery|Thriller,John Doe,Brokedown Palace ,582,Daniel Lapaine,http://www.imdb.com/title/tt0120620/?ref_=fn_tt_tt_1,English,USA,1999,6.4,0
Ole Bornedal,92,49122319,Horror|Thriller,Kyra Sedgwick,The Possession ,2348,Natasha Calis,http://www.imdb.com/title/tt0431021/?ref_=fn_tt_tt_1,English,USA,2012,5.9,17000
Richard Benjamin,105,10070000,Comedy|Drama|Romance,Brendan Fraser,Mrs. Winterbourne ,5023,Cathryn de Prume,http://www.imdb.com/title/tt0117104/?ref_=fn_tt_tt_1,English,USA,1996,6.2,491
Rod Lurie,110,10324441,Action|Drama|Thriller,Alexander Skarsgård,Straw Dogs ,11431,Rhys Coiro,http://www.imdb.com/title/tt0999913/?ref_=fn_tt_tt_1,English,USA,2011,5.8,7000
Lasse Hallström,116,7156933,Comedy|Drama,Hope Davis,The Hoax ,1134,James Biberi,http://www.imdb.com/title/tt0462338/?ref_=fn_tt_tt_1,English,USA,2006,6.7,348
Craig R. Baxley,88,9286314,Action|Crime|Drama|Thriller,Brian Bosworth,Stone Cold ,583,Richard Gant,http://www.imdb.com/title/tt0102984/?ref_=fn_tt_tt_1,English,USA,1991,5.9,0
John Hillcoat,111,56692,Adventure|Drama,Viggo Mortensen,The Road ,23566,Robert Duvall,http://www.imdb.com/title/tt0898367/?ref_=fn_tt_tt_1,English,USA,2009,7.3,32000
John Guillermin,117,,Adventure|Fantasy,Tanya Roberts,Sheena ,611,Ted Wass,http://www.imdb.com/title/tt0088103/?ref_=fn_tt_tt_1,English,UK,1984,4.8,739
Marcos Siega,95,5654777,Action|Comedy|Crime|Drama|Thriller,Cheech Marin,Underclassman ,2165,Kaylee DeFer,http://www.imdb.com/title/tt0373416/?ref_=fn_tt_tt_1,English,USA,2005,4.1,206
J.B. Rogers,95,5516708,Comedy|Romance,Eddie Cibrian,Say It Isn't So ,2413,Jack Plotnick,http://www.imdb.com/title/tt0239949/?ref_=fn_tt_tt_1,English,USA,2001,4.9,295
Roger Donaldson,127,5128124,Biography|Drama|Sport,Anthony Hopkins,The World's Fastest Indian ,12574,Craig Hall,http://www.imdb.com/title/tt0412080/?ref_=fn_tt_tt_1,English,New Zealand,2005,7.9,11000
David R. Ellis,105,34014398,Action|Adventure|Crime|Drama|Thriller,Lin Shaye,Snakes on a Plane ,2603,Rachel Blanchard,http://www.imdb.com/title/tt0417148/?ref_=fn_tt_tt_1,English,Germany,2006,5.6,4000
Rachel Talalay,104,4064333,Action|Comedy|Sci-Fi,Naomi Watts,Tank Girl ,9662,Jeff Kober,http://www.imdb.com/title/tt0114614/?ref_=fn_tt_tt_1,English,USA,1995,5.2,0
Jeffrey W. Byrd,95,4006906,Comedy|Crime,Donald Faison,King's Ransom ,4990,Regina Hall,http://www.imdb.com/title/tt0388183/?ref_=fn_tt_tt_1,English,USA,2005,4.1,83
Fernando Meirelles,121,3073392,Drama|Mystery|Sci-Fi|Thriller,Don McKellar,Blindness ,142,Yûsuke Iseya,http://www.imdb.com/title/tt0861689/?ref_=fn_tt_tt_1,English,Canada,2008,6.6,0
Uwe Boll,92,1550000,Action|Adventure|Fantasy|Horror,Meat Loaf,BloodRayne ,2930,Michael Paré,http://www.imdb.com/title/tt0383222/?ref_=fn_tt_tt_1,English,USA,2005,2.9,937
Roman Polanski,80,,Comedy|Drama,Kate Winslet,Carnage ,25143,Julie Adams,http://www.imdb.com/title/tt1692486/?ref_=fn_tt_tt_1,English,France,2011,7.2,21000
Atom Egoyan,107,871527,Crime|Drama|Mystery|Thriller,Colin Firth,Where the Truth Lies ,16090,Rachel Blanchard,http://www.imdb.com/title/tt0373450/?ref_=fn_tt_tt_1,English,Canada,2005,6.5,507
Andrew Adamson,91,12495865,Fantasy,Dallas Barnett,Cirque du Soleil: Worlds Away ,539,Igor Zaripov,http://www.imdb.com/title/tt1792647/?ref_=fn_tt_tt_1,English,USA,2012,6.8,0
Robert Towne,117,777423,Biography|Drama|Sport,Billy Burke,Without Limits ,4351,Billy Crudup,http://www.imdb.com/title/tt0119934/?ref_=fn_tt_tt_1,English,USA,1998,7.2,942
Richard Linklater,107,1186957,Drama,Zoe Kazan,Me and Orson Welles ,1591,James Tupper,http://www.imdb.com/title/tt1175506/?ref_=fn_tt_tt_1,English,UK,2008,6.8,0
Giuseppe Tornatore,131,85433,Crime|Drama|Mystery|Romance,Jim Sturgess,The Best Offer ,5954,Liya Kebede,http://www.imdb.com/title/tt1924396/?ref_=fn_tt_tt_1,English,Italy,2013,7.8,31000
Werner Herzog,122,1697956,Crime|Drama,Nicolas Cage,Bad Lieutenant: Port of Call New Orleans ,13809,Shawn Hatosy,http://www.imdb.com/title/tt1095217/?ref_=fn_tt_tt_1,English,USA,2009,6.7,6000
Ben Stassen,88,,Adventure|Animation|Family,Ed Begley Jr.,A Turtle's Tale: Sammy's Adventures ,3874,Stacy Keach,http://www.imdb.com/title/tt1230204/?ref_=fn_tt_tt_1,English,France,2010,6.1,0
Guillaume Canet,134,183662,Comedy|Drama,François Cluzet,Little White Lies ,890,Gilles Lellouche,http://www.imdb.com/title/tt1440232/?ref_=fn_tt_tt_1,French,France,2010,7.1,0
Taylor Hackford,117,134904,Comedy|Drama|Romance|Sport,Scout Taylor-Compton,Love Ranch ,3204,Gil Birmingham,http://www.imdb.com/title/tt1125929/?ref_=fn_tt_tt_1,English,USA,2010,5.7,636
Jérôme Deschamps,80,,Adventure|Animation|Comedy,Yolande Moreau,The True Story of Puss'N Boots ,53,Jérôme Deschamps,http://www.imdb.com/title/tt1239462/?ref_=fn_tt_tt_1,English,France,2009,2.9,90
Inna Evlannikova,85,,Adventure|Animation|Comedy|Family,Sergey Garmash,Space Dogs ,48,Aleksandr Bashirov,http://www.imdb.com/title/tt1272051/?ref_=fn_tt_tt_1,Russian,Russia,2010,5.2,200
Ridley Scott,138,16969390,Crime|Drama|Thriller,Michael Fassbender,The Counselor ,27797,Goran Visnjic,http://www.imdb.com/title/tt2193215/?ref_=fn_tt_tt_1,English,USA,2013,5.3,24000
Jonathan English,121,,Action|Adventure|History|Romance,Jason Flemyng,Ironclad ,3287,Derek Jacobi,http://www.imdb.com/title/tt1233301/?ref_=fn_tt_tt_1,English,UK,2011,6.2,0
Sergey Bondarchuk,134,,Action|Drama|History|War,Rod Steiger,Waterloo ,705,Jack Hawkins,http://www.imdb.com/title/tt0066549/?ref_=fn_tt_tt_1,English,Italy,1970,7.3,690
Teddy Chan,100,129115,Action|Drama,Siu-Wong Fan,Kung Fu Killer ,285,Wai-Keung Lau,http://www.imdb.com/title/tt2952602/?ref_=fn_tt_tt_1,Cantonese,China,2014,6.5,0
Mario Van Peebles,100,,Action|Thriller,Martin Kove,Red Sky ,2204,Jacob Vargas,http://www.imdb.com/title/tt1946381/?ref_=fn_tt_tt_1,English,USA,2014,4.1,437
Stephen Frears,119,34700000,Drama|Romance,Keanu Reeves,Dangerous Liaisons ,35501,Swoosie Kurtz,http://www.imdb.com/title/tt0094947/?ref_=fn_tt_tt_1,English,USA,1988,7.7,0
Walter Salles,137,717753,Adventure|Drama,Kristen Stewart,On the Road ,33747,Kirsten Dunst,http://www.imdb.com/title/tt0337692/?ref_=fn_tt_tt_1,English,France,2012,6.1,27000
Leonard Nimoy,119,109713132,Adventure|Comedy|Sci-Fi,Leonard Nimoy,Star Trek IV: The Voyage Home ,15449,Walter Koenig,http://www.imdb.com/title/tt0092007/?ref_=fn_tt_tt_1,English,USA,1986,7.3,0
Sylvester Stallone,139,70269171,Drama|Sport,Sylvester Stallone,Rocky Balboa ,15111,Mike Tyson,http://www.imdb.com/title/tt0479143/?ref_=fn_tt_tt_1,English,USA,2006,7.2,0
Ericson Core,114,28772222,Action|Crime|Sport|Thriller,Ray Winstone,Point Break ,3962,Delroy Lindo,http://www.imdb.com/title/tt2058673/?ref_=fn_tt_tt_1,English,USA,2015,5.3,37000
Wes Craven,120,101334374,Horror|Mystery,Omar Epps,Scream 2 ,2321,Kevin Williamson,http://www.imdb.com/title/tt0120082/?ref_=fn_tt_tt_1,English,USA,1997,6.1,0
