duration,actor_2_name,genres,actor_1_name,num_voted_users,num_user_for_reviews,country,content_rating,title_year,imdb_score
102,Eric Winter,Adventure|Comedy,Danneel Ackles,113918,165,USA,R,2008,6.6
89,Alex Russell,Drama|Sci-Fi|Thriller,Michael Kelly,204327,471,USA,PG-13,2012,7.1
132,Amy Irving,Drama|Musical|Romance,Miriam Margolyes,9503,68,UK,PG,1983,6.6
103,Michael Palin,Adventure|Comedy|Fantasy|Sci-Fi,Shelley Duvall,45890,177,UK,PG,1981,7.0
93,Katherine Boecher,Comedy|Drama,Britney Spears,34219,578,USA,PG-13,2002,3.3
93,Kirby Bliss Blanton,Comedy|Crime,Dax Flame,157051,261,USA,R,2012,6.7
172,Karl Malden,Biography|Drama|War,George C. Scott,76398,258,USA,GP,1970,8.0
96,Gary Cole,Drama|Thriller,Robin Williams,97938,605,USA,R,2002,6.8
89,Jay Hernandez,Horror|Sci-Fi|Thriller,Andrew Fiscella,57446,369,USA,R,2008,6.0
92,Alessandro Nivola,Horror|Mystery,Chloë Grace Moretz,44130,156,USA,PG-13,2008,5.4
