director_name,num_critic_for_reviews,director_facebook_likes,actor_3_facebook_likes,gross,genres,movie_title,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,content_rating,title_year,actor_2_facebook_likes,imdb_score,movie_facebook_likes
Dan Ireland,19,137,476,,Comedy|Drama|Romance,The Velocity of Gary ,5796,Olivia d'Abo,0,dying|hospital|parenthesis in title|punctuation in title|tears,http://www.imdb.com/title/tt0120878/?ref_=fn_tt_tt_1,40,R,1998,575,5.0,98
Fernando León de Aranoa,64,58,9,146402,Comedy|Drama,Mondays in the Sun ,387,Aida Folch,1,australia|bar|shipyard|siamese twins|tuna,http://www.imdb.com/title/tt0319769/?ref_=fn_tt_tt_1,38,R,2002,27,7.7,0
Jim Mickle,215,53,65,18469,Drama|Horror|Sci-Fi,Stake Land ,1038,Nick Damici,1,canada|post apocalypse|road movie|vampire|vampire hunter,http://www.imdb.com/title/tt1464580/?ref_=fn_tt_tt_1,141,R,2010,238,6.5,0
,5,,218,,Comedy|Family|Romance,Sonny with a Chance             ,915,Brandon Mychal Smith,1,cafeteria|female protagonist|rival|teenage girl|teenager,http://www.imdb.com/title/tt1252374/?ref_=fn_tt_tt_1,47,TV-G,,248,6.1,325
Stephen Kay,12,19,599,12836,Biography|Drama,The Last Time I Committed Suicide ,20135,Gretchen Mol,1,1940s|female bare foot|picket fence|tire|vomiting,http://www.imdb.com/title/tt0119502/?ref_=fn_tt_tt_1,28,R,1997,759,5.8,161
Karim Aïnouz,70,19,9,20262,Drama,Futuro Beach ,629,Jesuíta Barbosa,2,gay|male frontal nudity|male nudity|male rear nudity|nudity,http://www.imdb.com/title/tt2199543/?ref_=fn_tt_tt_1,10,Unrated,2014,29,6.1,278
Sam Levinson,46,8,2000,,Comedy|Drama,Another Happy Day ,10984,Demi Moore,4,countryside|marriage|maryland|usa|wedding,http://www.imdb.com/title/tt1719071/?ref_=fn_tt_tt_1,42,R,2011,3000,6.0,798
Julian Gilbey,135,7,641,,Action|Adventure|Crime|Thriller,A Lonely Place to Die ,2631,Sean Harris,1,kidnapper|mountaineering|scotland|scottish highlands|sniper,http://www.imdb.com/title/tt1422136/?ref_=fn_tt_tt_1,97,R,2011,706,6.3,0
Vincenzo Natali,38,165,150,,Comedy|Fantasy,Nothing ,1298,Marie-Josée Croze,0,imagination|one word title|part animation|surrealism|virtual reality,http://www.imdb.com/title/tt0298482/?ref_=fn_tt_tt_1,50,R,2003,246,6.3,688
Aleksandr Veledinskiy,8,0,22,,Adventure|Drama,The Geographer Drank His Globe Away ,183,Eugenia Khirivskaya,0,rafting|russia|school|student|teacher,http://www.imdb.com/title/tt3155604/?ref_=fn_tt_tt_1,3,,2013,45,7.5,282
Peter H. Hunt,34,0,69,,Drama|Family|History|Musical,1776 ,1541,Howard Caine,0,continental congress|debate|declaration of independence|massachusetts|pennsylvania,http://www.imdb.com/title/tt0068156/?ref_=fn_tt_tt_1,129,PG,1972,649,7.6,0
Ruba Nadda,36,55,5,4063,Drama|Mystery|Romance|Thriller,Inescapable ,242,Fadia Nadda,3,,http://www.imdb.com/title/tt1844203/?ref_=fn_tt_tt_1,20,R,2012,11,5.2,657
Howard Hughes,35,177,4,,Drama|War,Hell's Angels ,457,James Hall,1,bomb|bombing mission|munitions|oxford|royal flying corps,http://www.imdb.com/title/tt0020960/?ref_=fn_tt_tt_1,53,Passed,1930,12,7.8,279
Edward Burns,6,0,183,,Comedy|Drama|Romance,Purple Violets ,1585,Peter Jacobson,5,directed by star|written and directed by cast member,http://www.imdb.com/title/tt0491109/?ref_=fn_tt_tt_1,19,,2007,536,6.6,296
Phil Joanou,39,21,359,,Horror,The Veil ,2651,Kira McLean,2,documentary crew|mass suicide|survivor|tied feet|tied up while barefoot,http://www.imdb.com/title/tt3533916/?ref_=fn_tt_tt_1,29,R,2016,637,4.7,0
Sean Byrne,182,18,35,,Horror|Thriller,The Loved Ones ,644,Victoria Thaine,1,escape|high school|high school prom|prom|prom king,http://www.imdb.com/title/tt1316536/?ref_=fn_tt_tt_1,104,R,2009,129,6.7,0
Chris Stokes,14,548,104,,Horror,No Vacancy ,609,Black Thomas,0,motel|psychopath|psychopathic killer|road trip|vomiting,http://www.imdb.com/title/tt1854582/?ref_=fn_tt_tt_1,21,R,2012,134,4.2,531
Mark Griffiths,3,4,271,,Comedy|Romance,How to Fall in Love ,1932,Brooke D'Orsay,2,,http://www.imdb.com/title/tt2395247/?ref_=fn_tt_tt_1,4,TV-G,2012,346,6.3,170
Bruce Macdonald,3,103,111,,Adventure|Biography|Drama|Romance,The Perfect Wave ,1150,Diana Vickers,1,boyfriend girlfriend relationship|friend|praying|surfing|wave,http://www.imdb.com/title/tt2414822/?ref_=fn_tt_tt_1,15,PG,2014,476,4.7,365
Timur Bekmambetov,1,335,635,,Adventure|Drama|History,Ben-Hur ,13391,Moises Arias,2,chariot race|epic|false accusation|jerusalem|slave,http://www.imdb.com/title/tt2638144/?ref_=fn_tt_tt_1,1,PG-13,2016,744,6.0,0
Fred Zinnemann,62,160,94,,Biography|Drama|History,A Man for All Seasons ,1238,Paul Scofield,0,catholic|chancellor|divorce|king henry viii|thomas more,http://www.imdb.com/title/tt0060665/?ref_=fn_tt_tt_1,167,Approved,1966,269,7.9,2000
Sidney Lumet,161,0,682,,Drama|Romance,Network ,5987,William Holden,0,media|monologue|television|television network|television news,http://www.imdb.com/title/tt0074958/?ref_=fn_tt_tt_1,317,R,1976,977,8.1,17000
Victor Fleming,157,149,248,198655278,Drama|History|Romance|War,Gone with the Wind ,1862,Thomas Mitchell,1,battle of the sexes|gallantry|honesty|indifference|scandal,http://www.imdb.com/title/tt0031381/?ref_=fn_tt_tt_1,706,G,1939,384,8.2,16000
Richard Raymond,31,10,196,143653,Biography|Drama,Desert Dancer ,1281,Marama Corlett,0,dance|dancer|dancing|desert|iran,http://www.imdb.com/title/tt2403393/?ref_=fn_tt_tt_1,10,PG-13,2014,236,6.0,0
Sam Peckinpah,53,541,288,14873,Adventure|War|Western,Major Dundee ,2888,Warren Oates,2,apache|apache indian|confederate|mexico|scout,http://www.imdb.com/title/tt0059418/?ref_=fn_tt_tt_1,67,Approved,1965,575,6.8,251
Alan Jacobs,1,2,601,,Drama,Down for Life ,3229,Nicholas Gonzalez,3,latina|south central los angeles,http://www.imdb.com/title/tt1056477/?ref_=fn_tt_tt_1,6,R,2009,826,7.3,237
George Sidney,21,24,83,8000000,Biography|Comedy|Musical|Romance|Western,Annie Get Your Gun ,731,Betty Hutton,0,girl|gun|love|sharpshooter|the end,http://www.imdb.com/title/tt0042200/?ref_=fn_tt_tt_1,90,Passed,1950,244,7.0,456
Christopher Morris,246,69,106,304137,Comedy|Crime|Drama,Four Lions ,1269,Alex Macqueen,0,accidental shooting|bird|crow|exploding animal|muslim,http://www.imdb.com/title/tt1341167/?ref_=fn_tt_tt_1,148,R,2010,365,7.3,17000
Andrucha Waddington,42,6,24,,Drama,House of Sand ,222,Fernanda Torres,1,1910s|desert|dunes|goat|slave,http://www.imdb.com/title/tt0373747/?ref_=fn_tt_tt_1,35,R,2005,69,7.5,385
Peter Stebbings,78,89,388,37606,Comedy|Crime|Drama,Defendor ,2658,Charlotte Sullivan,0,gun running|organized crime|pimp|superhero|vigilante,http://www.imdb.com/title/tt1303828/?ref_=fn_tt_tt_1,90,R,2009,654,6.8,0
Vincente Minnelli,41,136,48,2956000,Adventure|Comedy|Musical|Romance,The Pirate ,282,Ellen Ross,0,hoop|horseback riding|love|pirate|singer,http://www.imdb.com/title/tt0040694/?ref_=fn_tt_tt_1,54,Approved,1948,78,7.1,359
Dagur Kári,61,29,64,19959,Drama,The Good Heart ,298,Stephen Henderson,2,bar|bartender|death|heart attack|mentor protege relationship,http://www.imdb.com/title/tt0808285/?ref_=fn_tt_tt_1,14,R,2009,64,6.9,0
Nicholas Hytner,112,13,480,2706659,Comedy|Drama,The History Boys ,5977,James Corden,0,gay|headmaster|oxford|school|teacher,http://www.imdb.com/title/tt0464049/?ref_=fn_tt_tt_1,172,R,2006,796,6.9,0
Jaume Collet-Serra,349,174,767,61094903,Action|Mystery|Thriller,Unknown ,17151,Aidan Quinn,3,agriculture|airport|amnesia|nurse|scientist,http://www.imdb.com/title/tt1401152/?ref_=fn_tt_tt_1,332,PG-13,2011,902,6.9,29000
,55,,395,,Comedy|Drama|War,M*A*S*H             ,2195,Mike Farrell,5,colonel|doctor|korean war|major|nurse,http://www.imdb.com/title/tt0068098/?ref_=fn_tt_tt_1,147,TV-PG,,421,8.4,0
John Schlesinger,88,154,77,,Drama,Midnight Cowboy ,465,John McGiver,2,gay|homosexual|homosexuality|hustler|male rear nudity,http://www.imdb.com/title/tt0064665/?ref_=fn_tt_tt_1,334,X,1969,89,7.9,0
Peter Cattaneo,122,11,121,45857453,Comedy|Drama|Music,The Full Monty ,2323,Lesley Sharp,3,dole|male stripper|northern england|steel worker|unemployment,http://www.imdb.com/title/tt0119164/?ref_=fn_tt_tt_1,174,R,1997,891,7.2,0
Jim Abrahams,134,104,318,83400000,Comedy,Airplane! ,2726,Barbara Billingsley,0,air traffic controller|airplane|airport|pilot|spoof,http://www.imdb.com/title/tt0080339/?ref_=fn_tt_tt_1,427,PG,1980,575,7.8,16000
Kevin Carraway,11,2,6,,Action|Thriller,Chain of Command ,2886,Jon Osbeck,3,army|michael jai white|ohio|steve austin,http://www.imdb.com/title/tt4340720/?ref_=fn_tt_tt_1,14,R,2015,872,3.5,358
F. Gary Gray,20,473,624,27900000,Comedy|Drama,Friday ,3455,Tony Cox,1,bully|drug dealer|first part|neighbor|neighborhood,http://www.imdb.com/title/tt0113118/?ref_=fn_tt_tt_1,157,R,1995,723,7.3,8000
Albert Hughes,28,117,556,27900000,Crime|Drama|Thriller,Menace II Society ,3036,Khandi Alexander,2,1990s|escape|graduation|hustler|street,http://www.imdb.com/title/tt0107554/?ref_=fn_tt_tt_1,96,R,1993,582,7.5,0
,22,,496,,Drama|Music,Empire             ,4337,Malik Yoba,2,music business|new york city|record executive|record label|singer,http://www.imdb.com/title/tt3228904/?ref_=fn_tt_tt_1,92,TV-14,,906,7.8,14000
Michael Gornick,95,10,178,14000000,Comedy|Fantasy|Horror|Thriller,Creepshow 2 ,3617,Dorothy Lamour,0,anthology|hit and run|hit by a car|living statue|melting woman,http://www.imdb.com/title/tt0092796/?ref_=fn_tt_tt_1,118,R,1987,273,6.0,1000
Sam Peckinpah,31,541,242,,Comedy|Drama|Romance|Western,The Ballad of Cable Hogue ,1970,L.Q. Jones,2,desert|partner|prostitute|stagecoach|water,http://www.imdb.com/title/tt0065446/?ref_=fn_tt_tt_1,62,R,1970,372,7.3,357
Richard Brooks,79,174,188,,Biography|Crime|Drama|History,In Cold Blood ,970,Will Geer,1,homoeroticism|kansas|murder|police|robbery,http://www.imdb.com/title/tt0061809/?ref_=fn_tt_tt_1,128,Approved,1967,220,8.0,0
Fred Zinnemann,25,160,75,,Drama,The Nun's Story ,646,Beatrice Straight,0,belgium|congo|convent|nun|nurse,http://www.imdb.com/title/tt0053131/?ref_=fn_tt_tt_1,83,Not Rated,1959,139,7.6,930
Jack Smight,22,22,367,,Action|Crime|Drama|Mystery|Thriller,Harper ,2402,Shelley Winters,1,kidnapping|los angeles california|neo noir|private detective|ransom,http://www.imdb.com/title/tt0060490/?ref_=fn_tt_tt_1,74,Not Rated,1966,481,7.0,470
Alfred Hitchcock,110,13000,118,,Thriller,Frenzy ,771,Clive Swift,0,penknife|police|rape|serial killer|united kingdom,http://www.imdb.com/title/tt0068611/?ref_=fn_tt_tt_1,199,R,1972,146,7.5,0
Robert Eggers,425,22,159,25138292,Horror|Mystery,The Witch ,1122,Ralph Ineson,0,black magic|goat|isolation|naked woman|witch,http://www.imdb.com/title/tt4263482/?ref_=fn_tt_tt_1,452,R,2015,191,6.8,43000
Michael Martin,19,0,78,10305534,Comedy,I Got the Hook Up ,987,Anthony Johnson,2,friend|obscenity|scam|vacant lot|van,http://www.imdb.com/title/tt0131436/?ref_=fn_tt_tt_1,38,R,1998,118,3.9,280
Edward Burns,43,0,111,9449219,Comedy|Drama|Romance,She's the One ,995,Michael McGlone,2,claim in title|infidelity|irish american|love|sex,http://www.imdb.com/title/tt0117628/?ref_=fn_tt_tt_1,98,R,1996,356,6.1,453
Bill Condon,127,386,248,6390032,Biography|Drama,Gods and Monsters ,4238,Kevin J. O'Connor,2,friendship|gardener|gay interest|homosexual|memory,http://www.imdb.com/title/tt0120684/?ref_=fn_tt_tt_1,229,R,1998,258,7.5,0
Juan José Campanella,262,195,50,20167424,Drama|Mystery|Thriller,The Secret in Their Eyes ,1044,Guillermo Francella,0,investigation|justice|murder|suspect|tension,http://www.imdb.com/title/tt1305806/?ref_=fn_tt_tt_1,231,R,2009,88,8.2,33000
George A. Romero,184,0,83,,Horror,Day of the Dead ,1592,Joseph Pilato,1,bunker|experiment|military|research|scientist,http://www.imdb.com/title/tt0088993/?ref_=fn_tt_tt_1,419,Unrated,1985,177,7.2,3000
Gideon Raff,33,47,108,,Horror|Thriller,Train ,836,Derek Magyar,1,blood splatter|heart ripped out|jock strap|train|vomiting,http://www.imdb.com/title/tt1015474/?ref_=fn_tt_tt_1,52,R,2008,209,4.8,804
Sam Raimi,252,0,199,5923044,Comedy|Fantasy|Horror|Thriller,Evil Dead II ,1347,Kassie Wesley DePaiva,0,cabin|cabin in the woods|demon|evil dead|woods,http://www.imdb.com/title/tt0092991/?ref_=fn_tt_tt_1,537,X,1987,328,7.8,0
Louis C.K.,31,0,542,3293258,Action|Adventure|Comedy|Musical,Pootie Tang ,2238,Robert Vaughn,0,based on sketch comedy|corporation|cult film|evil corporation|sex,http://www.imdb.com/title/tt0258038/?ref_=fn_tt_tt_1,131,PG-13,2001,555,5.2,0
Anthony C. Ferrante,139,48,689,,Horror,Sharknado ,3075,Cassandra Scerbo,0,cult film|hurricane|school bus|shark|shark feature,http://www.imdb.com/title/tt2724064/?ref_=fn_tt_tt_1,236,TV-14,2013,697,3.3,93000
Salvador Carrasco,39,22,10,886410,Drama|History,La otra conquista ,222,Damián Delgado,0,1520s|aztec|indian|spanish colonization|spanish conquest,http://www.imdb.com/title/tt0175996/?ref_=fn_tt_tt_1,494,R,1998,16,6.8,140
André Øvredal,337,12,4,252652,Comedy|Drama|Fantasy|Horror,Trollhunter ,44,Glenn Erland Tosterud,0,bear|cameraman|hunter|secret government agency|troll,http://www.imdb.com/title/tt1740707/?ref_=fn_tt_tt_1,199,PG-13,2010,4,7.0,38000
Robert Cary,30,0,681,220234,Comedy|Romance,Ira & Abby ,3574,Kevin Sussman,3,erectile dysfunction|mugger|mugging|subway robbery|therapy,http://www.imdb.com/title/tt0480251/?ref_=fn_tt_tt_1,24,R,2006,729,6.5,360
Akiva Schaffer,265,82,536,34350553,Action|Comedy|Sci-Fi,The Watch ,2486,Rosemarie DeWitt,4,alien|escape|manager|neighborhood watch|ohio,http://www.imdb.com/title/tt1298649/?ref_=fn_tt_tt_1,207,R,2012,591,5.7,15000
Adam Rapp,50,9,405,101228,Comedy|Drama,Winter Passing ,20009,Dallas Roberts,4,love|michigan|musician|novelist|student,http://www.imdb.com/title/tt0380817/?ref_=fn_tt_tt_1,53,R,2005,8000,6.4,414
Angela Robinson,50,23,660,96793,Action|Comedy|Romance,D.E.B.S. ,6380,Scoot McNairy,3,1959 cadillac|diamonds|female villain|force field|voyeurism,http://www.imdb.com/title/tt0367631/?ref_=fn_tt_tt_1,135,PG-13,2004,756,5.3,1000
Warren P. Sonoda,9,28,131,123777,Action|Biography|Crime|Drama|Family|Fantasy,The Masked Saint ,1043,Lara Jean Chorostecki,0,,http://www.imdb.com/title/tt3103166/?ref_=fn_tt_tt_1,15,PG-13,2016,294,4.7,0
Amanda Gusack,15,0,31,,Crime|Drama|Mystery|Thriller,The Betrayed ,668,Blaine Anderson,0,blood splatter|ski mask|stolen money|vomiting|warehouse,http://www.imdb.com/title/tt1074191/?ref_=fn_tt_tt_1,11,,2008,168,6.1,127
Avi Nesher,5,6,467,,Action|Comedy|Crime|Thriller,Taxman ,2406,Robert Townsend,6,bar|box office flop|dance|one word title|voice over narration,http://www.imdb.com/title/tt0138862/?ref_=fn_tt_tt_1,20,R,1998,893,5.5,18
,1,,119,,Drama|Thriller,The Secret             ,1393,Genevieve O'Reilly,3,adultery|baptist church|dentist|double murder|tv mini series,http://www.imdb.com/title/tt5116280/?ref_=fn_tt_tt_1,4,,,133,7.3,405
Charles Adelman,4,0,460,,Horror|Thriller,2:13 ,2307,Jere Burns,0,death|forensic|murder|profiler|serial killer,http://www.imdb.com/title/tt1002561/?ref_=fn_tt_tt_1,12,,2009,574,4.8,211
Jay Oliva,44,41,739,,Action|Animation|Crime|Sci-Fi|Thriller,Batman: The Dark Knight Returns, Part 2 ,5526,Grey Griffin,0,batman|joker|mutant|tattoo on breast|the joker,http://www.imdb.com/title/tt2166834/?ref_=fn_tt_tt_1,55,PG-13,2013,774,8.4,5000
Charles Ferguson,6,117,0,29233,Documentary,Time to Choose ,24,Peter Agnefjall,0,,http://www.imdb.com/title/tt5001130/?ref_=fn_tt_tt_1,2,,2015,3,7.0,121
Uwe Boll,17,892,50,,Action|Adventure|Fantasy|Thriller,In the Name of the King: The Last Job ,854,Ralitsa Paskaleva,1,castle|dragon|kidnapping|satire|sword and sorcery,http://www.imdb.com/title/tt2379386/?ref_=fn_tt_tt_1,10,R,2014,145,3.3,721
Mark Young,7,14,597,,Action|Crime|Drama|Thriller,Wicked Blood ,3854,Lew Temple,2,chess|drugs|love|meth|pawn,http://www.imdb.com/title/tt2761578/?ref_=fn_tt_tt_1,10,Not Rated,2014,660,5.4,482
Daniel Petrie Jr.,9,19,322,,Drama|Thriller,Dawn Patrol ,2497,Rita Wilson,0,desert|held at gunpoint|marine|revenge|sex on table,http://www.imdb.com/title/tt2073661/?ref_=fn_tt_tt_1,13,,2014,535,4.8,570
Antonio Simoncini,3,0,37,,Crime|Mystery|Thriller,Lords of London ,1183,Glen Murphy,1,gang leader|italian woman|period piece|purgatory|suicide,http://www.imdb.com/title/tt1800337/?ref_=fn_tt_tt_1,18,R,2014,53,3.1,606
Mel Brooks,55,0,605,,Comedy,High Anxiety ,2861,Dick Van Patten,0,belldon's hysteria|high anxiety|hitchcockian|murder|parody,http://www.imdb.com/title/tt0076141/?ref_=fn_tt_tt_1,102,PG,1977,628,6.7,0
Luc Jacquet,169,10,34,77413017,Documentary,March of the Penguins ,11218,Romane Bohringer,0,chick|emperor penguin|journey|ocean|penguin,http://www.imdb.com/title/tt0428803/?ref_=fn_tt_tt_1,331,G,2005,108,7.6,0
J.C. Chandor,290,78,969,5354039,Biography|Drama|Thriller,Margin Call ,22834,Ashley Williams,8,capital management|financial crisis|financial disaster|investment fraud|management,http://www.imdb.com/title/tt1615147/?ref_=fn_tt_tt_1,225,R,2011,2000,7.1,21000
Eldar Rapaport,10,0,43,,Drama|Romance,August ,320,Edward Conna,1,apartment|gay parent|job interview|male pubic hair|pubic hair,http://www.imdb.com/title/tt1753460/?ref_=fn_tt_tt_1,13,Not Rated,2011,69,6.1,224
Clark Gregg,159,0,539,2926565,Comedy|Drama,Choke ,3608,Jonah Bobo,0,choking|friend|hospital|restaurant|scam,http://www.imdb.com/title/tt1024715/?ref_=fn_tt_tt_1,72,R,2008,585,6.5,0
Damien Chazelle,535,141,535,13092000,Drama|Music,Whiplash ,26495,Chris Mulkey,0,conservatory|drummer|emotional abuse|music school|obsession,http://www.imdb.com/title/tt2582802/?ref_=fn_tt_tt_1,731,R,2014,970,8.5,129000
Fernando Meirelles,214,353,40,7563397,Crime|Drama,City of God ,1211,Alexandre Rodrigues,0,coming of age|male frontal nudity|male nudity|photographer|slum,http://www.imdb.com/title/tt0317248/?ref_=fn_tt_tt_1,749,R,2002,69,8.7,28000
Justin Kerrigan,47,8,78,104257,Comedy|Music,Human Traffic ,1430,Shaun Parkes,2,friday|friend|hip hop|techno rave|weekend,http://www.imdb.com/title/tt0188674/?ref_=fn_tt_tt_1,160,R,1999,472,7.1,0
Nathan Frankowski,17,19,80,,Biography|Drama|Music,Day One ,1011,Luis Antonio,7,character name in title|depression|drugs|one word title,http://www.imdb.com/title/tt1850418/?ref_=fn_tt_tt_1,13,PG-13,2012,144,6.6,0
Karen Moncrieff,85,22,303,17311,Crime|Drama|Mystery,The Dead Girl ,11860,Piper Laurie,0,dead girl|girl|granddaughter|morgue|storage unit,http://www.imdb.com/title/tt0783238/?ref_=fn_tt_tt_1,73,R,2006,505,6.7,799
Thomas Vinterberg,349,346,26,610968,Drama,The Hunt ,216,Hana Shuan,1,deer|gun|gunshot|hunt|kindergarten teacher,http://www.imdb.com/title/tt2106476/?ref_=fn_tt_tt_1,249,R,2012,69,8.3,60000
Bob Clark,109,84,378,,Comedy|Family,A Christmas Story ,2076,Scott Schwartz,0,bb gun|boy|bully|christmas|tongue stuck on a pole,http://www.imdb.com/title/tt0085334/?ref_=fn_tt_tt_1,458,PG,1983,577,8.1,18000
Alejandro Monteverde,60,38,377,8108247,Drama|Romance,Bella ,2747,Eduardo Verástegui,0,inter cultural|latino|restaurant|soccer|train,http://www.imdb.com/title/tt0482463/?ref_=fn_tt_tt_1,174,PG-13,2006,464,7.4,0
Mark L. Lester,101,73,129,,Action|Crime|Drama|Thriller,Class of 1984 ,1105,Timothy Van Patten,4,back to school|city|high school|sadism|teacher,http://www.imdb.com/title/tt0083739/?ref_=fn_tt_tt_1,75,R,1982,251,6.6,934
Jennifer Finnigan,1,246,491,,Comedy,The Opposite Sex ,3717,Josh Hopkins,5,bare breasts,http://www.imdb.com/title/tt2796678/?ref_=fn_tt_tt_1,3,,2014,521,4.5,0
Eric Styles,16,4,405,7680,Drama|Romance,Dreaming of Joseph Lees ,2020,Miriam Margolyes,0,love crime|love triangle|lust|sister sister relationship|unrequited love,http://www.imdb.com/title/tt0144178/?ref_=fn_tt_tt_1,18,R,1999,443,6.4,100
Laurent Cantet,212,39,0,3766595,Drama,The Class ,17,Angélica Sancio,7,high school|inner city|school|student|teacher,http://www.imdb.com/title/tt1068646/?ref_=fn_tt_tt_1,86,PG-13,2008,2,7.5,0
Roman Polanski,215,2000,449,,Drama|Horror,Rosemary's Baby ,2997,Charles Grodin,0,devil worship|incubus|paranoia|raped by a demon|satanism,http://www.imdb.com/title/tt0063522/?ref_=fn_tt_tt_1,447,R,1968,563,8.0,13000
John Ford,107,673,332,,Drama|Western,The Man Who Shot Liberty Valance ,2693,Vera Miles,1,friend|funeral|outlaw|pistol|stagecoach,http://www.imdb.com/title/tt0056217/?ref_=fn_tt_tt_1,214,Approved,1962,423,8.1,0
Max Mayer,122,6,194,2277396,Drama|Romance,Adam ,1936,Amy Irving,0,apartment|asperger's syndrome|children|teacher|writer,http://www.imdb.com/title/tt1185836/?ref_=fn_tt_tt_1,70,PG-13,2009,390,7.2,0
Joshua Marston,155,13,6,6517198,Crime|Drama,Maria Full of Grace ,308,Yenny Paola Vega,0,colombia|colombian|drug mule|money|stomach,http://www.imdb.com/title/tt0390221/?ref_=fn_tt_tt_1,172,R,2004,11,7.5,0
Mike Mills,261,101,157,5776314,Comedy|Drama|Romance,Beginners ,2016,Mary Page Keller,4,actress|cancer|death|french|gay relationship,http://www.imdb.com/title/tt1532503/?ref_=fn_tt_tt_1,142,R,2010,394,7.2,15000
John Gulager,130,38,898,,Action|Comedy|Horror|Thriller,Feast ,170118,Henry Rollins,0,bar|bloody body of child|dead boy|monster|vomiting,http://www.imdb.com/title/tt0426459/?ref_=fn_tt_tt_1,252,R,2005,2000,6.4,0
John Landis,94,644,559,141600000,Comedy,Animal House ,3468,Tim Matheson,6,academic probation|camera shot of feet|fraternity|school expulsion|smashing a guitar,http://www.imdb.com/title/tt0077975/?ref_=fn_tt_tt_1,257,R,1978,783,7.6,0
Guy Hamilton,164,82,177,51100000,Action|Adventure|Thriller,Goldfinger ,1198,Lois Maxwell,2,bikini|covered in melted gold|fort knox|gold|pilot,http://www.imdb.com/title/tt0058150/?ref_=fn_tt_tt_1,418,Approved,1964,202,7.8,0
Brandon Cronenberg,188,43,463,,Horror|Sci-Fi|Thriller,Antiviral ,1962,Caleb Landry Jones,0,celebrity|injection|near future|scalpel|stabbed in the mouth,http://www.imdb.com/title/tt2099556/?ref_=fn_tt_tt_1,47,Not Rated,2012,480,5.7,0
Frank Capra,206,964,248,,Drama|Family|Fantasy|Romance,It's a Wonderful Life ,1844,Thomas Mitchell,0,angel|bank|guardian angel|second chance|small town life,http://www.imdb.com/title/tt0038650/?ref_=fn_tt_tt_1,706,PG,1946,275,8.6,41000
Danny Boyle,134,0,557,16501785,Drama,Trainspotting ,3559,Ewen Bremner,4,drug culture|drugs|filthy toilet|heroin addict|heroin withdrawal,http://www.imdb.com/title/tt0117951/?ref_=fn_tt_tt_1,514,R,1996,887,8.2,21000
Spike Lee,53,0,360,38168022,Comedy|Documentary,The Original Kings of Comedy ,1964,Steve Harvey,0,backstage|comedian|concert film|emcee|stand up comedian,http://www.imdb.com/title/tt0236388/?ref_=fn_tt_tt_1,83,R,2000,436,6.6,290
Tod Williams,264,21,189,84749884,Horror,Paranormal Activity 2 ,1081,Micah Sloat,0,california|carlsbad california|house|nanny|security camera,http://www.imdb.com/title/tt1536044/?ref_=fn_tt_tt_1,359,R,2010,332,5.7,14000
Kirk Jones,94,52,482,24788807,Comedy,Waking Ned Devine ,1965,Fionnula Flanagan,0,dead body|death|lottery|small town|village,http://www.imdb.com/title/tt0166396/?ref_=fn_tt_tt_1,213,PG,1998,588,7.4,0
Michael Moore,215,909,184,21244913,Crime|Documentary|Drama,Bowling for Columbine ,1779,Bill Clinton,2,bank|columbine|columbine high school killings|firearm|school shooting,http://www.imdb.com/title/tt0310793/?ref_=fn_tt_tt_1,888,R,2002,504,8.0,4000
Yimou Zhang,85,611,4,377420,Drama,Coming Home ,900,Ni Yan,1,amnesia|cultural revolution|husband wife relationship|memory|political prisoner,http://www.imdb.com/title/tt3125472/?ref_=fn_tt_tt_1,20,PG-13,2014,10,7.3,0
Jack Sholder,138,28,217,30000000,Fantasy|Horror,A Nightmare on Elm Street 2: Freddy's Revenge ,1472,Marshall Bell,0,freddy krueger|gay|gay subtext|homoeroticism|jock strap,http://www.imdb.com/title/tt0089686/?ref_=fn_tt_tt_1,327,R,1985,359,5.4,0
James Ivory,55,133,249,20966644,Drama|Romance,A Room with a View ,1665,Denholm Elliott,0,male nudity|male pubic hair|nude bathing|piano|pubic hair,http://www.imdb.com/title/tt0091867/?ref_=fn_tt_tt_1,94,Unrated,1985,443,7.4,0
James DeMonaco,361,65,535,64423650,Horror|Sci-Fi|Thriller,The Purge ,3708,Chris Mulkey,0,class differences|killing spree|one night|suburb|violence,http://www.imdb.com/title/tt2184339/?ref_=fn_tt_tt_1,578,R,2013,810,5.7,31000
Scott Derrickson,411,301,412,48056940,Horror|Mystery,Sinister ,2239,James Ransone,0,book|found footage|research|snuff film|writer,http://www.imdb.com/title/tt1922777/?ref_=fn_tt_tt_1,524,R,2012,419,6.8,58000
David Raynr,24,9,12,19184015,Biography|Comedy|Documentary,Martin Lawrence Live: Runteldat ,159,Dayna Devon,1,actor name in title|colon in title|four word title|live performance|satire,http://www.imdb.com/title/tt0327036/?ref_=fn_tt_tt_1,35,R,2002,65,5.4,63
Richard Brooks,70,174,110,,Drama|Romance,Cat on a Hot Tin Roof ,649,Jack Carson,0,cancer|football|homosexuality|marriage|mississippi,http://www.imdb.com/title/tt0051459/?ref_=fn_tt_tt_1,141,Approved,1958,197,8.1,0
