num_critic_for_reviews,director_facebook_likes,actor_3_facebook_likes,actor_2_name,gross,genres,actor_1_name,actor_3_name,num_user_for_reviews,title_year,aspect_ratio
36,0,73,Michael McGlone,10246600,Comedy|Drama|Romance,Shari Albert,Maxine Bahns,36,1995,1.85
73,8,8,Shailene Garnett,,Crime|Drama|Thriller,Paul Daniel Ayotte,Matt Johnson,40,2013,
1,9,3,Sonia Braga,,Comedy|Drama|Romance,Marcello Mastroianni,Joffre Soares,9,1983,2.35
113,969,433,Merritt Wever,389804,Comedy|Drama|Romance,Lena Dunham,Jemima Kirke,35,2010,2.35
13,9,133,Jeremy Sande,,Crime|Drama|Horror,Richard Tyson,Corlandos Scott,5,2012,1.78
,0,15,Chelse Swain,,Comedy|Drama,Corbin Bernsen,Amanda MacDonald,3,2006,
12,6,,,,Documentary,,,1,2015,1.78
60,2,5,David Mersault,,Fantasy|Horror|Mystery|Thriller,Dan Novy,Barry Lynch,99,2005,1.33
10,0,,,,Documentary,Chris 'Wonder' Schoeck,,10,2013,16.0
161,18,236,Olivia Cooke,,Sci-Fi|Thriller,Lin Shaye,Beau Knapp,180,2014,2.35
7,3,18,Greg Aronowitz,,Biography|Documentary,Taliesin Jaffe,Jeff Dowd,2,2014,
34,3,69,Paul Eenhoorn,,Drama,Jan Haley,Demetrius Grosse,7,2013,16.0
,117,281,Jon Gries,,Comedy,Katrina Bowden,Kelen Coleman,4,2013,2.35
75,234,15,Eddie Rouse,241816,Drama,Paul Schneider,Damian Jewan Lee,76,2000,2.35
21,4,113,Christa Miller,277233,Comedy|Romance,Derick Martini,Ion Overman,26,1999,1.85
3,0,279,Johnny Walter,,Drama|Sci-Fi|Thriller,Barry Corbin,Shiree Nelson,2,2014,
2,138,76,Patricia Raven,,Horror,Elissa Dowling,Lindsay Felton,6,2011,2.35
71,17000,476,Levon Helm,321952,Documentary|Music,Ringo Starr,Bob Dylan,113,1978,1.85
7,14,130,Thomas Brophy,,Horror|Thriller,Julianne Gabert,Ronee Collins,5,2012,2.35
61,2,20,Mark Rendall,24705,Drama,Zoe Kazan,Jordan Scovel,10,2009,
