director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,gross,genres,movie_title,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,language,country,content_rating,budget,actor_2_facebook_likes,imdb_score,movie_facebook_likes
Rohan Sippy,24,128,4,47,563699,Action|Crime|Drama|Thriller,Dum Maaro Dum ,787,Prateik,0,airport|drugs|loss of loved one|police|title based on song,http://www.imdb.com/title/tt1618430/?ref_=fn_tt_tt_1,Hindi,India,R,,282,6.2,421
James Wan,318,106,0,482,83574831,Fantasy|Horror|Thriller,Insidious: Chapter 2 ,2975,Leigh Whannell,0,barricading a door|injection in leg|police detective|supernatural|taser,http://www.imdb.com/title/tt2226417/?ref_=fn_tt_tt_1,English,USA,PG-13,5000000,618,6.6,35000
Darren Lynn Bousman,250,95,163,651,87025093,Horror|Mystery,Saw II ,4134,Shawnee Smith,0,death|detective|nerve gas|serial killer|trap,http://www.imdb.com/title/tt0432348/?ref_=fn_tt_tt_1,English,USA,R,4000000,654,6.6,0
Dan Trachtenberg,411,104,16,82,71897215,Drama|Horror|Mystery|Sci-Fi|Thriller,10 Cloverfield Lane ,14504,Sumalee Montano,0,alien|bunker|car crash|kidnapping|minimal cast,http://www.imdb.com/title/tt1179933/?ref_=fn_tt_tt_1,English,USA,PG-13,15000000,338,7.3,33000
Jeff Tremaine,106,87,79,218,64267897,Comedy|Documentary,Jackass: The Movie ,1770,Chris Pontius,0,alligator|golf|japan|panda|stunt,http://www.imdb.com/title/tt0322802/?ref_=fn_tt_tt_1,English,USA,R,5000000,362,6.6,0
David F. Sandberg,159,81,26,300,56536016,Horror,Lights Out ,3344,Gabriel Bateman,0,based on short film|reference to avenged sevenfold|reference to slayer|switching lights on and off|two word title,http://www.imdb.com/title/tt4786282/?ref_=fn_tt_tt_1,English,USA,PG-13,4900000,509,6.9,0
Henry Joost,251,94,24,434,104007828,Horror,Paranormal Activity 3 ,2371,Christopher Nicholas Smith,0,animate object|imaginary friend|reference to macgyver|whispering|woman wearing only a man's shirt,http://www.imdb.com/title/tt1778304/?ref_=fn_tt_tt_1,English,USA,R,5000000,438,5.8,24000
Stiles White,183,89,10,704,50820940,Fantasy|Horror,Ouija ,5056,Daren Kagasoff,0,death of girlfriend|funeral|ghost|ouija|spirit,http://www.imdb.com/title/tt1204977/?ref_=fn_tt_tt_1,English,USA,PG-13,5000000,707,4.4,18000
Chuck Russell,131,88,55,150,44793200,Action|Fantasy|Horror|Thriller,A Nightmare on Elm Street 3: Dream Warriors ,1584,Jennifer Rubin,0,dream|freddy krueger|killer|nightmare|springwood ohio,http://www.imdb.com/title/tt0093629/?ref_=fn_tt_tt_1,English,USA,X,4500000,449,6.6,0
Joel Edgerton,297,108,0,458,43771291,Mystery|Thriller,The Gift ,3215,Wendell Pierce,1,compulsive liar|fired from a job|gift|rape|substance abuse,http://www.imdb.com/title/tt4178092/?ref_=fn_tt_tt_1,English,USA,R,5000000,562,7.1,15000
Eugenio Derbez,41,115,399,83,44456509,Comedy|Drama,Instructions Not Included ,688,Hugo Stiglitz,1,father daughter relationship,http://www.imdb.com/title/tt2378281/?ref_=fn_tt_tt_1,Spanish,Mexico,PG-13,5000000,89,7.6,14000
Henry Joost,248,96,24,113,53884821,Horror,Paranormal Activity 4 ,799,Alisha Boe,0,boy in a bathtub|demon|laptop computer|pulled underwater|walking in the dark,http://www.imdb.com/title/tt2109184/?ref_=fn_tt_tt_1,English,USA,R,5000000,119,4.6,26000
Henry Koster,42,135,28,275,36000000,Drama|History,The Robe ,1920,Victor Mature,1,box office hit|crucifixion|nightmare|palestine|robe,http://www.imdb.com/title/tt0046247/?ref_=fn_tt_tt_1,English,USA,Unrated,5000000,422,6.8,0
Blake Edwards,33,113,688,80,,Comedy|Crime|Mystery,The Return of the Pink Panther ,971,Catherine Schell,0,clouseau|diamond|panther|pink|pink panther,http://www.imdb.com/title/tt0072081/?ref_=fn_tt_tt_1,English,UK,G,5000000,278,7.1,620
Rachel Talalay,91,93,54,581,34872293,Comedy|Fantasy|Horror|Thriller,Freddy's Dead: The Final Nightmare ,42002,Yaphet Kotto,0,dark comedy|dream|freddy krueger|nightmare|serial murder,http://www.imdb.com/title/tt0101917/?ref_=fn_tt_tt_1,English,USA,R,8500000,618,4.9,963
Patty Jenkins,185,109,260,592,34468224,Biography|Crime|Drama|Thriller,Monster ,11736,Pruitt Taylor Vince,2,beach|female criminal|hooker|lesbian|prostitute,http://www.imdb.com/title/tt0340855/?ref_=fn_tt_tt_1,English,USA,R,4500000,844,7.3,0
Richard Fleischer,69,127,130,51,,Adventure|Drama|Family|Fantasy|Sci-Fi,"20,000 Leagues Under the Sea ",799,Paul Lukas,0,captain|expedition|sea|submarine|whale,http://www.imdb.com/title/tt0046672/?ref_=fn_tt_tt_1,English,USA,Approved,5000000,53,7.2,0
Christopher Landon,220,101,52,332,32453345,Fantasy|Horror|Thriller,Paranormal Activity: The Marked Ones ,2161,Molly Ephraim,0,apartment|blood|demonic possession|neighbor|pentagram,http://www.imdb.com/title/tt2473682/?ref_=fn_tt_tt_1,English,USA,R,5000000,358,5.0,10000
David Lynch,117,124,0,452,,Biography|Drama,The Elephant Man ,13864,Dexter Fletcher,1,curiosity|exploitation|freak|hospital|physical deformity,http://www.imdb.com/title/tt0080678/?ref_=fn_tt_tt_1,English,USA,PG,5000000,754,8.2,9000
Jean-Marc Vallée,471,117,212,896,27296514,Biography|Drama,Dallas Buyers Club ,17738,Denis O'Hare,0,drugs|fda|gay community|hiv|homophobia,http://www.imdb.com/title/tt0790636/?ref_=fn_tt_tt_1,English,USA,R,5000000,3000,8.0,65000
David Gelb,152,83,26,801,25799043,Horror|Sci-Fi|Thriller,The Lazarus Effect ,11771,Donald Glover,0,electrocuted|experiment|hell|serum|university,http://www.imdb.com/title/tt2918436/?ref_=fn_tt_tt_1,English,USA,PG-13,3300000,830,5.2,0
Christopher Nolan,274,113,22000,379,25530884,Mystery|Thriller,Memento ,1997,Jorja Fox,0,flashback|memory|murder|short term memory|telephone,http://www.imdb.com/title/tt0209144/?ref_=fn_tt_tt_1,English,USA,R,9000000,651,8.5,40000
Mike Flanagan,336,104,59,202,27689474,Horror|Mystery,Oculus ,2071,Garrett Ryan,0,home office|mirror|released from a mental hospital|trauma|video camera,http://www.imdb.com/title/tt2388715/?ref_=fn_tt_tt_1,English,USA,R,5000000,407,6.5,23000
Kevin Smith,174,97,0,657,24138847,Comedy,Clerks II ,2990,Brian O'Halloran,3,fast food|fast food restaurant|new jersey|quick stop|restaurant,http://www.imdb.com/title/tt0424345/?ref_=fn_tt_tt_1,English,USA,R,5000000,898,7.4,0
Stephen Daldry,151,110,335,34,21994911,Drama|Music,Billy Elliot ,1122,Jamie Draven,0,audition|ballet|boxing|miner|miners strike,http://www.imdb.com/title/tt0249462/?ref_=fn_tt_tt_1,English,UK,R,5000000,203,7.7,0
Nat Faxon,276,103,214,424,21501098,Comedy|Drama,The Way Way Back ,8375,Jim Rash,1,awkward boy|shy kid|summer|vacation|water park,http://www.imdb.com/title/tt1727388/?ref_=fn_tt_tt_1,English,USA,PG-13,5000000,468,7.4,22000
George Jackson,12,94,0,287,19281235,Comedy|Drama|Music|Romance,House Party 2 ,2523,Helen Martin,0,college|misogyny|money|new friend|party,http://www.imdb.com/title/tt0102065/?ref_=fn_tt_tt_1,English,USA,R,5000000,413,5.1,232
George Miller,18,102,18,75,,Adventure|Drama|Family|Romance|Western,The Man from Snowy River ,854,Tom Burlinson,0,australia|brumby|ranch|stallion|twin,http://www.imdb.com/title/tt0084296/?ref_=fn_tt_tt_1,English,Australia,PG,3500000,155,7.3,0
Maurice Joyce,28,77,0,73,19421271,Animation|Comedy|Family,Doug's 1st Movie ,2908,Alice Playten,1,dance|friend|monster|reference to batman|valentine,http://www.imdb.com/title/tt0187819/?ref_=fn_tt_tt_1,English,USA,G,5000000,804,5.0,122
Robert Duvall,95,134,3000,77,20733485,Drama,The Apostle ,428,June Carter Cash,1,church|louisiana|minister|preacher|texas,http://www.imdb.com/title/tt0118632/?ref_=fn_tt_tt_1,English,USA,PG-13,5000000,130,7.2,1000
Frank Perry,74,129,24,157,,Biography|Drama,Mommie Dearest ,2014,Diana Scarwid,1,abusive mother|adopted daughter|borderline personality disorder|perfection|sadistic cruelty,http://www.imdb.com/title/tt0082766/?ref_=fn_tt_tt_1,English,USA,R,5000000,485,6.7,0
Jesse Peretz,179,90,37,1000,24809547,Comedy|Drama,Our Idiot Brother ,15710,Steve Coogan,1,art model|farmer|jail|nude model|three sisters,http://www.imdb.com/title/tt1637706/?ref_=fn_tt_tt_1,English,USA,R,5000000,3000,6.4,11000
Stephen Hopkins,125,134,81,388,19097994,Biography|Drama|Sport,Race ,2410,David Kross,0,1930s|athlete|nazi germany|olympics|track and field,http://www.imdb.com/title/tt3499096/?ref_=fn_tt_tt_1,English,Canada,PG-13,,845,7.1,0
Ice Cube,22,104,0,498,23031390,Comedy|Drama,The Players Club ,2868,Chrystale Wilson,9,catfight|dominatrix|rape|spanking|stripper,http://www.imdb.com/title/tt0119905/?ref_=fn_tt_tt_1,English,USA,R,4500000,597,5.6,575
Tim Blake Nelson,92,95,596,697,16017403,Drama|Romance|Thriller,O ,3300,John Heard,2,basketball|basketball player|boarding school|love|shakespeare's othello,http://www.imdb.com/title/tt0184791/?ref_=fn_tt_tt_1,English,USA,R,5000000,835,6.2,0
John Erick Dowdle,196,93,66,161,21197315,Horror|Mystery|Thriller,"As Above, So Below ",1410,Perdita Weeks,0,archeologist|catacomb|found footage|paris france|philosopher's stone,http://www.imdb.com/title/tt2870612/?ref_=fn_tt_tt_1,English,USA,R,5000000,200,6.1,14000
Bille Woodruff,9,106,23,467,17382982,Drama|Thriller,Addicted ,2840,Sharon Leal,0,adultery|attraction|lust|obsession|temptation,http://www.imdb.com/title/tt2205401/?ref_=fn_tt_tt_1,Spanish,USA,R,5000000,694,5.2,0
Kasi Lemmons,31,109,148,426,14821531,Drama,Eve's Bayou ,3843,Diahann Carroll,2,doctor|louisiana|secret|title directed by female|witchcraft,http://www.imdb.com/title/tt0119080/?ref_=fn_tt_tt_1,English,USA,R,6000000,434,7.3,599
Richard Glatzer,309,101,25,423,18656400,Drama,Still Alice ,19673,Seth Gilliam,1,alzheimer's disease|bechdel test passed|linguistics professor|new york city|reference to angels in america the play,http://www.imdb.com/title/tt3316960/?ref_=fn_tt_tt_1,English,USA,PG-13,5000000,2000,7.5,45000
Michael Curtiz,15,139,345,422,,Drama|History,The Egyptian ,2112,Jean Simmons,0,afterlife|egypt|pharaoh|princess|pyramid,http://www.imdb.com/title/tt0046949/?ref_=fn_tt_tt_1,English,USA,Approved,5000000,440,6.6,376
Bruce Malmuth,36,99,6,142,,Action|Crime|Thriller,Nighthawks ,14306,Persis Khambatta,2,bomb|new york city|partner|shooting|terrorist,http://www.imdb.com/title/tt0082817/?ref_=fn_tt_tt_1,English,USA,R,5000000,970,6.4,0
Rob Hedden,129,100,6,65,14343976,Adventure|Horror,Friday the 13th Part VIII: Jason Takes Manhattan ,1327,Scott Reeves,0,cult film|friday the thirteenth|hockey mask|jason voorhees|murder spree,http://www.imdb.com/title/tt0097388/?ref_=fn_tt_tt_1,English,USA,R,5000000,120,4.5,1000
Joel Zwick,168,95,38,249,241437427,Comedy|Family|Romance,My Big Fat Greek Wedding ,1495,Lainie Kazan,3,baptism|greek|greek restaurant|prejudice|travel agency,http://www.imdb.com/title/tt0259446/?ref_=fn_tt_tt_1,English,USA,PG,5000000,312,6.6,5000
Harmony Korine,444,94,520,192,14123773,Crime|Drama,Spring Breakers ,12306,Rachel Korine,4,kissing a dead body|repeated dialogue|sex in pool|spring break|twins,http://www.imdb.com/title/tt2101441/?ref_=fn_tt_tt_1,English,USA,R,5000000,892,5.3,25000
Joe Chappelle,123,93,13,141,15126948,Horror|Thriller,Halloween: The Curse of Michael Myers ,1227,Mitchell Ryan,0,halloween|michael myers|nudity|returning character with different actor|slasher flick,http://www.imdb.com/title/tt0113253/?ref_=fn_tt_tt_1,English,USA,R,5000000,152,4.9,0
Alfonso Cuarón,173,106,0,19,13622333,Adventure|Comedy|Drama|Romance,Y Tu Mamá También ,361,María Aura,1,beach|cleaning a swimming pool|male male kiss|mexico|on the road,http://www.imdb.com/title/tt0245574/?ref_=fn_tt_tt_1,Spanish,Mexico,R,2000000,43,7.7,0
Edgar Wright,246,99,1000,358,13464388,Comedy|Horror,Shaun of the Dead ,1686,Rafe Spall,6,british horror|pub|record collection|zombie|zombie apocalypse,http://www.imdb.com/title/tt0365748/?ref_=fn_tt_tt_1,English,UK,R,4000000,427,8.0,19000
Mickey Liddell,74,82,7,664,13350177,Drama|Horror|Thriller,The Haunting of Molly Hartley ,4856,Haley Bennett,5,18th birthday|birthday|community center|resurrection|teenager,http://www.imdb.com/title/tt1045655/?ref_=fn_tt_tt_1,English,USA,PG-13,5000000,984,3.8,562
John Sayles,68,135,407,111,13269963,Drama|Mystery,Lone Star ,11400,Miriam Colon,2,father son relationship|interracial relationship|neo western|sheriff|texas,http://www.imdb.com/title/tt0116905/?ref_=fn_tt_tt_1,English,USA,R,5000000,189,7.6,0
Dwight H. Little,144,88,27,101,17768000,Horror|Thriller,Halloween 4: The Return of Michael Myers ,1136,Ellie Cornell,0,halloween|michael myers|murder|niece|october,http://www.imdb.com/title/tt0095271/?ref_=fn_tt_tt_1,English,USA,R,5000000,120,5.9,0
Fred Walton,96,89,17,85,12947763,Horror|Mystery,April Fool's Day ,1160,Clayton Rohner,0,april fool's day|island|mansion|psycho|secret,http://www.imdb.com/title/tt0090655/?ref_=fn_tt_tt_1,English,USA,R,5000000,190,6.2,0
Barry Levinson,42,110,272,551,14100000,Comedy|Drama,Diner ,2943,Ellen Barkin,6,baltimore colts|diner|marriage|salesman|wedding,http://www.imdb.com/title/tt0083833/?ref_=fn_tt_tt_1,English,USA,R,5000000,796,7.2,0
Steve Carver,29,107,8,268,12200000,Action|Crime|Drama|Thriller|Western,Lone Wolf McQuade ,2383,Robert Beltran,0,drugs|martial arts|texas|texas ranger|weapon,http://www.imdb.com/title/tt0085862/?ref_=fn_tt_tt_1,English,USA,PG,5000000,400,6.3,0
Gonzalo López-Gallego,228,86,17,205,17683670,Horror|Mystery|Sci-Fi|Thriller,Apollo 18 ,1520,Andrew Airlie,0,cosmonaut|footprint|found footage|moon|secret mission,http://www.imdb.com/title/tt1772240/?ref_=fn_tt_tt_1,English,USA,PG-13,5000000,270,5.2,0
Christine Jeffs,195,91,19,260,12055108,Comedy|Drama,Sunshine Cleaning ,2528,Paul Dooley,0,business|crime scene cleanup|private school|school|sister sister relationship,http://www.imdb.com/title/tt0862846/?ref_=fn_tt_tt_1,English,USA,R,8000000,934,6.9,0
John Erick Dowdle,203,103,66,13,27285953,Action|Thriller,No Escape ,259,Sahajak Boonthanakit,0,asia|fictional country|hotel|rebellion|revolution,http://www.imdb.com/title/tt1781922/?ref_=fn_tt_tt_1,English,USA,R,5000000,78,6.8,16000
Don Coscarelli,44,90,152,826,,Action|Adventure|Fantasy,The Beastmaster ,23714,Rip Torn,0,breasts|critically acclaimed|female frontal nudity|psychotronic film|sword and sorcery,http://www.imdb.com/title/tt0083630/?ref_=fn_tt_tt_1,English,USA,PG,8000000,982,6.2,0
King Vidor,14,141,54,70,,Drama|History|Romance|War,Solomon and Sheba ,1332,Finlay Currie,2,king|pharaoh|queen|queen of sheba|tribe,http://www.imdb.com/title/tt0053290/?ref_=fn_tt_tt_1,English,USA,,5000000,333,6.2,270
Michael Tiddes,59,92,89,355,11675178,Comedy,Fifty Shades of Black ,2848,Russell Peters,4,color in title|parody|reference to cuba gooding jr|reference to netflix|written by star,http://www.imdb.com/title/tt4667094/?ref_=fn_tt_tt_1,English,USA,R,5000000,706,3.5,11000
Bill Duke,45,99,1000,409,10572742,Drama|Romance,Not Easily Broken ,2269,Wood Harris,1,african american protagonist|based on novel|title spoken by character,http://www.imdb.com/title/tt0795438/?ref_=fn_tt_tt_1,English,USA,PG-13,8000000,578,6.1,738
Frank Borzage,42,79,57,99,,Drama|Romance|War,A Farewell to Arms ,1284,Adolphe Menjou,1,1910s|ambulance driver|italy|lake|nurse,http://www.imdb.com/title/tt0022879/?ref_=fn_tt_tt_1,English,USA,Unrated,800000,164,6.6,213
Bille Woodruff,12,96,23,503,9658370,Comedy|Romance,The Perfect Match ,3552,Lauren London,6,,http://www.imdb.com/title/tt4871980/?ref_=fn_tt_tt_1,English,USA,R,5000000,509,4.5,740
Mamoru Hosoda,29,82,99,44,9628751,Action|Adventure|Animation|Family|Sci-Fi,Digimon: The Movie ,315,Mona Marshall,0,based on video game|box office hit|computer|digimon|internet,http://www.imdb.com/title/tt0259974/?ref_=fn_tt_tt_1,English,USA,PG,5000000,45,5.9,207
Brian Dannelly,121,92,12,797,8786715,Comedy|Drama,Saved! ,5668,Eva Amurri Martino,5,christian|jewish|pastor|school|virginity,http://www.imdb.com/title/tt0332375/?ref_=fn_tt_tt_1,English,USA,PG-13,5000000,835,6.9,0
Denys Arcand,135,112,66,21,3432342,Comedy|Crime|Drama|Mystery|Romance,The Barbarian Invasions ,253,Marina Hands,2,cancer|dying|friend|money|socialist,http://www.imdb.com/title/tt0338135/?ref_=fn_tt_tt_1,French,Canada,R,6000000,28,7.7,0
Richard Lester,27,106,44,136,,Adventure|Drama|Romance,Robin and Marian ,1199,Nicol Williamson,10,crusades|friar|robin hood|sheriff|sheriff of nottingham,http://www.imdb.com/title/tt0075147/?ref_=fn_tt_tt_1,English,USA,PG,5000000,249,6.6,672
J.S. Cardone,56,90,23,560,6755271,Horror|Thriller,The Forsaken ,3004,Izabella Miko,4,flashing breasts|hitchhiker|vampire|vampire hunter|virus,http://www.imdb.com/title/tt0245120/?ref_=fn_tt_tt_1,English,USA,R,5000000,591,5.3,327
Guy Hamilton,22,126,82,576,,Action|Drama|War,Force 10 from Navarone ,13591,Franco Nero,2,colonel|mission|partisan|spy|traitor,http://www.imdb.com/title/tt0077572/?ref_=fn_tt_tt_1,English,UK,PG,5000000,794,6.3,729
Jay Levey,59,150,3,448,6157157,Comedy|Drama,UHF ,3942,Michael Richards,1,gambling|imagination|television|television station|tv show,http://www.imdb.com/title/tt0098546/?ref_=fn_tt_tt_1,English,USA,PG-13,5000000,448,7.0,0
Nicholaus Goossen,61,90,4,556,6088249,Comedy,Grandma's Boy ,5202,Shirley Jones,0,co worker|game tester|loss of virginity|roommate|snack,http://www.imdb.com/title/tt0456554/?ref_=fn_tt_tt_1,English,USA,R,,936,7.0,0
Tamara Jenkins,60,91,84,572,5480318,Comedy|Drama,Slums of Beverly Hills ,2691,Jessica Walter,0,flatulence|menstrual blood|nomad|nursing school|title directed by female,http://www.imdb.com/title/tt0120831/?ref_=fn_tt_tt_1,English,USA,R,5000000,778,6.6,462
Sergio Leone,164,145,0,392,,Western,Once Upon a Time in the West ,2589,Jack Elam,1,gang|gun|harmonica|killing|woman in bathtub,http://www.imdb.com/title/tt0064116/?ref_=fn_tt_tt_1,English,Italy,PG-13,5000000,423,8.6,10000
Jon Favreau,81,95,4000,334,5308707,Comedy|Crime|Drama|Thriller,Made ,5245,Jonathan Silverman,2,friendship|loudmouth|money laundering|new york city|stripper,http://www.imdb.com/title/tt0227005/?ref_=fn_tt_tt_1,English,USA,R,5000000,585,6.4,393
Duncan Jones,415,97,0,372,5009677,Drama|Mystery|Sci-Fi,Moon ,19404,Benedict Wong,0,computer|contract|earth|moon|solitude,http://www.imdb.com/title/tt1182345/?ref_=fn_tt_tt_1,English,UK,R,5000000,572,7.9,47000
Scott Marshall,43,90,7,701,4328294,Comedy,Keeping Up with the Steins ,5900,Carter Jenkins,0,bar mitzvah|carried in a chair|hebrew|party|rite of passage,http://www.imdb.com/title/tt0415949/?ref_=fn_tt_tt_1,English,USA,PG-13,,847,5.4,249
Ronan Chapalain,7,41,0,0,4074023,Documentary,Sea Rex 3D: Journey to a Prehistoric World ,55,Chloe Hollings,0,3d|imax|plesiosaur|sea|water,http://www.imdb.com/title/tt1529567/?ref_=fn_tt_tt_1,English,UK,,5000000,0,6.9,89
Atom Egoyan,120,112,460,395,4306697,Drama,The Sweet Hereafter ,2820,Simon Baker,0,anger|bus|child|lawyer|school,http://www.imdb.com/title/tt0120255/?ref_=fn_tt_tt_1,English,Canada,R,5000000,900,7.7,920
Xavier Beauvois,195,122,22,32,3950029,Drama,Of Gods and Men ,416,Olivier Rabourdin,0,catholic church|community|monastery|monk|terrorist,http://www.imdb.com/title/tt1588337/?ref_=fn_tt_tt_1,French,France,PG-13,4000000,135,7.2,0
Randall Miller,109,110,19,39,4040588,Comedy|Drama,Bottle Shock ,25676,Greg Collins,0,airport|california|flat tire|overalls|wine,http://www.imdb.com/title/tt0914797/?ref_=fn_tt_tt_1,English,USA,PG-13,5000000,579,6.8,0
Jerry Belson,21,87,3,83,,Comedy|Music|Sci-Fi,Jekyll and Hyde... Together Again ,1324,Bess Armstrong,0,breasts growing|coors light|drugs|hospital|spinning in grave,http://www.imdb.com/title/tt0084171/?ref_=fn_tt_tt_1,English,USA,R,5000000,162,6.2,323
Peter Jackson,93,108,0,88,3049135,Biography|Crime|Drama|Romance|Thriller,Heavenly Creatures ,14574,Liz Mullane,2,fantasy life|friend|friendship|love|teenage crush,http://www.imdb.com/title/tt0110005/?ref_=fn_tt_tt_1,English,New Zealand,R,5000000,433,7.4,0
Michael Polish,12,121,35,473,4700361,Drama,90 Minutes in Heaven ,6617,Cynthia Barrett,0,heaven|hospital|praying|pronounced dead|recovery,http://www.imdb.com/title/tt4337690/?ref_=fn_tt_tt_1,English,USA,PG-13,5000000,849,4.6,0
Dan Rush,155,97,7,939,2711210,Comedy|Drama,Everything Must Go ,10517,Stephen Root,1,alcoholic|beer|bicycle|new neighbor|yard sale,http://www.imdb.com/title/tt1531663/?ref_=fn_tt_tt_1,English,USA,R,5000000,981,6.4,0
Jake Kasdan,81,116,52,102,1980338,Comedy|Crime|Drama|Mystery|Thriller,Zero Effect ,1209,Angela Featherstone,2,blackmail|client|private detective|private investigator|tycoon,http://www.imdb.com/title/tt0120906/?ref_=fn_tt_tt_1,English,USA,R,5000000,385,7.0,507
Brad Anderson,204,94,122,360,1082044,Drama|Thriller,The Machinist ,24994,Reg E. Cathey,0,alienation|conscience|insomnia|paranoia|urban gothic,http://www.imdb.com/title/tt0361862/?ref_=fn_tt_tt_1,English,Spain,R,5000000,1000,7.7,21000
Paul Schrader,19,103,261,145,1100000,Crime|Drama,Light Sleeper ,1201,David Clennon,0,bare breasts|drugs|existentialism|new york city|redemption,http://www.imdb.com/title/tt0102307/?ref_=fn_tt_tt_1,English,USA,R,5000000,280,6.8,247
Michael Cuesta,163,112,52,688,2445646,Biography|Crime|Drama|Mystery|Thriller,Kill the Messenger ,12897,Robert Pralgo,1,based on true story|cia|cocaine|journalist|smear campaign,http://www.imdb.com/title/tt1216491/?ref_=fn_tt_tt_1,English,USA,R,5000000,963,7.0,13000
John Cameron Mitchell,248,91,263,192,2221809,Drama,Rabbit Hole ,1582,Tammy Blanchard,0,car|comic book|comic book artist|iphone|memory,http://www.imdb.com/title/tt0935075/?ref_=fn_tt_tt_1,English,USA,PG-13,5000000,289,7.0,0
Fenton Bailey,39,98,13,600,296665,Biography|Crime|Drama|Thriller,Party Monster ,5185,Marilyn Manson,1,drug dealer|drugs|gay|homosexual|party,http://www.imdb.com/title/tt0320244/?ref_=fn_tt_tt_1,English,USA,R,5000000,971,6.3,0
Jeremy Saulnier,322,95,57,233,3219029,Crime|Horror|Music|Thriller,Green Room ,1836,Joe Cole,0,murder|neo nazi|punk band|skinhead|suspense,http://www.imdb.com/title/tt4062536/?ref_=fn_tt_tt_1,English,USA,R,5000000,442,7.1,10000
Billy Kent,50,88,0,276,,Comedy|Drama|Romance,The Oh in Ohio ,1665,Winter Ave Zoli,0,marriage|orgasm|school|sex|swimming,http://www.imdb.com/title/tt0422861/?ref_=fn_tt_tt_1,English,USA,R,5000000,625,5.6,255
James Manera,12,99,0,361,830210,Drama|Mystery|Sci-Fi,Atlas Shrugged: Who Is John Galt? ,3382,Kristoffer Polaha,0,box office flop|critically bashed|economy|individual versus society|rescue,http://www.imdb.com/title/tt2800038/?ref_=fn_tt_tt_1,English,USA,PG-13,5000000,435,4.4,0
Wes Anderson,83,91,0,65,1040879,Comedy|Crime|Drama,Bottle Rocket ,648,Lumi Cavazos,0,caper|escapade|motel|robbery|texas,http://www.imdb.com/title/tt0115734/?ref_=fn_tt_tt_1,English,USA,R,7000000,96,7.1,0
Kevin Spacey,37,97,18000,977,326308,Crime|Drama|Thriller,Albino Alligator ,13718,Faye Dunaway,3,bar|box office flop|hostage|new orleans louisiana|police,http://www.imdb.com/title/tt0115495/?ref_=fn_tt_tt_1,English,USA,R,5000000,1000,6.1,225
Feroz Abbas Khan,16,136,0,14,240425,Biography|Drama|History,"Gandhi, My Father ",172,Darshan Jariwala,0,africa|hindu|india|muslim|south africa,http://www.imdb.com/title/tt0459293/?ref_=fn_tt_tt_1,Hindi,India,,,45,7.4,133
Errol Morris,121,118,239,0,228830,Crime|Documentary|War,Standard Operating Procedure ,6,Ken Davis,0,abu ghraib|abuse|prison|slow motion|torture,http://www.imdb.com/title/tt0896866/?ref_=fn_tt_tt_1,English,USA,R,,0,7.5,489
Dennis Hopper,24,94,0,51,,Drama,Out of the Blue ,498,Jim Byrnes,1,explosion|hitchhiking|punk|trauma|truck driver,http://www.imdb.com/title/tt0081291/?ref_=fn_tt_tt_1,English,Canada,R,2200000,59,7.2,274
Eli Craig,324,89,27,440,223615,Comedy|Horror,Tucker and Dale vs Evil ,2958,Chelan Simmons,1,cabin|chainsaw|college kid|hillbilly|vacation,http://www.imdb.com/title/tt1465522/?ref_=fn_tt_tt_1,English,Canada,R,,779,7.6,49000
Nicholas Fackler,27,90,6,940,124720,Drama|Romance,"Lovely, Still ",4987,Martin Landau,0,christmas|fable|old man,http://www.imdb.com/title/tt1150947/?ref_=fn_tt_tt_1,English,USA,PG,5000000,1000,7.3,777
Richard Wallace,9,95,5,100,,Adventure|Drama|Romance,Tycoon ,538,Laraine Day,1,engineer|ethics|mountain|railroad|south america,http://www.imdb.com/title/tt0039927/?ref_=fn_tt_tt_1,English,USA,Approved,3209000,116,6.2,44
Morgan J. Freeman,31,90,204,697,99147,Drama,Desert Blue ,3207,Sara Gilbert,3,cola|desert|ice cream cone|teenage girl|vomiting,http://www.imdb.com/title/tt0126261/?ref_=fn_tt_tt_1,English,USA,R,2000000,697,6.2,69
Matthew Hastings,35,95,3,383,,Comedy|Horror|Sci-Fi,Decoys ,2984,Corey Sevier,0,breasts|campus|college|tentacle|virginity,http://www.imdb.com/title/tt0357585/?ref_=fn_tt_tt_1,English,Canada,R,5000000,680,4.6,174
M. Night Shyamalan,371,94,0,99,65069140,Horror|Thriller,The Visit ,1010,Olivia DeJonge,,farm|handheld camera|impostor|rap|rock paper scissors,http://www.imdb.com/title/tt3567288/?ref_=fn_tt_tt_1,English,USA,PG-13,5000000,309,6.2,27000
Brian De Palma,133,90,0,15,65087,Crime|Thriller|War,Redacted ,408,Kel O'Neill,0,blood splatter|iraq|murder|rape|soldier,http://www.imdb.com/title/tt0937237/?ref_=fn_tt_tt_1,English,USA,R,5000000,29,6.2,559
Klaus Menzel,13,103,34,227,16066,Mystery|Romance|Thriller,Fascination ,1789,Alice Evans,0,death|love|marriage|secret|suspicion,http://www.imdb.com/title/tt0305632/?ref_=fn_tt_tt_1,English,Germany,R,5000000,522,3.3,40
