actor_2_name,actor_1_name,movie_title,actor_3_name,facenumber_in_poster,movie_imdb_link
Wanda Sykes,Anne Hathaway,Rio ,Will.i.am,0,http://www.imdb.com/title/tt1436562/?ref_=fn_tt_tt_1
Oliver Platt,Robin Williams,Bicentennial Man ,John Michael Higgins,0,http://www.imdb.com/title/tt0182789/?ref_=fn_tt_tt_1
Anne Heche,Don Cheadle,Volcano ,Gaby Hoffmann,0,http://www.imdb.com/title/tt0120461/?ref_=fn_tt_tt_1
Brad Pitt,Harrison Ford,The Devil's Own ,Natascha McElhone,0,http://www.imdb.com/title/tt0118972/?ref_=fn_tt_tt_1
Christian Camargo,Liam Neeson,K-19: The Widowmaker ,Lex Shrapnel,1,http://www.imdb.com/title/tt0267626/?ref_=fn_tt_tt_1
Reg E. Cathey,Tim Blake Nelson,Fantastic Four ,Tim Heidecker,3,http://www.imdb.com/title/tt1502712/?ref_=fn_tt_tt_1
Mako,William Smith,Conan the Barbarian ,Sandahl Bergman,0,http://www.imdb.com/title/tt0082198/?ref_=fn_tt_tt_1
Bruce McGill,Paddy Considine,Cinderella Man ,Rosemarie DeWitt,0,http://www.imdb.com/title/tt0352248/?ref_=fn_tt_tt_1
Nathan Lane,Shirley Henderson,The Nutcracker in 3D ,Richard E. Grant,0,http://www.imdb.com/title/tt1041804/?ref_=fn_tt_tt_1
Michael Angarano,Jeff Bridges,Seabiscuit ,Michael O'Neill,0,http://www.imdb.com/title/tt0329575/?ref_=fn_tt_tt_1
Alan Ruck,Philip Seymour Hoffman,Twister ,Jami Gertz,0,http://www.imdb.com/title/tt0117998/?ref_=fn_tt_tt_1
Vin Diesel,Paul Walker,The Fast and the Furious ,Jordana Brewster,2,http://www.imdb.com/title/tt0232500/?ref_=fn_tt_tt_1
Paul Sanchez,Tom Hanks,Cast Away ,Nick Searcy,1,http://www.imdb.com/title/tt0162222/?ref_=fn_tt_tt_1
Hugh Jackman,Robin Williams,Happy Feet ,Elizabeth Daily,0,http://www.imdb.com/title/tt0366548/?ref_=fn_tt_tt_1
Joan Allen,Matt Damon,The Bourne Supremacy ,Oksana Akinshina,1,http://www.imdb.com/title/tt0372183/?ref_=fn_tt_tt_1
Gary Oldman,Harrison Ford,Air Force One ,Dean Stockwell,1,http://www.imdb.com/title/tt0118571/?ref_=fn_tt_tt_1
Bernie Mac,Brad Pitt,Ocean's Eleven ,Elliott Gould,4,http://www.imdb.com/title/tt0240772/?ref_=fn_tt_tt_1
Logan Lerman,Milla Jovovich,The Three Musketeers ,Orlando Bloom,8,http://www.imdb.com/title/tt1509767/?ref_=fn_tt_tt_1
Adam Sandler,Steve Buscemi,Hotel Transylvania ,Jon Lovitz,2,http://www.imdb.com/title/tt0837562/?ref_=fn_tt_tt_1
Teala Dunn,Jeff Bennett,Enchanted ,Fred Tatasciore,2,http://www.imdb.com/title/tt0461770/?ref_=fn_tt_tt_1
Scott Thompson,Caroline Dhavernas,Hannibal             ,Hettienne Park,1,http://www.imdb.com/title/tt2243973/?ref_=fn_tt_tt_1
Ryan Reynolds,Denzel Washington,Safe House ,Sam Shepard,1,http://www.imdb.com/title/tt1599348/?ref_=fn_tt_tt_1
Eric Idle,Ioan Gruffudd,102 Dalmatians ,Jim Carter,1,http://www.imdb.com/title/tt0211181/?ref_=fn_tt_tt_1
Gabourey Sidibe,Matthew Broderick,Tower Heist ,Judd Hirsch,5,http://www.imdb.com/title/tt0471042/?ref_=fn_tt_tt_1
Rufus Sewell,Kate Winslet,The Holiday ,Sarah Parish,3,http://www.imdb.com/title/tt0457939/?ref_=fn_tt_tt_1
Jake Busey,Will Smith,Enemy of the State ,Lisa Bonet,4,http://www.imdb.com/title/tt0120660/?ref_=fn_tt_tt_1
Hunter Parrish,Meryl Streep,It's Complicated ,Zoe Kazan,2,http://www.imdb.com/title/tt1230414/?ref_=fn_tt_tt_1
Matt Damon,Al Pacino,Ocean's Thirteen ,Brad Pitt,3,http://www.imdb.com/title/tt0496806/?ref_=fn_tt_tt_1
Debra Messing,Jon Favreau,Open Season ,Jane Krakowski,1,http://www.imdb.com/title/tt0400717/?ref_=fn_tt_tt_1
Theo James,Kate Winslet,Divergent ,Mekhi Phifer,2,http://www.imdb.com/title/tt1840309/?ref_=fn_tt_tt_1
Gabriel Thomson,Bob Hoskins,Enemy at the Gates ,Clemens Schick,1,http://www.imdb.com/title/tt0215750/?ref_=fn_tt_tt_1
Rosario Dawson,Dwayne Johnson,The Rundown ,Ewen Bremner,1,http://www.imdb.com/title/tt0327850/?ref_=fn_tt_tt_1
Tom Noonan,F. Murray Abraham,Last Action Hero ,Joan Plowright,1,http://www.imdb.com/title/tt0107362/?ref_=fn_tt_tt_1
Mako,Li Gong,Memoirs of a Geisha ,Karl Yune,1,http://www.imdb.com/title/tt0397535/?ref_=fn_tt_tt_1
Zachery Ty Bryan,Amber Stevens West,The Fast and the Furious: Tokyo Drift ,Nikki Griffin,5,http://www.imdb.com/title/tt0463985/?ref_=fn_tt_tt_1
Imelda Staunton,Jim Broadbent,Arthur Christmas ,Michael Palin,1,http://www.imdb.com/title/tt1430607/?ref_=fn_tt_tt_1
Brad Pitt,Anthony Hopkins,Meet Joe Black ,Jake Weber,0,http://www.imdb.com/title/tt0119643/?ref_=fn_tt_tt_1
Rick Worthy,Raymond Cruz,Collateral Damage ,Jsu Garcia,1,http://www.imdb.com/title/tt0233469/?ref_=fn_tt_tt_1
Ben Vereen,Roy Scheider,All That Jazz ,Max Wright,0,http://www.imdb.com/title/tt0078754/?ref_=fn_tt_tt_1
Nathan Lane,Julia Roberts,Mirror Mirror ,Danny Woodburn,1,http://www.imdb.com/title/tt1667353/?ref_=fn_tt_tt_1
Kieran Culkin,Anna Kendrick,Scott Pilgrim vs. the World ,Ellen Wong,0,http://www.imdb.com/title/tt0446029/?ref_=fn_tt_tt_1
Tchéky Karyo,Glenn Morshower,The Core ,Rekha Sharma,0,http://www.imdb.com/title/tt0298814/?ref_=fn_tt_tt_1
Janet Jackson,Larry Miller,Nutty Professor II: The Klumps ,Chris Elliott,1,http://www.imdb.com/title/tt0144528/?ref_=fn_tt_tt_1
Linda Cardellini,Sarah Michelle Gellar,Scooby-Doo ,Miguel A. Núñez Jr.,3,http://www.imdb.com/title/tt0267913/?ref_=fn_tt_tt_1
Jason Cope,Wood Harris,Dredd ,Rakie Ayola,0,http://www.imdb.com/title/tt1343727/?ref_=fn_tt_tt_1
Cameron Monaghan,Adam Sandler,Click ,Julie Kavner,1,http://www.imdb.com/title/tt0389860/?ref_=fn_tt_tt_1
Hal Holbrook,Ted Danson,Creepshow ,Adrienne Barbeau,0,http://www.imdb.com/title/tt0083767/?ref_=fn_tt_tt_1
Sean Hayes,Jack McBrayer,Cats & Dogs: The Revenge of Kitty Galore ,Katt Williams,0,http://www.imdb.com/title/tt1287468/?ref_=fn_tt_tt_1
Hayden Christensen,Kristen Stewart,Jumper ,Tom Hulce,0,http://www.imdb.com/title/tt0489099/?ref_=fn_tt_tt_1
Iván Kamarás,Seth MacFarlane,Hellboy II: The Golden Army ,Brian Steele,0,http://www.imdb.com/title/tt0411477/?ref_=fn_tt_tt_1
Jake Gyllenhaal,Robert Downey Jr.,Zodiac ,Anthony Edwards,0,http://www.imdb.com/title/tt0443706/?ref_=fn_tt_tt_1
Michael Rapaport,Robert Duvall,The 6th Day ,Tony Goldwyn,1,http://www.imdb.com/title/tt0216216/?ref_=fn_tt_tt_1
Steve Carell,Morgan Freeman,Bruce Almighty ,Lisa Ann Walter,1,http://www.imdb.com/title/tt0315327/?ref_=fn_tt_tt_1
Sylvester Stallone,Jason Statham,The Expendables ,Jet Li,9,http://www.imdb.com/title/tt1320253/?ref_=fn_tt_tt_1
Kristin Scott Thomas,Tom Cruise,Mission: Impossible ,Vanessa Redgrave,0,http://www.imdb.com/title/tt0117060/?ref_=fn_tt_tt_1
Josh Hutcherson,Jennifer Lawrence,The Hunger Games ,Anthony Reynolds,0,http://www.imdb.com/title/tt1392170/?ref_=fn_tt_tt_1
Mason Lee,Bradley Cooper,The Hangover Part II ,Mike Tyson,0,http://www.imdb.com/title/tt1411697/?ref_=fn_tt_tt_1
Vincent Schiavelli,Michael Gough,Batman Returns ,Andrew Bryniarski,0,http://www.imdb.com/title/tt0103776/?ref_=fn_tt_tt_1
Steve Carell,Bruce Willis,Over the Hedge ,Catherine O'Hara,1,http://www.imdb.com/title/tt0327084/?ref_=fn_tt_tt_1
Jason Scott Lee,Tia Carrere,Lilo & Stitch ,David Ogden Stiers,0,http://www.imdb.com/title/tt0275847/?ref_=fn_tt_tt_1
Julia Roberts,Steve Buscemi,Charlotte's Web ,Oprah Winfrey,0,http://www.imdb.com/title/tt0413895/?ref_=fn_tt_tt_1
Jon Favreau,Morgan Freeman,Deep Impact ,Robert Duvall,0,http://www.imdb.com/title/tt0120647/?ref_=fn_tt_tt_1
Anthony Hopkins,Bruce Willis,RED 2 ,Garrick Hagon,7,http://www.imdb.com/title/tt1821694/?ref_=fn_tt_tt_1
Steve Reevis,Adam Sandler,The Longest Yard ,Dalip Singh,11,http://www.imdb.com/title/tt0398165/?ref_=fn_tt_tt_1
Jesse McCartney,Amy Poehler,Alvin and the Chipmunks: Chipwrecked ,Lauren Gottlieb,0,http://www.imdb.com/title/tt1615918/?ref_=fn_tt_tt_1
Adam Sandler,Steve Buscemi,Grown Ups 2 ,Jon Lovitz,4,http://www.imdb.com/title/tt2191701/?ref_=fn_tt_tt_1
Dwayne Johnson,Bill Murray,Get Smart ,Anne Hathaway,1,http://www.imdb.com/title/tt0425061/?ref_=fn_tt_tt_1
Jon Favreau,Keanu Reeves,Something's Gotta Give ,Paul Michael Glaser,1,http://www.imdb.com/title/tt0337741/?ref_=fn_tt_tt_1
Joseph Sikora,Leonardo DiCaprio,Shutter Island ,Nellie Sciutto,0,http://www.imdb.com/title/tt1130884/?ref_=fn_tt_tt_1
Robert Duvall,Jon Favreau,Four Christmases ,Katy Mixon,2,http://www.imdb.com/title/tt0369436/?ref_=fn_tt_tt_1
Drew Carey,Jim Broadbent,Robots ,Paula Abdul,1,http://www.imdb.com/title/tt0358082/?ref_=fn_tt_tt_1
CCH Pounder,Nicolas Cage,Face/Off ,Joan Allen,0,http://www.imdb.com/title/tt0119094/?ref_=fn_tt_tt_1
Carmen Electra,Adam Sandler,Bedtime Stories ,Kathryn Joosten,0,http://www.imdb.com/title/tt0960731/?ref_=fn_tt_tt_1
Jennifer Jason Leigh,Tom Hanks,Road to Perdition ,Liam Aiken,0,http://www.imdb.com/title/tt0257044/?ref_=fn_tt_tt_1
Bailee Madison,Adam Sandler,Just Go with It ,Kevin Nealon,1,http://www.imdb.com/title/tt1564367/?ref_=fn_tt_tt_1
Royce Johnson,Elden Henson,Daredevil             ,Charlie Cox,0,http://www.imdb.com/title/tt3322312/?ref_=fn_tt_tt_1
Monica Potter,Steve Buscemi,Con Air ,Dave Chappelle,6,http://www.imdb.com/title/tt0118880/?ref_=fn_tt_tt_1
Ethan Embry,Rosario Dawson,Eagle Eye ,Cameron Boyce,3,http://www.imdb.com/title/tt1059786/?ref_=fn_tt_tt_1
Natalie Portman,Philip Seymour Hoffman,Cold Mountain ,Charlie Hunnam,3,http://www.imdb.com/title/tt0159365/?ref_=fn_tt_tt_1
Mila Kunis,Denzel Washington,The Book of Eli ,Gary Oldman,0,http://www.imdb.com/title/tt1037705/?ref_=fn_tt_tt_1
Jodi Benson,Robin Williams,Flubber ,Sam Lloyd,1,http://www.imdb.com/title/tt0119137/?ref_=fn_tt_tt_1
Lili Taylor,Liam Neeson,The Haunting ,Virginia Madsen,0,http://www.imdb.com/title/tt0171363/?ref_=fn_tt_tt_1
Wayne Knight,Bill Murray,Space Jam ,Michael Jordan,1,http://www.imdb.com/title/tt0117705/?ref_=fn_tt_tt_1
Henry Czerny,Roger Rees,The Pink Panther ,William Abadie,0,http://www.imdb.com/title/tt0383216/?ref_=fn_tt_tt_1
Jon Hamm,Keanu Reeves,The Day the Earth Stood Still ,Juan Riedinger,0,http://www.imdb.com/title/tt0970416/?ref_=fn_tt_tt_1
Alex McArthur,Julia Roberts,Conspiracy Theory ,Michael Potts,1,http://www.imdb.com/title/tt0118883/?ref_=fn_tt_tt_1
Logan Lerman,Brad Pitt,Fury ,Jim Parrack,4,http://www.imdb.com/title/tt2713180/?ref_=fn_tt_tt_1
Anne Heche,Harrison Ford,Six Days Seven Nights ,Amy Sedaris,2,http://www.imdb.com/title/tt0120828/?ref_=fn_tt_tt_1
Tom Cavanagh,Justin Timberlake,Yogi Bear ,Josh Robert Thompson,0,http://www.imdb.com/title/tt1302067/?ref_=fn_tt_tt_1
Charles Napier,Matt Damon,Spirit: Stallion of the Cimarron ,Zahn McClarnon,0,http://www.imdb.com/title/tt0166813/?ref_=fn_tt_tt_1
Leslie Bibb,Rosario Dawson,Zookeeper ,Nicholas Turturro,1,http://www.imdb.com/title/tt1222817/?ref_=fn_tt_tt_1
William Hurt,Gary Oldman,Lost in Space ,June Lockhart,0,http://www.imdb.com/title/tt0120738/?ref_=fn_tt_tt_1
Dorian Missick,Denzel Washington,The Manchurian Candidate ,Jose Pablo Cantillo,1,http://www.imdb.com/title/tt0368008/?ref_=fn_tt_tt_1
Stephen Dillane,Vanessa Redgrave,Déjà Vu ,Michael Brandon,0,http://www.imdb.com/title/tt0119033/?ref_=fn_tt_tt_1
Adam Sandler,Steve Buscemi,Hotel Transylvania 2 ,Fran Drescher,0,http://www.imdb.com/title/tt2510894/?ref_=fn_tt_tt_1
Agnes Moorehead,Elizabeth Montgomery,Bewitched             ,Dick York,1,http://www.imdb.com/title/tt0057733/?ref_=fn_tt_tt_1
Penn Jillette,Quincy Jones,Fantasia 2000 ,Russi Taylor,0,http://www.imdb.com/title/tt0120910/?ref_=fn_tt_tt_1
Alan Young,Mark Addy,The Time Machine ,Josh Stamberg,0,http://www.imdb.com/title/tt0268695/?ref_=fn_tt_tt_1
Mika Boorem,Charlize Theron,Mighty Joe Young ,David Paymer,0,http://www.imdb.com/title/tt0120751/?ref_=fn_tt_tt_1
Don Cheadle,Hugh Jackman,Swordfish ,Sam Shepard,4,http://www.imdb.com/title/tt0244244/?ref_=fn_tt_tt_1
Nick Chinlund,Michael Emerson,The Legend of Zorro ,Adrian Alonso,1,http://www.imdb.com/title/tt0386140/?ref_=fn_tt_tt_1
Annabella Sciorra,Robin Williams,What Dreams May Come ,Rosalind Chao,1,http://www.imdb.com/title/tt0120889/?ref_=fn_tt_tt_1
Jon Lovitz,Adam Sandler,Little Nicky ,Michael McKean,0,http://www.imdb.com/title/tt0185431/?ref_=fn_tt_tt_1
Heath Ledger,Matt Damon,The Brothers Grimm ,Mackenzie Crook,2,http://www.imdb.com/title/tt0355295/?ref_=fn_tt_tt_1
Martin Short,Natalie Portman,Mars Attacks! ,Lukas Haas,3,http://www.imdb.com/title/tt0116996/?ref_=fn_tt_tt_1
Roxane Duran,Nissim Renard,Evolution ,Julie-Marie Parmentier,0,http://www.imdb.com/title/tt4291590/?ref_=fn_tt_tt_1
Harold Perrineau,Anthony Hopkins,The Edge ,Bart the Bear,2,http://www.imdb.com/title/tt0119051/?ref_=fn_tt_tt_1
Devin Ratray,Bruce Willis,Surrogates ,Boris Kodjoe,5,http://www.imdb.com/title/tt0986263/?ref_=fn_tt_tt_1
Jon Foster,Bruce Greenwood,Thirteen Days ,Bruce Thomas,1,http://www.imdb.com/title/tt0146309/?ref_=fn_tt_tt_1
Viggo Mortensen,Sylvester Stallone,Daylight ,Amy Brenneman,0,http://www.imdb.com/title/tt0116040/?ref_=fn_tt_tt_1
Tiya Sircar,Charlie Rowe,Walking with Dinosaurs 3D ,Madison Rothschild,0,http://www.imdb.com/title/tt1762399/?ref_=fn_tt_tt_1
Michael Byrne,Richard Tyson,Battlefield Earth ,John Topor,0,http://www.imdb.com/title/tt0185183/?ref_=fn_tt_tt_1
Jenna Elfman,Brendan Fraser,Looney Tunes: Back in Action ,Heather Locklear,4,http://www.imdb.com/title/tt0318155/?ref_=fn_tt_tt_1
Elio Germano,Fergie,Nine ,Andrea Di Stefano,4,http://www.imdb.com/title/tt0875034/?ref_=fn_tt_tt_1
Gerard Butler,Paul Walker,Timeline ,Ethan Embry,0,http://www.imdb.com/title/tt0300556/?ref_=fn_tt_tt_1
Brian Anthony Wilson,Olivia Williams,The Postman ,Larenz Tate,1,http://www.imdb.com/title/tt0119925/?ref_=fn_tt_tt_1
Elizabeth Daily,Adam Goldberg,Babe: Pig in the City ,Glenne Headly,0,http://www.imdb.com/title/tt0120595/?ref_=fn_tt_tt_1
Joseph Gilgun,Vin Diesel,The Last Witch Hunter ,Lotte Verbeek,0,http://www.imdb.com/title/tt1618442/?ref_=fn_tt_tt_1
Val Kilmer,Bob Neill,Red Planet ,Tom Sizemore,1,http://www.imdb.com/title/tt0199753/?ref_=fn_tt_tt_1
Adam LeFevre,Mia Farrow,Arthur and the Invisibles ,Penny Balfour,0,http://www.imdb.com/title/tt0344854/?ref_=fn_tt_tt_1
Jacques Perrin,Pedro Armendáriz Jr.,Oceans ,Rie Miyazawa,0,http://www.imdb.com/title/tt0765128/?ref_=fn_tt_tt_1
Catherine McCormack,David Oyelowo,A Sound of Thunder ,Jemima Rooper,0,http://www.imdb.com/title/tt0318081/?ref_=fn_tt_tt_1
Currie Graham,Sasha Roiz,Pompeii ,Dylan Schombing,0,http://www.imdb.com/title/tt1921064/?ref_=fn_tt_tt_1
David Hoffman,Sariann Monaco,Top Cat Begins ,Ben Diskin,0,http://www.imdb.com/title/tt4057916/?ref_=fn_tt_tt_1
Austin Pendleton,Adam Goldberg,A Beautiful Mind ,Judd Hirsch,0,http://www.imdb.com/title/tt0268978/?ref_=fn_tt_tt_1
Nathan Lane,Matthew Broderick,The Lion King ,Niketa Calame,0,http://www.imdb.com/title/tt0110357/?ref_=fn_tt_tt_1
Dwayne Johnson,Josh Hutcherson,Journey 2: The Mysterious Island ,Kristin Davis,3,http://www.imdb.com/title/tt1397514/?ref_=fn_tt_tt_1
Khamani Griffin,Will Forte,Cloudy with a Chance of Meatballs 2 ,Melissa Sturm,0,http://www.imdb.com/title/tt1985966/?ref_=fn_tt_tt_1
Anthony Hopkins,Philip Seymour Hoffman,Red Dragon ,Emily Watson,0,http://www.imdb.com/title/tt0289765/?ref_=fn_tt_tt_1
Viggo Mortensen,J.K. Simmons,Hidalgo ,Peter Mensah,1,http://www.imdb.com/title/tt0317648/?ref_=fn_tt_tt_1
Adam Sandler,Al Pacino,Jack and Jill ,Tim Meadows,2,http://www.imdb.com/title/tt0810913/?ref_=fn_tt_tt_1
Cole Hauser,Paul Walker,2 Fast 2 Furious ,Mo Gallini,5,http://www.imdb.com/title/tt0322259/?ref_=fn_tt_tt_1
James Franco,Jeff Bridges,The Little Prince ,Mackenzie Foy,1,http://www.imdb.com/title/tt1754656/?ref_=fn_tt_tt_1
Veronica Cartwright,Roger Rees,The Invasion ,Jeremy Northam,2,http://www.imdb.com/title/tt0427392/?ref_=fn_tt_tt_1
Janeane Garofalo,Robert De Niro,The Adventures of Rocky & Bullwinkle ,Jonathan Winters,0,http://www.imdb.com/title/tt0131704/?ref_=fn_tt_tt_1
Eric Stonestreet,Steve Coogan,The Secret Life of Pets ,Albert Brooks,0,http://www.imdb.com/title/tt2709768/?ref_=fn_tt_tt_1
Max Ryan,Jason Flemyng,The League of Extraordinary Gentlemen ,Tony Curran,3,http://www.imdb.com/title/tt0311429/?ref_=fn_tt_tt_1
Miranda Cosgrove,Steve Carell,Despicable Me 2 ,Steve Coogan,0,http://www.imdb.com/title/tt1690953/?ref_=fn_tt_tt_1
Adam Baldwin,Will Smith,Independence Day ,Mary McDonnell,0,http://www.imdb.com/title/tt0116629/?ref_=fn_tt_tt_1
Richard Schiff,Ariana Richards,The Lost World: Jurassic Park ,Vanessa Lee Chester,0,http://www.imdb.com/title/tt0119567/?ref_=fn_tt_tt_1
Cedric the Entertainer,Jada Pinkett Smith,Madagascar ,Andy Richter,0,http://www.imdb.com/title/tt0351283/?ref_=fn_tt_tt_1
Danny Huston,Charlie Hunnam,Children of Men ,Rita Davies,0,http://www.imdb.com/title/tt0206634/?ref_=fn_tt_tt_1
Tyler Mane,Hugh Jackman,X-Men ,Bruce Davison,0,http://www.imdb.com/title/tt0120903/?ref_=fn_tt_tt_1
Morgan Freeman,Angelina Jolie Pitt,Wanted ,Common,0,http://www.imdb.com/title/tt0493464/?ref_=fn_tt_tt_1
Michael Biehn,Nicolas Cage,The Rock ,Bokeem Woodbine,1,http://www.imdb.com/title/tt0117500/?ref_=fn_tt_tt_1
Ray Romano,Denis Leary,Ice Age: The Meltdown ,Jay Leno,0,http://www.imdb.com/title/tt0438097/?ref_=fn_tt_tt_1
Peter Dante,Adam Sandler,50 First Dates ,Allen Covert,2,http://www.imdb.com/title/tt0343660/?ref_=fn_tt_tt_1
Elijah Kelley,Jerry Stiller,Hairspray ,Paul Dooley,9,http://www.imdb.com/title/tt0427327/?ref_=fn_tt_tt_1
Alan Ford,James D'Arcy,Exorcist: The Beginning ,Izabella Scorupco,0,http://www.imdb.com/title/tt0204313/?ref_=fn_tt_tt_1
Rene Auberjonois,Matthew Broderick,Inspector Gadget ,Rupert Everett,0,http://www.imdb.com/title/tt0141369/?ref_=fn_tt_tt_1
Common,Morgan Freeman,Now You See Me ,Michael Kelly,6,http://www.imdb.com/title/tt1670345/?ref_=fn_tt_tt_1
Adam Sandler,Steve Buscemi,Grown Ups ,Salma Hayek,4,http://www.imdb.com/title/tt1375670/?ref_=fn_tt_tt_1
Chi McBride,Tom Hanks,The Terminal ,Barry Shabaka Henley,0,http://www.imdb.com/title/tt0362227/?ref_=fn_tt_tt_1
Matt Ryan,Harold Perrineau,Constantine             ,Charles Halford,1,http://www.imdb.com/title/tt3489184/?ref_=fn_tt_tt_1
Kevin Dillon,Don Cheadle,Hotel for Dogs ,Yvette Nicole Brown,4,http://www.imdb.com/title/tt0785006/?ref_=fn_tt_tt_1
Scott Glenn,Nicholas Lea,Vertical Limit ,Ben Mendelsohn,0,http://www.imdb.com/title/tt0190865/?ref_=fn_tt_tt_1
Tom Hanks,Philip Seymour Hoffman,Charlie Wilson's War ,Jud Tylor,1,http://www.imdb.com/title/tt0472062/?ref_=fn_tt_tt_1
Martin Scorsese,Robert De Niro,Shark Tale ,Angelina Jolie Pitt,0,http://www.imdb.com/title/tt0307453/?ref_=fn_tt_tt_1
Jennifer Hudson,Loretta Devine,Dreamgirls ,Anika Noni Rose,0,http://www.imdb.com/title/tt0443489/?ref_=fn_tt_tt_1
Brent Sexton,Adam Arkin,Life             ,Damian Lewis,1,http://www.imdb.com/title/tt0874936/?ref_=fn_tt_tt_1
Christina Milian,Dwayne Johnson,Be Cool ,Debi Mazar,4,http://www.imdb.com/title/tt0377471/?ref_=fn_tt_tt_1
Moritz Bleibtreu,Ayelet Zurer,Munich ,Mathieu Amalric,0,http://www.imdb.com/title/tt0408306/?ref_=fn_tt_tt_1
Tom Skerritt,Bruce Willis,Tears of the Sun ,Cole Hauser,1,http://www.imdb.com/title/tt0314353/?ref_=fn_tt_tt_1
Lisa Ann Walter,Tom Selleck,Killers ,Catherine O'Hara,2,http://www.imdb.com/title/tt1103153/?ref_=fn_tt_tt_1
Elizabeth Debicki,Henry Cavill,The Man from U.N.C.L.E. ,Christian Berkel,2,http://www.imdb.com/title/tt1638355/?ref_=fn_tt_tt_1
Paz Vega,Adam Sandler,Spanglish ,Sarah Steele,2,http://www.imdb.com/title/tt0371246/?ref_=fn_tt_tt_1
Jon Heder,Steve Buscemi,Monster House ,Catherine O'Hara,0,http://www.imdb.com/title/tt0385880/?ref_=fn_tt_tt_1
Brían F. O'Byrne,Bruce Willis,Bandits ,Azura Skye,2,http://www.imdb.com/title/tt0219965/?ref_=fn_tt_tt_1
Ben Cross,Julia Ormond,First Knight ,John Gielgud,3,http://www.imdb.com/title/tt0113071/?ref_=fn_tt_tt_1
Geoffrey Palmer,Bai Ling,Anna and the King ,Randall Duk Kim,2,http://www.imdb.com/title/tt0166485/?ref_=fn_tt_tt_1
Daniel Sharman,Henry Cavill,Immortals ,Steve Byers,1,http://www.imdb.com/title/tt1253864/?ref_=fn_tt_tt_1
Bruce Willis,Jimmy Bennett,Hostage ,Ransford Doherty,0,http://www.imdb.com/title/tt0340163/?ref_=fn_tt_tt_1
Janeane Garofalo,Matt Damon,Titan A.E. ,Nathan Lane,0,http://www.imdb.com/title/tt0120913/?ref_=fn_tt_tt_1
Bruce Greenwood,Harrison Ford,Hollywood Homicide ,Lena Olin,2,http://www.imdb.com/title/tt0329717/?ref_=fn_tt_tt_1
Sean Pertwee,Connie Nielsen,Soldier ,Jason Scott Lee,1,http://www.imdb.com/title/tt0120157/?ref_=fn_tt_tt_1
Kiernan Shipka,Christopher Meloni,Carriers ,Lou Taylor Pucci,0,http://www.imdb.com/title/tt0806203/?ref_=fn_tt_tt_1
Bridget Fonda,Brendan Fraser,Monkeybone ,Megan Mullally,0,http://www.imdb.com/title/tt0166276/?ref_=fn_tt_tt_1
Tony Curran,Dennis Quaid,Flight of the Phoenix ,Miranda Otto,4,http://www.imdb.com/title/tt0377062/?ref_=fn_tt_tt_1
Bruce Willis,Robin Wright,Unbreakable ,Michael Kelly,0,http://www.imdb.com/title/tt0217869/?ref_=fn_tt_tt_1
Jon Hamm,Steve Carell,Minions ,Steve Coogan,0,http://www.imdb.com/title/tt2293640/?ref_=fn_tt_tt_1
Abbie Cornish,Jon Hamm,Sucker Punch ,Scott Glenn,4,http://www.imdb.com/title/tt0978764/?ref_=fn_tt_tt_1
Mike Starr,Nicolas Cage,Snake Eyes ,John Heard,1,http://www.imdb.com/title/tt0120832/?ref_=fn_tt_tt_1
James Pickens Jr.,Peter Coyote,Sphere ,Huey Lewis,3,http://www.imdb.com/title/tt0120184/?ref_=fn_tt_tt_1
Josh Gad,Peter Dinklage,The Angry Birds Movie ,Keegan-Michael Key,0,http://www.imdb.com/title/tt1985949/?ref_=fn_tt_tt_1
Ray Winstone,Matthew McConaughey,Fool's Gold ,Alexis Dziena,0,http://www.imdb.com/title/tt0770752/?ref_=fn_tt_tt_1
RZA,Adam Sandler,Funny People ,Maude Apatow,1,http://www.imdb.com/title/tt1201167/?ref_=fn_tt_tt_1
Frances Fisher,Jennifer Garner,The Kingdom ,Tim McGraw,1,http://www.imdb.com/title/tt0431197/?ref_=fn_tt_tt_1
Leslie Bibb,Will Ferrell,Talladega Nights: The Ballad of Ricky Bobby ,Gary Cole,5,http://www.imdb.com/title/tt0415306/?ref_=fn_tt_tt_1
Jeffrey Jones,Raven-Symoné,Dr. Dolittle 2 ,Kevin Pollak,0,http://www.imdb.com/title/tt0240462/?ref_=fn_tt_tt_1
Patrick McGoohan,Mhairi Calvey,Braveheart ,James Robinson,1,http://www.imdb.com/title/tt0112573/?ref_=fn_tt_tt_1
Brian Geraghty,Jake Gyllenhaal,Jarhead ,James Morrison,0,http://www.imdb.com/title/tt0418763/?ref_=fn_tt_tt_1
Yeardley Smith,Albert Brooks,The Simpsons Movie ,Marcia Wallace,0,http://www.imdb.com/title/tt0462538/?ref_=fn_tt_tt_1
Hal Holbrook,Martin Landau,The Majestic ,Jeffrey DeMunn,1,http://www.imdb.com/title/tt0268995/?ref_=fn_tt_tt_1
Estella Warren,Sylvester Stallone,Driven ,Cristián de la Fuente,0,http://www.imdb.com/title/tt0132245/?ref_=fn_tt_tt_1
Jean-Claude Dreyfus,David Gant,Two Brothers ,Oanh Nguyen,0,http://www.imdb.com/title/tt0338512/?ref_=fn_tt_tt_1
Judy Greer,Bryce Dallas Howard,The Village ,William Hurt,0,http://www.imdb.com/title/tt0368447/?ref_=fn_tt_tt_1
