director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_1_facebook_likes,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,plot_keywords,movie_imdb_link,language,title_year,movie_facebook_likes
Mike Nawrocki,37,85,12,354,Yuri Lowenthal,The Pirates Who Don't Do Anything: A VeggieTales Movie ,2037,568,Phil Vischer,17th century|king|pirate|vegetable|waiter,http://www.imdb.com/title/tt0475998/?ref_=fn_tt_tt_1,English,2008,175
Catherine Owens,68,85,0,468,Bono,U2 3D ,2673,646,Larry Mullen Jr.,3d in title|digit in title|rock band|rocker|u2,http://www.imdb.com/title/tt0892375/?ref_=fn_tt_tt_1,English,2007,116
Douglas Aarniokoski,90,101,36,1000,Christopher Lambert,Highlander: Endgame ,16340,2764,Adam Copeland,battle|explosion|immortal|revenge|sequel to cult film,http://www.imdb.com/title/tt0144964/?ref_=fn_tt_tt_1,English,2000,356
Bryan Barber,81,121,16,907,Cicely Tyson,Idlewild ,4603,3633,Bobb'e J. Thompson,gangster|playing piano|song and dance|speakeasy|written and directed by cast member,http://www.imdb.com/title/tt0417225/?ref_=fn_tt_tt_1,English,2006,489
Lone Scherfig,221,107,92,11000,Anne Hathaway,One Day ,106111,17627,Rafe Spall,23 year time span|accidental death|best friend|loss of loved one|male female friendship,http://www.imdb.com/title/tt1563738/?ref_=fn_tt_tt_1,English,2011,49000
Drew Barrymore,230,111,0,796,Daniel Stern,Whip It ,55665,2633,Alia Shawkat,beauty pageant|friend|pageant|roller derby|texas,http://www.imdb.com/title/tt1172233/?ref_=fn_tt_tt_1,English,2009,10000
Brian Koppelman,57,92,34,14000,Vin Diesel,Knockaround Guys ,19768,15644,Kevin Gage,mob|mobster|money|montana|sheriff,http://www.imdb.com/title/tt0211465/?ref_=fn_tt_tt_1,English,2001,566
James Foley,119,97,164,436,Louis Lombardi,Confidence ,30643,1172,Leland Orser,con|grifter|lap dance|organized crime|shot in the forehead,http://www.imdb.com/title/tt0310910/?ref_=fn_tt_tt_1,English,2003,622
Albert Brooks,97,97,745,12000,Jeff Bridges,The Muse ,9294,15209,Albert Brooks,directed by star|muse|satire|screenwriter|tiffany's,http://www.imdb.com/title/tt0164108/?ref_=fn_tt_tt_1,English,1999,251
Irwin Winkler,119,125,34,427,Kevin McNally,De-Lovely ,9649,729,Sandra Nelson,cole porter|composer|love|party|tears,http://www.imdb.com/title/tt0352277/?ref_=fn_tt_tt_1,English,2004,1000
Woody Allen,42,124,11000,11000,Woody Allen,New York Stories ,13692,12685,Mia Farrow,12 year old|artist|hotel|three word title|written and directed by cast member,http://www.imdb.com/title/tt0097965/?ref_=fn_tt_tt_1,English,1989,877
Steve Gomer,24,76,9,595,Trevor Morgan,Barney's Great Adventure ,2724,1139,Shirley Douglas,apostrophe in title|critically bashed|hit on the head with a ball|punctuation in title|tyrannosaurus rex,http://www.imdb.com/title/tt0120598/?ref_=fn_tt_tt_1,English,1998,436
RZA,208,107,561,746,Rick Yune,The Man with the Iron Fists ,53471,2377,Daniel Wu,blacksmith|box office flop|chop socky|critically bashed|village,http://www.imdb.com/title/tt1258972/?ref_=fn_tt_tt_1,English,2012,29000
Dean Parisot,42,91,23,925,Catherine O'Hara,Home Fries ,7159,2913,Shelley Duvall,baby|infidelity|pilot|pregnant|waitress,http://www.imdb.com/title/tt0119304/?ref_=fn_tt_tt_1,English,1998,247
Mark Piznarski,44,96,4,989,Bruce Greenwood,Here on Earth ,7403,3142,Elaine Hendrix,diner|love|private school|school|small town,http://www.imdb.com/title/tt0195778/?ref_=fn_tt_tt_1,English,2000,648
Terry Gilliam,230,142,0,22000,Robert De Niro,Brazil ,152306,29475,Jim Broadbent,black comedy|bureaucracy|dream|terrorist|wrongful arrest,http://www.imdb.com/title/tt0088846/?ref_=fn_tt_tt_1,English,1985,16000
Sean McNamara,46,103,80,1000,Oliver James,Raise Your Voice ,22649,4676,Jason Ritter,music school|scholarship|small town|stage fright|three word title,http://www.imdb.com/title/tt0361696/?ref_=fn_tt_tt_1,English,2004,1000
,18,60,,443,David Ogden Stiers,The Dead Zone             ,7122,981,Chris Bruno,psychic|psychic power|psychometry|spin off|supernatural power,http://www.imdb.com/title/tt0281432/?ref_=fn_tt_tt_1,English,,576
Joel Coen,249,117,0,22000,Philip Seymour Hoffman,The Big Lebowski ,537419,47728,Steve Buscemi,death|drug|nihilism|rug|white russian,http://www.imdb.com/title/tt0118715/?ref_=fn_tt_tt_1,English,1998,35000
Craig Brewer,197,116,153,3000,Justin Timberlake,Black Snake Moan ,52421,5012,S. Epatha Merkerson,breasts|nipples visible through clothing|nudity|rear entry sex|white panties,http://www.imdb.com/title/tt0462200/?ref_=fn_tt_tt_1,English,2006,0
Ron Shelton,71,118,41,556,Khandi Alexander,Dark Blue ,17261,1873,Michael Michele,corrupt|criminal|investigation|lapd|police,http://www.imdb.com/title/tt0279331/?ref_=fn_tt_tt_1,English,2002,455
Michael Winterbottom,190,108,187,11000,Angelina Jolie Pitt,A Mighty Heart ,24150,12178,Dan Futterman,fbi|journalist|missing|pakistan|reporter,http://www.imdb.com/title/tt0829459/?ref_=fn_tt_tt_1,English,2007,923
David Raynr,50,94,9,11000,James Franco,Whatever It Takes ,8055,13524,Marla Sokoloff,male objectification|manipulative behavior|modern day adaptation|narcissistic woman|promiscuous woman,http://www.imdb.com/title/tt0202402/?ref_=fn_tt_tt_1,English,2000,816
Mort Nathan,63,97,2,890,Vivica A. Fox,Boat Trip ,26598,3161,Bob Gunton,gay|hot air balloon|rejecting a marriage proposal|talking to a dog|vomiting on someone,http://www.imdb.com/title/tt0285462/?ref_=fn_tt_tt_1,English,2002,1000
Oliver Parker,104,97,32,14000,Colin Firth,The Importance of Being Earnest ,18966,16502,Rupert Everett,comedy of manners|false identity|farce|love|period drama,http://www.imdb.com/title/tt0278500/?ref_=fn_tt_tt_1,English,2002,0
Dan Curtis,,99,45,1000,Jennifer Jason Leigh,The Love Letter ,1465,2166,Estelle Parsons,antique|desk|letter|love|time travel,http://www.imdb.com/title/tt0140340/?ref_=fn_tt_tt_1,English,1998,515
Wil Shriner,49,91,6,8000,Logan Lerman,Hoot ,6562,10732,Tim Blake Nelson,fight|florida|montana|owl|school,http://www.imdb.com/title/tt0453494/?ref_=fn_tt_tt_1,English,2006,647
Martin McDonagh,300,107,454,65,Elizabeth Berrington,In Bruges ,307639,173,Eric Godon,bruges|bullet|hope|irish|tourist,http://www.imdb.com/title/tt0780536/?ref_=fn_tt_tt_1,English,2008,32000
Tina Gordon Chism,43,95,24,931,Tyler James Williams,Peeples ,4065,3322,Diahann Carroll,african american,http://www.imdb.com/title/tt1699755/?ref_=fn_tt_tt_1,English,2013,0
Peter Cattaneo,132,102,11,15000,Emma Stone,The Rocker ,32311,33153,Josh Gad,20 years later|drummer|hdtv|rock band|rock star,http://www.imdb.com/title/tt1031969/?ref_=fn_tt_tt_1,English,2008,0
Vicky Jenson,97,88,96,24000,J.K. Simmons,Post Grad ,11498,25637,Bobby Coleman,graduation|graduation speech|title directed by female|tv studio|unemployment,http://www.imdb.com/title/tt1142433/?ref_=fn_tt_tt_1,English,2009,0
Gus Van Sant,242,106,835,13000,Matt Damon,Promised Land ,30284,14544,Terry Kinney,corporate greed|corporation|natural gas|salesman|small town,http://www.imdb.com/title/tt2091473/?ref_=fn_tt_tt_1,English,2012,10000
Woody Allen,218,92,11000,860,Larry David,Whatever Works ,58967,2717,Conleth Hill,atheist|limp|quantum mechanics|religion|runaway,http://www.imdb.com/title/tt1178663/?ref_=fn_tt_tt_1,English,2009,10000
Mary Lambert,49,105,52,477,Matthew Settle,The In Crowd ,3668,2312,A.J. Buckley,clique|country club|female protagonist|lip gloss|title directed by female,http://www.imdb.com/title/tt0163676/?ref_=fn_tt_tt_1,English,2000,157
Tommy Lee Jones,172,107,0,572,Levon Helm,Three Burials ,34194,1627,Guillermo Arriaga,cemetery|friend|journey|mexico|promise,http://www.imdb.com/title/tt0419294/?ref_=fn_tt_tt_1,English,2005,0
Peter Kassovitz,68,120,0,49000,Robin Williams,Jakob the Liar ,12601,51657,Michael Jeter,german|ghetto|hope|nazi|radio,http://www.imdb.com/title/tt0120716/?ref_=fn_tt_tt_1,English,1999,0
Shane Black,223,103,1000,21000,Robert Downey Jr.,Kiss Kiss Bang Bang ,175962,23932,Larry Miller,actor|detective sergeant|hotel|nightclub|thief,http://www.imdb.com/title/tt0373469/?ref_=fn_tt_tt_1,English,2005,0
Rodman Flender,59,92,6,890,Vivica A. Fox,Idle Hands ,33745,3654,Elden Henson,breasts|female frontal nudity|nude woman murdered|slow motion scene|trailer home,http://www.imdb.com/title/tt0138510/?ref_=fn_tt_tt_1,English,1999,0
David Lynch,252,147,0,6000,Naomi Watts,Mulholland Drive ,235992,8484,Laura Harring,amnesia|car accident|female protagonist|lesbian sex|loss of memory,http://www.imdb.com/title/tt0166924/?ref_=fn_tt_tt_1,English,2001,16000
Katja von Garnier,106,98,18,837,Olivier Martinez,Blood and Chocolate ,15388,1675,Chris Geere,colorado|love|murder|rocky mountains|werewolf,http://www.imdb.com/title/tt0397044/?ref_=fn_tt_tt_1,English,2007,0
Woody Allen,223,98,11000,12000,Anthony Hopkins,You Will Meet a Tall Dark Stranger ,36145,19310,Ewen Bremner,call girl|charlatan|fortune teller|manuscript|writer,http://www.imdb.com/title/tt1182350/?ref_=fn_tt_tt_1,English,2010,0
Mark Romanek,328,103,132,10000,Andrew Garfield,Never Let Me Go ,109873,12867,Charlotte Rampling,boarding school|childhood|love|love triangle|organ donation,http://www.imdb.com/title/tt1334260/?ref_=fn_tt_tt_1,English,2010,33000
,9,286,,857,Anna Silk,The Company             ,3828,3809,Alessandro Nivola,cia|mole|revolution|spy|ussr,http://www.imdb.com/title/tt0488352/?ref_=fn_tt_tt_1,English,,733
Brad Anderson,150,111,122,918,Thomas Kretschmann,Transsiberian ,42792,1252,Mac McDonald,35 mm digital camera|drugs|murder|train|travel,http://www.imdb.com/title/tt0800241/?ref_=fn_tt_tt_1,English,2008,0
Michael Chapman,21,98,70,876,Curtis Armstrong,The Clan of the Cave Bear ,4996,1351,Mike Muscat,cave bear|cro magnon|neanderthal|survival|tradition,http://www.imdb.com/title/tt0090848/?ref_=fn_tt_tt_1,English,1986,843
Antonio Banderas,28,111,0,783,Meat Loaf,Crazy in Alabama ,5917,4834,Noah Emmerich,abusive husband|alabama|boy|dream|sheriff,http://www.imdb.com/title/tt0142201/?ref_=fn_tt_tt_1,English,1999,391
Michael Haneke,250,111,0,6000,Naomi Watts,Funny Games ,69569,6748,Brady Corbet,breaking the fourth wall|looking at the camera|remake|serial killer|violence,http://www.imdb.com/title/tt0808279/?ref_=fn_tt_tt_1,English,2007,0
Khalil Sullins,17,100,5,192,Thomas Stroppel,Listening ,1933,527,Amber Marie Bollinger,divorce papers|fainting|mind control|playground|technology,http://www.imdb.com/title/tt3153582/?ref_=fn_tt_tt_1,English,2014,708
Atom Egoyan,95,116,460,5000,Bob Hoskins,Felicia's Journey ,6690,5426,Gerard McSorley,caterer|catering|chef|friend|lawn mower,http://www.imdb.com/title/tt0165773/?ref_=fn_tt_tt_1,English,1999,284
Fritz Lang,260,145,756,136,Brigitte Helm,Metropolis ,111841,203,Rudolf Klein-Rogge,art deco|bible quote|dance|silent film|worker,http://www.imdb.com/title/tt0017136/?ref_=fn_tt_tt_1,German,1927,12000
Pierre Morel,141,84,180,510,David Belle,District B13 ,55928,962,Dany Verissimo-Petit,bomb|gang|police|sister|undercover cop,http://www.imdb.com/title/tt0414852/?ref_=fn_tt_tt_1,French,2004,0
Gary Fleder,52,115,39,12000,Steve Buscemi,Things to Do in Denver When You're Dead ,22345,14889,Treat Williams,death|finger gun|video message|what happened to epilogue|wheelchair,http://www.imdb.com/title/tt0114660/?ref_=fn_tt_tt_1,English,1995,0
Hsiao-Hsien Hou,205,105,141,1000,Qi Shu,The Assassin ,9427,1172,Satoshi Tsumabuki,black magic|china|love|refusal to kill|wuxia,http://www.imdb.com/title/tt3508840/?ref_=fn_tt_tt_1,Mandarin,2015,0
Gregor Jordan,109,98,34,936,Dean Stockwell,Buffalo Soldiers ,20730,3578,Leon,berlin wall|germany|murder|soldier|specialist,http://www.imdb.com/title/tt0252299/?ref_=fn_tt_tt_1,English,2001,664
Andrey Zvyagintsev,103,99,445,20,Konstantin Lavronenko,The Return ,31589,48,Nataliya Vdovina,boy|photograph|return|russian|wilderness,http://www.imdb.com/title/tt0376968/?ref_=fn_tt_tt_1,Russian,2003,0
Tony Jaa,110,110,0,64,Nirut Sirichanya,Ong-bak 2 ,24570,134,Sarunyu Wongkrachang,cult film|elephant|jungle|martial arts|stylized violence,http://www.imdb.com/title/tt0785035/?ref_=fn_tt_tt_1,Thai,2008,0
Neil Marshall,195,97,197,13000,Michael Fassbender,Centurion ,64777,15293,Dave Legeno,mushroom|mute|roman soldier|screaming|wood carving,http://www.imdb.com/title/tt1020558/?ref_=fn_tt_tt_1,English,2010,0
Russell Mulcahy,14,88,85,825,Christopher Heyerdahl,Silent Trigger ,2699,1432,Conrad Dunn,assassin|die hard scenario|rangefinder|soldier|veteran,http://www.imdb.com/title/tt0117653/?ref_=fn_tt_tt_1,English,1996,154
Ryûhei Kitamura,177,103,129,14000,Bradley Cooper,The Midnight Meat Train ,47574,18639,Leslie Bibb,butcher|girlfriend|mute character|photographer|subway,http://www.imdb.com/title/tt0805570/?ref_=fn_tt_tt_1,English,2008,0
Darrell Roodt,17,104,36,549,Jennifer Hudson,Winnie Mandela ,609,801,Aubrey Poo,character name in title|nelson mandela|one word title|reference to winnie mandela|south africa,http://www.imdb.com/title/tt1551641/?ref_=fn_tt_tt_1,English,2011,705
Dito Montiel,62,90,68,17000,Channing Tatum,The Son of No One ,14280,32814,Tracy Morgan,housing project|letter|man with glasses|murder|subjective camera,http://www.imdb.com/title/tt1535612/?ref_=fn_tt_tt_1,English,2011,0
Stefan Ruzowitzky,19,105,24,776,Eddie Izzard,All the Queen's Men ,2236,1732,Edward Fox,apostrophe in title|behind enemy lines|box office flop|gay interest|punctuation in title,http://www.imdb.com/title/tt0252223/?ref_=fn_tt_tt_1,English,2001,193
Jake Paltrow,50,93,17,1000,Stephen Graham,The Good Night ,7519,1245,Keith Allen,commercial|dream|dreaming|girl|new york city,http://www.imdb.com/title/tt0484111/?ref_=fn_tt_tt_1,English,2007,445
Juraj Jakubisko,25,141,15,735,Anna Friel,Bathory: Countess of Blood ,3425,2528,Franco Nero,bathory|countess|female protagonist|legend|virgin blood,http://www.imdb.com/title/tt0469640/?ref_=fn_tt_tt_1,English,2008,0
Anthony Silverston,39,85,0,14000,Liam Neeson,Khumba ,4006,29488,Loretta Devine,herd|ostrich|waterhole|wildebeest|zebra,http://www.imdb.com/title/tt1487931/?ref_=fn_tt_tt_1,English,2013,0
Gabe Ibáñez,136,109,19,1000,Birgitte Hjort Sørensen,Automata ,41638,2829,Melanie Griffith,child hitman|dystopia|future|robot|self repair,http://www.imdb.com/title/tt1971325/?ref_=fn_tt_tt_1,English,2014,13000
Gerry Lively,26,105,93,179,Bruce Payne,Dungeons & Dragons: Wrath of the Dragon God ,5018,363,Steven Elder,combat|helmet|martial arts|medieval times|violence,http://www.imdb.com/title/tt0406728/?ref_=fn_tt_tt_1,English,2005,473
Daniele Luchetti,4,98,6,61,Maximilian Dirr,Chiamatemi Francesco - Il Papa della gente ,80,192,Ferdinando Vetere,,http://www.imdb.com/title/tt3856124/?ref_=fn_tt_tt_1,Spanish,2015,18
Tung-Shing Yee,53,119,3,556,Bingbing Fan,Shinjuku Incident ,9177,996,Yasuaki Kurata,chinese|gang|gratitude|immigrant|japan,http://www.imdb.com/title/tt1075419/?ref_=fn_tt_tt_1,Mandarin,2009,821
Julien Temple,22,124,67,631,Samantha Morton,Pandaemonium ,695,1585,Linus Roache,betrayal|french revolution|friendship|poet|revolution,http://www.imdb.com/title/tt0210217/?ref_=fn_tt_tt_1,English,2000,277
Harold Ramis,147,101,11000,13000,Bill Murray,Groundhog Day ,437418,15500,Willie Garson,cult film|existentialism|groundhog day|time loop|trapped in a time loop,http://www.imdb.com/title/tt0107048/?ref_=fn_tt_tt_1,English,1993,38000
Gregory Jacobs,222,115,13,20000,Matt Bomer,Magic Mike XXL ,38202,38963,Kevin Nash,male bonding|male friendship|male objectification|muscular|stripper,http://www.imdb.com/title/tt2268016/?ref_=fn_tt_tt_1,English,2015,41000
Baz Luhrmann,106,120,1000,29000,Leonardo DiCaprio,Romeo + Juliet ,167750,33791,Brian Dennehy,hawaiian shirt|love|shakespeare adaptation|shakespeare play|star crossed lovers,http://www.imdb.com/title/tt0117509/?ref_=fn_tt_tt_1,English,1996,10000
Gilles Paquet-Brenner,136,111,15,1000,Kristin Scott Thomas,Sarah's Key ,12937,2140,Arben Bajraktaraj,apartment|escape|jewish family|journalist|key,http://www.imdb.com/title/tt1668200/?ref_=fn_tt_tt_1,French,2010,0
Peter Cousens,5,94,5,467,Sharon Leal,Freedom ,993,994,Bart Shatto,19th century|christian film|hymn|religion|slave,http://www.imdb.com/title/tt2584018/?ref_=fn_tt_tt_1,English,2014,998
Clint Eastwood,131,131,16000,16000,Clint Eastwood,Unforgiven ,277505,28544,Frances Fisher,englishman|leaving flowers on a grave|one last job|reputation|visiting wife's grave,http://www.imdb.com/title/tt0105695/?ref_=fn_tt_tt_1,English,1992,10000
Lars von Trier,140,139,3000,3000,Bryce Dallas Howard,Manderlay ,18646,4211,Jean-Marc Barr,cotton|female frontal nudity|flogging|gangster|slavery,http://www.imdb.com/title/tt0342735/?ref_=fn_tt_tt_1,English,2005,1000
Danny Boyle,418,120,0,668,Anil Kapoor,Slumdog Millionaire ,641997,820,Ayush Mahesh Khedekar,cheating|falling from height|murder|non professional cast|slum,http://www.imdb.com/title/tt1010048/?ref_=fn_tt_tt_1,English,2008,13000
Adrian Lyne,94,119,213,886,Fred Gwynne,Fatal Attraction ,55101,1639,Anne Archer,borderline personality disorder|killing a pet|madame butterfly|new york|new york city,http://www.imdb.com/title/tt0093010/?ref_=fn_tt_tt_1,English,1987,3000
Garry Marshall,82,125,0,8000,Julia Roberts,Pretty Woman ,213476,11135,Jason Alexander,businessman|falling in love with a prostitute|hotel|prostitute|rich man poor woman,http://www.imdb.com/title/tt0100405/?ref_=fn_tt_tt_1,English,1990,11000
John Blanchard,,65,0,770,Martin Short,Towering Inferno             ,10,1125,Joe Flaherty,,http://www.imdb.com/title/tt0691996/?ref_=fn_tt_tt_1,English,,0
John Cornell,32,108,5,442,Paul Hogan,Crocodile Dundee II ,44096,717,John Meillon,australia|australian|crime boss|crocodile|gangster,http://www.imdb.com/title/tt0092493/?ref_=fn_tt_tt_1,English,1988,489
Vidhu Vinod Chopra,22,101,34,892,María Valverde,Broken Horses ,1554,2055,Chad Bishop,,http://www.imdb.com/title/tt2503954/?ref_=fn_tt_tt_1,English,2015,0
Oliver Stone,72,145,0,10000,Tom Cruise,Born on the Fourth of July ,76842,12098,Stephen Baldwin,desert|drunkenness|religious mother|strict mother|vietnam war,http://www.imdb.com/title/tt0096969/?ref_=fn_tt_tt_1,English,1989,4000
Jon Turteltaub,39,98,226,953,Doug E. Doug,Cool Runnings ,69733,2496,Malik Yoba,bobsled|coach|jamaica|olympic games|olympics,http://www.imdb.com/title/tt0106611/?ref_=fn_tt_tt_1,English,1993,0
Patrick Lussier,264,101,71,10000,Jensen Ackles,My Bloody Valentine ,45603,14159,Edi Gathegi,coma|death|miner|valentine|valentine's day,http://www.imdb.com/title/tt1179891/?ref_=fn_tt_tt_1,English,2009,0
Ole Bornedal,264,92,30,941,Kyra Sedgwick,The Possession ,47169,2348,Natasha Calis,basketball coach|box|jewish|rabbi|yard sale,http://www.imdb.com/title/tt0431021/?ref_=fn_tt_tt_1,English,2012,17000
Ted Kotcheff,145,93,270,13000,Sylvester Stallone,First Blood ,172493,15192,Chris Mulkey,1980s|colonel|deputy|rambo|sheriff,http://www.imdb.com/title/tt0083944/?ref_=fn_tt_tt_1,English,1982,0
Sylvain White,86,109,41,997,Chris Brown,Stomp the Yard ,19505,3544,Harry Lennix,atlanta georgia|competition|dancer|death|fraternity,http://www.imdb.com/title/tt0775539/?ref_=fn_tt_tt_1,English,2007,0
Lewis Gilbert,112,123,43,456,Caroline Munro,The Spy Who Loved Me ,76477,1326,Barbara Bach,1970s|cult film|official james bond series|submarine|world war three,http://www.imdb.com/title/tt0076752/?ref_=fn_tt_tt_1,English,1977,0
,17,60,,155,Amy Bruni,Ghost Hunters             ,5563,552,Jason Hawes,ghost|paranormal|paranormal research|shaky cam,http://www.imdb.com/title/tt0426697/?ref_=fn_tt_tt_1,English,,373
Jamie Blanks,101,99,9,975,Alicia Witt,Urban Legend ,47814,3500,Julian Richings,campus|death|friend|professor|urban legend,http://www.imdb.com/title/tt0146336/?ref_=fn_tt_tt_1,English,1998,0
Stephen Frears,51,119,350,18000,Keanu Reeves,Dangerous Liaisons ,52846,35501,Swoosie Kurtz,catholic|corruption|emotional abuse|france|seduction,http://www.imdb.com/title/tt0094947/?ref_=fn_tt_tt_1,English,1988,0
Tyler Perry,42,110,0,849,Eddie Cibrian,Good Deeds ,6352,2226,Jamie Kennedy,businessman|fight|mean brother|narrated by character|wordplay in title,http://www.imdb.com/title/tt1885265/?ref_=fn_tt_tt_1,English,2012,0
Randal Kleiser,10,107,116,327,Seymour Cassel,White Fang ,15730,552,Susan Hogan,alaska|dog|friendship|gold|yukon,http://www.imdb.com/title/tt0103247/?ref_=fn_tt_tt_1,English,1991,0
Bruce McCulloch,43,81,54,8000,Will Ferrell,Superstar ,15047,10792,Molly Shannon,dancing|orphan|school|special education|student,http://www.imdb.com/title/tt0167427/?ref_=fn_tt_tt_1,English,1999,2000
Phyllida Lloyd,331,105,58,11000,Meryl Streep,The Iron Lady ,82327,12894,Olivia Colman,british prime minister|female prime minister|politics|prime minister|told in flashback,http://www.imdb.com/title/tt1007029/?ref_=fn_tt_tt_1,English,2011,18000
Mike Nawrocki,38,82,12,23,Phil Vischer,Jonah: A VeggieTales Movie ,3135,49,Shelby Vischer,anthropomorphism|pirate|pirate ship|tomato|whale,http://www.imdb.com/title/tt0298388/?ref_=fn_tt_tt_1,English,2002,184
John Singleton,12,109,309,592,Janet Jackson,Poetic Justice ,8904,1620,Maya Angelou,african american|mail carrier|poetry|postal worker|south central los angeles,http://www.imdb.com/title/tt0107840/?ref_=fn_tt_tt_1,English,1993,0
Kevin Bray,40,95,10,706,Mike Epps,All About the Benjamins ,9693,1421,Gino Salvano,black comedy|bounty hunter|diamond|machismo|money,http://www.imdb.com/title/tt0278295/?ref_=fn_tt_tt_1,English,2002,530
Wes Craven,34,100,0,723,John Witherspoon,Vampire in Brooklyn ,17262,2348,Allen Payne,blood|destiny|nightmare|partner|vampire,http://www.imdb.com/title/tt0114825/?ref_=fn_tt_tt_1,English,1995,1000
John Boorman,82,118,128,931,Linda Blair,Exorcist II: The Heretic ,16294,2704,Ned Beatty,demon|exorcism|locust|priest|repressed memory,http://www.imdb.com/title/tt0076009/?ref_=fn_tt_tt_1,English,1977,889
Courtney Solomon,125,91,31,874,Sissy Spacek,An American Haunting ,22207,1608,Vernon Dobtcheff,flashback|lifting someone into the air|paranormal phenomena|voice over letter|year 1818,http://www.imdb.com/title/tt0429573/?ref_=fn_tt_tt_1,English,2005,0
David Zucker,56,90,119,869,Carmen Electra,My Boss's Daughter ,24038,3007,Molly Shannon,boss' daughter|crush|house sitter|housesitting|love interest,http://www.imdb.com/title/tt0270980/?ref_=fn_tt_tt_1,English,2003,411
David Twohy,160,108,123,26000,Chris Hemsworth,A Perfect Getaway ,56338,41359,Marley Shelton,cliff|hawaii|island|newlywed|waterfall,http://www.imdb.com/title/tt0971209/?ref_=fn_tt_tt_1,English,2009,4000
Rick Famuyiwa,71,103,44,953,America Ferrera,Our Family Wedding ,5721,3299,Lupe Ontiveros,california|love|marriage|wedding|wedding dress,http://www.imdb.com/title/tt1305583/?ref_=fn_tt_tt_1,English,2010,1000
Alan Cohn,37,96,0,3000,Alyson Hannigan,Dead Man on Campus ,11729,6861,Poppy Montgomery,college|college roommate|party|roommate|student,http://www.imdb.com/title/tt0118301/?ref_=fn_tt_tt_1,English,1998,645
Franco Zeffirelli,62,117,160,718,Lily Tomlin,Tea with Mussolini ,9323,1148,Paolo Seganti,ambassador|american|art|english|italy,http://www.imdb.com/title/tt0120857/?ref_=fn_tt_tt_1,English,1999,970
Tom Holland,73,93,85,1000,Joe Mantegna,Thinner ,19805,2777,Kari Wuhrer,death|doctor|gypsy|judge|lawyer,http://www.imdb.com/title/tt0117894/?ref_=fn_tt_tt_1,English,1996,0
Martin Scorsese,59,136,17000,22000,Robert De Niro,"New York, New York ",13548,23378,Mary Kay Place,love|musician|saxophonist|singer|songwriter,http://www.imdb.com/title/tt0076451/?ref_=fn_tt_tt_1,English,1977,932
Spike Lee,25,115,0,1000,Alfre Woodard,Crooklyn ,6011,3267,Isaiah Washington,argument|birthday|bully|coming of age|semi autobiographical,http://www.imdb.com/title/tt0109504/?ref_=fn_tt_tt_1,English,1994,905
Chris Rock,97,94,0,12000,Steve Buscemi,I Think I Love My Wife ,13866,13446,Wendell Pierce,banker|investment|investment banker|marriage|sex,http://www.imdb.com/title/tt0770772/?ref_=fn_tt_tt_1,English,2007,488
James Isaac,205,85,52,1000,Peter Mensah,Jason X ,38985,3050,Lexa Doig,jason voorhees|lake|machete|scientist|slasher,http://www.imdb.com/title/tt0211443/?ref_=fn_tt_tt_1,English,2001,0
Shawn Levy,69,88,189,934,Frankie Muniz,Big Fat Liar ,29008,3707,Lee Majors,brunette|film producer|liar|prank|stunt,http://www.imdb.com/title/tt0265298/?ref_=fn_tt_tt_1,English,2002,896
Emilio Estevez,195,112,0,12000,Anthony Hopkins,Bobby ,38142,13528,Brian Geraghty,campaign|chess|friend|hotel|senator,http://www.imdb.com/title/tt0308055/?ref_=fn_tt_tt_1,English,2006,0
Mark Waters,61,86,70,878,Monica Potter,Head Over Heels ,11693,2165,China Chow,apartment|fast motion scene|model|private investigation|suspected murder,http://www.imdb.com/title/tt0192111/?ref_=fn_tt_tt_1,English,2001,613
Josh Schwartz,77,86,90,962,Thomas McDonell,Fun Size ,11233,3715,Osric Chau,adult humor|best friend|friend|halloween|teenage girl,http://www.imdb.com/title/tt1663143/?ref_=fn_tt_tt_1,English,2012,0
Julian Schnabel,259,112,232,413,Emmanuelle Seigner,The Diving Bell and the Butterfly ,89906,1372,Isaach De Bankolé,arc de triomphe paris|based on autobiography|coma|elle magazine|male frontal nudity,http://www.imdb.com/title/tt0401383/?ref_=fn_tt_tt_1,French,2007,13000
Todd Field,251,137,143,14000,Kate Winslet,Little Children ,92781,15337,Jane Adams,adulterous wife|bar|dysfunctional marriage|sex offender|suburb,http://www.imdb.com/title/tt0404203/?ref_=fn_tt_tt_1,English,2006,5000
Davis Guggenheim,63,90,49,12000,Norman Reedus,Gossip ,12519,12776,Noam Jenkins,college|college campus|gossip|rape|sex,http://www.imdb.com/title/tt0176783/?ref_=fn_tt_tt_1,English,2000,853
Tony Goldwyn,47,107,956,10000,Viggo Mortensen,A Walk on the Moon ,6782,10368,Tovah Feldshuh,adulterous wife|cheating wife|summer|unfaithfulness|woodstock,http://www.imdb.com/title/tt0120613/?ref_=fn_tt_tt_1,English,1999,860
Phillip Noyce,108,98,176,543,Derek Luke,Catch a Fire ,9334,678,Bonnie Henna,attack|coach|colonel|jail|oil refinery,http://www.imdb.com/title/tt0437232/?ref_=fn_tt_tt_1,English,2006,447
