director_facebook_likes,actor_2_name,actor_1_facebook_likes,movie_title,num_voted_users,facenumber_in_poster,plot_keywords,language,actor_2_facebook_likes
0,Alison Lohman,2000,Drag Me to Hell ,158354,0,evil|fight|hell|psychic|psychologist,English,1000
43,Michiel Huisman,11000,The Age of Adaline ,93767,1,hit by a pickup truck|immortality|paramedic|resuscitation|san francisco california,English,2000
23,Robert Duvall,3000,Secondhand Lions ,43378,1,africa|eyeglasses|money|texas|veteran,English,3000
209,Stephen Boss,2000,Step Up 3D ,47297,0,dance|dance crew|dancer|mortgage|new york city,English,594
134,Mika Boorem,585,Blue Crush ,26066,3,bikini|female surfer|sister sister relationship|surfing contest|swimsuit,English,495
395,Christian Stolte,8000,Stranger Than Fiction ,186977,1,author|fate|novelist|professor|writer,English,189
171,Mark Rendall,430,30 Days of Night ,138435,0,alaska|small town|snow|vampire|winter,English,72
246,Bradley Whitford,26000,The Cabin in the Woods ,277172,0,cabin in the woods|dark humor|hatchet|killed in an elevator|robot,English,821
82,Diedrich Bader,869,Meet the Spartans ,88518,0,king|persian|spartan|training|xerxes,English,759
102,Yaphet Kotto,22000,Midnight Run ,54042,1,accountant|bounty hunter|fbi|mafia|mob,English,581
343,Maria Conchita Alonso,581,The Running Man ,112669,1,game of death|government conspiracy|latina|oppression|police,English,571
0,Jim Belushi,13000,Little Shop of Horrors ,49349,2,eclipse|florist|nerd|plant|shop,English,854
456,Vicky Krieps,157,Hanna ,159198,0,assassin|female warrior|martial arts|playground|training,English,33
,Joan Allen,971,The Family             ,3322,4,family drama|lie|missing child|political campaign|secret,English,805
40,Talisa Soto,663,Mortal Kombat: Annihilation ,36363,0,alternate reality|battle|martial arts|mortal kombat|warrior,English,349
15000,Rob Riggle,15000,Larry Crowne ,49205,0,bus stop|college|community college|scooter|speech class,English,839
108,Judy Greer,17000,Carrie ,108242,1,outcast|prom|self injury|telekinesis|tragic event,English,2000
3,Yaya DaCosta,1000,Take the Lead ,21767,0,ballroom|dance|dance teacher|student|teacher,English,712
,Kevin Connolly,680,Entourage             ,135643,2,actor|fame|friendship between men|hollywood california|sitcom,English,638
21,Jurnee Smollett-Bell,12000,Gridiron Gang ,33067,1,alliterative title|football|football coach|football practice|football team,English,2000
39,Larry Miller,1000,What's the Worst That Could Happen? ,12466,0,businessman|ring|thief|vulgarity|washington d.c.,English,611
30,Alan Oppenheimer,940,9 ,111117,0,hope|key|machine|number|rag doll,English,271
0,David Costabile,17000,Side Effects ,148327,0,clinical trial|female protagonist|neuropharmacology|psychiatrist|side effect,English,681
57,Miranda Richardson,1000,The Prince and Me ,31984,1,denmark|king|love|prince|wisconsin,English,530
15,Robert Lopez,759,Winnie the Pooh ,15600,0,disney|owl|rabbit|sequel|tiger,English,73
14,Mimi Rogers,577,Dumb and Dumberer: When Harry Met Lloyd ,30651,0,1980s|buddy|high school|prequel to cult favorite|teenager,English,291
631,Kirk Baltz,631,Bulworth ,21998,1,hip hop|liberal|politics|senator|truth,English,199
150,Josh Hopkins,521,Get on Up ,15843,0,1970s|1980s|african american|breaking the fourth wall|mother son relationship,English,491
73,William Hurt,11000,One True Thing ,9283,3,cancer|job|love|new york|professor,English,882
32,Costas Mandylor,18000,Virtuosity ,23579,1,android|ex cop|serial killer|virtual character come to life|virtual reality,English,723
425,Eddie Izzard,973,My Super Ex-Girlfriend ,53884,1,architect|boyfriend girlfriend relationship|superhero|superhero spoof|supernatural power,English,776
301,Dorian Missick,2000,Deliver Us from Evil ,54447,0,confession|demonic possession|exorcism|flickering light|priest,English,1000
24,Rhys Wakefield,2000,Sanctum ,47003,0,cave|expedition|panic|rebreather|underwater,English,942
34,Kevin Sussman,1000,Little Black Book ,15052,1,electronic devices|gynecologist|little black book|plan|set up,English,681
89,Jacki Weaver,2000,The Five-Year Engagement ,78974,2,kissing while having sex|kitchen|reference to princess diana|wedding band|wedding ring,English,401
30,Chris Noth,1000,Mr 3000 ,12164,1,baseball|baseball movie|cartoon on tv|dodge viper|retirement,English,962
549,Daniel Stern,10000,The Next Three Days ,146364,0,argument|evidence|fingerprints|murder|murder weapon,English,796
110,Cameron Bright,14000,Ultraviolet ,70341,1,boy|disease|hemophagia|speed|vampire,English,829
25,Drea de Matteo,954,Assault on Precinct 13 ,65979,1,criminal|mobster|new year's eve|police|sergeant,English,739
845,Clifton Collins Jr.,978,The Replacement Killers ,23345,2,forger|hitman|passport|police|replacement,English,968
