director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,num_voted_users,actor_3_name,facenumber_in_poster,plot_keywords,language,country,content_rating,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Martin McDonagh,401,110,454,816,2000,185845,Michael Stuhlbarg,7,dognapping|gangster|misfiring gun|screenwriter|shih tzu,English,UK,R,906,7.2,2.35,52000
Kasi Lemmons,58,105,148,400,539,5602,Aunjanue Ellis,0,chrysler building manhattan new york city|delusion|manhattan new york city|new york city|title directed by female,English,USA,R,508,6.0,1.85,329
,1,41,,2,70,271,Jaroslaw Boberek,4,,Polish,Poland,,2,7.4,,64
Oliver Hirschbiegel,192,178,101,471,918,248354,Alexandra Maria Lara,0,bunker|hitler|nazi|no exit|war ruins,German,Germany,R,653,8.3,1.85,14000
Alejandro Amenábar,157,125,448,93,273,64556,Tamar Novas,1,dignity|euthanasia|freedom|lawyer|sailor,Spanish,Spain,PG-13,114,8.1,2.35,0
Jonathan Glazer,454,108,143,21,19000,85022,Alison Chand,0,alien|desire|female nudity|male frontal nudity|scotland,English,UK,R,50,6.3,1.85,29000
Barry Levinson,62,121,272,227,49000,98348,Bruno Kirby,1,disc jockey|friendship|radio|vietnam|vietnamese,English,USA,R,263,7.3,1.85,0
Hyung-rae Shim,4,100,26,385,898,912,Michael Rispoli,5,mafia|mafia boss|mafiosi|mafioso|three word title,English,South Korea,PG-13,391,3.6,1.78,502
Jon M. Chu,84,115,209,41,569,74351,Boys II Men,1,boyhood friend|manager|plasma tv|prodigy|star,English,USA,G,69,1.6,1.85,62000
Darren Aronofsky,669,108,0,1000,20000,551363,Mark Margolis,1,ballerina|ballet|fear|female protagonist|madness,English,USA,R,15000,8.0,2.35,106000
José Padilha,492,117,294,1000,10000,182910,Jennifer Ehle,0,law enforcement|police|robocop|robot|technology,English,USA,PG-13,2000,6.2,2.35,60000
Francis Ford Coppola,149,220,0,3000,22000,790926,Robert Duvall,1,1950s|corrupt politician|lake tahoe nevada|melancholy|revenge,English,USA,R,14000,9.0,1.85,14000
Thomas Carter,101,112,49,237,656,47876,Fredro Starr,0,dance|dancing|ghetto|hip hop|imperative in title,English,USA,PG-13,363,6.1,1.85,0
Renny Harlin,102,99,212,54,130,36108,Brooke Bundy,0,demon|dream|elm street|freddy krueger|nightmare,English,USA,R,125,5.7,1.85,0
Patricia Riggen,63,109,36,579,3000,6276,Martin Henderson,0,child cancer|christian film|christianity|falling into a hole|inspiring,English,USA,PG,3000,6.8,1.85,16000
Danny Leiner,106,83,8,612,3000,116625,Marla Sokoloff,2,bare chested male|gay kiss|homoeroticism|lesbian kiss|transsexual,English,USA,PG-13,934,5.5,1.37,0
Christopher Cain,50,107,58,316,549,42614,Brian Keith,5,army|cattle|deputy|new mexico|rancher,English,USA,R,439,6.8,1.85,0
Theodore Melfi,275,102,51,360,13000,72803,Reg E. Cathey,3,bullying|grumpy old man|school presentation|stroke|stroke recovery,English,USA,PG-13,6000,7.3,1.85,33000
Steve Pink,90,100,38,460,833,16979,Bryan Callen,4,bedroom|boyfriend girlfriend relationship|hug|interrupted sex|urban setting,English,USA,R,807,6.1,2.35,0
Gil Junger,133,97,19,835,23000,222099,Andrew Keegan,6,dating|protective father|school|shrew|teen movie,English,USA,PG-13,13000,7.2,1.85,10000
Ed Decter,49,92,13,301,11000,28805,Gene Simmons,1,cheerleader|geek|high school|prison|reference to janet jackson,English,USA,PG-13,489,5.9,1.85,1000
Gene Quintano,19,84,0,182,11000,37611,Bill Nunn,2,cookie|detective|microfilm|parody|sergeant,English,USA,PG-13,852,6.1,1.85,0
