director_name,num_critic_for_reviews,director_facebook_likes,actor_3_facebook_likes,gross,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,movie_imdb_link,num_user_for_reviews,language,content_rating,budget,title_year,imdb_score
Jan de Bont,114,101,780,121248145,Keanu Reeves,Speed ,260981,20966,Joe Morton,http://www.imdb.com/title/tt0111257/?ref_=fn_tt_tt_1,373,English,R,25000000,1994,7.2
Michael Sucsy,214,23,281,125014030,Channing Tatum,The Vow ,145852,18322,Dillon Casey,http://www.imdb.com/title/tt1606389/?ref_=fn_tt_tt_1,164,English,PG-13,30000000,2012,6.8
Tom Vaughan,126,12,946,11854694,Harrison Ford,Extraordinary Measures ,14281,17560,Alan Ruck,http://www.imdb.com/title/tt1244659/?ref_=fn_tt_tt_1,64,English,PG,31000000,2010,6.5
Boaz Yakin,157,132,1000,115648585,Ryan Gosling,Remember the Titans ,160776,54877,Ethan Suplee,http://www.imdb.com/title/tt0210945/?ref_=fn_tt_tt_1,402,English,PG,30000000,2000,7.8
John McTiernan,104,323,495,122012643,Scott Glenn,The Hunt for Red October ,143696,2575,Courtney B. Vance,http://www.imdb.com/title/tt0099810/?ref_=fn_tt_tt_1,241,English,PG,30000000,1990,7.6
Lee Daniels,304,304,898,116631310,Alex Pettyfer,Lee Daniels' The Butler ,87665,20035,Vanessa Redgrave,http://www.imdb.com/title/tt1327773/?ref_=fn_tt_tt_1,323,English,PG-13,30000000,2013,7.2
Rawson Marshall Thurber,191,43,936,114324072,Gary Cole,Dodgeball: A True Underdog Story ,185338,4730,Joel David Moore,http://www.imdb.com/title/tt0364725/?ref_=fn_tt_tt_1,392,English,PG-13,20000000,2004,6.7
Barry Sonnenfeld,55,188,436,113502246,Anjelica Huston,The Addams Family ,96607,3696,Carel Struycken,http://www.imdb.com/title/tt0101272/?ref_=fn_tt_tt_1,125,English,PG-13,38000000,1991,6.8
Steve Oedekerk,59,176,460,108360000,Bruce Spence,Ace Ventura: When Nature Calls ,160321,2203,Sophie Okonedo,http://www.imdb.com/title/tt0112281/?ref_=fn_tt_tt_1,178,English,PG-13,30000000,1995,6.3
Garry Marshall,108,0,529,108244774,Anne Hathaway,The Princess Diaries ,94049,13645,Heather Matarazzo,http://www.imdb.com/title/tt0247638/?ref_=fn_tt_tt_1,301,English,G,37000000,2001,6.2
Hugh Wilson,50,37,452,105444419,Stockard Channing,The First Wives Club ,31817,3143,Stephen Collins,http://www.imdb.com/title/tt0116313/?ref_=fn_tt_tt_1,117,English,PG,26000000,1996,6.2
David Fincher,216,21000,360,100125340,Morgan Freeman,Se7en ,1023511,22678,Reg E. Cathey,http://www.imdb.com/title/tt0114369/?ref_=fn_tt_tt_1,1080,English,R,33000000,1995,8.6
Neill Blomkamp,472,662,107,115646235,Sharlto Copley,District 9 ,531737,2639,Jason Cope,http://www.imdb.com/title/tt1136608/?ref_=fn_tt_tt_1,1262,English,R,30000000,2009,8.0
Stephen Hillenburg,89,47,217,85416609,Scarlett Johansson,The SpongeBob SquarePants Movie ,58906,20097,Rodger Bumpass,http://www.imdb.com/title/tt0345950/?ref_=fn_tt_tt_1,186,English,PG,30000000,2004,7.0
Clint Eastwood,229,16000,262,90135191,John Doman,Mystic River ,338415,1942,Tom Guiry,http://www.imdb.com/title/tt0327056/?ref_=fn_tt_tt_1,935,English,R,25000000,2003,8.0
Clint Eastwood,268,16000,567,100422786,Clint Eastwood,Million Dollar Baby ,482064,28830,Mike Colter,http://www.imdb.com/title/tt0405159/?ref_=fn_tt_tt_1,1106,English,PG-13,30000000,2004,8.1
Harold Ramis,145,11000,636,106694016,Robert De Niro,Analyze This ,123940,24333,Molly Shannon,http://www.imdb.com/title/tt0122933/?ref_=fn_tt_tt_1,337,English,R,30000000,1999,6.7
Nick Cassavetes,177,415,545,64286,Ryan Gosling,The Notebook ,396396,34495,Gena Rowlands,http://www.imdb.com/title/tt0332280/?ref_=fn_tt_tt_1,1111,English,PG-13,29000000,2004,7.9
Anne Fletcher,175,98,71,76806312,Judy Greer,27 Dresses ,124501,2978,Yetta Gottesman,http://www.imdb.com/title/tt0988595/?ref_=fn_tt_tt_1,154,English,PG-13,30000000,2008,6.1
Peter Chelsom,131,23,635,79566871,Emily Osment,Hannah Montana: The Movie ,31760,4516,Moises Arias,http://www.imdb.com/title/tt1114677/?ref_=fn_tt_tt_1,140,English,G,30000000,2009,4.2
Stig Bergqvist,41,0,786,76501438,Elizabeth Daily,Rugrats in Paris: The Movie ,8146,4527,Debbie Reynolds,http://www.imdb.com/title/tt0213203/?ref_=fn_tt_tt_1,49,English,G,30000000,2000,6.1
Barbra Streisand,30,0,252,74787599,George Carlin,The Prince of Tides ,12549,1936,Melinda Dillon,http://www.imdb.com/title/tt0102713/?ref_=fn_tt_tt_1,109,English,R,30000000,1991,6.6
Edward Zwick,57,380,918,66528842,Anthony Hopkins,Legends of the Fall ,112175,26388,Julia Ormond,http://www.imdb.com/title/tt0110322/?ref_=fn_tt_tt_1,329,English,R,30000000,1994,7.5
Jason Reitman,391,655,940,83813460,J.K. Simmons,Up in the Air ,270238,35209,Chris Lowell,http://www.imdb.com/title/tt1193138/?ref_=fn_tt_tt_1,452,English,R,25000000,2009,7.4
Alexander Payne,217,729,322,65010106,Hope Davis,About Schmidt ,107557,1556,Howard Hesseman,http://www.imdb.com/title/tt0257360/?ref_=fn_tt_tt_1,612,English,R,30000000,2002,7.2
Jonathan Levine,452,129,7,66359959,Cory Hardrict,Warm Bodies ,184641,337,Daniel Rindress-Kay,http://www.imdb.com/title/tt1588173/?ref_=fn_tt_tt_1,326,English,PG-13,35000000,2013,6.9
Rian Johnson,589,0,502,66468315,Joseph Gordon-Levitt,Looper ,428916,37387,Tracie Thoms,http://www.imdb.com/title/tt1276104/?ref_=fn_tt_tt_1,667,English,R,30000000,2012,7.4
Chris Weitz,61,129,560,64172251,Chazz Palminteri,Down to Earth ,19079,2911,Wanda Sykes,http://www.imdb.com/title/tt0231775/?ref_=fn_tt_tt_1,122,English,PG-13,30000000,2001,5.4
Chris Noonan,79,108,204,66600000,Miriam Margolyes,Babe ,94435,1185,Roscoe Lee Browne,http://www.imdb.com/title/tt0112431/?ref_=fn_tt_tt_1,182,English,G,30000000,1995,6.8
David Frankel,234,64,329,63536011,Meryl Streep,Hope Springs ,34258,19420,Jean Smart,http://www.imdb.com/title/tt1535438/?ref_=fn_tt_tt_1,178,English,PG-13,30000000,2012,6.3
Nicholas Stoller,253,89,344,62877175,Mila Kunis,Forgetting Sarah Marshall ,217507,16758,Maria Thayer,http://www.imdb.com/title/tt0800039/?ref_=fn_tt_tt_1,325,English,R,30000000,2008,7.2
,51,,690,,Zach Gilford,Friday Night Lights             ,42746,3418,Scott Porter,http://www.imdb.com/title/tt0758745/?ref_=fn_tt_tt_1,257,English,TV-14,,,8.7
John Singleton,123,309,482,74484168,Josh Charles,Four Brothers ,109894,2740,Fionnula Flanagan,http://www.imdb.com/title/tt0430105/?ref_=fn_tt_tt_1,340,English,R,45000000,2005,6.9
Michael McCullers,145,5,966,60269340,Tina Fey,Baby Mama ,34079,6930,Romany Malco,http://www.imdb.com/title/tt0871426/?ref_=fn_tt_tt_1,97,English,PG-13,30000000,2008,6.0
Forest Whitaker,65,0,545,60033780,Bill Cobbs,Hope Floats ,18973,2860,Gena Rowlands,http://www.imdb.com/title/tt0119313/?ref_=fn_tt_tt_1,162,English,PG-13,30000000,1998,5.9
Gary Winick,152,56,545,58715510,Anne Hathaway,Bride Wars ,79094,13794,Candice Bergen,http://www.imdb.com/title/tt0901476/?ref_=fn_tt_tt_1,129,English,PG,30000000,2009,5.4
Steven Brill,94,65,246,58156435,Antony Starr,Without a Paddle ,37479,1266,Bonnie Somerville,http://www.imdb.com/title/tt0364751/?ref_=fn_tt_tt_1,152,English,PG-13,19000000,2004,5.9
Gary Winick,119,56,533,56044241,Jennifer Garner,13 Going on 30 ,122187,6742,Christa B. Allen,http://www.imdb.com/title/tt0337563/?ref_=fn_tt_tt_1,339,English,PG-13,37000000,2004,6.1
Woody Allen,487,11000,183,56816662,Kurt Fuller,Midnight in Paris ,301149,1289,Nina Arianda,http://www.imdb.com/title/tt1605783/?ref_=fn_tt_tt_1,509,English,PG-13,17000000,2011,7.7
Peter Lepeniotis,121,7,691,64238770,Liam Neeson,The Nut Job ,19547,18795,Sarah Gadon,http://www.imdb.com/title/tt1821658/?ref_=fn_tt_tt_1,64,English,PG,42000000,2014,5.8
Ted Demme,147,47,877,52937130,Johnny Depp,Blow ,198066,43453,Jordi Mollà,http://www.imdb.com/title/tt0221027/?ref_=fn_tt_tt_1,426,English,R,30000000,2001,7.6
Luis Mandoki,85,43,362,52799004,Robin Wright,Message in a Bottle ,28942,19815,Raphael Sbarge,http://www.imdb.com/title/tt0139462/?ref_=fn_tt_tt_1,223,English,PG-13,55000000,1999,6.1
William Shatner,98,0,643,55210049,Leonard Nimoy,Star Trek V: The Final Frontier ,43743,14710,Walter Koenig,http://www.imdb.com/title/tt0098382/?ref_=fn_tt_tt_1,293,English,PG,27800000,1989,5.4
John Schultz,39,13,837,51432423,Brenda Song,Like Mike ,15074,3679,Anne Meara,http://www.imdb.com/title/tt0308506/?ref_=fn_tt_tt_1,72,English,PG,30000000,2002,5.1
Peter Segal,43,88,348,51109400,George Kennedy,Naked Gun 33 1/3: The Final Insult ,76850,4767,Priscilla Presley,http://www.imdb.com/title/tt0110622/?ref_=fn_tt_tt_1,85,English,PG-13,30000000,1994,6.4
John Glen,108,46,433,50300000,Patrick Macnee,A View to a Kill ,68565,2943,Tanya Roberts,http://www.imdb.com/title/tt0090264/?ref_=fn_tt_tt_1,300,English,PG,30000000,1985,6.3
Steve Box,209,9,100,56068547,Mark Gatiss,The Curse of the Were-Rabbit ,98160,1145,Peter Sallis,http://www.imdb.com/title/tt0312004/?ref_=fn_tt_tt_1,307,English,G,30000000,2005,7.5
Richard LaGravenese,131,98,37,53680848,Gerard Butler,P.S. I Love You ,167967,18726,Nellie McKay,http://www.imdb.com/title/tt0431308/?ref_=fn_tt_tt_1,243,English,PG-13,30000000,2007,7.1
Frederik Du Chau,73,7,521,49186871,Bruce Greenwood,Racing Stripes ,12570,2910,M. Emmet Walsh,http://www.imdb.com/title/tt0376105/?ref_=fn_tt_tt_1,86,English,PG,,2005,5.2
Joe Wright,316,456,286,50921738,Benedict Cumberbatch,Atonement ,192930,20499,Brenda Blethyn,http://www.imdb.com/title/tt0783233/?ref_=fn_tt_tt_1,581,English,R,30000000,2007,7.8
Gary Winick,159,56,22,53021560,Vanessa Redgrave,Letters to Juliet ,74630,1026,Luisa Ranieri,http://www.imdb.com/title/tt0892318/?ref_=fn_tt_tt_1,156,English,PG,30000000,2010,6.5
Ridley Scott,63,0,237,45645204,Stephen Root,Black Rain ,39306,1748,Kate Capshaw,http://www.imdb.com/title/tt0096933/?ref_=fn_tt_tt_1,119,English,R,30000000,1989,6.6
Bobby Farrelly,162,101,760,44328238,Kate Upton,The Three Stooges ,25484,6137,Sean Hayes,http://www.imdb.com/title/tt0383010/?ref_=fn_tt_tt_1,189,English,PG,,2012,5.1
Tim Burton,267,13000,973,53337608,Johnny Depp,Corpse Bride ,188785,60683,Joanna Lumley,http://www.imdb.com/title/tt0121164/?ref_=fn_tt_tt_1,467,English,PG,40000000,2005,7.4
James Gartner,95,0,543,42643187,Mehcad Brooks,Glory Road ,34910,2577,Derek Luke,http://www.imdb.com/title/tt0385726/?ref_=fn_tt_tt_1,145,English,PG,,2006,7.2
Denis Villeneuve,478,777,219,46875468,Edgar Arreola,Sicario ,196217,1467,Daniel Kaluuya,http://www.imdb.com/title/tt3397884/?ref_=fn_tt_tt_1,461,English,R,30000000,2015,7.6
Antoine Fuqua,305,845,424,52418902,Jake Gyllenhaal,Southpaw ,147128,16881,Oona Laurence,http://www.imdb.com/title/tt1798684/?ref_=fn_tt_tt_1,277,English,R,30000000,2015,7.5
Sam Raimi,397,0,828,42057340,Bojana Novakovic,Drag Me to Hell ,158354,5642,Reggie Lee,http://www.imdb.com/title/tt1127180/?ref_=fn_tt_tt_1,691,English,PG-13,30000000,2009,6.6
Lee Toland Krieger,214,43,1000,42478175,Harrison Ford,The Age of Adaline ,93767,15327,Ellen Burstyn,http://www.imdb.com/title/tt1655441/?ref_=fn_tt_tt_1,209,English,PG-13,25000000,2015,7.2
Tim McCanlies,82,23,1000,41407470,Haley Joel Osment,Secondhand Lions ,43378,9638,Emmanuelle Vaugier,http://www.imdb.com/title/tt0327137/?ref_=fn_tt_tt_1,292,English,PG,30000000,2003,7.6
Jon M. Chu,138,209,357,42385520,Alyson Stoner,Step Up 3D ,47297,4059,Facundo Lombard,http://www.imdb.com/title/tt1193631/?ref_=fn_tt_tt_1,86,English,PG-13,30000000,2010,6.2
John Stockwell,69,134,64,40118420,Faizon Love,Blue Crush ,26066,1165,Sanoe Lake,http://www.imdb.com/title/tt0300532/?ref_=fn_tt_tt_1,216,English,PG-13,30000000,2002,5.6
Marc Forster,253,395,77,40137776,Will Ferrell,Stranger Than Fiction ,186977,8362,Danny Rhodes,http://www.imdb.com/title/tt0420223/?ref_=fn_tt_tt_1,529,English,PG-13,38000000,2006,7.6
David Slade,304,171,63,39568996,Danny Huston,30 Days of Night ,138435,814,Megan Franich,http://www.imdb.com/title/tt0389722/?ref_=fn_tt_tt_1,527,English,R,32000000,2007,6.6
Drew Goddard,634,246,751,42043633,Chris Hemsworth,The Cabin in the Woods ,277172,29551,Kristen Connolly,http://www.imdb.com/title/tt1259521/?ref_=fn_tt_tt_1,986,English,R,30000000,2012,7.0
Jason Friedberg,111,82,362,38232624,Carmen Electra,Meet the Spartans ,88518,3854,Method Man,http://www.imdb.com/title/tt1073498/?ref_=fn_tt_tt_1,409,English,PG-13,30000000,2008,2.7
Martin Brest,77,102,497,38413606,Robert De Niro,Midnight Run ,54042,23866,Philip Baker Hall,http://www.imdb.com/title/tt0095631/?ref_=fn_tt_tt_1,215,English,R,30000000,1988,7.6
Paul Michael Glaser,120,343,384,38122105,Yaphet Kotto,The Running Man ,112669,2373,Richard Dawson,http://www.imdb.com/title/tt0093894/?ref_=fn_tt_tt_1,226,English,R,27000000,1987,6.6
Frank Oz,63,0,413,38747385,Bill Murray,Little Shop of Horrors ,49349,15308,Tisha Campbell-Martin,http://www.imdb.com/title/tt0091419/?ref_=fn_tt_tt_1,165,English,PG-13,25000000,1986,6.9
Joe Wright,417,456,21,40247512,Jessica Barden,Hanna ,159198,257,John Macmillan,http://www.imdb.com/title/tt0993842/?ref_=fn_tt_tt_1,438,English,PG-13,30000000,2011,6.8
,9,,468,,Zach Gilford,The Family             ,3322,3295,Liam James,http://www.imdb.com/title/tt4428038/?ref_=fn_tt_tt_1,30,English,TV-PG,,,7.5
John R. Leonetti,59,40,342,35927406,Brian Thompson,Mortal Kombat: Annihilation ,36363,2266,Robin Shou,http://www.imdb.com/title/tt0119707/?ref_=fn_tt_tt_1,256,English,PG-13,30000000,1997,3.7
Tom Hanks,218,15000,392,35565975,Tom Hanks,Larry Crowne ,49205,16827,Randall Park,http://www.imdb.com/title/tt1583420/?ref_=fn_tt_tt_1,184,English,PG-13,30000000,2011,6.1
Kimberly Peirce,359,108,534,35266619,Chloë Grace Moretz,Carrie ,108242,20051,Portia Doubleday,http://www.imdb.com/title/tt1939659/?ref_=fn_tt_tt_1,371,English,R,30000000,2013,5.9
Liz Friedlander,101,3,439,34703228,Alfre Woodard,Take the Lead ,21767,3797,Jasika Nicole,http://www.imdb.com/title/tt0446046/?ref_=fn_tt_tt_1,127,English,PG-13,30000000,2006,6.7
,52,,576,,Debi Mazar,Entourage             ,135643,2867,Kevin Dillon,http://www.imdb.com/title/tt0387199/?ref_=fn_tt_tt_1,145,English,TV-MA,,,8.5
Phil Joanou,85,21,581,38432823,Dwayne Johnson,Gridiron Gang ,33067,15811,Kevin Dunn,http://www.imdb.com/title/tt0421206/?ref_=fn_tt_tt_1,134,English,PG-13,30000000,2006,6.9
Sam Weisman,64,39,506,32095318,Bernie Mac,What's the Worst That Could Happen? ,12466,3664,Richard Schiff,http://www.imdb.com/title/tt0161083/?ref_=fn_tt_tt_1,84,English,PG-13,45000000,2001,5.5
Shane Acker,263,30,265,31743332,Martin Landau,9 ,111117,1594,Tom Kane,http://www.imdb.com/title/tt0472033/?ref_=fn_tt_tt_1,245,English,PG-13,30000000,2009,7.1
Steven Soderbergh,450,0,273,32154410,Channing Tatum,Side Effects ,148327,18469,Katie Lowes,http://www.imdb.com/title/tt2053463/?ref_=fn_tt_tt_1,274,English,R,30000000,2013,7.1
Martha Coolidge,85,57,438,28165882,Devin Ratray,The Prince and Me ,31984,3239,Luke Mably,http://www.imdb.com/title/tt0337697/?ref_=fn_tt_tt_1,154,English,PG,,2004,5.9
Stephen J. Anderson,162,15,69,26687172,Craig Ferguson,Winnie the Pooh ,15600,1002,Huell Howser,http://www.imdb.com/title/tt1449283/?ref_=fn_tt_tt_1,55,English,G,30000000,2011,7.3
Troy Miller,85,14,244,26096584,Elden Henson,Dumb and Dumberer: When Harry Met Lloyd ,30651,1653,Cheri Oteri,http://www.imdb.com/title/tt0329028/?ref_=fn_tt_tt_1,267,English,PG-13,19000000,2003,3.4
Warren Beatty,110,631,95,26525834,Warren Beatty,Bulworth ,21998,1023,Graham Beckel,http://www.imdb.com/title/tt0118798/?ref_=fn_tt_tt_1,227,English,R,30000000,1998,6.8
Tate Taylor,165,150,400,30513940,Tika Sumpter,Get on Up ,15843,2060,Aunjanue Ellis,http://www.imdb.com/title/tt2473602/?ref_=fn_tt_tt_1,104,English,PG-13,30000000,2014,6.9
Carl Franklin,64,73,433,23209440,Meryl Streep,One True Thing ,9283,12785,Tom Everett Scott,http://www.imdb.com/title/tt0120776/?ref_=fn_tt_tt_1,112,English,R,30000000,1998,7.0
Brett Leonard,44,32,650,24048000,Denzel Washington,Virtuosity ,23579,20772,Traci Lords,http://www.imdb.com/title/tt0114857/?ref_=fn_tt_tt_1,88,English,R,30000000,1995,5.5
Ivan Reitman,147,425,560,22526144,Rainn Wilson,My Super Ex-Girlfriend ,53884,2737,Wanda Sykes,http://www.imdb.com/title/tt0465624/?ref_=fn_tt_tt_1,203,English,PG-13,30000000,2006,5.1
Scott Derrickson,242,301,897,30523568,Olivia Munn,Deliver Us from Evil ,54447,5697,Edgar Ramírez,http://www.imdb.com/title/tt2377322/?ref_=fn_tt_tt_1,201,English,R,30000000,2014,6.2
Alister Grierson,244,24,653,23070045,Ioan Gruffudd,Sanctum ,47003,3892,Richard Roxburgh,http://www.imdb.com/title/tt0881320/?ref_=fn_tt_tt_1,215,English,R,30000000,2011,5.9
Nick Hurran,73,34,642,20422207,Holly Hunter,Little Black Book ,15052,4369,Dave Annable,http://www.imdb.com/title/tt0361841/?ref_=fn_tt_tt_1,116,English,PG-13,35000000,2004,5.2
Nicholas Stoller,232,89,372,28644770,Alison Brie,The Five-Year Engagement ,78974,3479,David Paymer,http://www.imdb.com/title/tt1195478/?ref_=fn_tt_tt_1,141,English,R,30000000,2012,6.2
Charles Stone III,63,30,635,21800302,Bernie Mac,Mr 3000 ,12164,4462,Paul Sorvino,http://www.imdb.com/title/tt0339412/?ref_=fn_tt_tt_1,63,English,PG-13,30000000,2004,5.5
Paul Haggis,239,549,343,21129348,Olivia Wilde,The Next Three Days ,146364,11799,Aisha Hinds,http://www.imdb.com/title/tt1458175/?ref_=fn_tt_tt_1,237,English,PG-13,35000000,2010,7.4
Kurt Wimmer,158,110,277,18500966,Milla Jovovich,Ultraviolet ,70341,15271,Nick Chinlund,http://www.imdb.com/title/tt0370032/?ref_=fn_tt_tt_1,830,English,PG-13,30000000,2006,4.4
Jean-François Richet,152,25,431,19976073,Brian Dennehy,Assault on Precinct 13 ,65979,3148,Hugh Dillon,http://www.imdb.com/title/tt0398712/?ref_=fn_tt_tt_1,220,English,R,20000000,2005,6.3
Antoine Fuqua,105,845,488,18967571,Mira Sorvino,The Replacement Killers ,23345,3072,Patrick Kilpatrick,http://www.imdb.com/title/tt0120008/?ref_=fn_tt_tt_1,167,English,R,30000000,1998,6.1
Kevin Hooks,36,114,537,17100000,Salma Hayek,Fled ,7073,6152,Will Patton,http://www.imdb.com/title/tt0116320/?ref_=fn_tt_tt_1,29,English,R,25000000,1996,5.3
Ellory Elkayem,181,11,762,17266505,Scarlett Johansson,Eight Legged Freaks ,43764,22554,Riley Smith,http://www.imdb.com/title/tt0271367/?ref_=fn_tt_tt_1,291,English,PG-13,30000000,2002,5.4
Edward Zwick,219,380,2000,32357532,Jake Gyllenhaal,Love & Other Drugs ,143368,31278,Judy Greer,http://www.imdb.com/title/tt0758752/?ref_=fn_tt_tt_1,215,English,R,30000000,2010,6.7
Jon Avnet,158,50,494,16930884,Al Pacino,88 Minutes ,65628,16722,Deborah Kara Unger,http://www.imdb.com/title/tt0411061/?ref_=fn_tt_tt_1,262,English,R,30000000,2007,5.9
Niki Caro,155,51,874,18324242,Jeremy Renner,North Country ,32815,20563,Sissy Spacek,http://www.imdb.com/title/tt0395972/?ref_=fn_tt_tt_1,214,English,R,35000000,2005,7.3
Howard Deutch,74,41,900,16323969,Bruce Willis,The Whole Ten Yards ,45775,18085,Natasha Henstridge,http://www.imdb.com/title/tt0327247/?ref_=fn_tt_tt_1,112,English,PG-13,40000000,2004,5.5
Vincenzo Natali,368,165,559,16999046,Sarah Polley,Splice ,79517,2222,Delphine Chanéac,http://www.imdb.com/title/tt1017460/?ref_=fn_tt_tt_1,354,English,R,26000000,2009,5.8
Willard Huyck,81,8,322,16295774,Lea Thompson,Howard the Duck ,33669,3000,Jordan Prentice,http://www.imdb.com/title/tt0091225/?ref_=fn_tt_tt_1,269,English,PG,35000000,1986,4.6
Gavin O'Connor,154,149,798,15709385,Jennifer Ehle,Pride and Glory ,53053,5101,Frank Grillo,http://www.imdb.com/title/tt0482572/?ref_=fn_tt_tt_1,132,English,R,30000000,2008,6.7
Bruce Hunt,140,2,258,14888028,Eddie Cibrian,The Cave ,28606,2178,Marcel Iures,http://www.imdb.com/title/tt0402901/?ref_=fn_tt_tt_1,262,English,PG-13,30000000,2005,5.1
Rob Reiner,73,0,130,14208384,David Paymer,Alex & Emma ,11520,977,Robert Costanzo,http://www.imdb.com/title/tt0318283/?ref_=fn_tt_tt_1,105,English,PG-13,30000000,2003,5.6
Paul McGuigan,98,118,40,12831121,Jessica Paré,Wicker Park ,44979,679,Mark Camacho,http://www.imdb.com/title/tt0324554/?ref_=fn_tt_tt_1,298,English,PG-13,30000000,2004,7.0
Craig Gillespie,358,44,133,18298649,Grace Phipps,Fright Night ,85024,1393,Sandra Vergara,http://www.imdb.com/title/tt1438176/?ref_=fn_tt_tt_1,242,English,R,30000000,2011,6.4
Terrence Malick,222,0,855,12712093,Christian Bale,The New World ,70771,27829,Wes Studi,http://www.imdb.com/title/tt0402399/?ref_=fn_tt_tt_1,671,English,PG-13,30000000,2005,6.7
Chris Roberts,85,38,362,11576087,Saffron Burrows,Wing Commander ,14747,2497,Jürgen Prochnow,http://www.imdb.com/title/tt0131646/?ref_=fn_tt_tt_1,338,English,PG-13,30000000,1999,4.1
Neil Jordan,62,277,210,11900000,Robert Downey Jr.,In Dreams ,11003,22006,Paul Guilfoyle,http://www.imdb.com/title/tt0120710/?ref_=fn_tt_tt_1,148,English,R,30000000,1999,5.5
James Wong,130,70,99,9353573,Ian Whyte,Dragonball: Evolution ,56451,1100,Randall Duk Kim,http://www.imdb.com/title/tt1098327/?ref_=fn_tt_tt_1,524,English,PG,45000000,2009,2.7
Jee-woon Kim,376,419,165,12026670,Zach Gilford,The Last Stand ,114241,1643,Christiana Leucas,http://www.imdb.com/title/tt1549920/?ref_=fn_tt_tt_1,258,English,R,45000000,2013,6.4
Nick Hamm,130,6,353,14334645,Robert De Niro,Godsend ,22449,23352,Munro Chambers,http://www.imdb.com/title/tt0335121/?ref_=fn_tt_tt_1,191,English,PG-13,25000000,2004,4.8
Andy Cadiff,65,3,120,12189514,Annabella Sciorra,Chasing Liberty ,30092,842,Terence Maynard,http://www.imdb.com/title/tt0360139/?ref_=fn_tt_tt_1,129,English,PG-13,23000000,2004,6.1
Mike Disa,77,6,843,10134754,Amy Poehler,Hoodwinked Too! Hood vs. Evil ,9682,5393,Cheech Marin,http://www.imdb.com/title/tt0844993/?ref_=fn_tt_tt_1,38,English,PG,30000000,2011,4.8
Lasse Hallström,107,529,83,8535575,Morgan Freeman,An Unfinished Life ,24033,11519,Lynda Boyd,http://www.imdb.com/title/tt0350261/?ref_=fn_tt_tt_1,152,English,PG-13,30000000,2005,7.0
Terry Gilliam,292,0,645,7689458,Andrew Garfield,The Imaginarium of Doctor Parnassus ,126307,11769,Verne Troyer,http://www.imdb.com/title/tt1054606/?ref_=fn_tt_tt_1,210,English,PG-13,40000000,2009,6.8
Richard J. Lewis,193,12,329,7501404,Mark Addy,Barney's Version ,21086,1873,Paul Gross,http://www.imdb.com/title/tt1423894/?ref_=fn_tt_tt_1,87,English,R,,2010,7.3
,16,,51,,Ólafur Darri Ólafsson,Trapped             ,2308,307,Björn Hlynur Haraldsson,http://www.imdb.com/title/tt3561180/?ref_=fn_tt_tt_1,19,Icelandic,,,,8.2
Brad Furman,184,65,681,19316646,Justin Timberlake,Runner Runner ,52069,5706,David Costabile,http://www.imdb.com/title/tt2364841/?ref_=fn_tt_tt_1,95,English,R,30000000,2013,5.6
Peter Howitt,123,29,91,10965209,Tyler Labine,Antitrust ,25558,1297,Ned Bellamy,http://www.imdb.com/title/tt0218817/?ref_=fn_tt_tt_1,221,English,PG-13,30000000,2001,6.1
Edward Zwick,60,380,2000,26830000,Denzel Washington,Glory ,101888,32930,Matthew Broderick,http://www.imdb.com/title/tt0097441/?ref_=fn_tt_tt_1,365,English,R,18000000,1989,7.9
Sergio Leone,111,0,642,5300000,Robert De Niro,Once Upon a Time in America ,221000,24719,Treat Williams,http://www.imdb.com/title/tt0087843/?ref_=fn_tt_tt_1,495,English,R,30000000,1984,8.4
Niels Arden Oplev,217,76,174,10880926,Dominic Cooper,Dead Man Down ,54147,4253,James Biberi,http://www.imdb.com/title/tt2101341/?ref_=fn_tt_tt_1,127,English,R,30000000,2013,6.5
Michael Radford,117,53,548,3752725,Al Pacino,The Merchant of Venice ,29715,16252,Kris Marshall,http://www.imdb.com/title/tt0379889/?ref_=fn_tt_tt_1,161,English,R,18000000,2004,7.1
Neil Jordan,105,277,345,3517797,Emir Kusturica,The Good Thief ,9004,2759,Tchéky Karyo,http://www.imdb.com/title/tt0281820/?ref_=fn_tt_tt_1,103,English,R,25000000,2002,6.6
Steve Boyum,41,9,826,3101301,Channing Tatum,Supercross ,3926,21519,Steve Howey,http://www.imdb.com/title/tt0403016/?ref_=fn_tt_tt_1,38,English,PG-13,,2005,4.0
Chris Noonan,124,108,135,2975649,Emily Watson,Miss Potter ,23864,1518,Lucy Boynton,http://www.imdb.com/title/tt0482546/?ref_=fn_tt_tt_1,142,English,PG,30000000,2006,7.0
Kaige Chen,90,45,107,668171,Dong-gun Jang,The Promise ,8215,949,Nicholas Tse,http://www.imdb.com/title/tt0417976/?ref_=fn_tt_tt_1,132,Mandarin,PG-13,60000000,2005,5.6
Corey Yuen,110,23,748,480314,Steve Howey,DOA: Dead or Alive ,38503,4473,Sarah Carter,http://www.imdb.com/title/tt0398913/?ref_=fn_tt_tt_1,180,English,PG-13,21000000,2006,4.8
Andrew Dominik,273,181,820,3904982,Brad Pitt,The Assassination of Jesse James by the Coward Robert Ford ,136104,22516,Sam Shepard,http://www.imdb.com/title/tt0443680/?ref_=fn_tt_tt_1,415,English,R,30000000,2007,7.5
