director_name,director_facebook_likes,actor_3_facebook_likes,actor_2_name,genres,actor_1_name,cast_total_facebook_likes,actor_3_name,plot_keywords,language,budget,title_year,imdb_score,aspect_ratio
George Tillman Jr.,88,975,Charlize Theron,Biography|Drama,Robert De Niro,36069,Michael Rapaport,african american|amputee|navy|racial discrimination|racism,English,32000000,2000,7.2,2.35
John Luessenhop,34,1000,Hayden Christensen,Action|Crime|Thriller,Paul Walker,31529,Jay Hernandez,armored car|bank|falling out among thieves|heist|planning,English,20000000,2010,6.2,2.35
Justin Zackham,16,2000,Robert De Niro,Comedy,Robin Williams,74181,Topher Grace,adoption|divorce|family relationships|farce|wedding,English,35000000,2013,5.6,2.35
John Whitesell,14,534,Tony Curran,Action|Comedy|Crime,Brandon T. Jackson,3500,Portia Doubleday,fbi agent|murder|performing arts school|scene during end credits|undercover,English,32000000,2011,4.4,2.35
Duncan Jones,0,355,Cas Anvar,Mystery|Sci-Fi|Thriller,Jake Gyllenhaal,16034,Russell Peters,bomber|time|time loop|train|trapped in a time loop,English,32000000,2011,7.5,1.85
Frank Marshall,155,240,Danny Nucci,Adventure|Biography|Drama|Thriller,Illeana Douglas,2054,Michael DeLorenzo,andes mountains|crash|death|starvation|stranded,English,32000000,1993,7.1,1.85
Joel Schumacher,541,897,Virginia Madsen,Mystery|Thriller,Logan Lerman,10938,Ed Lauter,destiny|detective|imagination|murder|sex scene,English,32000000,2007,6.4,2.35
Jean-Pierre Jeunet,0,223,Julian Richings,Action|Adventure|Drama|Family,Callum Rennie,1843,Judy Davis,3 dimensional|cartographer|punctuation in title|smithsonian|train,English,33000000,2013,7.1,2.35
Steven Spielberg,14000,642,John Belushi,Action|Comedy|War,Christopher Lee,20201,Treat Williams,california|captain|cult film|pearl harbor|submarine,English,35000000,1979,5.9,2.35
John Gatins,61,83,Freddy Rodríguez,Drama|Family|Sport,Ken Howard,1400,Holmes Osborne,colon in title|horse|kentucky|overalls|six word title,English,32000000,2005,6.9,2.35
David Cronenberg,0,882,Kyle Schmid,Crime|Drama|Thriller,Viggo Mortensen,12754,William Hurt,bar|crotch shot|female full frontal nudity|female pubic hair|robbery,English,32000000,2005,7.5,1.85
Louis Leterrier,255,810,Jason Flemyng,Action|Crime|Thriller,Jason Statham,29050,Matthew Modine,driver|french|kidnapping|police|sequel,English,32000000,2005,6.3,2.35
Sam Raimi,0,159,Pat Hingle,Action|Thriller|Western,Leonardo DiCaprio,29743,Roberts Blossom,authority figure as villian|gun duel|saved from hanging|showdown|street shootout,English,32000000,1995,6.4,1.85
Peter Howitt,29,142,Mike Doyle,Comedy|Romance,Frances Fisher,961,Nora Dunn,date|divorce|divorce lawyer|drinking|lawyer,English,28000000,2004,5.9,2.35
Martin Scorsese,17000,245,Marc Anthony,Drama|Thriller,Nicolas Cage,13040,Sonja Sohn,ambulance|ghost|hell|paramedic|rescue,English,55000000,1999,6.8,2.35
Miguel Sapochnik,238,447,RZA,Action|Crime|Sci-Fi|Thriller,Alice Braga,2925,Yvette Nicole Brown,artificial organ|best friend|enforcer|future|near future,English,32000000,2010,6.3,2.35
Hyung-rae Shim,26,535,Aimee Garcia,Action|Drama|Fantasy|Horror|Thriller,Robert Forster,3274,Chris Mulkey,antique shop|asian dragon|dragon|korean|reporter,English,35000000,2007,3.6,2.35
Norman Jewison,278,179,Nancy Travis,Comedy|Family|Fantasy,Haley Joel Osment,3864,Andrea Martin,box office flop|circus|imaginary friend|magician|one word title,English,30000000,1996,5.3,1.85
Don Scardino,35,7000,Olivia Wilde,Comedy,Steve Buscemi,32094,Steve Carell,magic|magic kit|magician|stage magician|vegas,English,30000000,2013,5.9,2.35
Mark Dindal,10,826,Frank Welker,Animation|Comedy|Family|Fantasy|Musical,George Kennedy,7394,Hal Holbrook,animal|cat|child star|hollywood|star,English,32000000,1997,6.9,1.33
Tim Robbins,0,876,Vanessa Redgrave,Drama,Bill Murray,16878,Emily Watson,1930s|depression|play|theatre|union,English,32000000,1999,6.9,2.35
Steven Soderbergh,0,308,Beau Bridges,Drama|Mystery|Thriller,Tony Curran,2355,Leland Orser,american|driver|journalist|russian|secret,English,32000000,2006,6.1,1.66
Tom Reeve,0,239,Rollo Weeks,Action|Adventure|Comedy|Fantasy|Romance,Joan Plowright,1073,Simon Callow,dragon|knight|love|priest|princess,English,32000000,2004,5.7,2.35
Francis Ford Coppola,0,3000,Marlon Brando,Drama|War,Harrison Ford,25313,Robert Duvall,army|green beret|insanity|jungle|vietnam,English,31500000,1979,8.5,2.35
Nanette Burstein,8,472,Kelli Garner,Comedy|Romance,Rob Riggle,2961,Jim Gaffigan,bar|job|long distance relationship|male pubic hair|pubic hair,English,32000000,2010,6.3,2.35
Stephen Herek,65,320,Olympia Dukakis,Drama|Music,Alicia Witt,2223,Jean Louisa Kelly,1990s|high school|high school teacher|teacher inspires students|teaching,English,6500000,1995,7.3,2.35
Ariel Vromen,34,24,Jordi Mollà,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,Gary Oldman,10910,Doug Cockle,cia|husband wife relationship|memory|tied up while barefoot|violence,English,31500000,2016,6.3,2.35
Sydney Pollack,521,184,Michael Gough,Biography|Drama|Romance,Meryl Streep,12518,Michael Kitchen,africa|hunter|love|marriage|plantation,English,31000000,1985,7.2,1.85
Robert Zemeckis,0,874,Bruce Greenwood,Drama|Thriller,Denzel Washington,20952,Nadine Velazquez,airline|flight|flight attendant|lawyer|pilot,English,31000000,2012,7.3,2.35
Lewis Gilbert,43,177,Lois Chiles,Action|Adventure|Sci-Fi|Thriller,Desmond Llewelyn,1008,Lois Maxwell,astronaut|dog|official james bond series|space shuttle|space shuttle transported on a 747,English,34000000,1979,6.3,2.35
Wes Anderson,0,670,Tom Wilkinson,Adventure|Comedy|Crime|Drama,Bill Murray,15082,F. Murray Abraham,first person narration|hotel|lobby boy|mentor protege relationship|painting,English,25000000,2014,8.1,1.37
Scott Hicks,96,442,Mika Boorem,Drama|Mystery,Anthony Hopkins,13811,Hope Davis,based on multiple works|bully|kiss|memory|mysterious stranger,English,31000000,2001,6.9,2.35
Frank Marshall,155,125,Peter Jason,Comedy|Fantasy|Horror|Thriller,Julian Sands,1440,Brian McNamara,arachnophobia|death|doctor|small town|spider,English,31000000,1990,6.3,1.85
Gregory Hoblit,40,617,Andre Braugher,Crime|Drama|Mystery|Sci-Fi|Thriller,Dennis Quaid,4045,Noah Emmerich,altering history|alternate history|amateur radio|ham radio|paranormal phenomena,English,31000000,2000,7.3,2.35
Paul Feig,176,322,Kate McKinnon,Action|Comedy|Fantasy|Sci-Fi,Ed Begley Jr.,2097,Zach Woods,ghost|ghostbuster|ghostbusters|male objectification|reboot,English,144000000,2016,5.5,2.35
John Francis Daley,0,816,Norman Reedus,Adventure|Comedy,Chris Hemsworth,40312,Beverly D'Angelo,amusement park|dysfunctional family|road trip|sequel|vacation,English,31000000,2015,6.1,2.35
Barry Sonnenfeld,188,482,Rene Russo,Comedy|Crime|Thriller,Delroy Lindo,3439,Jon Gries,debt|loan shark|mobster|movie business|producer,English,30250000,1995,6.9,1.85
Rob Marshall,252,90,Chita Rivera,Comedy|Crime|Musical,Colm Feore,813,Jayne Eastwood,fame|jail|jazz age|murder|vaudeville,English,45000000,2002,7.2,1.85
Dennis Dugan,221,781,Adam Sandler,Comedy|Drama,Steve Buscemi,26760,Joey Lauren Adams,homosexual|law|law school|responsibility|vomiting,English,34200000,1999,6.4,1.85
J.B. Rogers,6,1000,Shannon Elizabeth,Comedy,Alyson Hannigan,7872,Natasha Lyonne,beach|beach house|college|party|student,English,30000000,2001,6.4,1.85
John Lasseter,487,802,John Ratzenberger,Adventure|Animation|Comedy|Family|Fantasy,Tom Hanks,19046,Jim Varney,claw crane|cowboy|jealousy|rivalry|toy,English,30000000,1995,8.3,1.85
Jan de Bont,101,780,Alan Ruck,Action|Adventure|Crime|Thriller,Keanu Reeves,20966,Joe Morton,bomb|bus|elevator|explosive|rescue,English,25000000,1994,7.2,2.35
Michael Sucsy,23,281,Lucas Bryant,Drama|Romance,Channing Tatum,18322,Dillon Casey,car accident|life support|memory loss|trauma|voice recording,English,30000000,2012,6.8,2.35
Tom Vaughan,12,946,Brendan Fraser,Drama,Harrison Ford,17560,Alan Ruck,cure|disease|imagination|race against time|venture capital,English,31000000,2010,6.5,1.85
Boaz Yakin,132,1000,Denzel Washington,Biography|Drama|Sport,Ryan Gosling,54877,Ethan Suplee,american football|based on true story|head coach|high school|school,English,30000000,2000,7.8,2.35
John McTiernan,323,495,Jeffrey Jones,Action|Adventure|Thriller,Scott Glenn,2575,Courtney B. Vance,analyst|defection|navy|soviet submarine|submarine,English,30000000,1990,7.6,2.35
Lee Daniels,304,898,David Oyelowo,Biography|Drama,Alex Pettyfer,20035,Vanessa Redgrave,butler|civil rights|hotel|president|white house,English,30000000,2013,7.2,1.85
Rawson Marshall Thurber,43,936,Stephen Root,Comedy|Sport,Gary Cole,4730,Joel David Moore,dodgeball|gym|las vegas|pirate|ups,English,20000000,2004,6.7,2.35
Barry Sonnenfeld,188,436,Raul Julia,Comedy|Fantasy,Anjelica Huston,3696,Carel Struycken,accountant|loan shark|macabre|uncle|uncle fester,English,38000000,1991,6.8,1.85
Steve Oedekerk,176,460,Bob Gunton,Adventure|Comedy,Bruce Spence,2203,Sophie Okonedo,africa|bat|hawaiian shirt|pregnancy|pregnant,English,30000000,1995,6.3,2.35
Garry Marshall,0,529,Hector Elizondo,Comedy|Family|Romance,Anne Hathaway,13645,Heather Matarazzo,cinderella story|fish out of water|makeover|manners|princess,English,37000000,2001,6.2,1.85
Hugh Wilson,37,452,Elizabeth Berkley,Comedy,Stockard Channing,3143,Stephen Collins,cult film|female therapist|revenge|revenge motive|therapy session,English,26000000,1996,6.2,1.85
David Fincher,21000,360,Brad Pitt,Crime|Drama|Mystery|Thriller,Morgan Freeman,22678,Reg E. Cathey,detective|police partner|serial killer|serial murder|seven deadly sins,English,33000000,1995,8.6,2.35
Neill Blomkamp,662,107,Jed Brophy,Action|Sci-Fi|Thriller,Sharlto Copley,2639,Jason Cope,alien|ghetto|prawn|refugee|refugee camp,English,30000000,2009,8.0,1.85
Stephen Hillenburg,47,217,Bill Fagerbakke,Adventure|Animation|Comedy|Family|Fantasy,Scarlett Johansson,20097,Rodger Bumpass,based on tv series|crown|dream|king neptune|plankton,English,30000000,2004,7.0,1.85
Clint Eastwood,16000,262,Spencer Treat Clark,Crime|Drama|Mystery|Thriller,John Doman,1942,Tom Guiry,ballistics|detective|friend|gun|sexual abuse,English,25000000,2003,8.0,2.35
Clint Eastwood,16000,567,Morgan Freeman,Drama|Sport,Clint Eastwood,28830,Mike Colter,boxing|boxing trainer|death|suicide attempt|women boxing,English,30000000,2004,8.1,2.35
Harold Ramis,11000,636,Chazz Palminteri,Comedy|Crime,Robert De Niro,24333,Molly Shannon,analyst|mafia|patient|psychiatrist|wedding,English,30000000,1999,6.7,1.85
Nick Cassavetes,415,545,Kevin Connolly,Drama|Romance,Ryan Gosling,34495,Gena Rowlands,class differences|letter|nursing home|second chance|summer love,English,29000000,2004,7.9,2.35
Anne Fletcher,98,71,Bern Cohen,Comedy|Romance,Judy Greer,2978,Yetta Gottesman,boss|bridesmaid|friend|love|wedding,English,30000000,2008,6.1,2.35
Peter Chelsom,23,635,Vanessa Williams,Comedy|Drama|Family|Music|Romance,Emily Osment,4516,Moises Arias,farm|female protagonist|hannah montana|horseback riding|overalls,English,30000000,2009,4.2,1.85
Stig Bergqvist,0,786,Casey Kasem,Adventure|Animation|Comedy|Family|Romance,Elizabeth Daily,4527,Debbie Reynolds,amusement park|baby|france|paris france|villain,English,30000000,2000,6.1,1.85
Barbra Streisand,0,252,Blythe Danner,Drama|Romance,George Carlin,1936,Melinda Dillon,new york|psychiatrist|shrimper|south carolina|twins,English,30000000,1991,6.6,1.85
Edward Zwick,380,918,Brad Pitt,Drama|Romance|War|Western,Anthony Hopkins,26388,Julia Ormond,epic|heart|killing an animal|passion|usa,English,30000000,1994,7.5,1.85
Jason Reitman,655,940,Anna Kendrick,Drama|Romance,J.K. Simmons,35209,Chris Lowell,airport|business trip|downsizing|on the road|travel,English,25000000,2009,7.4,1.85
Alexander Payne,729,322,June Squibb,Comedy|Drama,Hope Davis,1556,Howard Hesseman,highway travel|on the road|retirement|road movie|wedding,English,30000000,2002,7.2,1.85
Jonathan Levine,129,7,Vincent Leclerc,Comedy|Horror|Romance,Cory Hardrict,337,Daniel Rindress-Kay,fight|memory|teenager|undead|zombie,English,35000000,2013,6.9,2.35
Rian Johnson,0,502,Bruce Willis,Action|Crime|Drama|Sci-Fi|Thriller,Joseph Gordon-Levitt,37387,Tracie Thoms,chase|future|surprise ending|time loop|time travel,English,30000000,2012,7.4,2.35
Chris Weitz,129,560,Mark Addy,Comedy|Fantasy,Chazz Palminteri,2911,Wanda Sykes,angel|butler|heaven|manhattan new york city|reincarnation,English,30000000,2001,5.4,1.85
Chris Noonan,108,204,Christine Cavanaugh,Comedy|Drama|Family,Miriam Margolyes,1185,Roscoe Lee Browne,dog|farmer|pig|sheep|sheepdog,English,30000000,1995,6.8,1.85
David Frankel,64,329,Steve Carell,Comedy|Drama|Romance,Meryl Streep,19420,Jean Smart,couple|intimacy|marriage|marriage counseling|middle age couple,English,30000000,2012,6.3,2.35
Nicholas Stoller,89,344,Jack McBrayer,Comedy|Drama|Romance,Mila Kunis,16758,Maria Thayer,breakup|hawaii|hotel|male full frontal nudity|resort,English,30000000,2008,7.2,1.85
,,690,Aimee Teegarden,Drama|Sport,Zach Gilford,3418,Scott Porter,football|football coach|high school|small town|texas,English,,,8.7,1.78
John Singleton,309,482,Tony Nappo,Action|Crime|Drama|Mystery|Thriller,Josh Charles,2740,Fionnula Flanagan,bare butt|corrupt police|four brothers|funeral|murder,English,45000000,2005,6.9,2.35
Michael McCullers,5,966,Amy Poehler,Comedy|Romance,Tina Fey,6930,Romany Malco,baby|book|cartoon on tv|female protagonist|male anorexia,English,30000000,2008,6.0,1.85
Forest Whitaker,0,545,Harry Connick Jr.,Drama|Romance,Bill Cobbs,2860,Gena Rowlands,best friend|friend|mother daughter relationship|small town|texas,English,30000000,1998,5.9,1.85
Gary Winick,56,545,Steve Howey,Comedy|Romance,Anne Hathaway,13794,Candice Bergen,best friend|dyed hair|fake tan|rivalry|wedding,English,30000000,2009,5.4,1.85
Steven Brill,65,246,Scott Adsit,Adventure|Comedy|Mystery,Antony Starr,1266,Bonnie Somerville,death|friend|hijacker|river|tree house,English,19000000,2004,5.9,2.35
Gary Winick,56,533,Judy Greer,Comedy|Fantasy|Romance,Jennifer Garner,6742,Christa B. Allen,13 year old|13th birthday|30 year old|wish|year 1987,English,37000000,2004,6.1,1.85
Woody Allen,11000,183,Audrey Fleurot,Comedy|Fantasy|Romance,Kurt Fuller,1289,Nina Arianda,1920s|golden age|midnight|paris france|time travel romance,English,17000000,2011,7.7,1.85
Peter Lepeniotis,7,691,Brendan Fraser,Adventure|Animation|Comedy|Family,Liam Neeson,18795,Sarah Gadon,bank robbery|heist|raccoon|rat|squirrel,English,42000000,2014,5.8,1.85
Ted Demme,47,877,Ethan Suplee,Biography|Crime|Drama,Johnny Depp,43453,Jordi Mollà,1960s|1970s|california|cocaine|wealth,English,30000000,2001,7.6,2.35
Luis Mandoki,43,362,John Savage,Drama|Romance,Robin Wright,19815,Raphael Sbarge,beach|bottle|jogging|letter|love,English,55000000,1999,6.1,2.35
William Shatner,0,643,Nichelle Nichols,Action|Adventure|Sci-Fi|Thriller,Leonard Nimoy,14710,Walter Koenig,captain|half brother|klingon|planet|vulcan,English,27800000,1989,5.4,2.35
John Schultz,13,837,Robert Forster,Comedy|Family|Fantasy|Sport,Brenda Song,3679,Anne Meara,basketball|lightning|nba|orphanage|shoe,English,30000000,2002,5.1,1.85
Peter Segal,88,348,Fred Ward,Comedy|Crime,George Kennedy,4767,Priscilla Presley,retirement|spoof|terrorist|transsexual|undercover,English,30000000,1994,6.4,1.85
John Glen,46,433,Alison Doody,Action|Adventure|Thriller,Patrick Macnee,2943,Tanya Roberts,computer|earthquake|microchip|official james bond series|silicon valley,English,30000000,1985,6.3,2.35
Steve Box,9,100,Geraldine McEwan,Animation|Comedy|Family|Mystery|Sci-Fi,Mark Gatiss,1145,Peter Sallis,competition|giant vegetable|pest control|stop motion animation|vegetable,English,30000000,2005,7.5,1.85
Richard LaGravenese,98,37,Harry Connick Jr.,Drama|Romance,Gerard Butler,18726,Nellie McKay,birthday|friendship|hairy chest|letter|widow,English,30000000,2007,7.1,1.85
Frederik Du Chau,7,521,Frankie Muniz,Adventure|Comedy|Drama|Family|Sport,Bruce Greenwood,2910,M. Emmet Walsh,farm|horse|kentucky|racehorse|zebra,English,,2005,5.2,1.85
Joe Wright,456,286,Alfie Allen,Drama|Mystery|Romance|War,Benedict Cumberbatch,20499,Brenda Blethyn,death of sister|dying|loss of virginity|septicemia|sex,English,30000000,2007,7.8,1.85
Gary Winick,56,22,Marcia DeBonis,Comedy|Drama|Romance,Vanessa Redgrave,1026,Luisa Ranieri,chick flick|female protagonist|italian stereotype|man in a swimsuit|verona italy,English,30000000,2010,6.5,2.35
Ridley Scott,0,237,Ken Takakura,Action|Crime|Thriller,Stephen Root,1748,Kate Capshaw,counterfeit|detective|japan|police chase|yakuza,English,30000000,1989,6.6,2.35
Bobby Farrelly,101,760,Larry David,Comedy,Kate Upton,6137,Sean Hayes,mule|nun|orphanage|tennis court|the three stooges,English,,2012,5.1,1.85
Tim Burton,13000,973,Christopher Lee,Animation|Drama|Family|Fantasy|Musical|Romance,Johnny Depp,60683,Joanna Lumley,arranged marriage|bride|corpse|groom|woods,English,40000000,2005,7.4,1.85
James Gartner,0,543,Austin Nichols,Biography|Drama|Sport,Mehcad Brooks,2577,Derek Luke,coach|college basketball|national championship|ncaa|texas,English,,2006,7.2,2.35
Denis Villeneuve,777,219,Bernardo Saracino,Action|Crime|Drama|Mystery|Thriller,Edgar Arreola,1467,Daniel Kaluuya,critically acclaimed|drug cartel|juarez mexico|u.s. mexico border|war on drugs,English,30000000,2015,7.6,2.39
Antoine Fuqua,845,424,50 Cent,Drama|Sport,Jake Gyllenhaal,16881,Oona Laurence,boxer|boxing training|death of wife|male in shower|rage,English,30000000,2015,7.5,2.35
Sam Raimi,0,828,Alison Lohman,Horror|Thriller,Bojana Novakovic,5642,Reggie Lee,evil|fight|hell|psychic|psychologist,English,30000000,2009,6.6,2.35
Lee Toland Krieger,43,1000,Michiel Huisman,Drama|Fantasy|Romance,Harrison Ford,15327,Ellen Burstyn,hit by a pickup truck|immortality|paramedic|resuscitation|san francisco california,English,25000000,2015,7.2,2.35
Tim McCanlies,23,1000,Robert Duvall,Comedy|Drama|Family,Haley Joel Osment,9638,Emmanuelle Vaugier,africa|eyeglasses|money|texas|veteran,English,30000000,2003,7.6,1.85
Jon M. Chu,209,357,Stephen Boss,Drama|Music|Romance,Alyson Stoner,4059,Facundo Lombard,dance|dance crew|dancer|mortgage|new york city,English,30000000,2010,6.2,1.85
John Stockwell,134,64,Mika Boorem,Drama|Romance|Sport,Faizon Love,1165,Sanoe Lake,bikini|female surfer|sister sister relationship|surfing contest|swimsuit,English,30000000,2002,5.6,1.85
Marc Forster,395,77,Christian Stolte,Comedy|Drama|Fantasy|Romance,Will Ferrell,8362,Danny Rhodes,author|fate|novelist|professor|writer,English,38000000,2006,7.6,1.85
David Slade,171,63,Mark Rendall,Horror,Danny Huston,814,Megan Franich,alaska|small town|snow|vampire|winter,English,32000000,2007,6.6,2.35
Drew Goddard,246,751,Bradley Whitford,Fantasy|Horror|Mystery|Thriller,Chris Hemsworth,29551,Kristen Connolly,cabin in the woods|dark humor|hatchet|killed in an elevator|robot,English,30000000,2012,7.0,2.35
Jason Friedberg,82,362,Diedrich Bader,Comedy,Carmen Electra,3854,Method Man,king|persian|spartan|training|xerxes,English,30000000,2008,2.7,1.85
Martin Brest,102,497,Yaphet Kotto,Action|Comedy|Crime|Thriller,Robert De Niro,23866,Philip Baker Hall,accountant|bounty hunter|fbi|mafia|mob,English,30000000,1988,7.6,1.85
Paul Michael Glaser,343,384,Maria Conchita Alonso,Action|Crime|Sci-Fi|Thriller,Yaphet Kotto,2373,Richard Dawson,game of death|government conspiracy|latina|oppression|police,English,27000000,1987,6.6,1.37
Frank Oz,0,413,Jim Belushi,Comedy|Horror|Musical|Sci-Fi,Bill Murray,15308,Tisha Campbell-Martin,eclipse|florist|nerd|plant|shop,English,25000000,1986,6.9,1.85
Joe Wright,456,21,Vicky Krieps,Action|Drama|Thriller,Jessica Barden,257,John Macmillan,assassin|female warrior|martial arts|playground|training,English,30000000,2011,6.8,2.35
,,468,Joan Allen,Drama|Mystery,Zach Gilford,3295,Liam James,family drama|lie|missing child|political campaign|secret,English,,,7.5,16.0
John R. Leonetti,40,342,Talisa Soto,Action|Adventure|Fantasy|Sci-Fi|Thriller,Brian Thompson,2266,Robin Shou,alternate reality|battle|martial arts|mortal kombat|warrior,English,30000000,1997,3.7,1.85
Tom Hanks,15000,392,Rob Riggle,Comedy|Drama|Romance,Tom Hanks,16827,Randall Park,bus stop|college|community college|scooter|speech class,English,30000000,2011,6.1,2.35
Kimberly Peirce,108,534,Judy Greer,Drama|Fantasy|Horror,Chloë Grace Moretz,20051,Portia Doubleday,outcast|prom|self injury|telekinesis|tragic event,English,30000000,2013,5.9,2.35
Liz Friedlander,3,439,Yaya DaCosta,Drama|Music,Alfre Woodard,3797,Jasika Nicole,ballroom|dance|dance teacher|student|teacher,English,30000000,2006,6.7,1.85
,,576,Kevin Connolly,Comedy|Drama,Debi Mazar,2867,Kevin Dillon,actor|fame|friendship between men|hollywood california|sitcom,English,,,8.5,1.78
Phil Joanou,21,581,Jurnee Smollett-Bell,Crime|Drama|Sport,Dwayne Johnson,15811,Kevin Dunn,alliterative title|football|football coach|football practice|football team,English,30000000,2006,6.9,2.35
Sam Weisman,39,506,Larry Miller,Comedy|Crime,Bernie Mac,3664,Richard Schiff,businessman|ring|thief|vulgarity|washington d.c.,English,45000000,2001,5.5,1.85
Shane Acker,30,265,Alan Oppenheimer,Action|Adventure|Animation|Drama|Mystery|Sci-Fi|Thriller,Martin Landau,1594,Tom Kane,hope|key|machine|number|rag doll,English,30000000,2009,7.1,1.85
Steven Soderbergh,0,273,David Costabile,Crime|Drama|Thriller,Channing Tatum,18469,Katie Lowes,clinical trial|female protagonist|neuropharmacology|psychiatrist|side effect,English,30000000,2013,7.1,1.85
Martha Coolidge,57,438,Miranda Richardson,Comedy|Family|Romance,Devin Ratray,3239,Luke Mably,denmark|king|love|prince|wisconsin,English,,2004,5.9,1.85
Stephen J. Anderson,15,69,Robert Lopez,Adventure|Animation|Comedy|Family|Musical,Craig Ferguson,1002,Huell Howser,disney|owl|rabbit|sequel|tiger,English,30000000,2011,7.3,1.85
Troy Miller,14,244,Mimi Rogers,Comedy,Elden Henson,1653,Cheri Oteri,1980s|buddy|high school|prequel to cult favorite|teenager,English,19000000,2003,3.4,1.37
Warren Beatty,631,95,Kirk Baltz,Comedy|Drama|Romance,Warren Beatty,1023,Graham Beckel,hip hop|liberal|politics|senator|truth,English,30000000,1998,6.8,1.85
Tate Taylor,150,400,Josh Hopkins,Biography|Drama|Music,Tika Sumpter,2060,Aunjanue Ellis,1970s|1980s|african american|breaking the fourth wall|mother son relationship,English,30000000,2014,6.9,1.85
Carl Franklin,73,433,William Hurt,Drama,Meryl Streep,12785,Tom Everett Scott,cancer|job|love|new york|professor,English,30000000,1998,7.0,1.85
Brett Leonard,32,650,Costas Mandylor,Action|Crime|Sci-Fi|Thriller,Denzel Washington,20772,Traci Lords,android|ex cop|serial killer|virtual character come to life|virtual reality,English,30000000,1995,5.5,2.35
Ivan Reitman,425,560,Eddie Izzard,Comedy|Romance|Sci-Fi,Rainn Wilson,2737,Wanda Sykes,architect|boyfriend girlfriend relationship|superhero|superhero spoof|supernatural power,English,30000000,2006,5.1,2.35
Scott Derrickson,301,897,Dorian Missick,Horror|Mystery|Thriller,Olivia Munn,5697,Edgar Ramírez,confession|demonic possession|exorcism|flickering light|priest,English,30000000,2014,6.2,2.35
Alister Grierson,24,653,Rhys Wakefield,Adventure|Drama|Thriller,Ioan Gruffudd,3892,Richard Roxburgh,cave|expedition|panic|rebreather|underwater,English,30000000,2011,5.9,1.85
Nick Hurran,34,642,Kevin Sussman,Comedy|Drama|Romance,Holly Hunter,4369,Dave Annable,electronic devices|gynecologist|little black book|plan|set up,English,35000000,2004,5.2,2.35
Nicholas Stoller,89,372,Jacki Weaver,Comedy|Romance,Alison Brie,3479,David Paymer,kissing while having sex|kitchen|reference to princess diana|wedding band|wedding ring,English,30000000,2012,6.2,1.85
Charles Stone III,30,635,Chris Noth,Comedy|Drama|Romance|Sport,Bernie Mac,4462,Paul Sorvino,baseball|baseball movie|cartoon on tv|dodge viper|retirement,English,30000000,2004,5.5,1.85
Paul Haggis,549,343,Daniel Stern,Crime|Drama|Romance|Thriller,Olivia Wilde,11799,Aisha Hinds,argument|evidence|fingerprints|murder|murder weapon,English,35000000,2010,7.4,2.35
Kurt Wimmer,110,277,Cameron Bright,Action|Horror|Sci-Fi|Thriller,Milla Jovovich,15271,Nick Chinlund,boy|disease|hemophagia|speed|vampire,English,30000000,2006,4.4,1.85
Jean-François Richet,25,431,Drea de Matteo,Action|Crime|Drama|Thriller,Brian Dennehy,3148,Hugh Dillon,criminal|mobster|new year's eve|police|sergeant,English,20000000,2005,6.3,2.35
Antoine Fuqua,845,488,Clifton Collins Jr.,Action|Crime|Thriller,Mira Sorvino,3072,Patrick Kilpatrick,forger|hitman|passport|police|replacement,English,30000000,1998,6.1,2.35
Kevin Hooks,114,537,Stephen Baldwin,Action|Adventure|Crime|Drama|Romance,Salma Hayek,6152,Will Patton,disk|floppy disk|mafia|prison|prisoner,English,25000000,1996,5.3,1.85
Ellory Elkayem,11,762,Doug E. Doug,Action|Comedy|Horror,Scarlett Johansson,22554,Riley Smith,creature feature|human versus spider|spider|spider feature|woman sheriff,English,30000000,2002,5.4,2.35
Edward Zwick,380,2000,Anne Hathaway,Comedy|Drama|Romance,Jake Gyllenhaal,31278,Judy Greer,female nudity|male objectification|pfizer|viagra|zoloft,English,30000000,2010,6.7,1.85
Jon Avnet,50,494,Alicia Witt,Crime|Drama|Mystery|Thriller,Al Pacino,16722,Deborah Kara Unger,death|fbi|forensics|murder|serial killer,English,30000000,2007,5.9,2.35
Niki Caro,51,874,Charlize Theron,Drama,Jeremy Renner,20563,Sissy Spacek,based on true story|innocence|lawsuit|mine|sexual harassment,English,35000000,2005,7.3,2.35
Howard Deutch,41,900,Matthew Perry,Comedy|Crime|Thriller,Bruce Willis,18085,Natasha Henstridge,dentist|face slap|flashback|hitman|killing an animal,English,40000000,2004,5.5,1.85
Vincenzo Natali,165,559,David Hewlett,Drama|Horror|Sci-Fi,Sarah Polley,2222,Delphine Chanéac,dna|experiment|genetics|interspecies sex|scientist,English,26000000,2009,5.8,1.85
Willard Huyck,8,322,Jeffrey Jones,Action|Adventure|Comedy|Romance|Sci-Fi,Lea Thompson,3000,Jordan Prentice,alien|duck|laser|planet|singer,English,35000000,1986,4.6,1.85
Gavin O'Connor,149,798,Rick Gonzalez,Crime|Drama|Thriller,Jennifer Ehle,5101,Frank Grillo,brother in law|corruption|drug dealer|drugs|police,English,30000000,2008,6.7,1.85
Bruce Hunt,2,258,Cole Hauser,Adventure|Horror|Thriller,Eddie Cibrian,2178,Marcel Iures,cave|diver|diving|flare|parasite,English,30000000,2005,5.1,2.35
Rob Reiner,0,130,Lobo Sebastian,Comedy|Romance,David Paymer,977,Robert Costanzo,gambling|novel|stenographer|writer|writer's block,English,30000000,2003,5.6,1.85
