director_name,duration,director_facebook_likes,actor_3_facebook_likes,genres,actor_1_name,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,country,content_rating,budget,actor_2_facebook_likes,aspect_ratio,movie_facebook_likes
Walter Hill,94,394,565,Action|Crime|Drama|Sport,Fisher Stevens,2880,Jon Seda,2,http://www.imdb.com/title/tt0281322/?ref_=fn_tt_tt_1,88,USA,R,20000000,855,2.35,977
David Koepp,102,192,31,Comedy|Drama|Fantasy|Romance,Aasif Mandvi,500,Jordan Carlos,3,http://www.imdb.com/title/tt0995039/?ref_=fn_tt_tt_1,147,USA,PG-13,20000000,41,1.85,0
Renny Harlin,108,212,347,Action|Crime|Thriller,Taylor Cole,2799,Nick Gomez,1,http://www.imdb.com/title/tt1160368/?ref_=fn_tt_tt_1,113,USA,PG-13,22000000,794,2.35,0
Matt Reeves,116,198,884,Drama|Fantasy|Horror|Mystery,Chloë Grace Moretz,20258,Kodi Smit-McPhee,0,http://www.imdb.com/title/tt1228987/?ref_=fn_tt_tt_1,366,UK,R,20000000,1000,2.35,25000
Charles T. Kanganis,93,18,181,Action|Comedy|Family,Victor Wong,1151,Don Stark,0,http://www.imdb.com/title/tt0109015/?ref_=fn_tt_tt_1,26,USA,PG,20000000,220,1.85,444
Michel Gondry,102,1000,270,Comedy,Quinton Aaron,1778,Melonie Diaz,2,http://www.imdb.com/title/tt0799934/?ref_=fn_tt_tt_1,235,UK,PG-13,20000000,563,2.35,0
Stephen Frears,103,350,99,Comedy|Drama|Music|War,Bob Hoskins,5637,Sarah Solemani,1,http://www.imdb.com/title/tt0413015/?ref_=fn_tt_tt_1,180,UK,R,20000000,378,1.85,0
John Hillcoat,115,214,968,Action|Crime|Drama|Thriller,Kate Winslet,27214,Clifton Collins Jr.,3,http://www.imdb.com/title/tt1712261/?ref_=fn_tt_tt_1,106,USA,R,20000000,12000,2.35,0
Woody Allen,96,11000,223,Comedy,Woody Allen,11867,Judy Davis,2,http://www.imdb.com/title/tt0118954/?ref_=fn_tt_tt_1,131,USA,R,20000000,474,1.85,0
Damon Santostefano,98,4,677,Comedy|Romance,Matthew Perry,4843,David Ramsey,2,http://www.imdb.com/title/tt0144640/?ref_=fn_tt_tt_1,121,Australia,PG-13,20000000,1000,1.37,311
John Wells,101,53,580,Comedy|Drama,Bradley Cooper,16926,Riccardo Scamarcio,1,http://www.imdb.com/title/tt2503944/?ref_=fn_tt_tt_1,129,USA,R,20000000,1000,2.35,25000
Neil Jordan,106,277,383,Comedy|Crime,Robert De Niro,24887,James Russo,0,http://www.imdb.com/title/tt0098625/?ref_=fn_tt_tt_1,42,USA,PG-13,20000000,2000,2.35,855
Woody Allen,101,11000,2,Comedy|Musical|Romance,Natasha Lyonne,1614,Jeff DeRocker,0,http://www.imdb.com/title/tt0116242/?ref_=fn_tt_tt_1,140,USA,R,20000000,612,1.85,0
Frank Oz,87,0,548,Comedy,Peter Dinklage,24324,Kris Marshall,0,http://www.imdb.com/title/tt0795368/?ref_=fn_tt_tt_1,199,USA,R,9000000,557,1.85,0
James Wan,111,0,725,Action|Crime|Thriller,Aisha Tyler,3309,Edi Gathegi,0,http://www.imdb.com/title/tt0804461/?ref_=fn_tt_tt_1,299,USA,R,20000000,742,2.35,0
Kirk Jones,99,52,148,Adventure|Drama,Robert De Niro,23409,Brendan Sexton III,1,http://www.imdb.com/title/tt0780511/?ref_=fn_tt_tt_1,117,USA,PG-13,21000000,1000,2.35,10000
Bob Clark,88,84,177,Comedy|Family|Sci-Fi,Scott Baio,1343,Peter Wingfield,3,http://www.imdb.com/title/tt0270846/?ref_=fn_tt_tt_1,129,Germany,PG,20000000,384,2.35,0
Les Mayfield,83,10,69,Action|Comedy|Crime,Miguel Ferrer,1019,Gigi Rice,2,http://www.imdb.com/title/tt0399327/?ref_=fn_tt_tt_1,76,Germany,PG-13,33000000,99,1.85,676
Les Mayfield,91,10,436,Action|Comedy|Crime,Callum Rennie,2700,Cedric the Entertainer,3,http://www.imdb.com/title/tt0462229/?ref_=fn_tt_tt_1,26,USA,PG-13,20000000,537,1.85,233
Michael Lembeck,108,54,463,Comedy|Crime|Music,Debbie Reynolds,2730,Dash Mihok,3,http://www.imdb.com/title/tt0345074/?ref_=fn_tt_tt_1,117,USA,PG-13,20000000,567,1.85,924
Bob Fosse,154,189,388,Comedy|Drama|Music|Musical|Romance,Sammy Davis Jr.,2172,Ben Vereen,0,http://www.imdb.com/title/tt0065054/?ref_=fn_tt_tt_1,64,USA,G,20000000,641,2.35,548
Paul Thomas Anderson,148,0,175,Comedy|Crime|Drama|Mystery|Romance,Martin Dew,707,Serena Scott Thomas,0,http://www.imdb.com/title/tt1791528/?ref_=fn_tt_tt_1,242,USA,R,20000000,178,1.85,18000
Dave Borthwick,77,3,593,Adventure|Animation|Comedy|Family|Fantasy,Jimmy Fallon,2185,Jon Stewart,0,http://www.imdb.com/title/tt0763304/?ref_=fn_tt_tt_1,114,USA,G,20000000,690,1.85,346
Benson Lee,110,9,826,Drama|Music,Chris Brown,3177,Laz Alonso,19,http://www.imdb.com/title/tt1532958/?ref_=fn_tt_tt_1,25,USA,PG-13,20000000,941,1.85,0
,42,,376,Crime|Drama|Mystery|Thriller,LeVar Burton,2240,Scott Wolf,1,http://www.imdb.com/title/tt1714204/?ref_=fn_tt_tt_1,29,USA,TV-14,,440,16.0,0
David Zucker,83,119,633,Comedy|Fantasy,Chriss Anglin,2907,Gary Coleman,2,http://www.imdb.com/title/tt1190617/?ref_=fn_tt_tt_1,205,USA,PG-13,12000000,816,2.35,797
Robert Rodriguez,107,0,99,Action|Comedy|Crime|Thriller,Alexa PenaVega,2848,Marko Zaror,7,http://www.imdb.com/title/tt2002718/?ref_=fn_tt_tt_1,164,Russia,R,20000000,749,1.85,48000
Glen Morgan,100,17,86,Drama|Horror|Sci-Fi|Thriller,Laura Harring,1267,Jackie Burroughs,0,http://www.imdb.com/title/tt0310357/?ref_=fn_tt_tt_1,213,Canada,PG-13,22000000,429,2.35,0
Fred Wolf,87,29,522,Adventure|Comedy,Kevin Alejandro,4218,Jeff Garlin,4,http://www.imdb.com/title/tt0489282/?ref_=fn_tt_tt_1,120,USA,R,20000000,794,2.35,847
Mike Leigh,154,608,149,Biography|Comedy|Drama|History|Music|Musical,Jim Broadbent,1690,Lesley Manville,1,http://www.imdb.com/title/tt0151568/?ref_=fn_tt_tt_1,202,UK,R,10000000,452,1.66,608
Alejandro Monteverde,106,38,975,Drama|War,Tom Wilkinson,5705,Michael Rapaport,0,http://www.imdb.com/title/tt1810683/?ref_=fn_tt_tt_1,122,Mexico,PG-13,20000000,1000,2.35,15000
David Cronenberg,99,0,691,Biography|Drama|Thriller,Michael Fassbender,23755,Sarah Gadon,3,http://www.imdb.com/title/tt1571222/?ref_=fn_tt_tt_1,190,UK,R,15000000,10000,1.85,36000
Richard Linklater,100,0,407,Animation|Drama|Mystery|Sci-Fi|Thriller,Robert Downey Jr.,39507,Rory Cochrane,0,http://www.imdb.com/title/tt0405296/?ref_=fn_tt_tt_1,293,USA,R,8700000,18000,1.85,0
Michael Apted,116,150,956,Biography|Drama|Sport,Gerard Butler,21200,Leven Rambin,2,http://www.imdb.com/title/tt1629757/?ref_=fn_tt_tt_1,75,USA,PG,20000000,1000,1.85,13000
Uwe Boll,94,892,81,Horror|Sci-Fi,Catherine Lough Haggquist,838,Karin Konoval,0,http://www.imdb.com/title/tt0369226/?ref_=fn_tt_tt_1,521,Canada,R,20000000,294,2.35,1000
Todd Graff,111,650,181,Comedy|Drama|Family|Music|Romance,Scott Porter,1573,Ryan Donowho,3,http://www.imdb.com/title/tt0976222/?ref_=fn_tt_tt_1,39,USA,PG,20000000,224,2.35,1000
Jonathan Glazer,100,143,430,Drama|Mystery|Romance|Thriller,Cameron Bright,2295,Danny Huston,1,http://www.imdb.com/title/tt0337876/?ref_=fn_tt_tt_1,361,USA,R,20000000,681,1.85,0
J.C. Chandor,125,78,745,Action|Crime|Drama|Thriller,David Oyelowo,3979,Albert Brooks,0,http://www.imdb.com/title/tt2937898/?ref_=fn_tt_tt_1,180,USA,R,20000000,969,2.35,0
Paul Gross,114,329,544,Drama|History|Romance|War,Landon Liboiron,3493,Caroline Dhavernas,0,http://www.imdb.com/title/tt1092082/?ref_=fn_tt_tt_1,102,Canada,R,20000000,912,2.35,971
Marc Abraham,119,18,9,Biography|Drama,Dylan Authors,64,Victoria Learn,0,http://www.imdb.com/title/tt1054588/?ref_=fn_tt_tt_1,45,USA,PG-13,20000000,18,2.35,0
Todd Haynes,135,162,228,Biography|Drama|Music,Christian Bale,36398,Tyrone Benskin,0,http://www.imdb.com/title/tt0368794/?ref_=fn_tt_tt_1,230,USA,R,20000000,13000,2.35,0
Mabrouk El Mechri,93,19,619,Action|Thriller,Henry Cavill,30134,Óscar Jaenada,3,http://www.imdb.com/title/tt1366365/?ref_=fn_tt_tt_1,113,USA,PG-13,20000000,13000,2.35,0
Rian Johnson,114,0,446,Adventure|Comedy|Drama|Romance,Zachary Gordon,3014,Nora Zehetner,4,http://www.imdb.com/title/tt0844286/?ref_=fn_tt_tt_1,105,USA,PG-13,20000000,877,2.35,0
Charlie Kaufman,124,0,631,Comedy|Drama|Romance,Philip Seymour Hoffman,24732,Samantha Morton,0,http://www.imdb.com/title/tt0383028/?ref_=fn_tt_tt_1,274,USA,R,21000000,1000,2.35,13000
Hayao Miyazaki,134,6000,745,Adventure|Animation|Fantasy,Minnie Driver,2710,Billy Crudup,0,http://www.imdb.com/title/tt0119698/?ref_=fn_tt_tt_1,570,Japan,PG-13,2400000000,851,1.85,11000
Jean-Paul Rappeneau,114,22,413,Comedy|Drama|Mystery|Romance|Thriller|War,Isabelle Adjani,1776,Virginie Ledoyen,5,http://www.imdb.com/title/tt0310778/?ref_=fn_tt_tt_1,53,France,PG-13,20000000,548,2.35,235
Nancy Walker,124,42,161,Biography|Comedy|Musical,Steve Guttenberg,1462,Caitlyn Jenner,0,http://www.imdb.com/title/tt0080492/?ref_=fn_tt_tt_1,74,USA,PG,20000000,174,2.35,1000
John Hillcoat,104,214,430,Crime|Drama|Western,Ray Winstone,2129,Danny Huston,1,http://www.imdb.com/title/tt0421238/?ref_=fn_tt_tt_1,232,Australia,R,2000000,509,2.35,0
Angelo Pizzo,118,14,400,Biography|Drama|Sport,Donny Boaz,3384,Brent Anderson,4,http://www.imdb.com/title/tt3719896/?ref_=fn_tt_tt_1,20,USA,PG,20000000,769,2.35,0
Richard Benjamin,80,121,587,Comedy|Music,Damon Wayans,2467,Paula Garcés,2,http://www.imdb.com/title/tt0266747/?ref_=fn_tt_tt_1,66,USA,R,20000000,624,1.85,241
Kurt Wimmer,107,110,722,Action|Drama|Sci-Fi|Thriller,Christian Bale,25088,Sean Pertwee,2,http://www.imdb.com/title/tt0238380/?ref_=fn_tt_tt_1,1137,USA,R,20000000,876,2.35,20000
Roger Spottiswoode,125,55,2,Drama|War,Radha Mitchell,1003,Matthew Walker,4,http://www.imdb.com/title/tt0889588/?ref_=fn_tt_tt_1,33,Australia,R,40000000,10,2.35,1000
James Gray,115,115,977,Crime|Drama|Romance|Thriller,Charlize Theron,11433,Faye Dunaway,2,http://www.imdb.com/title/tt0138946/?ref_=fn_tt_tt_1,138,USA,R,24000000,1000,2.35,401
Matthew Diamond,88,12,231,Adventure|Family|Fantasy|Musical,Chazz Palminteri,1978,Toni Braxton,0,http://www.imdb.com/title/tt1520498/?ref_=fn_tt_tt_1,83,USA,G,20000000,532,,831
Angelina Jolie Pitt,122,11000,188,Drama|Romance,Brad Pitt,22319,Melvil Poupaud,0,http://www.imdb.com/title/tt3707106/?ref_=fn_tt_tt_1,61,USA,R,10000000,11000,2.35,0
Katsuhiro Ôtomo,103,78,101,Action|Adventure|Animation|Family|Sci-Fi|Thriller,William Hootkins,991,Rosalind Ayres,1,http://www.imdb.com/title/tt0348121/?ref_=fn_tt_tt_1,79,Japan,PG-13,2127519898,336,1.85,973
David Anspaugh,101,25,407,Drama|History|Sport,Gerard Butler,20354,Jimmy Jean-Louis,0,http://www.imdb.com/title/tt0354595/?ref_=fn_tt_tt_1,46,USA,PG,20000000,723,2.35,445
Andrew Jarecki,101,46,902,Crime|Drama|Mystery|Romance|Thriller,Ryan Gosling,39515,Frank Langella,2,http://www.imdb.com/title/tt1175709/?ref_=fn_tt_tt_1,67,USA,R,,4000,1.85,0
