director_name,actor_2_name,actor_1_facebook_likes,gross,genres,cast_total_facebook_likes,actor_3_name,plot_keywords,num_user_for_reviews,country,budget,actor_2_facebook_likes,imdb_score
Jean-Pierre Jeunet,Dany Boon,1000,1260917,Action|Comedy|Crime,1342,André Dussollier,bullet|contortionist|gag humor|human cannonball|revenge,71,France,27000000,172,7.2
Curtis Hanson,Omar Benson Miller,1000,116724075,Drama|Music,1954,Evan Jones,competition|contest|friend|self expression|white rapper,564,USA,41000000,418,7.0
Jamel Debbouze,Youssef Hajdi,326,,Adventure|Animation|Comedy|Family,488,Mélissa Theuriau,ape|computer animation|evolution|first person title|reference to louis de funes,5,France,,152,4.9
Brian Helgeland,Rufus Sewell,13000,56083966,Action|Adventure|Romance,18761,Bérénice Bejo,chaucer|jousting|knight|medieval times|tournament,658,USA,65000000,3000,6.9
Gordon Chan,Lee Evans,687,22108977,Action|Comedy|Fantasy,1134,Anthony Chau-Sang Wong,hong kong|interpol|medallion|ship|tough cop,132,Hong Kong,41000000,312,5.2
M. Night Shyamalan,Haley Joel Osment,13000,293501675,Drama|Mystery|Thriller,17540,Olivia Williams,able to see the dead|ghost|plot twist|psychic|surprise ending,2073,USA,40000000,3000,8.1
Asger Leth,Mandy Gonzalez,107,18600911,Action|Crime|Thriller,362,J. Smith-Cameron,detective|diamond|hotel|police|rooftop,153,USA,42000000,81,6.6
David Frankel,Kevin Pollak,734,7204138,Comedy,2085,JoBeth Williams,alaska|birding|competition|migration|storm,125,USA,41000000,574,6.2
John G. Avildsen,William Zabka,668,90800000,Action|Drama|Family|Sport,2004,William Bassett,apartment|bully|fight|karate|master,235,USA,8000000,641,7.2
David O. Russell,Christian Bale,34000,150117807,Crime|Drama,83012,Bradley Cooper,based on true story|con artist|drunk wife|fbi investigation|scam,751,USA,40000000,23000,7.3
Anne Fletcher,Denis O'Hare,16000,163947053,Comedy|Drama|Romance,18656,Craig T. Nelson,alaska|deportation|father son relationship|male objectification|sitka alaska,273,USA,40000000,896,6.7
Bruce Beresford,Annabeth Gish,984,116735231,Crime|Mystery|Thriller,2129,Bruce Campbell,blood|murder|sex scene|wrongful arrest|wrongful conviction,336,USA,70000000,489,6.4
Robert Zemeckis,Jeffrey Weissman,1000,118500000,Adventure|Comedy|Sci-Fi,3660,Thomas F. Wilson,alternate timeline|same actor playing two characters simultaneously on screen|second part|year 2015|younger version of character,327,USA,40000000,869,7.8
Luc Besson,Morgan Freeman,19000,126546825,Action|Sci-Fi|Thriller,32325,Amr Waked,brain capacity|drugs|fictional drug|one woman army|tough girl,918,France,40000000,11000,6.4
Sam Taylor-Johnson,Luke Grimes,1000,166147885,Drama|Romance,4585,Callum Rennie,female frontal nudity|female nudity|perversion|sex scene|spanking,1360,USA,40000000,935,4.1
Robert Rodriguez,Salma Hayek,13000,111760631,Action|Adventure|Comedy|Family|Sci-Fi,22935,Alexa PenaVega,mission|spy|surfing|trapped|virtual reality,188,USA,38000000,4000,4.1
Joel Schumacher,Matthew McConaughey,18000,108706165,Crime|Drama|Thriller,31349,Oliver Platt,african american|court|law|mississippi|trial,236,USA,40000000,11000,7.4
Shawn Levy,Alyson Stoner,3000,138614544,Comedy|Family,7014,Bonnie Hunt,9 year old|house|illinois|new job|vomiting,288,USA,40000000,2000,5.8
Peter Berg,Scott Elrod,480,125069696,Action|Biography|Drama|Thriller|War,1261,Dan Bilzerian,courage|navy seal|outnumbered|shot multiple times|survival,420,USA,40000000,449,7.6
Penny Marshall,Lori Petty,15000,107458785,Comedy|Drama|Sport,16751,Rosie O'Donnell,baseball|friend|oregon|rivalry|softball,166,USA,40000000,923,7.2
James Wan,Frances O'Connor,1000,102310175,Horror|Mystery|Thriller,2676,Robin Atkin Downes,based on supposedly true story|house|paranormal investigating|psychic|second part,279,USA,40000000,575,7.8
David Fincher,Dustin Fitzsimons,10000,96917897,Biography|Drama,10555,Marcella Lentz-Pope,competitiveness|creator|entrepreneur|facebook|intellectual property,696,USA,40000000,349,7.7
Ken Kwapis,Sabrina Revelle,97,93952276,Comedy|Drama|Romance,318,Sachiko Ishida,advertising|bar|dating|lingerie slip|six word title,203,USA,40000000,50,6.4
David Zucker,Carmen Electra,2000,90703745,Comedy,5855,Regina Hall,female nudity|male nudity|parody|reference to myspace|sequel,410,USA,45000000,869,5.1
Wes Craven,Roger Jackson,287,89138076,Horror|Mystery,600,Nancy O'Dell,death|ghostface|murder|scream|survivor,734,USA,40000000,157,5.5
Robert Zemeckis,Jeffrey Weissman,1000,87666629,Adventure|Comedy|Sci-Fi|Western,3986,Thomas F. Wilson,band|dog|letter|time machine|tombstone,263,USA,40000000,869,7.4
Etan Cohen,Alison Brie,8000,90353764,Comedy|Crime,12556,Craig T. Nelson,camera focus on female butt|gay bar|millionaire|singing in a car|two word title,144,USA,40000000,2000,6.0
Francis Ford Coppola,Anthony Hopkins,18000,82522790,Fantasy|Horror|Romance,42220,Gary Oldman,dracula|horror movie remake|maze|monster sex|vampire,654,USA,40000000,12000,7.5
Nora Ephron,Mary Lynn Rajskub,11000,94125426,Biography|Drama|Romance,13321,Vanessa Ferlito,american|blog|book|cook|cooking,277,USA,40000000,935,7.0
Brian Helgeland,Christopher Meloni,11000,95001343,Biography|Drama|Sport,16911,Nicole Beharie,baseball|baseball player|brooklyn dodgers|major league baseball|racism,200,USA,40000000,3000,7.5
Anthony Minghella,Matt Damon,22000,81292135,Crime|Drama|Thriller,36810,Jack Davenport,1950s|italy|mistaken identity|nudity|sociopath,696,USA,40000000,13000,7.3
Bobby Farrelly,Kathleen Turner,13000,86208010,Comedy,16179,Rob Riggle,adoption|highway travel|road trip|sequel|stupidity,285,USA,35000000,899,5.7
Frank Marshall,Bruce Greenwood,23000,81593527,Adventure|Drama|Family,24300,Wendy Crewson,antarctica|dog|siberian husky|sled dog|survival,263,USA,40000000,984,7.3
Nancy Meyers,Anne Hathaway,22000,75274748,Comedy|Drama,36010,Rene Russo,reference to ben affleck|reference to brad pitt|reference to george clooney|reference to jack nicholson|website,304,USA,35000000,11000,7.2
Tim Story,Nadine Velazquez,2000,90835030,Action|Comedy,5178,Bruce McGill,computer hacker|crime boss|detective|drugs|wedding,58,USA,40000000,874,5.9
Michael Mann,Terry Kinney,855,72455275,Action|Adventure|Drama|Romance|War,2144,Eric Schweig,18th century|based on novel|colonel|french and indian war|revenge,382,USA,40000000,363,7.8
Taylor Hackford,Curtis Armstrong,904,75305995,Biography|Drama|Music,5074,Harry Lennix,1950s|1960s|racism|rhythm and blues|singer,433,USA,40000000,876,7.7
Frank Miller,Powers Boothe,3000,74098862,Crime|Thriller,3924,Jason Douglas,anthology|corruption|hearing characters thoughts|neo noir|night,1732,USA,40000000,472,8.1
Pete Travis,Edgar Ramírez,2000,72266306,Crime|Drama|Mystery|Thriller,6775,William Hurt,explosion|multiple perspectives|president|secret service|shooting,422,USA,40000000,897,6.6
John Hamburg,Jon Favreau,24000,71347010,Comedy|Romance,28928,Jane Curtin,bromance|friend|gay brother|homosexual subtext|wedding,215,USA,40000000,4000,7.1
Bobby Farrelly,Bruce McGill,700,70836296,Comedy|Drama|Fantasy|Romance,2842,Susan Ward,dying|friend|inner beauty|love|self help guru,426,USA,40000000,655,5.9
Oliver Stone,Jay O. Sanders,433,70405498,Drama|History|Thriller,698,Cheryl Penland,death|gay slur|homosexuality|investigation|president,442,France,40000000,256,8.0
John Whitesell,Nia Long,17000,70163652,Comedy|Crime,19334,Marisol Nichols,cheerleading|fbi|fbi agent|nanny|undercover,82,USA,40000000,826,4.6
Gore Verbinski,Brad Pitt,24000,66808615,Adventure|Comedy|Crime|Romance,43917,Julia Roberts,curse|hostage|mexico|pistol|vomiting,344,USA,34000000,11000,6.1
Angelina Jolie Pitt,Jack O'Connell,769,115603980,Biography|Drama|Sport|War,2938,Alex Russell,emaciation|male nudity|plane crash|prisoner of war|torture,351,USA,65000000,698,7.2
Burr Steers,Hunter Parrish,2000,64149837,Comedy|Drama|Family|Fantasy|Romance,7009,Thomas Lennon,adult as child|father son relationship|high school student|janitor|school,185,USA,20000000,2000,6.4
Nick Cassavetes,Kate Upton,982,83906114,Comedy|Romance,2357,David Thornton,beach house|blonde bombshell|cheating husband|revenge|wife meets mistress,189,USA,40000000,971,6.0
David R. Ellis,Andrew Fiscella,164000,66466372,Horror,303717,Shantel VanSanten,attempted suicide|car crash|collapsing scaffold|overflowing bathtub|tooth knocked out,290,USA,40000000,137000,5.2
Steven Spielberg,Mark Rylance,15000,72306065,Drama|History|Thriller,16944,Amy Ryan,cia|cold war|lawyer|negotiation|spy,355,USA,40000000,535,7.6
John Moore,David Keith,578,59068786,Action|Drama|Thriller|War,2544,Sam Jaeger,battle|massacre|navigator|navy|rescue,411,USA,40000000,563,6.4
Nicholas Stoller,Mario Lopez,836,60923325,Comedy|Music,2091,Lino Facioli,concert|drugs|recession|record company|rock star,197,USA,,719,6.4
Peter Chelsom,Nick Cannon,1000,57887882,Comedy|Drama|Romance,2325,Omar Benson Miller,dance|dance competition|dance lesson|love|teacher,211,USA,50000000,593,6.1
Joe Dante,Denis Leary,4000,53955614,Action|Adventure|Comedy|Family|Sci-Fi,8610,Robert Picardo,action figure|battle|computer|military|toy,139,USA,40000000,835,6.1
Mark A.Z. Dippé,Frank Welker,2000,54967359,Action|Horror,7039,Miko Hughes,based on comic|based on comic book|dark hero|image comics|superhero,209,USA,40000000,2000,5.2
Kevin Reynolds,James Frain,15000,54228104,Action|Adventure|Drama|Romance|Thriller,17152,Michael Wincott,count|escape|island|revenge|sailor,544,UK,35000000,1000,7.7
Brad Furman,Margarita Levieva,11000,57981889,Crime|Drama|Thriller,13943,Frances Fisher,defense attorney|defense lawyer|lawyer|plot twist|prostitute,203,USA,40000000,980,7.3
Jaume Collet-Serra,Frank Langella,14000,61094903,Action|Mystery|Thriller,17152,Aidan Quinn,agriculture|airport|amnesia|nurse|scientist,332,UK,30000000,903,6.9
Christopher Nolan,Hugh Jackman,23000,53082743,Drama|Mystery|Sci-Fi|Thriller,63986,Scarlett Johansson,illusion|magician|obsession|rivalry|secret,1100,USA,40000000,20000,8.5
Sean Anders,Christoph Waltz,18000,54414716,Comedy|Crime,30571,Lindsay Sloane,kidnapping|reference to franz beckenbauer|scene during end credits|second part|singing in a car,187,USA,42000000,11000,6.3
Cal Brunker,Paul Scheer,3000,57011847,Adventure|Animation|Comedy|Family|Sci-Fi,3361,Jonathan Morgan Heit,alien|cult film|mission control|product placement|rescue,44,USA,40000000,190,5.9
Mel Gibson,Dalia Hernández,708,50859889,Action|Adventure|Drama|Thriller,848,Jonathan Brewer,jaguar|mayan|solar eclipse|tribe|village,1043,USA,40000000,78,7.8
John Glen,Desmond Llewelyn,387,51185897,Action|Adventure|Thriller,1233,Art Malik,british agent|defection|escape|kgb|soviet general,271,UK,30000000,244,6.7
Nimród Antal,Alice Braga,2000,52000688,Action|Adventure|Sci-Fi|Thriller,4243,Derek Mears,kicked in the face|martial arts|punched in the face|strong female character|woman punching a man,619,USA,40000000,1000,6.4
Ivan Reitman,Debra Winger,954,49851591,Comedy|Crime|Romance,2179,Roscoe Lee Browne,judicial|judiciary|lawyer|murder|painting,34,USA,40000000,568,5.9
David Koepp,Charles S. Dutton,40000,47781388,Mystery|Thriller,41293,Timothy Hutton,adultery|extramarital affair|infidelity|unfaithfulness|writer,531,USA,40000000,534,6.6
Alejandro Agresti,Dylan Walsh,18000,52320979,Drama|Fantasy|Romance,18693,Ebon Moss-Bachrach,house|lake|letter|love across time|parallel time,548,USA,40000000,426,6.8
Iain Softley,Deneen Tyler,545,47806295,Horror|Mystery|Thriller,1274,Joy Bryant,attic|bound and gagged|hoodoo|secret|southern gothic,371,USA,43000000,351,6.5
Peter Hedges,Odeya Rush,3000,51853450,Comedy|Drama|Family|Fantasy,9069,Common,dodgeball|portrait|soccer|soccer game|young love,110,USA,25000000,2000,6.6
Paul Weiland,Beau Garrett,1000,46012734,Comedy|Romance,4298,Kevin Sussman,friend|love|maid|maid of honor|marriage,101,USA,40000000,689,5.8
Clint Eastwood,Steve Schirripa,880,47034272,Biography|Drama|Music|Musical,2281,Scott Vance,band|music group|musical quartet|singer|song,190,USA,40000000,413,6.9
Francis Ford Coppola,Dean Stockwell,13000,45856732,Crime|Drama|Thriller,16762,Virginia Madsen,courtroom|domestic violence|insurance company|lawyer|underdog,141,USA,40000000,936,7.1
Mathieu Kassovitz,Charles S. Dutton,21000,59588068,Horror|Mystery|Thriller,22318,Bernard Hill,memory|murder|patient|psychiatrist|the devil,376,USA,40000000,534,5.8
Steven Spielberg,Morgan Freeman,12000,44175394,Drama|History,37570,Matthew McConaughey,courtroom|mutiny|ship|slave ship|slave trade,227,USA,36000000,11000,7.2
John McTiernan,José Wilker,472,45500797,Adventure|Drama|Romance,519,Sean Connery,cancer|environment|gas chromatograph|jungle|nature,56,USA,40000000,47,6.0
Colin Strause,Johnny Lewis,1000,41797066,Action|Horror|Sci-Fi|Thriller,4324,Ian Whyte,alien|escape|hunting|hybrid|predator,998,USA,40000000,741,4.7
Donald Petrie,John Larroquette,3000,38087756,Comedy|Family,4634,Jonathan Hyde,attempted murder|based on comic book|escape from prison|lost at sea|wealth,39,USA,40000000,450,5.2
Joan Chen,Sam Trammell,24000,37752931,Drama|Romance,26938,Elaine Stritch,may december romance|new york|new york city|rockefeller center|title directed by female,180,USA,40000000,1000,5.5
Marc Lawrence,Scott Porter,799,50562555,Comedy|Music|Romance,2787,Haley Bennett,love|lyricist|singer|singing|song,291,USA,,690,6.5
Greg Mottola,Nelson Ascencio,176,37371385,Adventure|Comedy|Sci-Fi,390,Jeremy Owen,alien|geek|nerd|road trip|ufo,334,USA,40000000,61,7.0
Anne Fletcher,Tom Virtue,405,37101011,Comedy|Drama,1070,Julene Renee,cross country|love|mother son relationship|on the road|trip,103,USA,40000000,358,5.8
Wes Craven,Aimee Teegarden,2000,38176892,Horror|Mystery,4486,Shenae Grimes-Beech,author|book|deputy|murder|sheriff,518,USA,40000000,741,6.2
Joel Schumacher,Chris Bauer,12000,36283504,Mystery|Thriller,12970,Anthony Heald,investigation|obsession|private eye|private investigator|snuff film,587,Germany,40000000,638,6.5
Oliver Stone,Kevin Dillon,720,35183792,Biography|Drama|Music|Musical,3044,Kathleen Quinlan,death|paris france|rock band|singer|the doors,209,USA,38000000,576,7.2
Jake Kasdan,Randall Park,683,38543473,Comedy,1488,Nat Faxon,sex in a car|sex video|sexual desire|sexuality|undressing,158,USA,40000000,392,5.1
Diane Keaton,Celia Weston,374,36037909,Comedy|Drama,1238,Jesse James,actress|clown costume|magazine|party planner|soap opera actress,130,Germany,60000000,258,4.7
Steven Quale,Jacqueline MacInnes Wood,703,42575718,Horror,3074,Courtney B. Vance,blood splatter|death|eyeball run over by car|latex gloves|suspension bridge,227,USA,40000000,682,5.9
Kelly Makin,Burt Young,711,33864342,Comedy|Crime|Romance,2913,Vincent Pastore,auctioneer|fbi|mafia|mobster|painting,117,UK,40000000,683,5.8
Mimi Leder,Haley Joel Osment,18000,33508922,Drama,23920,Angie Dickinson,alcoholism|boy|good deed|protective male|teacher,660,USA,40000000,3000,7.2
Bobby Farrelly,KaDee Strickland,787,42071069,Comedy|Drama|Romance|Sport,1827,Ione Skye,baltimore orioles|boston red sox|promotion|ups|world series,208,USA,30000000,299,6.2
,Melissa Altro,51,,Animation|Comedy|Family,108,Daniel Brochu,based on children's book|best friend|character name in title|friend|one word title,43,Canada,,21,7.4
Steven Brill,Shaun Weiss,1000,32853640,Comedy|Drama,3239,Matt Walsh,bodyguard|bully|generation y|high school|nerd,101,USA,40000000,613,5.7
Seth MacFarlane,Charlize Theron,14000,42615685,Comedy|Western,28927,Seth MacFarlane,dancing sheep|fetish|musical scene|racial humor|snake poison,416,USA,40000000,9000,6.1
Russell Mulcahy,Peter Boyle,924,32055248,Action|Adventure|Crime|Fantasy|Mystery|Thriller,2711,John Kapelos,1930s|bomb|city|invisibility|the shadow,146,USA,25000000,595,6.0
Stephen Daldry,Thomas Horn,15000,31836745,Adventure|Drama|Mystery,15595,Stephen Henderson,fear|mourning|mute|quest|revelation,341,USA,40000000,467,6.9
Roger Michell,Patti D'Arbanville,293,30993544,Comedy|Drama|Romance,621,Vanessa Aspillaga,job offer|roller coaster|slow motion action scene|slow motion sequence|television,156,USA,40000000,117,6.5
Jim Sheridan,Bill Duke,1000,30981850,Biography|Crime|Drama|Music,3969,Marc John Jefferies,male frontal nudity|male pubic hair|prison|pubic hair|violence,284,USA,40000000,1000,5.0
Christian Duguay,Cary-Hiroyuki Tagawa,2000,30199105,Action|Adventure|Crime|Thriller,3753,Anne Archer,blood splatter|fbi|murder|secretary general|united nations,167,USA,40000000,1000,5.7
Chris Columbus,David Fine,3000,29077547,Drama|Musical|Romance,5917,Jesse L. Martin,aids|hiv positive|lawyer|new york city|roommate,754,USA,40000000,1000,7.0
Chuck Russell,Jimmy Smits,3000,29374178,Crime|Drama|Horror|Thriller,4565,Angela Bettis,easter|fbi|luminol|nurse|omen,188,USA,40000000,941,5.1
Sam Weisman,Valerie Perri,607,28535768,Comedy,1335,Carlease Burke,job interview|manhattan new york city|new york city|remake|sausage,105,USA,40000000,322,5.3
John Frankenheimer,Temuera Morrison,10000,27663982,Horror|Sci-Fi|Thriller,10469,Marco Hofschneider,animal experimentation|chimera|island|jungle|mutant,164,USA,40000000,368,4.4
Peter Hyams,Justin Chambers,964,27053815,Action|Adventure|Romance,2888,Stephen Rea,guard|king|murder|musketeer|swordsman,291,Germany,40000000,931,4.7
Justin Chadwick,Scarlett Johansson,20000,26814957,Biography|Drama|History|Romance,77823,Benedict Cumberbatch,children|court|king|king henry viii|love,252,UK,35000000,19000,6.7
Pat O'Connor,Charlize Theron,18000,25178165,Drama|Romance,29484,Frank Langella,advertising|cancer|dog|san francisco california|terminal illness,274,USA,40000000,9000,6.7
Stephen Hopkins,Andrea Frankle,327,25117498,Horror|Thriller,960,William Ragsdale,biblical plague|louisiana|missionary|plague|small town,178,USA,40000000,253,5.7
Martin Scorsese,David Carradine,22000,32645,Crime|Drama|Romance|Thriller,23737,David Proval,bar|catholic guilt|epilepsy|italian american|money,223,USA,500000,926,7.4
Penny Marshall,Cliff Robertson,783,24332324,Comedy|Drama,3126,Lillo Brancato,army|basic training|reference to shakespeare's hamlet|teacher|u.s. army,61,USA,40000000,754,6.1
Olivier Megaton,Callum Blue,877,36665854,Action|Crime|Drama|Thriller,3432,Jesse Borrego,female in a shower|female nudity|premarital sex|sex scene|woman wearing a miniskirt,203,France,40000000,738,6.4
Frederik Du Chau,Jaleel White,10000,22717758,Adventure|Animation|Comedy|Drama|Family|Fantasy|Musical,14275,Eric Idle,camelot|dragon|excalibur|knight|sword,67,USA,40000000,908,6.2
Michael Caton-Jones,James Franco,22000,22433915,Crime|Drama|Mystery|Thriller,34377,John Doman,beach|grandson|murder|new york city|police,166,USA,60000000,11000,6.2
Irwin Winkler,Nathan Lane,978,22326247,Drama|Romance,3821,Steven Weber,based on article|blindness|box office flop|massage therapist|regaining sight,106,USA,60000000,886,5.9
Joseph Kahn,Jay Hernandez,1000,21176322,Action|Comedy|Crime,5039,Christina Milian,murder|on the run|security camera|surveillance footage|timebomb,207,USA,40000000,1000,4.0
Harold Becker,Martin Landau,14000,20300000,Drama|Thriller,17877,Bridget Fonda,drug dealer|mayor|new york city|probation|scandal,60,USA,40000000,940,6.2
Paul Verhoeven,Elizabeth Berkley,16000,20302961,Drama,18913,Robert Davi,cult film|lap dance|lap dancing|stripper|striptease,450,France,45000000,893,4.6
Sofia Coppola,Shirley Henderson,4000,15962471,Biography|Drama|History|Romance,7243,Rip Torn,austria|cake|france|queen|versailles,619,USA,40000000,887,6.4
Barbet Schroeder,Michael Rapaport,12000,14942422,Action|Crime|Thriller,14008,Philip Baker Hall,beard|female nudity|police brutality|stripper|woman in lingerie,60,USA,40000000,975,5.9
Stephen Kay,Miranda Richardson,13000,14967182,Action|Crime|Drama|Thriller,14463,Lauren Lee Smith,affair|car crash|enforcer|funeral|murder,284,USA,40000000,530,5.1
J.A. Bayona,Geraldine Chaplin,6000,18996755,Drama|Thriller,7099,Oaklee Pendergast,christmas|resort|thailand|tourist|tsunami,322,Spain,45000000,382,7.6
Elaine May,Warren Beatty,636,14375181,Action|Adventure|Comedy|Music|Thriller,3374,Isabelle Adjani,cia|emir|hotel|map|morocco,126,USA,51000000,631,4.2
Wes Anderson,Meryl Streep,13000,20999103,Adventure|Animation|Comedy|Crime|Family,24770,Helen McCrory,cider|farm|farmer|fox|tale,245,USA,40000000,11000,7.8
Stephen Herek,Stockard Channing,11000,14448589,Comedy|Romance,12566,James Gammon,football|homeless man|interview|psychic|reporter,128,USA,40000000,944,5.8
John Carpenter,Michael McKean,782,14358033,Comedy|Romance|Sci-Fi|Thriller,2125,Patricia Heaton,accident|bar|chase|cia|laboratory,66,USA,40000000,658,5.9
Jean-Pierre Jeunet,Jamel Debbouze,326,33201661,Comedy|Romance,809,Isabelle Nanty,cheerfulness|female protagonist|garden gnome|magical realism|waitress,1314,France,77000000,326,8.4
Dennie Gordon,Bob Saget,976,14018364,Comedy|Crime|Family|Romance,3974,Riley Smith,dog|new york city|scholarship|senator|twin,111,USA,30000000,799,4.8
Charles Shyer,Nia Long,865,13395939,Comedy|Drama|Romance,3639,Jane Krakowski,best friend|commitment|friend|limousine driver|one night stand,146,UK,60000000,826,6.2
Ken Kwapis,Tim Blake Nelson,875,20113965,Biography|Drama|Romance,1702,Andrew Daly,arctic circle|reporter|small town|volunteer|whale,66,USA,40000000,596,6.5
Ulu Grosbard,Treat Williams,2000,13376506,Drama,4327,Jonathan Jackson,basketball|boy|italian|kidnapping a child|reunion,111,USA,40000000,642,6.3
William Malone,Jeffrey Combs,2000,13208023,Crime|Horror|Thriller,4262,Udo Kier,bondage gear|bound and gagged|hung by one's wrists|tied to a chair|tied to a table,388,UK,42000000,886,3.3
Paul Weitz,Salma Hayek,14000,13838130,Action|Adventure|Fantasy|Thriller,20503,Patrick Fugit,antidote|based on young adult novel|flyer|spider|vampire,157,USA,40000000,4000,5.9
Paul McGuigan,Spencer Wilding,11000,5773519,Drama|Horror|Sci-Fi|Thriller,12876,Daniel Mays,assistant|experiment|frankenstein|medical student|scientist,91,USA,40000000,1000,6.0
Danny DeVito,Amber Valletta,1000,9652000,Comedy,3096,Harvey Fierstein,christmas|duplex|television|tenant|writer,147,USA,40000000,627,5.8
Malcolm D. Lee,Sean Hayes,1000,12081447,Comedy|Drama|Music,4103,Mike Epps,band|masturbation|reunion|singer|tribute,25,USA,,760,6.5
Jerry Jameson,Jason Robards,521,7000000,Action|Adventure|Drama|Thriller,1883,Anne Archer,military|mineral|ocean|ship|titanic,70,UK,36000000,372,4.7
Mic Rodgers,Daniel von Bargen,2000,10431220,Action|Sci-Fi,4024,Xander Berkeley,combat|computer|general|military|reporter,162,USA,24000000,577,4.1
Christian Alvart,Dennis Quaid,12000,10326062,Action|Horror|Mystery|Sci-Fi|Thriller,14127,Eddie Rouse,future|mission|space|spaceship|survival,310,Germany,33000000,2000,6.8
Gary Fleder,Mekhi Phifer,1000,6114237,Drama|Mystery|Sci-Fi|Thriller,2664,Tim Guinee,alien|android|bomb|future|weapon,207,USA,40000000,1000,6.2
Christian Duguay,Bridgette Wilson-Sampras,3000,4835968,Action|Adventure|Thriller,4123,Rupert Graves,commercial|extreme sports|mountain|serbian|terrorist,82,UK,40000000,545,4.5
Jean-Marie Poiré,Matt Ross,545,4777007,Comedy|Fantasy|Sci-Fi,1149,John Aylward,alternate history|alternate timeline|flatulence|future time travel|time travel comedy,98,France,40000000,248,5.8
Danny Boyle,Benedict Wong,11000,3675072,Adventure|Sci-Fi|Thriller,11623,Troy Garity,astronaut|earth|future|icarus|sun,801,UK,26000000,372,7.3
Brian Robbins,Lou Saliba,61,18438149,Comedy|Drama,222,Greg Collins,box office flop|buddhist|liar|literary agent|magical tree,93,USA,40000000,46,5.9
Marc F. Adler,Anne Bancroft,795,511920,Adventure|Animation|Comedy|Fantasy|Romance,2449,Kelly Ripa,box office flop|computer animation|one word title|surrealism|villainess,26,USA,40000000,754,4.4
Pierre Morel,Mark Rylance,1000,10640645,Action|Crime|Drama|Mystery|Thriller,1686,Jasmine Trinca,assassination|blood vomiting|death|hit squad|mercenary,110,USA,40000000,535,5.8
Geoffrey Sax,Sophie Okonedo,15000,652526,Action|Adventure|Family|Thriller,15638,Ashley Walters,14 year old|british|gadget|spy|training,187,Germany,40000000,460,5.1
D.J. Caruso,Aaron Yoo,884,80050171,Drama|Mystery|Thriller,2288,Jose Pablo Cantillo,binoculars|electronic tag|house arrest|neighbor|watching someone,491,USA,20000000,617,6.9
Iain Softley,Fisher Stevens,11000,7564000,Comedy|Crime|Drama|Thriller,13821,Lorraine Bracco,computer|computer virus|cyberpunk|fight the system|sexual fantasy,223,USA,20000000,922,6.2
Richard Shepard,Zan Marolt,499,876671,Adventure|Comedy|Drama|Romance|Thriller|War,504,Ljubomir Kerekes,bosnia|cia|fox|hunt|war criminal,90,USA,25000000,3,6.9
Joel Coen,Bill Cobbs,1000,2869369,Comedy|Fantasy,2612,John Mahoney,art deco|board of directors|industry|mail|stock,211,UK,30000000,970,7.3
Peter Ho-Sun Chan,Takeshi Kaneshiro,5000,128978,Action|Drama|History|Romance|War,6267,Andy Lau,assassination|blood brother|dynasty|general|stabbing a woman,61,Hong Kong,40000000,755,7.1
Sergey Bodrov,Kuno Becker,1000,77231,Drama|History|War,2115,Jason Scott Lee,1800s|kazakhstan|nomad,32,France,25000000,580,6.0
Joon-ho Bong,Ewen Bremner,11000,4563029,Action|Drama|Sci-Fi|Thriller,12286,Kang-ho Song,closed ecological system|perpetual winter|population control|revolt|train,514,South Korea,39200000,557,7.0
Bibo Bergeron,Bob Balaban,1000,,Adventure|Animation|Comedy|Fantasy|Music|Romance,3243,François Cluzet,belle epoque|city name in title|monster|paris france,40,France,25000000,559,6.8
Jeff Nathanson,Glenn Morshower,2000,463730,Comedy,5240,Tim Blake Nelson,fbi|movie producer|sting operation|undercover|urination,39,USA,,894,5.7
Alex Proyas,Bai Ling,720,50693162,Action|Drama|Fantasy,2630,David Patrick Kelly,back from the dead|crime boss|crow|gothic|vigilante,545,USA,23000000,581,7.6
S.S. Rajamouli,Anushka Shetty,218,6498000,Action|Adventure|Drama|Fantasy|War,554,Prabhas,ancient india|dual role|good versus evil|hindu|kingdom,410,India,18026148,133,8.4
Robert Schwentke,Brooklynn Proulx,152,63411478,Drama|Fantasy|Romance|Sci-Fi,568,Michelle Nolden,jumping on a bed|kissing while having sex|librarian|male objectification|pregnant woman in bathtub,234,USA,39000000,142,7.1
Michael Lehmann,Stephen Collins,747,42640890,Comedy|Romance,1930,Tom Everett Scott,meddling|psychologist|sobbing female|subtitled scene|you can say that again joke,184,USA,,452,5.6
Rob Cohen,Vin Diesel,23000,144512310,Action|Crime|Thriller,45327,Jordana Brewster,eighteen wheeler|illegal street racing|truck|trucker|undercover cop,988,USA,38000000,14000,6.7
Tim Burton,Catherine O'Hara,940,35287788,Animation|Comedy|Family|Horror|Sci-Fi,4774,Atticus Shaffer,dog|life|remake by original director|science|stop motion animation,165,USA,39000000,925,7.0
Joss Whedon,Sean Maher,2000,25335935,Action|Adventure|Sci-Fi|Thriller,2853,Michael Hitchcock,alliance|cannibalism|future|operative|planet,1594,USA,40000000,505,8.0
Charles S. Dutton,Charles S. Dutton,865,5881504,Biography|Drama|Romance|Sport,2972,Tim Daly,boxer|boxing|boxing arena|boxing manager|directed by co star,50,USA,39000000,534,5.3
Richard Lester,Robert Vaughn,593,60000000,Action|Comedy|Sci-Fi,2329,Jackie Cooper,computer|high school|kryptonite|smallville|villain,224,UK,39000000,542,4.9
