director_name,duration,director_facebook_likes,actor_1_facebook_likes,gross,actor_1_name,movie_title,num_voted_users,actor_3_name,facenumber_in_poster,language,country,content_rating,budget,title_year,actor_2_facebook_likes
Adam Shankman,99,163,11000,109993847,Adam Sandler,Bedtime Stories ,72326,Kathryn Joosten,0,English,USA,PG,80000000,2008,869
Sam Mendes,117,0,15000,104054514,Tom Hanks,Road to Perdition ,200359,Liam Aiken,0,English,USA,R,80000000,2002,1000
Dennis Dugan,117,221,11000,103028109,Adam Sandler,Just Go with It ,172878,Kevin Nealon,1,English,USA,PG-13,80000000,2011,3000
,54,,577,,Elden Henson,Daredevil             ,213483,Charlie Cox,0,English,USA,TV-MA,,,4
Simon West,123,165,12000,101087161,Steve Buscemi,Con Air ,225282,Dave Chappelle,6,English,USA,R,75000000,1997,878
D.J. Caruso,118,154,3000,101111837,Rosario Dawson,Eagle Eye ,150764,Cameron Boyce,3,English,USA,PG-13,80000000,2008,982
Anthony Minghella,154,333,22000,95632614,Philip Seymour Hoffman,Cold Mountain ,118483,Charlie Hunnam,3,English,USA,R,79000000,2003,20000
Albert Hughes,118,117,18000,94822707,Denzel Washington,The Book of Eli ,227072,Gary Oldman,0,English,USA,R,80000000,2010,15000
Les Mayfield,90,10,49000,92969824,Robin Williams,Flubber ,63625,Sam Lloyd,1,English,USA,PG,80000000,1997,570
Jan de Bont,113,101,14000,91188905,Liam Neeson,The Haunting ,58184,Virginia Madsen,0,English,USA,PG-13,80000000,1999,960
Joe Pytka,88,30,13000,90443603,Bill Murray,Space Jam ,112167,Michael Jordan,1,English,USA,PG,80000000,1996,967
Shawn Levy,93,189,1000,82226474,Roger Rees,The Pink Panther ,65499,William Abadie,0,English,USA,PG,65000000,2006,177
Scott Derrickson,104,301,18000,79363785,Keanu Reeves,The Day the Earth Stood Still ,139423,Juan Riedinger,0,English,USA,PG-13,80000000,2008,4000
Richard Donner,135,503,8000,76081498,Julia Roberts,Conspiracy Theory ,76099,Michael Potts,1,English,USA,R,75000000,1997,137
David Ayer,134,452,11000,85707116,Brad Pitt,Fury ,303185,Jim Parrack,4,English,USA,R,68000000,2014,8000
Ivan Reitman,98,425,11000,74329966,Harrison Ford,Six Days Seven Nights ,60910,Amy Sedaris,2,English,USA,PG-13,70000000,1998,643
Eric Brevig,80,40,3000,100169068,Justin Timberlake,Yogi Bear ,16385,Josh Robert Thompson,0,English,USA,PG,80000000,2010,642
Kelly Asbury,83,21,13000,73215310,Matt Damon,Spirit: Stallion of the Cimarron ,44143,Zahn McClarnon,0,English,USA,G,80000000,2002,503
Frank Coraci,102,153,3000,80360866,Rosario Dawson,Zookeeper ,44662,Nicholas Turturro,1,English,USA,PG,80000000,2011,1000
Stephen Hopkins,130,81,10000,69102910,Gary Oldman,Lost in Space ,58402,June Lockhart,0,English,USA,PG-13,80000000,1998,882
Jonathan Demme,129,438,18000,65948711,Denzel Washington,The Manchurian Candidate ,86422,Jose Pablo Cantillo,1,English,USA,R,80000000,2004,1000
Henry Jaglom,117,69,898,821997,Vanessa Redgrave,Déjà Vu ,666,Michael Brandon,0,English,USA,PG-13,,1997,577
Genndy Tartakovsky,89,266,12000,169692572,Steve Buscemi,Hotel Transylvania 2 ,56501,Fran Drescher,0,English,USA,PG,80000000,2015,11000
,25,,1000,,Elizabeth Montgomery,Bewitched             ,11427,Dick York,1,English,USA,TV-G,,,960
James Algar,74,11,340,60507228,Quincy Jones,Fantasia 2000 ,27543,Russi Taylor,0,English,USA,G,80000000,1999,243
Simon Wells,96,25,891,56684819,Mark Addy,The Time Machine ,103787,Josh Stamberg,0,English,USA,PG-13,80000000,2002,639
Ron Underwood,114,31,9000,50628009,Charlize Theron,Mighty Joe Young ,22955,David Paymer,0,English,USA,PG,90000000,1998,496
Dominic Sena,99,57,20000,69772969,Hugh Jackman,Swordfish ,155532,Sam Shepard,4,English,USA,R,80000000,2001,3000
Martin Campbell,129,258,2000,45356386,Michael Emerson,The Legend of Zorro ,71574,Adrian Alonso,1,Spanish,USA,PG,75000000,2005,277
Vincent Ward,113,25,49000,55350897,Robin Williams,What Dreams May Come ,83560,Rosalind Chao,1,English,USA,PG-13,85000000,1998,448
Steven Brill,90,65,11000,39442871,Adam Sandler,Little Nicky ,80639,Michael McKean,0,English,USA,PG-13,80000000,2000,11000
Terry Gilliam,118,0,13000,37899638,Matt Damon,The Brothers Grimm ,98472,Mackenzie Crook,2,English,USA,PG-13,88000000,2005,13000
Tim Burton,106,13000,20000,37754208,Natalie Portman,Mars Attacks! ,172217,Lukas Haas,3,English,USA,PG-13,70000000,1996,770
Lucile Hadzihalilovic,81,92,23,,Nissim Renard,Evolution ,979,Julie-Marie Parmentier,0,French,France,,,2015,21
Lee Tamahori,117,93,12000,27779888,Anthony Hopkins,The Edge ,55913,Bart the Bear,2,English,USA,R,,1997,1000
Jonathan Mostow,89,84,13000,38542418,Bruce Willis,Surrogates ,151424,Boris Kodjoe,5,English,USA,PG-13,80000000,2009,1000
Roger Donaldson,145,79,981,34566746,Bruce Greenwood,Thirteen Days ,45231,Bruce Thomas,1,English,USA,PG-13,80000000,2000,274
Rob Cohen,114,357,13000,32885565,Sylvester Stallone,Daylight ,53132,Amy Brenneman,0,English,USA,PG-13,80000000,1996,10000
Barry Cook,87,43,882,36073232,Charlie Rowe,Walking with Dinosaurs 3D ,8913,Madison Rothschild,0,English,USA,PG,80000000,2013,396
Roger Christian,119,64,743,21471685,Richard Tyson,Battlefield Earth ,65464,John Topor,0,English,USA,PG-13,44000000,2000,117
Joe Dante,91,287,3000,20950820,Brendan Fraser,Looney Tunes: Back in Action ,24183,Heather Locklear,4,English,Germany,PG,80000000,2003,739
Rob Marshall,118,252,529,19673424,Fergie,Nine ,37446,Andrea Di Stefano,4,English,USA,PG-13,80000000,2009,48
Richard Donner,116,503,23000,19480739,Paul Walker,Timeline ,53057,Ethan Embry,0,English,USA,PG-13,80000000,2003,18000
Kevin Costner,177,0,766,17593391,Olivia Williams,The Postman ,56403,Larenz Tate,1,English,USA,R,80000000,1997,674
George Miller,97,750,1000,18318000,Adam Goldberg,Babe: Pig in the City ,24868,Glenne Headly,0,English,Australia,G,80000000,1998,971
Breck Eisner,106,42,14000,27356090,Vin Diesel,The Last Witch Hunter ,58752,Lotte Verbeek,0,English,USA,PG-13,90000000,2015,788
Antony Hoffman,106,14,2,17473245,Bob Neill,Red Planet ,47612,Tom Sizemore,1,English,USA,PG-13,70000000,2000,0
Luc Besson,94,0,563,15131330,Mia Farrow,Arthur and the Invisibles ,25843,Penny Balfour,0,English,France,PG,86000000,2006,80
Jacques Perrin,104,63,67,19406406,Pedro Armendáriz Jr.,Oceans ,7630,Rie Miyazawa,0,French,France,G,40000000,2009,63
Peter Hyams,102,0,1000,1891821,David Oyelowo,A Sound of Thunder ,16474,Jemima Rooper,0,English,UK,PG-13,52000000,2005,307
Paul W.S. Anderson,105,545,795,23219748,Sasha Roiz,Pompeii ,84508,Dylan Schombing,0,English,Canada,PG-13,80000000,2014,172
Andrés Couturier,89,0,163,,Sariann Monaco,Top Cat Begins ,230,Ben Diskin,0,Spanish,Mexico,PG,8000000,2015,94
Ron Howard,135,2000,1000,170708996,Adam Goldberg,A Beautiful Mind ,610568,Judd Hirsch,0,English,USA,PG-13,58000000,2001,592
Roger Allers,73,28,2000,422783777,Matthew Broderick,The Lion King ,644348,Niketa Calame,0,English,USA,G,45000000,1994,886
Brad Peyton,94,62,14000,103812241,Josh Hutcherson,Journey 2: The Mysterious Island ,67296,Kristin Davis,3,English,USA,PG,79000000,2012,12000
Cody Cameron,95,18,622,119793567,Will Forte,Cloudy with a Chance of Meatballs 2 ,64387,Melissa Sturm,0,English,USA,PG,78000000,2013,161
Brett Ratner,124,420,22000,92930005,Philip Seymour Hoffman,Red Dragon ,204063,Emily Watson,0,English,Germany,R,78000000,2002,12000
Joe Johnston,136,394,24000,67286731,J.K. Simmons,Hidalgo ,67856,Peter Mensah,1,English,USA,PG-13,100000000,2004,10000
Dennis Dugan,91,221,14000,74158157,Al Pacino,Jack and Jill ,60370,Tim Meadows,2,English,USA,PG,79000000,2011,11000
John Singleton,107,309,23000,127083765,Paul Walker,2 Fast 2 Furious ,191912,Mo Gallini,5,English,USA,PG-13,76000000,2003,787
Mark Osborne,108,54,12000,1339152,Jeff Bridges,The Little Prince ,28276,Mackenzie Foy,1,English,France,PG,81200000,2015,11000
Oliver Hirschbiegel,99,101,1000,15071514,Roger Rees,The Invasion ,65037,Jeremy Northam,2,English,USA,PG-13,80000000,2007,422
Des McAnuff,92,5,22000,26000610,Robert De Niro,The Adventures of Rocky & Bullwinkle ,16611,Jonathan Winters,0,English,USA,PG,76000000,2000,1000
Yarrow Cheney,87,11,1000,323505540,Steve Coogan,The Secret Life of Pets ,24407,Albert Brooks,0,English,Japan,PG,75000000,2016,904
Stephen Norrington,110,45,1000,66462600,Jason Flemyng,The League of Extraordinary Gentlemen ,141533,Tony Curran,3,English,USA,PG-13,78000000,2003,872
Pierre Coffin,98,275,7000,368049635,Steve Carell,Despicable Me 2 ,286877,Steve Coogan,0,English,USA,PG,76000000,2013,2000
Roland Emmerich,154,776,10000,306124059,Will Smith,Independence Day ,430055,Mary McDonnell,0,English,USA,PG-13,75000000,1996,2000
Steven Spielberg,129,14000,610,229074524,Ariana Richards,The Lost World: Jurassic Park ,278362,Vanessa Lee Chester,0,English,USA,PG-13,73000000,1997,506
Eric Darnell,86,35,851,193136719,Jada Pinkett Smith,Madagascar ,266636,Andy Richter,0,English,USA,PG,75000000,2005,436
Alfonso Cuarón,109,0,16000,35286428,Charlie Hunnam,Children of Men ,361767,Rita Davies,0,English,USA,R,76000000,2006,430
Bryan Singer,104,0,20000,157299717,Hugh Jackman,X-Men ,452928,Bruce Davison,0,English,USA,PG-13,75000000,2000,764
Timur Bekmambetov,110,335,11000,134568845,Angelina Jolie Pitt,Wanted ,299852,Common,0,English,USA,R,75000000,2008,11000
Michael Bay,136,0,12000,134006721,Nicolas Cage,The Rock ,259492,Bokeem Woodbine,1,English,USA,R,75000000,1996,2000
Carlos Saldanha,115,107,835,195329763,Denis Leary,Ice Age: The Meltdown ,194249,Jay Leno,0,English,USA,PG,80000000,2006,590
Peter Segal,99,88,11000,120776832,Adam Sandler,50 First Dates ,266103,Allen Covert,2,English,USA,PG-13,75000000,2004,427
Adam Shankman,117,163,719,118823091,Jerry Stiller,Hairspray ,98693,Paul Dooley,9,English,USA,PG,75000000,2007,339
Renny Harlin,125,212,613,41814863,James D'Arcy,Exorcist: The Beginning ,28635,Izabella Scorupco,0,English,USA,R,50000000,2004,422
David Kellogg,110,16,2000,97360069,Matthew Broderick,Inspector Gadget ,36491,Rupert Everett,0,English,USA,PG,75000000,1999,710
Louis Leterrier,125,255,11000,117698894,Morgan Freeman,Now You See Me ,447979,Michael Kelly,6,English,USA,PG-13,75000000,2013,988
Dennis Dugan,102,221,12000,162001186,Steve Buscemi,Grown Ups ,181443,Salma Hayek,4,English,USA,PG-13,80000000,2010,11000
Steven Spielberg,128,14000,15000,77032279,Tom Hanks,The Terminal ,303864,Barry Shabaka Henley,0,English,USA,PG-13,60000000,2004,466
,43,,1000,,Harold Perrineau,Constantine             ,36919,Charles Halford,1,English,USA,TV-14,,,560
Thor Freudenthal,100,87,3000,73023275,Don Cheadle,Hotel for Dogs ,16271,Yvette Nicole Brown,4,English,USA,PG,35000000,2009,576
Martin Campbell,124,258,867,68473360,Nicholas Lea,Vertical Limit ,49536,Ben Mendelsohn,0,English,USA,PG-13,75000000,2000,826
Mike Nichols,102,0,22000,66636385,Philip Seymour Hoffman,Charlie Wilson's War ,88451,Jud Tylor,1,English,USA,R,75000000,2007,15000
Bibo Bergeron,90,10,22000,160762022,Robert De Niro,Shark Tale ,132415,Angelina Jolie Pitt,0,English,USA,PG,75000000,2004,17000
Bill Condon,130,386,912,103338338,Loretta Devine,Dreamgirls ,55901,Anika Noni Rose,0,English,USA,PG-13,70000000,2006,549
,45,,374,,Adam Arkin,Life             ,29450,Damian Lewis,1,English,USA,,,,130
F. Gary Gray,118,473,12000,55808744,Dwayne Johnson,Be Cool ,59435,Debi Mazar,4,English,USA,PG-13,53000000,2005,1000
Steven Spielberg,163,14000,745,47379090,Ayelet Zurer,Munich ,176936,Mathieu Amalric,0,English,France,R,70000000,2005,486
Antoine Fuqua,142,845,13000,43426961,Bruce Willis,Tears of the Sun ,93494,Cole Hauser,1,English,USA,R,70000000,2003,1000
Robert Luketic,100,126,19000,47000485,Tom Selleck,Killers ,72867,Catherine O'Hara,2,English,USA,PG-13,75000000,2010,1000
Guy Ritchie,116,0,15000,45434443,Henry Cavill,The Man from U.N.C.L.E. ,175960,Christian Berkel,2,English,USA,PG-13,75000000,2015,509
James L. Brooks,131,274,11000,42044321,Adam Sandler,Spanglish ,65668,Sarah Steele,2,English,USA,PG-13,80000000,2004,964
Gil Kenan,91,27,12000,73661010,Steve Buscemi,Monster House ,71137,Catherine O'Hara,0,English,USA,PG,75000000,2006,970
Barry Levinson,123,272,13000,41523271,Bruce Willis,Bandits ,57038,Azura Skye,2,English,USA,PG-13,80000000,2001,450
Jerry Zucker,134,109,919,37600435,Julia Ormond,First Knight ,55350,John Gielgud,3,English,USA,PG-13,55000000,1995,303
Andy Tennant,148,72,582,39251128,Bai Ling,Anna and the King ,31080,Randall Duk Kim,2,English,USA,PG-13,75000000,1999,103
Tarsem Singh,110,763,15000,83503161,Henry Cavill,Immortals ,138190,Steve Byers,1,English,USA,R,75000000,2011,1000
Florent-Emilio Siri,113,17,87000,34636443,Jimmy Bennett,Hostage ,93790,Ransford Doherty,0,English,USA,R,52000000,2005,13000
Don Bluth,94,383,13000,22751979,Matt Damon,Titan A.E. ,52244,Nathan Lane,0,English,USA,PG,75000000,2000,1000
Ron Shelton,116,41,11000,30013346,Harrison Ford,Hollywood Homicide ,31293,Lena Olin,2,English,USA,PG-13,75000000,2003,982
Paul W.S. Anderson,99,545,933,14567883,Connie Nielsen,Soldier ,44248,Jason Scott Lee,1,English,UK,R,75000000,1998,722
David Pastor,84,10,3000,90820,Christopher Meloni,Carriers ,35510,Lou Taylor Pucci,0,English,USA,PG-13,,2009,552
Henry Selick,93,253,3000,5409517,Brendan Fraser,Monkeybone ,14280,Megan Mullally,0,English,USA,PG-13,75000000,2001,889
John Moore,113,212,2000,21009180,Dennis Quaid,Flight of the Phoenix ,45815,Miranda Otto,4,English,USA,PG-13,45000000,2004,845
M. Night Shyamalan,106,0,18000,94999143,Robin Wright,Unbreakable ,245152,Michael Kelly,0,English,USA,PG-13,75000000,2000,13000
Kyle Balda,91,22,7000,336029560,Steve Carell,Minions ,142403,Steve Coogan,0,English,USA,PG,74000000,2015,4000
Zack Snyder,128,0,4000,36381716,Jon Hamm,Sucker Punch ,197584,Scott Glenn,4,English,USA,PG-13,82000000,2011,2000
Brian De Palma,98,0,12000,55585389,Nicolas Cage,Snake Eyes ,64121,John Heard,1,English,USA,R,69000000,1998,854
