num_critic_for_reviews,actor_3_facebook_likes,actor_1_facebook_likes,gross,genres,actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,movie_imdb_link,num_user_for_reviews,content_rating,budget,actor_2_facebook_likes,aspect_ratio,movie_facebook_likes
172,698,1000,327919,Crime|Drama,Stephen Graham,99177,3282,Jack O'Connell,http://www.imdb.com/title/tt0480025/?ref_=fn_tt_tt_1,192,Unrated,1500000,788,1.85,11000
20,663,844,,Comedy|Sci-Fi,Julian Glover,2753,3132,Bianca Brigitte VanDamme,http://www.imdb.com/title/tt2040578/?ref_=fn_tt_tt_1,82,R,2500000,722,2.35,0
8,226,675,,Comedy|Musical,Esther Williams,1079,1627,Red Skelton,http://www.imdb.com/title/tt0036628/?ref_=fn_tt_tt_1,28,Passed,2361000,659,1.37,144
8,76,847,178739,Drama|Musical,Jossara Jinaro,1015,1668,Rene Rosado,http://www.imdb.com/title/tt1307926/?ref_=fn_tt_tt_1,10,PG-13,2450000,618,1.85,566
15,326,982,565592,Comedy|Drama|Family,Ethan Embry,2189,2580,Alexandra Holden,http://www.imdb.com/title/tt0118925/?ref_=fn_tt_tt_1,63,PG,,599,1.85,500
14,244,960,,Drama|Family|Musical|Romance,Agnes Moorehead,3538,2329,Howard Keel,http://www.imdb.com/title/tt0044030/?ref_=fn_tt_tt_1,46,Approved,2295429,715,1.33,438
12,608,1000,27012,Drama,Tom Skerritt,440,3586,Luke Perry,http://www.imdb.com/title/tt1470020/?ref_=fn_tt_tt_1,9,PG-13,,646,2.35,279
48,826,2000,,Thriller,Topher Grace,6025,4385,Christopher Heyerdahl,http://www.imdb.com/title/tt1666335/?ref_=fn_tt_tt_1,28,R,,1000,,0
17,385,11000,,Adventure|Animation|Comedy|Family|Fantasy|Musical,Jon Lovitz,19650,12359,Mindy Sterling,http://www.imdb.com/title/tt0092695/?ref_=fn_tt_tt_1,62,Not Rated,2300000,516,,0
99,,16,76400000,Animation|Family|Fantasy|Music,Leopold Stokowski,71321,16,,http://www.imdb.com/title/tt0032455/?ref_=fn_tt_tt_1,230,G,2280000,0,1.37,3000
138,109,813,,Action|Crime|Drama|Thriller,Roy Scheider,82476,1196,Tony Lo Bianco,http://www.imdb.com/title/tt0067116/?ref_=fn_tt_tt_1,280,R,1800000,165,1.85,0
,0,210,,Drama|Thriller,Nicole Smolen,44,210,Ivette Alvarez,http://www.imdb.com/title/tt3111864/?ref_=fn_tt_tt_1,3,PG-13,2500000,0,,224
235,20,72,36200000,Horror|Thriller,Richard Brooker,31952,174,Catherine Parks,http://www.imdb.com/title/tt0083972/?ref_=fn_tt_tt_1,372,R,4000000,31,2.35,0
160,17,42,21300000,Horror|Mystery|Thriller,Tiffany Helm,22521,170,Dominick Brascia,http://www.imdb.com/title/tt0089173/?ref_=fn_tt_tt_1,342,R,2200000,27,1.85,1000
18,275,861,379643,Drama,Henry Thomas,1573,2161,A.J. Buckley,http://www.imdb.com/title/tt0810928/?ref_=fn_tt_tt_1,29,PG-13,2200000,425,1.85,285
11,835,2000,12985267,Drama,Alexa PenaVega,4977,6752,Madison Pettis,http://www.imdb.com/title/tt4056738/?ref_=fn_tt_tt_1,63,PG-13,2300000,848,,13000
11,306,676,,Thriller,Brian Austin Green,1118,1651,Linden Ashby,http://www.imdb.com/title/tt1086841/?ref_=fn_tt_tt_1,9,R,2200000,399,,77
7,275,509,,Drama,Jessica Tandy,1314,1490,Lionel Barrymore,http://www.imdb.com/title/tt0038213/?ref_=fn_tt_tt_1,29,Passed,2160000,284,1.37,68
5,708,1000,,Drama|Thriller,Jessica Lowndes,1351,3799,Brad Schmidt,http://www.imdb.com/title/tt3032282/?ref_=fn_tt_tt_1,4,R,,800,,452
10,18,114,,Comedy|Drama|Romance,Saeed Jaffrey,480,244,Shobu Kapoor,http://www.imdb.com/title/tt0449000/?ref_=fn_tt_tt_1,14,,1200000,79,1.85,172
5,782,3000,,Comedy|Music|Romance,Ryan Guzman,485,6085,Jason Ritter,http://www.imdb.com/title/tt1995477/?ref_=fn_tt_tt_1,6,,2400000,938,,107
95,42,371,,Action|Comedy|Horror,Rachel Skarsten,5187,558,Stefanie Drummond,http://www.imdb.com/title/tt0816539/?ref_=fn_tt_tt_1,46,R,2500000,52,1.85,870
97,188,749,23650000,Drama|Romance|War,Myrna Loy,40359,1941,Dana Andrews,http://www.imdb.com/title/tt0036868/?ref_=fn_tt_tt_1,235,Not Rated,2100000,208,1.37,0
76,551,730,510092,Biography|Crime|Drama,Kelli Garner,29424,3293,Brad Renfro,http://www.imdb.com/title/tt0242193/?ref_=fn_tt_tt_1,336,R,,648,1.85,0
67,14,117,313436,Comedy|Drama,Jørgen Langhelle,12244,155,Sven Nordin,http://www.imdb.com/title/tt0279064/?ref_=fn_tt_tt_1,95,R,15500000,21,1.85,0
4,17,128,3330,Crime|Drama,Michael Derek,22,214,Brad Lee Wind,http://www.imdb.com/title/tt2460506/?ref_=fn_tt_tt_1,1,R,2100000,22,2.35,305
252,7,120,,Horror,Manuela Velasco,131462,145,Carlos Lasarte,http://www.imdb.com/title/tt1038988/?ref_=fn_tt_tt_1,374,R,1500000,9,1.85,15000
,650,919,,Drama,Rosie Perez,544,3873,Cheyenne Haynes,http://www.imdb.com/title/tt1675312/?ref_=fn_tt_tt_1,4,TV-PG,2100000,718,1.78,162
1,338,749,,Comedy|Drama|Mystery|Romance|Thriller,Travis Myers,6,1814,Carmen Argenziano,http://www.imdb.com/title/tt2317796/?ref_=fn_tt_tt_1,1,,2100000,354,2.39,14
33,260,846,,Horror|Sci-Fi|Thriller,Walter Hendrix III,1355,2044,Louise Brealey,http://www.imdb.com/title/tt3561236/?ref_=fn_tt_tt_1,21,,,366,,275
