duration,genres,movie_title,actor_3_name,budget,title_year,movie_facebook_likes
111,Action|Drama|Fantasy|Mystery|Sci-Fi|Thriller,Dark City ,Bruce Spence,27000000,1998,14000
110,Biography|Drama|History|Romance,The Duchess ,Charlotte Rampling,13500000,2008,0
30,Comedy|Family,The Honeymooners             ,Joyce Randolph,,,459
109,Adventure|Family|Fantasy|Horror|Mystery,Return to Oz ,Tim Rose,25000000,1985,0
123,Action|Crime|Drama|History|Western,The Newton Boys ,Dwight Yoakam,27000000,1998,315
109,Horror|Mystery|Thriller,Case 39 ,Vanesa Tomasino,27000000,2009,0
99,Crime|Drama|Mystery|Thriller,Suspect Zero ,William Mapother,27000000,2004,817
106,Comedy|Drama|Family,Martian Child ,Sophie Okonedo,27000000,2007,0
89,Action|Adventure|Comedy|Family|Sci-Fi,Spy Kids: All the Time in the World in 4D ,Daryl Sabara,27000000,2011,0
98,Crime|Drama|Thriller,Money Monster ,Chris Bauer,27000000,2016,0
93,Action|Comedy|Crime|Thriller,Formula 51 ,Paul Barber,28000000,2001,0
112,Comedy|Crime|Drama,Flawless ,Chris Bauer,15000000,1999,0
101,Crime|Horror|Mystery|Thriller,Mindhunters ,Eion Bailey,27000000,2004,2000
104,Comedy|Drama,What Just Happened ,Kristen Stewart,25000000,2008,845
120,Drama|Thriller,The Statement ,John Neville,23000000,2003,188
135,Drama|Musical|Romance,The Magic Flute ,Joseph Kaiser,27000000,2006,359
91,Action|Comedy|Crime,Paul Blart: Mall Cop ,Allen Covert,26000000,2009,0
97,Comedy|Family|Fantasy|Music|Romance,Freaky Friday ,Willie Garson,26000000,2003,0
