director_name,num_critic_for_reviews,director_facebook_likes,actor_3_facebook_likes,actor_2_name,gross,actor_1_name,movie_title,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,country,content_rating,budget,imdb_score
Allan Dwan,40,23,88,Richard Jaeckel,,James Brown,Sands of Iwo Jima ,510,Forrest Tucker,0,battle|combat|heroic military|sergeant|tarawa,69,USA,Approved,1000000,7.2
Martin Scorsese,129,17000,184,Keith Richards,5355376,Mick Jagger,Shine a Light ,1218,Albert Maysles,0,band|concert footage|new york city|rolling stones|three word title,67,USA,PG-13,,7.2
Eli Roth,285,0,389,Richard Burgi,7186670,Daryl Sabara,The Green Inferno ,2082,Magda Apanowicz,0,activist|amazon|color in title|rain|rain forest,164,USA,R,6000000,5.4
Andrew Steggall,29,0,30,Alex Lawther,,Juliet Stevenson,Departure ,283,Niamh Cusack,0,france|gay|language|male masturbation|masturbation,5,UK,,1100000,7.0
Ben Lewin,337,20,365,Adam Arkin,5997134,W. Earl Brown,The Sessions ,1899,Rhea Perlman,3,falling in love|iron lung|priest|sex surrogate|therapist,126,USA,R,1000000,7.2
Robert Kenner,120,11,2,Eric Schlosser,4417124,Michael Pollan,"Food, Inc. ",42,Barbara Kowalcyk,0,farming|flesh eating|food|food industry|gluttony,183,USA,PG,,7.9
Andrew Erwin,40,10,245,Robert Amaya,5355847,Rachel Hendrix,October Baby ,1147,Jason Burkey,1,abortion|anti choice|christian preach|malpractice|unprofessional conduct,82,USA,PG-13,,6.8
Brad Anderson,38,122,458,Callie Thorne,3386698,Philip Seymour Hoffman,Next Stop Wonderland ,23461,Holland Taylor,1,love|marine biologist|nurse|personal ad|plumber,86,USA,R,1000000,6.7
Jason Reitman,387,655,973,Jennifer Garner,143492840,J.K. Simmons,Juno ,28817,Rainn Wilson,0,adoption|baby|friend|pregnancy|school,881,USA,PG-13,7500000,7.5
Craig Johnson,185,7,180,Boyd Holbrook,5283379,Ty Burrell,The Skeleton Twins ,3986,Kathleen Rose Perkins,2,adultery|brother sister relationship|estrangement|siblings|suicide attempt,79,USA,R,,6.8
Sean Durkin,348,46,287,Julia Garner,2981638,Christopher Abbott,Martha Marcy May Marlene ,1263,Brady Corbet,0,connecticut|cult|memory|new york|telephone call,186,USA,R,,6.9
Gillian Robespierre,155,9,313,Jenny Slate,3122616,Gaby Hoffmann,Obvious Child ,1587,Jake Lacy,1,abortion|divorced parents|one night stand|pregnancy|pregnant,73,USA,R,,6.8
Courtney Hunt,181,33,229,Michael O'Keefe,2508841,Charlie McDermott,Frozen River ,994,Misty Upham,1,border|mohawk|money|new york|river,93,USA,R,1000000,7.2
Morgan Neville,149,9,13,Lou Adler,4946250,Sheryl Crow,20 Feet from Stardom ,198,Merry Clayton,0,backup singer|band|bechdel test passed|concert footage|singer,80,USA,PG-13,1000000,7.4
James Toback,54,56,13,Natasha Gregson Wagner,1950218,Robert Downey Jr.,Two Girls and a Guy ,21124,Angel David,3,actor|anilingus|double cross|funeral home|two timing,102,USA,R,1000000,5.6
Nicole Holofcener,18,132,584,Anne Heche,1277257,Kevin Corrigan,Walking and Talking ,2400,Vincent Pastore,2,briefs|cancer|cat|cult film|friend,32,UK,R,1000000,6.8
Peter Cattaneo,122,11,121,Mark Addy,45857453,Tom Wilkinson,The Full Monty ,2323,Lesley Sharp,3,dole|male stripper|northern england|steel worker|unemployment,174,UK,R,3500000,7.2
Chris Paine,87,2,5,Phyllis Diller,1677838,Ed Begley Jr.,Who Killed the Electric Car? ,1447,Colette Divine,0,california|car|reference to ralph nader|technology|u.s. president,155,USA,PG,1000000,7.7
Greg Berlanti,51,112,428,Nia Long,1744858,Justin Theroux,The Broken Hearts Club: A Romantic Comedy ,3085,Mary McCormack,1,friend|gay|lesbian|photographer|restaurant,120,USA,R,1000000,7.0
Don Coscarelli,260,152,124,Ossie Davis,,Daniel Roebuck,Bubba Ho-Tep ,1587,Ella Joyce,2,cult film|elvis|elvis presley|nursing home|texas,366,USA,R,1000000,7.2
Rob Letterman,218,11,543,Dylan Minnette,80021740,Odeya Rush,Goosebumps ,5497,Ken Marino,4,based on book|blob|ferris wheel|manuscript|monster,154,USA,PG,58000000,6.4
Marc Levin,16,12,6,Saul Williams,982214,Sonja Sohn,Slam ,295,Bonz Malone,0,gang|independent film|prison|racial slur|urban setting,51,USA,R,1000000,7.2
Richard Dutcher,12,13,25,Frank Gerrish,798341,Wilford Brimley,Brigham City ,1107,Rick Macy,0,fbi agent|mormon|prayer|sheriff|utah,63,USA,PG-13,1000000,7.2
Khalid Mohamed,1,10,97,Manoj Bajpayee,610991,Karisma Kapoor,Fiza ,773,Jaya Bhaduri,3,mumbai riots|politician|riot|suicide|tragic event,19,India,,1000000,6.2
Mel Brooks,48,0,842,Sid Caesar,,Madeline Kahn,History of the World: Part I ,3931,Dom DeLuise,0,french revolution|old testament|part of an unfinished series|reference to john wayne|roman emperor,131,USA,R,11000000,6.9
Trey Parker,59,406,194,Dian Bachar,582024,Trey Parker,Orgazmo ,904,Matt Stone,0,book of mormon|fight|mormon|ray gun|sidekick,168,USA,NC-17,1000000,6.2
David Gordon Green,88,234,463,Paul Schneider,548712,Zooey Deschanel,All the Real Girls ,12385,Shea Whigham,0,best friend|lake|love|small town|womanizer,126,USA,R,2500000,6.9
Finn Taylor,28,4,301,Cathy Moriarty,464655,David Arquette,Dream with the Fishes ,1692,Kathryn Erbe,0,dying|to do list|twenty something|underwear|voyeur,29,USA,R,1000000,7.0
Karen Moncrieff,44,22,275,Agnes Bruckner,464126,Frances Fisher,Blue Car ,1641,A.J. Buckley,0,contest|poetry|refusing to eat|starving oneself|teenage girl,68,USA,R,1000000,6.7
José Luis Valenzuela,13,0,268,Lupe Ontiveros,428535,Cheech Marin,Luminarias ,2289,Robert Beltran,1,divorce|friend|jewish|lent|restaurant,32,USA,R,1000000,3.6
Gia Coppola,117,71,145,Nat Wolff,750100,James Franco,Palo Alto ,12234,Olivia Crocicchia,0,girls' soccer|high school|high school student|soccer coach|teenager,61,USA,R,,6.3
Scandar Copti,100,13,7,Scandar Copti,621240,Shahir Kabaha,Ajami ,42,Ranin Karim,6,arab|christian|israeli|palestinian|violence,32,Germany,,,7.4
Goran Dukic,117,21,772,Patrick Fugit,104077,Leslie Bibb,Wristcutters: A Love Story ,4720,Chase Ellison,2,afterlife|camping|death|hitchhiker|suicide,88,USA,R,1000000,7.4
Mike Cahill,140,135,11,Cara Seymour,334658,Steven Yeun,I Origins ,7098,Venida Evans,0,buddhism|evolution|eye|reincarnation|stuck in elevator,160,USA,R,,7.3
Efram Potelle,29,2,551,Elden Henson,279282,Shiri Appleby,The Battle of Shaker Heights ,2489,Kathleen Quinlan,2,bully comeuppance|high school|painter|reference to led zeppelin|wetting pants,49,USA,PG-13,1000000,6.1
Peter Jackson,308,0,310,AJ Michalka,43982842,Michael Imperioli,The Lovely Bones ,2369,Tom McCarthy,1,1970s|afterlife|heaven|pedophile|rape,593,USA,PG-13,65000000,6.7
Joshua Oppenheimer,248,50,0,Herman Koto,484221,Anwar Congo,The Act of Killing ,6,Syamsul Arifin,1,death squad|mass killing|musical number|reference to guantanamo bay|surrealism,107,UK,Not Rated,1000000,8.2
Alex Gibney,84,141,23,George W. Bush,274661,Alex Gibney,Taxi to the Dark Side ,313,Greg D'Agostino,0,afghanistan|detainee|guantanamo bay|taxi|torture,40,USA,R,1000000,7.7
Paul Crowder,40,10,5,Marv Albert,144431,Pelé,Once in a Lifetime: The Extraordinary Story of the New York Cosmos ,118,Ahmet Ertegun,0,new york|new york cosmos|professional sports|soccer|soccer team,13,UK,PG-13,1000000,7.3
Rohit Jagessar,,0,0,Rufus Graham,227241,Kumar Gaurav,Guiana 1838 ,15,Aasheekaa Bathija,0,bare chested male|discipline|imperialism|whipping|white slavery,2,USA,Unrated,,7.4
Griffin Dunne,13,165,679,Fisher Stevens,112521,Mira Sorvino,Lisa Picard Is Famous ,3258,Melissa Gilbert,1,actress|fame|inside joke|new york|one man show,16,USA,PG-13,,5.7
Anthony Powell,31,9,9,Tom Hamann,287761,Josh Swanson,Antarctica: A Year on Ice ,86,Anthony Powell,1,antarctica,16,New Zealand,PG,1000000,7.6
Kief Davidson,43,0,0,Brian Whitaker,100240,G.W. Krauss,A Lego Brickumentary ,28,Jason Bateman,0,artist|denmark|lego|toy|toy company,11,Denmark,G,1000000,6.8
Johnny Remo,2,74,891,Randy Wayne,96734,Matthew Ziff,Hardflip ,263584,Raquel Elizabeth Ames,3,family relationships|loss of mother|san diego california|single mother|suicide attempt,5,USA,PG-13,1000000,5.6
Vivek Agnihotri,4,5,219,Anil Kapoor,49000,Emraan Hashmi,Chocolate: Deep Dark Secrets ,2024,Sunil Shetty,5,chocolate|christmas|christmas eve|death|suspect,30,India,,1500000,4.8
Ti West,238,243,725,Greta Gerwig,100659,Lena Dunham,The House of the Devil ,3833,Dee Wallace,0,cult film|eclipse|haunted house|lunar eclipse|secret,193,USA,R,900000,6.4
Nick Tomnay,112,11,271,Clayne Crawford,48430,David Hyde Pierce,The Perfect Host ,1452,Nathaniel Parker,1,arm tattoo|bank robbery|cauterizing a wound|dancing on a table|dinner party,73,USA,R,500000,6.8
John Hamburg,33,29,117,Michael Lerner,21210,Harvey Fierstein,Safe Men ,1141,Josh Pais,0,gangster|organized crime|robbery|rosh hashanah|safecracking,52,USA,R,1000000,6.1
Nickolas Perry,8,5,73,Patsy Kensit,,Patrick Renna,Speedway Junky ,1042,Adrienne Frantz,2,car racing|crush|hustler|scam|watching television,43,USA,R,1000000,5.2
Dan Zukovic,95,8,14,Louis Mustillo,22434,Yul Vazquez,The Last Big Thing ,196,James Lorinz,1,actor|magazine|model|rock band|suburb,17,USA,R,,6.9
Craig Mazin,29,82,490,James Gunn,12996,Judy Greer,The Specials ,3905,Jamie Kennedy,0,action figure|press conference|superhero|superhero team|toy,54,USA,R,1000000,6.0
Becky Smith,3,32,256,Emily Baldoni,,Will Rothhaar,16 to Life ,1647,Hallee Hirsh,1,birthday|digit in title|love|masturbation|teenager,6,USA,,1000000,6.3
Eric Nicholas,71,0,61,Ana Claudia Talancón,10018,Jordana Spiro,Alone with Her ,509,Jonathon Trent,0,female nudity|female pubic hair|masturbation|panties|pubic hair,31,USA,Not Rated,1000000,6.1
Benjamin Dickinson,36,4,150,Alexia Rasmussen,62480,Nora Zehetner,Creative Control ,928,Meredith Hagner,1,art exhibition|augmented reality|cocaine|nervous breakdown|speculative fiction,7,USA,R,1000000,5.5
Hal Haberman,56,0,394,Paul Blackthorne,6387,Michael Rapaport,Special ,2694,Ian Bohen,0,dream sequence|locked in a room|looking at self in mirror|medication|superhero,37,USA,R,1000000,6.9
Darren Stein,8,18,422,Jamie Kennedy,5494,Frances Bay,Sparkler ,2633,Veronica Cartwright,3,automobile association of america|cheating|psychic|reference to tom jones the singer|trailer park,13,USA,R,,5.6
A. Raven Cruz,3,0,94,Vanilla Ice,,Scott Levy,The Helix... Loaded ,1188,Jennifer Sky,2,cnn reporter|ellipsis in title|matrix|punctuation in title|secret agent,9,USA,R,1000000,1.9
Brian Trenchard-Smith,8,53,176,Mariel Hemingway,721,David Keith,In Her Line of Fire ,1284,Jesse Hutch,2,camp|die hard scenario|female protagonist|island|vice president,12,Germany,R,1000000,4.1
Frank Whaley,9,436,4,Frank Whaley,703,Lynn Cohen,The Jimmy Show ,920,Heather Bucha,3,based on play|character name in title,21,USA,R,1500000,5.4
Amat Escalante,87,50,8,Andrea Vergara,,Kenny Johnston,Heli ,351,Gabriel Reyes,0,corrupt police|drug cartel|drugs|mexico|police,15,Mexico,Not Rated,1000000,6.8
Wajahat Rauf,6,3,4,Ayesha Omar,,Rasheed Naz,Karachi se Lahore ,19,Javed Sheikh,9,pakistan|road trip,15,Pakistan,,1000000,7.0
Katherine Brooks,14,57,228,Kevin McCarthy,,Ilene Graff,Loving Annabelle ,1635,Laura Breckenridge,0,older woman younger woman relationship|sex with student|teacher|teacher student relationship|title directed by female,75,USA,Not Rated,1000000,6.7
David Cross,20,0,396,Matt Walsh,,Jason Ritter,Hits ,2607,Amy Sedaris,1,courtroom|independent film|internet|small town|youtube,8,USA,,1000000,5.8
Randall Rubin,23,0,131,A.J. Buckley,,Nicole Randall Johnson,Jimmy and Judy ,997,James Eckhouse,2,police|revenge|sex|suburb|video camera,26,USA,R,1000000,6.2
Robert Bennett,6,15,106,Lauren C. Mayhew,,Randy Wayne,Frat Party ,1752,Alicia Ziegler,4,erotica|masseuse|sister sister relationship|temptation|threesome,28,USA,R,1000000,2.8
Guy Hamilton,12,82,47,Eddie Albert,,Oliver Reed,The Party's Over ,964,Louise Sorel,1,beatnik|businessman|necrophilia|party|partying,7,UK,,,7.3
Mary Pat Kelly,2,3,149,Ossie Davis,,Aidan Quinn,Proud ,1593,Janet Hubert,2,,22,USA,PG,1000000,5.8
Lori Petty,12,923,904,Chloë Grace Moretz,,Jennifer Lawrence,The Poker House ,52113,Bokeem Woodbine,3,basketball|drug abuse|interracial rape|iowa|tween girl,24,USA,R,,6.5
Charlie Levi,,0,171,Barbara Hershey,,Joe Mantegna,Childless ,1996,Diane Venora,5,,,USA,R,1000000,6.1
Kevin Hamedani,64,23,23,Janette Armand,,Russell Hodgkinson,ZMD: Zombies of Mass Destruction ,292,Kevin Hamedani,0,cult|homosexual|island|survival horror|zombie,39,USA,R,500000,5.1
David DeCoteau,7,142,317,Shanley Caswell,,Maureen McCormick,Snow White: A Deadly Summer ,1549,Tim Abell,1,reference to snow white|sleeping bag|stepmother stepdaughter relationship|strangulation|totem pole,14,USA,PG-13,1000000,2.2
Mikel Rueda,9,0,0,Germán Alcarazu,,Álex Angulo,Hidden Away ,90,Joseba Ugalde,0,best friend|deportation|moroccan|unrequited love|xenophobia,7,Spain,Unrated,,7.2
Stefan C. Schaefer,21,0,360,Marlene Forte,,Nicole Beharie,My Last Day Without You ,2116,Reg E. Cathey,1,business trip|german|love|new york|singer songwriter,12,USA,,1000000,5.7
Michael Taliferro,,105,110,Sticky Fingaz,,Wesley Jonathan,Steppin: The Movie ,1350,Chrystee Pharris,6,,1,USA,PG-13,1000000,3.4
David DeCoteau,1,142,402,Tom Berenger,,William McNamara,Doc Holliday's Revenge ,11466,Randy Jay Burrell,3,1880s|cowboy|low budget film|shoot out|wild west,6,USA,PG-13,1000000,3.8
