director_name,duration,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,cast_total_facebook_likes,facenumber_in_poster,plot_keywords,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Shane Black,103,Corbin Bernsen,21000,4235837,Comedy|Crime|Mystery,Robert Downey Jr.,Kiss Kiss Bang Bang ,23932,2,actor|detective sergeant|hotel|nightclub|thief,1000,7.6,2.35,0
Rodman Flender,92,Fred Willard,890,4002955,Comedy|Fantasy|Horror|Thriller,Vivica A. Fox,Idle Hands ,3654,0,breasts|female frontal nudity|nude woman murdered|slow motion scene|trailer home,729,6.2,1.85,0
David Lynch,147,Robert Forster,6000,7219578,Drama|Mystery|Thriller,Naomi Watts,Mulholland Drive ,8484,1,amnesia|car accident|female protagonist|lesbian sex|loss of memory,889,8.0,1.85,16000
Katja von Garnier,98,Agnes Bruckner,837,3525161,Drama|Fantasy|Horror|Romance,Olivier Martinez,Blood and Chocolate ,1675,0,colorado|love|murder|rocky mountains|werewolf,400,5.5,2.35,0
Woody Allen,98,Naomi Watts,12000,3247816,Comedy|Drama|Romance,Anthony Hopkins,You Will Meet a Tall Dark Stranger ,19310,0,call girl|charlatan|fortune teller|manuscript|writer,6000,6.3,1.85,0
Mark Romanek,103,Charlie Rowe,10000,2412045,Drama|Romance|Sci-Fi,Andrew Garfield,Never Let Me Go ,12867,0,boarding school|childhood|love|love triangle|organ donation,882,7.2,2.35,33000
,286,Tom Hollander,857,,Drama|History|Thriller,Anna Silk,The Company             ,3809,3,cia|mole|revolution|spy|ussr,555,7.9,1.78,733
Brad Anderson,111,Eduardo Noriega,918,2203641,Crime|Drama|Mystery|Thriller,Thomas Kretschmann,Transsiberian ,1252,0,35 mm digital camera|drugs|murder|train|travel,278,6.7,2.35,0
Michael Chapman,98,Pamela Reed,876,1953732,Adventure|Drama|Fantasy,Curtis Armstrong,The Clan of the Cave Bear ,1351,0,cave bear|cro magnon|neanderthal|survival|tradition,324,5.3,2.35,843
Antonio Banderas,111,Elizabeth Perkins,783,1954202,Comedy|Crime|Drama,Meat Loaf,Crazy in Alabama ,4834,0,abusive husband|alabama|boy|dream|sheriff,664,6.3,2.35,391
Michael Haneke,111,Siobhan Fallon Hogan,6000,1294640,Crime|Drama|Horror|Thriller,Naomi Watts,Funny Games ,6748,0,breaking the fourth wall|looking at the camera|remake|serial killer|violence,294,6.5,1.85,0
Khalil Sullins,100,Kalim Chandler,192,,Drama|Sci-Fi|Thriller,Thomas Stroppel,Listening ,527,0,divorce papers|fainting|mind control|playground|technology,134,5.6,2.35,708
Atom Egoyan,116,Elaine Cassidy,5000,819852,Drama|Thriller,Bob Hoskins,Felicia's Journey ,5426,0,caterer|catering|chef|friend|lawn mower,203,7.0,2.35,284
Fritz Lang,145,Gustav Fröhlich,136,26435,Drama|Sci-Fi,Brigitte Helm,Metropolis ,203,1,art deco|bible quote|dance|silent film|worker,23,8.3,1.33,12000
Pierre Morel,84,Cyril Raffaelli,510,1197786,Action|Crime|Thriller,David Belle,District B13 ,962,2,bomb|gang|police|sister|undercover cop,297,7.2,2.35,0
Gary Fleder,115,Bill Cobbs,12000,529766,Crime|Drama,Steve Buscemi,Things to Do in Denver When You're Dead ,14889,2,death|finger gun|video message|what happened to epilogue|wheelchair,970,6.8,1.85,0
Hsiao-Hsien Hou,105,Chen Chang,1000,613556,Action|Drama,Qi Shu,The Assassin ,1172,1,black magic|china|love|refusal to kill|wuxia,103,6.4,1.37,0
Gregor Jordan,98,Scott Glenn,936,353743,Comedy|Crime|Drama|Thriller|War,Dean Stockwell,Buffalo Soldiers ,3578,1,berlin wall|germany|murder|soldier|specialist,826,6.9,2.35,664
Andrey Zvyagintsev,99,Vladimir Garin,20,502028,Drama|Mystery|Thriller,Konstantin Lavronenko,The Return ,48,0,boy|photograph|return|russian|wilderness,13,8.0,1.85,0
Tony Jaa,110,Petchtai Wongkamlao,64,102055,Action,Nirut Sirichanya,Ong-bak 2 ,134,0,cult film|elephant|jungle|martial arts|stylized violence,45,6.2,2.35,0
Neil Marshall,97,JJ Feild,13000,122288,Action|Adventure|Drama|History|Thriller|War,Michael Fassbender,Centurion ,15293,0,mushroom|mute|roman soldier|screaming|wood carving,794,6.4,2.35,0
Russell Mulcahy,88,Gina Bellman,825,,Action|Drama|Thriller,Christopher Heyerdahl,Silent Trigger ,1432,0,assassin|die hard scenario|rangefinder|soldier|veteran,476,5.6,2.35,154
Ryûhei Kitamura,103,Brooke Shields,14000,73548,Fantasy|Horror|Mystery,Bradley Cooper,The Midnight Meat Train ,18639,0,butcher|girlfriend|mute character|photographer|subway,1000,6.1,2.35,0
Darrell Roodt,104,Wendy Crewson,549,,Biography|Drama|History,Jennifer Hudson,Winnie Mandela ,801,2,character name in title|nelson mandela|one word title|reference to winnie mandela|south africa,248,6.0,,705
Dito Montiel,90,Al Pacino,17000,28870,Crime|Drama|Thriller,Channing Tatum,The Son of No One ,32814,5,housing project|letter|man with glasses|murder|subjective camera,14000,5.1,2.35,0
Stefan Ruzowitzky,105,Udo Kier,776,22723,Action|Comedy|Drama|War,Eddie Izzard,All the Queen's Men ,1732,1,apostrophe in title|behind enemy lines|box office flop|gay interest|punctuation in title,595,4.5,2.35,193
Jake Paltrow,93,Gael Le Cornec,1000,20380,Comedy|Drama|Fantasy|Music|Romance,Stephen Graham,The Good Night ,1245,1,commercial|dream|dreaming|girl|new york city,165,5.9,1.85,445
Juraj Jakubisko,141,Hans Matheson,735,,Biography|Drama|Fantasy|History,Anna Friel,Bathory: Countess of Blood ,2528,1,bathory|countess|female protagonist|legend|virgin blood,627,6.0,2.35,0
Anthony Silverston,85,Steve Buscemi,14000,,Adventure|Animation|Family,Liam Neeson,Khumba ,29488,0,herd|ostrich|waterhole|wildebeest|zebra,12000,5.8,,0
Gabe Ibáñez,109,Robert Forster,1000,,Action|Sci-Fi|Thriller,Birgitte Hjort Sørensen,Automata ,2829,0,child hitman|dystopia|future|robot|self repair,889,6.1,2.35,13000
Gerry Lively,105,Lucy Gaskell,179,,Action|Adventure|Fantasy,Bruce Payne,Dungeons & Dragons: Wrath of the Dragon God ,363,0,combat|helmet|martial arts|medieval times|violence,55,4.9,1.78,473
Daniele Luchetti,98,Rodrigo De la Serna,61,,Biography,Maximilian Dirr,Chiamatemi Francesco - Il Papa della gente ,192,0,,57,5.7,,18
Tung-Shing Yee,119,Daniel Wu,556,,Action|Crime|Drama|Thriller,Bingbing Fan,Shinjuku Incident ,996,4,chinese|gang|gratitude|immigrant|japan,353,7.1,2.35,821
Julien Temple,124,Dexter Fletcher,631,,Biography|Drama,Samantha Morton,Pandaemonium ,1585,1,betrayal|french revolution|friendship|poet|revolution,452,6.6,,277
Harold Ramis,101,Chris Elliott,13000,70906973,Comedy|Fantasy|Romance,Bill Murray,Groundhog Day ,15500,1,cult film|existentialism|groundhog day|time loop|trapped in a time loop,571,8.1,1.85,38000
Gregory Jacobs,115,Channing Tatum,20000,66009973,Comedy|Drama|Music,Matt Bomer,Magic Mike XXL ,38963,3,male bonding|male friendship|male objectification|muscular|stripper,17000,5.7,2.35,41000
Baz Luhrmann,120,Harold Perrineau,29000,46338728,Drama|Romance,Leonardo DiCaprio,Romeo + Juliet ,33791,2,hawaiian shirt|love|shakespeare adaptation|shakespeare play|star crossed lovers,1000,6.8,2.35,10000
Gilles Paquet-Brenner,111,Aidan Quinn,1000,7691700,Drama|War,Kristin Scott Thomas,Sarah's Key ,2140,2,apartment|escape|jewish family|journalist|key,767,7.5,2.35,0
Peter Cousens,94,David Rasche,467,,Drama|Family|Music,Sharon Leal,Freedom ,994,2,19th century|christian film|hymn|religion|slave,220,6.2,,998
Clint Eastwood,131,Morgan Freeman,16000,101157447,Drama|Western,Clint Eastwood,Unforgiven ,28544,1,englishman|leaving flowers on a grave|one last job|reputation|visiting wife's grave,11000,8.3,2.35,10000
Lars von Trier,139,Jeremy Davies,3000,74205,Drama,Bryce Dallas Howard,Manderlay ,4211,1,cotton|female frontal nudity|flogging|gangster|slavery,769,7.4,2.35,1000
Danny Boyle,120,Saurabh Shukla,668,141319195,Drama|Romance,Anil Kapoor,Slumdog Millionaire ,820,0,cheating|falling from height|murder|non professional cast|slum,56,8.0,2.35,13000
Adrian Lyne,119,Lois Smith,886,156645693,Drama|Romance|Thriller,Fred Gwynne,Fatal Attraction ,1639,0,borderline personality disorder|killing a pet|madame butterfly|new york|new york city,276,6.9,1.85,3000
Garry Marshall,125,Hector Elizondo,8000,178406268,Comedy|Romance,Julia Roberts,Pretty Woman ,11135,2,businessman|falling in love with a prostitute|hotel|prostitute|rich man poor woman,995,6.9,1.85,11000
John Blanchard,65,Andrea Martin,770,,Comedy,Martin Short,Towering Inferno             ,1125,2,,179,9.5,1.33,0
John Cornell,108,Linda Kozlowski,442,109306210,Action|Adventure|Comedy,Paul Hogan,Crocodile Dundee II ,717,1,australia|australian|crime boss|crocodile|gangster,162,5.5,2.35,489
Vidhu Vinod Chopra,101,Chris Marquette,892,,Action|Crime|Drama|Mystery|Thriller,María Valverde,Broken Horses ,2055,0,,355,5.7,2.35,0
Oliver Stone,145,Tom Berenger,10000,70001698,Biography|Drama|War,Tom Cruise,Born on the Fourth of July ,12098,0,desert|drunkenness|religious mother|strict mother|vietnam war,854,7.2,2.35,4000
Jon Turteltaub,98,Leon,953,68856263,Adventure|Comedy|Family|Sport,Doug E. Doug,Cool Runnings ,2496,1,bobsled|coach|jamaica|olympic games|olympics,730,6.9,1.85,0
Patrick Lussier,101,Jaime King,10000,51527787,Horror|Thriller,Jensen Ackles,My Bloody Valentine ,14159,0,coma|death|miner|valentine|valentine's day,960,5.5,1.85,0
Ole Bornedal,92,Madison Davenport,941,49122319,Horror|Thriller,Kyra Sedgwick,The Possession ,2348,0,basketball coach|box|jewish|rabbi|yard sale,459,5.9,2.35,17000
Ted Kotcheff,93,Brian Dennehy,13000,,Action|Adventure|Drama,Sylvester Stallone,First Blood ,15192,1,1980s|colonel|deputy|rambo|sheriff,954,7.7,2.35,0
Sylvain White,109,Laz Alonso,997,61356221,Drama|Music|Romance,Chris Brown,Stomp the Yard ,3544,0,atlanta georgia|competition|dancer|death|fraternity,826,5.2,2.35,0
Lewis Gilbert,123,Desmond Llewelyn,456,46800000,Action|Adventure|Sci-Fi|Thriller,Caroline Munro,The Spy Who Loved Me ,1326,2,1970s|cult film|official james bond series|submarine|world war three,244,7.1,2.35,0
,60,Steve Gonsalves,155,,Documentary,Amy Bruni,Ghost Hunters             ,552,0,ghost|paranormal|paranormal research|shaky cam,130,6.6,,373
Jamie Blanks,99,Loretta Devine,975,38048637,Horror|Mystery|Thriller,Alicia Witt,Urban Legend ,3500,4,campus|death|friend|professor|urban legend,912,5.5,2.35,0
Stephen Frears,119,Peter Capaldi,18000,34700000,Drama|Romance,Keanu Reeves,Dangerous Liaisons ,35501,2,catholic|corruption|emotional abuse|france|seduction,17000,7.7,1.85,0
Tyler Perry,110,Phylicia Rashad,849,35010192,Comedy|Drama|Romance,Eddie Cibrian,Good Deeds ,2226,1,businessman|fight|mean brother|narrated by character|wordplay in title,597,5.4,2.35,0
Randal Kleiser,107,Klaus Maria Brandauer,327,34793160,Adventure|Drama,Seymour Cassel,White Fang ,552,1,alaska|dog|friendship|gold|yukon,172,6.7,1.85,0
Bruce McCulloch,81,Elaine Hendrix,8000,30628981,Comedy|Romance,Will Ferrell,Superstar ,10792,1,dancing|orphan|school|special education|student,670,5.0,1.85,2000
Phyllida Lloyd,105,Jim Broadbent,11000,29959436,Biography|Drama|History,Meryl Streep,The Iron Lady ,12894,1,british prime minister|female prime minister|politics|prime minister|told in flashback,1000,6.4,2.35,18000
Mike Nawrocki,82,Mike Nawrocki,23,25571351,Adventure|Animation|Comedy|Drama|Family|Musical,Phil Vischer,Jonah: A VeggieTales Movie ,49,0,anthropomorphism|pirate|pirate ship|tomato|whale,12,6.6,1.85,184
John Singleton,109,Khandi Alexander,592,27515786,Drama|Romance,Janet Jackson,Poetic Justice ,1620,0,african american|mail carrier|poetry|postal worker|south central los angeles,556,5.9,1.85,0
Kevin Bray,95,Roger Guenveur Smith,706,25482931,Action|Comedy|Crime|Thriller,Mike Epps,All About the Benjamins ,1421,2,black comedy|bounty hunter|diamond|machismo|money,266,5.7,2.35,530
