num_critic_for_reviews,director_facebook_likes,actor_3_facebook_likes,actor_2_name,genres,actor_1_name,movie_title,actor_3_name,facenumber_in_poster,movie_imdb_link,language,country,content_rating,budget,movie_facebook_likes
99,0,107,Frances Lee McCain,Adventure|Drama,Marshall Bell,Stand by Me ,Casey Siemaszko,2,http://www.imdb.com/title/tt0092005/?ref_=fn_tt_tt_1,English,USA,R,8000000,24000
224,0,27,Megan Burns,Drama|Horror|Sci-Fi|Thriller,Noah Huntley,28 Days Later... ,David Schneider,0,http://www.imdb.com/title/tt0289043/?ref_=fn_tt_tt_1,English,UK,R,8000000,11000
58,548,360,Marques Houston,Drama|Music,Jennifer Freeman,You Got Served ,Steve Harvey,0,http://www.imdb.com/title/tt0365957/?ref_=fn_tt_tt_1,English,USA,PG-13,8000000,0
53,152,459,Patrick McGoohan,Biography|Crime|Drama,Clint Eastwood,Escape from Alcatraz ,Fred Ward,0,http://www.imdb.com/title/tt0079116/?ref_=fn_tt_tt_1,English,USA,PG,8000000,0
37,44,458,Sanaa Lathan,Comedy|Drama|Music|Romance,Boris Kodjoe,Brown Sugar ,Wendell Pierce,1,http://www.imdb.com/title/tt0297037/?ref_=fn_tt_tt_1,English,USA,PG-13,8000000,0
11,0,388,Lynn Whitfield,Comedy|Crime|Drama|Romance|Thriller,Faizon Love,A Thin Line Between Love and Hate ,Della Reese,2,http://www.imdb.com/title/tt0117891/?ref_=fn_tt_tt_1,English,USA,R,8000000,559
327,129,3000,Anna Kendrick,Comedy|Drama|Romance,Joseph Gordon-Levitt,50/50 ,Bryce Dallas Howard,2,http://www.imdb.com/title/tt1306980/?ref_=fn_tt_tt_1,English,USA,R,8000000,40000
135,5,297,David Denman,Horror|Mystery|Thriller,James Kyson,Shutter ,Daisy Betts,1,http://www.imdb.com/title/tt0482599/?ref_=fn_tt_tt_1,English,USA,PG-13,8000000,0
127,0,602,Hal Holbrook,Comedy|Fantasy|Horror,Ted Danson,Creepshow ,Adrienne Barbeau,0,http://www.imdb.com/title/tt0083767/?ref_=fn_tt_tt_1,English,USA,R,8000000,0
164,19,117,Lola Glaudini,Comedy|Romance,Mackenzie Davis,That Awkward Moment ,Josh Pais,3,http://www.imdb.com/title/tt1800246/?ref_=fn_tt_tt_1,English,USA,R,8000000,0
14,2,213,Dabney Coleman,Comedy|Fantasy|Sci-Fi,Brian Doyle-Murray,Modern Problems ,Mary Kay Place,1,http://www.imdb.com/title/tt0082763/?ref_=fn_tt_tt_1,English,USA,PG,8000000,495
6,2,102,Natalie Stephany Aguilar,Adventure,Tina Gilton,Kicks ,Justin Hall,,http://www.imdb.com/title/tt4254584/?ref_=fn_tt_tt_1,English,USA,R,,240
41,0,591,Denzel Washington,Comedy|Drama|Romance,Keanu Reeves,Much Ado About Nothing ,Brian Blessed,0,http://www.imdb.com/title/tt0107616/?ref_=fn_tt_tt_1,English,UK,PG-13,8000000,0
143,13,244,George Lazenby,Action|Adventure|Thriller,Telly Savalas,On Her Majesty's Secret Service ,Desmond Llewelyn,2,http://www.imdb.com/title/tt0064757/?ref_=fn_tt_tt_1,English,UK,M,7000000,0
9,,460,Philip Winchester,Action|Crime|Drama|Thriller,Nick Wechsler,The Player             ,Jeff Marlow,2,http://www.imdb.com/title/tt4474310/?ref_=fn_tt_tt_1,English,USA,TV-14,,0
109,0,112,Heather Langenkamp,Fantasy|Horror|Mystery|Thriller,Miko Hughes,New Nightmare ,Tracy Middendorf,0,http://www.imdb.com/title/tt0111686/?ref_=fn_tt_tt_1,English,USA,R,8000000,0
59,13,292,Mark Webber,Comedy|Drama|Romance,Stephen Collins,Drive Me Crazy ,Keri Lynn Pratt,2,http://www.imdb.com/title/tt0164114/?ref_=fn_tt_tt_1,English,USA,PG-13,8000000,0
95,3,268,Sean Michael Afable,Drama,Curtis Armstrong,Akeelah and the Bee ,Tzi Ma,0,http://www.imdb.com/title/tt0437800/?ref_=fn_tt_tt_1,English,USA,PG,,0
40,33,475,Harland Williams,Comedy|Crime,Dave Chappelle,Half Baked ,Clarence Williams III,0,http://www.imdb.com/title/tt0120693/?ref_=fn_tt_tt_1,English,USA,R,8000000,0
121,3,631,Frances Conroy,Comedy|Romance,J.K. Simmons,New in Town ,Harry Connick Jr.,1,http://www.imdb.com/title/tt1095174/?ref_=fn_tt_tt_1,English,USA,PG,8000000,0
358,79,414,Amr Waked,Drama|Thriller,Matt Damon,Syriana ,Kayvan Novak,0,http://www.imdb.com/title/tt0365737/?ref_=fn_tt_tt_1,English,USA,R,50000000,0
288,126,517,Justin Theroux,Crime|Drama,Christian Bale,American Psycho ,Samantha Mathis,1,http://www.imdb.com/title/tt0144084/?ref_=fn_tt_tt_1,English,USA,R,7000000,18000
107,44,596,Zooey Deschanel,Drama|Romance,Jake Gyllenhaal,The Good Girl ,Tim Blake Nelson,3,http://www.imdb.com/title/tt0279113/?ref_=fn_tt_tt_1,English,USA,R,5000000,938
28,31,50,Richard Howland,Action|Comedy|Crime|Thriller,Colm Feore,Bon Cop Bad Cop ,Sarain Boylan,2,http://www.imdb.com/title/tt0479647/?ref_=fn_tt_tt_1,English,Canada,R,8000000,758
91,78,968,Julie Benz,Action|Crime|Thriller,Norman Reedus,The Boondock Saints II: All Saints Day ,Clifton Collins Jr.,0,http://www.imdb.com/title/tt1300851/?ref_=fn_tt_tt_1,English,USA,R,8000000,0
55,133,86,Omar Metwally,Drama|Romance,Alexandra Maria Lara,The City of Your Final Destination ,Diego Velazquez,1,http://www.imdb.com/title/tt0896923/?ref_=fn_tt_tt_1,English,USA,PG-13,8300000,638
