director_name,duration,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,movie_title,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,language,content_rating,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Emilio Estevez,112,383,Nick Cannon,12000,11204499,Bobby ,38142,13528,0,English,R,2006,593,7.0,2.35,0
Mark Waters,86,169,Ivana Milicevic,878,10397365,Head Over Heels ,11693,2165,5,English,PG-13,2001,834,5.4,2.35,613
Josh Schwartz,86,635,Jackson Nicoll,962,9402410,Fun Size ,11233,3715,1,English,PG-13,2012,925,5.4,2.35,0
Julian Schnabel,112,177,Mathieu Amalric,413,5990075,The Diving Bell and the Butterfly ,89906,1372,1,French,PG-13,2007,412,8.0,1.85,13000
Todd Field,137,280,Noah Emmerich,14000,5459824,Little Children ,92781,15337,0,English,R,2006,617,7.6,2.35,5000
Davis Guggenheim,90,191,Sharon Lawrence,12000,5108820,Gossip ,12519,12776,5,English,R,2000,215,5.9,2.35,853
Tony Goldwyn,107,113,Julie Kavner,10000,4741987,A Walk on the Moon ,6782,10368,1,English,R,1999,233,6.6,1.85,860
Phillip Noyce,98,15,Terry Pheto,543,4291965,Catch a Fire ,9334,678,3,English,PG-13,2006,113,6.7,2.35,447
Stephen Carpenter,84,102,Angela Featherstone,159,3100650,Soul Survivors ,7277,417,4,English,PG-13,2001,102,3.9,1.85,231
James Ivory,139,5,Todd Boyce,423,2474000,Jefferson in Paris ,2427,446,1,English,PG-13,1995,15,5.7,1.85,127
Stephan Elliott,97,548,Kristin Scott Thomas,14000,2656324,Easy Virtue ,16444,16431,4,English,PG-13,2008,1000,6.7,2.35,2000
James Fargo,127,324,Joseph Cotten,16000,1000000,Caravans ,524,17250,0,English,PG,1978,469,6.5,2.35,76
Mike Leigh,150,43,Ruth Sheen,149,3958500,Mr. Turner ,17933,390,0,English,R,2014,44,6.8,2.35,0
Alain Resnais,104,59,Sara Forestier,412,403649,Wild Grass ,3174,799,0,French,PG,2009,74,6.3,2.35,512
Costa-Gavras,132,284,Mathieu Kassovitz,380,274299,Amen. ,11077,1429,2,English,Unrated,2002,326,7.3,1.85,0
Chao-Bin Su,117,21,Shawn Yue,149,,Reign of Assassins ,6069,243,2,Mandarin,R,2010,32,6.9,2.35,1000
Neil Burger,115,322,Katherine LaNasa,697,183088,The Lucky Ones ,11704,2243,0,English,R,2008,329,7.0,1.85,702
Kenneth Lonergan,186,338,Kieran Culkin,13000,46495,Margaret ,12053,14638,1,English,R,2011,1000,6.5,1.85,0
Bo Zenga,90,378,Kenan Thompson,826,,Stan Helsing ,9928,2207,7,English,R,2009,521,3.6,1.85,934
Rob Reiner,90,767,Rebecca De Mornay,1000,1752214,Flipped ,60460,4377,0,English,PG,2010,872,7.7,1.85,14000
Ang Lee,134,11000,Heath Ledger,15000,83025853,Brokeback Mountain ,259837,39789,0,English,R,2005,13000,7.7,1.85,13000
Jonathan Liebesman,101,429,Danny Woodburn,833,190871240,Teenage Mutant Ninja Turtles ,167089,2690,0,English,PG-13,2014,809,5.9,2.35,62000
Amy Heckerling,97,201,Dan Hedaya,927,56631572,Clueless ,123390,1724,1,English,PG-13,1995,281,6.8,1.85,0
Todd Haynes,107,135,Celia Weston,2000,15854988,Far from Heaven ,36542,2447,2,English,PG-13,2002,258,7.4,1.85,0
Steve Pink,99,390,Gillian Jacobs,3000,12282677,Hot Tub Time Machine 2 ,28159,4702,4,English,R,2015,837,5.1,1.85,0
,55,2,Olaf Lubaszenko,20,447093,Dekalog             ,12590,25,0,Polish,TV-MA,,3,9.1,1.33,0
Philip Kaufman,124,170,Stephen Marcus,14000,7060876,Quills ,44795,14726,1,English,R,2000,230,7.4,1.85,0
