director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,movie_title,cast_total_facebook_likes,language,country,content_rating,budget,actor_2_facebook_likes,movie_facebook_likes
George Lucas,100,112,0,425,Ron Howard,11000,American Graffiti ,14954,English,USA,PG,777000,2000,0
Robert Greenwald,21,75,21,0,Katy Helvenston-Wettengal,25,Iraq for Sale: The War Profiteers ,25,English,USA,,750000,0,274
Matt Maiellaro,82,86,8,357,Fred Armisen,2000,Aqua Teen Hunger Force Colon Movie Film for Theaters ,3071,English,USA,R,750000,424,307
Colin Trevorrow,271,86,365,522,Mark Duplass,934,Safety Not Guaranteed ,2714,English,USA,R,750000,830,31000
Leslie Small,5,89,15,95,Larry King,312,Kevin Hart: Laugh at My Pain ,548,English,USA,R,,135,614
Ben Wheatley,255,95,214,246,Ben Crompton,513,Kill List ,1269,English,UK,Not Rated,500000,257,0
Ti West,292,101,243,74,Jake Ryan,969,The Innkeepers ,1252,English,USA,R,750000,128,0
David S. Goyer,178,89,687,389,Atticus Shaffer,10000,The Unborn ,12183,English,USA,PG-13,16000000,787,0
Bernardo Bertolucci,120,106,973,48,Stefania Sandrelli,319,The Conformist ,500,Italian,Italy,R,750000,90,0
Neil Burger,31,88,168,21,Christel Khalil,108,Interview with the Assassin ,243,English,USA,R,750000,72,163
Oliver Blackburn,114,99,4,201,Nichola Burley,1000,Donkey Punch ,1558,English,UK,R,900000,233,0
Jonathan Levine,233,90,129,280,Michael Welch,935,All the Boys Love Mandy Lane ,2170,English,USA,R,750000,611,2000
Christopher Hutson,8,95,3,118,Jennifer Lee Wiggins,717,Bled ,1117,English,USA,R,750000,134,128
Fred Zinnemann,153,85,160,433,Lloyd Bridges,998,High Noon ,2496,English,USA,PG,750000,575,3000
Steve James,53,170,23,2,Arthur Agee,7,Hoop Dreams ,15,English,USA,PG-13,700000,6,0
David LaChapelle,49,86,30,14,Christopher Toler,262,Rize ,321,English,USA,PG-13,,23,903
Joseph Kosinski,4,,364,567,Lauren Cohan,22000,Destiny ,26578,English,USA,,,4000,1000
Michael Cuesta,64,97,52,36,Bruce Altman,80,L.I.E. ,209,English,USA,NC-17,700000,67,420
Caryn Waechter,23,104,0,195,Kara Hayward,601,The Sisterhood of Night ,1581,English,USA,PG-13,1000000,524,523
Emily Dell,8,88,0,311,Wesley Jonathan,618,B-Girl ,2476,English,USA,PG-13,,592,303
Peter Jackson,446,201,0,84,Thomas Kretschmann,6000,King Kong ,7122,English,New Zealand,PG-13,207000000,918,0
Jaume Collet-Serra,228,108,174,324,Paris Hilton,730,House of Wax ,2160,English,Australia,R,30000000,716,0
Ryan Fleck,208,106,31,71,Tristan Mack Wilds,33000,Half Nelson ,33734,English,USA,R,700000,519,0
Jennifer Wynne Farmer,2,107,0,236,Akima,752,Naturally Native ,1763,English,USA,PG-13,700000,282,102
Christopher Scott Cherot,25,84,21,48,Robinne Lee,465,Hav Plenty ,714,English,USA,R,650000,170,161
H.M. Coakley,8,91,0,137,Steffinnie Phrommany,696,Adulterers ,1210,English,USA,,750000,320,158
Randy Moore,143,90,13,432,Lee Armstrong,977,Escape from Tomorrow ,2483,English,USA,Not Rated,,511,0
Chris Atkins,21,103,2,442,Harvey Weinstein,628,Starsuckers ,1683,English,UK,,400000,474,203
Bill Benenson,1,71,0,21,Dave Fennoy,1000,The Hadza: Last of the First ,1359,English,USA,,650000,338,5
Ryan Smith,34,90,4,258,Madison Lintz,523,After ,1553,English,USA,PG-13,650000,385,1000
Travis Romero,5,67,4,2000,Lorraine Ziff,260000,Treachery ,283939,English,USA,,625000,21000,0
Anna Mastro,10,94,7,912,Justin Kirk,956,Walter ,4767,English,USA,,700000,945,0
Mark Sandrich,66,81,10,23,Edward Everett Horton,610,Top Hat ,824,English,USA,Approved,609000,172,1000
Daniel Myrick,360,81,19,39,Joshua Leonard,170,The Blair Witch Project ,399,English,USA,R,60000,170,0
Michael Wadleigh,53,215,14,136,Jimi Hendrix,262,Woodstock ,778,English,USA,R,600000,227,0
John Landis,82,83,644,11,Barry Dennen,119,The Kentucky Fried Movie ,190,English,USA,R,650000,29,0
Jon Gunn,15,106,16,254,David A.R. White,602,Mercy Streets ,1281,English,USA,PG-13,600000,266,12
Gene Teigland,,103,0,20,Matthew Feeney,23,Arnolds Park ,85,English,USA,PG-13,600000,20,11
Scott Ziehl,18,90,4,218,Jason London,919,Broken Vessels ,2288,English,USA,R,600000,711,51
Richard Montoya,,88,12,359,Angela Nordeng,601,Water & Power ,2241,English,USA,Not Rated,,371,358
Johanna Schwartz,22,105,0,0,Garba Touré,0,They Will Have to Kill Us First ,0,French,UK,,400000,0,34
William Gazecki,15,115,3,0,Colin Andrews,0,Crop Circles: Quest for Truth ,0,English,USA,,750000,0,32
Lance McDaniel,,90,0,271,Steven Michael Quezada,595,Light from the Darkroom ,1754,English,USA,PG-13,600000,412,9
Thomas Lilti,18,102,12,2,Félix Moati,541,Irreplaceable ,553,French,France,,,8,36
Michael Walker,8,98,5,233,Annabella Sciorra,587,The Maid's Room ,1707,English,USA,,600000,448,128
Richard Lester,105,87,44,704,Ringo Starr,785,A Hard Day's Night ,2538,English,UK,Approved,560000,725,0
U. Roberto Romano,3,80,6,,,,The Harvest/La Cosecha ,0,English,USA,,560000,,88
Amy Holden Jones,4,88,11,221,Sally Kirkland,2000,Love Letters ,2996,English,USA,R,550000,433,7
Blaz Zavrsnik,2,83,0,0,Spela Colja,0,Julija in alfa Romeo ,0,Slovenian,Slovenia,,500000,0,18
Alex Kendrick,50,122,589,150,Ken Bevel,848,Fireproof ,1164,English,USA,PG,500000,153,0
Pan Nalin,19,115,95,0,Pant Shirt Baba,0,Faith Connections ,0,Hindi,India,,550000,0,126
Joe Camp,5,86,24,142,Peter Breck,407,Benji ,1090,English,USA,G,500000,189,816
Chris Kentis,235,79,9,7,Saul Stein,48,Open Water ,67,English,USA,R,500000,10,0
Matt Walsh,8,87,490,201,Matt Jones,833,High Road ,2295,English,USA,R,,523,244
John 'Bud' Cardos,95,97,8,22,Hoke Howell,423,Kingdom of the Spiders ,516,English,USA,PG,500000,23,0
Marilyn Agrelo,84,105,2,0,Eva Carrozza,0,Mad Hot Ballroom ,0,English,USA,PG,,0,588
Tom McCarthy,154,89,310,587,Joe Lo Truglio,22000,The Station Agent ,24419,English,USA,R,500000,833,0
Brian Baugh,20,120,3,234,Sean Michael Afable,984,To Save a Life ,2563,English,USA,PG-13,1000000,801,0
Patrick Creadon,88,94,3,2,Bill Clinton,196,Wordplay ,382,English,USA,PG,,184,694
Barry W. Blaustein,70,108,6,43,Vince McMahon,54,Beyond the Mat ,194,English,USA,R,500000,44,491
Kurt Hale,5,102,0,15,Lincoln Hoppe,69,The Singles Ward ,161,English,USA,PG,500000,24,43
Siddiq Barmak,105,83,6,0,Zubaida Sahar,30,Osama ,30,Dari,Afghanistan,PG-13,46000,0,0
Joseph Dorman,29,93,0,59,Peter Riegert,399,Sholem Aleichem: Laughing in the Darkness ,660,English,USA,Unrated,500000,169,287
Greg Harrison,46,86,7,17,Ari Gold,328,Groove ,407,English,USA,R,500000,27,0
Kurt Hale,3,101,0,17,Big Budah,69,The R.M. ,155,English,USA,PG,500000,34,44
Michael Polish,54,111,35,482,William Katt,980,Twin Falls Idaho ,3166,English,USA,R,500000,505,180
Jacob Aaron Estes,126,90,9,595,Scott Mechlowicz,710,Mean Creek ,2655,English,USA,R,500000,634,1000
Morgan J. Freeman,17,86,204,474,Heather Matarazzo,659,Hurricane Streets ,2322,English,USA,R,500000,529,51
Eric Schaeffer,25,98,71,658,Bill Duke,22000,Never Again ,24382,English,USA,R,500000,1000,139
Neema Barnette,11,91,21,469,LisaRaye McCoy,597,Civil Brand ,2555,English,USA,R,500000,485,86
Steve Buscemi,81,91,12000,213,Seymour Cassel,778,Lonesome Jim ,1440,English,USA,R,500000,327,238
Joe Swanberg,155,90,217,243,Anna Kendrick,10000,Drinking Buddies ,20480,English,USA,R,,10000,0
Molly Bernstein,39,88,0,49,Ricky Jay,342,Deceptive Practice: The Mysteries and Mentors of Ricky Jay ,483,English,USA,,500000,79,590
Akira Kurosawa,153,202,0,4,Minoru Chiaki,304,Seven Samurai ,338,Japanese,Japan,Unrated,2000000,8,11000
Marius A. Markevicius,26,89,6,8,Greg Speirs,14,The Other Dream Team ,44,English,USA,Not Rated,500000,9,0
Tom DiCillo,10,97,32,329,Tina Louise,11000,Johnny Suede ,11839,English,Switzerland,R,500000,422,344
Justin Lin,35,84,681,143,Jake Sandvig,239,Finishing the Game: The Search for a New Bruce Lee ,734,English,USA,Not Rated,500000,172,155
Quentin Dupieux,230,82,248,196,Jack Plotnick,353,Rubber ,1498,English,France,R,500000,248,46000
Tim Johnson,165,94,12,183,Matt Jones,17000,Home ,17883,English,USA,PG,135000000,523,26000
C. Jay Cox,9,100,6,325,Amber Benson,396,Kiss the Bride ,2310,English,USA,R,500000,326,60
Alex Smith,17,112,12,699,Clea DuVall,33000,The Slaughter Rule ,35294,English,USA,R,500000,1000,183
Gareth Edwards,344,94,380,113,Whitney Able,660,Monsters ,1118,English,UK,R,500000,280,19000
Jonathan Parker,2,87,0,347,Joanne Whalley,584,The Californians ,1924,English,USA,PG,,507,29
Sol Tryon,28,91,0,170,Ann Dowd,472,The Living Wake ,1047,English,USA,PG-13,500000,185,339
Alex Craig Mann,29,87,38,445,Christa B. Allen,552,Detention of the Dead ,2251,English,USA,Not Rated,500000,533,898
Hao Ning,11,98,0,0,Zheng Xu,4,Crazy Stone ,8,Mandarin,China,,3000000,4,23
Stephen Kijak,48,95,3,25,Jacques Brel,30,Scott Walker: 30 Century Man ,119,English,UK,,500000,27,808
Marc Forster,24,87,395,637,Alan Ruck,991,Everything Put Together ,3309,English,USA,R,100000,946,22
Andrew Niccol,166,102,487,118,Zoë Kravitz,991,Good Kill ,2099,English,USA,R,,943,0
Daston Kalili,,127,2,0,Rai Alexandra,2,Insomnia Manica ,2,English,USA,,500000,0,0
William Gazecki,9,96,3,205,Bruce Vilanch,387,The Outrageous Sophie Tucker ,1235,English,USA,,500000,244,16
Ol Parker,48,103,21,680,Olivia Williams,25000,Now Is Good ,26999,English,UK,PG-13,,766,0
Michael Hoffman Jr.,64,104,32,238,John McGlothlin,685,Girls Gone Dead ,2102,English,USA,R,500000,492,0
Patrick Gilles,,90,0,569,Dylan Baker,970,America Is Still the Place ,3359,English,USA,,,812,337
Georgia Hilton,1,122,406,152,Tim Abell,358,Subconscious ,1038,English,USA,R,,317,353
Tamra Davis,111,93,33,135,Katherine Boecher,1000,Crossroads ,1531,English,USA,PG-13,12000000,188,0
Jack Heller,26,90,0,120,Katherine Waterston,322,Enter Nowhere ,630,English,USA,R,500000,178,701
Fernando Baez Mella,1,101,0,15,Christian Alvarez,159,The King of Najayo ,206,Spanish,Dominican Republic,R,500000,15,126
Warren Sheppard,3,94,0,212,Randy Jay Burrell,918,Fight to the Finish ,2091,English,USA,PG-13,150000,402,381
Darren Lynn Bousman,10,97,163,303,Barry Bostwick,636,Alleluia! The Devil's Carnival ,2438,English,USA,,500000,456,707
Justin Paul Miller,1,90,0,33,Jennifer Landa,84,The Sound and the Shadow ,254,English,USA,R,,41,70
Joel Paul Reisig,1,108,431,317,Joel Paul Reisig,466,Rodeo Girl ,1628,English,USA,PG,500000,431,0
Catherine Gund,10,82,0,0,Sarah Callan,0,Born to Fly: Elizabeth Streb vs. Gravity ,0,English,USA,,500000,0,44
Luke Dye,1,84,0,53,Jeff Delaney,385,The Little Ponderosa Zoo ,683,English,USA,,500000,169,9
Sam Raimi,525,130,0,11000,Mila Kunis,44000,Oz the Great and Powerful ,73441,English,USA,PG,215000000,15000,60000
Michael Herz,96,91,6,10,Mark Torgl,488,The Toxic Avenger ,553,English,USA,Unrated,475000,11,0
Matty Rich,8,91,10,10,George T. Odom,353,Straight Out of Brooklyn ,380,English,USA,R,450000,12,123
Paul Greengrass,92,107,521,80,Nicholas Farrell,773,Bloody Sunday ,976,English,UK,R,2000000,89,0
Alec Asten,1,82,5,237,Dennis L.A. White,472,Diamond Ruff ,1752,English,USA,R,500000,251,62
Hans Canosa,365,84,3,446,Thomas Lennon,10000,Conversations with Other Women ,12496,English,UK,R,450000,651,0
Lloyd Kaufman,88,103,365,49,Lloyd Kaufman,907,Poultrygeist: Night of the Chicken Dead ,1411,English,USA,Unrated,500000,365,0
Matthew Watts,3,86,0,304,Cheyenne Jackson,873,Mutual Friends ,2830,English,USA,,450000,469,31
Lloyd Bacon,65,89,24,45,Dick Powell,610,42nd Street ,995,English,USA,Unrated,439000,105,439
