director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,content_rating,actor_2_facebook_likes,movie_facebook_likes
541,673,Jami Gertz,967,32222567,Comedy|Fantasy|Horror,The Lost Boys ,92924,4458,Jason Patric,R,847,19000
108,175,Beth Grant,12000,39462438,Drama|Music|Romance,Crazy Heart ,67760,13172,Debrianna Mansini,R,628,0
43,122,Frederic Forrest,563,29200000,Drama|Music|Romance,The Rose ,6142,1097,Alan Bates,R,236,1000
68,1000,Christina Milian,3000,21564616,Comedy,Baggage Claim ,7098,8097,Boris Kodjoe,PG-13,1000,0
35,170,David Hemmings,949,,Adventure|Comedy|Fantasy|Sci-Fi,Barbarella ,24436,1510,Milo O'Shea,PG,178,0
8,3,Louisa Milwood-Haigh,35,,Adventure|Family,Shipwrecked ,1984,47,Stian Smestad,PG,6,278
729,133,Chris Klein,2000,14879556,Comedy|Drama,Election ,73640,3516,Molly Hagan,R,841,0
300,341,Brooke Smith,579,13569248,Drama,The Namesake ,16530,1637,Tabu,PG-13,405,0
17,429,Romany Malco,35000,34017854,Comedy,The DUFF ,51326,36892,Skyler Samuels,PG-13,966,8000
170,202,Max Beesley,736,4273372,Drama|Music|Romance,Glitter ,19412,1854,Valarie Pettiford,PG-13,218,0
14,559,Cicely Tyson,1000,,Drama|Horror|Mystery|Thriller,The Haunting in Connecticut 2: Ghosts of Georgia ,13167,3164,Brad James,R,907,0
0,13,Sung-kee Ahn,28,,Action|Drama,Silmido ,3290,97,Kyung-gu Sol,,15,387
319,179,Paul Schneider,2000,4440055,Biography|Drama|Romance,Bright Star ,21360,3279,Samuel Roukin,PG,552,0
160,81,Jimmy Shergill,8000,4018695,Adventure|Drama|Thriller,My Name Is Khan ,69759,8532,Christopher B. Duncan,PG-13,327,27000
71,304,Chris Penn,967,80000000,Drama|Music|Romance,Footloose ,51459,1962,Lori Singer,PG,455,0
78,,,0,6262942,Action|Adventure|Drama,All Is Lost ,59545,0,,PG-13,,18000
407,39,Casey Siemaszko,638,1997807,Adventure|Drama|Thriller,Limbo ,5158,823,Vanessa Martinez,R,107,196
11,119,Clive Standen,3000,1207007,Comedy|Drama|Romance,Namastey London ,13577,4004,Riteish Deshmukh,,687,341
644,6,Orla Fitzgerald,97,1829142,Drama|War,The Wind That Shakes the Barley ,36846,128,Martin Lucey,Not Rated,8,0
0,417,Madhuri Dixit,964,3827466,Comedy|Drama|Musical|Romance,Yeh Jawaani Hai Deewani ,25122,2350,Aditya Roy Kapoor,Not Rated,551,0
80,225,William Zabka,668,90800000,Action|Drama|Family|Sport,The Karate Kid ,126916,2004,William Bassett,PG,641,0
54,346,Deborah Kerr,440,,Biography|Drama|History|Romance,Quo Vadis ,9808,1373,Robert Taylor,Passed,426,1000
163,636,Paris Hilton,2000,140244,Horror|Musical|Sci-Fi,Repo! The Genetic Opera ,20419,4168,Paul Sorvino,R,716,8000
11,173,Bergüzar Korel,205,,Action|Adventure,Valley of the Wolves: Iraq ,14486,808,Ghassan Massoud,,197,467
16000,857,Eric Stoltz,13000,107930000,Crime|Drama,Pulp Fiction ,1324680,16557,Phil LaMarr,R,902,45000
21,842,Jim Henson,1000,76657000,Adventure|Comedy|Family|Musical,The Muppet Movie ,25498,5673,Dom DeLuise,G,985,0
66,85,Michael Papajohn,15000,32279955,Crime|Drama|Thriller,Nightcrawler ,293304,15554,James Huang,R,241,65000
422,422,Lindsay Price,861,4992159,Comedy|Horror|Thriller,Club Dread ,23823,3306,Jay Chandrasekhar,R,499,713
338,195,Angela Cartwright,354,163214286,Biography|Drama|Family|Musical|Romance,The Sound of Music ,148172,1495,Nicholas Hammond,G,209,15000
2000,51,Howard Morris,15000,69800000,Comedy|Fantasy|Romance,Splash ,54723,15361,Patrick Cronin,PG,161,0
36,27,Steven Christopher Parker,7000,59889948,Comedy|Drama,Little Miss Sunshine ,355810,7227,Jill Talley,R,150,15000
0,107,Frances Lee McCain,217,52287414,Adventure|Drama,Stand by Me ,271794,644,Casey Siemaszko,R,107,24000
0,27,Megan Burns,133,45063889,Drama|Horror|Sci-Fi|Thriller,28 Days Later... ,297250,241,David Schneider,R,32,11000
548,360,Marques Houston,389,40066497,Drama|Music,You Got Served ,23671,1792,Steve Harvey,PG-13,363,0
152,459,Patrick McGoohan,16000,36500000,Biography|Crime|Drama,Escape from Alcatraz ,87090,17568,Fred Ward,PG,466,0
44,458,Sanaa Lathan,1000,27362712,Comedy|Drama|Music|Romance,Brown Sugar ,5971,3199,Wendell Pierce,PG-13,886,0
0,388,Lynn Whitfield,585,34746109,Comedy|Crime|Drama|Romance|Thriller,A Thin Line Between Love and Hate ,3122,3023,Della Reese,R,434,559
129,3000,Anna Kendrick,23000,34963967,Comedy|Drama|Romance,50/50 ,270441,39807,Bryce Dallas Howard,R,10000,40000
5,297,David Denman,449,25926543,Horror|Mystery|Thriller,Shutter ,26609,1534,Daisy Betts,PG-13,332,0
0,602,Hal Holbrook,875,,Comedy|Fantasy|Horror,Creepshow ,29935,2662,Adrienne Barbeau,R,826,0
19,117,Lola Glaudini,363,26049082,Comedy|Romance,That Awkward Moment ,76791,1024,Josh Pais,R,342,0
2,213,Dabney Coleman,484,,Comedy|Fantasy|Sci-Fi,Modern Problems ,3904,1455,Mary Kay Place,PG,345,495
2,102,Natalie Stephany Aguilar,861,,Adventure,Kicks ,59,1279,Justin Hall,R,163,240
0,591,Denzel Washington,18000,22551000,Comedy|Drama|Romance,Much Ado About Nothing ,37269,37645,Brian Blessed,PG-13,18000,0
13,244,George Lazenby,803,22800000,Action|Adventure|Thriller,On Her Majesty's Secret Service ,59941,1769,Desmond Llewelyn,M,314,0
,460,Philip Winchester,666,,Action|Crime|Drama|Thriller,The Player             ,5817,4043,Jeff Marlow,TV-14,579,0
0,112,Heather Langenkamp,969,18090181,Fantasy|Horror|Mystery|Thriller,New Nightmare ,38191,1775,Tracy Middendorf,R,449,0
13,292,Mark Webber,452,17843379,Comedy|Drama|Romance,Drive Me Crazy ,14904,1760,Keri Lynn Pratt,PG-13,442,0
3,268,Sean Michael Afable,876,18811135,Drama,Akeelah and the Bee ,15337,2832,Tzi Ma,PG,801,0
33,475,Harland Williams,744,17278980,Comedy|Crime,Half Baked ,48225,2400,Clarence Williams III,R,503,0
3,631,Frances Conroy,24000,16699684,Comedy|Romance,New in Town ,17461,25792,Harry Connick Jr.,PG,827,0
79,414,Amr Waked,13000,50815288,Drama|Thriller,Syriana ,109191,14747,Kayvan Novak,R,903,0
126,517,Justin Theroux,23000,15047419,Crime|Drama,American Psycho ,357275,25462,Samantha Mathis,R,1000,18000
44,596,Zooey Deschanel,15000,14015786,Drama|Romance,The Good Girl ,37952,27646,Tim Blake Nelson,R,11000,938
31,50,Richard Howland,539,,Action|Comedy|Crime|Thriller,Bon Cop Bad Cop ,8616,895,Sarain Boylan,R,290,758
78,968,Julie Benz,12000,10269307,Action|Crime|Thriller,The Boondock Saints II: All Saints Day ,53251,17524,Clifton Collins Jr.,R,3000,0
133,86,Omar Metwally,471,,Drama|Romance,The City of Your Final Destination ,2311,858,Diego Velazquez,PG-13,277,638
132,216,Ben Falcone,434,17536788,Comedy|Drama|Romance,Enough Said ,49240,1183,Michaela Watkins,PG-13,265,12000
87,424,Dan Byrd,15000,58401464,Comedy|Romance,Easy A ,276746,16982,Fred Armisen,PG-13,1000,19000
10,582,Joe Morton,851,8880705,Comedy|Drama|Romance,The Inkwell ,1103,3293,Larenz Tate,R,780,160
54,306,Udo Kier,776,8279017,Drama|Horror,Shadow of the Vampire ,34191,1761,Catherine McCormack,R,595,0
18,741,Thomas McDonell,1000,10106233,Comedy|Drama,Prom ,12702,5190,Aimee Teegarden,PG,962,0
198,636,Michael Rapaport,1000,,Comedy|Romance,The Pallbearer ,6124,3502,Carol Kane,PG-13,975,125
15,660,Nia Long,883,4692814,Comedy,Held Up ,2870,3291,Jake Busey,PG-13,826,77
26,417,John de Lancie,1000,5018450,Comedy|Fantasy|Romance,Woman on Top ,8546,2687,Mark Feuerstein,R,905,859
133,136,Vanessa Redgrave,12000,25967000,Drama|Romance,Howards End ,21254,13180,Samuel West,PG,898,788
,648,Joseph Gilgun,3000,,Adventure|Drama|Fantasy|Mystery,Preacher             ,22848,6034,Ruth Negga,TV-MA,788,18000
26,0,Tom Noonan,1000,3442820,Animation|Comedy|Drama|Romance,Anomalisa ,31489,1442,David Thewlis,R,442,0
608,386,Imelda Staunton,1000,3205244,Comedy|Drama,Another Year ,23629,2265,Phil Davis,PG-13,579,0
341,569,Isabelle Huppert,963,3076425,Comedy|Crime|Musical|Romance,8 Women ,23660,3543,Emmanuelle Béart,R,678,0
73,112,Tia Carrere,1000,2275557,Action|Comedy|Crime|Thriller,Showdown in Little Tokyo ,12561,2404,Vernee Watson,R,1000,0
71,168,Vince Vieluf,1000,1789892,Comedy|Crime,Clay Pigeons ,9494,1795,Kevin Rahm,R,261,515
16,472,Jeremy Davies,943,6350058,Comedy|Drama|Romance,It's Kind of a Funny Story ,106098,2786,Jim Gaffigan,PG-13,769,20000
13,594,Robbie Kay,5000,1094798,Biography|Comedy|Drama|History,Made in Dagenham ,11158,7692,Sally Hawkins,R,629,0
14,291,Jim Broadbent,14000,1071240,Biography|Drama,When Did You Last See Your Father? ,3571,15848,Gina McKee,PG-13,1000,429
23,200,Laurel Holloman,1000,532190,Biography|Drama|Romance|Sport,Prefontaine ,5673,1610,Amy Locane,PG-13,273,0
136,249,Marina Sirtis,977,,Adventure|Drama,The Wicked Lady ,802,2413,John Gielgud,R,649,79
45,4,Mick Lally,61,686383,Adventure|Animation|Family|Fantasy,The Secret of Kells ,22811,75,Evan McGuire,Not Rated,5,11000
