director_name,actor_3_facebook_likes,genres,actor_1_name,cast_total_facebook_likes,num_user_for_reviews,title_year
Dexter Fletcher,141,Biography|Comedy|Drama|Sport,Hugh Jackman,21195,119,2016
John Dahl,62,Mystery|Thriller,Paul Walker,23242,339,2001
Jonathan Newman,88,Adventure|Family|Fantasy,Ioan Gruffudd,2450,32,2013
Wayne Wang,407,Comedy|Drama,Natalie Portman,22040,103,1999
Andy Cadiff,120,Comedy|Romance,Annabella Sciorra,829,129,2004
Michael Dinner,249,Comedy|Crime,Seymour Cassel,1509,47,2000
Steven Soderbergh,947,Action|Thriller,Channing Tatum,31187,397,2011
Joseph Sargent,434,Adventure|Horror|Thriller,Judith Barsi,2355,383,1987
Jerry Zaks,11000,Drama,Leonardo DiCaprio,63194,71,1996
Fred Durst,424,Biography|Comedy|Drama|Family|Sport,Tasha Smith,2453,19,2008
Neil Jordan,57,Drama|Romance,Stephen Rea,672,165,1999
Simon Wincer,982,Action|Crime|Drama|Thriller|Western,Vanessa Williams,3671,81,1991
Paul Haggis,883,Crime|Drama|Mystery|Thriller,James Franco,24248,224,2007
Anne Fontaine,64,Biography|Drama,Alessandro Nivola,735,65,2009
Jon Cassar,720,Drama|Western,Demi Moore,4142,49,2015
Stephen Frears,30,Comedy|Drama|Romance,Tom Burke,365,43,2009
,543,Action|Crime|Drama|Thriller,Cole Hauser,3276,23,
Mira Nair,73,Drama,Romola Garai,1618,148,2004
Teddy Chan,107,Action|Drama|History,Bingbing Fan,1059,33,2009
Mikael Håfström,23,Fantasy|Horror,Drew Powell,214,580,2007
Mel Brooks,542,Adventure|Comedy|Sci-Fi,Joan Rivers,2936,273,1987
Russell Crowe,234,Drama|War,Cem Yilmaz,1795,185,2014
Jerry Zucker,71,Drama|Fantasy|Romance|Thriller,Demi Moore,3100,252,1990
Bobby Farrelly,743,Comedy|Romance,Sarah Silverman,4664,611,1998
John Pasquin,595,Comedy|Drama|Family|Fantasy,Judge Reinhold,2790,111,1994
John Lee Hancock,1000,Drama|Family|Sport,Dennis Quaid,6657,174,2002
Andy Fickman,835,Comedy|Family|Sport,Dwayne Johnson,15170,83,2007
Clint Eastwood,86,Drama|Romance,Clint Eastwood,27237,192,1995
Luke Greenfield,182,Comedy|Sci-Fi,Louis Lombardi,1203,132,2001
Richard Attenborough,249,Biography|Drama|History,Candice Bergen,1943,256,1982
Lasse Hallström,171,Comedy|Drama,Manish Dayal,1484,185,2014
Irwin Winkler,287,Action|Crime|Drama|Mystery|Thriller,Ken Howard,1725,166,1995
Jessie Nelson,506,Drama,Dianne Wiest,3152,431,2001
Christopher Spencer,55,Biography|Drama|History,Roma Downey,775,174,2014
Len Wiseman,105,Action|Fantasy|Thriller,Sophia Myles,1777,806,2003
Mikael Håfström,218,Drama|Thriller,Denis O'Hare,2019,375,2005
Steven Soderbergh,690,Comedy|Crime|Drama|Thriller,Matt Damon,16031,175,2009
Richard Attenborough,266,Biography|Drama|Romance,Anthony Hopkins,13619,87,1993
Mike Bigelow,137,Comedy,Carlos Ponce,1729,166,2005
Ken Scott,110,Comedy|Drama,Jack Reynor,1006,95,2013
Paul McGuigan,287,Drama|Horror|Sci-Fi|Thriller,Daniel Radcliffe,12876,91,2015
Susanna White,100,Thriller,Radivoje Bukvic,540,21,2016
Dennis Dugan,110,Comedy|Crime|Romance,Amanda Detmer,664,201,2001
David Bowers,517,Comedy|Family,Zachary Gordon,3153,35,2012
Spike Lee,854,Crime|Drama|Romance|Thriller,Mira Sorvino,5386,354,1999
Kevin Smith,898,Comedy,Will Ferrell,11632,867,2001
Michael Bay,3000,Action|Adventure|Romance|Sci-Fi|Thriller,Scarlett Johansson,34838,899,2005
Daniel Sackheim,595,Crime|Drama|Mystery|Thriller,Chris Noth,4239,200,2001
Ethan Coen,1000,Comedy|Mystery,Scarlett Johansson,38494,302,2016
Harry Elfont,83,Comedy|Music,Rosario Dawson,3769,242,2001
Gary Fleder,798,Action|Crime|Drama|Thriller,Jason Statham,39989,154,2013
Uli Edel,368,Adventure|Comedy|Family|Fantasy,Richard E. Grant,2216,38,2000
David O. Russell,678,Comedy,Naomi Watts,8094,381,2004
Fred Dekker,691,Action|Crime|Sci-Fi|Thriller,CCH Pounder,3148,180,1993
Brian Trenchard-Smith,576,Action|Adventure|Fantasy|Sci-Fi|Thriller,Michael Biehn,4221,111,2001
Blake Edwards,42,Comedy|Drama|Musical|Romance|War,Rock Hudson,788,50,1970
Hugh Wilson,795,Comedy|Family|Romance,Brendan Fraser,5568,77,1999
Camille Delamarre,150,Action|Crime|Thriller,Ed Skrein,1411,121,2015
Laurence Dunmore,567,Drama|Romance,Johnny Depp,42484,260,2004
Paul Verhoeven,104,Drama|Thriller|War,Michiel Huisman,2590,232,2006
Christian Carion,140,Drama|History|Music|Romance|War,Gary Lewis,773,147,2005
David Palmer,552,Action|Comedy|Romance,Bradley Cooper,15922,104,2012
Callie Khouri,290,Comedy|Crime|Thriller,Stephen Root,2453,54,2008
Rowan Joffe,231,Drama|Mystery|Thriller,Colin Firth,14617,105,2014
William Friedkin,35,Adventure|Drama|Thriller,Roy Scheider,1011,116,1977
John Curran,827,Drama|Thriller,Robert De Niro,37766,135,2010
Laurent Tirard,80,Comedy|History,Romain Duris,1651,27,2007
Scott Cooper,120,Crime|Drama|Thriller,Christian Bale,24134,231,2013
Tony Gilroy,521,Crime|Drama|Mystery|Thriller,Tom Wilkinson,3284,363,2007
Peter Segal,812,Adventure|Comedy,Wilford Brimley,4629,71,1996
Mark Pellington,442,Crime|Drama|Thriller,Jeff Bridges,13576,591,1999
Juan José Campanella,0,Adventure|Animation|Family|Sport,Pablo Rago,30,22,2013
Woody Allen,159,Comedy|Romance,Ornella Muti,1205,163,2012
Clint Eastwood,216,Action|Adventure|Thriller,Clint Eastwood,16805,98,1982
Trey Parker,406,Animation|Comedy|Fantasy|Musical,Minnie Driver,3003,928,1999
Frank Oz,548,Comedy,Peter Dinklage,24324,199,2007
Stuart Gillard,199,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,Paige Turco,1254,87,1993
Brian Robbins,39,Drama|Sport,Keanu Reeves,18630,131,2001
David O. Russell,14000,Comedy|Drama|Romance,Jennifer Lawrence,72115,692,2012
Richard LaGravenese,579,Biography|Crime|Drama,Hunter Parrish,3994,235,2007
Tyler Perry,637,Drama,Omari Hardwick,6035,73,2010
Louis Leterrier,447,Action|Crime|Thriller,Jason Statham,27572,460,2002
Jeff Wadlow,149,Action|Drama|Sport,Djimon Hounsou,4089,184,2008
