director_name,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,facenumber_in_poster,country,actor_2_facebook_likes,imdb_score,movie_facebook_likes
Brian Henson,53,84,Jerry Nelson,227,0,USA,94,7.7,0
Martin Campbell,258,834,Tobias Menzies,6000,1,UK,1000,8.0,0
Julie Taymor,278,898,Roger Rees,4000,0,USA,1000,7.4,0
Dan Cutforth,4,8,Ashley Ashida Dixon,28,0,USA,9,5.9,0
Josh Boone,131,733,Sam Trammell,8000,0,USA,1000,7.8,93000
John Dahl,131,599,Martin Landau,13000,2,USA,940,7.4,0
Chris Rock,0,555,Romany Malco,3000,10,USA,966,6.5,0
John Frankenheimer,287,79,Richard Dysart,452,1,USA,122,5.4,902
David Koepp,192,282,Kathryn Erbe,347,0,USA,301,7.0,0
,,898,Kelvin Taylor,1000,2,USA,939,8.6,31000
Stephen Frears,350,322,Mare Winningham,1000,2,UK,482,7.6,37000
Mike Binder,57,805,Erika Christensen,975,1,USA,931,6.9,549
Franklin J. Schaffner,76,801,Anne Meara,1000,3,UK,837,7.0,0
Elizabeth Allen Rosenbaum,20,717,Joanna 'JoJo' Levesque,836,3,USA,826,5.3,0
Jake Schreier,14,376,Cara Delevingne,733,2,USA,558,6.4,0
Cheryl Dunye,17,581,Marsha Thomason,873,5,USA,691,4.5,151
Alexander Payne,729,622,Bruce Dern,1000,0,USA,844,7.8,28000
Ernest R. Dickerson,226,580,Jada Pinkett Smith,1000,1,USA,851,6.7,0
Tim Hill,25,611,Amber Valletta,833,0,USA,626,5.3,371
Jason Reitman,655,390,Patton Oswalt,9000,1,USA,786,6.3,0
Mark Neveldine,83,501,Edi Gathegi,26000,1,USA,725,7.0,0
Lionel C. Martin,3,324,Gilbert Gottfried,1000,2,USA,560,5.3,439
Richard LaGravenese,98,604,Eddie Cibrian,1000,1,USA,849,6.6,242
Sanaa Hamri,43,696,Laz Alonso,988,1,USA,826,5.8,0
Jonathan Demme,438,471,Rosemarie DeWitt,11000,1,USA,536,6.7,0
Bob Rafelson,30,85,Michael Lerner,1000,0,USA,230,6.6,1000
Peter Webber,73,1000,Colin Firth,19000,0,UK,14000,7.0,0
Wolfgang Petersen,249,18,Martin Semmelrogge,362,0,West Germany,21,8.4,11000
John Lee Hancock,102,877,Marc Blucas,2000,0,USA,973,6.0,701
Wallace Wolodarsky,32,503,Barry Watson,529,3,USA,526,5.4,507
Richard Curtis,628,171,Tom Hollander,565,1,UK,555,7.8,105000
Yimou Zhang,611,4,Andy Lau,755,3,China,483,7.6,0
Nicholas Jarecki,27,360,Curtiss Cook,664,1,USA,591,6.6,0
Dean Israelite,16,265,Jonny Weston,452,0,USA,328,6.4,0
Darnell Martin,67,192,Veronika Dash,436,3,USA,223,7.0,0
Scott Alexander,25,654,Dave Chappelle,931,0,USA,744,5.7,262
Stuart Gordon,216,968,Kurtwood Smith,1000,0,Australia,1000,5.9,1000
Christopher Guest,378,783,Catherine O'Hara,957,0,USA,925,6.3,650
Woody Allen,11000,99,Aleksa Palladino,537,0,USA,255,6.3,652
Ryan Murphy,708,316,Joseph Cross,433,0,USA,398,6.2,0
Robert Iscove,7,251,Kelly Clarkson,525,2,USA,281,2.1,0
Spike Lee,0,599,Debi Mazar,873,3,USA,680,5.0,251
Jane Campion,319,48,Nick Damici,1000,0,Australia,65,5.3,656
James Gray,115,103,Vinessa Shaw,812,0,USA,580,7.1,0
Fred Schepisi,40,794,Ray Winstone,5000,5,UK,1000,7.0,305
Joon-ho Bong,584,74,Kang-ho Song,629,0,South Korea,398,7.0,7000
Roger Spottiswoode,55,212,Treat Williams,3000,0,USA,642,5.7,135
Antonia Bird,61,611,Jeffrey Jones,769,0,Czech Republic,692,7.1,0
Jon Poll,20,442,Megan Park,21000,5,USA,569,7.0,0
Paolo Sorrentino,667,70,Sabrina Ferilli,211,2,Italy,98,7.7,29000
Peter Care,0,77,Michael Harding,1000,4,USA,165,7.1,677
Chan-wook Park,0,520,Alden Ehrenreich,3000,4,UK,1000,6.8,27000
Kar-Wai Wong,0,576,Tony Chiu Wai Leung,878,0,Hong Kong,643,7.5,0
Ira Sachs,60,18,Erin Boyes,60,4,USA,46,6.3,314
Carroll Ballard,19,393,Hope Davis,706,0,USA,442,7.3,0
Neil Jordan,277,289,Stephen Rea,845,2,Ireland,327,6.8,0
Takeshi Kitano,0,403,Tatyana Ali,865,0,USA,685,7.2,0
Anthony Russo,94,146,Isaiah Washington,693,0,USA,534,6.4,423
Sidney Lumet,0,745,Anne Bancroft,941,2,Australia,754,6.0,88
Vadim Perelman,26,350,Lynn Cohen,797,2,USA,474,6.4,1000
Lawrence Kasdan,759,820,Mark Duplass,967,1,USA,830,5.1,0
Marco Kreuzpaintner,7,289,Kate del Castillo,662,0,Germany,345,7.5,0
Lajos Koltai,45,0,Péter Fancsikai,9,0,Hungary,2,7.1,607
Alan Rudolph,18,865,Albert Finney,13000,1,USA,883,4.6,458
Yimou Zhang,611,3,Ni Yan,9,1,China,4,5.7,784
Vincenzo Natali,165,280,Jeremy Northam,686,2,USA,327,6.8,0
Chuan Lu,14,3,Yuanyuan Gao,52,0,China,32,7.7,0
Tim Johnson,12,183,Matt Jones,17000,0,USA,523,6.7,26000
Lijun Sun,0,188,Tom Arnold,970,0,China,618,3.2,211
Takashi Yamazaki,7,16,Meisa Kuroki,84,0,Japan,33,6.1,0
Renny Harlin,212,18,Kenneth Cranham,567,9,Georgia,111,5.6,0
Christopher Smith,76,42,Michael Dorman,181,1,UK,168,6.9,13000
Timothy Hines,0,247,Kelly LeBrock,1000,1,USA,445,7.5,26000
Randall Wallace,130,79,Connor Corum,399,,USA,116,5.8,23000
Guy Ritchie,0,1000,Brad Pitt,26000,6,UK,11000,8.3,27000
David Winters,49,84,Matt Marr,551,6,USA,85,2.8,634
Mary Lambert,52,426,Fred Gwynne,969,0,USA,886,6.6,0
Akira Kurosawa,0,4,Tetsu Watanabe,15,0,Japan,6,7.5,355
Jamie Thraves,2,388,Caroline Dhavernas,680,2,UK,544,6.0,443
Mabel Cheung,3,2,Ching Wan Lau,215,1,China,27,6.2,4
Joe Dante,287,233,Harry Carey Jr.,767,0,USA,281,7.2,14000
George Lucas,0,504,Peter Cushing,11000,1,USA,1000,8.7,33000
Dan Mazer,11,411,Zoey Deutch,22000,1,USA,851,6.0,11000
David Lean,767,382,Klaus Kinski,597,2,USA,396,8.0,7000
