director_name,director_facebook_likes,actor_2_name,actor_1_facebook_likes,actor_1_name,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,country,movie_facebook_likes
Dick Richards,6,Terence Hill,963,Catherine Deneuve,2209,Jack O'Halloran,1,http://www.imdb.com/title/tt0076175/?ref_=fn_tt_tt_1,26,UK,122
Jean-Marie Poiré,8,Isabelle Nanty,106,Christian Clavier,215,Valérie Lemercier,1,http://www.imdb.com/title/tt0108500/?ref_=fn_tt_tt_1,78,France,0
Sofia Coppola,0,Chris Pontius,227,Nathalie Fay,684,Erin Wasson,0,http://www.imdb.com/title/tt1421051/?ref_=fn_tt_tt_1,198,USA,0
Bob Gosse,10,Susie Abromeit,756,Geoff Stults,1417,Derek Wayne Johnson,1,http://www.imdb.com/title/tt1220628/?ref_=fn_tt_tt_1,72,USA,0
Alex Zamm,43,Raquel Welch,1000,Taylor Negron,5213,Larry Miller,1,http://www.imdb.com/title/tt0118836/?ref_=fn_tt_tt_1,62,USA,724
Spencer Susser,58,Natalie Portman,23000,Joseph Gordon-Levitt,44969,Rainn Wilson,0,http://www.imdb.com/title/tt1403177/?ref_=fn_tt_tt_1,99,USA,19000
Richard Shepard,47,Mark Wingett,554,Richard E. Grant,1105,Richard Graham,2,http://www.imdb.com/title/tt2402105/?ref_=fn_tt_tt_1,66,UK,0
Gus Van Sant,835,Casey Affleck,13000,Matt Damon,13000,,0,http://www.imdb.com/title/tt0302674/?ref_=fn_tt_tt_1,290,USA,0
Thaddeus O'Sullivan,5,Luke Newberry,766,Olivia Williams,1251,Eleanor Bron,3,http://www.imdb.com/title/tt0301390/?ref_=fn_tt_tt_1,25,UK,97
Peter Sollett,6,Josh Charles,7000,Steve Carell,9660,Luke Grimes,0,http://www.imdb.com/title/tt1658801/?ref_=fn_tt_tt_1,25,USA,0
Shari Springer Berman,30,Marian Seldes,474,Lynn Cohen,2029,Dan Hedaya,4,http://www.imdb.com/title/tt1361313/?ref_=fn_tt_tt_1,29,USA,916
Aleksey German,23,Yuriy Tsurilo,4,Leonid Yarmolnik,8,Valentin Golubenko,0,http://www.imdb.com/title/tt2328813/?ref_=fn_tt_tt_1,28,Russia,1000
Stephen Milburn Anderson,0,Mike Starr,26000,Chris Hemsworth,27756,Paul Sanchez,2,http://www.imdb.com/title/tt1106860/?ref_=fn_tt_tt_1,38,USA,694
Richard E. Grant,554,Julie Walters,876,Emily Watson,2544,Miranda Richardson,3,http://www.imdb.com/title/tt0419256/?ref_=fn_tt_tt_1,50,UK,311
Troy Duffy,78,David Della Rocco,12000,Norman Reedus,12680,Bob Marley,2,http://www.imdb.com/title/tt0144117/?ref_=fn_tt_tt_1,876,Canada,16000
David Lam,4,Louis Koo,91,Michael Wong,198,Stephen Au,1,http://www.imdb.com/title/tt3469440/?ref_=fn_tt_tt_1,1,Hong Kong,55
Francis Ford Coppola,0,Bruce Dern,1000,Alden Ehrenreich,3150,Joanne Whalley,0,http://www.imdb.com/title/tt1756851/?ref_=fn_tt_tt_1,70,USA,0
Vladlen Barbe,0,Wendee Lee,99,Erin Fitzgerald,218,Ivan Okhlobystin,1,http://www.imdb.com/title/tt2243621/?ref_=fn_tt_tt_1,9,Russia,453
Richard Rich,24,Kate Higgins,122,Debi Derryberry,236,Cindy Robinson,0,http://www.imdb.com/title/tt4061848/?ref_=fn_tt_tt_1,6,USA,41
Clint Eastwood,16000,Chris Penn,16000,Clint Eastwood,17209,Sydney Penny,0,http://www.imdb.com/title/tt0089767/?ref_=fn_tt_tt_1,138,USA,0
Robert C. Cooper,49,Christopher Judge,878,Ben Browder,4334,Julian Sands,5,http://www.imdb.com/title/tt0942903/?ref_=fn_tt_tt_1,42,USA,389
Richard Linklater,0,Adam Goldberg,14000,Milla Jovovich,18643,Cole Hauser,1,http://www.imdb.com/title/tt0106677/?ref_=fn_tt_tt_1,408,USA,10000
Kenny Ortega,197,Corbin Bleu,755,Lucas Grabeel,3009,Olesya Rulin,5,http://www.imdb.com/title/tt0810900/?ref_=fn_tt_tt_1,162,USA,586
Kim Nguyen,16,Justin Edward Seale,149,Gordon Pinsent,414,John Ralston,0,http://www.imdb.com/title/tt4412528/?ref_=fn_tt_tt_1,6,Canada,187
Jackie Earle Haley,0,Edi Gathegi,15000,Rex Baker,17377,Travis Aaron Wade,3,http://www.imdb.com/title/tt3687310/?ref_=fn_tt_tt_1,38,USA,0
Max Färberböck,4,Johanna Wokalek,177,Heike Makatsch,333,Maria Schrader,1,http://www.imdb.com/title/tt0130444/?ref_=fn_tt_tt_1,51,Germany,687
Arie Posin,3,John Heard,710,Rory Culkin,2119,Tim DeKay,1,http://www.imdb.com/title/tt0406650/?ref_=fn_tt_tt_1,129,USA,1000
Damian Nieman,0,Jason Cerbone,240,Glenn Plummer,490,Mark De Alessandro,8,http://www.imdb.com/title/tt0323939/?ref_=fn_tt_tt_1,65,USA,413
Mark Tonderai,13,Nolan Gerard Funk,34000,Jennifer Lawrence,35717,Gil Bellows,1,http://www.imdb.com/title/tt1582507/?ref_=fn_tt_tt_1,160,Canada,10000
Denis Villeneuve,777,Mélissa Désormeaux-Poulin,131,Lubna Azabal,343,Ahmad Massad,0,http://www.imdb.com/title/tt1255953/?ref_=fn_tt_tt_1,156,Canada,37000
Gabriele Muccino,125,Silvio Muccino,60,Laura Morante,132,Giulia Michelini,1,http://www.imdb.com/title/tt0323807/?ref_=fn_tt_tt_1,21,Italy,282
Ian Fitzgibbon,11,Brendan Coyle,1000,Jim Broadbent,2728,Michael McElhatton,8,http://www.imdb.com/title/tt1003034/?ref_=fn_tt_tt_1,31,Ireland,663
José Padilha,294,Fernanda Machado,585,Wagner Moura,666,André Ramiro,1,http://www.imdb.com/title/tt0861739/?ref_=fn_tt_tt_1,107,Brazil,11000
John R. Leonetti,40,Annabelle Wallis,1000,Alfre Woodard,2323,Gabriel Bateman,0,http://www.imdb.com/title/tt3322940/?ref_=fn_tt_tt_1,291,USA,45000
Rachel Perkins,3,Magda Szubanski,46,Deborah Mailman,225,Jessica Mauboy,7,http://www.imdb.com/title/tt1148165/?ref_=fn_tt_tt_1,31,Australia,479
John Singleton,309,Lloyd Avery II,27,John Cothran,106,Na'Blonka Durden,2,http://www.imdb.com/title/tt0101507/?ref_=fn_tt_tt_1,183,USA,0
Luis Valdez,7,Rosanna DeSoto,699,Esai Morales,936,Danielle von Zerneck,1,http://www.imdb.com/title/tt0093378/?ref_=fn_tt_tt_1,63,USA,0
Alan Alda,0,Len Cariou,804,Rita Moreno,1285,Sandy Dennis,2,http://www.imdb.com/title/tt0082405/?ref_=fn_tt_tt_1,33,USA,337
Brian De Palma,0,David Margulies,754,Angie Dickinson,2442,Nancy Allen,0,http://www.imdb.com/title/tt0080661/?ref_=fn_tt_tt_1,201,USA,0
Stephen Sommers,208,Frances Conroy,876,Curtis Armstrong,4840,Anne Heche,0,http://www.imdb.com/title/tt0106223/?ref_=fn_tt_tt_1,54,USA,391
Doug Liman,218,Jay Mohr,900,Sarah Polley,2475,Scott Wolf,3,http://www.imdb.com/title/tt0139239/?ref_=fn_tt_tt_1,418,USA,0
Nicole Holofcener,132,Marin Hinkle,435,Greg Germann,1140,Jake Cherry,2,http://www.imdb.com/title/tt0436331/?ref_=fn_tt_tt_1,166,USA,515
Robert Wise,338,Paula Kelly,116,David Wayne,394,Eric Christmas,0,http://www.imdb.com/title/tt0066769/?ref_=fn_tt_tt_1,171,USA,0
Louis Morneau,38,Bob Gunton,730,Leon,1405,Ned Bellamy,0,http://www.imdb.com/title/tt0200469/?ref_=fn_tt_tt_1,160,USA,342
Caroline Link,11,Juliane Köhler,56,Merab Ninidze,105,Matthias Habich,0,http://www.imdb.com/title/tt0161860/?ref_=fn_tt_tt_1,84,Germany,802
Steve McQueen,0,Nicole Beharie,13000,Michael Fassbender,15230,James Badge Dale,0,http://www.imdb.com/title/tt1723811/?ref_=fn_tt_tt_1,375,UK,23000
Matthew Vaughn,905,Sally Hawkins,27000,Tom Hardy,29277,Jamie Foreman,1,http://www.imdb.com/title/tt0375912/?ref_=fn_tt_tt_1,263,UK,0
Sterling Van Wagenen,0,Eric Johnson,1000,Emily Podleski,1942,Brenda Strong,2,http://www.imdb.com/title/tt0457530/?ref_=fn_tt_tt_1,21,USA,19
Zal Batmanglij,129,Julia Ormond,10000,Alexander Skarsgård,13180,Jason Ritter,4,http://www.imdb.com/title/tt1869716/?ref_=fn_tt_tt_1,119,UK,12000
Michael Mayer,15,Matt Frewer,18000,Robin Wright,21107,Sissy Spacek,2,http://www.imdb.com/title/tt0359423/?ref_=fn_tt_tt_1,135,USA,1000
Hans Petter Moland,19,Sara-Marie Maltha,844,Charlotte Rampling,846,Stellan Skarsgård,0,http://www.imdb.com/title/tt0168446/?ref_=fn_tt_tt_1,35,UK,260
Oren Moverman,38,Yaya DaCosta,12000,Steve Buscemi,14462,Eamonn Walker,0,http://www.imdb.com/title/tt0790712/?ref_=fn_tt_tt_1,92,USA,0
Ian Sharp,9,Jed Brophy,1000,Ray Winstone,1904,Temuera Morrison,0,http://www.imdb.com/title/tt1414378/?ref_=fn_tt_tt_1,18,New Zealand,830
