director_name,duration,genres,num_voted_users,movie_imdb_link,actor_2_facebook_likes,aspect_ratio
Rafa Lara,125,Drama|History|War,683,http://www.imdb.com/title/tt2553908/?ref_=fn_tt_tt_1,61,
Michael Radford,97,Comedy|Drama|Romance,2041,http://www.imdb.com/title/tt2113659/?ref_=fn_tt_tt_1,545,2.35
Arthur Hiller,86,Comedy,2971,http://www.imdb.com/title/tt0118577/?ref_=fn_tt_tt_1,474,1.85
Michael Meredith,91,Comedy|Drama,2941,http://www.imdb.com/title/tt1007018/?ref_=fn_tt_tt_1,3000,2.35
Julio DePietro,90,Comedy|Romance,7759,http://www.imdb.com/title/tt1247662/?ref_=fn_tt_tt_1,690,1.85
Katherine Dieckmann,90,Comedy|Drama,3662,http://www.imdb.com/title/tt1220220/?ref_=fn_tt_tt_1,893,1.85
William Dear,94,Drama,361,http://www.imdb.com/title/tt1128071/?ref_=fn_tt_tt_1,632,1.85
Kim Farrant,112,Drama|Mystery|Thriller,5637,http://www.imdb.com/title/tt2325977/?ref_=fn_tt_tt_1,52,2.39
Marcus Raboy,85,Comedy|Crime|Music,1097,http://www.imdb.com/title/tt1210071/?ref_=fn_tt_tt_1,405,1.85
Scott Marshall,93,Comedy|Romance,4995,http://www.imdb.com/title/tt0887719/?ref_=fn_tt_tt_1,848,1.85
Álex de la Iglesia,104,Crime|Mystery|Thriller,22753,http://www.imdb.com/title/tt0488604/?ref_=fn_tt_tt_1,161,2.35
Andrew Traucki,94,Horror|Thriller,11950,http://www.imdb.com/title/tt1320291/?ref_=fn_tt_tt_1,109,2.35
Michael Clancy,85,Comedy|Drama,7690,http://www.imdb.com/title/tt0349416/?ref_=fn_tt_tt_1,826,1.85
Patrick Lussier,99,Drama|Fantasy|Horror|Thriller,11285,http://www.imdb.com/title/tt0496436/?ref_=fn_tt_tt_1,258,2.35
Robert Adetuyi,91,Drama|Music,1642,http://www.imdb.com/title/tt1568139/?ref_=fn_tt_tt_1,152,2.35
Kari Skogland,117,Drama|Thriller,9585,http://www.imdb.com/title/tt1097643/?ref_=fn_tt_tt_1,2000,2.35
Taedong Park,85,Adventure|Animation,162,http://www.imdb.com/title/tt2722786/?ref_=fn_tt_tt_1,618,
Paul Schrader,106,Drama|War,3075,http://www.imdb.com/title/tt0479341/?ref_=fn_tt_tt_1,744,2.35
Benedikt Erlingsson,81,Comedy|Drama|Romance,1920,http://www.imdb.com/title/tt3074732/?ref_=fn_tt_tt_1,10,2.35
Gurinder Chadha,100,Comedy|Drama|Horror|Romance,1250,http://www.imdb.com/title/tt1319716/?ref_=fn_tt_tt_1,891,2.35
Jason Connery,90,Action|Horror|Sci-Fi,5715,http://www.imdb.com/title/tt1147687/?ref_=fn_tt_tt_1,898,1.85
Vic Sarin,116,Drama|Romance,2223,http://www.imdb.com/title/tt0213985/?ref_=fn_tt_tt_1,136,2.35
Jim Issa,84,Comedy,553,http://www.imdb.com/title/tt1070781/?ref_=fn_tt_tt_1,608,
Jee-woon Kim,135,Action|Adventure|Comedy|Western,26156,http://www.imdb.com/title/tt0901487/?ref_=fn_tt_tt_1,149,2.35
Douglas Aarniokoski,84,Horror|Thriller,7286,http://www.imdb.com/title/tt1913166/?ref_=fn_tt_tt_1,948,2.35
William Phillips,89,Action|Comedy|Drama|Western,3015,http://www.imdb.com/title/tt1376195/?ref_=fn_tt_tt_1,716,2.35
Greg Mottola,107,Comedy|Drama|Romance,131180,http://www.imdb.com/title/tt1091722/?ref_=fn_tt_tt_1,985,1.85
Andy Garcia,144,Drama|Romance,8369,http://www.imdb.com/title/tt0343996/?ref_=fn_tt_tt_1,228,1.85
Steve Carr,98,Comedy,27492,http://www.imdb.com/title/tt0195945/?ref_=fn_tt_tt_1,706,1.85
Sarik Andreasyan,94,Action|Crime|Drama|Thriller,12372,http://www.imdb.com/title/tt2923316/?ref_=fn_tt_tt_1,4000,
Lewis Gilbert,117,Action|Adventure|Thriller,75280,http://www.imdb.com/title/tt0062512/?ref_=fn_tt_tt_1,462,2.35
Julian Gilbey,102,Action|Comedy|Crime|Drama,5865,http://www.imdb.com/title/tt2556874/?ref_=fn_tt_tt_1,1000,
Michael Haneke,127,Drama|Romance,70382,http://www.imdb.com/title/tt1602620/?ref_=fn_tt_tt_1,432,1.85
Gary Sherman,98,Horror|Thriller,13190,http://www.imdb.com/title/tt0095889/?ref_=fn_tt_tt_1,887,1.85
Valeri Milev,88,Action|Horror,1763,http://www.imdb.com/title/tt1612319/?ref_=fn_tt_tt_1,290,1.78
Stanley Kramer,197,Action|Adventure|Comedy|Crime,29323,http://www.imdb.com/title/tt0057193/?ref_=fn_tt_tt_1,898,2.76
Pedro Almodóvar,121,Comedy|Crime|Drama|Mystery,76681,http://www.imdb.com/title/tt0441909/?ref_=fn_tt_tt_1,114,2.35
Gerald Potterton,90,Adventure|Animation|Fantasy|Horror|Sci-Fi,23516,http://www.imdb.com/title/tt0082509/?ref_=fn_tt_tt_1,176,1.37
Jared Hess,89,Adventure|Comedy|Sci-Fi,9006,http://www.imdb.com/title/tt1161418/?ref_=fn_tt_tt_1,947,
Richard Loncraine,104,Drama|War,11612,http://www.imdb.com/title/tt0114279/?ref_=fn_tt_tt_1,1000,2.35
David Hackl,94,Action|Horror|Thriller,4486,http://www.imdb.com/title/tt1694021/?ref_=fn_tt_tt_1,476,1.85
Anurag Basu,90,Action|Drama|Romance|Thriller,9673,http://www.imdb.com/title/tt1198101/?ref_=fn_tt_tt_1,412,
Lars von Trier,130,Drama|Sci-Fi,128729,http://www.imdb.com/title/tt1527186/?ref_=fn_tt_tt_1,4000,2.35
Kriv Stenders,92,Biography|Comedy|Drama|Family|Romance,13003,http://www.imdb.com/title/tt0803061/?ref_=fn_tt_tt_1,446,2.35
Yash Chopra,176,Drama|Romance,42296,http://www.imdb.com/title/tt2176013/?ref_=fn_tt_tt_1,3000,2.35
Ridley Scott,116,Horror|Sci-Fi,563827,http://www.imdb.com/title/tt0078748/?ref_=fn_tt_tt_1,581,2.35
Tobe Hooper,88,Horror|Thriller,96410,http://www.imdb.com/title/tt0072271/?ref_=fn_tt_tt_1,371,1.85
Floria Sigismondi,106,Biography|Drama|Music,39260,http://www.imdb.com/title/tt1017451/?ref_=fn_tt_tt_1,908,2.35
Norman Jewison,181,Drama|Family|Musical|Romance,29839,http://www.imdb.com/title/tt0067093/?ref_=fn_tt_tt_1,343,2.35
Terence Young,130,Action|Adventure|Thriller,82073,http://www.imdb.com/title/tt0059800/?ref_=fn_tt_tt_1,189,2.35
Joseph Kahn,93,Comedy|Horror|Sci-Fi,12520,http://www.imdb.com/title/tt1701990/?ref_=fn_tt_tt_1,383,2.35
Ferzan Ozpetek,110,Comedy|Drama|Romance,8667,http://www.imdb.com/title/tt1405810/?ref_=fn_tt_tt_1,26,2.35
F. Gary Gray,123,Action|Crime|Drama|Romance|Thriller,10139,http://www.imdb.com/title/tt0117603/?ref_=fn_tt_tt_1,851,2.35
Malcolm D. Lee,120,Comedy|Drama,6525,http://www.imdb.com/title/tt0168501/?ref_=fn_tt_tt_1,886,1.85
Tom Holland,87,Fantasy|Horror,62038,http://www.imdb.com/title/tt0094862/?ref_=fn_tt_tt_1,189,1.85
Michael Moore,123,Documentary|Drama,66610,http://www.imdb.com/title/tt0386032/?ref_=fn_tt_tt_1,203,1.85
James DeMonaco,103,Action|Horror|Sci-Fi|Thriller,92364,http://www.imdb.com/title/tt2975578/?ref_=fn_tt_tt_1,971,2.35
Kris Isacsson,91,Comedy|Drama|Romance,12324,http://www.imdb.com/title/tt0186975/?ref_=fn_tt_tt_1,683,1.85
Danny Leiner,88,Adventure|Comedy,155262,http://www.imdb.com/title/tt0366551/?ref_=fn_tt_tt_1,729,1.85
Rod Lurie,126,Drama|Thriller,20449,http://www.imdb.com/title/tt0208874/?ref_=fn_tt_tt_1,10000,1.85
Ben Younger,120,Crime|Drama|Thriller,41313,http://www.imdb.com/title/tt0181984/?ref_=fn_tt_tt_1,826,1.85
John Landis,116,Comedy,102895,http://www.imdb.com/title/tt0086465/?ref_=fn_tt_tt_1,249,1.85
Glen Morgan,94,Horror,19918,http://www.imdb.com/title/tt0454082/?ref_=fn_tt_tt_1,318,2.35
Daniel Taplitz,85,Comedy|Romance,4247,http://www.imdb.com/title/tt0349169/?ref_=fn_tt_tt_1,150,2.35
Kenneth Branagh,137,Action|Biography|Drama|History|Romance|War,23441,http://www.imdb.com/title/tt0097499/?ref_=fn_tt_tt_1,520,1.85
Tamara Jenkins,114,Comedy|Drama,32188,http://www.imdb.com/title/tt0775529/?ref_=fn_tt_tt_1,929,1.85
Linda Mendoza,76,Comedy|Romance,3419,http://www.imdb.com/title/tt0323572/?ref_=fn_tt_tt_1,579,1.85
Christopher McQuarrie,119,Action|Crime|Drama|Thriller,27536,http://www.imdb.com/title/tt0202677/?ref_=fn_tt_tt_1,127,1.85
Burr Steers,99,Comedy|Drama,29058,http://www.imdb.com/title/tt0280760/?ref_=fn_tt_tt_1,710,2.35
Hart Bochner,79,Comedy,10476,http://www.imdb.com/title/tt0110759/?ref_=fn_tt_tt_1,248,1.85
Michael O. Sajbel,114,Drama|Family|Romance,14100,http://www.imdb.com/title/tt0482629/?ref_=fn_tt_tt_1,906,1.85
,30,Drama|Romance,5478,http://www.imdb.com/title/tt0092325/?ref_=fn_tt_tt_1,170,1.78
Stewart Raffill,91,Action|Adventure|Comedy|Romance|Sci-Fi,7767,http://www.imdb.com/title/tt0087451/?ref_=fn_tt_tt_1,300,1.85
Davis Guggenheim,95,Biography|Drama|Sport,3624,http://www.imdb.com/title/tt0441007/?ref_=fn_tt_tt_1,616,2.35
Bart Freundlich,103,Comedy|Drama|Romance,7833,http://www.imdb.com/title/tt0427968/?ref_=fn_tt_tt_1,591,2.35
Andrew Fleming,92,Comedy|Music,15200,http://www.imdb.com/title/tt1104733/?ref_=fn_tt_tt_1,1000,1.85
Todd Haynes,124,Drama|Music,27766,http://www.imdb.com/title/tt0120879/?ref_=fn_tt_tt_1,776,1.85
Hong-jin Na,156,Fantasy|Horror|Mystery|Thriller,2379,http://www.imdb.com/title/tt5215952/?ref_=fn_tt_tt_1,5,2.35
Kevin Tancharoen,84,Documentary|Music,5156,http://www.imdb.com/title/tt1922612/?ref_=fn_tt_tt_1,892,1.85
Chatrichalerm Yukol,300,Action|Adventure|Drama|History|War,1666,http://www.imdb.com/title/tt0290879/?ref_=fn_tt_tt_1,6,1.85
Dario Argento,120,Horror,4302,http://www.imdb.com/title/tt0100827/?ref_=fn_tt_tt_1,602,1.85
Eric Lavaine,98,Comedy,1673,http://www.imdb.com/title/tt3202120/?ref_=fn_tt_tt_1,41,2.35
Mike Leigh,121,Drama,8161,http://www.imdb.com/title/tt0286261/?ref_=fn_tt_tt_1,44,1.85
Marc Forby,97,Drama,1201,http://www.imdb.com/title/tt1185344/?ref_=fn_tt_tt_1,537,2.35
Peter Cattaneo,86,Drama|Family,813,http://www.imdb.com/title/tt0420835/?ref_=fn_tt_tt_1,62,1.85
Scott Mann,93,Action|Crime|Thriller,16198,http://www.imdb.com/title/tt3276924/?ref_=fn_tt_tt_1,1000,2.35
Ole Christian Madsen,45,Drama|History|Thriller|War,14247,http://www.imdb.com/title/tt0920458/?ref_=fn_tt_tt_1,197,2.35
Meiert Avis,97,Comedy|Music|Romance,2599,http://www.imdb.com/title/tt0434424/?ref_=fn_tt_tt_1,374,2.35
Julian Jarrold,102,Crime|Drama|Mystery|Thriller,9305,http://www.imdb.com/title/tt1259574/?ref_=fn_tt_tt_1,281,1.85
André Téchiné,105,Drama,1219,http://www.imdb.com/title/tt1183672/?ref_=fn_tt_tt_1,168,2.35
Emily Young,103,Drama|Romance,10100,http://www.imdb.com/title/tt1068678/?ref_=fn_tt_tt_1,931,2.35
Peter Faiman,93,Adventure|Comedy,74743,http://www.imdb.com/title/tt0090555/?ref_=fn_tt_tt_1,162,2.35
Martyn Pick,76,Action|Animation|Fantasy|Horror|Mystery|Sci-Fi|Thriller,4990,http://www.imdb.com/title/tt1679332/?ref_=fn_tt_tt_1,212,1.85
Roland Suso Richter,90,Mystery|Sci-Fi|Thriller,9296,http://www.imdb.com/title/tt0325596/?ref_=fn_tt_tt_1,900,2.35
Jeremy Sims,122,Drama|History|War,5741,http://www.imdb.com/title/tt1418646/?ref_=fn_tt_tt_1,109,2.35
Maïwenn,127,Crime|Drama,10796,http://www.imdb.com/title/tt1661420/?ref_=fn_tt_tt_1,236,1.85
Joby Harold,84,Crime|Mystery|Thriller,63216,http://www.imdb.com/title/tt0211933/?ref_=fn_tt_tt_1,922,2.35
,23,Action|Adventure|Animation|Drama|Fantasy|Sci-Fi,28190,http://www.imdb.com/title/tt0458290/?ref_=fn_tt_tt_1,296,2.35
Ekachai Uekrongtham,96,Action|Crime|Thriller,5228,http://www.imdb.com/title/tt1641841/?ref_=fn_tt_tt_1,368,2.35
Joel Schumacher,97,Comedy|Fantasy|Horror,92924,http://www.imdb.com/title/tt0093437/?ref_=fn_tt_tt_1,847,2.35
Scott Cooper,112,Drama|Music|Romance,67760,http://www.imdb.com/title/tt1263670/?ref_=fn_tt_tt_1,628,2.35
