director_name,actor_1_name,movie_title,num_voted_users,actor_3_name,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,content_rating,title_year,imdb_score,aspect_ratio,movie_facebook_likes
,Ronn Moss,The Bold and the Beautiful             ,5478,Hunter Tylo,0,http://www.imdb.com/title/tt0092325/?ref_=fn_tt_tt_1,54,TV-14,,3.5,1.78,748
Stewart Raffill,Anjelica Huston,The Ice Pirates ,7767,Robert Urich,4,http://www.imdb.com/title/tt0087451/?ref_=fn_tt_tt_1,56,PG,1984,5.7,1.85,0
Davis Guggenheim,Emma Bell,Gracie ,3624,Carly Schroeder,1,http://www.imdb.com/title/tt0441007/?ref_=fn_tt_tt_1,27,PG-13,2007,6.2,2.35,313
Bart Freundlich,Billy Crudup,Trust the Man ,7833,Dagmara Dominczyk,3,http://www.imdb.com/title/tt0427968/?ref_=fn_tt_tt_1,63,R,2005,5.7,2.35,215
Andrew Fleming,Steve Coogan,Hamlet 2 ,15200,David Arquette,1,http://www.imdb.com/title/tt1104733/?ref_=fn_tt_tt_1,76,R,2008,6.4,1.85,1000
Todd Haynes,Christian Bale,Velvet Goldmine ,27766,Janet McTeer,3,http://www.imdb.com/title/tt0120879/?ref_=fn_tt_tt_1,314,R,1998,7.0,1.85,0
Hong-jin Na,Jung-min Hwang,The Wailing ,2379,Woo-hee Chun,0,http://www.imdb.com/title/tt5215952/?ref_=fn_tt_tt_1,24,Not Rated,2016,7.7,2.35,0
Kevin Tancharoen,Lea Michele,Glee: The 3D Concert Movie ,5156,Kevin McHale,0,http://www.imdb.com/title/tt1922612/?ref_=fn_tt_tt_1,21,PG,2011,5.4,1.85,0
Chatrichalerm Yukol,Sarunyu Wongkrachang,The Legend of Suriyothai ,1666,Mai Charoenpura,3,http://www.imdb.com/title/tt0290879/?ref_=fn_tt_tt_1,47,R,2001,6.6,1.85,124
Dario Argento,John Amos,Two Evil Eyes ,4302,Sally Kirkland,1,http://www.imdb.com/title/tt0100827/?ref_=fn_tt_tt_1,45,R,1990,6.1,1.85,375
Eric Lavaine,Lambert Wilson,Barbecue ,1673,Lionel Abelanski,1,http://www.imdb.com/title/tt3202120/?ref_=fn_tt_tt_1,1,,2014,6.1,2.35,348
Mike Leigh,Lesley Manville,All or Nothing ,8161,Gary McDonald,0,http://www.imdb.com/title/tt0286261/?ref_=fn_tt_tt_1,94,R,2002,7.6,1.85,484
Marc Forby,Q'orianka Kilcher,Princess Kaiulani ,1201,Shaun Evans,3,http://www.imdb.com/title/tt1185344/?ref_=fn_tt_tt_1,14,PG,2009,6.2,2.35,0
Peter Cattaneo,Jacqueline McKenzie,Opal Dream ,813,Peter Callan,0,http://www.imdb.com/title/tt0420835/?ref_=fn_tt_tt_1,6,PG,2006,6.6,1.85,135
Scott Mann,Robert De Niro,Heist ,16198,D.B. Sweeney,1,http://www.imdb.com/title/tt3276924/?ref_=fn_tt_tt_1,57,R,2015,6.1,2.35,0
Ole Christian Madsen,Lars Mikkelsen,Flame and Citron ,14247,Christian Berkel,1,http://www.imdb.com/title/tt0920458/?ref_=fn_tt_tt_1,44,Not Rated,2008,7.3,2.35,0
Meiert Avis,Fisher Stevens,Undiscovered ,2599,Perrey Reeves,4,http://www.imdb.com/title/tt0434424/?ref_=fn_tt_tt_1,45,PG-13,2005,4.2,2.35,128
Julian Jarrold,Andrew Garfield,Red Riding: In the Year of Our Lord 1974 ,9305,John Henshaw,0,http://www.imdb.com/title/tt1259574/?ref_=fn_tt_tt_1,44,Not Rated,2009,7.1,1.85,0
André Téchiné,Catherine Deneuve,The Girl on the Train ,1219,Émilie Dequenne,1,http://www.imdb.com/title/tt1183672/?ref_=fn_tt_tt_1,14,Unrated,2009,6.0,2.35,120
Emily Young,Sarah Michelle Gellar,Veronika Decides to Die ,10100,Jonathan Tucker,1,http://www.imdb.com/title/tt1068678/?ref_=fn_tt_tt_1,42,R,2009,6.5,2.35,3000
Peter Faiman,Paul Hogan,Crocodile Dundee ,74743,David Gulpilil,1,http://www.imdb.com/title/tt0090555/?ref_=fn_tt_tt_1,93,PG-13,1986,6.5,2.35,0
Martyn Pick,Sean Pertwee,Ultramarines: A Warhammer 40,000 Movie ,4990,Donald Sumpter,0,http://www.imdb.com/title/tt1679332/?ref_=fn_tt_tt_1,64,R,2010,5.7,1.85,0
Roland Suso Richter,Stephen Graham,The I Inside ,9296,Stephen Rea,2,http://www.imdb.com/title/tt0325596/?ref_=fn_tt_tt_1,57,R,2004,6.1,2.35,458
Jeremy Sims,Harrison Gilbertson,Beneath Hill 60 ,5741,Steve Le Marquand,12,http://www.imdb.com/title/tt1418646/?ref_=fn_tt_tt_1,39,R,2010,7.1,2.35,0
Maïwenn,Riccardo Scamarcio,Polisse ,10796,Karin Viard,1,http://www.imdb.com/title/tt1661420/?ref_=fn_tt_tt_1,33,Not Rated,2011,7.3,1.85,0
Joby Harold,Hayden Christensen,Awake ,63216,Denis O'Hare,0,http://www.imdb.com/title/tt0211933/?ref_=fn_tt_tt_1,196,R,2007,6.5,2.35,0
,Dee Bradley Baker,Star Wars: The Clone Wars             ,28190,Tom Kane,0,http://www.imdb.com/title/tt0458290/?ref_=fn_tt_tt_1,73,TV-PG,,7.9,2.35,2000
Ekachai Uekrongtham,Michael Jai White,Skin Trade ,5228,Celina Jade,5,http://www.imdb.com/title/tt1641841/?ref_=fn_tt_tt_1,38,R,2014,5.7,2.35,0
Joel Schumacher,Dianne Wiest,The Lost Boys ,92924,Jason Patric,3,http://www.imdb.com/title/tt0093437/?ref_=fn_tt_tt_1,339,R,1987,7.2,2.35,19000
Scott Cooper,Jeff Bridges,Crazy Heart ,67760,Debrianna Mansini,0,http://www.imdb.com/title/tt1263670/?ref_=fn_tt_tt_1,226,R,2009,7.3,2.35,0
Mark Rydell,David Keith,The Rose ,6142,Alan Bates,0,http://www.imdb.com/title/tt0079826/?ref_=fn_tt_tt_1,52,R,1979,6.9,1.85,1000
David E. Talbert,Djimon Hounsou,Baggage Claim ,7098,Boris Kodjoe,9,http://www.imdb.com/title/tt1171222/?ref_=fn_tt_tt_1,41,PG-13,2013,5.0,1.85,0
Roger Vadim,Jane Fonda,Barbarella ,24436,Milo O'Shea,2,http://www.imdb.com/title/tt0062711/?ref_=fn_tt_tt_1,186,PG,1968,5.9,2.35,0
Nils Gaup,Bjørn Sundquist,Shipwrecked ,1984,Stian Smestad,2,http://www.imdb.com/title/tt0099816/?ref_=fn_tt_tt_1,14,PG,1990,6.7,2.35,278
Alexander Payne,Matthew Broderick,Election ,73640,Molly Hagan,0,http://www.imdb.com/title/tt0126886/?ref_=fn_tt_tt_1,441,R,1999,7.3,2.35,0
Mira Nair,Jacinda Barrett,The Namesake ,16530,Tabu,1,http://www.imdb.com/title/tt0433416/?ref_=fn_tt_tt_1,117,PG-13,2006,7.6,1.85,0
Ari Sandel,Bella Thorne,The DUFF ,51326,Skyler Samuels,4,http://www.imdb.com/title/tt1666801/?ref_=fn_tt_tt_1,116,PG-13,2015,6.5,2.35,8000
Vondie Curtis-Hall,Mariah Carey,Glitter ,19412,Valarie Pettiford,1,http://www.imdb.com/title/tt0118589/?ref_=fn_tt_tt_1,308,PG-13,2001,2.1,2.35,0
Tom Elkins,Abigail Spencer,The Haunting in Connecticut 2: Ghosts of Georgia ,13167,Brad James,0,http://www.imdb.com/title/tt1457765/?ref_=fn_tt_tt_1,57,R,2013,5.3,2.35,0
Woo-Suk Kang,Yu-mi Jeong,Silmido ,3290,Kyung-gu Sol,0,http://www.imdb.com/title/tt0387596/?ref_=fn_tt_tt_1,17,,2003,7.2,2.35,387
Jane Campion,Abbie Cornish,Bright Star ,21360,Samuel Roukin,0,http://www.imdb.com/title/tt0810784/?ref_=fn_tt_tt_1,110,PG,2009,7.0,1.85,0
Karan Johar,Shah Rukh Khan,My Name Is Khan ,69759,Christopher B. Duncan,2,http://www.imdb.com/title/tt1188996/?ref_=fn_tt_tt_1,235,PG-13,2010,8.0,2.35,27000
Herbert Ross,Dianne Wiest,Footloose ,51459,Lori Singer,0,http://www.imdb.com/title/tt0087277/?ref_=fn_tt_tt_1,113,PG,1984,6.5,1.85,0
J.C. Chandor,Robert Redford,All Is Lost ,59545,,0,http://www.imdb.com/title/tt2017038/?ref_=fn_tt_tt_1,312,PG-13,2013,6.9,2.35,18000
John Sayles,Mary Elizabeth Mastrantonio,Limbo ,5158,Vanessa Martinez,0,http://www.imdb.com/title/tt0164085/?ref_=fn_tt_tt_1,140,R,1999,7.1,1.85,196
Vipul Amrutlal Shah,Katrina Kaif,Namastey London ,13577,Riteish Deshmukh,2,http://www.imdb.com/title/tt0795434/?ref_=fn_tt_tt_1,47,,2007,7.3,,341
Ken Loach,Padraic Delaney,The Wind That Shakes the Barley ,36846,Martin Lucey,1,http://www.imdb.com/title/tt0460989/?ref_=fn_tt_tt_1,222,Not Rated,2006,7.5,1.85,0
Ayan Mukerji,Ranbir Kapoor,Yeh Jawaani Hai Deewani ,25122,Aditya Roy Kapoor,2,http://www.imdb.com/title/tt2178470/?ref_=fn_tt_tt_1,102,Not Rated,2013,6.9,,0
John G. Avildsen,Martin Kove,The Karate Kid ,126916,William Bassett,0,http://www.imdb.com/title/tt0087538/?ref_=fn_tt_tt_1,235,PG,1984,7.2,1.85,0
Mervyn LeRoy,Peter Ustinov,Quo Vadis ,9808,Robert Taylor,0,http://www.imdb.com/title/tt0043949/?ref_=fn_tt_tt_1,90,Passed,1951,7.2,1.37,1000
Darren Lynn Bousman,Alexa PenaVega,Repo! The Genetic Opera ,20419,Paul Sorvino,1,http://www.imdb.com/title/tt0963194/?ref_=fn_tt_tt_1,259,R,2008,6.7,1.85,8000
Serdar Akar,Necati Sasmaz,Valley of the Wolves: Iraq ,14486,Ghassan Massoud,3,http://www.imdb.com/title/tt0493264/?ref_=fn_tt_tt_1,159,,2006,6.0,1.85,467
Quentin Tarantino,Bruce Willis,Pulp Fiction ,1324680,Phil LaMarr,1,http://www.imdb.com/title/tt0110912/?ref_=fn_tt_tt_1,2195,R,1994,8.9,2.35,45000
James Frawley,Madeline Kahn,The Muppet Movie ,25498,Dom DeLuise,0,http://www.imdb.com/title/tt0079588/?ref_=fn_tt_tt_1,92,G,1979,7.7,1.85,0
Dan Gilroy,Jake Gyllenhaal,Nightcrawler ,293304,James Huang,1,http://www.imdb.com/title/tt2872718/?ref_=fn_tt_tt_1,552,R,2014,7.9,2.35,65000
Jay Chandrasekhar,Brittany Daniel,Club Dread ,23823,Jay Chandrasekhar,2,http://www.imdb.com/title/tt0331953/?ref_=fn_tt_tt_1,201,R,2004,5.6,2.35,713
Robert Wise,Eleanor Parker,The Sound of Music ,148172,Nicholas Hammond,3,http://www.imdb.com/title/tt0059742/?ref_=fn_tt_tt_1,406,G,1965,8.0,2.35,15000
Ron Howard,Tom Hanks,Splash ,54723,Patrick Cronin,2,http://www.imdb.com/title/tt0088161/?ref_=fn_tt_tt_1,99,PG,1984,6.2,1.85,0
Jonathan Dayton,Steve Carell,Little Miss Sunshine ,355810,Jill Talley,1,http://www.imdb.com/title/tt0449059/?ref_=fn_tt_tt_1,889,R,2006,7.9,2.35,15000
Rob Reiner,Marshall Bell,Stand by Me ,271794,Casey Siemaszko,2,http://www.imdb.com/title/tt0092005/?ref_=fn_tt_tt_1,584,R,1986,8.1,1.85,24000
Danny Boyle,Noah Huntley,28 Days Later... ,297250,David Schneider,0,http://www.imdb.com/title/tt0289043/?ref_=fn_tt_tt_1,1441,R,2002,7.6,1.85,11000
Chris Stokes,Jennifer Freeman,You Got Served ,23671,Steve Harvey,0,http://www.imdb.com/title/tt0365957/?ref_=fn_tt_tt_1,247,PG-13,2004,3.5,1.85,0
Don Siegel,Clint Eastwood,Escape from Alcatraz ,87090,Fred Ward,0,http://www.imdb.com/title/tt0079116/?ref_=fn_tt_tt_1,142,PG,1979,7.6,1.85,0
Rick Famuyiwa,Boris Kodjoe,Brown Sugar ,5971,Wendell Pierce,1,http://www.imdb.com/title/tt0297037/?ref_=fn_tt_tt_1,60,PG-13,2002,6.5,1.85,0
Martin Lawrence,Faizon Love,A Thin Line Between Love and Hate ,3122,Della Reese,2,http://www.imdb.com/title/tt0117891/?ref_=fn_tt_tt_1,14,R,1996,5.6,2.35,559
Jonathan Levine,Joseph Gordon-Levitt,50/50 ,270441,Bryce Dallas Howard,2,http://www.imdb.com/title/tt1306980/?ref_=fn_tt_tt_1,378,R,2011,7.7,1.85,40000
Masayuki Ochiai,James Kyson,Shutter ,26609,Daisy Betts,1,http://www.imdb.com/title/tt0482599/?ref_=fn_tt_tt_1,148,PG-13,2008,5.2,1.85,0
George A. Romero,Ted Danson,Creepshow ,29935,Adrienne Barbeau,0,http://www.imdb.com/title/tt0083767/?ref_=fn_tt_tt_1,211,R,1982,6.9,1.85,0
Tom Gormican,Mackenzie Davis,That Awkward Moment ,76791,Josh Pais,3,http://www.imdb.com/title/tt1800246/?ref_=fn_tt_tt_1,100,R,2014,6.1,2.35,0
Ken Shapiro,Brian Doyle-Murray,Modern Problems ,3904,Mary Kay Place,1,http://www.imdb.com/title/tt0082763/?ref_=fn_tt_tt_1,48,PG,1981,5.0,1.85,495
Justin Tipping,Tina Gilton,Kicks ,59,Justin Hall,,http://www.imdb.com/title/tt4254584/?ref_=fn_tt_tt_1,6,R,2016,7.8,,240
Kenneth Branagh,Keanu Reeves,Much Ado About Nothing ,37269,Brian Blessed,0,http://www.imdb.com/title/tt0107616/?ref_=fn_tt_tt_1,165,PG-13,1993,7.4,1.85,0
Peter R. Hunt,Telly Savalas,On Her Majesty's Secret Service ,59941,Desmond Llewelyn,2,http://www.imdb.com/title/tt0064757/?ref_=fn_tt_tt_1,452,M,1969,6.8,2.35,0
,Nick Wechsler,The Player             ,5817,Jeff Marlow,2,http://www.imdb.com/title/tt4474310/?ref_=fn_tt_tt_1,25,TV-14,,7.1,16.0,0
Wes Craven,Miko Hughes,New Nightmare ,38191,Tracy Middendorf,0,http://www.imdb.com/title/tt0111686/?ref_=fn_tt_tt_1,271,R,1994,6.4,1.85,0
John Schultz,Stephen Collins,Drive Me Crazy ,14904,Keri Lynn Pratt,2,http://www.imdb.com/title/tt0164114/?ref_=fn_tt_tt_1,147,PG-13,1999,5.7,1.85,0
Doug Atchison,Curtis Armstrong,Akeelah and the Bee ,15337,Tzi Ma,0,http://www.imdb.com/title/tt0437800/?ref_=fn_tt_tt_1,172,PG,2006,7.5,2.35,0
Tamra Davis,Dave Chappelle,Half Baked ,48225,Clarence Williams III,0,http://www.imdb.com/title/tt0120693/?ref_=fn_tt_tt_1,164,R,1998,6.7,1.85,0
Jonas Elmer,J.K. Simmons,New in Town ,17461,Harry Connick Jr.,1,http://www.imdb.com/title/tt1095174/?ref_=fn_tt_tt_1,78,PG,2009,5.6,1.85,0
Stephen Gaghan,Matt Damon,Syriana ,109191,Kayvan Novak,0,http://www.imdb.com/title/tt0365737/?ref_=fn_tt_tt_1,625,R,2005,7.0,2.35,0
Mary Harron,Christian Bale,American Psycho ,357275,Samantha Mathis,1,http://www.imdb.com/title/tt0144084/?ref_=fn_tt_tt_1,1061,R,2000,7.6,2.35,18000
Miguel Arteta,Jake Gyllenhaal,The Good Girl ,37952,Tim Blake Nelson,3,http://www.imdb.com/title/tt0279113/?ref_=fn_tt_tt_1,298,R,2002,6.5,1.85,938
Erik Canuel,Colm Feore,Bon Cop Bad Cop ,8616,Sarain Boylan,2,http://www.imdb.com/title/tt0479647/?ref_=fn_tt_tt_1,90,R,2006,7.0,2.35,758
Troy Duffy,Norman Reedus,The Boondock Saints II: All Saints Day ,53251,Clifton Collins Jr.,0,http://www.imdb.com/title/tt1300851/?ref_=fn_tt_tt_1,188,R,2009,6.3,2.35,0
James Ivory,Alexandra Maria Lara,The City of Your Final Destination ,2311,Diego Velazquez,1,http://www.imdb.com/title/tt0896923/?ref_=fn_tt_tt_1,25,PG-13,2009,6.4,1.85,638
Nicole Holofcener,Christopher Nicholas Smith,Enough Said ,49240,Michaela Watkins,2,http://www.imdb.com/title/tt2390361/?ref_=fn_tt_tt_1,142,PG-13,2013,7.1,1.85,12000
Will Gluck,Emma Stone,Easy A ,276746,Fred Armisen,1,http://www.imdb.com/title/tt1282140/?ref_=fn_tt_tt_1,264,PG-13,2010,7.1,1.85,19000
Matty Rich,Jada Pinkett Smith,The Inkwell ,1103,Larenz Tate,0,http://www.imdb.com/title/tt0110137/?ref_=fn_tt_tt_1,11,R,1994,6.5,1.85,160
E. Elias Merhige,Eddie Izzard,Shadow of the Vampire ,34191,Catherine McCormack,1,http://www.imdb.com/title/tt0189998/?ref_=fn_tt_tt_1,339,R,2000,6.9,2.35,0
Joe Nussbaum,Cameron Monaghan,Prom ,12702,Aimee Teegarden,0,http://www.imdb.com/title/tt1604171/?ref_=fn_tt_tt_1,32,PG,2011,5.4,1.85,0
Matt Reeves,Mark Margolis,The Pallbearer ,6124,Carol Kane,2,http://www.imdb.com/title/tt0117283/?ref_=fn_tt_tt_1,55,PG-13,1996,4.9,1.85,125
Steve Rash,Barry Corbin,Held Up ,2870,Jake Busey,2,http://www.imdb.com/title/tt0165831/?ref_=fn_tt_tt_1,34,PG-13,1999,5.1,1.85,77
Fina Torres,Harold Perrineau,Woman on Top ,8546,Mark Feuerstein,0,http://www.imdb.com/title/tt0206420/?ref_=fn_tt_tt_1,86,R,2000,5.3,2.35,859
James Ivory,Anthony Hopkins,Howards End ,21254,Samuel West,3,http://www.imdb.com/title/tt0104454/?ref_=fn_tt_tt_1,86,PG,1992,7.5,2.35,788
,Dominic Cooper,Preacher             ,22848,Ruth Negga,0,http://www.imdb.com/title/tt5016504/?ref_=fn_tt_tt_1,85,TV-MA,,8.3,16.0,18000
Duke Johnson,Jennifer Jason Leigh,Anomalisa ,31489,David Thewlis,0,http://www.imdb.com/title/tt2401878/?ref_=fn_tt_tt_1,140,R,2015,7.3,2.35,0
Mike Leigh,Jim Broadbent,Another Year ,23629,Phil Davis,0,http://www.imdb.com/title/tt1431181/?ref_=fn_tt_tt_1,141,PG-13,2010,7.3,2.35,0
François Ozon,Catherine Deneuve,8 Women ,23660,Emmanuelle Béart,1,http://www.imdb.com/title/tt0283832/?ref_=fn_tt_tt_1,162,R,2002,7.1,1.85,0
Mark L. Lester,Cary-Hiroyuki Tagawa,Showdown in Little Tokyo ,12561,Vernee Watson,2,http://www.imdb.com/title/tt0102915/?ref_=fn_tt_tt_1,102,R,1991,6.0,1.85,0
David Dobkin,Janeane Garofalo,Clay Pigeons ,9494,Kevin Rahm,1,http://www.imdb.com/title/tt0118863/?ref_=fn_tt_tt_1,109,R,1998,6.6,1.85,515
Anna Boden,Zoë Kravitz,It's Kind of a Funny Story ,106098,Jim Gaffigan,3,http://www.imdb.com/title/tt0804497/?ref_=fn_tt_tt_1,150,PG-13,2010,7.2,1.85,20000
Nigel Cole,Bob Hoskins,Made in Dagenham ,11158,Sally Hawkins,6,http://www.imdb.com/title/tt1371155/?ref_=fn_tt_tt_1,73,R,2010,7.2,2.35,0
Anand Tucker,Colin Firth,When Did You Last See Your Father? ,3571,Gina McKee,2,http://www.imdb.com/title/tt0829098/?ref_=fn_tt_tt_1,34,PG-13,2007,6.9,2.35,429
Steve James,Kurtwood Smith,Prefontaine ,5673,Amy Locane,2,http://www.imdb.com/title/tt0119937/?ref_=fn_tt_tt_1,37,PG-13,1997,6.8,1.66,0
Michael Winner,Faye Dunaway,The Wicked Lady ,802,John Gielgud,0,http://www.imdb.com/title/tt0086582/?ref_=fn_tt_tt_1,15,R,1983,4.0,1.85,79
Tomm Moore,Sean Lennon,The Secret of Kells ,22811,Evan McGuire,0,http://www.imdb.com/title/tt0485601/?ref_=fn_tt_tt_1,71,Not Rated,2009,7.7,1.85,11000
John Carney,James Corden,Begin Again ,99430,Mary Catherine Garrison,1,http://www.imdb.com/title/tt1980929/?ref_=fn_tt_tt_1,182,R,2013,7.4,1.85,43000
David Jacobson,Hunter Parrish,Down in the Valley ,16617,Rory Culkin,2,http://www.imdb.com/title/tt0398027/?ref_=fn_tt_tt_1,110,R,2005,6.5,2.35,412
Michael Corrente,Jerry Ferrara,Brooklyn Rules ,5049,Alexa Havins,3,http://www.imdb.com/title/tt0283503/?ref_=fn_tt_tt_1,48,R,2007,6.4,2.35,226
Edward Hall,Rufus Sewell,Restless ,2098,Charlotte Rampling,2,http://www.imdb.com/title/tt2241676/?ref_=fn_tt_tt_1,12,,2012,7.2,16.0,434
Keith Gordon,Robert Downey Jr.,The Singing Detective ,7116,Alfre Woodard,2,http://www.imdb.com/title/tt0314676/?ref_=fn_tt_tt_1,79,R,2003,5.6,1.85,494
David Leland,Anna Friel,The Land Girls ,1591,Steven Mackintosh,3,http://www.imdb.com/title/tt0119494/?ref_=fn_tt_tt_1,27,R,1998,6.3,2.35,75
Andrew Currie,Alexia Fast,Fido ,25055,Kesun Loder,1,http://www.imdb.com/title/tt0457572/?ref_=fn_tt_tt_1,98,R,2006,6.8,2.35,0
Andrew Wilson,Will Ferrell,The Wendell Baker Story ,5159,Jacob Vargas,4,http://www.imdb.com/title/tt0373445/?ref_=fn_tt_tt_1,27,PG-13,2005,5.5,2.35,143
Jonathan Lynn,Rupert Grint,Wild Target ,29994,Geoff Bell,4,http://www.imdb.com/title/tt1235189/?ref_=fn_tt_tt_1,86,PG-13,2010,6.9,2.35,0
Marc Schölermann,John de Lancie,Pathology ,26849,Johnny Whitworth,0,http://www.imdb.com/title/tt0964539/?ref_=fn_tt_tt_1,107,R,2008,6.0,2.35,3000
,Tom Hardy,Wuthering Heights             ,6053,Kevin McNally,2,http://www.imdb.com/title/tt1238834/?ref_=fn_tt_tt_1,33,,,7.7,,0
Robert Moresco,Brian Dennehy,10th & Wolf ,5557,Dash Mihok,5,http://www.imdb.com/title/tt0360323/?ref_=fn_tt_tt_1,34,R,2006,6.4,2.35,294
Thomas Vinterberg,Michael Angarano,Dear Wendy ,9003,William Hootkins,0,http://www.imdb.com/title/tt0342272/?ref_=fn_tt_tt_1,58,Unrated,2004,6.6,1.66,532
Claudia Llosa,Ian Tracey,Aloft ,2103,William Shimell,1,http://www.imdb.com/title/tt2494384/?ref_=fn_tt_tt_1,11,R,2014,5.3,2.35,675
Katsuhiro Ôtomo,Mitsuo Iwata,Akira ,106160,Tesshô Genda,0,http://www.imdb.com/title/tt0094625/?ref_=fn_tt_tt_1,430,R,1988,8.1,1.85,0
John Herzfeld,Paul Walker,The Death and Life of Bobby Z ,12078,Jason Flemyng,2,http://www.imdb.com/title/tt0473188/?ref_=fn_tt_tt_1,31,R,2007,5.9,2.35,0
Charles Binamé,Stephen McHattie,The Rocket: The Legend of Rocket Richard ,4412,Julie LeBreton,0,http://www.imdb.com/title/tt0460505/?ref_=fn_tt_tt_1,31,PG,2005,7.7,2.35,520
Keith Parmer,Rachel Ann Mullins,Swelter ,1965,Grant Bowler,6,http://www.imdb.com/title/tt2112277/?ref_=fn_tt_tt_1,24,R,2014,4.6,,438
Dennie Gordon,Leehom Wang,My Lucky Star ,322,Jack Kao,2,http://www.imdb.com/title/tt2102502/?ref_=fn_tt_tt_1,2,,2013,5.1,2.35,81
Ol Parker,Celia Imrie,Imagine Me & You ,23023,Darren Boyd,0,http://www.imdb.com/title/tt0421994/?ref_=fn_tt_tt_1,149,R,2005,6.9,2.35,0
Bruce Beresford,Mckenna Grace,Mr. Church ,63,Natalie Coughlin,0,http://www.imdb.com/title/tt4196848/?ref_=fn_tt_tt_1,5,PG-13,2016,8.0,2.35,205
François Ozon,Charlotte Rampling,Swimming Pool ,35065,Jean-Claude Lecas,0,http://www.imdb.com/title/tt0324133/?ref_=fn_tt_tt_1,288,R,2003,6.8,1.85,0
James Nunn,Spencer Wilding,Green Street 3: Never Back Down ,3740,Kacey Clarke,2,http://www.imdb.com/title/tt2628316/?ref_=fn_tt_tt_1,13,R,2013,5.4,2.35,0
David Webb Peoples,Delroy Lindo,The Blood of Heroes ,4792,Anna Katarina,2,http://www.imdb.com/title/tt0094764/?ref_=fn_tt_tt_1,43,R,1989,6.5,1.33,999
Michael Winnick,Scott Takeda,Code of Honor ,662,Craig Sheffer,0,http://www.imdb.com/title/tt4060866/?ref_=fn_tt_tt_1,14,R,2016,4.2,,689
Bruce Beresford,Morgan Freeman,Driving Miss Daisy ,72324,Patti LuPone,1,http://www.imdb.com/title/tt0097239/?ref_=fn_tt_tt_1,134,PG,1989,7.4,1.85,3000
George Tillman Jr.,Vanessa Williams,Soul Food ,5275,Vivica A. Fox,6,http://www.imdb.com/title/tt0120169/?ref_=fn_tt_tt_1,30,R,1997,6.9,1.85,508
Stanley Tong,Françoise Yip,Rumble in the Bronx ,29843,Garvin Cross,1,http://www.imdb.com/title/tt0113326/?ref_=fn_tt_tt_1,81,R,1995,6.7,2.35,0
David Oelhoffen,Viggo Mortensen,Far from Men ,4035,Ángela Molina,0,http://www.imdb.com/title/tt2936180/?ref_=fn_tt_tt_1,19,,2014,7.3,2.35,2000
Jason Reitman,J.K. Simmons,Thank You for Smoking ,191998,Todd Louiso,0,http://www.imdb.com/title/tt0427944/?ref_=fn_tt_tt_1,323,R,2005,7.6,2.35,0
Eli Roth,Jay Hernandez,Hostel: Part II ,69989,Stanislav Ianevski,0,http://www.imdb.com/title/tt0498353/?ref_=fn_tt_tt_1,384,R,2007,5.4,2.35,0
Lone Scherfig,Dominic Cooper,An Education ,112138,Ellie Kendrick,0,http://www.imdb.com/title/tt1174732/?ref_=fn_tt_tt_1,237,PG-13,2009,7.3,2.35,12000
Anand Tucker,Frances Conroy,Shopgirl ,21225,Clyde Kusatsu,3,http://www.imdb.com/title/tt0338427/?ref_=fn_tt_tt_1,268,R,2005,6.4,2.35,1000
Tony Richardson,Joely Richardson,The Hotel New Hampshire ,6595,Nastassja Kinski,0,http://www.imdb.com/title/tt0087428/?ref_=fn_tt_tt_1,61,R,1984,6.0,1.85,345
Joe Carnahan,Jason Patric,Narc ,34098,Alan Van Sprang,1,http://www.imdb.com/title/tt0272207/?ref_=fn_tt_tt_1,214,R,2002,7.2,1.85,1000
Paul Gross,Molly Parker,Men with Brooms ,3709,Kari Matchett,3,http://www.imdb.com/title/tt0263734/?ref_=fn_tt_tt_1,83,R,2002,6.0,1.85,0
Charles Robert Carner,Ivana Milicevic,Witless Protection ,5463,Richard Bull,2,http://www.imdb.com/title/tt1001562/?ref_=fn_tt_tt_1,20,PG-13,2008,3.1,1.85,140
Russell Holt,Eric Johnson,The Work and the Glory ,833,Tiffany Dupont,1,http://www.imdb.com/title/tt0410454/?ref_=fn_tt_tt_1,33,PG,2004,6.9,,31
Mike Judge,J.K. Simmons,Extract ,37530,Clifton Collins Jr.,6,http://www.imdb.com/title/tt1225822/?ref_=fn_tt_tt_1,106,R,2009,6.2,1.85,0
Larry Charles,Jeff Bridges,Masked and Anonymous ,3972,Bruce Dern,0,http://www.imdb.com/title/tt0319829/?ref_=fn_tt_tt_1,95,PG-13,2003,5.5,1.85,655
Claude Miller,Sandrine Kiberlain,Alias Betty ,1439,Roschdy Zem,0,http://www.imdb.com/title/tt0269329/?ref_=fn_tt_tt_1,26,,2001,6.9,,26
Michael Winterbottom,Samantha Morton,Code 46 ,18109,Natalie Mendoza,0,http://www.imdb.com/title/tt0345061/?ref_=fn_tt_tt_1,150,R,2003,6.3,2.35,0
Sacha Bennett,Bob Hoskins,Outside Bet ,243,Vincent Regan,3,http://www.imdb.com/title/tt1772422/?ref_=fn_tt_tt_1,3,,2012,4.8,,223
Paul Haggis,Don Cheadle,Crash ,361169,Jennifer Esposito,0,http://www.imdb.com/title/tt0375679/?ref_=fn_tt_tt_1,1624,R,2004,7.9,2.35,18000
