director_name,num_critic_for_reviews,duration,gross,movie_title,cast_total_facebook_likes,facenumber_in_poster,language,country,content_rating,budget,title_year,imdb_score,aspect_ratio,movie_facebook_likes
Robert B. Weide,135,110,2775593,How to Lose Friends & Alienate People ,858,4,English,UK,R,27000000,2008,6.5,1.85,0
Jeff Wadlow,350,103,28751715,Kick-Ass 2 ,19168,0,English,USA,R,28000000,2013,6.6,2.35,36000
Agustín Díaz Yanes,31,145,,Captain Alatriste: The Spanish Musketeer ,11669,1,Spanish,Spain,,24000000,2006,6.1,1.85,0
Camille Delamarre,177,100,20285518,Brick Mansions ,25387,2,English,France,PG-13,28000000,2014,5.7,2.35,0
John Glen,106,131,67900000,Octopussy ,1898,0,English,UK,PG,27500000,1983,6.6,2.35,0
Judd Apatow,251,133,148734225,Knocked Up ,12874,2,English,USA,R,30000000,2007,7.0,1.85,0
Nick Cassavetes,148,109,49185998,My Sister's Keeper ,1775,2,English,USA,PG-13,30000000,2009,7.4,2.35,15000
Malcolm D. Lee,76,114,42168445,Welcome Home, Roscoe Jenkins ,3565,3,English,USA,PG-13,35000000,2008,5.3,1.85,464
David Lean,52,164,26400000,A Passage to India ,1334,0,English,UK,PG,16000000,1984,7.4,1.85,845
Richard Eyre,220,92,17508670,Notes on a Scandal ,646,0,English,UK,R,15000000,2006,7.4,1.85,0
Gavin Hood,131,122,9664316,Rendition ,50950,2,English,USA,R,27500000,2007,6.8,2.35,0
,7,42,,Limitless             ,2707,2,English,USA,TV-14,,,7.9,16.0,11000
Nicholas Meyer,112,110,74888996,Star Trek VI: The Undiscovered Country ,16230,0,English,USA,PG,30000000,1991,7.2,2.35,0
Callie Khouri,93,116,69586544,Divine Secrets of the Ya-Ya Sisterhood ,3845,4,English,USA,PG-13,27000000,2002,6.0,2.35,0
Jon Favreau,370,106,362645141,The Jungle Book ,32921,0,English,UK,PG,175000000,2016,7.8,1.85,65000
Gary Fleder,83,115,60491560,Kiss the Girls ,14322,1,English,USA,R,27000000,1997,6.6,2.35,0
John Landis,125,148,54200000,The Blues Brothers ,2566,1,English,USA,R,27000000,1980,7.9,1.85,14000
Sanaa Hamri,73,119,44087387,The Sisterhood of the Traveling Pants 2 ,3525,4,English,USA,PG-13,,2008,6.2,1.85,894
Todd Graff,98,118,30920167,Joyful Noise ,3389,4,English,USA,PG-13,25000000,2012,5.7,2.35,0
Chris Weitz,158,101,40566655,About a Boy ,74,0,English,UK,PG-13,30000000,2002,7.1,2.35,0
Steve Miner,152,82,31768374,Lake Placid ,3313,0,English,USA,R,27000000,1999,5.6,2.35,2000
Paul McGuigan,202,110,22494487,Lucky Number Slevin ,26451,3,English,Germany,R,27000000,2006,7.8,2.35,10000
Philip Kaufman,80,193,21500000,The Right Stuff ,6341,0,English,USA,PG,27000000,1983,7.9,1.85,0
Roland Emmerich,288,130,4463292,Anonymous ,2452,3,English,UK,PG-13,30000000,2011,6.9,2.35,15000
Wolfgang Petersen,99,94,,The NeverEnding Story ,1560,1,English,West Germany,PG,27000000,1984,7.4,2.35,21000
Alex Proyas,222,111,14337579,Dark City ,4696,1,English,Australia,R,27000000,1998,7.7,2.35,14000
Saul Dibb,194,110,13823741,The Duchess ,6420,3,English,UK,PG-13,13500000,2008,6.9,2.35,0
,15,30,,The Honeymooners             ,812,4,English,USA,,,,8.7,1.33,459
Walter Murch,56,109,,Return to Oz ,960,0,English,UK,PG,25000000,1985,6.7,1.85,0
Richard Linklater,63,123,10297897,The Newton Boys ,11969,4,English,USA,PG-13,27000000,1998,6.0,2.35,315
Christian Alvart,167,109,13248477,Case 39 ,15790,1,English,USA,R,27000000,2009,6.2,2.35,0
E. Elias Merhige,101,99,8712564,Suspect Zero ,1721,0,English,USA,R,27000000,2004,5.9,1.33,817
Menno Meyjes,118,106,7486906,Martian Child ,2495,0,English,USA,PG,27000000,2007,6.8,1.85,0
Robert Rodriguez,76,89,38536376,Spy Kids: All the Time in the World in 4D ,4311,5,English,USA,PG,27000000,2011,3.6,1.85,0
Jodie Foster,268,98,41008532,Money Monster ,10894,1,English,USA,R,27000000,2016,6.7,2.35,0
Ronny Yu,95,93,5204007,Formula 51 ,1044,2,English,UK,R,28000000,2001,6.3,2.35,0
Joel Schumacher,78,112,4485485,Flawless ,46022,1,English,USA,R,15000000,1999,6.4,1.85,0
Renny Harlin,127,101,4476235,Mindhunters ,4186,0,English,USA,R,27000000,2004,6.4,2.35,2000
Barry Levinson,137,104,1089365,What Just Happened ,71973,1,English,USA,R,25000000,2008,5.7,2.35,845
Norman Jewison,54,120,763044,The Statement ,3286,4,English,Canada,R,23000000,2003,6.2,1.85,188
Kenneth Branagh,38,135,,The Magic Flute ,24,1,English,France,,27000000,2006,6.6,2.35,359
Steve Carr,167,91,20819129,Paul Blart: Mall Cop ,2954,1,English,USA,PG,26000000,2009,5.2,1.85,0
Mark Waters,129,97,110222438,Freaky Friday ,3984,2,English,USA,PG,26000000,2003,6.1,1.85,0
Judd Apatow,217,133,109243478,The 40-Year-Old Virgin ,8341,1,English,USA,R,26000000,2005,7.1,1.85,0
John Madden,134,123,100241322,Shakespeare in Love ,1690,0,English,USA,R,25000000,1998,7.2,2.35,0
Scott Frank,253,114,25977365,A Walk Among the Tombstones ,15428,0,English,USA,R,28000000,2014,6.5,2.35,15000
Ivan Reitman,46,111,91457688,Kindergarten Cop ,2403,4,English,USA,PG-13,26000000,1990,6.0,1.85,0
David Gordon Green,232,117,87341380,Pineapple Express ,15590,3,English,USA,R,27000000,2008,7.0,2.35,0
Andy Tennant,92,121,65703412,Ever After: A Cinderella Story ,2747,1,English,USA,PG-13,26000000,1998,7.0,2.35,0
Kevin Costner,153,139,58328680,Open Range ,5458,0,English,USA,R,22000000,2003,7.5,2.35,0
Joel Schumacher,49,115,61490000,Flatliners ,10493,5,English,USA,R,26000000,1990,6.6,2.35,0
,79,22,,It's Always Sunny in Philadelphia             ,1784,5,English,USA,TV-MA,,,8.8,1.33,0
Richard Attenborough,56,175,50800000,A Bridge Too Far ,669,14,English,USA,PG,26000000,1977,7.4,2.35,0
Wes Craven,224,85,57859105,Red Eye ,1090,0,English,USA,PG-13,26000000,2005,6.5,2.35,0
David R. Ellis,175,90,46455802,Final Destination 2 ,3172,0,English,USA,R,26000000,2003,6.2,1.85,0
Joel Coen,197,107,45506619,O Brother, Where Art Thou? ,3066,3,English,UK,PG-13,26000000,2000,7.8,2.35,16000
Scott Stewart,226,100,40168080,Legion ,3889,0,English,USA,R,26000000,2010,5.2,2.35,0
Michael Bay,335,129,49874933,Pain & Gain ,13573,4,English,USA,R,26000000,2013,6.5,2.35,43000
Paul Weitz,157,109,45489752,In Good Company ,28493,2,English,USA,PG-13,26000000,2004,6.5,1.85,736
Jonathan Frakes,69,94,36985501,Clockstoppers ,3917,0,English,USA,PG,26000000,2002,5.2,1.85,874
Lawrence Kasdan,46,133,33200000,Silverado ,1154,4,English,USA,PG-13,26000000,1985,7.2,2.35,0
Jim Sheridan,217,105,28501651,Brothers ,42473,0,English,USA,R,26000000,2009,7.1,2.35,10000
Kevin Allen,55,100,23222861,Agent Cody Banks 2: Destination London ,3742,4,English,USA,PG,26000000,2004,4.5,2.35,167
Garry Marshall,200,113,54540525,New Year's Eve ,23456,15,English,USA,PG-13,56000000,2011,5.7,1.85,20000
Michael Cristofer,93,118,16252765,Original Sin ,11662,1,English,France,R,42000000,2001,6.0,2.35,3000
James McTeigue,265,110,16005978,The Raven ,2356,1,English,USA,R,26000000,2012,6.4,2.35,35000
Donald Petrie,82,110,14469428,Welcome to Mooseport ,2466,2,English,USA,PG-13,26000000,2004,5.2,1.85,260
Andrew Morahan,32,99,13829734,Highlander: The Final Dimension ,2960,0,English,Canada,PG-13,26000000,1994,4.3,2.35,319
Bob Rafelson,42,101,1075288,Blood and Wine ,2228,3,English,USA,R,22000000,1996,6.1,1.85,145
Michael Cohn,22,100,,Snow White: A Tale of Terror ,2170,2,English,USA,R,26000000,1997,6.3,1.85,0
Woody Allen,116,103,7496522,The Curse of the Jade Scorpion ,12534,0,English,USA,PG-13,26000000,2001,6.8,1.37,826
David O. Russell,56,100,,Accidental Love ,19068,5,English,USA,PG-13,26000000,2015,4.0,1.85,0
Alan Shapiro,23,95,20047715,Flipper ,616,1,English,USA,PG,25530000,1996,5.2,2.35,504
Tarsem Singh,178,117,12276810,Self/less ,17847,0,English,USA,PG-13,26000000,2015,6.5,2.35,11000
Fernando Meirelles,226,129,33565375,The Constant Gardener ,1565,0,English,UK,R,15000000,2005,7.5,1.85,0
Mel Gibson,406,120,499263,The Passion of the Christ ,705,0,Aramaic,USA,R,30000000,2004,7.1,2.35,13000
Chris Columbus,57,125,219200000,Mrs. Doubtfire ,52201,5,English,USA,PG-13,25000000,1993,6.9,2.35,0
Barry Levinson,100,133,172825435,Rain Man ,12285,3,English,USA,R,25000000,1988,8.0,1.85,12000
Clint Eastwood,366,116,148085755,Gran Torino ,17347,0,English,USA,R,33000000,2008,8.2,2.35,28000
Oliver Stone,242,129,25517500,W. ,4264,1,English,USA,PG-13,25100000,2008,6.4,2.35,0
Pierre Morel,309,93,145000989,Taken ,16461,0,English,France,PG-13,25000000,2008,7.9,2.35,29000
Michael Hoffman,85,118,26761283,The Best of Me ,3197,0,English,USA,PG-13,26000000,2014,6.7,2.35,19000
Mick Jackson,48,129,121945720,The Bodyguard ,2551,0,English,USA,R,25000000,1992,6.1,1.85,0
Steven Spielberg,174,185,96067179,Schindler's List ,15233,0,English,USA,R,22000000,1993,8.9,1.85,41000
Tate Taylor,373,146,169705587,The Help ,23227,2,English,USA,PG-13,25000000,2011,8.1,1.85,75000
Bill Condon,224,128,3254172,The Fifth Estate ,36337,1,English,USA,R,28000000,2013,6.2,2.35,11000
Raja Gosnell,94,93,84185387,Scooby-Doo 2: Monsters Unleashed ,7800,0,English,USA,PG,80000000,2004,4.9,1.85,567
Oleg Stepchenko,25,107,,Viy ,1166,1,Russian,Russia,,26000000,2014,5.4,1.85,0
Ronny Yu,273,97,82163317,Freddy vs. Jason ,4692,0,English,USA,R,30000000,2003,5.8,2.35,3000
Michael Winterbottom,78,101,,The Face of an Angel ,1041,2,English,UK,Not Rated,,2014,4.7,2.35,488
John A. Davis,66,82,80920948,Jimmy Neutron: Boy Genius ,2251,0,English,USA,G,30000000,2001,6.0,1.85,425
Matt Reeves,459,85,80034302,Cloverfield ,3958,0,English,USA,PG-13,25000000,2008,7.0,1.85,0
Michael Pressman,68,88,78656813,Teenage Mutant Ninja Turtles II: The Secret of the Ooze ,2501,0,English,USA,PG,25000000,1991,6.0,1.85,0
Brian De Palma,123,119,76270454,The Untouchables ,22767,1,English,USA,R,25000000,1987,7.9,2.35,0
Ethan Coen,488,122,74273505,No Country for Old Men ,4738,0,English,USA,R,25000000,2007,8.1,2.35,21000
Tim Story,146,99,134141530,Ride Along ,2394,1,English,USA,PG-13,25000000,2014,6.2,2.35,0
Sharon Maguire,168,97,71500556,Bridget Jones's Diary ,16999,3,English,UK,R,26000000,2001,6.7,2.35,0
Lasse Hallström,152,121,71309760,Chocolat ,1323,1,English,UK,PG-13,25000000,2000,7.3,1.85,18000
Charles Herman-Wurmfeld,133,95,89808372,Legally Blonde 2: Red, White & Blonde ,3500,2,English,USA,PG-13,45000000,2003,4.6,1.85,660
Andy Fickman,139,105,77264926,Parental Guidance ,5740,5,English,USA,PG,25000000,2012,6.1,1.85,0
Ivan Reitman,245,108,70625986,No Strings Attached ,22739,1,English,USA,R,25000000,2011,6.2,2.35,24000
George P. Cosmatos,84,134,56505065,Tombstone ,4453,0,English,USA,R,25000000,1993,7.8,2.35,11000
Andrzej Bartkowiak,70,115,55973336,Romeo Must Die ,9082,1,English,USA,R,25000000,2000,6.1,2.35,0
Richard Donner,154,107,,The Omen ,673,2,English,UK,R,2800000,1976,7.6,2.35,7000
James Wong,216,86,54098051,Final Destination 3 ,2420,0,English,Germany,R,25000000,2006,5.8,2.35,0
Scott Hicks,170,101,60443237,The Lucky One ,1852,0,English,USA,PG-13,25000000,2012,6.5,2.35,29000
Gabor Csupo,181,96,82234139,Bridge to Terabithia ,28071,3,English,USA,PG,17000000,2007,7.2,1.85,6000
Marc Forster,226,101,51676606,Finding Neverland ,58823,1,English,USA,PG,25000000,2004,7.8,2.35,0
Tyler Perry,24,100,52528330,A Madea Christmas ,3202,0,English,USA,PG-13,25000000,2013,4.7,1.85,0
Joe Carnahan,408,117,51533608,The Grey ,16606,1,English,USA,R,25000000,2011,6.8,2.35,32000
John Polson,180,101,51097664,Hide and Seek ,23328,0,English,USA,R,30000000,2005,5.9,2.35,0
Adam McKay,181,98,84136909,Anchorman: The Legend of Ron Burgundy ,656730,5,English,USA,PG-13,26000000,2004,7.2,1.85,0
Martin Scorsese,192,146,46836394,Goodfellas ,24783,3,English,USA,R,25000000,1990,8.7,1.85,25000
Harald Zwart,79,102,47285499,Agent Cody Banks ,3037,3,English,USA,PG,26000000,2003,5.0,2.35,542
Kirk Jones,128,97,47124400,Nanny McPhee ,17278,0,English,USA,PG,25000000,2005,6.6,2.35,0
Brian De Palma,147,142,44700000,Scarface ,16464,0,English,USA,R,25000000,1983,8.3,2.35,19000
Steve Oedekerk,49,98,44455658,Nothing to Lose ,2457,2,English,USA,R,25000000,1997,6.7,1.85,0
Bernardo Bertolucci,75,219,43984230,The Last Emperor ,2451,0,English,China,PG-13,23000000,1987,7.8,2.35,0
Baltasar Kormákur,270,109,66489425,Contraband ,26625,3,English,USA,R,25000000,2012,6.5,2.35,0
Brett Ratner,29,97,41067398,Money Talks ,2530,2,English,USA,R,25000000,1997,6.1,2.35,666
Paul Thomas Anderson,398,158,40218903,There Will Be Blood ,533,0,English,USA,R,25000000,2007,8.1,2.35,16000
Cathy Malkasian,38,85,39880476,The Wild Thornberrys Movie ,2908,0,English,USA,PG,25000000,2002,5.2,2.35,187
John Eng,45,80,39399750,Rugrats Go Wild ,3017,0,English,USA,PG,25000000,2003,5.6,2.35,329
Malcolm D. Lee,81,86,38230435,Undercover Brother ,3001,3,English,USA,PG-13,25000000,2002,5.8,1.85,0
Ken Kwapis,88,119,39008741,The Sisterhood of the Traveling Pants ,6862,0,English,USA,PG,25000000,2005,6.6,2.35,0
Chris Nahon,116,98,36833473,Kiss of the Dragon ,7945,1,English,France,R,25000000,2001,6.6,2.35,0
Fred Wolf,129,97,48237389,The House Bunny ,18789,1,English,USA,PG-13,25000000,2008,5.5,2.35,0
Bille Woodruff,72,105,36310118,Beauty Shop ,3535,1,English,USA,PG-13,,2005,5.5,2.35,671
Craig Gillespie,151,124,36447959,Million Dollar Arm ,6393,0,English,USA,PG,25000000,2014,7.0,2.39,10000
Phillip Noyce,198,97,45089048,The Giver ,36064,3,English,South Africa,PG-13,25000000,2014,6.5,2.35,58000
Dennie Gordon,66,105,35990505,What a Girl Wants ,16400,1,English,USA,PG,20000000,2003,5.8,2.35,0
Victor Salva,167,104,35143332,Jeepers Creepers II ,1340,0,English,USA,R,17000000,2003,5.6,2.35,0
Mark Helfrich,127,101,35000629,Good Luck Chuck ,2822,1,English,USA,R,25000000,2007,5.6,1.85,0
Andrzej Bartkowiak,109,101,34604054,Cradle 2 the Grave ,6867,2,English,USA,R,30000000,2003,5.8,2.35,1000
Stephen Daldry,174,114,41597830,The Hours ,12624,3,English,USA,PG-13,25000000,2002,7.6,1.85,0
Andy Fickman,91,105,33687630,She's the Man ,20109,0,English,USA,PG-13,20000000,2006,6.4,1.85,0
Steve Bendelack,151,90,32553210,Mr. Bean's Holiday ,794,0,English,UK,PG,25000000,2007,6.3,1.85,0
Dwight H. Little,94,97,31526393,Anacondas: The Hunt for the Blood Orchid ,2730,0,English,USA,PG-13,25000000,2004,4.6,2.35,686
Guillaume Canet,91,144,41229,Blood Ties ,18442,6,English,France,R,25500000,2013,6.5,2.35,0
Kirsten Sheridan,148,114,31655091,August Rush ,50927,0,English,USA,PG,30000000,2007,7.5,2.35,18000
Shekhar Kapur,141,124,30012990,Elizabeth ,1006,1,English,UK,R,25000000,1998,7.5,1.85,0
Ronny Yu,114,89,32368960,Bride of Chucky ,667,0,English,Canada,R,25000000,1998,5.3,1.85,0
Richard Fleischer,79,160,14500000,Tora! Tora! Tora! ,1548,0,English,Japan,G,25000000,1970,7.5,2.35,0
Bob Spiers,33,93,29247405,Spice World ,2176,1,English,UK,PG,25000000,1997,3.3,1.85,0
David Gordon Green,146,87,30538669,The Sitter ,3850,3,English,USA,R,,2011,5.7,1.85,0
Damien Dante Wayans,83,88,25615792,Dance Flick ,4378,0,English,USA,PG-13,25000000,2009,3.5,1.85,657
Frank Darabont,199,142,28341469,The Shawshank Redemption ,13495,0,English,USA,R,25000000,1994,9.3,1.85,108000
Simon Wincer,71,92,25590119,Crocodile Dundee in Los Angeles ,1315,0,English,Australia,PG,21150000,2001,4.8,1.85,387
Bobby Farrelly,62,117,24944213,Kingpin ,16937,2,English,USA,PG-13,27000000,1996,6.9,2.35,3000
Rupert Wyatt,175,111,33631221,The Gambler ,3784,1,English,USA,R,25000000,2014,6.0,2.35,0
John Wells,322,121,37738400,August: Osage County ,39690,3,English,USA,R,25000000,2013,7.3,2.35,30000
Tim Fywell,67,98,24381334,Ice Princess ,235,2,English,USA,G,,2005,6.0,1.85,901
Nigel Cole,112,107,21835784,A Lot Like Love ,1095,3,English,USA,PG-13,30000000,2005,6.6,1.85,0
Dexter Fletcher,216,106,15785632,Eddie the Eagle ,21195,3,English,UK,PG-13,23000000,2016,7.5,2.35,15000
Spike Lee,48,136,21554585,He Got Game ,37315,0,English,USA,R,25000000,1998,6.9,1.85,0
Jeremy Leven,44,97,22200000,Don Juan DeMarco ,52122,3,English,USA,PG-13,25000000,1994,6.8,1.85,0
,12,7,,Shaun the Sheep             ,55,0,English,UK,TV-G,,,8.3,,834
Lasse Hallström,162,108,80014842,Dear John ,19945,,English,USA,PG-13,25000000,2010,6.3,2.35,14000
Sylvain White,213,97,23527955,The Losers ,12841,1,English,USA,PG-13,25000000,2010,6.4,2.35,0
Troy Nixey,298,99,24042490,Don't Be Afraid of the Dark ,3744,1,English,USA,R,25000000,2010,5.6,1.85,10000
Philip G. Atwell,119,103,22466994,War ,33565,0,English,USA,R,25000000,2007,6.3,2.35,0
Paul Thomas Anderson,251,95,17791031,Punch-Drunk Love ,11994,0,English,USA,R,25000000,2002,7.3,2.35,0
Jeff Schaffer,92,93,17718223,EuroTrip ,14180,5,English,USA,R,25000000,2004,6.6,1.85,0
Don Michael Paul,58,98,15361537,Half Past Dead ,1855,0,English,Germany,PG-13,13000000,2002,4.6,1.85,564
Paul Feig,73,90,16647384,Unaccompanied Minors ,4431,1,English,USA,PG,26000000,2006,5.1,2.35,498
James Bridges,28,107,16118077,Bright Lights, Big City ,3067,0,English,USA,R,25000000,1988,5.6,1.85,377
Steve Barron,19,90,15091542,The Adventures of Pinocchio ,2465,2,Italian,UK,G,25000000,1996,5.3,2.35,246
Bill Paxton,86,120,15331289,The Greatest Game Ever Played ,1217,1,English,USA,PG,,2005,7.5,1.85,0
Richard Kelly,287,115,15045676,The Box ,2466,1,English,USA,PG-13,16000000,2009,5.6,2.35,0
Carter Smith,233,93,17427926,The Ruins ,1749,0,English,USA,R,8000000,2008,5.9,2.35,0
John Schlesinger,86,99,14983572,The Next Best Thing ,2498,1,English,USA,PG-13,25000000,2000,4.7,1.85,378
Wes Craven,160,107,14637490,My Soul to Take ,2537,2,English,USA,R,25000000,2010,4.8,2.35,0
Luke Greenfield,126,110,14589444,The Girl Next Door ,911,2,English,USA,R,25000000,2004,6.8,1.85,0
Ringo Lam,50,101,14095303,Maximum Risk ,1634,1,English,USA,R,25000000,1996,5.4,2.35,503
Bruce McCulloch,52,85,13973532,Stealing Harvard ,3065,1,English,USA,PG-13,25000000,2002,5.1,1.85,215
Brian Helgeland,260,132,1865774,Legend ,27659,2,English,UK,R,30000000,2015,7.0,2.35,43000
Akiva Schaffer,111,88,13920741,Hot Rod ,2062,5,English,USA,PG-13,,2007,6.7,2.35,0
David R. Ellis,231,90,18860403,Shark Night 3D ,4952,0,English,USA,PG-13,25000000,2011,4.0,1.85,0
Alan Parker,99,145,13038660,Angela's Ashes ,1282,1,English,USA,R,25000000,1999,7.3,1.85,0
Ivan Reitman,159,110,28831145,Draft Day ,3757,1,English,USA,R,25000000,2014,6.8,2.35,14000
Tobe Hooper,159,101,,Lifeforce ,1008,0,English,UK,R,25000000,1985,6.1,2.35,0
,7,30,,The Powerpuff Girls             ,2346,0,English,USA,TV-Y7,,,7.2,4.0,581
Robert Redford,199,122,11538204,The Conspirator ,21163,0,English,USA,PG-13,25000000,2010,7.0,2.35,0
Catherine Hardwicke,119,107,11008432,Lords of Dogtown ,16651,0,English,USA,PG-13,25000000,2005,7.1,1.85,5000
Patricia Riggen,120,127,12188642,The 33 ,2230,7,English,Chile,PG-13,26000000,2015,6.9,2.35,0
John Carpenter,180,99,11100000,Big Trouble in Little China ,896,1,English,USA,PG-13,25000000,1986,7.3,2.35,19000
Pascal Chaumeil,58,104,,A Perfect Plan ,210,2,French,France,,17000000,2012,6.3,2.35,853
Gavin O'Connor,317,140,13651662,Warrior ,29692,1,English,USA,PG-13,25000000,2011,8.2,2.35,77000
Neil Jordan,44,133,11030963,Michael Collins ,48482,2,English,UK,R,28000000,1996,7.1,1.85,0
Ron Maxwell,22,271,10769960,Gettysburg ,2107,0,English,USA,PG,25000000,1993,7.7,1.85,0
Kimberly Peirce,143,112,10911750,Stop-Loss ,43560,2,English,USA,R,25000000,2008,6.5,1.85,982
Stephen Gaghan,72,99,10719367,Abandon ,28987,3,English,USA,PG-13,25000000,2002,4.9,2.35,261
Jonathan Kaplan,70,100,10114315,Brokedown Palace ,582,0,English,USA,PG-13,25000000,1999,6.4,2.35,0
Ole Bornedal,264,92,49122319,The Possession ,2348,0,English,USA,PG-13,14000000,2012,5.9,2.35,17000
Richard Benjamin,20,105,10070000,Mrs. Winterbourne ,5023,3,English,USA,PG-13,25000000,1996,6.2,1.85,491
Rod Lurie,190,110,10324441,Straw Dogs ,11431,1,English,USA,R,25000000,2011,5.8,2.35,7000
Lasse Hallström,142,116,7156933,The Hoax ,1134,0,English,USA,R,25000000,2006,6.7,1.85,348
Craig R. Baxley,27,88,9286314,Stone Cold ,583,1,English,USA,R,17000000,1991,5.9,1.85,0
John Hillcoat,355,111,56692,The Road ,23566,2,English,USA,R,25000000,2009,7.3,2.35,32000
John Guillermin,21,117,,Sheena ,611,1,English,UK,PG,25000000,1984,4.8,2.35,739
Marcos Siega,31,95,5654777,Underclassman ,2165,3,English,USA,PG-13,25000000,2005,4.1,2.35,206
J.B. Rogers,87,95,5516708,Say It Isn't So ,2413,2,English,USA,R,25000000,2001,4.9,1.85,295
Roger Donaldson,126,127,5128124,The World's Fastest Indian ,12574,1,English,New Zealand,PG-13,25000000,2005,7.9,2.35,11000
David R. Ellis,285,105,34014398,Snakes on a Plane ,2603,0,English,Germany,R,33000000,2006,5.6,2.35,4000
Rachel Talalay,60,104,4064333,Tank Girl ,9662,0,English,USA,R,25000000,1995,5.2,2.35,0
Jeffrey W. Byrd,23,95,4006906,King's Ransom ,4990,7,English,USA,PG-13,15000000,2005,4.1,1.85,83
Fernando Meirelles,229,121,3073392,Blindness ,142,0,English,Canada,R,25000000,2008,6.6,1.85,0
Uwe Boll,143,92,1550000,BloodRayne ,2930,2,English,USA,R,25000000,2005,2.9,2.35,937
Roman Polanski,376,80,,Carnage ,25143,3,English,France,R,25000000,2011,7.2,2.35,21000
Atom Egoyan,97,107,871527,Where the Truth Lies ,16090,2,English,Canada,R,25000000,2005,6.5,2.35,507
Andrew Adamson,73,91,12495865,Cirque du Soleil: Worlds Away ,539,0,English,USA,PG,,2012,6.8,,0
Robert Towne,28,117,777423,Without Limits ,4351,0,English,USA,PG-13,25000000,1998,7.2,2.35,942
Richard Linklater,160,107,1186957,Me and Orson Welles ,1591,3,English,UK,PG-13,25000000,2008,6.8,2.35,0
Giuseppe Tornatore,124,131,85433,The Best Offer ,5954,2,English,Italy,R,13500000,2013,7.8,2.35,31000
Werner Herzog,280,122,1697956,Bad Lieutenant: Port of Call New Orleans ,13809,2,English,USA,R,20000000,2009,6.7,1.85,6000
Ben Stassen,56,88,,A Turtle's Tale: Sammy's Adventures ,3874,2,English,France,PG,,2010,6.1,2.35,0
Guillaume Canet,118,134,183662,Little White Lies ,890,6,French,France,Not Rated,25000000,2010,7.1,2.35,0
Taylor Hackford,49,117,134904,Love Ranch ,3204,9,English,USA,R,25000000,2010,5.7,1.78,636
Jérôme Deschamps,4,80,,The True Story of Puss'N Boots ,53,0,English,France,G,25000000,2009,2.9,,90
Inna Evlannikova,16,85,,Space Dogs ,48,0,Russian,Russia,G,25000000,2010,5.2,,200
Ridley Scott,336,138,16969390,The Counselor ,27797,4,English,USA,R,25000000,2013,5.3,2.35,24000
Jonathan English,91,121,,Ironclad ,3287,2,English,UK,R,25000000,2011,6.2,2.35,0
Sergey Bondarchuk,16,134,,Waterloo ,705,2,English,Italy,G,25000000,1970,7.3,2.35,690
Teddy Chan,65,100,129115,Kung Fu Killer ,285,2,Cantonese,China,,25000000,2014,6.5,2.35,0
Mario Van Peebles,7,100,,Red Sky ,2204,0,English,USA,PG-13,25000000,2014,4.1,,437
Stephen Frears,51,119,34700000,Dangerous Liaisons ,35501,2,English,USA,R,14000000,1988,7.7,1.85,0
Walter Salles,252,137,717753,On the Road ,33747,4,English,France,R,25000000,2012,6.1,2.35,27000
Leonard Nimoy,106,119,109713132,Star Trek IV: The Voyage Home ,15449,5,English,USA,PG,25000000,1986,7.3,2.35,0
Sylvester Stallone,285,139,70269171,Rocky Balboa ,15111,0,English,USA,PG,24000000,2006,7.2,1.85,0
Ericson Core,163,114,28772222,Point Break ,3962,1,English,USA,PG-13,105000000,2015,5.3,2.35,37000
Wes Craven,195,120,101334374,Scream 2 ,2321,5,English,USA,R,24000000,1997,6.1,2.35,0
Gavin O'Connor,123,98,1512815,Jane Got a Gun ,21414,0,English,USA,R,25000000,2016,5.8,2.35,0
Tim Story,52,106,65182182,Think Like a Man Too ,4830,8,English,USA,PG-13,24000000,2014,5.7,2.35,3000
Jonathan Lynn,129,98,57262492,The Whole Nine Yards ,17582,4,English,USA,R,24000000,2000,6.7,1.85,0
Herbert Ross,60,107,80000000,Footloose ,1962,0,English,USA,PG,8200000,1984,6.5,1.85,0
Todd Phillips,123,88,74608545,Old School ,10325,4,English,USA,R,24000000,2003,7.2,2.35,0
Terry Gilliam,84,137,41895491,The Fisher King ,12947,1,English,USA,R,24000000,1991,7.6,1.85,12000
Danny Cannon,125,100,39989008,I Still Know What You Did Last Summer ,49847,2,English,USA,R,24000000,1998,4.6,2.35,891
Bonnie Hunt,106,115,32662299,Return to Me ,3946,1,English,USA,PG,24000000,2000,6.9,1.85,0
Kevin Smith,247,101,31452765,Zack and Miri Make a Porno ,638,7,English,USA,R,24000000,2008,6.6,1.85,0
Neil LaBute,156,110,25167270,Nurse Betty ,12254,4,English,Germany,R,24000000,2000,6.3,2.35,455
Grant Heslov,271,94,32416109,The Men Who Stare at Goats ,32474,0,English,USA,R,25000000,2009,6.2,2.35,15000
George Gallo,45,88,20218,Double Take ,2557,2,English,USA,PG-13,24000000,2001,5.3,2.35,204
James Mangold,133,127,28871190,Girl, Interrupted ,13433,0,English,USA,R,24000000,1999,7.3,1.85,0
Robert Luketic,84,95,16964743,Win a Date with Tad Hamilton! ,4681,1,English,USA,PG-13,24000000,2004,5.6,2.35,876
Tim Hill,70,87,16290976,Muppets from Space ,3243,0,English,USA,G,24000000,1999,6.2,1.85,619
Sidney Lumet,32,118,13000000,The Wiz ,1458,0,English,USA,G,24000000,1978,5.2,1.85,0
