actor_2_name,genres,movie_title,cast_total_facebook_likes,plot_keywords,num_user_for_reviews,language,country,budget,title_year,imdb_score,aspect_ratio
Jeffrey DeMunn,Crime|Drama,The Shawshank Redemption ,13495,escape from prison|first person narration|prison|prison cell search|wrongful imprisonment,4144,English,USA,25000000,1994,9.3,1.85
Paul Hogan,Adventure|Comedy|Crime,Crocodile Dundee in Los Angeles ,1315,boat|crocodile|garbage can|knife|paramount pictures,119,English,Australia,21150000,2001,4.8,1.85
Lin Shaye,Comedy|Sport,Kingpin ,16937,amish|bowling|on the road|rubber hand|tournament,185,English,USA,27000000,1996,6.9,2.35
Cjon Saulsberry,Crime|Drama|Thriller,The Gambler ,3784,dog|gambler|gambling|gangster|professor,145,English,USA,25000000,2014,6.0,2.35
Meryl Streep,Drama,August: Osage County ,39690,based on play|incestuous relationship|pedophilia|secret|teenage daughter,285,English,USA,25000000,2013,7.3,2.35
Trevor Blumas,Comedy|Drama|Family|Sport,Ice Princess ,235,championship|coach|harvard|physics|zamboni,81,English,USA,,2005,6.0,1.85
Tyrone Giordano,Comedy|Drama|Romance,A Lot Like Love ,1095,flight|hasselblad camera|los angeles california|love|medium format camera,161,English,USA,30000000,2005,6.6,1.85
Taron Egerton,Biography|Comedy|Drama|Sport,Eddie the Eagle ,21195,1988 winter olympics|coach|ski jumper|winter|winter olympics,119,English,UK,23000000,2016,7.5,2.35
Milla Jovovich,Drama|Sport,He Got Game ,37315,basketball|basketball player|female nudity|porn actor in mainstream movie|prison,109,English,USA,25000000,1998,6.9,1.85
Marlon Brando,Comedy|Drama|Romance,Don Juan DeMarco ,52122,don juan|mental institution|patient|psychiatrist|retirement,117,English,USA,25000000,1994,6.8,1.85
John Sparkes,Animation|Comedy|Family,Shaun the Sheep             ,55,farmer|mischief|no dialog|sheep|sheepdog,12,English,UK,,,8.3,
Henry Thomas,Drama|Romance|War,Dear John ,19945,army|coin collector|love|surfboard|u.s. army,186,English,USA,25000000,2010,6.3,2.35
Jason Patric,Action|Crime|Drama|Mystery|Thriller,The Losers ,12841,hacking|hijacking|martial arts|revenge|special forces,165,English,USA,25000000,2010,6.4,2.35
Alan Dale,Fantasy|Horror|Thriller,Don't Be Afraid of the Dark ,3744,basement|creature|disappearance|interior designer|mansion,250,English,USA,25000000,2010,5.6,1.85
Jet Li,Action|Crime|Thriller,War ,33565,assassin|betrayal|fbi|fbi agent|yakuza,166,English,USA,25000000,2007,6.3,2.35
Emily Watson,Comedy|Drama|Romance|Thriller,Punch-Drunk Love ,11994,harmonium|love|phone sex|pudding|sister,888,English,USA,25000000,2002,7.3,2.35
Scott Mechlowicz,Comedy,EuroTrip ,14180,female frontal nudity|male frontal nudity|nudist|nudity|public nudity,316,English,USA,25000000,2004,6.6,1.85
Nia Peeples,Action|Crime|Thriller,Half Past Dead ,1855,alcatraz|fbi|gold|prison|undercover,132,English,Germany,13000000,2002,4.6,1.85
Rob Riggle,Adventure|Comedy|Family|Romance,Unaccompanied Minors ,4431,airport|black comedy|blizzard|christmas|pennsylvania,56,English,USA,26000000,2006,5.1,2.35
Phoebe Cates,Drama,Bright Lights, Big City ,3067,estranged wife|fashion show|magazine|new york city|writer,37,English,USA,25000000,1988,5.6,1.85
Udo Kier,Adventure|Family|Fantasy|Musical,The Adventures of Pinocchio ,2465,based on novel|human becoming an animal|slow motion|transformation|young boy,22,Italian,UK,25000000,1996,5.3,2.35
Matthew Knight,Drama|History|Sport,The Greatest Game Ever Played ,1217,champion|golf tournament|golfer|nostalgia|orchestral music score,106,English,USA,,2005,7.5,1.85
Gillian Jacobs,Drama|Fantasy|Mystery|Thriller,The Box ,2466,alien|library|moral dilemma|nosebleed|supernatural power,376,English,USA,16000000,2009,5.6,2.35
Jonathan Tucker,Horror,The Ruins ,1749,bow and arrow|group of friends|horse|rifle|ruins,351,English,USA,8000000,2008,5.9,2.35
Rupert Everett,Comedy|Drama|Romance,The Next Best Thing ,2498,best friend|cartoon on tv|custody battle|gay|gay friend,162,English,USA,25000000,2000,4.7,1.85
Emily Meade,Horror|Mystery|Thriller,My Soul to Take ,2537,evil|killer|murder|psychopath|serial killer,136,English,USA,25000000,2010,4.8,2.35
Timothy Bottoms,Comedy|Drama|Romance,The Girl Next Door ,911,forced to strip|male rear nudity|porn actress|scantily clad female|teenager,513,English,USA,25000000,2004,6.8,1.85
Zach Grenier,Action|Crime|Mystery|Romance|Thriller,Maximum Risk ,1634,fbi|fbi agent|mafia|russian mafia|twin,68,English,USA,25000000,1996,5.4,2.35
Megan Mullally,Comedy|Crime,Stealing Harvard ,3065,black humor|crying during sex|harvard|humor|man with glasses,92,English,USA,25000000,2002,5.1,1.85
Paul Anderson,Biography|Crime|Drama|History|Thriller,Legend ,27659,1960s|based on a true story|gangster|identical twins|murder,174,English,UK,30000000,2015,7.0,2.35
Jorma Taccone,Comedy,Hot Rod ,2062,humiliation|man child|moped|neighbor|slacker,149,English,USA,,2007,6.7,2.35
Joel David Moore,Horror|Thriller,Shark Night 3D ,4952,lake|louisiana|redneck|shark|vacation,130,English,USA,25000000,2011,4.0,1.85
Devon Murray,Drama,Angela's Ashes ,1282,drink|ira|irish|limerick|prejudice,163,English,USA,25000000,1999,7.3,1.85
Chi McBride,Drama|Sport,Draft Day ,3757,cleveland browns|head coach|linebacker|nfl|team owner,113,English,USA,25000000,2014,6.8,2.35
Steve Railsback,Action|Horror|Sci-Fi|Thriller,Lifeforce ,1008,alien|halleys comet|life force|space vampire|vampire,189,English,UK,25000000,1985,6.1,2.35
Jennifer Hale,Action|Animation|Comedy|Family|Fantasy|Sci-Fi,The Powerpuff Girls             ,2346,campy|castle thunder|female hero|female protagonist|monster,60,English,USA,,,7.2,4.0
Tom Wilkinson,Crime|Drama|History,The Conspirator ,21163,john wilkes booth|lawyer|lincoln assassination|trial|truth,135,English,USA,25000000,2010,7.0,2.35
Michael Angarano,Biography|Drama|Sport,Lords of Dogtown ,16651,1970s|skateboarder|skateboarding|surf|swimming pool,194,English,USA,25000000,2005,7.1,1.85
James Brolin,Biography|Drama|History,The 33 ,2230,disaster movie|mine|minister|president|trapped in a mine,56,English,Chile,26000000,2015,6.9,2.35
Kate Burton,Action|Adventure|Comedy|Fantasy,Big Trouble in Little China ,896,1980s|airport|cb radio|truck|truck driver,331,English,USA,25000000,1986,7.3,2.35
Malonn Lévana,Comedy|Romance,A Perfect Plan ,210,curse|divorce|marriage|tourism|travel,11,French,France,17000000,2012,6.3,2.35
Frank Grillo,Drama|Sport,Warrior ,29692,alcoholic|mixed martial arts|return home|tournament|underdog,514,English,USA,25000000,2011,8.2,2.35
Liam Neeson,Biography|Drama|Thriller|War,Michael Collins ,48482,ireland|irish|irish civil war|irish free state|sinn fein,93,English,UK,28000000,1996,7.1,1.85
William Morgan Sheppard,Drama|History|War,Gettysburg ,2107,american civil war|battle|blood splatter|civil war|irish american,256,English,USA,25000000,1993,7.7,1.85
Channing Tatum,Drama|War,Stop-Loss ,43560,friendship|honor|iraq war|soldier|texas,99,English,USA,25000000,2008,6.5,1.85
Zooey Deschanel,Drama|Music|Mystery|Romance|Thriller,Abandon ,28987,college|detective|disappearance|police detective|thesis,157,English,USA,25000000,2002,4.9,2.35
Tom Amandes,Drama|Mystery|Thriller,Brokedown Palace ,582,bangkok|friend|lawyer|smuggling|thailand,187,English,USA,25000000,1999,6.4,2.35
Madison Davenport,Horror|Thriller,The Possession ,2348,basketball coach|box|jewish|rabbi|yard sale,162,English,USA,14000000,2012,5.9,2.35
Jane Krakowski,Comedy|Drama|Romance,Mrs. Winterbourne ,5023,love|train|train wreck|twin brother|two word title,50,English,USA,25000000,1996,6.2,1.85
Laz Alonso,Action|Drama|Thriller,Straw Dogs ,11431,gang rape|panties pulled down|rape|rape victim|sexual humiliation,140,English,USA,25000000,2011,5.8,2.35
Christopher Evan Welch,Comedy|Drama,The Hoax ,1134,book|fabrication|fake|hoax|manuscript,74,English,USA,25000000,2006,6.7,1.85
Sam McMurray,Action|Crime|Drama|Thriller,Stone Cold ,583,biker|biker gang|fbi|mississippi|undercover,62,English,USA,17000000,1991,5.9,1.85
Charlize Theron,Adventure|Drama,The Road ,23566,apocalypse|boy|food|pistol|survival,504,English,USA,25000000,2009,7.3,2.35
Donovan Scott,Adventure|Fantasy,Sheena ,611,chimpanzee|elephant|jungle|mercenary|shaman,52,English,UK,25000000,1984,4.8,2.35
Nick Cannon,Action|Comedy|Crime|Drama|Thriller,Underclassman ,2165,police|private school|shootout|undercover|wigger,26,English,USA,25000000,2005,4.1,2.35
Chris Klein,Comedy|Romance,Say It Isn't So ,2413,bestiality|brother sister incest|fisting|hit on the head with a pipe|wedding,91,English,USA,25000000,2001,4.9,1.85
Antony Starr,Biography|Drama|Sport,The World's Fastest Indian ,12574,mortgage|motorcycle|speed|trailer|utah,251,English,New Zealand,25000000,2005,7.9,2.35
Kenan Thompson,Action|Adventure|Crime|Drama|Thriller,Snakes on a Plane ,2603,baby rattle|famous line|murder|passenger|snake,1033,English,Germany,33000000,2006,5.6,2.35
Lori Petty,Action|Comedy|Sci-Fi,Tank Girl ,9662,2030s|21st century|desert|jet|tank,173,English,USA,25000000,1995,5.2,2.35
Loretta Devine,Comedy|Crime,King's Ransom ,4990,hit in the crotch|kidnapping|nail gun|police|release from prison,20,English,USA,15000000,2005,4.1,1.85
Joe Pingue,Drama|Mystery|Sci-Fi|Thriller,Blindness ,142,blindness|epidemic|hospital|pubic hair|quarantine,300,English,Canada,25000000,2008,6.6,1.85
Udo Kier,Action|Adventure|Fantasy|Horror,BloodRayne ,2930,escape|half human|king|vampire|vampire hunter,471,English,USA,25000000,2005,2.9,2.35
Christoph Waltz,Comedy|Drama,Carnage ,25143,based on play|meeting|salesman|single set production|whiskey,181,English,France,25000000,2011,7.2,2.35
Alison Lohman,Crime|Drama|Mystery|Thriller,Where the Truth Lies ,16090,breasts|death|female rear nudity|lesbian cunnilingus|rear entry sex,128,English,Canada,25000000,2005,6.5,2.35
Erica Linz,Fantasy,Cirque du Soleil: Worlds Away ,539,aerialist|circus|cirque du soleil|clown|surrealism,35,English,USA,,2012,6.8,
Monica Potter,Biography|Drama|Sport,Without Limits ,4351,car crash|coach|death|oregon|university of oregon,57,English,USA,25000000,1998,7.2,2.35
Aidan McArdle,Drama,Me and Orson Welles ,1591,high school|mercury theatre|opening night|school|theatre,69,English,UK,25000000,2008,6.8,2.35
Sean Buchanan,Crime|Drama|Mystery|Romance,The Best Offer ,5954,antique|art|heiress|older man younger woman relationship|plot twist,131,English,Italy,13500000,2013,7.8,2.35
Shea Whigham,Crime|Drama,Bad Lieutenant: Port of Call New Orleans ,13809,drugs|flood|hallucination|lieutenant|murder investigation,212,English,USA,20000000,2009,6.7,1.85
Jenny McCarthy,Adventure|Animation|Family,A Turtle's Tale: Sammy's Adventures ,3874,apostrophe in title|character name in title|punctuation in title|sea turtle,22,English,France,,2010,6.1,2.35
Benoît Magimel,Comedy|Drama,Little White Lies ,890,friend|restaurant|secret|unrequited love|vacation,48,French,France,25000000,2010,7.1,2.35
Bai Ling,Comedy|Drama|Romance|Sport,Love Ranch ,3204,argentine|brothel|cancer|female full frontal nudity|fight,17,English,USA,25000000,2010,5.7,1.78
André Wilms,Adventure|Animation|Comedy,The True Story of Puss'N Boots ,53,cartoon cat|cat|character name in title|puss in boots|surrealism,24,English,France,25000000,2009,2.9,
Evgeniy Mironov,Adventure|Animation|Comedy|Family,Space Dogs ,48,dog|flea|meteor|space|space dog,8,Russian,Russia,25000000,2010,5.2,
Brad Pitt,Crime|Drama|Thriller,The Counselor ,27797,cunnilingus|drug trafficking|lawyer|no panties|shootout,431,English,USA,25000000,2013,5.3,2.35
Mackenzie Crook,Action|Adventure|History|Romance,Ironclad ,3287,castle|england|king|knight|templar,103,English,UK,25000000,2011,6.2,2.35
Dan O'Herlihy,Action|Drama|History|War,Waterloo ,705,battle|costume drama|final battle|napoleon|napoleon bonaparte,76,English,Italy,25000000,1970,7.3,2.35
Charlie Yeung,Action|Drama,Kung Fu Killer ,285,fight|kung fu|martial arts|police|wire fu,26,Cantonese,China,25000000,2014,6.5,2.35
Mario Van Peebles,Action|Thriller,Red Sky ,2204,exploding airplane|fighter pilot|hands tied|held at gunpoint|military,11,English,USA,25000000,2014,4.1,
Peter Capaldi,Drama|Romance,Dangerous Liaisons ,35501,catholic|corruption|emotional abuse|france|seduction,143,English,USA,14000000,1988,7.7,1.85
Viggo Mortensen,Adventure|Drama,On the Road ,33747,benzedrine|cactus|drugs|poem|year 1949,128,English,France,25000000,2012,6.1,2.35
Nichelle Nichols,Adventure|Comedy|Sci-Fi,Star Trek IV: The Voyage Home ,15449,alien probe|humpback whales|probe|time travel|whale,219,English,USA,25000000,1986,7.3,2.35
Burt Young,Drama|Sport,Rocky Balboa ,15111,boxing|fight|heavyweight champion|restaurant|retired boxer,962,English,USA,24000000,2006,7.2,1.85
Edgar Ramírez,Action|Crime|Sport|Thriller,Point Break ,3962,athlete|extreme sports|fbi|fbi agent|heist,163,English,USA,105000000,2015,5.3,2.35
Jada Pinkett Smith,Horror|Mystery,Scream 2 ,2321,college|ghostface|killer|killing spree|murder,488,English,USA,24000000,1997,6.1,2.35
Noah Emmerich,Action|Drama|Western,Jane Got a Gun ,21414,brothel|death of husband|ex lover|haunted by the past|redemption,56,English,USA,25000000,2016,5.8,2.35
Regina Hall,Comedy|Romance,Think Like a Man Too ,4830,african american|imperative in title|las vegas nevada|nevada|wedding,38,English,USA,24000000,2014,5.7,2.35
Matthew Perry,Comedy|Crime,The Whole Nine Yards ,17582,adultery|black humor|dentist|hitman|sex in bed,318,English,USA,24000000,2000,6.7,1.85
Chris Penn,Drama|Music|Romance,Footloose ,1962,church|cowboy boots|dancing|high school dance|teenager,113,English,USA,8200000,1984,6.5,1.85
Leah Remini,Comedy,Old School ,10325,college|fraternity|friend|house|party,404,English,USA,24000000,2003,7.2,2.35
David Hyde Pierce,Comedy|Drama|Fantasy,The Fisher King ,12947,friendship|holy grail|massacre|redemption|video store,170,English,USA,24000000,1991,7.6,1.85
Mekhi Phifer,Horror|Mystery,I Still Know What You Did Last Summer ,49847,bahamas|fisherman|hook|island|roommate,418,English,USA,24000000,1998,4.6,2.35
Jim Belushi,Comedy|Drama|Romance,Return to Me ,3946,heart|italian restaurant|restaurant|transplant|waitress,275,English,USA,24000000,2000,6.9,1.85
Jeff Anderson,Comedy|Romance,Zack and Miri Make a Porno ,638,actor|friend|male frontal nudity|male full frontal nudity|penis,243,English,USA,24000000,2008,6.6,1.85
Pruitt Taylor Vince,Comedy|Crime|Drama,Nurse Betty ,12254,hospital|kansas city|obsession|salesman|soap opera,263,English,Germany,24000000,2000,6.3,2.35
Jeff Bridges,Comedy|War,The Men Who Stare at Goats ,32474,first person narration|general|hampster|reference to loch ness monster|reporter,268,English,USA,25000000,2009,6.2,2.35
Eddie Griffin,Action|Comedy|Crime|Thriller,Double Take ,2557,cia|cia agent|fbi|mexico|train,50,English,USA,24000000,2001,5.3,2.35
Clea DuVall,Biography|Drama,Girl, Interrupted ,13433,1960s|father daughter incest|mental hospital|suicide|suicide attempt,385,English,USA,24000000,1999,7.3,1.85
Gary Cole,Comedy|Romance,Win a Date with Tad Hamilton! ,4681,best friend|contest|date|small town|west virginia,140,English,USA,24000000,2004,5.6,2.35
F. Murray Abraham,Adventure|Comedy|Family|Fantasy|Music|Sci-Fi,Muppets from Space ,3243,alien|breakfast|escape|rat|ufo,100,English,USA,24000000,1999,6.2,1.85
Diana Ross,Adventure|Family|Fantasy|Music|Musical,The Wiz ,1458,melancholy|new york city|sadness|teacher|wizard,150,English,USA,24000000,1978,5.2,1.85
Ellen Albertini Dow,Comedy|Sport,Ready to Rumble ,4971,gay subtext|homoerotic fight|homoeroticism|homosexual subtext|wcw wrestling,101,English,USA,24000000,2000,5.3,1.85
Robert Wagner,Comedy|Drama|Sport,Play It to the Bone ,1523,boxing movie|friendship|highway travel|male rear nudity|road movie,59,English,USA,24000000,1999,5.4,2.35
Busy Philipps,Comedy|Romance,I Don't Know How She Does It ,5470,black comedy|delivery boy|dinner|gym|punishment,68,English,USA,24000000,2011,4.9,1.85
Kelly Brook,Comedy|Horror,Piranha 3D ,5737,bloody water|boat|party|piranha|spring break,374,English,USA,24000000,2010,5.5,2.35
Bob Hoskins,Biography|Drama|Music|Musical,Beyond the Sea ,23689,bobby darin|career|love|marriage|sandra dee,248,English,USA,23000000,2004,6.7,2.35
M.C. Gainey,Comedy|Family,Meet the Deedles ,24436,accidental kiss|eating a worm|park|worm|yellowstone national park,37,English,USA,24000000,1998,3.9,
Kenneth Williams,Action|Adventure|Animation|Comedy|Fantasy,The Princess and the Cobbler ,1088,cobbler|desert|gold|princess|thief,47,English,UK,28000000,1993,7.2,2.35
F. Murray Abraham,Drama|Romance,The Bridge of San Luis Rey ,23769,bridge|friar|inquisition|peru|rope bridge,50,English,UK,24000000,2004,5.1,1.85
Tom Berenger,Action|Crime|Drama|Thriller,Faster ,14699,gun|prison|reference to god|reference to jesus christ|vengeance,157,English,USA,24000000,2010,6.5,2.35
Blythe Danner,Adventure|Animation|Family|Fantasy,Howl's Moving Castle ,24263,anime|castle|demon|steampunk|witch,330,Japanese,Japan,24000000,2004,8.2,1.85
Bill Murray,Adventure|Comedy|Horror|Sci-Fi,Zombieland ,28011,amusement park|on the road|zombie|zombie apocalypse|zombie spoof,553,English,USA,23600000,2009,7.7,2.35
Thomas Kretschmann,Action|Adventure|Drama|Romance,King Kong ,7122,animal name in title|ape abducts a woman|gorilla|island|king kong,2618,English,New Zealand,207000000,2005,7.2,2.35
Clint Howard,Comedy|Sport,The Waterboy ,13823,coach|college|college football|domineering mother|football,300,English,USA,20000000,1998,6.1,1.85
Kenny Baker,Action|Adventure|Fantasy|Sci-Fi,Star Wars: Episode V - The Empire Strikes Back ,12643,duel|famous twist|rebel|rescue|snowy landscape,900,English,USA,18000000,1980,8.8,2.35
Tchéky Karyo,Action|Comedy|Crime|Drama|Thriller,Bad Boys ,11013,drugs|heroin|murder|police|witness,203,English,USA,19000000,1995,6.8,1.85
Priscilla Presley,Comedy|Crime,The Naked Gun 2½: The Smell of Fear ,3847,american president|evil industrialist|ex girlfriend|political leader|president,87,English,USA,23000000,1991,6.8,1.85
Brendan Fehr,Horror|Thriller,Final Destination ,3345,dead teenager|death|explosion|premonition|teenager,674,English,USA,23000000,2000,6.7,1.85
Philip Seymour Hoffman,Drama,The Ides of March ,57077,governor|intern|manager|ohio|politics,288,English,USA,12500000,2011,7.1,2.35
Radha Mitchell,Horror|Sci-Fi,Pitch Black ,16196,captain|darkness|eclipse|space|survival,805,English,USA,23000000,2000,7.1,2.35
Ellen Barkin,Comedy|Romance,Someone Like You... ,20798,apartment|girl in panties|roommate|thong panties|upskirt,167,English,USA,23000000,2001,6.1,1.85
Brian Johnson,Drama|Romance|Sci-Fi,Her ,19359,divorce|female frontal nudity|future|loneliness|operating system,748,English,USA,23000000,2013,8.0,1.85
Taron Egerton,Biography|Comedy|Drama|Sport,Eddie the Eagle ,21195,1988 winter olympics|coach|ski jumper|winter|winter olympics,119,English,UK,23000000,2016,7.5,2.35
Jessica Bowman,Mystery|Thriller,Joy Ride ,23242,embarrassing male nudity|embarrassing nudity|male nudity|truck|truck driver,339,English,USA,23000000,2001,6.6,2.35
Keeley Hawes,Adventure|Family|Fantasy,The Adventurer: The Curse of the Midas Box ,2450,based on novel|drowning|hanging from a flagpole|hanging from a rope|magic,32,English,UK,25000000,2013,5.4,2.35
Eva Amurri Martino,Comedy|Drama,Anywhere But Here ,22040,family relationships|female protagonist|nubile woman|policeman|teenager,103,English,USA,23000000,1999,6.1,2.35
Stark Sands,Comedy|Romance,Chasing Liberty ,829,first daughter|photographer|prague|president|secret service agent,129,English,USA,23000000,2004,6.1,2.35
Dan Hedaya,Comedy|Crime,The Crew ,1509,beach|drug lord|drugs|hotel|stripper,47,English,USA,23000000,2000,5.6,1.85
Michael Fassbender,Action|Thriller,Haywire ,31187,die hard scenario|one woman army|rescue|soldier|super soldier,397,English,Ireland,23000000,2011,5.8,2.35
Mario Van Peebles,Adventure|Horror|Thriller,Jaws: The Revenge ,2355,banana boat|boat|christmas|sea|shark,383,English,USA,23000000,1987,2.8,2.35
Robert De Niro,Drama,Marvin's Room ,63194,house|leukemia|mental institution|nursing home|transplant,71,English,USA,23000000,1996,6.7,1.85
Dash Mihok,Biography|Comedy|Drama|Family|Sport,The Longshots ,2453,absent father|american football|based on true story|middle school,19,English,USA,23000000,2008,5.1,2.35
Ian Hart,Drama|Romance,The End of the Affair ,672,breasts|jealousy|obsession|sex scene|spiritual,165,English,UK,23000000,1999,7.2,1.85
Tia Carrere,Action|Crime|Drama|Thriller|Western,Harley Davidson and the Marlboro Man ,3671,bar|biker|cowboy|drugs|marlboro,81,English,USA,23000000,1991,6.0,1.85
Charlize Theron,Crime|Drama|Mystery|Thriller,In the Valley of Elah ,24248,detective|iraq|military|murder investigation|police,224,English,USA,,2007,7.2,2.35
Benoît Poelvoorde,Biography|Drama,Coco Before Chanel ,735,baron|fashion|hat|nickname|orphanage,65,French,France,19430000,2009,6.7,2.35
Landon Liboiron,Drama|Western,Forsaken ,4142,,49,English,Canada,11000000,2015,6.3,2.35
Iben Hjejle,Comedy|Drama|Romance,Chéri ,365,age difference|courtesan|mansion|marriage|prostitute,43,English,UK,23000000,2009,6.2,2.35
Sarah Carter,Action|Crime|Drama|Thriller,Rogue             ,3276,cheating wife|extramarital affair|female lead|undercover|unfaithfulness,23,English,USA,,,6.8,
Roger Lloyd Pack,Drama,Vanity Fair ,1618,aristocrat|english|painter|painting|singer,148,English,USA,23000000,2004,6.2,2.35
Simon Yam,Action|Drama|History,Bodyguards and Assassins ,1059,giant|hong kong|hook and chain|knife fight|martial artist,33,Mandarin,China,23000000,2009,6.9,2.35
Kim Thomson,Fantasy|Horror,1408 ,214,book|debunking|evil|hotel|paranormal phenomena,580,English,USA,25000000,2007,6.8,2.35
Dick Van Patten,Adventure|Comedy|Sci-Fi,Spaceballs ,2936,parody|planet enclosed within shield|sci fi spoof|self referential|winnebago,273,English,USA,22700000,1987,7.1,1.85
Ryan Corr,Drama|War,The Water Diviner ,1795,australian|battle|battle of gallipoli|gallipoli|world war one,185,English,Australia,22500000,2014,7.1,2.35
Tony Goldwyn,Drama|Fantasy|Romance|Thriller,Ghost ,3100,death|film blanc|invisibility|love|unrequited love,252,English,USA,22000000,1990,7.0,1.85
Lin Shaye,Comedy|Romance,There's Something About Mary ,4664,accident|curtain call|dream girl|high school|prom,611,English,USA,23000000,1998,7.1,1.85
Eric Lloyd,Comedy|Drama|Family|Fantasy,The Santa Clause ,2790,1990s|christmas|christmas eve|sleigh|surrealism,111,English,USA,22000000,1994,6.4,1.85
Jay Hernandez,Drama|Family|Sport,The Rookie ,6657,baseball|coach|high school|pitching|texas,174,English,USA,20000000,2002,7.0,2.35
Kyra Sedgwick,Comedy|Family|Sport,The Game Plan ,15170,family relationships|football movie|publicist|sports team|tween girl,83,English,USA,22000000,2007,6.2,2.35
Meryl Streep,Drama|Romance,The Bridges of Madison County ,27237,1960s|bridge|housewife|love|photographer,192,English,USA,35000000,1995,7.5,1.85
Michael Papajohn,Comedy|Sci-Fi,The Animal ,1203,camera focus on a female butt|cartoon on tv|forest|hairy buttocks|seal the animal,132,English,USA,22000000,2001,4.8,1.85
Amrish Puri,Biography|Drama|History,Gandhi ,1943,british|india|indian|muslim|pakistan,256,English,UK,22000000,1982,8.1,2.35
Charlotte Le Bon,Comedy|Drama,The Hundred-Foot Journey ,1484,chef|haute cuisine|indian cuisine|michelin guide|restaurant,185,English,USA,22000000,2014,7.3,2.35
Jeremy Northam,Action|Crime|Drama|Mystery|Thriller,The Net ,1725,chat room|computer|computer hacker|identity|identity theft,166,English,USA,22000000,1995,5.8,1.85
Loretta Devine,Drama,I Am Sam ,3152,child custody|custody battle|disability|mentally impaired man|single father,431,English,USA,22000000,2001,7.6,1.85
Amber Rose Revah,Biography|Drama|History,Son of God ,775,bare chested male bondage|crucifixion|loincloth|reference to god|resurrection,174,English,USA,22000000,2014,5.6,2.35
Kevin Grevioux,Action|Fantasy|Thriller,Underworld ,1777,blood|death|hybrid|vampire|werewolf,806,English,UK,22000000,2003,7.0,2.35
RZA,Drama|Thriller,Derailed ,2019,drink|hotel|police|staged rape|thief,375,English,USA,22000000,2005,6.6,2.35
Joel McHale,Comedy|Crime|Drama|Thriller,The Informant! ,16031,compulsive liar|fbi|informant|investigation|spy,175,English,USA,21000000,2009,6.5,1.85
James Frain,Biography|Drama|Romance,Shadowlands ,13619,author|book|england|friend|oxford,87,English,UK,22000000,1993,7.4,2.35
Eddie Griffin,Comedy,Deuce Bigalow: European Gigolo ,1729,dolphin|gigolo|pimp|serial killer|villain arrested,166,English,USA,22000000,2005,4.6,1.85
Bobby Moynihan,Comedy|Drama,Delivery Man ,1006,children|identity|lawsuit|lawyer|sperm donor,95,English,USA,26000000,2013,6.4,2.35
Spencer Wilding,Drama|Horror|Sci-Fi|Thriller,Victor Frankenstein ,12876,assistant|experiment|frankenstein|medical student|scientist,91,English,USA,40000000,2015,6.0,2.35
Pawel Szajda,Thriller,Our Kind of Traitor ,540,based on novel|male frontal nudity|male nudity|male rear nudity,21,English,UK,,2016,6.4,2.35
Neil Diamond,Comedy|Crime|Romance,Saving Silverman ,664,female nudity|friend|kidnapping|love|nun,201,English,USA,22000000,2001,5.9,1.85
Rachael Harris,Comedy|Family,Diary of a Wimpy Kid: Dog Days ,3153,best friend|camping|country club|no opening credits|summer vacation,35,English,USA,22000000,2012,6.4,2.35
Jennifer Esposito,Crime|Drama|Romance|Thriller,Summer of Sam ,5386,distrust|fear|murder|neighborhood|new york city,354,English,USA,22000000,1999,6.6,1.85
Shannon Elizabeth,Comedy,Jay and Silent Bob Strike Back ,11632,internet|jay and silent bob|new jersey|orangutan|police,867,English,USA,22000000,2001,6.9,2.35
Steve Buscemi,Action|Adventure|Romance|Sci-Fi|Thriller,The Island ,34838,clone|environment|escape|island|lottery,899,English,USA,126000000,2005,6.9,2.35
Bruce Dern,Crime|Drama|Mystery|Thriller,The Glass House ,4239,car|car accident|death|friend|glass,200,English,USA,30000000,2001,5.8,2.35
Channing Tatum,Comedy|Mystery,Hail, Caesar! ,38494,50s|film within a film|hollywood|illegitimate pregnancy|twins,302,English,UK,22000000,2016,6.4,1.85
Paulo Costanzo,Comedy|Music,Josie and the Pussycats ,3769,based on tv series|fictional band|girl band|music industry|pop band,242,English,Canada,22000000,2001,5.3,1.85
James Franco,Action|Crime|Drama|Thriller,Homefront ,39989,biker|biker gang|dea|dea agent|fight,154,English,USA,22000000,2013,6.5,2.35
Jim Carter,Adventure|Comedy|Family|Fantasy,The Little Vampire ,2216,boy|pushed off a cliff|rat|secret passage|vampire,38,English,Germany,22000000,2000,5.7,1.85
Lily Tomlin,Comedy,I Heart Huckabees ,8094,coincidence|cult film|overalls|suburb|vomiting,381,English,USA,22000000,2004,6.7,2.35
Rip Torn,Action|Crime|Sci-Fi|Thriller,RoboCop 3 ,3148,android|corporation|ninja|police|robocop,180,English,USA,23500000,1993,3.9,1.85
Udo Kier,Action|Adventure|Fantasy|Sci-Fi|Thriller,Megiddo: The Omega Code 2 ,4221,armageddon|battle|end times|reference to satan|sequel,111,English,USA,22000000,2001,4.1,1.85
Vernon Dobtcheff,Comedy|Drama|Musical|Romance|War,Darling Lili ,788,crepe suzette|french|mata hari spoof|song|spy,50,English,USA,25000000,1970,6.2,2.35
Alex Rocco,Comedy|Family|Romance,Dudley Do-Right ,5568,gold|gold rush|mirror|police officer|singer,77,English,USA,22000000,1999,3.8,2.35
