director_name,duration,director_facebook_likes,actor_3_facebook_likes,movie_title,num_voted_users,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,content_rating,budget,title_year,movie_facebook_likes
Tommy Oliver,90,66,734,1982 ,122,Quinton Aaron,4,number in title|semi autobiographical,3,English,R,1000000,2013,181
Jamie Travis,88,15,567,For a Good Time, Call... ,13421,Nia Vardalos,0,friend|friendship|gay|phone sex|sex,34,English,R,850000,2012,0
Lee Toland Krieger,92,43,172,Celeste & Jesse Forever ,24391,Rob Huebel,2,best friends|friendship|masturbation|reference to matthias steiner|single,61,English,R,,2012,0
Rich Christiano,95,14,221,Time Changer ,1742,Hal Linden,1,bible|christian propaganda|christianity|time machine|zealot,158,English,PG,825000,2002,409
Paul Andrew Williams,85,46,141,London to Brighton ,7308,Georgia Groome,0,bathroom|chase|girl|pimp|toilet,72,English,R,500000,2006,933
Nick Love,86,63,175,American Hero ,2706,Michelle Tabora,2,father son relationship|female nudity|mother daughter relationship|reconciliation|superhero,23,English,,990000,2015,549
Natalie Bible',90,8,487,Windsor Drive ,169,Matt Cohen,1,,6,English,,100000,2015,312
Asghar Farhadi,123,0,620,A Separation ,151812,Peyman Moaadi,2,alzheimer's disease|caregiver|divorce|iran|iranian,264,Persian,PG-13,500000,2011,48000
Justin Molotnikov,93,5,10,Crying with Laughter ,190,Joe Cassidy,1,cocaine|edinburgh scotland|stand up comedian,6,English,,,2009,33
Todd Solondz,88,377,236,Welcome to the Dollhouse ,26513,Christina Vidal,1,bully|first crush|school|social outcast|taunting,174,English,R,800000,1995,0
Victor Nunez,114,9,86,Ruby in Paradise ,2039,Dorothy Lyman,1,desire|florida|identity|resort town|sales,28,English,R,800000,1993,81
Peter Sollett,88,6,68,Raising Victor Vargas ,4743,Judy Marte,1,based on short film|manhattan new york city|urination|vomiting|watching television,135,English,R,800000,2002,219
Georg Wilhelm Pabst,110,21,3,Pandora's Box ,7431,Fritz Kortner,1,escape|femme fatale|german expressionism|lust|violence,84,German,Not Rated,,1929,926
Daniel Davila,95,0,167,Harrison Montgomery ,59,Diane Baker,2,abusive relationship|character name in title|magic|san francisco california|tenderloin san francisco,1,English,,850000,2008,18
Jorge Gaggero,83,0,0,Live-In Maid ,772,Claudia Lapacó,0,buenos aires argentina|economics|housekeeper|maid|servant,11,Spanish,Unrated,800000,2004,83
Rod Lurie,104,37,501,Deterrence ,2256,Timothy Hutton,0,colorado|diner|iraq|nuclear missile|president,79,English,R,800000,1999,130
Michael Burke,94,3,181,The Mudge Boy ,3480,Ryan Donowho,1,death|farm|fur coat|grief|misfit,30,English,R,800000,2003,396
Catherine Jelski,87,0,258,The Young Unknowns ,122,Arly Jover,0,based on play|independent film,3,English,R,,2000,4
Shane Dawson,93,247,152,Not Cool ,4167,Cherami Leigh,4,,72,English,Not Rated,600000,2014,0
Tommy Wirkola,91,75,13,Dead Snow ,54601,Ane Dahl Torp,0,medical student|nazi|snow|snowmobile|zombie,200,Norwegian,Not Rated,800000,2009,23000
Ryan Little,90,38,69,Saints and Soldiers ,17725,Kirby Heyborne,0,ardennes forest|battle of the bulge|behind enemy lines|winter|world war two in belgium,157,English,PG-13,780000,2003,1000
Clark Baker,14,0,37,Vessel ,292,Whit Spurgeon,1,alien|flight attendant|monster|pilot|tentacle,3,English,,,2012,14
George Lucas,112,0,425,American Graffiti ,63839,Mackenzie Phillips,1,california|car|drag racing|high school|rock 'n' roll,238,English,PG,777000,1973,0
Robert Greenwald,75,21,0,Iraq for Sale: The War Profiteers ,1477,Donna Zovko,0,american politics|armed forces|political corruption|shady|war profiteer,24,English,,750000,2006,274
Matt Maiellaro,86,8,357,Aqua Teen Hunger Force Colon Movie Film for Theaters ,12160,Chris Kattan,0,based on cult tv series|critically acclaimed|exercise machine|midnight movie|robot,73,English,R,750000,2007,307
Colin Trevorrow,86,365,522,Safety Not Guaranteed ,101287,Jeff Garlin,0,classified ad|intern|magazine|time machine|time travel,260,English,R,750000,2012,31000
Leslie Small,89,15,95,Kevin Hart: Laugh at My Pain ,3543,Jeanette Branch,1,stand up comedy,8,English,R,,2011,614
Ben Wheatley,95,214,246,Kill List ,25750,Neil Maskell,0,female full frontal nudity|hitman|knee breaking|male full frontal nudity|sniper,209,English,Not Rated,500000,2011,0
Ti West,101,243,74,The Innkeepers ,27260,Pat Healy,0,bathtub|dead body in a bathtub|dead body in bathtub|hotel|inn,247,English,R,750000,2011,0
David S. Goyer,89,687,389,The Unborn ,42183,Rachel Brosnahan,1,babysitting|experiment|nightmare|possession|twin,230,English,PG-13,16000000,2009,0
Bernardo Bertolucci,106,973,48,The Conformist ,17813,Dominique Sanda,1,fascist|gun|italy|nudity|sexuality,101,Italian,R,750000,1970,0
Neil Burger,88,168,21,Interview with the Assassin ,1661,Renee Faia,0,conspiracy theory|kennedy assassination|mock documentary|paranoia,31,English,R,750000,2002,163
Oliver Blackburn,99,4,201,Donkey Punch ,9376,Tom Burke,0,male frontal nudity|male nudity|male pubic hair|male rear nudity|spain,74,English,R,900000,2008,0
Jonathan Levine,90,129,280,All the Boys Love Mandy Lane ,25951,Whitney Able,1,drugs|female nudity|party|voyeur|voyeurism,129,English,R,750000,2006,2000
Christopher Hutson,95,3,118,Bled ,851,Michele Morrow,0,artist|blood|drug|tree sap|vampire,30,English,R,750000,2009,128
Fred Zinnemann,85,160,433,High Noon ,80193,Lon Chaney Jr.,0,appeasement|frontier justice|justice|one against many|street shootout,333,English,PG,750000,1952,3000
Steve James,170,23,2,Hoop Dreams ,18980,Isiah Thomas,0,athlete|basketball|high school|high school student|school,74,English,PG-13,700000,1994,0
David LaChapelle,86,30,14,Rize ,2877,Tommy the Clown,0,clown|clowning|dance|gang|south central los angeles,46,English,PG-13,,2005,903
Joseph Kosinski,,364,567,Destiny ,3089,Erick Avari,0,first person shooter,11,English,,,2014,1000
Michael Cuesta,97,52,36,L.I.E. ,8509,Walter Masterson,1,ephebophile|pederasty|pedophilia|playing hooky|shaving,109,English,NC-17,700000,2001,420
Caryn Waechter,104,0,195,The Sisterhood of Night ,1354,Louis Ozawa Changchien,,accused of witchcraft|based on short story,17,English,PG-13,1000000,2014,523
Emily Dell,88,0,311,B-Girl ,551,Drew Sidora,0,brooklyn new york city|los angeles california|teacher|trauma|violence,10,English,PG-13,,2009,303
Peter Jackson,201,0,84,King Kong ,316027,Evan Parke,0,animal name in title|ape abducts a woman|gorilla|island|king kong,2618,English,PG-13,207000000,2005,0
Jaume Collet-Serra,108,174,324,House of Wax ,94463,Brian Van Holt,0,brother sister relationship|group of friends|male nudity|twin|wax,576,English,R,30000000,2005,0
Ryan Fleck,106,31,71,Half Nelson ,70885,Jeff Lima,2,bathroom|classroom|dialectics|drugs|student,189,English,R,700000,2006,0
Jennifer Wynne Farmer,107,0,236,Naturally Native ,103,Max Gail,4,cosmetics|female protagonist|native american|native american protagonist|sister sister relationship,6,English,PG-13,700000,1998,102
Christopher Scott Cherot,84,21,48,Hav Plenty ,819,Chenoa Maxwell,2,friend|new year's eve|screwball|self discovery|social differences,36,English,R,650000,1997,161
H.M. Coakley,91,0,137,Adulterers ,514,Danielle Savre,3,cheating husband|female nudity|male nudity|male rear nudity|revenge,1,English,,750000,2015,158
Randy Moore,90,13,432,Escape from Tomorrow ,7384,Amy Lucas,0,diarrhea|female nudity|middle aged man|sex scene|sexy nurse,79,English,Not Rated,,2013,0
Chris Atkins,103,2,442,Starsuckers ,474,Elton John,0,celebrity|consumerism|fashion|media manipulation,8,English,,400000,2009,203
Bill Benenson,71,0,21,The Hadza: Last of the First ,5,Jane Goodall,1,east africa|hunter gatherer|indigenous|rift valley|swahili,1,English,,650000,2014,5
Ryan Smith,90,4,258,After ,3699,Karolina Wydra,0,coma|crash,27,English,PG-13,650000,2012,1000
Travis Romero,67,4,2000,Treachery ,344,Michael Biehn,5,panties|white panties,5,English,,625000,2013,0
Anna Mastro,94,7,912,Walter ,1432,Virginia Madsen,2,based on short film|based on short story,19,English,,700000,2015,0
Mark Sandrich,81,10,23,Top Hat ,13269,Eric Blore,2,dance|dancer|dancing|horse|tap dancing,98,English,Approved,609000,1935,1000
Daniel Myrick,81,19,39,The Blair Witch Project ,186786,Michael C. Williams,0,found footage|looking at the camera|lost in the woods|maryland|screaming in horror,3400,English,R,60000,1999,0
Michael Wadleigh,215,14,136,Woodstock ,12631,Joan Baez,0,drugs|hippie|music festival|the who|woodstock,63,English,R,600000,1970,0
John Landis,83,644,11,The Kentucky Fried Movie ,13915,Tara Strohmeier,0,fake commercial|fake newscast|fake trailer|parody|spoof,109,English,R,650000,1977,0
Jon Gunn,106,16,254,Mercy Streets ,448,Cynthia Watros,1,church|cigarette smoking|deacon|twin brother|twins,16,English,PG-13,600000,2000,12
Gene Teigland,103,0,20,Arnolds Park ,94,Tac Fitzgerald,4,,4,English,PG-13,600000,2007,11
Scott Ziehl,90,4,218,Broken Vessels ,531,Brent David Fraser,0,independent film|katana sword|los angeles storm drain,19,English,R,600000,1998,51
Richard Montoya,88,12,359,Water & Power ,85,Exie Booker,0,,,English,Not Rated,,2013,358
Johanna Schwartz,105,0,0,They Will Have to Kill Us First ,74,Khaira Arby,3,,2,French,,400000,2015,34
William Gazecki,115,3,0,Crop Circles: Quest for Truth ,204,Francine Blake,0,crop circle|intelligence|paranormal|phenomenon|universe,13,English,,750000,2002,32
Lance McDaniel,90,0,271,Light from the Darkroom ,6,Lymari Nadal,0,china|faith|panama|photography|suspense,1,English,PG-13,600000,2014,9
Thomas Lilti,102,12,2,Irreplaceable ,389,Marianne Denicourt,2,doctor|hospital|mayor|no opening credits|title at the end,1,French,,,2016,36
Michael Walker,98,5,233,The Maid's Room ,719,John Brodsky,0,,9,English,,600000,2013,128
Richard Lester,87,44,704,A Hard Day's Night ,31429,George Harrison,1,boy|concert|drummer|manager|television,219,English,Approved,560000,1964,0
U. Roberto Romano,80,6,,The Harvest/La Cosecha ,57,,0,child labor|education|hispanic|labor|migration,2,English,,560000,2011,88
Amy Holden Jones,88,11,221,Love Letters ,487,Amy Madigan,1,1980s|affair|female protagonist|radio|woman wearing only a man's shirt,9,English,R,550000,1983,7
Blaz Zavrsnik,83,0,0,Julija in alfa Romeo ,86,Andrej Nahtigal,6,,2,Slovenian,,500000,2015,18
Alex Kendrick,122,589,150,Fireproof ,17068,Erin Bethea,0,christian film|dare|firefighter|internet pornography|marriage,215,English,PG,500000,2008,0
Pan Nalin,115,95,0,Faith Connections ,113,Shriman Umeshanad Brahmachari,1,faith|ganja|kumbh mela|little boy|orphan,3,Hindi,,550000,2013,126
Joe Camp,86,24,142,Benji ,3411,Edgar Buchanan,0,animal abuse|cat|dog|dog movie|tween girl,36,English,G,500000,1974,816
Chris Kentis,79,9,7,Open Water ,42256,Daniel Travis,1,bare chested male|female full frontal nudity|hairy chest|male full frontal nudity|nude with glasses,916,English,R,500000,2003,0
Matt Walsh,87,490,201,High Road ,1305,Abby Elliott,6,,3,English,R,,2011,244
John 'Bud' Cardos,97,8,22,Kingdom of the Spiders ,3274,Tiffany Bolling,0,death|farm|hotel|spider|tarantula,84,English,PG,500000,1977,0
Marilyn Agrelo,105,2,0,Mad Hot Ballroom ,3156,Paul Daggett,2,ballroom dancing|new york city|poise|self confidence|teacher,65,English,PG,,2005,588
Tom McCarthy,89,310,587,The Station Agent ,58260,Paula Garcés,0,abandoned|depot|dwarf|newfoundland new jersey|train,286,English,R,500000,2003,0
Brian Baugh,120,3,234,To Save a Life ,4583,D. David Morin,1,basketball|beer pong|childhood friend|christian|suicide,55,English,PG-13,1000000,2009,0
Patrick Creadon,94,3,2,Wordplay ,3394,Bob Dole,0,comedian|crossword puzzle|editor|new york times|puzzle,43,English,PG,,2006,694
Barry W. Blaustein,108,6,43,Beyond the Mat ,6790,Mick Foley,3,championship|drugs|three word title|wrestler|wrestling,80,English,R,500000,1999,491
Kurt Hale,102,0,15,The Singles Ward ,1099,Daryn Tufts,0,church|love|marriage|mormon|single,53,English,PG,500000,2002,43
Siddiq Barmak,83,6,0,Osama ,7559,Mohamad Haref Harati,1,boy|girl|hair|school|taliban,77,Dari,PG-13,46000,2003,0
Joseph Dorman,93,0,59,Sholem Aleichem: Laughing in the Darkness ,154,Jason Kravits,1,jewish identity,5,English,Unrated,500000,2011,287
Greg Harrison,86,7,17,Groove ,3562,Denny Kirkwood,0,dj|ecstasy the drug|rave|raver|warehouse,74,English,R,500000,2000,0
Kurt Hale,101,0,17,The R.M. ,651,Curt Doussett,0,latter day saints|missionary|pickup truck|police|video camera,34,English,PG,500000,2003,44
Michael Polish,111,35,482,Twin Falls Idaho ,3479,Jon Gries,0,conjoined twins|independent film|low budget film|separation|twin,87,English,R,500000,1999,180
Jacob Aaron Estes,90,9,595,Mean Creek ,26407,Trevor Morgan,0,boat|bully|dare|friend|river,154,English,R,500000,2004,1000
Morgan J. Freeman,86,204,474,Hurricane Streets ,1038,Lynn Cohen,3,gang|new mexico|prison|smuggling|theft,21,English,R,500000,1997,51
Eric Schaeffer,98,71,658,Never Again ,709,Michael McKean,1,bar|gay bar|love|mother son relationship|new york,34,English,R,500000,2001,139
Neema Barnette,91,21,469,Civil Brand ,553,Clifton Powell,3,abuse of power|friendship|prison|prison guard|title directed by female,24,English,R,500000,2002,86
Steve Buscemi,91,12000,213,Lonesome Jim ,6884,Mary Kay Place,0,bail|coma|dart board|indiana|ladder factory,53,English,R,500000,2005,238
Joe Swanberg,90,217,243,Drinking Buddies ,45928,Ti West,5,brewery|co worker|male female friendship|u haul truck|woman wearing a string bikini,106,English,R,,2013,0
Molly Bernstein,88,0,49,Deceptive Practice: The Mysteries and Mentors of Ricky Jay ,774,Dick Cavett,0,stage magician,7,English,,500000,2012,590
Akira Kurosawa,202,0,4,Seven Samurai ,229012,Kamatari Fujiwara,6,16th century|battle|japan|practice|samurai,596,Japanese,Unrated,2000000,1954,11000
Marius A. Markevicius,89,6,8,The Other Dream Team ,3086,Mickey Hart,1,basketball|basketball team|grateful dead|lithuanian|olympics,9,English,Not Rated,500000,2012,0
Tom DiCillo,97,32,329,Johnny Suede ,3013,Nick Cave,0,idol|musician|vomiting|watching television|wyoming,24,English,R,500000,1991,344
Justin Lin,84,681,143,Finishing the Game: The Search for a New Bruce Lee ,1656,Joe McQueen,0,bruce lee|jeet kune do|karate|satire|spoof,12,English,Not Rated,500000,2007,155
Quentin Dupieux,82,248,196,Rubber ,26185,Cecelia Antoinette,0,desert|dump|show|spectator|tire,170,English,R,500000,2010,46000
Tim Johnson,94,12,183,Home ,70136,April Winchell,0,alien friendship|alien invasion|australia|flying car|mother daughter relationship,214,English,PG,135000000,2015,26000
C. Jay Cox,100,6,325,Kiss the Bride ,1358,Garrett M. Brown,3,best friend|high school|love|secret|wedding,10,English,R,500000,2007,60
Alex Smith,112,12,699,The Slaughter Rule ,2004,Eddie Spears,2,cheerleader|father son relationship|football coach|loss of father|mother son relationship,32,English,R,500000,2002,183
Gareth Edwards,94,380,113,Monsters ,75669,Ricky Catter,0,alien|alien invasion|destroyed building|destruction|mexico,451,English,R,500000,2010,19000
Jonathan Parker,87,0,347,The Californians ,299,Illeana Douglas,3,based on novel,11,English,PG,,2005,29
Sol Tryon,91,0,170,The Living Wake ,739,Matthew Cowles,2,artist|black comedy,10,English,PG-13,500000,2007,339
Alex Craig Mann,87,38,445,Detention of the Dead ,2038,Max Adler,6,based on play|blood|independent film|teenager|zombie,20,English,Not Rated,500000,2012,898
Hao Ning,98,0,0,Crazy Stone ,2097,Zhonghua Chen,1,bankruptcy|crystal|father son relationship|heist|shower,9,Mandarin,,3000000,2006,23
Stephen Kijak,95,3,25,Scott Walker: 30 Century Man ,1006,Damon Albarn,0,avant garde|british pop|character name in title|musician|number in title,11,English,,500000,2006,808
Marc Forster,87,395,637,Everything Put Together ,601,Megan Mullally,0,group of friends|mental breakdown|mental instability|morgue|sudden infant death syndrome,10,English,R,100000,2000,22
Andrew Niccol,102,487,118,Good Kill ,15756,Stafford Douglas,0,cigarette butt|drone|funeral procession|nellis air force base|taliban,68,English,R,,2014,0
Daston Kalili,127,2,0,Insomnia Manica ,16,Chin-Chien Chang,0,,3,English,,500000,2005,0
William Gazecki,96,3,205,The Outrageous Sophie Tucker ,38,Tony Bennett,1,,3,English,,500000,2014,16
Ol Parker,103,21,680,Now Is Good ,26863,Paddy Considine,3,death|dying|leukemia|teenage girl|terminal illness,54,English,PG-13,,2012,0
Michael Hoffman Jr.,104,32,238,Girls Gone Dead ,2012,Al Sapienza,2,mini skirt|party|spring break|voyeur|war hammer,28,English,R,500000,2012,0
Patrick Gilles,90,0,569,America Is Still the Place ,22,Mike Colter,0,,,English,,,2015,337
Georgia Hilton,122,406,152,Subconscious ,292,Tom Stedham,0,military|submarine|suspense|time travel|world war two,16,English,R,,2015,353
Tamra Davis,93,33,135,Crossroads ,34219,Dave Allen,1,audition|friendship|graduation|high school graduation|love,578,English,PG-13,12000000,2002,0
Jack Heller,90,0,120,Enter Nowhere ,5025,Christopher Denham,3,cabin|going in circles|pac man|stranger|woods,45,English,R,500000,2011,701
Fernando Baez Mella,101,0,15,The King of Najayo ,197,Claudette Lalí,1,,1,Spanish,R,500000,2012,126
Warren Sheppard,94,0,212,Fight to the Finish ,60,Vincent De Paul,0,fighting|karate,2,English,PG-13,150000,2016,381
Darren Lynn Bousman,97,163,303,Alleluia! The Devil's Carnival ,259,Terrance Zdunich,5,carnival|devil|redemption|reference to god,20,English,,500000,2016,707
Justin Paul Miller,90,0,33,The Sound and the Shadow ,30,Felix Avitia,0,,1,English,R,,2014,70
Joel Paul Reisig,108,431,317,Rodeo Girl ,62,Yassie Hawkes,2,,4,English,PG,500000,2016,0
Catherine Gund,82,0,0,Born to Fly: Elizabeth Streb vs. Gravity ,40,Laura Flanders,1,three word title,10,English,,500000,2014,44
Luke Dye,84,0,53,The Little Ponderosa Zoo ,15,Jamison Stalsworth,2,,1,English,,500000,2016,9
Sam Raimi,130,0,11000,Oz the Great and Powerful ,175413,James Franco,4,circus|magic|magician|oz|witch,511,English,PG,215000000,2013,60000
Michael Herz,91,6,10,The Toxic Avenger ,19253,Pat Ryan,0,boy|health club|superhero|toxic waste|troma,147,English,Unrated,475000,1984,0
Matty Rich,91,10,10,Straight Out of Brooklyn ,475,Matty Rich,4,domestic violence|housing project|new york city|poverty|racism,11,English,R,450000,1991,123
Paul Greengrass,107,521,80,Bloody Sunday ,19732,Tim Pigott-Smith,0,civil rights|irish|march|northern ireland|protest march,120,English,R,2000000,2002,0
Alec Asten,82,5,237,Diamond Ruff ,53,Fredro Starr,6,prison|prisoner|reverend|terminal illness|two word title,5,English,R,500000,2015,62
Hans Canosa,84,3,446,Conversations with Other Women ,10143,Nora Zehetner,0,female frontal nudity|filming a wedding|lingerie slip|memory|wedding,54,English,R,450000,2005,0
Lloyd Kaufman,103,365,49,Poultrygeist: Night of the Chicken Dead ,5931,Kate Graham,0,castration|chicken|fast food|indian burial ground|protest,58,English,Unrated,500000,2006,0
Matthew Watts,86,0,304,Mutual Friends ,64,Michael Stahl-David,1,bromance|manhattan new york city|new york city|photograph|surprise,3,English,,450000,2013,31
Lloyd Bacon,89,24,45,42nd Street ,7921,George Brent,2,chorus girl|chorus line|director|gala premiere|song,97,English,Unrated,439000,1933,439
Joe Kenemore,52,0,0,Rise of the Entrepreneur: The Search for a Better Way ,78,Eric Worre,0,business|entrepreneur|network marketing,10,English,G,450000,2014,460
Whit Stillman,98,89,3,Metropolitan ,7143,Ellia Thompson,1,apartment|dancing|debutante|new york|upper class,52,English,PG-13,225000,1990,865
Kay Pollak,133,10,19,As It Is in Heaven ,13543,Nils-Anders Vallgårda,15,amazing grace the hymn|choir|heart attack|hometown|skidding truck,94,Swedish,,25000000,2004,0
Eric England,81,15,93,Roadside ,268,Alan Pietruszewski,0,dog|gun|hostage|husband wife relationship|jealousy,6,English,,,2013,61
Jared Hess,92,100,482,Napoleon Dynamite ,161448,Jon Gries,0,class president|family relationships|friend|high school|jock,1473,English,PG,400000,2004,0
Jeremy Saulnier,90,57,92,Blue Ruin ,42678,Amy Hargreaves,0,blood splatter|car|neo noir|vengeance|vomiting,135,English,R,1066167,2013,0
Oren Peli,84,110,21,Paranormal Activity ,184824,Amber Armstrong,0,dark force|entity|evil force|found footage|paranormal phenomenon,1189,English,R,15000,2007,12000
Stacy Peralta,91,147,5,Dogtown and Z-Boys ,10366,Jeff Ament,0,california|drought|playground|skateboarding|surfer,88,English,PG-13,,2001,0
Terry Gilliam,91,0,332,Monty Python and the Holy Grail ,382240,Terry Jones,0,camelot|holy grail|king arthur|knight|lancelot,660,English,PG,229575,1975,14000
Richard Glatzer,90,25,138,Quinceañera ,3675,Alicia Sixtos,1,15th birthday|birthday|gay|party|security guard,48,Spanish,R,400000,2006,426
Sue Corcoran,96,14,6,Gory Gory Hallelujah ,179,David Frederick White,2,conspiracy|feminist|hippie|motorcycle|slapstick comedy,18,English,,100000,2003,39
,60,,833,Heroes             ,202115,Greg Grunberg,4,father daughter relationship|serial killer|superhero|supernatural power|vision of the future,379,English,TV-14,,,0
Jonathan Caouette,88,20,0,Tarnation ,5709,Renee Leblanc,3,answering machine|home movie|lithium|schizophrenic|video diary,114,English,Unrated,218,2003,754
Ray Griggs,92,4,12,I Want Your Money ,1123,Mike Huckabee,0,,31,English,PG,400000,2010,638
Matt Jackson,97,0,271,Love in the Time of Monsters ,143,Alex Sanborn,3,bigfoot|love|monster|sasquatch|tourist,5,English,,500000,2014,194
Lucio Fulci,82,385,22,The Beyond ,14985,Al Cliver,0,doctor|hell|hotel|painter|plumber,253,Italian,X,400000,1981,2000
,22,,6,Home Movies             ,7458,Melissa Bardin Galsky,0,coach|friend|school|series|tv series,82,English,TV-PG,,,526
Tom Vaughan,101,12,149,What Happens in Vegas ,140740,Michelle Krusiec,2,casino|father son relationship|jackpot|judge|wedding,151,English,PG-13,35000000,2008,0
Paul Fox,80,3,39,The Dark Hours ,4788,Gordon Currie,0,brain tumor|champagne|game|psychiatrist|weekend,52,English,R,500000,2005,166
Stephen Frears,97,350,33,My Beautiful Laundrette ,10577,Garry Cooper,1,england|mistress|pakistani|politics|thatcher,64,English,R,650000,1985,0
Ari Kirschenbaum,84,0,36,Fabled ,191,Desmond Askew,0,,10,English,R,,2002,7
Cassandra Nicolaou,97,0,83,Show Me ,369,Gabriel Hogan,0,bathtub|implied incest|lesbian|squeegee|tied to a chair,5,French,R,900000,2004,12
Ingmar Bergman,91,0,92,Cries & Whispers ,19964,Erland Josephson,0,dying|love|mansion|selfishness|turn of the century,197,Swedish,R,400000,1972,0
D.W. Griffith,123,204,9,Intolerance: Love's Struggle Throughout the Ages ,10718,Walter Long,1,huguenot|intolerance|medicis|protestant|wedding,88,,Not Rated,385907,1916,691
Roger Nygard,86,3,513,Trekkies ,4407,James Doohan,1,autograph|dentist|outer space|star trek|telephone call,75,English,PG,375000,1997,672
Harry Beaumont,100,4,4,The Broadway Melody ,4546,Charles King,8,sibling rivalry|singer|sister act|whistling|wisecrack humor,71,English,Passed,379000,1929,167
Sam Raimi,96,0,58,The Evil Dead ,141219,Ellen Sandweiss,0,cult director|cult film|evil dead|necronomicon|psychotronic film,740,English,NC-17,375000,1981,12000
Franck Khalfoun,89,33,118,Maniac ,27297,Liane Balaban,0,exhibition|mannequin|obsession|oral sex|photographer,131,English,Not Rated,6000000,2012,0
Mor Loushy,84,0,,Censored Voices ,186,,0,,3,Hebrew,,450000,2015,111
Henry Alex Rubin,88,30,0,Murderball ,9037,Andy Cohn,1,paralympics|quad rugby|rugby|team|wheelchair,70,English,R,1750211,2005,0
Sam Firstenberg,90,44,93,American Ninja 2: The Confrontation ,6046,Larry Poindexter,0,blood splatter|island|motorboat|ninja|sequel to cult film,46,English,R,350000,1987,583
Doug Block,90,0,0,51 Birch Street ,695,Mike Block,2,address as title|number in title|parents,16,English,Unrated,,2005,70
,43,,576,Revolution             ,72017,David Lyons,6,2020s|near future|one word series title|post apocalypse|year 2027,323,English,TV-14,,,17000
Chad Kapper,98,0,0,Rotor DR1 ,209,Christian Kapper,2,drone|playing with gun|post apocalypse|road trip|working class family,8,English,,350000,2015,240
John Carpenter,101,0,598,Halloween ,157863,P.J. Soles,0,halloween|masked killer|michael myers|slasher|trick or treat,1191,English,R,300000,1978,12000
Sidney Lumet,96,0,253,12 Angry Men ,447785,John Fiedler,1,courtroom|dialogue driven|dialogue driven storyline|jury|murder,888,English,Not Rated,350000,1957,40000
Paul Fierlinger,83,3,258,My Dog Tulip ,1272,Lynn Redgrave,0,autobiography|dog movie|german shepherd|memoir|old man,15,English,,,2009,675
Frank Capra,65,964,21,It Happened One Night ,64888,Walter Connolly,1,bus|detective|love|money|reporter,235,English,Unrated,325000,1934,0
Yorgos Lanthimos,94,252,14,Dogtooth ,44864,Sissy Petropoulou,0,fellatio|isolated house|overprotective father|social isolation|unsimulated sex,170,Greek,Unrated,,2009,13000
Lauren Lazin,112,2,321,Tupac: Resurrection ,7687,Todd Bridges,0,hip hop|name in title|rap star|rapper|reference to tupac shakur,32,English,R,,2003,0
Gavin O'Connor,102,149,276,Tumbleweeds ,2932,Lois Smith,1,boss|fight|reference to william shakespeare|white trash|written and directed by cast member,73,English,PG-13,312000,1999,121
Gregory Widen,98,10,912,The Prophecy ,24438,Virginia Madsen,0,angel|corpse|girl|heaven|soul,194,English,R,8000000,1995,0
Cédric Klapisch,91,82,8,When the Cat's Away ,2843,Jane Bradbury,7,cat|homosexual sex|male homosexuality|neighborhood|noisy neighbor,25,French,R,300000,1996,166
Peter Hedges,80,54,543,Pieces of April ,18035,Derek Luke,3,apartment|oven|stove|thanksgiving|thanksgiving dinner,177,English,PG-13,300000,2003,0
Niall Johnson,114,7,2,The Big Swap ,270,Thierry Harcourt,0,breasts|female frontal nudity|jealousy|male full frontal nudity|male nudity,7,English,,,1998,29
Kelly Reichardt,76,129,26,Old Joy ,4423,Will Oldham,2,cell phone|male frontal nudity|oregon|sexual ambiguity|title directed by female,57,English,Unrated,300000,2006,594
Kelly Reichardt,80,129,26,Wendy and Lucy ,12241,Will Oldham,1,car|dog|flip phone|rape threat|vulnerable,112,English,R,200000,2008,0
Eric Mendelsohn,88,5,301,3 Backyards ,554,Kathryn Erbe,0,number in title,23,English,R,300000,2010,92
Jean-Luc Godard,110,0,0,Pierrot le Fou ,19386,Graziella Galvani,1,beach|money|on the run|party|smuggling,74,French,Not Rated,300000,1965,2000
Florence Ayisi,104,0,,Sisters in Law ,291,,1,,8,English,Not Rated,,2005,50
Pan Nalin,102,95,,Ayurveda: Art of Being ,341,,0,eastern philosophy|healing|india|life,12,English,,300000,2001,379
Michael Roemer,95,0,87,Nothing But a Man ,891,Ivan Dixon,1,1960s|father|railroad|town|worker,26,English,Not Rated,160000,1964,363
Jesse Peretz,94,37,104,First Love, Last Rites ,294,Natasha Gregson Wagner,0,listening to music|misfit|panties|red panties|sex,16,English,R,300000,1997,26
Eddie O'Flaherty,109,3,25,Fighting Tommy Riley ,720,Christina Chambers,0,older man younger man relationship|punching bag|school teacher|undressing|unrequited love,23,English,R,200000,2004,30
Babar Ahmed,90,0,32,Royal Kill ,476,Darren Kendrick,0,assassin|female assassin|kingdom|martial arts|mission,18,English,PG-13,350000,2009,53
Julie Taymor,133,278,107,Across the Universe ,91863,Robert Clohessy,0,anti war|liverpool|love|protest|song,524,English,PG-13,45000000,2007,14000
John D. Hancock,110,44,221,The Looking Glass ,82,Mary Norwood,0,,1,English,,,2015,175
Paul Bartel,80,43,668,Death Race 2000 ,19875,Martin Kove,0,cult director|cult film|drive in classic|psychotronic|race,147,English,R,300000,1975,0
