director_name,duration,director_facebook_likes,actor_1_facebook_likes,actor_3_name,plot_keywords,movie_imdb_link,num_user_for_reviews,content_rating,budget,actor_2_facebook_likes,imdb_score
Michael Landon Jr.,117,84,861,A.J. Buckley,1850s|christian film|dark secret|funeral|sin eater,http://www.imdb.com/title/tt0810928/?ref_=fn_tt_tt_1,29,PG-13,2200000,425,5.9
Jon Gunn,120,16,2000,Madison Pettis,belief|faith|pastor|question in title|three word title,http://www.imdb.com/title/tt4056738/?ref_=fn_tt_tt_1,63,PG-13,2300000,848,5.9
Hayley Cloake,90,0,676,Linden Ashby,championship|hit and run|police|police investigation|volleyball,http://www.imdb.com/title/tt1086841/?ref_=fn_tt_tt_1,9,R,2200000,399,4.3
Tay Garnett,119,10,509,Lionel Barrymore,immigrant|maid|steel mill|strike|union,http://www.imdb.com/title/tt0038213/?ref_=fn_tt_tt_1,29,Passed,2160000,284,7.5
Shyam Madiraju,90,0,1000,Brad Schmidt,flare gun|island|plane crash|soccer team|stranded,http://www.imdb.com/title/tt3032282/?ref_=fn_tt_tt_1,4,R,,800,4.8
Harmage Singh Kalirai,90,11,114,Shobu Kapoor,acceptance|coming out to family|gay|large family|wedding,http://www.imdb.com/title/tt0449000/?ref_=fn_tt_tt_1,14,,1200000,79,5.8
Rita Merson,97,5,3000,Jason Ritter,claim in title|contraction in title|new york|new york city|woodstock,http://www.imdb.com/title/tt1995477/?ref_=fn_tt_tt_1,6,,2400000,938,5.3
Jon Knautz,90,10,371,Stefanie Drummond,cult film|demon|monster slayer|uncle|vomiting,http://www.imdb.com/title/tt0816539/?ref_=fn_tt_tt_1,46,R,2500000,52,6.0
William Wyler,172,355,749,Dana Andrews,love|pity|readjusting to civilian life|veteran|world war two veteran,http://www.imdb.com/title/tt0036868/?ref_=fn_tt_tt_1,235,Not Rated,2100000,208,8.1
Larry Clark,115,184,730,Brad Renfro,cruelty|friend|male frontal nudity|male nudity|pubic hair,http://www.imdb.com/title/tt0242193/?ref_=fn_tt_tt_1,336,R,,648,7.0
Petter Næss,89,16,117,Sven Nordin,friendship|mental illness|poet|sex obsession|virgin,http://www.imdb.com/title/tt0279064/?ref_=fn_tt_tt_1,95,R,15500000,21,7.6
Robert Fontaine,125,7,128,Brad Lee Wind,,http://www.imdb.com/title/tt2460506/?ref_=fn_tt_tt_1,1,R,2100000,22,7.2
Jaume Balagueró,78,57,120,Carlos Lasarte,apartment building|character's point of view camera shot|fire station|subjective camera|television reporter,http://www.imdb.com/title/tt1038988/?ref_=fn_tt_tt_1,374,R,1500000,9,7.5
Patricia Cardoso,89,15,919,Cheyenne Haynes,,http://www.imdb.com/title/tt1675312/?ref_=fn_tt_tt_1,4,TV-PG,2100000,718,6.3
Dan Perri,100,0,749,Carmen Argenziano,,http://www.imdb.com/title/tt2317796/?ref_=fn_tt_tt_1,1,,2100000,354,6.7
Neil Mcenery-West,77,0,846,Louise Brealey,hazmat suit,http://www.imdb.com/title/tt3561236/?ref_=fn_tt_tt_1,21,,,366,4.8
Anthony O'Brien,81,7,412,Shaun O'Hagan,,http://www.imdb.com/title/tt2215673/?ref_=fn_tt_tt_1,17,,2100000,308,5.5
Terence Young,115,92,559,Lois Maxwell,assassin|british agent|british secret service|decoder|russian,http://www.imdb.com/title/tt0057076/?ref_=fn_tt_tt_1,358,Approved,2000000,201,7.5
Michael Herz,96,6,40,Lisa Gaye,bare breasts|japan|tokyo japan|toxic avenger|troma,http://www.imdb.com/title/tt0098503/?ref_=fn_tt_tt_1,40,R,2300000,30,5.1
,60,,480,Crystal R. Fox,detective|mississippi|police|police detective|small town,http://www.imdb.com/title/tt0094484/?ref_=fn_tt_tt_1,24,,,360,7.4
Woody Allen,89,11000,11000,Mews Small,frozen|future|health food|leader|police,http://www.imdb.com/title/tt0070707/?ref_=fn_tt_tt_1,128,PG,2000000,66,7.3
David Robert Mitchell,100,421,314,Jake Weary,ambiguous ending|being followed|sex scene|supernatural|supernatural being,http://www.imdb.com/title/tt3235888/?ref_=fn_tt_tt_1,631,R,2000000,189,6.9
Woody Allen,88,11000,11000,Lynn Redgrave,aphrodisiac|court jester|jester|queen|written and directed by cast member,http://www.imdb.com/title/tt0068555/?ref_=fn_tt_tt_1,78,R,2000000,300,6.8
Robert Mulligan,129,89,3000,William Windom,1930s|alabama|lawyer|six year old|trial,http://www.imdb.com/title/tt0056592/?ref_=fn_tt_tt_1,471,Not Rated,2000000,226,8.4
George Miller,87,750,745,Kjell Nilsson,australian|gasoline|post apocalypse|refinery|warrior,http://www.imdb.com/title/tt0082694/?ref_=fn_tt_tt_1,294,R,2000000,531,7.6
Chia-Liang Liu,102,32,483,Ho-Sung Pak,battle|fight|fighting|martial artist|snake,http://www.imdb.com/title/tt0111512/?ref_=fn_tt_tt_1,146,R,2000000,147,7.6
Stanley Kubrick,152,0,618,Lois Maxwell,lolita|nymphet|older man young girl relationship|professor|writer,http://www.imdb.com/title/tt0056193/?ref_=fn_tt_tt_1,207,Not Rated,2000000,367,7.7
Kimberly Peirce,118,108,173,Jeannetta Arnette,drinking|female dressed as male|love|nebraska|transgender,http://www.imdb.com/title/tt0171804/?ref_=fn_tt_tt_1,434,R,2000000,148,7.6
Chris Kentis,86,9,120,Adam Trese,bound and gagged|girl|haunted house|hearing noises|uninterrupted shot,http://www.imdb.com/title/tt1767382/?ref_=fn_tt_tt_1,154,R,2000000,44,5.3
Florian Henckel von Donnersmarck,137,207,380,Martina Gedeck,east germany|police|secret police|stasi|writer,http://www.imdb.com/title/tt0405094/?ref_=fn_tt_tt_1,407,R,2000000,284,8.5
Alex Kendrick,129,589,690,T.C. Stallings,faith|fatherhood|integrity|police|responsibility,http://www.imdb.com/title/tt1630036/?ref_=fn_tt_tt_1,175,PG-13,2000000,589,7.0
Robert Rossen,134,31,654,Murray Hamilton,drink|manager|money|partner|pool hall,http://www.imdb.com/title/tt0054997/?ref_=fn_tt_tt_1,167,Unrated,2000000,491,8.0
Jack Conway,119,6,1000,Claudette Colbert,oil|oil field|oil tycoon|partnership|wildcatter,http://www.imdb.com/title/tt0032273/?ref_=fn_tt_tt_1,34,Passed,1614000,760,7.1
Sylvain Chomet,80,162,23,Béatrice Bonifassi,belleville|dog|mafia|tour de france|very little dialogue,http://www.imdb.com/title/tt0286244/?ref_=fn_tt_tt_1,312,PG-13,9500000,6,7.8
Chris Eyre,89,149,912,Gary Farmer,family abandonment|fire|loss of father|native american protagonist|native american reservation,http://www.imdb.com/title/tt0120321/?ref_=fn_tt_tt_1,132,PG-13,2000000,752,7.2
Shari Springer Berman,101,30,14000,Daniel Tay,1980s|comic book|dark horse comics|reference to david letterman|robert crumb,http://www.imdb.com/title/tt0305206/?ref_=fn_tt_tt_1,226,R,,119,7.5
Richard Linklater,80,0,50,Marie Pillet,book|bookstore|love|simultaneity|train,http://www.imdb.com/title/tt0381681/?ref_=fn_tt_tt_1,492,R,2700000,8,8.0
Alejandro G. Iñárritu,115,0,85,Goya Toledo,animal in title|dog fight|mexico city|multiple perspectives|nonlinear timeline,http://www.imdb.com/title/tt0245712/?ref_=fn_tt_tt_1,361,R,2000000,79,8.1
Catherine Hardwicke,100,308,1000,Kip Pardue,13 year olds|adolescence|friend|peer pressure|teacher,http://www.imdb.com/title/tt0328538/?ref_=fn_tt_tt_1,545,R,1500000,482,6.8
Elia Kazan,118,603,936,John Garfield,bigotry|jewish|prejudice|racism|writer,http://www.imdb.com/title/tt0039416/?ref_=fn_tt_tt_1,113,Approved,2000000,297,7.4
Debra Granik,100,81,34000,Lauren Sweetser,bail|crystal meth|family relationships|female protagonist|search for father,http://www.imdb.com/title/tt1399683/?ref_=fn_tt_tt_1,297,R,2000000,248,7.2
Kevin Macdonald,106,162,21,Joe Simpson,bone|climbing|crevasse|partner|rope,http://www.imdb.com/title/tt0379557/?ref_=fn_tt_tt_1,156,R,,5,8.1
Henry King,106,85,480,John Carradine,band|dance|ragtime|singer|violinist,http://www.imdb.com/title/tt0029852/?ref_=fn_tt_tt_1,29,Approved,2000000,392,7.0
Miranda July,91,244,538,Miranda July,fellatio|seven word title|shoe salesman|title directed by female|written by director,http://www.imdb.com/title/tt0415978/?ref_=fn_tt_tt_1,243,R,2000000,363,7.4
Charles Ferguson,105,117,13000,Barney Frank,florida|iceland|interview|new york city new york|recession,http://www.imdb.com/title/tt1645089/?ref_=fn_tt_tt_1,129,PG-13,,125,8.3
Max Joseph,96,31,804,Jonny Weston,box office flop|critically bashed|male objectification|narcissism|wannabe dj,http://www.imdb.com/title/tt3787590/?ref_=fn_tt_tt_1,60,R,2000000,625,6.1
Jim Jarmusch,116,0,251,Richard Portnow,african american|code|dog|pigeon|samurai,http://www.imdb.com/title/tt0165798/?ref_=fn_tt_tt_1,346,R,,147,7.5
David Ayer,116,453,24000,Noel Gugliemi,blood splatter|friend|lapd|mexican|violence,http://www.imdb.com/title/tt0433387/?ref_=fn_tt_tt_1,222,R,2000000,23000,7.0
Jerry Jameson,97,5,1000,Sydelle Noel,auto theft|based on true story|drug addict|kidnapping|violence,http://www.imdb.com/title/tt3268668/?ref_=fn_tt_tt_1,22,PG-13,2000000,426,5.3
Steven Soderbergh,101,0,8000,Blair Underwood,birthday|friend|hollywood|party|sex,http://www.imdb.com/title/tt0290212/?ref_=fn_tt_tt_1,172,R,2000000,724,4.7
Kevin Tenney,98,85,265,Rose Marie,evil spirit|hatchet|ouija|ouija board|psychopathic killer,http://www.imdb.com/title/tt0090327/?ref_=fn_tt_tt_1,74,R,2000000,194,5.7
,22,,459,Maria Thayer,alternative comedy|female protagonist|high school|social satire|three word title,http://www.imdb.com/title/tt0194624/?ref_=fn_tt_tt_1,62,TV-14,,396,8.1
Kenneth Branagh,150,0,597,Richard Briers,classic literature|denmark|funeral|madness|prince,http://www.imdb.com/title/tt0116477/?ref_=fn_tt_tt_1,224,PG-13,18000000,591,7.8
John Cameron Mitchell,101,263,71,Raphael Barker,controversy|ejaculation|male frontal nudity|oral sex|unsimulated sex,http://www.imdb.com/title/tt0367027/?ref_=fn_tt_tt_1,206,Unrated,2000000,51,6.5
Ari Folman,90,56,56,Zahava Solomon,bar|dog|interview|lebanon|nightmare,http://www.imdb.com/title/tt1185616/?ref_=fn_tt_tt_1,156,R,1500000,0,8.0
Gary Rogers,120,0,178,Bruce Newbold,jerusalem|journey|promised land|ship|wilderness,http://www.imdb.com/title/tt0349159/?ref_=fn_tt_tt_1,30,PG-13,2000000,69,3.3
Charles Ferguson,102,117,393,Donald Rumsfeld,american politics|iraq|iraq war|occupation|white house,http://www.imdb.com/title/tt0912593/?ref_=fn_tt_tt_1,55,,2000000,21,8.3
Marielle Heller,102,22,10000,Austin Lyon,1970s|mother's boyfriend|overalls|phone booth|sexual promiscuity,http://www.imdb.com/title/tt3172532/?ref_=fn_tt_tt_1,72,R,2000000,1000,6.9
,60,,11000,Debrah Farentino,breaking the fourth wall|brother brother relationship|high school friends|imperative in title|skateboard,http://www.imdb.com/title/tt0212662/?ref_=fn_tt_tt_1,26,,,289,7.3
David Sington,100,90,168,Neil Armstrong,1960s|astronaut|moon|nasa|spacecraft accident,http://www.imdb.com/title/tt0925248/?ref_=fn_tt_tt_1,44,PG,2000000,142,8.1
Kelly Reichardt,104,129,991,Shirley Henderson,desert|oregon|survival|trust|water,http://www.imdb.com/title/tt1518812/?ref_=fn_tt_tt_1,98,PG,,962,6.5
Fenton Bailey,89,13,373,Linda Lovelace,clitoris|deep throat|fellatio|oral sex|porn industry,http://www.imdb.com/title/tt0418753/?ref_=fn_tt_tt_1,64,NC-17,2000000,334,6.8
Bob Giraldi,99,34,388,Ajay Naidu,detective|food|gangster|police|restaurant,http://www.imdb.com/title/tt0229340/?ref_=fn_tt_tt_1,73,R,,159,7.3
Jill Sprecher,96,11,584,Jamie Kennedy,office|office politics|photo booth|snobbery|title directed by female,http://www.imdb.com/title/tt0118866/?ref_=fn_tt_tt_1,111,PG-13,,559,6.4
Huck Botko,86,10,189,Zack Pearlman,masturbation|porn star|sex lesson from a prostitute|spreadeagle|topless,http://www.imdb.com/title/tt1695994/?ref_=fn_tt_tt_1,13,R,3400000,131,4.6
Luc Besson,98,0,1000,Jean-Hugues Anglade,band|blackmail|safe|subway|train,http://www.imdb.com/title/tt0090095/?ref_=fn_tt_tt_1,45,R,17000000,572,6.5
David Duchovny,96,0,49000,Frank Langella,artist|butchery|catholic|catholic school|friend,http://www.imdb.com/title/tt0372334/?ref_=fn_tt_tt_1,86,PG-13,6000000,1000,7.0
Mitchell Lichtenstein,94,53,386,John Hensley,high school|purity|stepbrother|temptation|vagina dentata,http://www.imdb.com/title/tt0780622/?ref_=fn_tt_tt_1,161,R,,357,5.4
Lance Mungia,91,4,33,Kim De Angelo,boy|guitar|orphan|rock 'n' roll|sword,http://www.imdb.com/title/tt0118736/?ref_=fn_tt_tt_1,102,PG-13,2000000,3,6.7
Kundan Shah,,4,353,Shakti Kapoor,elevator|news reporter|police|restaurant|waiter,http://www.imdb.com/title/tt0249588/?ref_=fn_tt_tt_1,1,,,89,2.8
Michael Dowse,90,31,326,Kate Magowan,deafness|disappearance|ears|ibiza|musician,http://www.imdb.com/title/tt0388139/?ref_=fn_tt_tt_1,67,R,,246,7.4
Hue Rhodes,85,0,22000,Romany Malco,city name in title|male frontal nudity|place name in title,http://www.imdb.com/title/tt1276105/?ref_=fn_tt_tt_1,11,R,3800000,12000,5.8
Shane Meadows,96,222,5000,Karl Collins,fight|gang|hiking|wales|working class,http://www.imdb.com/title/tt0120391/?ref_=fn_tt_tt_1,21,R,,497,7.1
Roland Emmerich,129,776,25000,Matt Craven,box office flop|critically bashed|gay rights|new york city|stonewall riots,http://www.imdb.com/title/tt3018070/?ref_=fn_tt_tt_1,30,R,13500000,463,4.5
,60,,780,Salli Richardson-Whitfield,alternate reality|pacific northwest|small town|small town life|small town sheriff,http://www.imdb.com/title/tt0796264/?ref_=fn_tt_tt_1,136,TV-14,,747,7.9
Jugal Hansraj,93,32,532,Javed Jaffrey,india|love|love at first sight|mumbai india|reference to edward scissorhands,http://www.imdb.com/title/tt1050739/?ref_=fn_tt_tt_1,17,PG,,85,5.3
Danny Provenzano,100,84,584,Chuck Zito,gangster|heist|internet|mafia|miami florida,http://www.imdb.com/title/tt0338497/?ref_=fn_tt_tt_1,18,Not Rated,,356,5.4
Bill Muir,97,19,589,Tiya Sircar,cave|cobra|island|medallion|waterfall,http://www.imdb.com/title/tt1390539/?ref_=fn_tt_tt_1,16,PG,,488,4.8
Richard LaGravenese,94,98,10000,Charly Bivona,based on play|number in title,http://www.imdb.com/title/tt2474024/?ref_=fn_tt_tt_1,40,PG-13,,773,5.9
Noah Buschel,95,8,529,Paul Adelstein,cellphone|detective|missing person|private detective|train,http://www.imdb.com/title/tt1105512/?ref_=fn_tt_tt_1,23,,1500000,423,6.2
Brian Yuzna,97,97,787,Sarah Douglas,female nudity|living dead|self mutilation|sequel|zombie,http://www.imdb.com/title/tt0107953/?ref_=fn_tt_tt_1,130,R,2000000,196,5.9
Hunter Richards,92,11,26000,Dane Cook,bar|coke|drugs|party|snorting,http://www.imdb.com/title/tt0449061/?ref_=fn_tt_tt_1,90,R,14000,11000,6.6
Laurie Collyer,96,38,363,Michelle Hurst,ex convict|halfway house|nipples visible through clothing|orgasm|parole officer,http://www.imdb.com/title/tt0423169/?ref_=fn_tt_tt_1,78,R,2000000,223,6.6
Bruce McCulloch,85,54,985,Chris Penn,black humor|crying during sex|harvard|humor|man with glasses,http://www.imdb.com/title/tt0265808/?ref_=fn_tt_tt_1,92,PG-13,25000000,637,5.1
Aaron Hann,87,0,160,Kaiwi Lyman-Mersereau,alien abduction|debate|lesbian|pregnant|spaceship,http://www.imdb.com/title/tt3118452/?ref_=fn_tt_tt_1,59,Not Rated,,152,6.0
James Watkins,91,43,13000,Lorraine Stanley,camping|forest|lake|stabbed with glass|vomiting,http://www.imdb.com/title/tt1020530/?ref_=fn_tt_tt_1,357,R,,698,6.8
Catherine Hardwicke,99,308,638,Marlene Forte,gay interest|guitarist|obsessed fan|seduction|sex scene,http://www.imdb.com/title/tt2226519/?ref_=fn_tt_tt_1,24,R,,449,5.4
Phil Claydon,88,6,513,Silvia Colloca,blood|breasts|female nudity|lesbian|vampire,http://www.imdb.com/title/tt1020885/?ref_=fn_tt_tt_1,91,R,,480,5.2
Ralph Ziman,119,5,29,Robert Hobbs,carjacking|drug lord|johannesburg south africa|police|post apartheid,http://www.imdb.com/title/tt0783532/?ref_=fn_tt_tt_1,23,R,2000000,18,7.8
John Simpson,99,0,766,Ian McNeice,alibi|box office flop|newspaper clipping|non statutory female on male rape|profiler,http://www.imdb.com/title/tt0363095/?ref_=fn_tt_tt_1,41,R,2000000,312,6.4
Colin Minihan,92,6,253,Ashleigh Gryzko,ghost|ghost hunting|labyrinth|paranormal|reality show,http://www.imdb.com/title/tt1703199/?ref_=fn_tt_tt_1,235,Not Rated,100000,113,6.1
Conor McMahon,86,5,121,Jemma Curran,cat killer|death of animal|high heels|kneed in the crotch|kneed in the groin,http://www.imdb.com/title/tt2126362/?ref_=fn_tt_tt_1,53,R,,94,5.7
Chris Shadley,83,0,413,Marc Macaulay,betrayal|car|connection|death|gun,http://www.imdb.com/title/tt0959329/?ref_=fn_tt_tt_1,64,R,2000000,167,5.5
Simon Napier-Bell,81,0,674,Louis Walsh,,http://www.imdb.com/title/tt4704314/?ref_=fn_tt_tt_1,,,2000000,27,7.4
Woody Allen,82,11000,11000,Louise Lasser,fictitious country|latin america|president|rebellion|reference to fidel castro,http://www.imdb.com/title/tt0066808/?ref_=fn_tt_tt_1,105,GP,2000000,430,7.1
Simon Yin,102,0,473,Kathy Uyen,,http://www.imdb.com/title/tt1734586/?ref_=fn_tt_tt_1,9,Not Rated,,303,3.9
Jeff Crook,90,5,601,Ricardo Chavira,one word title,http://www.imdb.com/title/tt0796355/?ref_=fn_tt_tt_1,6,R,2000000,453,4.6
,30,,685,Amy Yasbeck,1990s|brother brother relationship|nantucket island|one word title|sister sister relationship,http://www.imdb.com/title/tt0098948/?ref_=fn_tt_tt_1,56,,,511,7.3
Orson Welles,92,0,1000,Ted de Corsia,law partner|murder|partner|seaman|yacht,http://www.imdb.com/title/tt0040525/?ref_=fn_tt_tt_1,175,Not Rated,2300000,29,7.7
Dave Payne,88,0,633,Robert Pine,death|desert|robber|sheriff|waitress,http://www.imdb.com/title/tt1090671/?ref_=fn_tt_tt_1,31,R,2000000,597,4.9
James Cox,97,10,15000,Mark Rolston,1990s|homoeroticism|reference to kurt cobain|road trip|year 1994,http://www.imdb.com/title/tt0165361/?ref_=fn_tt_tt_1,67,R,14000000,284,6.3
Jonas Åkerlund,96,68,2000,Matt Lucas,fire investigator|landlord|suicide|talking to one's self in a mirror|turpentine,http://www.imdb.com/title/tt1272886/?ref_=fn_tt_tt_1,26,R,2000000,811,6.1
Brad Copeland,87,8,34000,Glenn Howerton,barista|coffee|coffee shop|fight|insult,http://www.imdb.com/title/tt2234025/?ref_=fn_tt_tt_1,19,,2000000,463,6.6
Paul Bunnell,106,5,416,Paul Williams,1950s|independent film|outlaw|trial,http://www.imdb.com/title/tt1754633/?ref_=fn_tt_tt_1,19,Not Rated,2000000,403,5.7
Phil Morrison,107,17,594,Peter Hermann,christmas tree|french canadian|new york|salesman,http://www.imdb.com/title/tt1462901/?ref_=fn_tt_tt_1,23,R,,591,5.6
Harald Reinl,80,2,16000,Karin Dor,count|drawn and quartered|tied up|torture chamber|torture device,http://www.imdb.com/title/tt0062235/?ref_=fn_tt_tt_1,36,M,,57,6.0
James Cox,91,10,924,Josh Meyers,addict|paternity|rascal|swimming pool|texas,http://www.imdb.com/title/tt2024506/?ref_=fn_tt_tt_1,20,R,2000000,472,5.7
Richard Lester,99,44,907,Phil Silvers,based on stage musical|based on stage musical based on stage play|freedom|historical fiction|virgin,http://www.imdb.com/title/tt0060438/?ref_=fn_tt_tt_1,72,Approved,2000000,164,7.0
Michael Moore,102,909,909,Steve Earle,character name in title|election campaign|presidential election,http://www.imdb.com/title/tt0850669/?ref_=fn_tt_tt_1,15,,2000000,562,5.3
Tanner Beard,108,531,10000,Glenn Morshower,1800s|doc holliday|robbers|sheriff|texas,http://www.imdb.com/title/tt1220217/?ref_=fn_tt_tt_1,14,PG-13,2000000,1000,4.4
Scott Dow,88,6,680,Dave Sheridan,zombie|zombie spoof,http://www.imdb.com/title/tt3499458/?ref_=fn_tt_tt_1,25,R,1250000,418,3.4
Derick Martini,89,20000,2000,Tom Arnold,,http://www.imdb.com/title/tt1772261/?ref_=fn_tt_tt_1,22,,2000000,860,4.5
Jerry Dugan,92,3,11000,James Chalke,blood|daughter|jail|police|shark,http://www.imdb.com/title/tt4416518/?ref_=fn_tt_tt_1,17,Not Rated,2000000,1000,3.4
Tim Hunter,99,28,18000,Ione Skye,death|friend|high school|murder|police,http://www.imdb.com/title/tt0091860/?ref_=fn_tt_tt_1,111,R,1900000,1000,7.1
Michael Polish,103,35,548,Jon Gries,boy|caretaker|dam|evacuation|orphanage,http://www.imdb.com/title/tt0322659/?ref_=fn_tt_tt_1,122,PG-13,1900000,495,6.4
William Kaufman,90,58,405,David Lewis,killed in police car|mercenary|police officer shot in the leg|police officer shot through the heart|whistleblower,http://www.imdb.com/title/tt3528666/?ref_=fn_tt_tt_1,15,R,1950000,217,5.2
Rodrigo Cortés,95,89,16000,Erik Palladino,buried alive|coffin|iraq|one person|single set production,http://www.imdb.com/title/tt1462758/?ref_=fn_tt_tt_1,447,R,3000000,517,7.0
Richard Ayoade,97,0,920,Sally Hawkins,15 year old|school|teen comedy|teen movie|virginity,http://www.imdb.com/title/tt1440292/?ref_=fn_tt_tt_1,100,R,,680,7.3
Jehane Noujaim,108,63,161,Aida Elkashef,,http://www.imdb.com/title/tt2486682/?ref_=fn_tt_tt_1,42,Not Rated,1500000,10,8.1
Pascal Arnold,95,0,533,Pierre Perrier,fellatio|female frontal nudity|male frontal nudity|nude sunbathing|orgy,http://www.imdb.com/title/tt0486751/?ref_=fn_tt_tt_1,15,Unrated,1400000,323,5.8
Kimberly Peirce,100,108,17000,Portia Doubleday,outcast|prom|self injury|telekinesis|tragic event,http://www.imdb.com/title/tt1939659/?ref_=fn_tt_tt_1,371,R,30000000,2000,5.9
Remo,160,168,733,Prabhudheva,,http://www.imdb.com/title/tt2321163/?ref_=fn_tt_tt_1,38,Not Rated,,168,6.4
Wes Craven,101,0,40000,Amanda Wyss,freddy krueger|lucid dream|serial killer|slasher|sleep deprivation,http://www.imdb.com/title/tt0087800/?ref_=fn_tt_tt_1,668,X,1800000,852,7.5
James Marsh,90,120,41,Jean-Louis Blondeau,new york city|passion|reenactment|rooftop|tower,http://www.imdb.com/title/tt1155592/?ref_=fn_tt_tt_1,134,PG-13,1000000,27,7.8
John Laing,86,0,42,Rachel Nash,boat|one word title|sea|storm|survivor,http://www.imdb.com/title/tt4519006/?ref_=fn_tt_tt_1,6,,,40,6.3
Jamal Hill,89,47,628,Faizon Love,basketball|burglary|police|robbery|teenage girl,http://www.imdb.com/title/tt3262990/?ref_=fn_tt_tt_1,19,R,1900000,606,7.2
Daniel Stamm,87,13,463,Patrick Fabian,cult film|documentary crew|exorcism|found footage|satanic ritual,http://www.imdb.com/title/tt1320244/?ref_=fn_tt_tt_1,300,PG-13,1800000,400,5.6
Sam Taylor-Johnson,98,456,1000,Anne-Marie Duff,1960s|childhood|friendship|love|the beatles,http://www.imdb.com/title/tt1266029/?ref_=fn_tt_tt_1,75,R,,548,7.2
Elia Kazan,125,603,10000,Kim Hunter,brother in law sister in law relationship|expectant father|histrionic personality disorder|middle aged woman|off screen rape,http://www.imdb.com/title/tt0044081/?ref_=fn_tt_tt_1,233,PG,1800000,416,8.0
Stanley Kubrick,95,0,654,Keenan Wynn,bomber|doomsday|general|u.s. president|war room,http://www.imdb.com/title/tt0057012/?ref_=fn_tt_tt_1,839,PG,1800000,575,8.5
Carlos Carrera,118,12,201,Pedro Armendáriz Jr.,church|love|mexico|politics|priest,http://www.imdb.com/title/tt0313196/?ref_=fn_tt_tt_1,110,R,1800000,163,6.8
Benh Zeitlin,93,188,2000,Dwight Henry,auroch|community|hospital|illness|six year old,http://www.imdb.com/title/tt2125435/?ref_=fn_tt_tt_1,269,PG-13,1800000,458,7.3
J. Lee Thompson,96,88,595,Claude Akins,ape|general|gorilla|outer space|planet of the apes,http://www.imdb.com/title/tt0069768/?ref_=fn_tt_tt_1,91,G,1800000,356,5.5
Maggie Greenwald,109,9,767,Jane Adams,doctor|mountain|musician|song|university,http://www.imdb.com/title/tt0210299/?ref_=fn_tt_tt_1,78,PG-13,1800000,380,7.3
Vera Farmiga,109,0,553,Michael Chernus,1960s|belief in the afterlife|domestic violence|faith|minister,http://www.imdb.com/title/tt1562568/?ref_=fn_tt_tt_1,34,R,,471,6.3
Vijay Chandar,155,0,141,Brahmanandam,,http://www.imdb.com/title/tt3566698/?ref_=fn_tt_tt_1,6,,150000000,77,5.1
Morgan Spurlock,90,293,16000,Donald Trump,advertising|movie in title|product placement,http://www.imdb.com/title/tt1743720/?ref_=fn_tt_tt_1,45,PG-13,1500000,14000,6.6
Jonathan Wacks,93,0,12000,Jon Gries,based on ed gein|dog|hyperactive|macabre|zombie,http://www.imdb.com/title/tt0106792/?ref_=fn_tt_tt_1,17,PG-13,1800000,580,6.1
Khyentse Norbu,108,28,0,Sonam Kinga,bhutan|buddhist|monk|storytelling|weaver,http://www.imdb.com/title/tt0378906/?ref_=fn_tt_tt_1,28,,1800000,0,7.5
Ted Post,114,57,16000,Alan Hale Jr.,imperative in title|judge|marshal|murder|vigilante,http://www.imdb.com/title/tt0061747/?ref_=fn_tt_tt_1,109,M,1800000,844,7.0
Richard Brooks,87,174,2000,Kim Hunter,editor|gangster|newspaper|organized crime|press,http://www.imdb.com/title/tt0044533/?ref_=fn_tt_tt_1,28,,,399,7.2
Tony Krantz,113,15,647,Cas Anvar,birthday|birthday party|colonoscopy|hospital|surgery,http://www.imdb.com/title/tt0822858/?ref_=fn_tt_tt_1,103,R,1800000,642,5.3
Mitchell Altieri,87,9,467,Bree Williamson,,http://www.imdb.com/title/tt4058122/?ref_=fn_tt_tt_1,,,,258,8.7
W.D. Hogan,90,4,433,Nicholas Carella,fireworks|kiss|to be continued ending|uncle nephew relationship|usaf,http://www.imdb.com/title/tt2645670/?ref_=fn_tt_tt_1,12,PG-13,1800000,108,3.4
Corey Grant,111,21,761,Tatyana Ali,ex boyfriend ex girlfriend relationship|gossip|inheritance|mansion|reference to howard university,http://www.imdb.com/title/tt1653002/?ref_=fn_tt_tt_1,8,Not Rated,1800000,713,5.4
Tom Tykwer,81,670,486,Armin Rohde,bechdel test failed|money|multiple outcomes|repeated event|subway,http://www.imdb.com/title/tt0130827/?ref_=fn_tt_tt_1,709,R,3500000,37,7.8
Lucky McKee,93,75,701,Nora Zehetner,case|doll|dry humor|friend|love,http://www.imdb.com/title/tt0303361/?ref_=fn_tt_tt_1,277,R,500000,461,6.7
Richard Boddington,90,15,900,Erin Pitt,cave|salmon,http://www.imdb.com/title/tt2475846/?ref_=fn_tt_tt_1,9,PG,2000000,450,4.7
David Hunt,112,0,86,Circus-Szalewski,brother|cave|caver|dark|funeral,http://www.imdb.com/title/tt2100573/?ref_=fn_tt_tt_1,1,PG-13,1750000,42,6.3
Patricia Riggen,106,36,953,Kate del Castillo,12 year old|boy|mexican|mexican immigrant|mexico,http://www.imdb.com/title/tt0796307/?ref_=fn_tt_tt_1,58,PG-13,,399,7.4
J. Lee Thompson,88,88,595,John Randolph,ape|future|intelligence|revolution|slave revolt,http://www.imdb.com/title/tt0068408/?ref_=fn_tt_tt_1,95,PG,1700000,70,6.1
