director_name,num_critic_for_reviews,director_facebook_likes,actor_3_facebook_likes,gross,actor_1_name,movie_title,num_voted_users,facenumber_in_poster,country,content_rating,budget,imdb_score,aspect_ratio
John Singleton,123,309,482,74484168,Josh Charles,Four Brothers ,109894,3,USA,R,45000000,6.9,2.35
Michael McCullers,145,5,966,60269340,Tina Fey,Baby Mama ,34079,2,USA,PG-13,30000000,6.0,1.85
Forest Whitaker,65,0,545,60033780,Bill Cobbs,Hope Floats ,18973,1,USA,PG-13,30000000,5.9,1.85
Gary Winick,152,56,545,58715510,Anne Hathaway,Bride Wars ,79094,2,USA,PG,30000000,5.4,1.85
Steven Brill,94,65,246,58156435,Antony Starr,Without a Paddle ,37479,3,USA,PG-13,19000000,5.9,2.35
Gary Winick,119,56,533,56044241,Jennifer Garner,13 Going on 30 ,122187,1,USA,PG-13,37000000,6.1,1.85
Woody Allen,487,11000,183,56816662,Kurt Fuller,Midnight in Paris ,301149,1,Spain,PG-13,17000000,7.7,1.85
Peter Lepeniotis,121,7,691,64238770,Liam Neeson,The Nut Job ,19547,0,Canada,PG,42000000,5.8,1.85
Ted Demme,147,47,877,52937130,Johnny Depp,Blow ,198066,1,USA,R,30000000,7.6,2.35
Luis Mandoki,85,43,362,52799004,Robin Wright,Message in a Bottle ,28942,0,USA,PG-13,55000000,6.1,2.35
William Shatner,98,0,643,55210049,Leonard Nimoy,Star Trek V: The Final Frontier ,43743,1,USA,PG,27800000,5.4,2.35
John Schultz,39,13,837,51432423,Brenda Song,Like Mike ,15074,7,USA,PG,30000000,5.1,1.85
Peter Segal,43,88,348,51109400,George Kennedy,Naked Gun 33 1/3: The Final Insult ,76850,5,USA,PG-13,30000000,6.4,1.85
John Glen,108,46,433,50300000,Patrick Macnee,A View to a Kill ,68565,2,UK,PG,30000000,6.3,2.35
Steve Box,209,9,100,56068547,Mark Gatiss,The Curse of the Were-Rabbit ,98160,0,UK,G,30000000,7.5,1.85
Richard LaGravenese,131,98,37,53680848,Gerard Butler,P.S. I Love You ,167967,1,USA,PG-13,30000000,7.1,1.85
Frederik Du Chau,73,7,521,49186871,Bruce Greenwood,Racing Stripes ,12570,0,USA,PG,,5.2,1.85
Joe Wright,316,456,286,50921738,Benedict Cumberbatch,Atonement ,192930,1,UK,R,30000000,7.8,1.85
Gary Winick,159,56,22,53021560,Vanessa Redgrave,Letters to Juliet ,74630,1,USA,PG,30000000,6.5,2.35
Ridley Scott,63,0,237,45645204,Stephen Root,Black Rain ,39306,2,USA,R,30000000,6.6,2.35
Bobby Farrelly,162,101,760,44328238,Kate Upton,The Three Stooges ,25484,0,USA,PG,,5.1,1.85
Tim Burton,267,13000,973,53337608,Johnny Depp,Corpse Bride ,188785,1,USA,PG,40000000,7.4,1.85
James Gartner,95,0,543,42643187,Mehcad Brooks,Glory Road ,34910,1,USA,PG,,7.2,2.35
Denis Villeneuve,478,777,219,46875468,Edgar Arreola,Sicario ,196217,2,USA,R,30000000,7.6,2.39
Antoine Fuqua,305,845,424,52418902,Jake Gyllenhaal,Southpaw ,147128,0,USA,R,30000000,7.5,2.35
Sam Raimi,397,0,828,42057340,Bojana Novakovic,Drag Me to Hell ,158354,0,USA,PG-13,30000000,6.6,2.35
Lee Toland Krieger,214,43,1000,42478175,Harrison Ford,The Age of Adaline ,93767,1,USA,PG-13,25000000,7.2,2.35
Tim McCanlies,82,23,1000,41407470,Haley Joel Osment,Secondhand Lions ,43378,1,USA,PG,30000000,7.6,1.85
Jon M. Chu,138,209,357,42385520,Alyson Stoner,Step Up 3D ,47297,0,USA,PG-13,30000000,6.2,1.85
John Stockwell,69,134,64,40118420,Faizon Love,Blue Crush ,26066,3,USA,PG-13,30000000,5.6,1.85
Marc Forster,253,395,77,40137776,Will Ferrell,Stranger Than Fiction ,186977,1,USA,PG-13,38000000,7.6,1.85
David Slade,304,171,63,39568996,Danny Huston,30 Days of Night ,138435,0,USA,R,32000000,6.6,2.35
Drew Goddard,634,246,751,42043633,Chris Hemsworth,The Cabin in the Woods ,277172,0,USA,R,30000000,7.0,2.35
Jason Friedberg,111,82,362,38232624,Carmen Electra,Meet the Spartans ,88518,0,USA,PG-13,30000000,2.7,1.85
Martin Brest,77,102,497,38413606,Robert De Niro,Midnight Run ,54042,1,USA,R,30000000,7.6,1.85
Paul Michael Glaser,120,343,384,38122105,Yaphet Kotto,The Running Man ,112669,1,USA,R,27000000,6.6,1.37
Frank Oz,63,0,413,38747385,Bill Murray,Little Shop of Horrors ,49349,2,USA,PG-13,25000000,6.9,1.85
Joe Wright,417,456,21,40247512,Jessica Barden,Hanna ,159198,0,USA,PG-13,30000000,6.8,2.35
,9,,468,,Zach Gilford,The Family             ,3322,4,USA,TV-PG,,7.5,16.0
John R. Leonetti,59,40,342,35927406,Brian Thompson,Mortal Kombat: Annihilation ,36363,0,USA,PG-13,30000000,3.7,1.85
Tom Hanks,218,15000,392,35565975,Tom Hanks,Larry Crowne ,49205,0,USA,PG-13,30000000,6.1,2.35
Kimberly Peirce,359,108,534,35266619,Chloë Grace Moretz,Carrie ,108242,1,USA,R,30000000,5.9,2.35
Liz Friedlander,101,3,439,34703228,Alfre Woodard,Take the Lead ,21767,0,USA,PG-13,30000000,6.7,1.85
,52,,576,,Debi Mazar,Entourage             ,135643,2,USA,TV-MA,,8.5,1.78
Phil Joanou,85,21,581,38432823,Dwayne Johnson,Gridiron Gang ,33067,1,USA,PG-13,30000000,6.9,2.35
Sam Weisman,64,39,506,32095318,Bernie Mac,What's the Worst That Could Happen? ,12466,0,USA,PG-13,45000000,5.5,1.85
Shane Acker,263,30,265,31743332,Martin Landau,9 ,111117,0,USA,PG-13,30000000,7.1,1.85
Steven Soderbergh,450,0,273,32154410,Channing Tatum,Side Effects ,148327,0,USA,R,30000000,7.1,1.85
Martha Coolidge,85,57,438,28165882,Devin Ratray,The Prince and Me ,31984,1,USA,PG,,5.9,1.85
Stephen J. Anderson,162,15,69,26687172,Craig Ferguson,Winnie the Pooh ,15600,0,USA,G,30000000,7.3,1.85
Troy Miller,85,14,244,26096584,Elden Henson,Dumb and Dumberer: When Harry Met Lloyd ,30651,0,USA,PG-13,19000000,3.4,1.37
Warren Beatty,110,631,95,26525834,Warren Beatty,Bulworth ,21998,1,USA,R,30000000,6.8,1.85
Tate Taylor,165,150,400,30513940,Tika Sumpter,Get on Up ,15843,0,USA,PG-13,30000000,6.9,1.85
Carl Franklin,64,73,433,23209440,Meryl Streep,One True Thing ,9283,3,USA,R,30000000,7.0,1.85
Brett Leonard,44,32,650,24048000,Denzel Washington,Virtuosity ,23579,1,USA,R,30000000,5.5,2.35
Ivan Reitman,147,425,560,22526144,Rainn Wilson,My Super Ex-Girlfriend ,53884,1,USA,PG-13,30000000,5.1,2.35
Scott Derrickson,242,301,897,30523568,Olivia Munn,Deliver Us from Evil ,54447,0,USA,R,30000000,6.2,2.35
Alister Grierson,244,24,653,23070045,Ioan Gruffudd,Sanctum ,47003,0,USA,R,30000000,5.9,1.85
Nick Hurran,73,34,642,20422207,Holly Hunter,Little Black Book ,15052,1,USA,PG-13,35000000,5.2,2.35
Nicholas Stoller,232,89,372,28644770,Alison Brie,The Five-Year Engagement ,78974,2,USA,R,30000000,6.2,1.85
Charles Stone III,63,30,635,21800302,Bernie Mac,Mr 3000 ,12164,1,USA,PG-13,30000000,5.5,1.85
Paul Haggis,239,549,343,21129348,Olivia Wilde,The Next Three Days ,146364,0,USA,PG-13,35000000,7.4,2.35
Kurt Wimmer,158,110,277,18500966,Milla Jovovich,Ultraviolet ,70341,1,USA,PG-13,30000000,4.4,1.85
Jean-François Richet,152,25,431,19976073,Brian Dennehy,Assault on Precinct 13 ,65979,1,USA,R,20000000,6.3,2.35
Antoine Fuqua,105,845,488,18967571,Mira Sorvino,The Replacement Killers ,23345,2,USA,R,30000000,6.1,2.35
Kevin Hooks,36,114,537,17100000,Salma Hayek,Fled ,7073,1,USA,R,25000000,5.3,1.85
Ellory Elkayem,181,11,762,17266505,Scarlett Johansson,Eight Legged Freaks ,43764,1,USA,PG-13,30000000,5.4,2.35
Edward Zwick,219,380,2000,32357532,Jake Gyllenhaal,Love & Other Drugs ,143368,0,USA,R,30000000,6.7,1.85
Jon Avnet,158,50,494,16930884,Al Pacino,88 Minutes ,65628,1,USA,R,30000000,5.9,2.35
Niki Caro,155,51,874,18324242,Jeremy Renner,North Country ,32815,4,USA,R,35000000,7.3,2.35
Howard Deutch,74,41,900,16323969,Bruce Willis,The Whole Ten Yards ,45775,5,USA,PG-13,40000000,5.5,1.85
Vincenzo Natali,368,165,559,16999046,Sarah Polley,Splice ,79517,0,Canada,R,26000000,5.8,1.85
Willard Huyck,81,8,322,16295774,Lea Thompson,Howard the Duck ,33669,1,USA,PG,35000000,4.6,1.85
Gavin O'Connor,154,149,798,15709385,Jennifer Ehle,Pride and Glory ,53053,0,USA,R,30000000,6.7,1.85
Bruce Hunt,140,2,258,14888028,Eddie Cibrian,The Cave ,28606,0,USA,PG-13,30000000,5.1,2.35
Rob Reiner,73,0,130,14208384,David Paymer,Alex & Emma ,11520,2,USA,PG-13,30000000,5.6,1.85
Paul McGuigan,98,118,40,12831121,Jessica Paré,Wicker Park ,44979,0,USA,PG-13,30000000,7.0,2.35
Craig Gillespie,358,44,133,18298649,Grace Phipps,Fright Night ,85024,1,USA,R,30000000,6.4,1.85
Terrence Malick,222,0,855,12712093,Christian Bale,The New World ,70771,0,USA,PG-13,30000000,6.7,2.35
Chris Roberts,85,38,362,11576087,Saffron Burrows,Wing Commander ,14747,3,USA,PG-13,30000000,4.1,2.35
Neil Jordan,62,277,210,11900000,Robert Downey Jr.,In Dreams ,11003,0,USA,R,30000000,5.5,1.85
James Wong,130,70,99,9353573,Ian Whyte,Dragonball: Evolution ,56451,0,USA,PG,45000000,2.7,2.35
Jee-woon Kim,376,419,165,12026670,Zach Gilford,The Last Stand ,114241,2,USA,R,45000000,6.4,2.35
Nick Hamm,130,6,353,14334645,Robert De Niro,Godsend ,22449,1,USA,PG-13,25000000,4.8,2.35
Andy Cadiff,65,3,120,12189514,Annabella Sciorra,Chasing Liberty ,30092,0,USA,PG-13,23000000,6.1,2.35
Mike Disa,77,6,843,10134754,Amy Poehler,Hoodwinked Too! Hood vs. Evil ,9682,0,USA,PG,30000000,4.8,1.85
Lasse Hallström,107,529,83,8535575,Morgan Freeman,An Unfinished Life ,24033,3,USA,PG-13,30000000,7.0,2.35
Terry Gilliam,292,0,645,7689458,Andrew Garfield,The Imaginarium of Doctor Parnassus ,126307,1,UK,PG-13,40000000,6.8,1.85
Richard J. Lewis,193,12,329,7501404,Mark Addy,Barney's Version ,21086,2,Canada,R,,7.3,2.35
,16,,51,,Ólafur Darri Ólafsson,Trapped             ,2308,0,Iceland,,,8.2,16.0
Brad Furman,184,65,681,19316646,Justin Timberlake,Runner Runner ,52069,3,USA,R,30000000,5.6,2.35
Peter Howitt,123,29,91,10965209,Tyler Labine,Antitrust ,25558,2,USA,PG-13,30000000,6.1,2.35
Edward Zwick,60,380,2000,26830000,Denzel Washington,Glory ,101888,3,USA,R,18000000,7.9,1.85
Sergio Leone,111,0,642,5300000,Robert De Niro,Once Upon a Time in America ,221000,8,Italy,R,30000000,8.4,1.85
Niels Arden Oplev,217,76,174,10880926,Dominic Cooper,Dead Man Down ,54147,2,USA,R,30000000,6.5,2.35
Michael Radford,117,53,548,3752725,Al Pacino,The Merchant of Venice ,29715,3,USA,R,18000000,7.1,2.35
Neil Jordan,105,277,345,3517797,Emir Kusturica,The Good Thief ,9004,0,France,R,25000000,6.6,1.85
Steve Boyum,41,9,826,3101301,Channing Tatum,Supercross ,3926,1,USA,PG-13,,4.0,1.85
Chris Noonan,124,108,135,2975649,Emily Watson,Miss Potter ,23864,1,UK,PG,30000000,7.0,2.35
Kaige Chen,90,45,107,668171,Dong-gun Jang,The Promise ,8215,0,China,PG-13,60000000,5.6,2.35
Corey Yuen,110,23,748,480314,Steve Howey,DOA: Dead or Alive ,38503,4,USA,PG-13,21000000,4.8,2.35
Andrew Dominik,273,181,820,3904982,Brad Pitt,The Assassination of Jesse James by the Coward Robert Ford ,136104,0,USA,R,30000000,7.5,2.35
Li Zhang,63,0,187,127437,Bingbing Li,1911 ,4670,0,China,R,18000000,6.0,2.35
Laurent Tirard,56,2,55,,Louise Bourgoin,Little Nicholas ,9214,7,France,,,7.2,1.85
Simon West,130,165,700,,Jason Statham,Wild Card ,36487,0,USA,R,30000000,5.6,2.35
Marc Forster,134,395,313,537580,Gerard Butler,Machine Gun Preacher ,52972,1,USA,R,30000000,6.8,2.35
Reinhard Klooss,36,7,480,,Jim Broadbent,Animals United ,4599,0,Germany,PG,,4.9,2.39
Bille August,46,55,11,,Terry Pheto,The Color of Freedom ,10175,1,Germany,R,30000000,7.1,2.35
Frédéric Auburtin,7,18,432,,Fisher Stevens,United Passions ,3279,4,France,Not Rated,24000000,2.0,2.35
Olivier Dahan,132,61,520,,Paz Vega,Grace of Monaco ,12410,3,Switzerland,,30000000,5.7,2.35
Maksim Fadeev,5,0,21,,Konstantin Khabenskiy,A Warrior's Tail ,393,1,Russia,,30000000,4.1,
Liliana Cavani,56,59,24,,Ray Winstone,Ripley's Game ,14618,0,Italy,R,30000000,6.7,1.85
Greg Tiernan,65,5,365,,James Franco,Sausage Party ,3302,0,USA,R,19000000,7.5,1.85
Elizabeth Banks,221,0,751,183436380,Anna Kendrick,Pitch Perfect 2 ,97697,8,USA,PG-13,29000000,6.5,1.85
James Mangold,291,446,154,119518352,Sandra Ellis Lafferty,Walk the Line ,188637,0,USA,PG-13,28000000,7.9,2.39
,13,,442,,Amanda Schull,12 Monkeys             ,20839,0,USA,TV-14,,7.6,16.0
Edward Norton,148,0,754,37036404,Lisa Edelstein,Keeping the Faith ,44816,3,USA,PG-13,30000000,6.4,1.85
Peter Hewitt,42,12,373,22359293,Jim Broadbent,The Borrowers ,16222,0,UK,PG,29000000,5.8,1.85
Ron Howard,302,2000,1000,18593156,Toby Jones,Frost/Nixon ,88682,1,USA,R,35000000,7.7,2.35
George Clooney,181,0,89,,Dick Clark,Confessions of a Dangerous Mind ,71596,0,USA,R,29000000,7.1,2.35
Reginald Hudlin,64,71,584,16930185,Matthew Perry,Serving Sara ,14315,2,Germany,PG-13,29000000,5.3,1.85
Ben Falcone,154,265,265,63034755,Peter Dinklage,The Boss ,16984,1,USA,R,29000000,5.3,1.85
Richard Attenborough,17,0,400,5899797,Denzel Washington,Cry Freedom ,9913,0,UK,PG,29000000,7.5,2.35
Lawrence Kasdan,65,759,933,4554569,Zooey Deschanel,Mumford ,8134,4,USA,R,28000000,6.9,2.35
Don Mancini,148,64,363,17016190,Jason Flemyng,Seed of Chucky ,28632,0,Romania,R,12000000,4.9,1.85
John Maybury,161,11,566,6301131,Jennifer Jason Leigh,The Jacket ,92850,0,USA,R,29000000,7.1,2.35
Ron Clements,124,63,631,217350219,Robin Williams,Aladdin ,260939,0,USA,G,28000000,8.0,1.33
F. Gary Gray,349,473,303,161029270,Aldis Hodge,Straight Outta Compton ,119928,0,USA,R,28000000,7.9,2.35
Steven Spielberg,148,14000,237,179870271,Harrison Ford,Indiana Jones and the Temple of Doom ,329969,2,USA,PG,28000000,7.6,2.35
Igor Kovalyov,45,5,368,100491683,Elizabeth Daily,The Rugrats Movie ,14005,0,USA,G,24000000,5.9,1.85
Lee Tamahori,133,93,878,74058698,Morgan Freeman,Along Came a Spider ,59232,0,USA,R,60000000,6.3,2.35
Stephen Frears,87,350,83,,Meryl Streep,Florence Foster Jenkins ,2167,3,UK,PG-13,29000000,7.1,2.35
Robert Rodriguez,178,0,876,55845943,Johnny Depp,Once Upon a Time in Mexico ,130094,1,USA,R,29000000,6.4,1.78
John McTiernan,233,323,541,81350242,Alan Rickman,Die Hard ,592582,0,USA,R,28000000,8.2,2.35
David Wain,173,136,526,67266300,Joe Lo Truglio,Role Models ,195255,1,Germany,R,28000000,6.9,1.85
Adam McKay,426,285,767,70235322,Ryan Gosling,The Big Short ,182983,4,USA,R,28000000,7.8,2.35
Ang Lee,210,0,210,7443007,Imelda Staunton,Taking Woodstock ,24663,12,USA,R,30000000,6.7,1.85
Gavin O'Connor,129,149,250,64371181,Eddie Cahill,Miracle ,36636,0,USA,PG,28000000,7.5,2.4
Zack Snyder,287,0,1000,58885635,Ty Burrell,Dawn of the Dead ,194422,0,USA,R,26000000,7.4,2.35
Adam Shankman,108,163,968,60400856,Matthew McConaughey,The Wedding Planner ,61317,2,Germany,PG-13,35000000,5.2,2.35
Shinji Aramaki,62,21,47,,Shun Oguri,Harlock: Space Pirate ,8227,0,Japan,Not Rated,30000000,6.5,2.35
Wes Anderson,220,0,327,52353636,Bill Murray,The Royal Tenenbaums ,209133,1,USA,R,21000000,7.6,2.35
James Mangold,136,446,660,51475962,Clea DuVall,Identity ,177828,0,USA,R,30000000,7.3,2.35
Jon Turteltaub,222,226,966,63910583,Robert De Niro,Last Vegas ,106755,2,USA,PG-13,28000000,6.6,2.35
John Glen,112,46,244,62300000,Julian Glover,For Your Eyes Only ,72085,1,UK,PG,28000000,6.8,2.35
Peter Chelsom,122,23,6,49968653,Lilli Lavine,Serendipity ,85423,0,USA,PG-13,28000000,6.9,1.85
Peter Hyams,62,0,186,44450000,Mia Sara,Timecop ,44394,1,Canada,R,27000000,5.8,2.35
Ben Stiller,135,0,8000,45162741,Milla Jovovich,Zoolander ,201084,0,Germany,PG-13,28000000,6.6,2.35
Lasse Hallström,184,529,325,71346930,David Lyons,Safe Haven ,78008,0,USA,PG-13,28000000,6.7,2.35
Kenny Ortega,36,197,115,39514713,Vinessa Shaw,Hocus Pocus ,60494,0,USA,PG,28000000,6.7,1.85
Scott Hicks,171,96,559,43097652,Zoë Kravitz,No Reservations ,59068,2,USA,PG,28000000,6.3,2.35
Matthew Vaughn,447,905,385,48043505,Elizabeth McGovern,Kick-Ass ,435864,1,UK,R,30000000,7.7,2.35
Ruben Fleischer,220,181,459,37053924,Bianca Kajlich,30 Minutes or Less ,77935,3,Germany,R,28000000,6.1,2.35
Patrick Lussier,122,71,1000,33000377,Gerard Butler,Dracula 2000 ,27378,0,USA,R,28000000,4.9,2.35
Miguel Arteta,119,44,3000,66950483,Bella Thorne,Alexander and the Terrible, Horrible, No Good, Very Bad Day ,29738,6,USA,PG,28000000,6.2,2.39
Joe Wright,177,456,241,38372662,Talulah Riley,Pride & Prejudice ,193455,2,France,PG,28000000,7.8,2.35
Ridley Scott,302,0,521,27000000,Harrison Ford,Blade Runner ,461609,2,USA,R,28000000,8.2,2.35
Michael Caton-Jones,44,105,902,31600000,Liam Neeson,Rob Roy ,34427,1,USA,R,28000000,6.9,2.35
McG,211,368,114,30688364,Connie Nielsen,3 Days to Kill ,69355,0,USA,PG-13,28000000,6.2,2.35
James Gray,222,115,97,28563179,Robert Duvall,We Own the Night ,72693,4,USA,R,21000000,6.9,1.85
Janusz Kaminski,100,710,258,16779636,Philip Baker Hall,Lost Souls ,9338,2,USA,R,28000000,4.8,2.35
Jacques Perrin,100,63,,10762178,Jacques Perrin,Winged Migration ,10369,0,France,G,160000000,8.0,1.85
Donald Petrie,98,80,585,17324744,Samaire Armstrong,Just My Luck ,44103,3,USA,PG-13,28000000,5.3,1.85
Jay Roach,74,116,385,8888143,Scott Grimes,Mystery, Alaska ,22250,0,Canada,R,28000000,6.7,2.35
Brian Levant,97,32,453,24268828,Madeline Carroll,The Spy Next Door ,29971,4,USA,PG,28000000,5.4,1.85
Michael Ritchie,21,23,899,8119205,Mara Wilson,A Simple Wish ,4288,3,USA,PG,28000000,5.4,1.85
John Carpenter,156,0,900,8434601,Jason Statham,Ghosts of Mars ,43006,5,USA,R,28000000,4.9,2.35
David Gordon Green,125,234,660,6998324,Dominic Flores,Our Brand Is Crisis ,11476,2,USA,R,28000000,6.1,1.85
Burr Steers,225,23,845,10907291,Matt Smith,Pride and Prejudice and Zombies ,23775,0,USA,PG-13,28000000,5.8,2.35
Martin Scorsese,85,17000,0,5532301,Tenzin Thuthob Tsarong,Kundun ,21606,0,USA,PG-13,28000000,7.0,2.35
Robert B. Weide,135,53,87,2775593,James Corden,How to Lose Friends & Alienate People ,61269,4,UK,R,27000000,6.5,1.85
Jeff Wadlow,350,65,405,28751715,Chloë Grace Moretz,Kick-Ass 2 ,202967,0,USA,R,28000000,6.6,2.35
Agustín Díaz Yanes,31,13,278,,Viggo Mortensen,Captain Alatriste: The Spanish Musketeer ,10266,1,Spain,,24000000,6.1,1.85
Camille Delamarre,177,11,561,20285518,Paul Walker,Brick Mansions ,32103,2,France,PG-13,28000000,5.7,2.35
John Glen,106,46,293,67900000,Louis Jourdan,Octopussy ,74374,0,UK,PG,27500000,6.6,2.35
Judd Apatow,251,0,529,148734225,Harold Ramis,Knocked Up ,298590,2,USA,R,30000000,7.0,1.85
Nick Cassavetes,148,415,228,49185998,Jason Patric,My Sister's Keeper ,74476,2,USA,PG-13,30000000,7.4,2.35
Malcolm D. Lee,76,92,436,42168445,Mo'Nique,Welcome Home, Roscoe Jenkins ,10791,3,USA,PG-13,35000000,5.3,1.85
David Lean,52,767,162,26400000,Richard Wilson,A Passage to India ,12980,0,UK,PG,16000000,7.4,1.85
Richard Eyre,220,14,78,17508670,Phil Davis,Notes on a Scandal ,64625,0,UK,R,15000000,7.4,1.85
Gavin Hood,131,151,11000,9664316,J.K. Simmons,Rendition ,47203,2,USA,R,27500000,6.8,2.35
,7,,535,,Colin Salmon,Limitless             ,38177,2,USA,TV-14,,7.9,16.0
Nicholas Meyer,112,120,664,74888996,Leonard Nimoy,Star Trek VI: The Undiscovered Country ,55513,0,USA,PG,30000000,7.2,2.35
Callie Khouri,93,144,477,69586544,Ellen Burstyn,Divine Secrets of the Ya-Ya Sisterhood ,15352,4,USA,PG-13,27000000,6.0,2.35
Jon Favreau,370,4000,591,362645141,Scarlett Johansson,The Jungle Book ,106221,0,UK,PG,175000000,7.8,1.85
Gary Fleder,83,39,685,60491560,Morgan Freeman,Kiss the Girls ,50653,1,USA,R,27000000,6.6,2.35
John Landis,125,644,326,54200000,John Belushi,The Blues Brothers ,142448,1,USA,R,27000000,7.9,1.85
Sanaa Hamri,73,43,523,44087387,America Ferrera,The Sisterhood of the Traveling Pants 2 ,22304,4,USA,PG-13,,6.2,1.85
Todd Graff,98,650,715,30920167,Dolly Parton,Joyful Noise ,6476,4,USA,PG-13,25000000,5.7,2.35
Chris Weitz,158,129,3,40566655,Sharon Small,About a Boy ,144021,0,UK,PG-13,30000000,7.1,2.35
Steve Miner,152,49,429,31768374,Oliver Platt,Lake Placid ,42761,0,USA,R,27000000,5.6,2.35
Paul McGuigan,202,118,1000,22494487,Bruce Willis,Lucky Number Slevin ,262153,3,Germany,R,27000000,7.8,2.35
Philip Kaufman,80,133,820,21500000,Dennis Quaid,The Right Stuff ,45271,0,USA,PG,27000000,7.9,1.85
Roland Emmerich,288,776,358,4463292,Vanessa Redgrave,Anonymous ,34488,3,UK,PG-13,30000000,6.9,2.35
Wolfgang Petersen,99,249,271,,Gerald McRaney,The NeverEnding Story ,99557,1,West Germany,PG,27000000,7.4,2.35
Alex Proyas,222,295,531,14337579,Rufus Sewell,Dark City ,156929,1,Australia,R,27000000,7.7,2.35
Saul Dibb,194,10,844,13823741,Dominic Cooper,The Duchess ,61777,3,UK,PG-13,13500000,6.9,2.35
,15,,94,,Jackie Gleason,The Honeymooners             ,3446,4,USA,,,8.7,1.33
Walter Murch,56,181,137,,Piper Laurie,Return to Oz ,19568,0,UK,PG,25000000,6.7,1.85
Richard Linklater,63,0,324,10297897,Matthew McConaughey,The Newton Boys ,8309,4,USA,PG-13,27000000,6.0,2.35
