director_name,duration,director_facebook_likes,actor_1_facebook_likes,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,plot_keywords,movie_imdb_link,language,country,title_year,actor_2_facebook_likes,aspect_ratio
John McTiernan,113,323,1000,Mark Margolis,The Thomas Crown Affair ,73068,4660,art|insurance investigator|martinique|painting|trust,http://www.imdb.com/title/tt0155267/?ref_=fn_tt_tt_1,English,USA,1999,977,2.35
Penny Marshall,132,545,919,Rosie Perez,Riding in Cars with Boys ,22447,4796,boy|college|heroin|working class|writer,http://www.imdb.com/title/tt0200027/?ref_=fn_tt_tt_1,English,USA,2001,811,1.85
Ted Kotcheff,93,270,13000,Sylvester Stallone,First Blood ,172489,15192,1980s|colonel|deputy|rambo|sheriff,http://www.imdb.com/title/tt0083944/?ref_=fn_tt_tt_1,English,USA,1982,954,2.35
Andrei Tarkovsky,115,0,29,Donatas Banionis,Solaris ,54057,95,hallucination|ocean|psychologist|scientist|space station,http://www.imdb.com/title/tt0069293/?ref_=fn_tt_tt_1,Russian,Soviet Union,1972,29,2.35
Paul Bolger,75,0,4000,Sarah Michelle Gellar,Happily N'Ever After ,8693,6863,apostrophe in title|cinderella|first of series|punctuation in title|three word title,http://www.imdb.com/title/tt0308353/?ref_=fn_tt_tt_1,English,USA,2006,769,1.85
Stephen Frears,108,350,8000,Julia Roberts,Mary Reilly ,11913,8349,19th century|butler|housemaid|laboratory|servant,http://www.imdb.com/title/tt0117002/?ref_=fn_tt_tt_1,English,USA,1996,115,1.85
P.J. Hogan,105,29,8000,Julia Roberts,My Best Friend's Wedding ,98199,12344,best friend|chick flick|male female friendship|promise|wedding,http://www.imdb.com/title/tt0119738/?ref_=fn_tt_tt_1,English,USA,1997,1000,2.35
Joe Roth,102,148,8000,Julia Roberts,America's Sweethearts ,47573,9176,actor|love|movie star|press|publicist,http://www.imdb.com/title/tt0265029/?ref_=fn_tt_tt_1,English,USA,2001,973,2.35
Christopher Nolan,118,22000,14000,Al Pacino,Insomnia ,218771,15658,detective|insomnia|murder|partner|police,http://www.imdb.com/title/tt0278504/?ref_=fn_tt_tt_1,English,USA,2002,509,2.35
Jonathan Frakes,111,906,1000,LeVar Burton,Star Trek: First Contact ,97838,6315,21st century|borg|borg sphere|captain|sphere,http://www.imdb.com/title/tt0117731/?ref_=fn_tt_tt_1,English,USA,1996,1000,2.35
Jimmy Hayward,81,39,13000,Michael Fassbender,Jonah Hex ,45729,14619,confederate|death|independence day|military|terrorist,http://www.imdb.com/title/tt1075747/?ref_=fn_tt_tt_1,English,USA,2010,541,2.35
Edward Zwick,116,380,18000,Denzel Washington,Courage Under Fire ,40126,33233,bravery|honor|medal of honor|military life|unreliable flashback,http://www.imdb.com/title/tt0115956/?ref_=fn_tt_tt_1,English,USA,1996,13000,1.85
Tom Shadyac,86,293,509,Maura Tierney,Liar Liar ,220392,2070,birthday|birthday wish|father disappoints child|lie|workaholic,http://www.imdb.com/title/tt0119528/?ref_=fn_tt_tt_1,English,USA,1997,418,1.85
Brad Furman,127,65,788,Joseph Gilgun,The Infiltrator ,2581,2104,,http://www.imdb.com/title/tt1355631/?ref_=fn_tt_tt_1,English,UK,2016,423,2.35
Terence Young,140,92,1000,Laurence Olivier,Inchon ,491,2704,1950s|douglas macarthur|general|inchon|invasion,http://www.imdb.com/title/tt0084132/?ref_=fn_tt_tt_1,English,South Korea,1981,623,2.35
Brian Levant,91,32,924,Jonathan Winters,The Flintstones ,60884,3244,1000000 b.c.|box office hit|lawn mowing|product placement|stone age,http://www.imdb.com/title/tt0109813/?ref_=fn_tt_tt_1,English,USA,1994,664,1.33
Olivier Megaton,98,118,14000,Liam Neeson,Taken 2 ,238671,16410,albanian|revenge|revenge motive|teenage daughter|vacation,http://www.imdb.com/title/tt1397280/?ref_=fn_tt_tt_1,English,France,2012,935,2.35
David Zucker,84,119,807,Regina Hall,Scary Movie 3 ,111526,3629,crop circle|farm|orchestral music score|reference to michael jackson|videotape,http://www.imdb.com/title/tt0306047/?ref_=fn_tt_tt_1,English,USA,2003,780,1.85
Donald Petrie,109,80,545,Candice Bergen,Miss Congeniality ,137377,1574,beauty pageant|fbi|female agent|pageant|undercover,http://www.imdb.com/title/tt0212346/?ref_=fn_tt_tt_1,English,USA,2000,337,1.85
Eric Brevig,93,40,14000,Josh Hutcherson,Journey to the Center of the Earth ,85323,17925,cave|lost world|missing brother|mountain|venus flytrap,http://www.imdb.com/title/tt0373051/?ref_=fn_tt_tt_1,English,USA,2008,3000,1.85
Garry Marshall,113,0,11000,Anne Hathaway,The Princess Diaries 2: Royal Engagement ,53687,15362,coronation|horse|princess|queen|side saddle,http://www.imdb.com/title/tt0368933/?ref_=fn_tt_tt_1,English,USA,2004,1000,1.85
Alan J. Pakula,141,79,18000,Denzel Washington,The Pelican Brief ,59569,30063,college professor|fbi|president|professor|supreme court,http://www.imdb.com/title/tt0107798/?ref_=fn_tt_tt_1,English,USA,1993,8000,2.35
Joel Schumacher,119,541,821,Bradley Whitford,The Client ,45798,4043,boy|brother|lawyer|mafia|senator,http://www.imdb.com/title/tt0109446/?ref_=fn_tt_tt_1,English,USA,1994,577,2.35
Rob Reiner,97,0,11000,Morgan Freeman,The Bucket List ,184795,14868,billionaire|friend|hospital|list|mechanic,http://www.imdb.com/title/tt0825232/?ref_=fn_tt_tt_1,English,USA,2007,2000,1.85
Phillip Noyce,117,176,11000,Harrison Ford,Patriot Games ,81442,12757,analyst|cia|ira|terrorist|terrorist attack,http://www.imdb.com/title/tt0105112/?ref_=fn_tt_tt_1,English,USA,1992,530,2.35
Robert Luketic,101,126,3000,Adam Scott,Monster-in-Law ,43358,6292,breakdown|fight|mother in law|scheme|wedding,http://www.imdb.com/title/tt0369735/?ref_=fn_tt_tt_1,English,Germany,2005,949,2.35
Denis Villeneuve,153,777,20000,Hugh Jackman,Prisoners ,383591,37321,child abduction|detective|investigation|police|sex offender,http://www.imdb.com/title/tt1392214/?ref_=fn_tt_tt_1,English,USA,2013,15000,1.85
Antoine Fuqua,122,845,18000,Denzel Washington,Training Day ,305929,22370,lapd|narc|narcotics|title spoken by character|training,http://www.imdb.com/title/tt0139654/?ref_=fn_tt_tt_1,English,USA,2001,881,2.35
Dean Parisot,102,23,25000,Alan Rickman,Galaxy Quest ,123558,26998,alien|alien race|convention|fan|general,http://www.imdb.com/title/tt0177789/?ref_=fn_tt_tt_1,English,USA,1999,724,2.35
Keenen Ivory Wayans,83,322,1000,Natasha Lyonne,Scary Movie 2 ,119590,1645,blow job|demon|exorcism|priest|professor,http://www.imdb.com/title/tt0257106/?ref_=fn_tt_tt_1,English,USA,2001,422,1.85
James Bobin,103,33,970,Bill Cobbs,The Muppets ,75176,1336,bel air california|book|friends who live together|the muppets|tribute band,http://www.imdb.com/title/tt1204342/?ref_=fn_tt_tt_1,English,USA,2011,91,1.85
Stephen Norrington,110,45,886,Sanaa Lathan,Blade ,191437,3174,1990s|blade|blood|vampire|vampire hunter,http://www.imdb.com/title/tt0120611/?ref_=fn_tt_tt_1,English,USA,1998,650,2.35
Thomas Carter,136,49,17000,Channing Tatum,Coach Carter ,92702,20299,basketball|basketball coach|coach|contract|high school,http://www.imdb.com/title/tt0393162/?ref_=fn_tt_tt_1,English,USA,2005,807,2.35
Roger Michell,91,50,521,Sydney Pollack,Changing Lanes ,57281,758,car accident|feud|lawyer|revenge|road rage,http://www.imdb.com/title/tt0264472/?ref_=fn_tt_tt_1,English,USA,2002,108,2.35
Luis Llosa,89,49,2000,Frank Welker,Anaconda ,73539,3717,amazon|anaconda|boat|jungle|snake,http://www.imdb.com/title/tt0118615/?ref_=fn_tt_tt_1,English,USA,1997,902,2.35
David McNally,107,18,811,Adam Garcia,Coyote Ugly ,90539,3106,girl in panties|lift skirt|sexual attraction|short shorts|songwriter,http://www.imdb.com/title/tt0200550/?ref_=fn_tt_tt_1,English,USA,2000,625,2.35
Richard Curtis,129,628,14000,Colin Firth,Love Actually ,318634,28886,aging rocker|christmas|love at first sight|minister|prime minister,http://www.imdb.com/title/tt0314331/?ref_=fn_tt_tt_1,English,UK,2003,14000,2.35
John Lasseter,95,487,18000,Kevin Spacey,A Bug's Life ,211226,24205,ant|circus|grasshopper|misunderstanding|overhearing,http://www.imdb.com/title/tt0120623/?ref_=fn_tt_tt_1,English,USA,1998,1000,2.35
Albert Hughes,122,117,40000,Johnny Depp,From Hell ,124765,41636,freemason|jack the ripper|opium|prostitute|victorian era,http://www.imdb.com/title/tt0120681/?ref_=fn_tt_tt_1,English,USA,2001,1000,2.35
Luis Llosa,110,49,13000,Sylvester Stallone,The Specialist ,50148,13331,bomb|cia|explosive|explosives expert|miami florida,http://www.imdb.com/title/tt0111255/?ref_=fn_tt_tt_1,English,Peru,1994,279,1.85
Ron Shelton,135,41,982,Don Johnson,Tin Cup ,37911,3648,driving range|golf|golfer|tournament|winnebago,http://www.imdb.com/title/tt0117918/?ref_=fn_tt_tt_1,English,USA,1996,843,2.35
Melville Shavelson,111,5,6000,Lucille Ball,"Yours, Mine and Ours ",5888,7493,nurse|parent|sibling|widow|widower,http://www.imdb.com/title/tt0063829/?ref_=fn_tt_tt_1,English,USA,1968,584,1.85
Jesse Dylan,95,58,14000,Josh Hutcherson,Kicking & Screaming ,30255,27351,book|child|slapstick comedy|soccer|suburb,http://www.imdb.com/title/tt0384642/?ref_=fn_tt_tt_1,English,USA,2005,8000,2.35
Garth Jennings,109,37,11000,Zooey Deschanel,The Hitchhiker's Guide to the Galaxy ,155745,14073,alien|friend|galaxy|hyperspace|spaceship,http://www.imdb.com/title/tt0371724/?ref_=fn_tt_tt_1,English,USA,2005,2000,2.35
Joel Zwick,93,38,1000,Dania Ramirez,Fat Albert ,9380,4604,animated sequence|junkyard|love|party|television,http://www.imdb.com/title/tt0396592/?ref_=fn_tt_tt_1,English,USA,2004,641,2.35
Russell Mulcahy,94,85,14000,Milla Jovovich,Resident Evil: Extinction ,149549,16225,clone|convoy|crow|desert|satellite,http://www.imdb.com/title/tt0432021/?ref_=fn_tt_tt_1,English,France,2007,706,2.35
Frank Coraci,117,153,35000,Bella Thorne,Blended ,87165,49743,blind date|children|date|daughter|son,http://www.imdb.com/title/tt1086772/?ref_=fn_tt_tt_1,English,USA,2014,11000,1.85
Wayne Wang,112,61,1000,LL Cool J,Last Holiday ,21215,3757,chef|congressman|cook|hotel|senator,http://www.imdb.com/title/tt0408985/?ref_=fn_tt_tt_1,English,USA,2006,976,2.35
Curtis Hanson,111,161,11000,Meryl Streep,The River Wild ,32544,12161,criminal|rafting|river|robber|white water rafting,http://www.imdb.com/title/tt0110997/?ref_=fn_tt_tt_1,English,USA,1994,894,2.35
Frank Oz,96,0,1000,Steve Coogan,The Indian in the Cupboard ,20688,2965,best friend|birthday|boy|friend|magic,http://www.imdb.com/title/tt0113419/?ref_=fn_tt_tt_1,English,USA,1995,845,1.85
Oliver Stone,141,0,749,Demián Bichir,Savages ,104301,1948,arms tied overhead|damsel in distress|dea|marijuana|southern california,http://www.imdb.com/title/tt1615065/?ref_=fn_tt_tt_1,English,USA,2012,463,2.35
David R. Ellis,94,160,550,Richard Burgi,Cellular ,79141,1102,cell phone|distress signal|family in danger|police|stealing a car,http://www.imdb.com/title/tt0337921/?ref_=fn_tt_tt_1,English,USA,2004,216,2.35
Peter Howitt,87,29,427,Kevin McNally,Johnny English ,114692,1461,british|crown jewels|explosion|funeral|spy,http://www.imdb.com/title/tt0274166/?ref_=fn_tt_tt_1,English,UK,2003,304,1.85
John A. Davis,88,8,12000,Nicolas Cage,The Ant Bully ,30055,33822,ant|miniaturization|punishment|shrinking|sudden change in size,http://www.imdb.com/title/tt0429589/?ref_=fn_tt_tt_1,English,USA,2006,11000,1.85
David Lynch,177,0,913,Virginia Madsen,Dune ,97087,2449,desert planet|dune|giant worm|space travel|spice,http://www.imdb.com/title/tt0087182/?ref_=fn_tt_tt_1,English,USA,1984,362,2.35
Julie Taymor,133,278,5000,Jim Sturgess,Across the Universe ,91860,5405,anti war|liverpool|love|protest|song,http://www.imdb.com/title/tt0445922/?ref_=fn_tt_tt_1,English,USA,2007,117,2.35
Sam Mendes,119,0,29000,Leonardo DiCaprio,Revolutionary Road ,152591,53895,based on novel|children|connecticut|suburb|work,http://www.imdb.com/title/tt0959337/?ref_=fn_tt_tt_1,English,USA,2008,14000,2.35
Richard Donner,102,503,13000,Bruce Willis,16 Blocks ,112769,15053,alcoholic|courthouse|detective|jail|witness,http://www.imdb.com/title/tt0450232/?ref_=fn_tt_tt_1,English,Germany,2006,929,2.35
Mathieu Kassovitz,101,326,14000,Vin Diesel,Babylon A.D. ,81523,15990,box office flop|convent|mercenary|new york|pregnant,http://www.imdb.com/title/tt0364970/?ref_=fn_tt_tt_1,English,France,2008,844,2.35
John Gray,91,29,2000,Alexa PenaVega,The Glimmer Man ,15455,3855,detective|heavy rain|murder|partner|serial killer,http://www.imdb.com/title/tt0116421/?ref_=fn_tt_tt_1,English,USA,1996,461,1.85
Harold Ramis,117,11000,905,John de Lancie,Multiplicity ,24757,2348,clone|cloning|construction|same actor playing two characters simultaneously on screen|year 1996,http://www.imdb.com/title/tt0117108/?ref_=fn_tt_tt_1,English,USA,1996,484,2.35
John Schultz,86,13,1000,Malese Jow,Aliens in the Attic ,16580,3423,alien|attic|boyfriend|mind control|nintendo ds,http://www.imdb.com/title/tt0775552/?ref_=fn_tt_tt_1,English,USA,2009,701,1.85
Sean Penn,124,0,723,Costas Mandylor,The Pledge ,42621,793,nevada|pledge|police|porcupine|search,http://www.imdb.com/title/tt0237572/?ref_=fn_tt_tt_1,English,USA,2001,44,2.35
Susan Stroman,134,38,11000,Jon Lovitz,The Producers ,35140,24351,accountant|money|opening night|scheme|swedish,http://www.imdb.com/title/tt0395251/?ref_=fn_tt_tt_1,English,USA,2005,8000,2.35
Pete Travis,95,38,409,Wood Harris,Dredd ,203461,578,brutality|dark humor|female antagonist|female warrior|post apocalypse,http://www.imdb.com/title/tt1343727/?ref_=fn_tt_tt_1,English,UK,2012,107,2.35
Simon Wincer,100,23,1000,Cary-Hiroyuki Tagawa,The Phantom ,27648,3855,ghost|new york city|phantom|skull|superhero,http://www.imdb.com/title/tt0117331/?ref_=fn_tt_tt_1,English,Australia,1996,642,2.35
Billy Bob Thornton,220,0,13000,Matt Damon,All the Pretty Horses ,11388,15006,1940s|cowboy|mexico|railway station|texas,http://www.imdb.com/title/tt0149624/?ref_=fn_tt_tt_1,English,USA,2000,861,2.35
Oliver Stone,212,0,12000,Anthony Hopkins,Nixon ,23996,21130,courtship|election|paranoia|president|quaker,http://www.imdb.com/title/tt0113987/?ref_=fn_tt_tt_1,English,USA,1995,5000,2.35
Roman Polanski,128,2000,854,Jim Belushi,The Ghost Writer ,132423,2507,british prime minister|death|island|memoir|writer,http://www.imdb.com/title/tt1139328/?ref_=fn_tt_tt_1,English,France,2010,766,2.35
Stephen Sommers,106,208,3000,Djimon Hounsou,Deep Rising ,26551,6558,creature feature|hijacker|ocean|ship|shot in the leg,http://www.imdb.com/title/tt0118956/?ref_=fn_tt_tt_1,English,USA,1998,1000,2.35
Spike Lee,160,0,23000,Joseph Gordon-Levitt,Miracle at St. Anna ,15697,26982,boy|german soldier|partisan|trapped|village,http://www.imdb.com/title/tt1046997/?ref_=fn_tt_tt_1,English,USA,2008,1000,2.35
Yimou Zhang,114,611,879,Li Gong,Curse of the Golden Flower ,36455,949,china|chrysanthemum|emperor|empress|prince,http://www.imdb.com/title/tt0473444/?ref_=fn_tt_tt_1,Mandarin,China,2006,52,2.35
Danny Pang,99,15,12000,Nicolas Cage,Bangkok Dangerous ,48245,12166,deaf|hitman|nightclub|pickpocket|rules of profession,http://www.imdb.com/title/tt0814022/?ref_=fn_tt_tt_1,English,USA,2008,68,1.85
Barry Sonnenfeld,74,188,11000,Zooey Deschanel,Big Trouble ,17307,13917,airport|fbi agent|person in a car trunk|suitcase|suitcase bomb,http://www.imdb.com/title/tt0246464/?ref_=fn_tt_tt_1,English,USA,2002,1000,1.85
Mike Newell,139,179,267,Marcela Mar,Love in the Time of Cholera ,19114,538,19th century|colombia|love|marriage|widow,http://www.imdb.com/title/tt0484740/?ref_=fn_tt_tt_1,English,USA,2007,202,2.35
,52,,164,Pierre Perrier,The Returned             ,15762,654,france|living dead|serial killer|small town|supernatural,http://www.imdb.com/title/tt2521668/?ref_=fn_tt_tt_1,French,France,,116,16.0
George P. Cosmatos,103,170,849,Sam Waterston,Shadow Conspiracy ,3803,2457,american president|assassin|conspiracy|president|white house,http://www.imdb.com/title/tt0120107/?ref_=fn_tt_tt_1,English,USA,1997,623,2.35
Oliver Parker,101,32,219,Daniel Kaluuya,Johnny English Reborn ,89568,661,assassin|chinese|conspiracy|gadget|premier,http://www.imdb.com/title/tt1634122/?ref_=fn_tt_tt_1,English,USA,2011,141,2.35
Lawrence Kasanoff,91,11,719,Jerry Stiller,Foodfight! ,4377,3090,femme fatale|food|pun|supermarket|troubled production,http://www.imdb.com/title/tt0249516/?ref_=fn_tt_tt_1,English,USA,2012,611,
Ben Affleck,130,0,1000,Clea DuVall,Argo ,452465,3133,1970s|cia|f word|u.s. embassy|year 1979,http://www.imdb.com/title/tt1024648/?ref_=fn_tt_tt_1,English,USA,2012,660,2.35
Andrew Davis,130,99,11000,Harrison Ford,The Fugitive ,213668,13357,hospital|on the run|one armed man|surgeon|u.s. marshal,http://www.imdb.com/title/tt0106977/?ref_=fn_tt_tt_1,English,USA,1993,1000,1.85
Andy Tennant,110,72,18000,Gerard Butler,The Bounty Hunter ,96565,21554,bounty hunter|death|murder|police officer|reporter,http://www.imdb.com/title/tt1038919/?ref_=fn_tt_tt_1,English,USA,2010,1000,2.35
Barry Levinson,147,272,22000,Robert De Niro,Sleepers ,154487,37076,boy|guard|kicked in the crotch|prank|sexual abuse,http://www.imdb.com/title/tt0117665/?ref_=fn_tt_tt_1,English,USA,1996,11000,2.35
George P. Cosmatos,96,170,13000,Sylvester Stallone,Rambo: First Blood Part II ,117606,15662,1980s|mission|prison|rambo|vietnam,http://www.imdb.com/title/tt0089880/?ref_=fn_tt_tt_1,English,USA,1985,738,2.35
Brian Gibson,118,13,23000,Joseph Gordon-Levitt,The Juror ,13995,26907,breasts|mafia|sex scene|temple|woods,http://www.imdb.com/title/tt0116731/?ref_=fn_tt_tt_1,English,USA,1996,2000,2.35
Norman Ferguson,88,3,1000,Mel Blanc,Pinocchio ,90360,1178,boy|conscience|fairy|jiminy cricket|pinocchio,http://www.imdb.com/title/tt0032910/?ref_=fn_tt_tt_1,English,USA,1940,48,1.37
Michael Cimino,325,517,12000,Jeff Bridges,Heaven's Gate ,9830,14255,1890s|hired gun|immigrant|johnson county war|sheriff,http://www.imdb.com/title/tt0080855/?ref_=fn_tt_tt_1,English,USA,1980,849,2.35
Len Wiseman,102,235,956,Sophia Myles,Underworld: Evolution ,156225,2998,death|feud|forbidden love|vampire|werewolf,http://www.imdb.com/title/tt0401855/?ref_=fn_tt_tt_1,English,USA,2006,845,2.35
Paul McGuigan,110,118,11000,Daniel Radcliffe,Victor Frankenstein ,28618,12876,assistant|experiment|frankenstein|medical student|scientist,http://www.imdb.com/title/tt1976009/?ref_=fn_tt_tt_1,English,USA,2015,1000,2.35
Gus Van Sant,136,835,670,F. Murray Abraham,Finding Forrester ,73006,1801,basketball|mentor|new york|school|writing,http://www.imdb.com/title/tt0181536/?ref_=fn_tt_tt_1,English,USA,2000,370,2.35
Betty Thomas,103,84,12000,Steve Buscemi,28 Days ,34597,23864,12 step program|box office hit|car accident|vomiting|wedding,http://www.imdb.com/title/tt0191754/?ref_=fn_tt_tt_1,English,USA,2000,10000,1.37
Louis Leterrier,103,255,11000,Morgan Freeman,Unleashed ,85198,22383,collar|dog|fight|fighting|piano,http://www.imdb.com/title/tt0342258/?ref_=fn_tt_tt_1,English,France,2005,5000,2.35
Roger Kumble,90,16,44,Judith Chapman,The Sweetest Thing ,46158,132,female removes her clothes|roommate|voyeur|voyeurism|wedding,http://www.imdb.com/title/tt0253867/?ref_=fn_tt_tt_1,English,USA,2002,28,1.85
Sydney Pollack,154,521,10000,Tom Cruise,The Firm ,88844,14244,bar|fbi|law|law firm|lawyer,http://www.imdb.com/title/tt0106918/?ref_=fn_tt_tt_1,English,USA,1993,1000,1.85
Burr Steers,99,23,405,Augustus Prew,Charlie St. Cloud ,47364,1066,brother brother relationship|death of brother|ghost|seeing dead people|talking with the dead,http://www.imdb.com/title/tt1438254/?ref_=fn_tt_tt_1,English,USA,2010,268,2.35
Simon West,93,165,26000,Jason Statham,The Mechanic ,117999,27834,apprentice|disobeying orders|gas station|hitman|nightclub,http://www.imdb.com/title/tt0472399/?ref_=fn_tt_tt_1,English,USA,2011,956,2.35
Phil Lord,109,97,17000,Channing Tatum,21 Jump Street ,408302,19968,narcotics|parody|police|remake|undercover cop,http://www.imdb.com/title/tt1232829/?ref_=fn_tt_tt_1,English,USA,2012,971,2.35
Roger Michell,124,50,8000,Julia Roberts,Notting Hill ,203269,9255,actress|bookstore|friend|kiss|love,http://www.imdb.com/title/tt0125439/?ref_=fn_tt_tt_1,English,UK,1999,437,2.35
Peter Lord,84,91,579,Imelda Staunton,Chicken Run ,140499,1817,chicken|escape|farm|freedom|rooster,http://www.imdb.com/title/tt0120630/?ref_=fn_tt_tt_1,English,UK,2000,530,1.85
John Hamburg,90,29,22000,Philip Seymour Hoffman,Along Came Polly ,106909,24534,bride|friend|honeymoon|insurance|insurance company,http://www.imdb.com/title/tt0343135/?ref_=fn_tt_tt_1,English,USA,2004,923,1.85
Reginald Hudlin,117,71,723,John Witherspoon,Boomerang ,20183,3841,advertising|battle of the sexes|dating|one word title|womanizer,http://www.imdb.com/title/tt0103859/?ref_=fn_tt_tt_1,English,USA,1992,558,1.85
Paul Feig,123,176,975,Michael Rapaport,The Heat ,133177,4825,drug lord|fbi|fbi agent|hospital|shot in the crotch,http://www.imdb.com/title/tt2404463/?ref_=fn_tt_tt_1,English,USA,2013,815,2.35
Joseph L. Mankiewicz,251,311,940,Martin Landau,Cleopatra ,21554,2957,cleopatra|egypt|epic|queen|roman empire,http://www.imdb.com/title/tt0056937/?ref_=fn_tt_tt_1,English,UK,1963,726,2.2
Frank Coraci,105,153,4000,Salma Hayek,Here Comes the Boom ,74169,6727,claim in title|high school|mixed martial arts|ultimate fighting championship|underdog,http://www.imdb.com/title/tt1648179/?ref_=fn_tt_tt_1,English,USA,2012,828,1.85
Carl Franklin,115,73,11000,Morgan Freeman,High Crimes ,30077,15571,defense lawyer|lawyer|marine|murder|villager,http://www.imdb.com/title/tt0257756/?ref_=fn_tt_tt_1,English,USA,2002,3000,2.35
Barbra Streisand,122,0,12000,Jeff Bridges,The Mirror Has Two Faces ,11453,13716,columbia university|lecture|marriage|professor|sex,http://www.imdb.com/title/tt0117057/?ref_=fn_tt_tt_1,English,USA,1996,592,1.85
Mark Pellington,119,89,650,Debra Messing,The Mothman Prophecies ,63677,1651,car accident|death of wife|mothman|point pleasant west virginia|urban legend,http://www.imdb.com/title/tt0265349/?ref_=fn_tt_tt_1,English,USA,2002,537,2.35
Larry Charles,81,119,468,Bono,Brüno ,119622,2134,austrian|fame|fashion|gay lead character|mockumentary,http://www.imdb.com/title/tt0889583/?ref_=fn_tt_tt_1,English,USA,2009,442,1.85
John Glen,133,46,683,Robert Davi,Licence to Kill ,74009,2371,drug cartel|drug lord|james bond 007|personal vendetta|vengeance,http://www.imdb.com/title/tt0097742/?ref_=fn_tt_tt_1,English,UK,1989,349,2.35
Catherine Hardwicke,100,308,10000,Gary Oldman,Red Riding Hood ,91151,15369,death|forest|love|werewolf|werewolf bite,http://www.imdb.com/title/tt1486185/?ref_=fn_tt_tt_1,English,USA,2011,2000,2.35
John Herzfeld,120,17,22000,Robert De Niro,15 Minutes ,42547,33585,criminal|detective|fire|homicide|media,http://www.imdb.com/title/tt0179626/?ref_=fn_tt_tt_1,English,USA,2001,9000,2.35
Annabel Jankel,104,5,5000,Bob Hoskins,Super Mario Bros. ,38203,7723,based on video game|dinosaur|king|mario|plumber,http://www.imdb.com/title/tt0108255/?ref_=fn_tt_tt_1,English,UK,1993,922,1.85
Andrew Niccol,122,487,12000,Nicolas Cage,Lord of War ,248123,12076,1980s|arms dealer|immorality|ukrainian|warlord,http://www.imdb.com/title/tt0399295/?ref_=fn_tt_tt_1,English,USA,2005,43,2.35
Yimou Zhang,80,611,5000,Jet Li,Hero ,149414,6229,china|flying|king|palace|sword,http://www.imdb.com/title/tt0299977/?ref_=fn_tt_tt_1,Mandarin,China,2002,643,2.35
Julie Anne Robinson,91,30,922,Fisher Stevens,One for the Money ,34203,3301,bail bond|bounty hunter|jeans|shot in the butt|title directed by female,http://www.imdb.com/title/tt1598828/?ref_=fn_tt_tt_1,English,USA,2012,786,2.35
Evan Goldberg,112,133,11000,James Franco,The Interview ,247020,12239,assassination attempt|communist dictatorship|dictator|exploding helicopter|finger bitten off,http://www.imdb.com/title/tt2788710/?ref_=fn_tt_tt_1,English,USA,2014,392,2.35
Sngmoo Lee,100,19,624,Tony Cox,The Warrior's Way ,22309,2056,bullet time|explosion|knife throwing|throwing a knife|violence,http://www.imdb.com/title/tt1032751/?ref_=fn_tt_tt_1,English,New Zealand,2010,489,2.35
,30,,870,Tim Conway,McHale's Navy             ,1558,1610,american soldier|naval uniform|navy|patrol boat|uniform,http://www.imdb.com/title/tt0055689/?ref_=fn_tt_tt_1,English,USA,,284,4.0
Jean-Pierre Jeunet,105,0,1000,Omar Sy,Micmacs ,24657,1342,bullet|contortionist|gag humor|human cannonball|revenge,http://www.imdb.com/title/tt1149361/?ref_=fn_tt_tt_1,French,France,2009,172,2.35
Curtis Hanson,110,161,1000,Mekhi Phifer,8 Mile ,187181,1954,competition|contest|friend|self expression|white rapper,http://www.imdb.com/title/tt0298203/?ref_=fn_tt_tt_1,English,USA,2002,418,2.35
Jamel Debbouze,101,326,326,Jamel Debbouze,Animal Kingdom: Let's go Ape ,590,488,ape|computer animation|evolution|first person title|reference to louis de funes,http://www.imdb.com/title/tt1220911/?ref_=fn_tt_tt_1,French,France,2015,152,
Brian Helgeland,144,241,13000,Heath Ledger,A Knight's Tale ,137003,18761,chaucer|jousting|knight|medieval times|tournament,http://www.imdb.com/title/tt0183790/?ref_=fn_tt_tt_1,English,USA,2001,3000,2.35
Gordon Chan,108,4,687,Julian Sands,The Medallion ,29861,1134,hong kong|interpol|medallion|ship|tough cop,http://www.imdb.com/title/tt0288045/?ref_=fn_tt_tt_1,English,Hong Kong,2003,312,2.35
M. Night Shyamalan,107,0,13000,Bruce Willis,The Sixth Sense ,704766,17540,able to see the dead|ghost|plot twist|psychic|surprise ending,http://www.imdb.com/title/tt0167404/?ref_=fn_tt_tt_1,English,USA,1999,3000,1.85
Asger Leth,102,20,107,Robert Clohessy,Man on a Ledge ,125198,362,detective|diamond|hotel|police|rooftop,http://www.imdb.com/title/tt1568338/?ref_=fn_tt_tt_1,English,USA,2012,81,2.35
David Frankel,100,64,734,Joel McHale,The Big Year ,34809,2085,alaska|birding|competition|migration|storm,http://www.imdb.com/title/tt1053810/?ref_=fn_tt_tt_1,English,USA,2011,574,2.35
John G. Avildsen,126,80,668,Martin Kove,The Karate Kid ,126907,2004,apartment|bully|fight|karate|master,http://www.imdb.com/title/tt0087538/?ref_=fn_tt_tt_1,English,USA,1984,641,1.85
David O. Russell,138,737,34000,Jennifer Lawrence,American Hustle ,358416,83012,based on true story|con artist|drunk wife|fbi investigation|scam,http://www.imdb.com/title/tt1800241/?ref_=fn_tt_tt_1,English,USA,2013,23000,2.35
