director_name,duration,actor_3_facebook_likes,actor_2_name,gross,genres,actor_1_name,num_voted_users,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,country,content_rating,title_year,aspect_ratio
Jonathan Teplitzky,116,212,Colin Firth,4435083,Biography|Drama|Romance|War,Jeremy Irvine,27882,Sam Reid,2,japanese soldier|physical torture|pow camp|prisoner of war|reference to adolf hitler,http://www.imdb.com/title/tt2058107/?ref_=fn_tt_tt_1,Australia,R,2013,2.35
,60,405,Dylan Walsh,,Drama|Mystery,Poppy Montgomery,12854,Dallas Roberts,1,hyperthymesia|new york city|police,http://www.imdb.com/title/tt1842530/?ref_=fn_tt_tt_1,USA,,,
Michael Haneke,144,16,Burghart Klaußner,2222647,Drama|Mystery,Ulrich Tukur,52958,Leonie Benesch,0,children|doctor|mysterious event|pastor|small village,http://www.imdb.com/title/tt1149362/?ref_=fn_tt_tt_1,Germany,R,2009,1.85
Zack Ward,92,161,Anna Harr,,Horror,Zack Ward,436,James Cullen Bressack,0,,http://www.imdb.com/title/tt4517738/?ref_=fn_tt_tt_1,USA,,2016,
Mike Marvin,93,415,Randy Quaid,3500000,Action|Horror|Romance|Sci-Fi|Thriller,Clint Howard,10082,Nick Cassavetes,2,arizona|death|gang|police|sheriff,http://www.imdb.com/title/tt0092240/?ref_=fn_tt_tt_1,USA,R,1986,1.85
D.J. Caruso,103,576,Meat Loaf,676698,Crime|Drama|Mystery|Thriller,Adam Goldberg,26730,Anthony LaPaglia,0,male in shower|murder|neighbor neighbor relationship|remote control car|sex scene,http://www.imdb.com/title/tt0235737/?ref_=fn_tt_tt_1,USA,R,2002,1.85
Nimród Antal,93,151,Mackenzie Gray,3419967,Music,James Hetfield,13359,Lars Ulrich,0,headbanger|metallica|roadie|song in title|standing on the roof of a car,http://www.imdb.com/title/tt2172935/?ref_=fn_tt_tt_1,USA,R,2013,2.35
Gregor Jordan,98,394,Brad Renfro,,Crime|Drama|Thriller,Austin Nichols,14324,Lou Taylor Pucci,1,breasts|female nudity|male pubic hair|pubic hair|sex scene,http://www.imdb.com/title/tt0865554/?ref_=fn_tt_tt_1,Germany,R,2008,2.35
,334,30,Nora von Waldstätten,145118,Biography|Crime|Drama|Thriller,Edgar Ramírez,10111,Katharina Schüttler,0,opec|pubic hair|revolutionary|terrorism|true crime,http://www.imdb.com/title/tt1321865/?ref_=fn_tt_tt_1,France,Not Rated,,2.35
Tran Anh Hung,114,32,Simón Andreu,,Thriller,Takuya Kimura,2541,Shawn Yue,0,gangster|hong kong|missing person|missing son|serial killer,http://www.imdb.com/title/tt1024744/?ref_=fn_tt_tt_1,France,Not Rated,2009,2.35
Lance Hool,121,353,Joaquim de Almeida,229311,Action|Drama|History|Romance|War|Western,Tom Berenger,899,Mark Moses,2,american|battalion|catholic|mexican|sergeant,http://www.imdb.com/title/tt0120775/?ref_=fn_tt_tt_1,Spain,R,1999,2.35
George A. Romero,87,83,John Amplas,,Horror,Greg Nicotero,49669,Joseph Pilato,1,bunker|experiment|military|research|scientist,http://www.imdb.com/title/tt0088993/?ref_=fn_tt_tt_1,USA,Unrated,1985,1.85
Chuck Russell,92,757,Rebecca De Mornay,,Action|Crime|Drama|Thriller,Sam Trammell,4510,Amanda Schull,1,conspiracy|female scientist|mugging|police detective|tattoo,http://www.imdb.com/title/tt3212232/?ref_=fn_tt_tt_1,USA,R,2016,
Christian Volckman,105,69,Catherine McCormack,63260,Action|Animation|Sci-Fi|Thriller,Romola Garai,14325,Kevork Malikyan,0,future|kidnapping|missing file|paris france|year 2054,http://www.imdb.com/title/tt0386741/?ref_=fn_tt_tt_1,France,R,2006,2.35
Jon Cassar,90,720,Landon Liboiron,,Drama|Western,Demi Moore,4693,Michael Wincott,1,,http://www.imdb.com/title/tt2271563/?ref_=fn_tt_tt_1,Canada,R,2015,2.35
Richard Fleischer,89,183,Brigitte Nielsen,,Action|Adventure|Fantasy,Ernie Reyes Jr.,30215,Sandahl Bergman,1,cult film|psychotronic|sword and sorcery|talisman|warrior,http://www.imdb.com/title/tt0089893/?ref_=fn_tt_tt_1,Netherlands,PG-13,1985,2.35
Rodrigo Cortés,114,920,Toby Jones,,Drama|Horror|Mystery|Thriller,Robert De Niro,48162,Craig Roberts,2,fraud|physicist|psychic|skeptic|tailing,http://www.imdb.com/title/tt1748179/?ref_=fn_tt_tt_1,Spain,R,2012,2.35
Greg Mottola,119,778,Joe Lo Truglio,121463226,Comedy,Emma Stone,422606,Kevin Corrigan,2,black comedy|bromance|party|school|teen comedy,http://www.imdb.com/title/tt0829482/?ref_=fn_tt_tt_1,USA,R,2007,1.85
Tyler Perry,103,543,Keshia Knight Pulliam,90485233,Comedy|Crime|Drama,Vanessa Ferlito,9544,Derek Luke,0,adaptation directed by original author|cross dressing|madea series|remake|sequel,http://www.imdb.com/title/tt1142800/?ref_=fn_tt_tt_1,USA,PG-13,2009,1.85
David Hayter,91,413,Jennifer Hale,,Action|Horror,Jason Momoa,5693,Stephen McHattie,2,bar|female nudity|murder|small town|werewolf,http://www.imdb.com/title/tt1403241/?ref_=fn_tt_tt_1,France,R,2014,2.35
Jon M. Chu,98,129,Mari Koda,58006147,Drama|Music|Musical|Romance,Cassie Ventura,67653,Luis Rosado,2,audition|dance|kissing in the rain|student|subway,http://www.imdb.com/title/tt1023481/?ref_=fn_tt_tt_1,USA,PG-13,2008,1.85
Cory Edwards,80,854,Chazz Palminteri,51053787,Action|Animation|Comedy|Crime|Family,Anne Hathaway,45900,Jim Belushi,1,animal|axe|red riding hood|wolf|woodsman,http://www.imdb.com/title/tt0443536/?ref_=fn_tt_tt_1,USA,PG,2005,1.85
Terry George,121,242,Sophie Okonedo,23472900,Drama|History|War,Don Cheadle,264533,Hakeem Kae-Kazim,1,atrocity|central africa|ethnic warfare|united nations peace keeping force|united nations soldier,http://www.imdb.com/title/tt0395169/?ref_=fn_tt_tt_1,UK,PG-13,2004,2.35
Xavier Gens,94,280,Dougray Scott,39687528,Action|Crime|Drama|Thriller,Henry Ian Cusick,140780,Ulrich Thomsen,1,hitman|impersonation|see through dress|topless female nudity|woman on top,http://www.imdb.com/title/tt0465494/?ref_=fn_tt_tt_1,France,R,2007,2.35
Kasi Lemmons,93,170,Mary J. Blige,7017178,Drama|Family|Music|Musical,Jennifer Hudson,1633,Vondie Curtis-Hall,5,based on stage musical|based on the bible|christmas|color in title|nativity,http://www.imdb.com/title/tt1425922/?ref_=fn_tt_tt_1,USA,PG,2013,2.35
Brian A Miller,93,1000,50 Cent,,Action|Thriller,Bruce Willis,13133,Jessica Lowndes,4,assassin|fight|mechanic|rescue|rival,http://www.imdb.com/title/tt1085492/?ref_=fn_tt_tt_1,USA,R,2014,2.35
Matt Dillon,116,50,Shawn Andrews,325491,Crime|Drama|Thriller,Kirk Fox,4387,Rob Campbell,0,bag over head|buddhist temple|loss of friend|male bonding|nightclub,http://www.imdb.com/title/tt0164003/?ref_=fn_tt_tt_1,USA,R,2002,1.85
Alejandro Amenábar,101,83,Elaine Cassidy,96471845,Fantasy|Horror|Thriller,Fionnula Flanagan,268581,Eric Sykes,0,curtain|haunting|mansion|mute|xeroderma pigmentosum,http://www.imdb.com/title/tt0230600/?ref_=fn_tt_tt_1,USA,PG-13,2001,1.85
James Cameron,154,604,Carrie Henn,85200000,Action|Adventure|Sci-Fi,Michael Biehn,488537,Jenette Goldstein,1,alien|human versus alien|monster|rescue mission|space marine,http://www.imdb.com/title/tt0090605/?ref_=fn_tt_tt_1,USA,R,1986,1.85
George Cukor,170,244,Rex Harrison,72000000,Drama|Family|Musical|Romance,Jeremy Brett,66959,Theodore Bikel,1,colonel|flower girl|professor|street|wager,http://www.imdb.com/title/tt0058385/?ref_=fn_tt_tt_1,USA,Approved,1964,2.2
Jim Gillespie,99,681,Sarah Michelle Gellar,72219395,Horror|Mystery|Thriller,Muse Watson,105585,Anne Heche,1,beach|corpse|fourth of july|overalls|revenge,http://www.imdb.com/title/tt0119345/?ref_=fn_tt_tt_1,USA,R,1997,2.35
Luke Greenfield,104,613,Damon Wayans Jr.,82389560,Comedy,Rob Riggle,106820,James D'Arcy,1,friendship between men|impersonating a police officer|mobster|party|police officer,http://www.imdb.com/title/tt1924435/?ref_=fn_tt_tt_1,USA,R,2014,1.85
Alexander Payne,126,284,Patrick Gallagher,71502303,Adventure|Comedy|Drama|Romance,Virginia Madsen,149966,M.C. Gainey,0,actor|california|teacher|wine|writer,http://www.imdb.com/title/tt0375063/?ref_=fn_tt_tt_1,USA,R,2004,1.85
Jay Chandrasekhar,110,422,Owain Yeoman,19179969,Comedy,Chris Moss,54710,Jay Chandrasekhar,2,beer|competition|germany|oktoberfest|prostitute,http://www.imdb.com/title/tt0486551/?ref_=fn_tt_tt_1,USA,R,2006,2.35
John Carpenter,101,598,Donald Pleasence,47000000,Horror|Thriller,Jamie Lee Curtis,157857,P.J. Soles,0,halloween|masked killer|michael myers|slasher|trick or treat,http://www.imdb.com/title/tt0077651/?ref_=fn_tt_tt_1,USA,R,1978,2.35
Yimou Zhang,80,576,Tony Chiu Wai Leung,84961,Action|Adventure|History,Jet Li,149414,Maggie Cheung,4,china|flying|king|palace|sword,http://www.imdb.com/title/tt0299977/?ref_=fn_tt_tt_1,China,PG-13,2002,2.35
John Hoffman,87,503,Molly Shannon,37566230,Comedy|Drama|Family|Fantasy|Sci-Fi,Liam Aiken,3407,Kevin Nealon,1,dog|friend|neighborhood|planet|star,http://www.imdb.com/title/tt0326900/?ref_=fn_tt_tt_1,USA,PG,2003,1.85
Malcolm D. Lee,123,849,Sanaa Lathan,70492685,Comedy|Drama,Harold Perrineau,11600,Eddie Cibrian,5,childbirth|christmas|gay slur|infidelity|punched in the nose,http://www.imdb.com/title/tt2083355/?ref_=fn_tt_tt_1,USA,R,2013,2.35
Joe Carnahan,109,968,Common,35635046,Action|Crime|Drama|Thriller,Ryan Reynolds,121058,Alex Rocco,0,casino|fbi|mafia|mob hit|sniper,http://www.imdb.com/title/tt0475394/?ref_=fn_tt_tt_1,UK,R,2006,2.35
Kevin Greutert,90,298,Gina Holden,45670855,Horror|Mystery,Costas Mandylor,67978,Betsy Russell,0,blood splatter|self help guru|sequel|support group|survivor,http://www.imdb.com/title/tt1477076/?ref_=fn_tt_tt_1,Canada,R,2010,1.85
Michael Lehmann,96,486,Vinessa Shaw,37939782,Comedy|Romance,Emmanuelle Vaugier,62272,Paulo Costanzo,0,female on male rape|lent|male rear nudity|masturbation|sex,http://www.imdb.com/title/tt0243736/?ref_=fn_tt_tt_1,USA,R,2002,1.85
Joseph Kosinski,125,1000,Olivia Wilde,172051787,Action|Adventure|Sci-Fi,Jeff Bridges,264186,James Frain,0,arcade|bridge|disappearance|escape|warrior,http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1,USA,PG,2010,2.35
John Fortenberry,82,281,Chris Kattan,30324946,Comedy|Music|Romance,Will Ferrell,48458,Dan Hedaya,2,1990s|bar|car accident|nightclub|whipped cream,http://www.imdb.com/title/tt0120770/?ref_=fn_tt_tt_1,USA,PG-13,1998,1.85
Daniel Barnz,86,583,Mary-Kate Olsen,27854896,Drama|Fantasy|Romance,Alex Pettyfer,64190,Erik Knudsen,1,love|maid|newscaster|student|tutor,http://www.imdb.com/title/tt1152398/?ref_=fn_tt_tt_1,USA,PG-13,2011,2.35
Alexandre Aja,108,580,Greg Nicotero,41777564,Horror,Dan Byrd,129719,Vinessa Shaw,0,desert|horror movie remake|murder of family|rape|slasher,http://www.imdb.com/title/tt0454841/?ref_=fn_tt_tt_1,USA,R,2006,2.35
Sam Weisman,98,428,Jenna Boyd,22734486,Comedy,Kevin Grevioux,11815,Mary McCormack,1,dental braces|dental headgear|former child star|panties|white panties,http://www.imdb.com/title/tt0325258/?ref_=fn_tt_tt_1,USA,PG-13,2003,2.35
Niki Caro,129,89,Valente Rodriguez,44469602,Biography|Drama|Sport,Morgan Saylor,23480,Diana Maria Riva,0,coach|high school|place name in title|school|student,http://www.imdb.com/title/tt2097298/?ref_=fn_tt_tt_1,USA,PG,2015,2.35
Erik White,99,826,Loretta Devine,24708699,Comedy,Brandon T. Jackson,7991,Shad Moss,7,block party|eurocopter ec120 colibri|fortune cookie|lottery ticket|reverend,http://www.imdb.com/title/tt0979434/?ref_=fn_tt_tt_1,USA,PG-13,2010,2.35
Chris Robinson,105,104,Adam Boyer,21160089,Comedy|Crime|Drama|Music|Romance,T.I.,8522,Malika,0,high school|rollerskating rink|spelman college|twin|voice over narration,http://www.imdb.com/title/tt0466856/?ref_=fn_tt_tt_1,USA,PG-13,2006,2.35
Jason Moore,112,746,Hana Mae Lee,64998368,Comedy|Music|Romance,Anna Kendrick,213898,Ben Platt,4,a cappella|competition|dj|female protagonist|lesbian,http://www.imdb.com/title/tt1981677/?ref_=fn_tt_tt_1,USA,PG-13,2012,1.85
Michael Tollin,108,505,Brian Dennehy,19693891,Comedy|Drama|Romance|Sport,Marc Blucas,12993,Bruce Davison,2,baseball|baseball player|night|rivalry|summer,http://www.imdb.com/title/tt0234829/?ref_=fn_tt_tt_1,USA,PG-13,2001,1.85
Sam Raimi,121,244,Bridget Fonda,16311763,Crime|Drama|Thriller,Gary Cole,50656,Chelcie Ross,1,bag of money|found money|minnesota|screenplay adapted by author|snow,http://www.imdb.com/title/tt0120324/?ref_=fn_tt_tt_1,UK,R,1998,1.85
Robert Harmon,89,973,Ethan Embry,12693621,Horror|Mystery|Thriller,Alexander Gould,10885,Marc Blucas,0,darkness|friend|kiss|nightmare|suicide,http://www.imdb.com/title/tt0283632/?ref_=fn_tt_tt_1,USA,PG-13,2002,2.35
Trent Cooper,89,323,Larry the Cable Guy,15655665,Comedy|Romance,Thomas F. Wilson,9104,Megyn Price,2,diner|food poisoning|health inspector|restaurant|undercover,http://www.imdb.com/title/tt0462395/?ref_=fn_tt_tt_1,USA,PG-13,2006,1.33
Gary Halvorson,73,142,Kevin Clash,11634458,Adventure|Comedy|Family|Fantasy|Musical,Vanessa Williams,2045,Caroll Spinney,0,based on tv series|blanket|box office flop|rescue|sesame street,http://www.imdb.com/title/tt0159421/?ref_=fn_tt_tt_1,USA,G,1999,1.85
Antoine Fuqua,132,625,Lili Taylor,27154426,Crime|Drama|Thriller,Don Cheadle,52852,Armando Riesco,1,catholic|corrupt cop|new york city|police detective|police officer killed,http://www.imdb.com/title/tt1210042/?ref_=fn_tt_tt_1,USA,R,2009,2.35
Nicholas Ray,154,86,David Niven,,Action|Adventure|Drama|History|War,Ava Gardner,4550,John Ireland,3,ambassador|boxer rebellion|china|colonialism|peking china,http://www.imdb.com/title/tt0056800/?ref_=fn_tt_tt_1,USA,Unrated,1963,2.2
Fede Alvarez,96,58,Elizabeth Blackmore,54239856,Horror,Lou Taylor Pucci,125016,Ellen Sandweiss,0,book of the dead|demon|h.p. lovecraft|lesbian kiss|promise,http://www.imdb.com/title/tt1288558/?ref_=fn_tt_tt_1,USA,R,2013,2.35
Donald Petrie,98,399,Harland Williams,8662318,Comedy|Romance,Nia Vardalos,15033,Rachel Dratch,1,greece|greek|tour bus|tour guide|tourist,http://www.imdb.com/title/tt0865559/?ref_=fn_tt_tt_1,USA,PG-13,2009,1.85
Paul Weitz,107,841,Dennis Quaid,7156725,Comedy|Music,Judy Greer,22639,Chris Klein,6,chief of staff|contest|president|singing|terrorist,http://www.imdb.com/title/tt0465142/?ref_=fn_tt_tt_1,USA,PG-13,2006,1.85
Sidney J. Furie,134,488,Margot Kidder,15681020,Action|Adventure|Family|Sci-Fi,Jim Broadbent,33570,William Hootkins,6,box office flop|dc comics|hair|nuclear disarmament|superman,http://www.imdb.com/title/tt0094074/?ref_=fn_tt_tt_1,UK,PG,1987,2.35
Ian Iqbal Rashid,94,66,Clé Bennett,7070459,Drama,DeRay Davis,4600,Conrad Coates,0,dance|dance contest|loss of sister|step dancing|teenager,http://www.imdb.com/title/tt0770810/?ref_=fn_tt_tt_1,Canada,PG-13,2007,1.85
Wayne Kramer,122,834,Chazz Palminteri,6855137,Action|Crime|Drama|Thriller,Paul Walker,88590,Ivana Milicevic,2,adult child friendship|corrupt cop|fistfight|gangster|thug,http://www.imdb.com/title/tt0404390/?ref_=fn_tt_tt_1,Germany,R,2006,2.35
Rowdy Herrington,128,193,Jeremy Northam,2694071,Biography|Drama|Romance|Sport,Aidan Quinn,3222,Paul Freeman,3,colon in title|competition|five word title|golf|temper,http://www.imdb.com/title/tt0375104/?ref_=fn_tt_tt_1,USA,PG,2004,2.35
Jim Goddard,97,161,Paul Freeman,2315683,Adventure|Crime|Drama|Romance,Victor Wong,4081,Clyde Kusatsu,0,china|missionary|opium|villain|year 1937,http://www.imdb.com/title/tt0091934/?ref_=fn_tt_tt_1,UK,PG-13,1986,1.85
Neil Burger,110,96,Eddie Marsan,39825798,Drama|Mystery|Romance|Thriller,Rufus Sewell,295375,Jake Wood,3,duchess|illusionist|magician|prince|supernatural power,http://www.imdb.com/title/tt0443543/?ref_=fn_tt_tt_1,USA,PG-13,2006,1.85
Noel Marshall,102,60,Melanie Griffith,2000000,Adventure|Horror|Thriller,Tippi Hedren,1275,Zakes Mokae,0,chase|dead man|jungle|killing a lion|killing a tiger,http://www.imdb.com/title/tt0083001/?ref_=fn_tt_tt_1,USA,PG,1981,2.35
Joel Schumacher,98,71,David Murray,1569918,Biography|Crime|Drama|Thriller,Brenda Fricker,16234,Gerard McSorley,1,criminal|drug lord|gunshot|irish|journalist,http://www.imdb.com/title/tt0312549/?ref_=fn_tt_tt_1,Ireland,R,2003,2.35
Andrea Di Stefano,120,55,Brady Corbet,106869,Crime|Drama|Romance|Thriller,Josh Hutcherson,13762,Carlos Bardem,1,colombia|dream|love|surfer|village,http://www.imdb.com/title/tt2515030/?ref_=fn_tt_tt_1,France,R,2014,
Richard Kelly,160,215,Curtis Armstrong,273420,Comedy|Mystery|Sci-Fi|Thriller,Janeane Garofalo,32671,Chris Andrew Ciulla,6,amnesia|boxer|conspiracy|police|porn star,http://www.imdb.com/title/tt0405336/?ref_=fn_tt_tt_1,France,R,2006,2.35
Guillaume Ivernel,80,168,Jess Harnell,,Adventure|Animation|Family|Fantasy,Rob Paulsen,10706,Mary Mouser,0,cgi film|computer animation|dragon|hunter,http://www.imdb.com/title/tt0944834/?ref_=fn_tt_tt_1,France,PG,2008,
Jack Smight,91,255,Jan-Michael Vincent,,Sci-Fi,George Peppard,3701,Paul Winfield,0,cockroach|desert|ghost town|giant spider|travel,http://www.imdb.com/title/tt0075909/?ref_=fn_tt_tt_1,USA,PG,1977,2.35
Todd Lincoln,83,62,Rick Gomez,4930798,Horror|Thriller,Julianna Guill,16268,Tim Williams,1,e mail|evil spirit|experiment|fear|supernatural,http://www.imdb.com/title/tt1433822/?ref_=fn_tt_tt_1,USA,PG-13,2012,2.35
Howard Zieff,102,165,Jamie Lee Curtis,59847242,Comedy|Drama|Family|Romance,Macaulay Culkin,55895,Griffin Dunne,1,best friend|funeral|girl|overalls|summer,http://www.imdb.com/title/tt0102492/?ref_=fn_tt_tt_1,USA,PG-13,1991,1.85
Steven Shainberg,122,260,Ty Burrell,220914,Biography|Drama|Romance,Robert Downey Jr.,13239,Matt Servitto,2,character name in title|diane arbus|male full frontal nudity|photographer|pubic hair,http://www.imdb.com/title/tt0422295/?ref_=fn_tt_tt_1,USA,R,2006,1.85
Neil Burger,110,96,Eddie Marsan,39825798,Drama|Mystery|Romance|Thriller,Rufus Sewell,295375,Jake Wood,3,duchess|illusionist|magician|prince|supernatural power,http://www.imdb.com/title/tt0443543/?ref_=fn_tt_tt_1,USA,PG-13,2006,1.85
Oliver Stone,126,168,Tamara Tunie,43848100,Crime|Drama,Hal Holbrook,119150,James Karen,2,1980s|argument|critique of capitalism|f word|fired from the job,http://www.imdb.com/title/tt0094291/?ref_=fn_tt_tt_1,USA,R,1987,1.85
Ang Lee,136,1000,Kate Winslet,42700000,Drama|Romance,Alan Rickman,78392,Tom Wilkinson,2,1810s|female protagonist|horseback riding|inheritance|three word title,http://www.imdb.com/title/tt0114388/?ref_=fn_tt_tt_1,USA,PG,1995,1.85
Julian Jarrold,120,281,Julie Walters,18663911,Biography|Drama|Romance,Anne Hathaway,46204,Laurence Fox,1,country estate|jane austen|lady|love|writing,http://www.imdb.com/title/tt0416508/?ref_=fn_tt_tt_1,UK,PG,2007,2.35
Joe Nussbaum,108,433,Matt Long,11702090,Comedy|Romance,Danny Strong,37700,Samm Levine,2,college|college girl|female protagonist|sorority|sorority house,http://www.imdb.com/title/tt0815244/?ref_=fn_tt_tt_1,USA,PG-13,2007,2.35
Vadim Perelman,126,385,Kim Dickens,13005485,Drama,Frances Fisher,56665,Ron Eldard,0,auction|home|house|iranian|marriage,http://www.imdb.com/title/tt0315983/?ref_=fn_tt_tt_1,USA,R,2003,1.85
Peter Weir,128,1000,Josh Charles,95860116,Comedy|Drama,Robin Williams,277451,Kurtwood Smith,0,education|english teacher|poet|professor|student,http://www.imdb.com/title/tt0097165/?ref_=fn_tt_tt_1,USA,PG,1989,1.85
Peter Farrelly,113,481,Mike Starr,127175354,Comedy,Lauren Holly,288451,Teri Garr,2,briefcase full of money|character repeating someone else's dialogue|character says i love you|friendship|reference to cinderella,http://www.imdb.com/title/tt0109686/?ref_=fn_tt_tt_1,USA,PG-13,1994,1.85
Rob Reiner,89,62,Gretchen Palmer,92823600,Comedy|Drama|Romance,Bruno Kirby,149108,Harley Jane Kozak,0,friendship|love|male female friendship|new york|sex,http://www.imdb.com/title/tt0098635/?ref_=fn_tt_tt_1,USA,R,1989,1.85
Sidney Lumet,129,359,James Mason,54000000,Drama,Charlotte Rampling,26310,Jack Warden,0,archdiocese|court|hospital|lawyer|malpractice,http://www.imdb.com/title/tt0084855/?ref_=fn_tt_tt_1,USA,R,1982,1.85
Todd Phillips,94,486,Rachel Blanchard,68525609,Comedy,Ethan Suplee,132963,Paulo Costanzo,5,blonde|college|friend|highway travel|road trip,http://www.imdb.com/title/tt0215129/?ref_=fn_tt_tt_1,USA,R,2000,1.85
Brian Robbins,106,35,Ron Lester,52885587,Comedy|Drama|Romance|Sport,Paul Walker,35312,Mark Walters,0,coach|coyote|popularity|quarterback|texas,http://www.imdb.com/title/tt0139699/?ref_=fn_tt_tt_1,USA,R,1999,1.85
Michel Hazanavicius,100,628,Ed Lauter,44667095,Comedy|Drama|Romance,Bérénice Bejo,190030,Beth Grant,0,1920s|jack russell terrier|modern silent movie|movie star|movie studio,http://www.imdb.com/title/tt1655442/?ref_=fn_tt_tt_1,France,PG-13,2011,1.33
David S. Goyer,89,389,Atticus Shaffer,42638165,Drama|Fantasy|Horror|Mystery|Thriller,Gary Oldman,42182,Rachel Brosnahan,1,babysitting|experiment|nightmare|possession|twin,http://www.imdb.com/title/tt1139668/?ref_=fn_tt_tt_1,USA,PG-13,2009,2.35
Wes Anderson,94,559,Bill Murray,45507053,Adventure|Comedy|Drama|Romance,Bruce Willis,237848,Bob Balaban,2,1960s|boy scouts|boy scouts camp|coming of age|young love,http://www.imdb.com/title/tt1748122/?ref_=fn_tt_tt_1,USA,PG-13,2012,1.85
Jonathan Liebesman,83,597,Jordana Brewster,39511038,Horror,Matt Bomer,56269,Lew Temple,0,cannibal|car accident|leatherface|psychopath|slaughterhouse,http://www.imdb.com/title/tt0420294/?ref_=fn_tt_tt_1,USA,R,2006,1.85
Cyrus Nowrasteh,111,107,Vincent Walsh,6462576,Drama,Clive Russell,1449,Finn Ireland,0,based on novel,http://www.imdb.com/title/tt1002563/?ref_=fn_tt_tt_1,USA,PG-13,2016,2.35
Perry Andelin Blake,80,499,Kenan Thompson,40363530,Comedy|Family,Jennifer Esposito,18254,James Brolin,2,disguise|mask|master of disguise|restaurant|waiter,http://www.imdb.com/title/tt0295427/?ref_=fn_tt_tt_1,USA,PG,2002,1.85
Guillermo del Toro,112,250,Maribel Verdú,37623143,Drama|Fantasy|War,Ivana Baquero,467234,Sergi López,0,fairy|fairy tale|faun|princess|spain,http://www.imdb.com/title/tt0457430/?ref_=fn_tt_tt_1,Spain,R,2006,1.85
,60,762,Jessika Van,,Drama|Fantasy|Mystery|Thriller,Joel Courtney,7210,Riley Smith,0,,http://www.imdb.com/title/tt3513704/?ref_=fn_tt_tt_1,USA,,,16.0
John Whitesell,94,635,Angus T. Jones,33357476,Action|Comedy|Crime|Family,Leslie Bibb,7392,Paul Sorvino,0,boy|fbi|mailman|van|witness protection,http://www.imdb.com/title/tt0250720/?ref_=fn_tt_tt_1,USA,PG,2001,1.85
John Singleton,130,522,Snoop Dogg,28734552,Crime|Drama|Romance|Thriller,Mo'Nique,9566,Angell Conwell,2,cartoon on tv|family relationships|physical abuse|single parent|two word title,http://www.imdb.com/title/tt0255819/?ref_=fn_tt_tt_1,USA,R,2001,1.85
Christian E. Christiansen,91,638,Danneel Ackles,37300107,Drama|Horror|Thriller,Leighton Meester,29147,Frances Fisher,1,animal abuse(non graphic)|cat killer|college|dead cat|death of cat,http://www.imdb.com/title/tt1265990/?ref_=fn_tt_tt_1,USA,PG-13,2011,2.35
Dennie Gordon,91,459,Erik Per Sullivan,27087695,Adventure|Comedy|Drama,Brittany Daniel,41664,Fred Ward,0,first part|grand canyon|highway travel|indian|janitor,http://www.imdb.com/title/tt0245686/?ref_=fn_tt_tt_1,USA,PG-13,2001,1.85
Sheldon Lettich,110,51,Alonna Shaw,30102717,Action|Crime,Bolo Yeung,28736,Kamel Krifa,2,boat|hong kong|murder|tunnel|twins,http://www.imdb.com/title/tt0101764/?ref_=fn_tt_tt_1,USA,R,1991,1.85
Edgar Wright,121,108,Joe Cornish,23618786,Action|Comedy|Mystery,Bill Bailey,352695,Billie Whitelaw,1,accident|conspiracy|police|police officer|village,http://www.imdb.com/title/tt0425112/?ref_=fn_tt_tt_1,UK,R,2007,2.35
Diane English,114,650,Debi Mazar,26896744,Comedy|Drama,Jada Pinkett Smith,16582,Debra Messing,4,beauty salon|divorce|fashion|new york|perfume,http://www.imdb.com/title/tt0430770/?ref_=fn_tt_tt_1,USA,PG-13,2008,1.85
Woody Allen,96,252,Kevin Dunn,23213577,Drama|Romance,Scarlett Johansson,198111,Christopher Evan Welch,0,art|artist|painter|sex|summer,http://www.imdb.com/title/tt0497465/?ref_=fn_tt_tt_1,Spain,PG-13,2008,1.85
Peter Flinth,270,292,Michael Nyqvist,,Action|Adventure|Drama|Romance|War,Gustaf Skarsgård,18041,Vincent Perez,1,first part|holy land|knight templar|monastery|sword and shield,http://www.imdb.com/title/tt0837106/?ref_=fn_tt_tt_1,Sweden,,2007,2.35
Jon Lucas,100,851,Jay Hernandez,55461307,Comedy,Mila Kunis,4654,Jada Pinkett Smith,9,lesbian kiss|mom|pta|reference to mad max|scene during end credits,http://www.imdb.com/title/tt4651520/?ref_=fn_tt_tt_1,USA,R,2016,
Robert Iscove,94,95,Amanda Detmer,20627372,Comedy|Drama|Romance,Alyson Hannigan,13661,Tsianina Joelson,3,best friend|break up|friendship|graduation|male in underwear,http://www.imdb.com/title/tt0204175/?ref_=fn_tt_tt_1,USA,PG-13,2000,1.85
Peter Kosminsky,109,450,Cole Hauser,16346122,Drama,Patrick Fugit,25549,Marc Donato,0,california|foster home|love|oleander|prison,http://www.imdb.com/title/tt0283139/?ref_=fn_tt_tt_1,USA,PG-13,2002,1.85
Karyn Kusama,107,271,Amy Sedaris,16204793,Comedy|Fantasy|Horror,J.K. Simmons,92712,Cynthia Stevenson,1,cannibalism|cheerleader|condom|hook for hand|satanic ritual,http://www.imdb.com/title/tt1131734/?ref_=fn_tt_tt_1,USA,R,2009,1.85
