director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,gross,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,language,content_rating,budget,imdb_score,aspect_ratio
Michael Winterbottom,71,115,187,887,403932,17104,Shirley Henderson,4,gold|gold mine|miner|railroad|surveyor,http://www.imdb.com/title/tt0218378/?ref_=fn_tt_tt_1,English,R,20000000,6.5,2.35
Mark Neveldine,93,91,83,794,1712111,7875,Dougray Scott,0,evil|injury|possession|priest|vatican,http://www.imdb.com/title/tt1524575/?ref_=fn_tt_tt_1,English,PG-13,8495000,4.5,1.85
Joe Cornish,399,88,115,304,1024175,2011,Jodie Whittaker,6,alien|alien invasion|apartment|creature|gang,http://www.imdb.com/title/tt1478964/?ref_=fn_tt_tt_1,English,R,13000000,6.6,2.35
Angelina Jolie Pitt,110,127,11000,116,301305,796,Branko Djuric,0,bosnian war|church|emaciation|soldier|violence,http://www.imdb.com/title/tt1714209/?ref_=fn_tt_tt_1,Bosnian,R,13000000,4.3,2.35
Brad Anderson,285,94,122,383,51872378,2812,Roma Maffia,0,911 operator|calling 911|die hard scenario|head held underwater|white villain,http://www.imdb.com/title/tt1911644/?ref_=fn_tt_tt_1,English,R,13000000,6.7,1.85
John H. Lee,2,115,32,29,31662,14133,Jung-jae Lee,1,,http://www.imdb.com/title/tt4939066/?ref_=fn_tt_tt_1,English,,12620000,6.8,
John Stainton,61,90,0,234,28399192,1483,Steve Bastoni,0,cia|crocodile|satellite|snake|spider,http://www.imdb.com/title/tt0305396/?ref_=fn_tt_tt_1,English,PG,13000000,5.4,2.35
Glenn Ficarra,242,102,43,113,2035566,931,Annie Golden,0,character name in title|con artist|fraud|gay|prison break,http://www.imdb.com/title/tt1045772/?ref_=fn_tt_tt_1,English,R,13000000,6.6,1.85
Jean-Jacques Annaud,62,100,218,91,,931,Gary Schwartz,0,fire|prehistoric times|primitive|tribe|trio,http://www.imdb.com/title/tt0082484/?ref_=fn_tt_tt_1,None,R,12500000,7.4,2.35
Denzel Washington,121,117,18000,543,21078145,20456,Derek Luke,0,black american|extortion|navy|psychiatrist|sailor,http://www.imdb.com/title/tt0168786/?ref_=fn_tt_tt_1,English,PG-13,12500000,7.3,2.35
Michael Hoffman,83,109,97,355,14060950,14347,Rob Morrow,1,classroom|fund raising|headmaster|reunion|roman,http://www.imdb.com/title/tt0283530/?ref_=fn_tt_tt_1,English,PG-13,12500000,6.9,1.85
Tony Scott,122,121,12000,975,12281500,23602,Michael Rapaport,3,aspiring actor|cocaine|drugs|pimp|suitcase full of money,http://www.imdb.com/title/tt0108399/?ref_=fn_tt_tt_1,English,R,13000000,8.0,2.35
Benedek Fliegauf,88,111,28,1000,,9244,Hannah Murray,1,clone|love|male nudity|medical ethics|virginity,http://www.imdb.com/title/tt1216520/?ref_=fn_tt_tt_1,English,Unrated,3660000,6.4,2.35
James Foley,120,100,164,99,10725228,32288,Jude Ciccolella,1,office|pressure|real estate|robbery|sales,http://www.imdb.com/title/tt0104348/?ref_=fn_tt_tt_1,English,R,12500000,7.8,2.35
Michael Winterbottom,225,109,187,204,214966,1813,Jay R. Ferguson,0,deputy|murder|revenge|sheriff|texas,http://www.imdb.com/title/tt0954947/?ref_=fn_tt_tt_1,English,R,13000000,6.1,2.35
Paul Schrader,130,93,261,697,,3700,John Heard,1,cat|cat people|leopard|love|slip the undergarment,http://www.imdb.com/title/tt0083722/?ref_=fn_tt_tt_1,English,R,18000000,6.1,1.85
Stewart Hendler,167,101,10,472,11956207,3142,Rumer Willis,2,prank gone wrong|scantily clad female|shotgun|sorority house|stabbed in the neck,http://www.imdb.com/title/tt1232783/?ref_=fn_tt_tt_1,English,R,16000000,5.1,2.35
John Cromwell,7,101,19,135,,1166,Ronald Colman,2,coronation|fictitious country|king|princess|swashbuckler,http://www.imdb.com/title/tt0029442/?ref_=fn_tt_tt_1,English,Approved,,7.8,1.37
Craig Gillespie,226,106,44,552,5949693,34351,Paul Schneider,1,in love with an inanimate object|internet|introvert|psychologist|sex doll,http://www.imdb.com/title/tt0805564/?ref_=fn_tt_tt_1,English,PG-13,12000000,7.4,1.85
Mark Herman,185,94,39,18,9030581,156,Cara Horgan,0,boy|fence|jew|nazis|poison gas,http://www.imdb.com/title/tt0914798/?ref_=fn_tt_tt_1,English,PG-13,12500000,7.8,1.85
Lars von Trier,177,140,3000,322,4157491,2894,Björk,0,ends with quotation|execution|factory|women's prison|year 1964,http://www.imdb.com/title/tt0168629/?ref_=fn_tt_tt_1,English,R,12800000,8.0,2.35
Gillian Armstrong,28,132,44,241,1508689,2004,Clive Russell,2,australia|church|glass|inheritance|wager,http://www.imdb.com/title/tt0119843/?ref_=fn_tt_tt_1,English,R,16000000,6.7,2.35
Abel Ferrara,48,99,220,599,1227324,3337,Gretchen Mol,3,1930s|madness|murder|new york city|violence,http://www.imdb.com/title/tt0116378/?ref_=fn_tt_tt_1,English,R,12500000,6.6,1.85
Brian Koppelman,116,90,34,506,4360548,2661,Richard Schiff,7,aging|hdtv|high definition television|love|marriage,http://www.imdb.com/title/tt1294213/?ref_=fn_tt_tt_1,English,R,15000000,6.4,1.85
Ethan Maniquis,391,105,20,844,26589953,26233,Cheech Marin,1,machete|mexican|mexico|priest|texas,http://www.imdb.com/title/tt0985694/?ref_=fn_tt_tt_1,English,R,10500000,6.7,1.85
George Hickenlooper,117,108,60,168,1039869,18739,Christian Campbell,5,corruption|lobbyist|murder|washington d.c.|washington d.c. lobbyist,http://www.imdb.com/title/tt1194417/?ref_=fn_tt_tt_1,English,R,15000000,6.2,2.35
Don Bluth,24,69,383,191,48092846,1833,Bill Erwin,0,brontosaurus|classical music|dinosaur|dinosaur feature|earthquake,http://www.imdb.com/title/tt0095489/?ref_=fn_tt_tt_1,English,G,12500000,7.3,1.33
Je-kyu Kang,86,148,16,489,1110186,1730,Dong-gun Jang,2,1950s|archeologist|korea|korean war|soldier,http://www.imdb.com/title/tt0386064/?ref_=fn_tt_tt_1,Korean,R,12800000,8.1,2.35
William Dear,41,118,50,655,1089445,4270,Bruce McGill,0,baseball movie|little league|little league baseball|mexico|three word title,http://www.imdb.com/title/tt0473102/?ref_=fn_tt_tt_1,English,PG,12500000,7.0,2.35
William Friedkin,304,132,607,259,204565000,2466,Lee J. Cobb,0,demonic possession|exorcism|exorcist|loss of innocence|priest,http://www.imdb.com/title/tt0070047/?ref_=fn_tt_tt_1,English,R,8000000,8.0,1.37
Steven Spielberg,385,130,14000,366,260000000,2047,Murray Hamilton,0,beach|blockbuster|fishing|great white shark|shark,http://www.imdb.com/title/tt0073195/?ref_=fn_tt_tt_1,English,PG,8000000,8.0,2.35
Paul Weitz,145,95,80,1000,101736215,8134,Natasha Lyonne,6,1990s|first love|milf|prom|virginity,http://www.imdb.com/title/tt0163651/?ref_=fn_tt_tt_1,English,R,11000000,7.0,1.85
Stéphane Aubier,99,80,2,186,71442,6829,Lambert Wilson,0,bear|dentist|friendship|mouse|prejudice,http://www.imdb.com/title/tt1816518/?ref_=fn_tt_tt_1,French,PG,9600000,7.9,1.85
Michael Ritchie,29,94,23,148,79817937,1044,Charlotte Lewis,1,boy|child|chosen one|demon|detective,http://www.imdb.com/title/tt0091129/?ref_=fn_tt_tt_1,English,PG-13,25000000,5.9,1.85
Tim Story,77,122,167,807,91547205,5165,Regina Hall,8,advice|black romance|hip hop|reading a book|sex scene,http://www.imdb.com/title/tt1621045/?ref_=fn_tt_tt_1,English,PG-13,12000000,6.6,2.35
Tim Story,91,102,167,436,75074950,2754,Cedric the Entertainer,0,barber|barbershop|blaxploitation|loan shark|theft,http://www.imdb.com/title/tt0303714/?ref_=fn_tt_tt_1,English,PG-13,12000000,6.3,1.85
Nicholas Meyer,148,116,120,664,78900000,16539,Nichelle Nichols,2,jamming communications|planet|space station|taunt|trap,http://www.imdb.com/title/tt0084726/?ref_=fn_tt_tt_1,English,PG,11000000,7.7,2.35
Tom Shadyac,61,78,293,567,72217000,2462,David Margulies,1,detective|dolphin|mascot|nudity|stupidity,http://www.imdb.com/title/tt0109040/?ref_=fn_tt_tt_1,English,PG-13,12000000,6.9,1.85
John Badham,84,114,139,793,79568000,4537,Ally Sheedy,0,computer|game|high school|norad|teenager,http://www.imdb.com/title/tt0086567/?ref_=fn_tt_tt_1,English,PG,12000000,7.1,1.85
Peter Weir,83,112,608,733,65500000,22479,Lukas Haas,1,amish|love|murder|police|train,http://www.imdb.com/title/tt0090329/?ref_=fn_tt_tt_1,English,R,12000000,7.4,1.85
Mike McCoy,216,110,16,11,70011073,146,Rorke Denver,0,mission|navy seal|terrorist|torture|valor,http://www.imdb.com/title/tt1591479/?ref_=fn_tt_tt_1,English,R,12000000,6.5,2.35
Anne Fletcher,107,104,98,920,65269010,21380,Josh Henderson,0,dance|dancer|school|showcase|student,http://www.imdb.com/title/tt0462590/?ref_=fn_tt_tt_1,English,PG-13,12000000,6.5,2.35
Mike Judge,63,81,406,616,63071133,17035,John Doman,0,beavis and butt head|fbi|score|television|television set,http://www.imdb.com/title/tt0115641/?ref_=fn_tt_tt_1,English,PG-13,12000000,6.8,1.85
Quentin Tarantino,140,154,16000,889,39647595,25522,Robert Forster,5,arms dealer|atf|bail|money|multiple perspectives,http://www.imdb.com/title/tt0119396/?ref_=fn_tt_tt_1,English,R,12000000,7.5,1.85
Jon Hurwitz,153,102,22,816,38087366,4065,Beverly D'Angelo,2,bong|escape|ex girlfriend|guantanamo bay|texas,http://www.imdb.com/title/tt0481536/?ref_=fn_tt_tt_1,English,R,12000000,6.6,1.85
Josh Trank,414,89,128,371,64572496,2054,Ashley Hinshaw,0,found footage|high school|subjective camera|teen angst|troubled teen,http://www.imdb.com/title/tt1706593/?ref_=fn_tt_tt_1,English,PG-13,12000000,7.1,1.85
Barbra Streisand,16,132,0,122,30400000,914,Steven Hill,1,love|study|talmud|wedding|yeshiva,http://www.imdb.com/title/tt0086619/?ref_=fn_tt_tt_1,English,PG,12000000,6.6,1.85
Terry Gilliam,139,103,0,504,42365600,2730,Kenny Baker,0,cult director|dwarf|robin hood|satire|treasure,http://www.imdb.com/title/tt0081633/?ref_=fn_tt_tt_1,English,PG,5000000,7.0,1.85
Tamra Davis,111,93,33,135,37188667,1531,Dave Allen,1,audition|friendship|graduation|high school graduation|love,http://www.imdb.com/title/tt0275022/?ref_=fn_tt_tt_1,English,PG-13,12000000,3.3,1.85
Nima Nourizadeh,229,93,166,281,54724272,2043,Oliver Cooper,0,birthday party|high school|high school senior|millennial generation|party,http://www.imdb.com/title/tt1636826/?ref_=fn_tt_tt_1,English,R,12000000,6.7,1.85
Franklin J. Schaffner,112,172,76,78,,1306,Bill Hickman,0,allies|dead soldier|destiny|general|tank,http://www.imdb.com/title/tt0066206/?ref_=fn_tt_tt_1,English,GP,12000000,8.0,2.2
Mark Romanek,207,96,132,933,31597131,52138,Connie Nielsen,0,insanity|photo lab|photo shop|photography|voyeur,http://www.imdb.com/title/tt0265459/?ref_=fn_tt_tt_1,English,R,12000000,6.8,1.85
John Erick Dowdle,198,89,66,1000,31691811,140268,Dania Ramirez,0,apartment building|found footage|television|trapped|virus,http://www.imdb.com/title/tt1082868/?ref_=fn_tt_tt_1,English,R,12000000,6.0,1.85
David Moreau,172,92,0,451,31397498,18765,Obba Babatundé,1,cellular memory|eye|eye transplant|seeing dead people|violinist,http://www.imdb.com/title/tt0406759/?ref_=fn_tt_tt_1,English,PG-13,12000000,5.4,2.35
Christopher Erskin,45,97,4,826,31179516,5006,Shad Moss,5,cross country|cross country trip|highway travel|on the road|road movie,http://www.imdb.com/title/tt0359517/?ref_=fn_tt_tt_1,English,PG-13,12000000,4.3,2.35
Jesse Dylan,34,93,58,722,31155435,6105,T.J. Thyne,2,college|drugs|harvard|pot|smoke,http://www.imdb.com/title/tt0278488/?ref_=fn_tt_tt_1,English,R,12000000,6.2,1.85
Brian Henson,75,89,53,84,27281507,534,Steve Whitmire,0,christmas|christmas eve|miser|muppet|scrooge,http://www.imdb.com/title/tt0104940/?ref_=fn_tt_tt_1,English,G,12000000,7.7,1.85
Martin Campbell,400,144,258,834,167007184,9125,Ivana Milicevic,1,casino|espionage|free running|james bond|terrorist,http://www.imdb.com/title/tt0381061/?ref_=fn_tt_tt_1,English,PG-13,150000000,8.0,2.35
Julie Taymor,128,123,278,898,25776062,7072,Valeria Golino,0,art|bisexual|marriage|pain|revolutionary,http://www.imdb.com/title/tt0120679/?ref_=fn_tt_tt_1,English,R,12000000,7.4,1.85
Dan Cutforth,68,93,4,8,25240988,52,Anthony Burrell,0,female protagonist|reference to britney spears|singer|song|world tour,http://www.imdb.com/title/tt2215719/?ref_=fn_tt_tt_1,English,PG,12000000,5.9,1.85
Josh Boone,326,133,131,733,124868837,10565,Nat Wolff,0,cancer|falling in love|friendship|novel|teenager,http://www.imdb.com/title/tt2582846/?ref_=fn_tt_tt_1,English,PG-13,12000000,7.8,1.85
John Dahl,128,121,131,599,22905674,14890,Gretchen Mol,2,breasts|cult film|loan shark|poker|reference to christy turlington,http://www.imdb.com/title/tt0128442/?ref_=fn_tt_tt_1,English,R,12000000,7.4,2.35
Chris Rock,161,102,0,555,25277561,5592,J.B. Smoove,10,bare breasts|celebrity|in medias res|reference to planet of the apes|sex talk,http://www.imdb.com/title/tt2784678/?ref_=fn_tt_tt_1,English,R,12000000,6.5,2.35
John Frankenheimer,70,102,287,79,,729,Robert Foxworth,1,cabin|monster|monster movie|paper mill|pollution,http://www.imdb.com/title/tt0079758/?ref_=fn_tt_tt_1,English,PG,12000000,5.4,2.35
David Koepp,164,99,192,282,21133087,1254,Lusia Strus,0,disappearance|hearing voices|hypnosis|post hypnotic suggestion|seeing a ghost,http://www.imdb.com/title/tt0164181/?ref_=fn_tt_tt_1,English,R,12000000,7.0,1.85
,68,55,,898,,6091,Viva Bianca,2,female frontal nudity|female full frontal nudity|gladiator|group sex|slave girl,http://www.imdb.com/title/tt1442449/?ref_=fn_tt_tt_1,English,TV-MA,,8.6,16.0
Stephen Frears,354,98,350,322,37707719,2376,Peter Hermann,2,catholic|convent|gay love|gay relationship|irish adoption board,http://www.imdb.com/title/tt2431286/?ref_=fn_tt_tt_1,English,PG-13,12000000,7.6,1.85
Mike Binder,125,118,57,805,18761993,2944,Joan Allen,1,anger|baseball|drinking|radio|secretary,http://www.imdb.com/title/tt0365885/?ref_=fn_tt_tt_1,English,R,9000000,6.9,2.35
Franklin J. Schaffner,55,125,76,801,,4659,Steve Guttenberg,3,1970s|jew|nazi|nazi hunter|paraguay,http://www.imdb.com/title/tt0077269/?ref_=fn_tt_tt_1,English,R,12000000,7.0,1.85
Elizabeth Allen Rosenbaum,66,104,20,717,18595716,3963,Dichen Lachman,3,beach|love|mermaid|storm|swimming,http://www.imdb.com/title/tt0429591/?ref_=fn_tt_tt_1,English,PG,12000000,5.3,1.85
Jake Schreier,191,109,14,376,31990064,2753,Meg Crosbie,2,based on novel|female neighbor|friendship|travel|trip,http://www.imdb.com/title/tt3622592/?ref_=fn_tt_tt_1,English,PG-13,12000000,6.4,2.35
Cheryl Dunye,33,86,17,581,17321573,3646,Bai Ling,5,animal costume|break up|fatherhood|rapper|talking baby,http://www.imdb.com/title/tt0332712/?ref_=fn_tt_tt_1,English,PG-13,,4.5,1.85
Alexander Payne,433,115,729,622,17613460,3798,Will Forte,0,aging|billings montana|lincoln nebraska|nebraska|pickup truck,http://www.imdb.com/title/tt1821549/?ref_=fn_tt_tt_1,English,R,12000000,7.8,2.35
Ernest R. Dickerson,66,92,226,580,21088568,3931,Gary Farmer,1,blood|blood of christ|demon|key|loud sex,http://www.imdb.com/title/tt0114608/?ref_=fn_tt_tt_1,English,R,13000000,6.7,1.85
Tim Hill,37,91,25,611,17292381,4551,Larry Miller,0,bully|moving|principal|revenge|school,http://www.imdb.com/title/tt0273799/?ref_=fn_tt_tt_1,English,PG,12000000,5.3,1.85
Jason Reitman,325,94,655,390,16300302,10575,Collette Wolfe,1,car damage|computer printer|female band|fingernail polish|narcissism,http://www.imdb.com/title/tt1625346/?ref_=fn_tt_tt_1,English,R,12000000,6.3,1.85
Mark Neveldine,170,93,83,501,27829874,28767,Jose Pablo Cantillo,1,assassin|cult film|doctor|heart|poison,http://www.imdb.com/title/tt0479884/?ref_=fn_tt_tt_1,English,R,12000000,7.0,1.78
Lionel C. Martin,11,93,3,324,13960203,2939,Lark Voorhies,2,breaking the fourth wall|doorman|friend|party|sex,http://www.imdb.com/title/tt0119326/?ref_=fn_tt_tt_1,English,R,,5.3,1.85
Richard LaGravenese,24,100,98,604,12902790,3250,Jenette Goldstein,1,brooklyn bridge|divorce|female protagonist|female star appears nude|lingerie slip,http://www.imdb.com/title/tt0120722/?ref_=fn_tt_tt_1,English,R,12000000,6.6,2.35
Sanaa Hamri,70,100,43,696,21520719,3906,Mehcad Brooks,1,basketball|basketball player|nba|physical therapist|therapist,http://www.imdb.com/title/tt1407061/?ref_=fn_tt_tt_1,English,PG,,5.8,2.35
Jonathan Demme,232,113,438,471,12796277,12274,Bill Irwin,1,12 step program|friend|maid of honor|tears|wedding,http://www.imdb.com/title/tt1084950/?ref_=fn_tt_tt_1,English,R,,6.7,1.85
Bob Rafelson,34,122,30,85,,1456,John Colicos,0,adultery|drifter|lunch wagon|murder|neo noir,http://www.imdb.com/title/tt0082934/?ref_=fn_tt_tt_1,English,R,12000000,6.6,1.85
Peter Webber,160,100,73,1000,11634362,34700,Tom Wilkinson,0,17th century|girl|maid|painter|painting,http://www.imdb.com/title/tt0335119/?ref_=fn_tt_tt_1,English,PG-13,,7.0,2.35
Wolfgang Petersen,96,293,249,18,11433134,469,Herbert Grönemeyer,0,duty|submarine|submarine movie|tension|u boat,http://www.imdb.com/title/tt0082096/?ref_=fn_tt_tt_1,German,R,14000000,8.4,1.85
John Lee Hancock,106,137,102,877,22406362,5780,Jordi Mollà,0,army|dictator|general|texan|texas,http://www.imdb.com/title/tt0318974/?ref_=fn_tt_tt_1,English,PG-13,107000000,6.0,2.35
Wallace Wolodarsky,53,93,32,503,10198766,2393,Harland Williams,3,college|cruise|drag|female armpit hair|sorority,http://www.imdb.com/title/tt0279781/?ref_=fn_tt_tt_1,English,R,12000000,5.4,1.85
Richard Curtis,274,123,628,171,15294553,1595,Lindsay Duncan,1,boyfriend girlfriend relationship|lingerie slip|time travel|time travel romance|wedding,http://www.imdb.com/title/tt2194499/?ref_=fn_tt_tt_1,English,R,12000000,7.8,2.35
Yimou Zhang,248,119,611,4,11041228,1244,Zhengyong Zhang,3,flying|flying dagger|government|police|secret,http://www.imdb.com/title/tt0385004/?ref_=fn_tt_tt_1,Mandarin,PG-13,100000000,7.6,2.35
Nicholas Jarecki,288,107,27,360,7918283,2440,Reg E. Cathey,1,accidental death|dead woman|dead woman with eyes open|death of mistress|manager,http://www.imdb.com/title/tt1764183/?ref_=fn_tt_tt_1,English,R,12000000,6.6,1.85
Dean Israelite,177,106,16,265,22331028,1819,Sofia Black-D'Elia,0,found footage|teenager|time machine|time travel|video footage,http://www.imdb.com/title/tt2436386/?ref_=fn_tt_tt_1,English,PG-13,12000000,6.4,2.35
Darnell Martin,81,109,67,192,8134217,1141,Tammy Blanchard,3,1950s|jazz|jazz music|sex|title directed by female,http://www.imdb.com/title/tt1042877/?ref_=fn_tt_tt_1,English,R,12000000,7.0,2.35
Scott Alexander,29,81,25,654,6982680,3848,Sherman Hemsley,0,chauffeur|disorganized crime|dog|ransom|slapstick,http://www.imdb.com/title/tt0156323/?ref_=fn_tt_tt_1,English,PG-13,10000000,5.7,1.85
Stuart Gordon,58,95,216,968,6739141,4755,Clifton Collins Jr.,0,escape|future|population control|prison|prisoner,http://www.imdb.com/title/tt0106950/?ref_=fn_tt_tt_1,English,R,8000000,5.9,1.85
Christopher Guest,144,86,378,783,5542025,3535,Ed Begley Jr.,0,actor|internet|make up|publicist|purim,http://www.imdb.com/title/tt0470765/?ref_=fn_tt_tt_1,English,PG-13,12000000,6.3,1.85
Woody Allen,114,113,11000,99,5032496,943,Greg Mottola,0,celebrity|journalist|lesbian kiss|strong female character|tv producer,http://www.imdb.com/title/tt0120533/?ref_=fn_tt_tt_1,English,R,12000000,6.3,1.66
Ryan Murphy,132,122,708,316,6754898,1291,Dagmara Dominczyk,0,alcoholic|fame|therapist|writer|writing,http://www.imdb.com/title/tt0439289/?ref_=fn_tt_tt_1,English,R,12000000,6.2,2.35
Robert Iscove,60,90,7,251,4922166,1445,Brian Dietzen,2,bar|florida|love|spring break|waitress,http://www.imdb.com/title/tt0339034/?ref_=fn_tt_tt_1,English,PG,12000000,2.1,1.85
Spike Lee,30,108,0,599,4903000,4497,Gretchen Mol,3,actress|neighbor|phone sex|queens new york city|sex addiction,http://www.imdb.com/title/tt0116414/?ref_=fn_tt_tt_1,English,R,12000000,5.0,1.85
Jane Campion,138,113,319,48,4717455,1171,Susan Gardner,0,blow job|female rear nudity|female removes her clothes|oral sex|three of spades tattoo,http://www.imdb.com/title/tt0199626/?ref_=fn_tt_tt_1,English,R,12000000,5.3,1.85
James Gray,190,110,115,103,3148482,1540,Samantha Ivers,0,jewish|love|married man|neighbor|photograph,http://www.imdb.com/title/tt1103275/?ref_=fn_tt_tt_1,English,R,12000000,7.1,2.35
Fred Schepisi,61,109,40,794,2326407,7166,JJ Feild,5,ashes|butcher|friend|friendship|memory,http://www.imdb.com/title/tt0253200/?ref_=fn_tt_tt_1,English,R,12000000,7.0,2.35
Joon-ho Bong,363,110,584,74,2201412,1173,Ah-sung Ko,0,daughter|han river|monster|river|seoul,http://www.imdb.com/title/tt0468492/?ref_=fn_tt_tt_1,Korean,R,12215500000,7.0,1.85
Roger Spottiswoode,2,100,55,212,,4277,Paul Gleason,0,escape|jumping from an airplane|money|parachute|ransom,http://www.imdb.com/title/tt0082958/?ref_=fn_tt_tt_1,English,PG,12000000,5.7,1.85
Antonia Bird,131,101,61,611,2060953,2543,David Arquette,0,based on true story|cannibalism|captain|mexican american war|u.s. frontier,http://www.imdb.com/title/tt0129332/?ref_=fn_tt_tt_1,English,R,12000000,7.1,2.35
Jon Poll,146,97,20,442,3950294,22577,Hope Davis,5,drugs|high school|prescription drugs|private school|student,http://www.imdb.com/title/tt0423977/?ref_=fn_tt_tt_1,English,R,12000000,7.0,1.85
Paolo Sorrentino,280,172,667,70,2835886,456,Serena Grandi,2,genitalia|male frontal nudity|male nudity|old age|party,http://www.imdb.com/title/tt2358891/?ref_=fn_tt_tt_1,Italian,Not Rated,9200000,7.7,2.35
Peter Care,78,104,0,77,1779284,1292,Jake Richardson,4,book|boy|catholic|comic book|friend,http://www.imdb.com/title/tt0238924/?ref_=fn_tt_tt_1,English,R,12000000,7.1,1.85
Chan-wook Park,469,99,0,520,1702277,5074,Harmony Korine,4,death|hitchcockian|psychopath|sociopath|vomiting,http://www.imdb.com/title/tt1682180/?ref_=fn_tt_tt_1,English,R,12000000,6.8,2.35
Kar-Wai Wong,194,129,0,576,261481,2378,Maggie Cheung,0,number in title|train|woman slaps a man|woman slaps man|written by director,http://www.imdb.com/title/tt0212712/?ref_=fn_tt_tt_1,Cantonese,R,12000000,7.5,2.35
Ira Sachs,121,91,60,18,1506998,141,Timothy Webber,4,bachelor|best friend|divorce|poison|widow,http://www.imdb.com/title/tt0804505/?ref_=fn_tt_tt_1,English,PG-13,12000000,6.3,1.85
Carroll Ballard,38,100,19,393,860002,1579,Campbell Scott,0,africa|bed|boy|cheetah|south africa,http://www.imdb.com/title/tt0361715/?ref_=fn_tt_tt_1,English,PG,12000000,7.3,1.85
Neil Jordan,123,111,277,289,548934,1554,Alicja Bachleda,2,celtic mythology|cottage|fisherman|irish|selkie,http://www.imdb.com/title/tt1235796/?ref_=fn_tt_tt_1,English,PG-13,12000000,6.8,1.85
Takeshi Kitano,81,114,0,403,447750,2126,James Shigeta,0,gang|gangster|subjective camera|written and directed by cast member|yakuza,http://www.imdb.com/title/tt0222851/?ref_=fn_tt_tt_1,English,R,10000000,7.2,1.85
Anthony Russo,72,86,94,146,333976,1373,Andy Davoli,0,boxing knockout|heist|implied sex|keys|prison,http://www.imdb.com/title/tt0271259/?ref_=fn_tt_tt_1,English,R,12000000,6.4,2.35
Sidney Lumet,25,107,0,745,141853,3099,Albert Brooks,2,half sister|hospital|latex gloves|medicine|nun,http://www.imdb.com/title/tt0118901/?ref_=fn_tt_tt_1,English,R,12000000,6.0,1.85
Vadim Perelman,78,90,26,350,303439,2073,Brett Cullen,2,best friend|nonlinear timeline|school shooting|self sacrifice|shooting,http://www.imdb.com/title/tt0815178/?ref_=fn_tt_tt_1,English,R,8000000,6.4,2.35
Lawrence Kasdan,57,103,759,820,793352,3878,Sam Shepard,1,dog|marriage|search|wedding|woods,http://www.imdb.com/title/tt1730687/?ref_=fn_tt_tt_1,English,PG-13,,5.1,2.35
Marco Kreuzpaintner,69,120,7,289,214202,1952,Alicja Bachleda,0,friend|girl|mexico city|new jersey|sex,http://www.imdb.com/title/tt0399095/?ref_=fn_tt_tt_1,English,R,12000000,7.5,2.35
Lajos Koltai,73,134,45,0,195888,11,Bálint Péntek,0,bus|death|gay slur|hatred|jewish,http://www.imdb.com/title/tt0367082/?ref_=fn_tt_tt_1,Hungarian,R,2500000000,7.1,2.35
Alan Rudolph,42,110,18,865,175370,17417,Omar Epps,1,breakfast|manitoba|science fiction writer|suicide|writer,http://www.imdb.com/title/tt0120618/?ref_=fn_tt_tt_1,English,R,12000000,4.6,1.85
Yimou Zhang,101,95,611,3,190666,18,Dahong Ni,1,betrayal|husband wife relationship|murder|noodles|salary,http://www.imdb.com/title/tt1428556/?ref_=fn_tt_tt_1,Mandarin,R,,5.7,2.35
Vincenzo Natali,82,95,165,280,,1501,Kari Matchett,2,brainwashing|corporate espionage|spy|suburb|surprise ending,http://www.imdb.com/title/tt0284978/?ref_=fn_tt_tt_1,English,R,7500000,6.8,1.85
Chuan Lu,149,132,14,3,119922,91,Ryu Kohata,0,atrocity|battle|chinese|horseback riding|martial arts,http://www.imdb.com/title/tt1124052/?ref_=fn_tt_tt_1,Mandarin,R,12000000,7.7,2.35
Tim Johnson,165,94,12,183,177343675,17883,April Winchell,0,alien friendship|alien invasion|australia|flying car|mother daughter relationship,http://www.imdb.com/title/tt2224026/?ref_=fn_tt_tt_1,English,PG,135000000,6.7,1.85
Lijun Sun,5,89,0,188,,1854,Rebecca Black,0,anthropomorphic animal|china|furry|rabbit,http://www.imdb.com/title/tt1876517/?ref_=fn_tt_tt_1,Mandarin,PG,,3.2,
Takashi Yamazaki,44,138,7,16,,164,Hiroyuki Ikeuchi,0,alien|battleship|message|radiation|yamato,http://www.imdb.com/title/tt1477109/?ref_=fn_tt_tt_1,Japanese,TV-14,12000000,6.1,2.35
Renny Harlin,74,113,212,18,17149,708,Ana Imnadze,9,cameraman|epic battle|journalist|south ossetia|street shootout,http://www.imdb.com/title/tt1486193/?ref_=fn_tt_tt_1,English,R,20000000,5.6,2.35
Christopher Smith,156,99,76,42,,433,Emma Lung,1,deja vu|lost at sea|ship|time loop|trapped in a time loop,http://www.imdb.com/title/tt1187064/?ref_=fn_tt_tt_1,English,R,12000000,6.9,2.35
Timothy Hines,1,111,0,247,14616,2059,Alexandra Callas,1,,http://www.imdb.com/title/tt3453052/?ref_=fn_tt_tt_1,English,R,12000000,7.5,1.85
Randall Wallace,82,99,130,79,91443253,663,Rob Moran,,based on true story|christ|christian|near death experience|pastor,http://www.imdb.com/title/tt1929263/?ref_=fn_tt_tt_1,English,PG,12000000,5.8,2.35
Guy Ritchie,151,104,0,1000,30093107,39175,Jason Flemyng,6,boxer|boxing|diamond|fight|gypsy,http://www.imdb.com/title/tt0208092/?ref_=fn_tt_tt_1,English,R,6000000,8.3,1.85
