director_name,duration,director_facebook_likes,actor_3_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,facenumber_in_poster,movie_imdb_link,country,content_rating,budget,movie_facebook_likes
,334,,30,145118,Biography|Crime|Drama|Thriller,Edgar Ramírez,Carlos             ,10111,0,http://www.imdb.com/title/tt1321865/?ref_=fn_tt_tt_1,France,Not Rated,,0
Tran Anh Hung,114,157,32,,Thriller,Takuya Kimura,I Come with the Rain ,2541,0,http://www.imdb.com/title/tt1024744/?ref_=fn_tt_tt_1,France,Not Rated,18000000,342
Lance Hool,121,0,353,229311,Action|Drama|History|Romance|War|Western,Tom Berenger,One Man's Hero ,899,2,http://www.imdb.com/title/tt0120775/?ref_=fn_tt_tt_1,Spain,R,11350000,271
George A. Romero,87,0,83,,Horror,Greg Nicotero,Day of the Dead ,49669,1,http://www.imdb.com/title/tt0088993/?ref_=fn_tt_tt_1,USA,Unrated,3500000,3000
Chuck Russell,92,55,757,,Action|Crime|Drama|Thriller,Sam Trammell,I Am Wrath ,4510,1,http://www.imdb.com/title/tt3212232/?ref_=fn_tt_tt_1,USA,R,18000000,0
Christian Volckman,105,2,69,63260,Action|Animation|Sci-Fi|Thriller,Romola Garai,Renaissance ,14325,0,http://www.imdb.com/title/tt0386741/?ref_=fn_tt_tt_1,France,R,14000000,0
Jon Cassar,90,78,720,,Drama|Western,Demi Moore,Forsaken ,4693,1,http://www.imdb.com/title/tt2271563/?ref_=fn_tt_tt_1,Canada,R,11000000,0
Richard Fleischer,89,130,183,,Action|Adventure|Fantasy,Ernie Reyes Jr.,Red Sonja ,30215,1,http://www.imdb.com/title/tt0089893/?ref_=fn_tt_tt_1,Netherlands,PG-13,17900000,0
Rodrigo Cortés,114,89,920,,Drama|Horror|Mystery|Thriller,Robert De Niro,Red Lights ,48162,2,http://www.imdb.com/title/tt1748179/?ref_=fn_tt_tt_1,Spain,R,14000000,10000
Greg Mottola,119,99,778,121463226,Comedy,Emma Stone,Superbad ,422606,2,http://www.imdb.com/title/tt0829482/?ref_=fn_tt_tt_1,USA,R,20000000,0
Tyler Perry,103,0,543,90485233,Comedy|Crime|Drama,Vanessa Ferlito,Madea Goes to Jail ,9544,0,http://www.imdb.com/title/tt1142800/?ref_=fn_tt_tt_1,USA,PG-13,,804
David Hayter,91,512,413,,Action|Horror,Jason Momoa,Wolves ,5693,2,http://www.imdb.com/title/tt1403241/?ref_=fn_tt_tt_1,France,R,18000000,0
Jon M. Chu,98,209,129,58006147,Drama|Music|Musical|Romance,Cassie Ventura,Step Up 2: The Streets ,67653,2,http://www.imdb.com/title/tt1023481/?ref_=fn_tt_tt_1,USA,PG-13,23000000,0
Cory Edwards,80,19,854,51053787,Action|Animation|Comedy|Crime|Family,Anne Hathaway,Hoodwinked! ,45900,1,http://www.imdb.com/title/tt0443536/?ref_=fn_tt_tt_1,USA,PG,17500000,0
Terry George,121,83,242,23472900,Drama|History|War,Don Cheadle,Hotel Rwanda ,264533,1,http://www.imdb.com/title/tt0395169/?ref_=fn_tt_tt_1,UK,PG-13,17500000,12000
Xavier Gens,94,87,280,39687528,Action|Crime|Drama|Thriller,Henry Ian Cusick,Hitman ,140780,1,http://www.imdb.com/title/tt0465494/?ref_=fn_tt_tt_1,France,R,24000000,0
Kasi Lemmons,93,148,170,7017178,Drama|Family|Music|Musical,Jennifer Hudson,Black Nativity ,1633,5,http://www.imdb.com/title/tt1425922/?ref_=fn_tt_tt_1,USA,PG,17500000,0
Brian A Miller,93,32,1000,,Action|Thriller,Bruce Willis,The Prince ,13133,4,http://www.imdb.com/title/tt1085492/?ref_=fn_tt_tt_1,USA,R,18000000,0
Matt Dillon,116,0,50,325491,Crime|Drama|Thriller,Kirk Fox,City of Ghosts ,4387,0,http://www.imdb.com/title/tt0164003/?ref_=fn_tt_tt_1,USA,R,17500000,204
Alejandro Amenábar,101,448,83,96471845,Fantasy|Horror|Thriller,Fionnula Flanagan,The Others ,268581,0,http://www.imdb.com/title/tt0230600/?ref_=fn_tt_tt_1,USA,PG-13,17000000,20000
James Cameron,154,0,604,85200000,Action|Adventure|Sci-Fi,Michael Biehn,Aliens ,488537,1,http://www.imdb.com/title/tt0090605/?ref_=fn_tt_tt_1,USA,R,18500000,18000
George Cukor,170,165,244,72000000,Drama|Family|Musical|Romance,Jeremy Brett,My Fair Lady ,66959,1,http://www.imdb.com/title/tt0058385/?ref_=fn_tt_tt_1,USA,Approved,17000000,0
Jim Gillespie,99,13,681,72219395,Horror|Mystery|Thriller,Muse Watson,I Know What You Did Last Summer ,105585,1,http://www.imdb.com/title/tt0119345/?ref_=fn_tt_tt_1,USA,R,17000000,0
Luke Greenfield,104,42,613,82389560,Comedy,Rob Riggle,Let's Be Cops ,106820,1,http://www.imdb.com/title/tt1924435/?ref_=fn_tt_tt_1,USA,R,17000000,14000
Alexander Payne,126,729,284,71502303,Adventure|Comedy|Drama|Romance,Virginia Madsen,Sideways ,149966,0,http://www.imdb.com/title/tt0375063/?ref_=fn_tt_tt_1,USA,R,12000000,0
Jay Chandrasekhar,110,422,422,19179969,Comedy,Chris Moss,Beerfest ,54710,2,http://www.imdb.com/title/tt0486551/?ref_=fn_tt_tt_1,USA,R,17500000,0
John Carpenter,101,0,598,47000000,Horror|Thriller,Jamie Lee Curtis,Halloween ,157857,0,http://www.imdb.com/title/tt0077651/?ref_=fn_tt_tt_1,USA,R,300000,12000
Yimou Zhang,80,611,576,84961,Action|Adventure|History,Jet Li,Hero ,149414,4,http://www.imdb.com/title/tt0299977/?ref_=fn_tt_tt_1,China,PG-13,31000000,0
John Hoffman,87,9,503,37566230,Comedy|Drama|Family|Fantasy|Sci-Fi,Liam Aiken,Good Boy! ,3407,1,http://www.imdb.com/title/tt0326900/?ref_=fn_tt_tt_1,USA,PG,17000000,309
Malcolm D. Lee,123,92,849,70492685,Comedy|Drama,Harold Perrineau,The Best Man Holiday ,11600,5,http://www.imdb.com/title/tt2083355/?ref_=fn_tt_tt_1,USA,R,17000000,7000
Joe Carnahan,109,248,968,35635046,Action|Crime|Drama|Thriller,Ryan Reynolds,Smokin' Aces ,121058,0,http://www.imdb.com/title/tt0475394/?ref_=fn_tt_tt_1,UK,R,17000000,3000
Kevin Greutert,90,52,298,45670855,Horror|Mystery,Costas Mandylor,Saw 3D: The Final Chapter ,67978,0,http://www.imdb.com/title/tt1477076/?ref_=fn_tt_tt_1,Canada,R,20000000,12000
Michael Lehmann,96,36,486,37939782,Comedy|Romance,Emmanuelle Vaugier,40 Days and 40 Nights ,62272,0,http://www.imdb.com/title/tt0243736/?ref_=fn_tt_tt_1,USA,R,17000000,2000
Joseph Kosinski,125,364,1000,172051787,Action|Adventure|Sci-Fi,Jeff Bridges,TRON: Legacy ,264186,0,http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1,USA,PG,170000000,30000
John Fortenberry,82,12,281,30324946,Comedy|Music|Romance,Will Ferrell,A Night at the Roxbury ,48458,2,http://www.imdb.com/title/tt0120770/?ref_=fn_tt_tt_1,USA,PG-13,17000000,0
Daniel Barnz,86,33,583,27854896,Drama|Fantasy|Romance,Alex Pettyfer,Beastly ,64190,1,http://www.imdb.com/title/tt1152398/?ref_=fn_tt_tt_1,USA,PG-13,17000000,16000
Alexandre Aja,108,192,580,41777564,Horror,Dan Byrd,The Hills Have Eyes ,129719,0,http://www.imdb.com/title/tt0454841/?ref_=fn_tt_tt_1,USA,R,15000000,0
Sam Weisman,98,39,428,22734486,Comedy,Kevin Grevioux,Dickie Roberts: Former Child Star ,11815,1,http://www.imdb.com/title/tt0325258/?ref_=fn_tt_tt_1,USA,PG-13,17000000,320
Niki Caro,129,51,89,44469602,Biography|Drama|Sport,Morgan Saylor,"McFarland, USA ",23480,0,http://www.imdb.com/title/tt2097298/?ref_=fn_tt_tt_1,USA,PG,17000000,21000
Erik White,99,17,826,24708699,Comedy,Brandon T. Jackson,Lottery Ticket ,7991,7,http://www.imdb.com/title/tt0979434/?ref_=fn_tt_tt_1,USA,PG-13,,0
Chris Robinson,105,49,104,21160089,Comedy|Crime|Drama|Music|Romance,T.I.,ATL ,8522,0,http://www.imdb.com/title/tt0466856/?ref_=fn_tt_tt_1,USA,PG-13,,874
Jason Moore,112,36,746,64998368,Comedy|Music|Romance,Anna Kendrick,Pitch Perfect ,213898,4,http://www.imdb.com/title/tt1981677/?ref_=fn_tt_tt_1,USA,PG-13,17000000,36000
Michael Tollin,108,19,505,19693891,Comedy|Drama|Romance|Sport,Marc Blucas,Summer Catch ,12993,2,http://www.imdb.com/title/tt0234829/?ref_=fn_tt_tt_1,USA,PG-13,34000000,476
Sam Raimi,121,0,244,16311763,Crime|Drama|Thriller,Gary Cole,A Simple Plan ,50656,1,http://www.imdb.com/title/tt0120324/?ref_=fn_tt_tt_1,UK,R,17000000,0
Robert Harmon,89,11,973,12693621,Horror|Mystery|Thriller,Alexander Gould,They ,10885,0,http://www.imdb.com/title/tt0283632/?ref_=fn_tt_tt_1,USA,PG-13,17000000,814
Trent Cooper,89,0,323,15655665,Comedy|Romance,Thomas F. Wilson,Larry the Cable Guy: Health Inspector ,9104,2,http://www.imdb.com/title/tt0462395/?ref_=fn_tt_tt_1,USA,PG-13,4000000,110
Gary Halvorson,73,11,142,11634458,Adventure|Comedy|Family|Fantasy|Musical,Vanessa Williams,The Adventures of Elmo in Grouchland ,2045,0,http://www.imdb.com/title/tt0159421/?ref_=fn_tt_tt_1,USA,G,17000000,339
Antoine Fuqua,132,847,625,27154426,Crime|Drama|Thriller,Don Cheadle,Brooklyn's Finest ,52852,1,http://www.imdb.com/title/tt1210042/?ref_=fn_tt_tt_1,USA,R,17000000,4000
Nicholas Ray,154,117,86,,Action|Adventure|Drama|History|War,Ava Gardner,55 Days at Peking ,4550,3,http://www.imdb.com/title/tt0056800/?ref_=fn_tt_tt_1,USA,Unrated,9000000,419
Fede Alvarez,96,201,58,54239856,Horror,Lou Taylor Pucci,Evil Dead ,125016,0,http://www.imdb.com/title/tt1288558/?ref_=fn_tt_tt_1,USA,R,17000000,70000
Donald Petrie,98,80,399,8662318,Comedy|Romance,Nia Vardalos,My Life in Ruins ,15033,1,http://www.imdb.com/title/tt0865559/?ref_=fn_tt_tt_1,USA,PG-13,17000000,0
Paul Weitz,107,80,841,7156725,Comedy|Music,Judy Greer,American Dreamz ,22639,6,http://www.imdb.com/title/tt0465142/?ref_=fn_tt_tt_1,USA,PG-13,19000000,300
Sidney J. Furie,134,22,488,15681020,Action|Adventure|Family|Sci-Fi,Jim Broadbent,Superman IV: The Quest for Peace ,33570,6,http://www.imdb.com/title/tt0094074/?ref_=fn_tt_tt_1,UK,PG,17000000,1000
Ian Iqbal Rashid,94,8,66,7070459,Drama,DeRay Davis,How She Move ,4600,0,http://www.imdb.com/title/tt0770810/?ref_=fn_tt_tt_1,Canada,PG-13,,238
Wayne Kramer,122,47,834,6855137,Action|Crime|Drama|Thriller,Paul Walker,Running Scared ,88590,2,http://www.imdb.com/title/tt0404390/?ref_=fn_tt_tt_1,Germany,R,17000000,0
Rowdy Herrington,128,9,193,2694071,Biography|Drama|Romance|Sport,Aidan Quinn,Bobby Jones: Stroke of Genius ,3222,3,http://www.imdb.com/title/tt0375104/?ref_=fn_tt_tt_1,USA,PG,,352
Jim Goddard,97,3,161,2315683,Adventure|Crime|Drama|Romance,Victor Wong,Shanghai Surprise ,4081,0,http://www.imdb.com/title/tt0091934/?ref_=fn_tt_tt_1,UK,PG-13,17000000,154
Neil Burger,110,168,96,39825798,Drama|Mystery|Romance|Thriller,Rufus Sewell,The Illusionist ,295375,3,http://www.imdb.com/title/tt0443543/?ref_=fn_tt_tt_1,USA,PG-13,16000000,15000
Noel Marshall,102,4,60,2000000,Adventure|Horror|Thriller,Tippi Hedren,Roar ,1275,0,http://www.imdb.com/title/tt0083001/?ref_=fn_tt_tt_1,USA,PG,17000000,0
Joel Schumacher,98,541,71,1569918,Biography|Crime|Drama|Thriller,Brenda Fricker,Veronica Guerin ,16234,1,http://www.imdb.com/title/tt0312549/?ref_=fn_tt_tt_1,Ireland,R,17000000,0
Andrea Di Stefano,120,30,55,106869,Crime|Drama|Romance|Thriller,Josh Hutcherson,Escobar: Paradise Lost ,13762,1,http://www.imdb.com/title/tt2515030/?ref_=fn_tt_tt_1,France,R,17000000,0
Richard Kelly,160,219,215,273420,Comedy|Mystery|Sci-Fi|Thriller,Janeane Garofalo,Southland Tales ,32671,6,http://www.imdb.com/title/tt0405336/?ref_=fn_tt_tt_1,France,R,17000000,0
Guillaume Ivernel,80,0,168,,Adventure|Animation|Family|Fantasy,Rob Paulsen,Dragon Hunters ,10706,0,http://www.imdb.com/title/tt0944834/?ref_=fn_tt_tt_1,France,PG,11000000,0
Jack Smight,91,22,255,,Sci-Fi,George Peppard,Damnation Alley ,3701,0,http://www.imdb.com/title/tt0075909/?ref_=fn_tt_tt_1,USA,PG,17000000,903
Todd Lincoln,83,57,62,4930798,Horror|Thriller,Julianna Guill,The Apparition ,16268,1,http://www.imdb.com/title/tt1433822/?ref_=fn_tt_tt_1,USA,PG-13,17000000,0
Howard Zieff,102,6,165,59847242,Comedy|Drama|Family|Romance,Macaulay Culkin,My Girl ,55895,1,http://www.imdb.com/title/tt0102492/?ref_=fn_tt_tt_1,USA,PG-13,16500000,0
Steven Shainberg,122,30,260,220914,Biography|Drama|Romance,Robert Downey Jr.,Fur: An Imaginary Portrait of Diane Arbus ,13239,2,http://www.imdb.com/title/tt0422295/?ref_=fn_tt_tt_1,USA,R,16800000,0
Neil Burger,110,168,96,39825798,Drama|Mystery|Romance|Thriller,Rufus Sewell,The Illusionist ,295375,3,http://www.imdb.com/title/tt0443543/?ref_=fn_tt_tt_1,USA,PG-13,16000000,15000
Oliver Stone,126,0,168,43848100,Crime|Drama,Hal Holbrook,Wall Street ,119150,2,http://www.imdb.com/title/tt0094291/?ref_=fn_tt_tt_1,USA,R,15000000,0
Ang Lee,136,0,1000,42700000,Drama|Romance,Alan Rickman,Sense and Sensibility ,78392,2,http://www.imdb.com/title/tt0114388/?ref_=fn_tt_tt_1,USA,PG,16500000,0
Julian Jarrold,120,11,281,18663911,Biography|Drama|Romance,Anne Hathaway,Becoming Jane ,46204,1,http://www.imdb.com/title/tt0416508/?ref_=fn_tt_tt_1,UK,PG,16500000,0
Joe Nussbaum,108,18,433,11702090,Comedy|Romance,Danny Strong,Sydney White ,37700,2,http://www.imdb.com/title/tt0815244/?ref_=fn_tt_tt_1,USA,PG-13,16500000,0
Vadim Perelman,126,26,385,13005485,Drama,Frances Fisher,House of Sand and Fog ,56665,0,http://www.imdb.com/title/tt0315983/?ref_=fn_tt_tt_1,USA,R,15000000,0
Peter Weir,128,608,1000,95860116,Comedy|Drama,Robin Williams,Dead Poets Society ,277451,0,http://www.imdb.com/title/tt0097165/?ref_=fn_tt_tt_1,USA,PG,16400000,23000
Peter Farrelly,113,137,481,127175354,Comedy,Lauren Holly,Dumb & Dumber ,288451,2,http://www.imdb.com/title/tt0109686/?ref_=fn_tt_tt_1,USA,PG-13,16000000,0
Rob Reiner,89,0,62,92823600,Comedy|Drama|Romance,Bruno Kirby,When Harry Met Sally... ,149108,0,http://www.imdb.com/title/tt0098635/?ref_=fn_tt_tt_1,USA,R,16000000,0
Sidney Lumet,129,0,359,54000000,Drama,Charlotte Rampling,The Verdict ,26310,0,http://www.imdb.com/title/tt0084855/?ref_=fn_tt_tt_1,USA,R,16000000,0
Todd Phillips,94,480,486,68525609,Comedy,Ethan Suplee,Road Trip ,132963,5,http://www.imdb.com/title/tt0215129/?ref_=fn_tt_tt_1,USA,R,15600000,0
Brian Robbins,106,48,35,52885587,Comedy|Drama|Romance|Sport,Paul Walker,Varsity Blues ,35312,0,http://www.imdb.com/title/tt0139699/?ref_=fn_tt_tt_1,USA,R,16000000,0
Michel Hazanavicius,100,405,628,44667095,Comedy|Drama|Romance,Bérénice Bejo,The Artist ,190030,0,http://www.imdb.com/title/tt1655442/?ref_=fn_tt_tt_1,France,PG-13,15000000,30000
David S. Goyer,89,687,389,42638165,Drama|Fantasy|Horror|Mystery|Thriller,Gary Oldman,The Unborn ,42182,1,http://www.imdb.com/title/tt1139668/?ref_=fn_tt_tt_1,USA,PG-13,16000000,0
Wes Anderson,94,0,559,45507053,Adventure|Comedy|Drama|Romance,Bruce Willis,Moonrise Kingdom ,237848,2,http://www.imdb.com/title/tt1748122/?ref_=fn_tt_tt_1,USA,PG-13,16000000,71000
Jonathan Liebesman,83,473,597,39511038,Horror,Matt Bomer,The Texas Chainsaw Massacre: The Beginning ,56269,0,http://www.imdb.com/title/tt0420294/?ref_=fn_tt_tt_1,USA,R,16000000,0
Cyrus Nowrasteh,111,19,107,6462576,Drama,Clive Russell,The Young Messiah ,1449,0,http://www.imdb.com/title/tt1002563/?ref_=fn_tt_tt_1,USA,PG-13,18500000,0
Perry Andelin Blake,80,11,499,40363530,Comedy|Family,Jennifer Esposito,The Master of Disguise ,18254,2,http://www.imdb.com/title/tt0295427/?ref_=fn_tt_tt_1,USA,PG,16000000,1000
Guillermo del Toro,112,0,250,37623143,Drama|Fantasy|War,Ivana Baquero,Pan's Labyrinth ,467234,0,http://www.imdb.com/title/tt0457430/?ref_=fn_tt_tt_1,Spain,R,13500000,27000
,60,,762,,Drama|Fantasy|Mystery|Thriller,Joel Courtney,The Messengers             ,7210,0,http://www.imdb.com/title/tt3513704/?ref_=fn_tt_tt_1,USA,,,0
John Whitesell,94,14,635,33357476,Action|Comedy|Crime|Family,Leslie Bibb,See Spot Run ,7392,0,http://www.imdb.com/title/tt0250720/?ref_=fn_tt_tt_1,USA,PG,35000000,393
John Singleton,130,309,522,28734552,Crime|Drama|Romance|Thriller,Mo'Nique,Baby Boy ,9566,2,http://www.imdb.com/title/tt0255819/?ref_=fn_tt_tt_1,USA,R,16000000,1000
Christian E. Christiansen,91,26,638,37300107,Drama|Horror|Thriller,Leighton Meester,The Roommate ,29147,1,http://www.imdb.com/title/tt1265990/?ref_=fn_tt_tt_1,USA,PG-13,16000000,0
Dennie Gordon,91,29,459,27087695,Adventure|Comedy|Drama,Brittany Daniel,Joe Dirt ,41664,0,http://www.imdb.com/title/tt0245686/?ref_=fn_tt_tt_1,USA,PG-13,17700000,0
Sheldon Lettich,110,23,51,30102717,Action|Crime,Bolo Yeung,Double Impact ,28736,2,http://www.imdb.com/title/tt0101764/?ref_=fn_tt_tt_1,USA,R,15000000,0
Edgar Wright,121,1000,108,23618786,Action|Comedy|Mystery,Bill Bailey,Hot Fuzz ,352695,1,http://www.imdb.com/title/tt0425112/?ref_=fn_tt_tt_1,UK,R,8000000,17000
Diane English,114,15,650,26896744,Comedy|Drama,Jada Pinkett Smith,The Women ,16582,4,http://www.imdb.com/title/tt0430770/?ref_=fn_tt_tt_1,USA,PG-13,16500000,0
Woody Allen,96,11000,252,23213577,Drama|Romance,Scarlett Johansson,Vicky Cristina Barcelona ,198111,0,http://www.imdb.com/title/tt0497465/?ref_=fn_tt_tt_1,Spain,PG-13,15500000,14000
