director_name,duration,actor_1_name,num_voted_users,movie_imdb_link,language,country,content_rating,actor_2_facebook_likes,imdb_score
Renny Harlin,124,Sylvester Stallone,96096,http://www.imdb.com/title/tt0106582/?ref_=fn_tt_tt_1,English,USA,R,730,6.4
John Woo,108,Delroy Lindo,77390,http://www.imdb.com/title/tt0115759/?ref_=fn_tt_tt_1,English,USA,R,517,6.0
Jon Turteltaub,104,Bruce Willis,34473,http://www.imdb.com/title/tt0219854/?ref_=fn_tt_tt_1,English,USA,PG,718,6.1
Oliver Stone,129,Nicolas Cage,67395,http://www.imdb.com/title/tt0469641/?ref_=fn_tt_tt_1,English,USA,PG-13,1000,6.0
Mike Newell,117,Julia Roberts,61490,http://www.imdb.com/title/tt0304415/?ref_=fn_tt_tt_1,English,USA,PG-13,4000,6.4
Larry Charles,99,Sayed Badreya,213863,http://www.imdb.com/title/tt1645170/?ref_=fn_tt_tt_1,English,USA,R,346,6.4
Stanley Kubrick,159,Tom Cruise,227071,http://www.imdb.com/title/tt0120663/?ref_=fn_tt_tt_1,English,UK,R,580,7.3
Will Gluck,118,Quvenzhané Wallis,24735,http://www.imdb.com/title/tt1823664/?ref_=fn_tt_tt_1,English,USA,PG,1000,5.2
Glenn Ficarra,105,Will Smith,149337,http://www.imdb.com/title/tt2381941/?ref_=fn_tt_tt_1,English,USA,R,806,6.6
McG,103,Tom Hardy,147641,http://www.imdb.com/title/tt1596350/?ref_=fn_tt_tt_1,English,USA,PG-13,1000,6.3
David S. Goyer,122,Ryan Reynolds,132954,http://www.imdb.com/title/tt0359013/?ref_=fn_tt_tt_1,English,USA,R,1000,5.9
John Milius,114,Lea Thompson,41776,http://www.imdb.com/title/tt0087985/?ref_=fn_tt_tt_1,English,USA,PG-13,1000,6.4
Mike Nichols,143,Maura Tierney,23940,http://www.imdb.com/title/tt0119942/?ref_=fn_tt_tt_1,English,France,R,317,6.7
Paul W.S. Anderson,96,Milla Jovovich,104831,http://www.imdb.com/title/tt1855325/?ref_=fn_tt_tt_1,English,Germany,R,1000,5.4
Paul W.S. Anderson,111,Jason Statham,166610,http://www.imdb.com/title/tt0452608/?ref_=fn_tt_tt_1,English,USA,R,872,6.4
Renny Harlin,121,Melina Kanakaredes,60508,http://www.imdb.com/title/tt0116908/?ref_=fn_tt_tt_1,English,USA,R,380,6.7
Taylor Hackford,135,Pamela Reed,49300,http://www.imdb.com/title/tt0228750/?ref_=fn_tt_tt_1,English,USA,R,192,6.2
Jon Favreau,101,Kristen Stewart,67707,http://www.imdb.com/title/tt0406375/?ref_=fn_tt_tt_1,English,USA,PG,14000,6.1
David Fincher,151,Brad Pitt,1347461,http://www.imdb.com/title/tt0137523/?ref_=fn_tt_tt_1,English,USA,R,783,8.8
McG,131,Matthew McConaughey,46951,http://www.imdb.com/title/tt0758794/?ref_=fn_tt_tt_1,English,USA,PG,529,7.1
,60,Jason Flemyng,8739,http://www.imdb.com/title/tt3877200/?ref_=fn_tt_tt_1,English,UK,,773,8.1
Michael Lehmann,100,Bruce Willis,43376,http://www.imdb.com/title/tt0102070/?ref_=fn_tt_tt_1,English,USA,R,773,5.7
Nora Ephron,105,Michael Rapaport,8560,http://www.imdb.com/title/tt0219952/?ref_=fn_tt_tt_1,English,France,R,909,5.0
Stuart Beattie,92,Caitlin Stasey,65709,http://www.imdb.com/title/tt1418377/?ref_=fn_tt_tt_1,English,Australia,PG-13,593,5.1
Roman Polanski,130,Ian McNeice,25474,http://www.imdb.com/title/tt0380599/?ref_=fn_tt_tt_1,English,UK,PG-13,85,6.9
Rob Bowman,100,Jennifer Garner,71202,http://www.imdb.com/title/tt0357277/?ref_=fn_tt_tt_1,English,Canada,PG-13,1000,4.8
Frank Miller,102,Joseph Gordon-Levitt,111102,http://www.imdb.com/title/tt0458481/?ref_=fn_tt_tt_1,English,USA,R,13000,6.5
Sydney Pollack,133,Harrison Ford,17025,http://www.imdb.com/title/tt0156934/?ref_=fn_tt_tt_1,English,USA,R,1000,5.1
Baltasar Kormákur,121,Michael Kelly,134625,http://www.imdb.com/title/tt2719848/?ref_=fn_tt_tt_1,English,UK,PG-13,580,7.1
Tom Tykwer,147,Michael Smiley,190490,http://www.imdb.com/title/tt0396171/?ref_=fn_tt_tt_1,English,Germany,R,27,7.5
Jay Roach,94,Verne Troyer,162909,http://www.imdb.com/title/tt0295178/?ref_=fn_tt_tt_1,English,USA,PG-13,522,6.2
David Bowers,94,Nicolas Cage,25681,http://www.imdb.com/title/tt0375568/?ref_=fn_tt_tt_1,English,Hong Kong,PG,9000,6.3
Steven Spielberg,127,Wayne Knight,613473,http://www.imdb.com/title/tt0107290/?ref_=fn_tt_tt_1,English,USA,PG-13,610,8.1
Lawrence Kasdan,212,Dennis Quaid,35314,http://www.imdb.com/title/tt0111756/?ref_=fn_tt_tt_1,English,USA,PG-13,925,6.6
Phillip Noyce,141,Harrison Ford,69663,http://www.imdb.com/title/tt0109444/?ref_=fn_tt_tt_1,English,USA,PG-13,913,6.9
Daniel Lee,103,Si Won Choi,11584,http://www.imdb.com/title/tt3672840/?ref_=fn_tt_tt_1,Mandarin,China,R,18,6.1
Keenen Ivory Wayans,98,Chazz Palminteri,39471,http://www.imdb.com/title/tt0430304/?ref_=fn_tt_tt_1,English,USA,PG-13,862,4.3
Jonathan Mostow,116,Matthew McConaughey,65297,http://www.imdb.com/title/tt0141926/?ref_=fn_tt_tt_1,English,France,PG-13,919,6.6
Rob Reiner,114,Shawna Waldron,43027,http://www.imdb.com/title/tt0112346/?ref_=fn_tt_tt_1,English,USA,PG-13,517,6.8
Marco Schnabel,87,Justin Timberlake,43300,http://www.imdb.com/title/tt0811138/?ref_=fn_tt_tt_1,English,USA,PG-13,966,3.8
Demian Lichtenstein,125,Jon Lovitz,38076,http://www.imdb.com/title/tt0233142/?ref_=fn_tt_tt_1,English,USA,R,904,5.9
Quentin Tarantino,187,Craig Stark,272839,http://www.imdb.com/title/tt3460252/?ref_=fn_tt_tt_1,English,USA,R,1000,7.9
Josh Gordon,93,Will Ferrell,129995,http://www.imdb.com/title/tt0445934/?ref_=fn_tt_tt_1,English,USA,PG-13,1000,6.3
Tim Hill,95,Gary Cole,24089,http://www.imdb.com/title/tt1411704/?ref_=fn_tt_tt_1,English,USA,PG,664,5.5
Zack Snyder,117,Gerard Butler,607235,http://www.imdb.com/title/tt0416449/?ref_=fn_tt_tt_1,English,USA,R,13000,7.7
Jay Roach,106,Robert De Niro,211296,http://www.imdb.com/title/tt0290002/?ref_=fn_tt_tt_1,English,USA,PG-13,713,6.3
David Frankel,115,Eric Dane,116681,http://www.imdb.com/title/tt0822832/?ref_=fn_tt_tt_1,English,USA,PG,899,7.1
Frank Darabont,189,Tom Hanks,782610,http://www.imdb.com/title/tt0120689/?ref_=fn_tt_tt_1,English,USA,R,745,8.5
Walt Becker,100,Jill Hennessy,99989,http://www.imdb.com/title/tt0486946/?ref_=fn_tt_tt_1,English,USA,PG-13,330,5.9
Mark Dindal,81,Catherine O'Hara,63912,http://www.imdb.com/title/tt0371606/?ref_=fn_tt_tt_1,English,USA,G,729,5.8
David Fincher,149,Patrick Fugit,569841,http://www.imdb.com/title/tt2267998/?ref_=fn_tt_tt_1,English,USA,R,812,8.1
Doug Liman,119,Matt Damon,407601,http://www.imdb.com/title/tt0258463/?ref_=fn_tt_tt_1,English,USA,PG-13,147,7.9
Martin Campbell,130,Izabella Scorupco,199025,http://www.imdb.com/title/tt0113189/?ref_=fn_tt_tt_1,English,UK,PG-13,387,7.2
Simon West,116,Daniel von Bargen,42705,http://www.imdb.com/title/tt0144214/?ref_=fn_tt_tt_1,English,USA,R,501,6.3
Peter Weir,103,Natascha McElhone,667983,http://www.imdb.com/title/tt0120382/?ref_=fn_tt_tt_1,English,USA,PG,617,8.1
Brenda Chapman,99,Martin Short,91093,http://www.imdb.com/title/tt0120794/?ref_=fn_tt_tt_1,English,USA,PG,263,7.0
Steve Carr,92,Anjelica Huston,49486,http://www.imdb.com/title/tt0317303/?ref_=fn_tt_tt_1,English,USA,PG,955,5.5
Baltasar Kormákur,109,Denzel Washington,156898,http://www.imdb.com/title/tt1272878/?ref_=fn_tt_tt_1,English,USA,R,497,6.7
Lawrence Guterman,87,Carol Ann Susi,46031,http://www.imdb.com/title/tt0239395/?ref_=fn_tt_tt_1,English,USA,PG,664,5.2
F. Gary Gray,111,Jason Statham,285623,http://www.imdb.com/title/tt0317740/?ref_=fn_tt_tt_1,English,USA,PG-13,9000,7.0
Marc Lawrence,101,Dorian Missick,85673,http://www.imdb.com/title/tt0313737/?ref_=fn_tt_tt_1,English,USA,PG-13,976,6.1
Eric Darnell,83,Sylvester Stallone,124641,http://www.imdb.com/title/tt0120587/?ref_=fn_tt_tt_1,English,USA,PG,11000,6.6
Peter Billingsley,113,Jon Favreau,83506,http://www.imdb.com/title/tt1078940/?ref_=fn_tt_tt_1,English,USA,PG-13,722,5.5
Tony Scott,107,Tom Cruise,60476,http://www.imdb.com/title/tt0099371/?ref_=fn_tt_tt_1,English,USA,PG-13,3000,5.9
Adam Shankman,94,Taylor Lautner,42737,http://www.imdb.com/title/tt0452598/?ref_=fn_tt_tt_1,English,USA,PG,3000,5.4
Wes Ball,132,Ki Hong Lee,138246,http://www.imdb.com/title/tt4046784/?ref_=fn_tt_tt_1,English,USA,PG-13,960,6.4
Ryan Murphy,140,James Franco,63493,http://www.imdb.com/title/tt0879870/?ref_=fn_tt_tt_1,English,USA,PG-13,8000,5.7
Brett Ratner,125,Nicolas Cage,85844,http://www.imdb.com/title/tt0218967/?ref_=fn_tt_tt_1,English,USA,PG-13,3000,6.7
Robert Schwentke,111,Bruce Willis,238916,http://www.imdb.com/title/tt1245526/?ref_=fn_tt_tt_1,English,USA,PG-13,11000,7.1
Oliver Stone,156,Al Pacino,97047,http://www.imdb.com/title/tt0146838/?ref_=fn_tt_tt_1,English,USA,R,2000,6.8
Robert Redford,170,Scarlett Johansson,32353,http://www.imdb.com/title/tt0119314/?ref_=fn_tt_tt_1,English,USA,PG-13,1000,6.5
Michael Mann,120,Tom Cruise,293662,http://www.imdb.com/title/tt0369339/?ref_=fn_tt_tt_1,English,USA,R,851,7.6
Chuck Russell,100,Dwayne Johnson,102129,http://www.imdb.com/title/tt0277296/?ref_=fn_tt_tt_1,English,USA,PG-13,1000,5.5
Jay Russell,115,Billy Burke,48753,http://www.imdb.com/title/tt0349710/?ref_=fn_tt_tt_1,English,USA,PG-13,1000,6.5
Christopher McQuarrie,130,Tom Cruise,226570,http://www.imdb.com/title/tt0790724/?ref_=fn_tt_tt_1,English,USA,PG-13,3000,7.0
Renny Harlin,105,LL Cool J,99043,http://www.imdb.com/title/tt0149261/?ref_=fn_tt_tt_1,English,USA,R,975,5.8
Kenny Ortega,111,Misha Gabriel Hamilton,33158,http://www.imdb.com/title/tt1477715/?ref_=fn_tt_tt_1,English,USA,PG,208,7.3
Steven Soderbergh,106,Matt Damon,180479,http://www.imdb.com/title/tt1598778/?ref_=fn_tt_tt_1,English,USA,PG-13,240,6.6
David McNally,89,Estella Warren,23476,http://www.imdb.com/title/tt0257568/?ref_=fn_tt_tt_1,English,USA,PG,257,4.4
Henry Selick,100,Jennifer Saunders,143121,http://www.imdb.com/title/tt0327597/?ref_=fn_tt_tt_1,English,USA,PG,229,7.7
M. Night Shyamalan,91,Zooey Deschanel,163130,http://www.imdb.com/title/tt0949731/?ref_=fn_tt_tt_1,English,USA,R,946,5.0
Tony Scott,146,Denzel Washington,266310,http://www.imdb.com/title/tt0328107/?ref_=fn_tt_tt_1,English,USA,R,992,7.7
Brian Robbins,98,Robert Downey Jr.,14888,http://www.imdb.com/title/tt0393735/?ref_=fn_tt_tt_1,English,USA,PG,936,4.4
Todd Phillips,101,Snoop Dogg,120795,http://www.imdb.com/title/tt0335438/?ref_=fn_tt_tt_1,English,USA,PG-13,869,6.1
Brian Levant,94,Jim Belushi,68406,http://www.imdb.com/title/tt0116705/?ref_=fn_tt_tt_1,English,USA,PG,628,5.4
Guillermo del Toro,132,James Babson,244566,http://www.imdb.com/title/tt0167190/?ref_=fn_tt_tt_1,English,USA,PG-13,334,6.8
Steven Zaillian,115,Robert Duvall,23302,http://www.imdb.com/title/tt0120633/?ref_=fn_tt_tt_1,English,USA,PG-13,552,6.5
Chris Butler,92,Anna Kendrick,72287,http://www.imdb.com/title/tt1623288/?ref_=fn_tt_tt_1,English,USA,PG,884,7.0
Michael Caton-Jones,124,J.K. Simmons,88225,http://www.imdb.com/title/tt0119395/?ref_=fn_tt_tt_1,English,USA,R,13000,6.3
John Woo,119,Ivana Milicevic,89816,http://www.imdb.com/title/tt0338337/?ref_=fn_tt_tt_1,English,USA,PG-13,780,6.3
Jon Avnet,124,Joe Mantegna,11370,http://www.imdb.com/title/tt0118055/?ref_=fn_tt_tt_1,English,USA,PG-13,944,6.1
Sam Fell,93,Emma Watson,31209,http://www.imdb.com/title/tt0420238/?ref_=fn_tt_tt_1,English,UK,G,2000,6.1
,22,Bianca Kajlich,26404,http://www.imdb.com/title/tt0790772/?ref_=fn_tt_tt_1,English,USA,TV-PG,607,7.3
Kevin Donovan,98,Romany Malco,61966,http://www.imdb.com/title/tt0290095/?ref_=fn_tt_tt_1,English,USA,PG-13,680,5.3
Geoff Murphy,92,Peter Greene,35918,http://www.imdb.com/title/tt0114781/?ref_=fn_tt_tt_1,English,USA,R,520,5.4
Kenneth Branagh,105,Colm Feore,99035,http://www.imdb.com/title/tt1205537/?ref_=fn_tt_tt_1,English,USA,PG-13,394,6.2
David O. Russell,124,Jennifer Lawrence,75329,http://www.imdb.com/title/tt2446980/?ref_=fn_tt_tt_1,English,USA,PG-13,22000,6.6
Babak Najafi,99,Gerard Butler,69484,http://www.imdb.com/title/tt3300542/?ref_=fn_tt_tt_1,English,UK,R,992,5.9
Jean-Pierre Jeunet,116,Gary Dourdan,170179,http://www.imdb.com/title/tt0118583/?ref_=fn_tt_tt_1,English,USA,R,720,6.3
Antoine Fuqua,124,Tate Donovan,256213,http://www.imdb.com/title/tt0822854/?ref_=fn_tt_tt_1,English,USA,R,467,7.2
Graham Annable,96,Isaac Hempstead Wright,40883,http://www.imdb.com/title/tt0787474/?ref_=fn_tt_tt_1,English,USA,PG,668,6.8
Griffin Dunne,104,Goran Visnjic,55749,http://www.imdb.com/title/tt0120791/?ref_=fn_tt_tt_1,English,USA,PG-13,967,6.1
Phil Lord,100,Morgan Freeman,246698,http://www.imdb.com/title/tt1490017/?ref_=fn_tt_tt_1,English,Australia,PG,8000,7.8
John Pasquin,115,Eileen Brennan,51252,http://www.imdb.com/title/tt0385307/?ref_=fn_tt_tt_1,English,USA,PG-13,759,5.0
Rob Bowman,101,Christian Bale,107859,http://www.imdb.com/title/tt0253556/?ref_=fn_tt_tt_1,English,USA,PG-13,18000,6.2
Ruben Fleischer,113,Ryan Gosling,173530,http://www.imdb.com/title/tt1321870/?ref_=fn_tt_tt_1,English,USA,R,301,6.7
Harold Ramis,100,Olivia Wilde,76770,http://www.imdb.com/title/tt1045778/?ref_=fn_tt_tt_1,English,USA,PG-13,1000,4.9
Clint Eastwood,134,Matt Damon,124222,http://www.imdb.com/title/tt1057500/?ref_=fn_tt_tt_1,English,USA,PG-13,11000,7.4
Kevin Macdonald,127,Robin Wright,113295,http://www.imdb.com/title/tt0473705/?ref_=fn_tt_tt_1,English,USA,PG-13,748,7.1
Tony Gilroy,125,Julia Roberts,41727,http://www.imdb.com/title/tt1135487/?ref_=fn_tt_tt_1,English,USA,PG-13,1000,6.2
Donald Petrie,94,Steven Anthony Lawrence,10883,http://www.imdb.com/title/tt0120764/?ref_=fn_tt_tt_1,English,USA,PG,417,4.9
Clark Johnson,107,Blair Brown,42144,http://www.imdb.com/title/tt0443632/?ref_=fn_tt_tt_1,English,USA,PG-13,219,6.1
Jorge Blanco,91,Dwayne Johnson,41259,http://www.imdb.com/title/tt0762125/?ref_=fn_tt_tt_1,English,Spain,PG,10000,6.1
Stuart Baird,116,Tom Hardy,58450,http://www.imdb.com/title/tt0253754/?ref_=fn_tt_tt_1,English,USA,PG-13,1000,6.4
Joel Coen,100,Cedric the Entertainer,76560,http://www.imdb.com/title/tt0138524/?ref_=fn_tt_tt_1,English,USA,PG-13,399,6.3
Robert Lorenz,111,Clint Eastwood,47954,http://www.imdb.com/title/tt2083383/?ref_=fn_tt_tt_1,English,USA,PG-13,897,6.8
Martin Campbell,117,Bojana Novakovic,75201,http://www.imdb.com/title/tt1226273/?ref_=fn_tt_tt_1,English,UK,R,1000,6.6
Peter Hyams,110,John Kapelos,19176,http://www.imdb.com/title/tt0120004/?ref_=fn_tt_tt_1,English,UK,R,344,5.7
Harold Ramis,96,Robert De Niro,69319,http://www.imdb.com/title/tt0289848/?ref_=fn_tt_tt_1,English,USA,R,394,5.9
Jon Avnet,101,Robert De Niro,73368,http://www.imdb.com/title/tt1034331/?ref_=fn_tt_tt_1,English,USA,R,14000,6.0
Harold Becker,111,Bruce Willis,54314,http://www.imdb.com/title/tt0120749/?ref_=fn_tt_tt_1,English,USA,R,968,6.1
Joe Wright,117,Robert Downey Jr.,44099,http://www.imdb.com/title/tt0821642/?ref_=fn_tt_tt_1,English,UK,PG-13,939,6.7
Robert Redford,126,Matt Damon,45296,http://www.imdb.com/title/tt0146984/?ref_=fn_tt_tt_1,English,USA,PG-13,10000,6.7
Cameron Crowe,152,Philip Seymour Hoffman,207287,http://www.imdb.com/title/tt0181875/?ref_=fn_tt_tt_1,English,USA,R,11000,7.9
Tim Hill,86,Bill Murray,27517,http://www.imdb.com/title/tt0455499/?ref_=fn_tt_tt_1,English,UK,PG,1000,5.0
Lee Tamahori,101,Sunny Mabrey,51349,http://www.imdb.com/title/tt0329774/?ref_=fn_tt_tt_1,English,USA,PG-13,233,4.3
Scott Stewart,87,Josh Wingate,97089,http://www.imdb.com/title/tt0822847/?ref_=fn_tt_tt_1,English,USA,PG-13,441,5.7
Patrick Gilmore,85,Brad Pitt,36144,http://www.imdb.com/title/tt0165982/?ref_=fn_tt_tt_1,English,USA,PG,102,6.7
Paul W.S. Anderson,130,Sean Pertwee,120416,http://www.imdb.com/title/tt0119081/?ref_=fn_tt_tt_1,English,UK,R,585,6.7
Joss Whedon,173,Chris Hemsworth,995415,http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1,English,USA,PG-13,21000,8.1
Tom Shadyac,104,Joe Morton,31788,http://www.imdb.com/title/tt0259288/?ref_=fn_tt_tt_1,English,USA,PG-13,265,6.1
Brian De Palma,121,Scarlett Johansson,63363,http://www.imdb.com/title/tt0387877/?ref_=fn_tt_tt_1,English,Germany,R,972,5.6
Tony Bill,140,James Franco,35565,http://www.imdb.com/title/tt0454824/?ref_=fn_tt_tt_1,English,UK,PG-13,779,6.6
Rod Lurie,131,Clifton Collins Jr.,57100,http://www.imdb.com/title/tt0272020/?ref_=fn_tt_tt_1,English,USA,R,848,6.9
Walter Hill,91,Robert Forster,14596,http://www.imdb.com/title/tt0134983/?ref_=fn_tt_tt_1,English,USA,PG-13,290,4.8
Akiva Goldsman,118,Matt Bomer,41288,http://www.imdb.com/title/tt1837709/?ref_=fn_tt_tt_1,English,USA,PG-13,882,6.2
Harald Zwart,130,Aidan Turner,107028,http://www.imdb.com/title/tt1538403/?ref_=fn_tt_tt_1,English,USA,PG-13,2000,6.0
Brian Robbins,90,Marc Blucas,31640,http://www.imdb.com/title/tt0765476/?ref_=fn_tt_tt_1,English,USA,PG,400,4.9
Walter Salles,103,Dougray Scott,44966,http://www.imdb.com/title/tt0382628/?ref_=fn_tt_tt_1,English,USA,PG-13,329,5.6
Ron Howard,122,Matthew McConaughey,35599,http://www.imdb.com/title/tt0131369/?ref_=fn_tt_tt_1,English,USA,PG-13,1000,6.1
Iain Softley,106,Brendan Fraser,60232,http://www.imdb.com/title/tt0494238/?ref_=fn_tt_tt_1,English,Germany,PG,1000,6.1
Frank Miller,103,Scarlett Johansson,53864,http://www.imdb.com/title/tt0831887/?ref_=fn_tt_tt_1,English,USA,PG-13,961,4.8
David Koepp,107,Johnny Depp,47320,http://www.imdb.com/title/tt3045616/?ref_=fn_tt_tt_1,English,UK,R,2000,5.5
Uwe Boll,156,Jason Statham,38398,http://www.imdb.com/title/tt0460780/?ref_=fn_tt_tt_1,English,Germany,PG-13,368,3.8
Martin Campbell,127,Angelina Jolie Pitt,22570,http://www.imdb.com/title/tt0294357/?ref_=fn_tt_tt_1,English,USA,R,708,6.5
Pou-Soi Cheang,119,Li Gong,1212,http://www.imdb.com/title/tt4591310/?ref_=fn_tt_tt_1,English,China,,107,6.0
John Dahl,132,James Franco,18209,http://www.imdb.com/title/tt0326905/?ref_=fn_tt_tt_1,Filipino,USA,R,298,6.7
Tim Miller,108,Ryan Reynolds,479047,http://www.imdb.com/title/tt1431045/?ref_=fn_tt_tt_1,English,USA,R,805,8.1
Stephen Herek,114,Kelly Preston,16260,http://www.imdb.com/title/tt0120701/?ref_=fn_tt_tt_1,English,USA,PG,730,4.9
Clint Eastwood,133,Bradley Cooper,325264,http://www.imdb.com/title/tt2179136/?ref_=fn_tt_tt_1,English,USA,R,962,7.3
Rob Letterman,103,Odeya Rush,47968,http://www.imdb.com/title/tt1051904/?ref_=fn_tt_tt_1,English,USA,PG,1000,6.4
,22,Nate Richert,24420,http://www.imdb.com/title/tt0115341/?ref_=fn_tt_tt_1,English,USA,TV-G,558,6.6
Mark Waters,95,Jon Heder,82819,http://www.imdb.com/title/tt0425123/?ref_=fn_tt_tt_1,English,USA,PG-13,834,6.7
Brian Levant,90,Taylor Negron,15517,http://www.imdb.com/title/tt0158622/?ref_=fn_tt_tt_1,English,USA,PG,891,3.6
Peter MacDonald,87,Sylvester Stallone,92106,http://www.imdb.com/title/tt0095956/?ref_=fn_tt_tt_1,English,USA,R,1000,5.7
George Clooney,114,Robert Baker,27664,http://www.imdb.com/title/tt0379865/?ref_=fn_tt_tt_1,English,USA,PG-13,117,6.0
Frank Coraci,119,Taylor Lautner,27019,http://www.imdb.com/title/tt2479478/?ref_=fn_tt_tt_1,English,USA,TV-14,11000,4.9
Marc Lawrence,103,Michael Kelly,29523,http://www.imdb.com/title/tt1314228/?ref_=fn_tt_tt_1,English,USA,PG-13,935,4.7
Shawn Levy,125,Josh Gad,159931,http://www.imdb.com/title/tt2234155/?ref_=fn_tt_tt_1,English,USA,PG-13,847,6.3
Paul W.S. Anderson,97,Milla Jovovich,131447,http://www.imdb.com/title/tt1220634/?ref_=fn_tt_tt_1,English,Germany,R,1000,5.9
Anthony Hemingway,125,David Oyelowo,28807,http://www.imdb.com/title/tt0485985/?ref_=fn_tt_tt_1,English,USA,PG-13,664,5.9
,30,Chris Noth,80025,http://www.imdb.com/title/tt0159206/?ref_=fn_tt_tt_1,English,USA,TV-MA,722,7.0
Taylor Hackford,136,Keanu Reeves,259519,http://www.imdb.com/title/tt0118971/?ref_=fn_tt_tt_1,English,USA,R,14000,7.5
Sean Anders,116,Adam Sandler,70681,http://www.imdb.com/title/tt1232200/?ref_=fn_tt_tt_1,English,USA,R,3000,5.6
Rob Cohen,103,Dennis Quaid,78343,http://www.imdb.com/title/tt0116136/?ref_=fn_tt_tt_1,English,USA,PG-13,663,6.4
Brett Ratner,97,Salma Hayek,38298,http://www.imdb.com/title/tt0367479/?ref_=fn_tt_tt_1,English,USA,PG-13,3000,6.3
Mark Neveldine,96,Nicolas Cage,87745,http://www.imdb.com/title/tt1071875/?ref_=fn_tt_tt_1,English,USA,PG-13,1000,4.3
