director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_2_name,gross,genres,actor_1_name,movie_title,actor_3_name,movie_imdb_link,num_user_for_reviews,language,country,imdb_score,movie_facebook_likes
Errol Morris,121,118,239,Megan Ambuhl Graner,228830,Crime|Documentary|War,Jeffrey Frost,Standard Operating Procedure ,Ken Davis,http://www.imdb.com/title/tt0896866/?ref_=fn_tt_tt_1,22,English,USA,7.5,489
Dennis Hopper,24,94,0,Don Gordon,,Drama,Raymond Burr,Out of the Blue ,Jim Byrnes,http://www.imdb.com/title/tt0081291/?ref_=fn_tt_tt_1,27,English,Canada,7.2,274
Eli Craig,324,89,27,Tyler Labine,223615,Comedy|Horror,Katrina Bowden,Tucker and Dale vs Evil ,Chelan Simmons,http://www.imdb.com/title/tt1465522/?ref_=fn_tt_tt_1,200,English,Canada,7.6,49000
Nicholas Fackler,27,90,6,Ellen Burstyn,124720,Drama|Romance,Adam Scott,Lovely, Still ,Martin Landau,http://www.imdb.com/title/tt1150947/?ref_=fn_tt_tt_1,15,English,USA,7.3,777
Richard Wallace,9,95,5,Paul Fix,,Adventure|Drama|Romance,Judith Anderson,Tycoon ,Laraine Day,http://www.imdb.com/title/tt0039927/?ref_=fn_tt_tt_1,23,English,USA,6.2,44
Morgan J. Freeman,31,90,204,John Heard,99147,Drama,Ethan Suplee,Desert Blue ,Sara Gilbert,http://www.imdb.com/title/tt0126261/?ref_=fn_tt_tt_1,28,English,USA,6.2,69
Matthew Hastings,35,95,3,Marc Trottier,,Comedy|Horror|Sci-Fi,Meghan Ory,Decoys ,Corey Sevier,http://www.imdb.com/title/tt0357585/?ref_=fn_tt_tt_1,66,English,Canada,4.6,174
M. Night Shyamalan,371,94,0,Patch Darragh,65069140,Horror|Thriller,Ocean James,The Visit ,Olivia DeJonge,http://www.imdb.com/title/tt3567288/?ref_=fn_tt_tt_1,455,English,USA,6.2,27000
Brian De Palma,133,90,0,Daniel Stewart Sherman,65087,Crime|Thriller|War,Mike Figueroa,Redacted ,Kel O'Neill,http://www.imdb.com/title/tt0937237/?ref_=fn_tt_tt_1,108,English,USA,6.2,559
Klaus Menzel,13,103,34,Jacqueline Bisset,16066,Mystery|Romance|Thriller,Adam Garcia,Fascination ,Alice Evans,http://www.imdb.com/title/tt0305632/?ref_=fn_tt_tt_1,44,English,Germany,3.3,40
,9,60,,Dylan Minnette,,Drama|Fantasy,Holly Hunter,Saving Grace             ,Bokeem Woodbine,http://www.imdb.com/title/tt0830900/?ref_=fn_tt_tt_1,47,English,USA,7.5,634
Oren Peli,56,91,110,Sandra Staggs,,Horror|Sci-Fi|Thriller,Glenn Campbell,Area 51 ,Jelena Nik,http://www.imdb.com/title/tt1519461/?ref_=fn_tt_tt_1,55,English,USA,4.2,0
Jaume Balagueró,191,102,57,Tony Corvillo,,Drama|Horror|Thriller,Luis Tosar,Sleep Tight ,Marta Etura,http://www.imdb.com/title/tt1437358/?ref_=fn_tt_tt_1,48,Spanish,Spain,7.2,0
Paul Andrew Williams,80,92,46,Doug Bradley,,Comedy|Crime|Horror|Thriller,Dave Legeno,The Cottage ,Georgia Groome,http://www.imdb.com/title/tt0465430/?ref_=fn_tt_tt_1,82,English,UK,6.2,639
Stephen Herek,19,87,65,Callum Blue,,Comedy|Drama|Fantasy,Henry Ian Cusick,Dead Like Me: Life After Death ,Shenae Grimes-Beech,http://www.imdb.com/title/tt1079444/?ref_=fn_tt_tt_1,80,English,USA,6.1,887
Bob Saget,19,80,799,John Stamos,,Animation|Comedy,Alyson Hannigan,Farce of the Penguins ,Jim Belushi,http://www.imdb.com/title/tt0488539/?ref_=fn_tt_tt_1,47,English,USA,4.2,419
Jim Amatulli,,90,0,Patricia Neal,,Drama|Family|Music,Heather Locklear,Flying By ,Katie Leclerc,http://www.imdb.com/title/tt1131732/?ref_=fn_tt_tt_1,2,English,USA,4.5,38
,38,44,,Dulé Hill,,Comedy|Crime|Mystery,Corbin Bernsen,Psych             ,Timothy Omundson,http://www.imdb.com/title/tt0491738/?ref_=fn_tt_tt_1,127,English,USA,8.4,0
William H. Macy,44,105,0,Felicity Huffman,37440,Comedy|Drama|Music,Billy Crudup,Rudderless ,David Adam Flannery,http://www.imdb.com/title/tt1798243/?ref_=fn_tt_tt_1,60,English,USA,7.5,0
Barrett Esposito,3,67,0,Cyndi Lauper,,Animation|Family,Chazz Palminteri,Henry & Me ,Danny Aiello,http://www.imdb.com/title/tt1460798/?ref_=fn_tt_tt_1,1,English,USA,6.7,165
Mitch Davis,6,95,7,Jon Heder,,Comedy,Gary Cole,Christmas Eve ,Cheryl Hines,http://www.imdb.com/title/tt3703148/?ref_=fn_tt_tt_1,15,English,USA,5.1,0
Eric Bross,,87,49,Esai Morales,,Crime|Drama|Thriller,Teri Polo,We Have Your Husband ,Nicholas Gonzalez,http://www.imdb.com/title/tt2063015/?ref_=fn_tt_tt_1,3,English,USA,5.5,58
Paul Schrader,64,94,261,Irène Jacob,,Drama|Thriller,Nicolas Cage,Dying of the Light ,Tomiwa Edun,http://www.imdb.com/title/tt1274586/?ref_=fn_tt_tt_1,47,English,Bahamas,4.4,0
Vicky Jewson,8,109,3,Sofia Black-D'Elia,,Action|Drama|Thriller|War,James Frain,Born of War ,Lisa Kay,http://www.imdb.com/title/tt1554921/?ref_=fn_tt_tt_1,3,English,UK,4.4,190
Peter Hyams,64,130,0,Sam Waterston,,Action|Sci-Fi|Thriller,David Huddleston,Capricorn One ,Hal Holbrook,http://www.imdb.com/title/tt0077294/?ref_=fn_tt_tt_1,153,English,USA,6.8,2000
Marc Bennett,2,,3,Natasha Henstridge,,Comedy|Drama,Michael Rapaport,Should've Been Romeo ,Costas Mandylor,http://www.imdb.com/title/tt1717210/?ref_=fn_tt_tt_1,2,English,USA,6.7,35
Mike Mayhall,,88,14,Cody Howard,,Family,David Raizor,Running Forever ,Martin Kove,http://www.imdb.com/title/tt4453560/?ref_=fn_tt_tt_1,,English,USA,8.6,49
Kevin Smith,35,88,0,Haley Joel Osment,,Comedy|Fantasy|Horror|Thriller,Johnny Depp,Yoga Hosers ,Natasha Lyonne,http://www.imdb.com/title/tt3838992/?ref_=fn_tt_tt_1,4,English,USA,4.8,0
Stanton Barrett,21,97,20,Michael Dudikoff,,Action|Horror,Mikal Vega,Navy Seals vs. Zombies ,Ed Quinn,http://www.imdb.com/title/tt4511566/?ref_=fn_tt_tt_1,14,English,USA,3.4,0
Jirí Menzel,99,113,44,Ivan Barnev,617228,Comedy|Drama|Romance|War,Julia Jentsch,I Served the King of England ,Milan Lasica,http://www.imdb.com/title/tt0284363/?ref_=fn_tt_tt_1,27,Czech,Czech Republic,7.4,1000
Fatih Akin,115,99,766,Moritz Bleibtreu,274385,Comedy|Drama,Udo Kier,Soul Kitchen ,Birol Ünel,http://www.imdb.com/title/tt1244668/?ref_=fn_tt_tt_1,26,German,Germany,7.3,0
Billy Bob Thornton,104,148,0,Dwight Yoakam,24475416,Drama,Robert Duvall,Sling Blade ,J.T. Walsh,http://www.imdb.com/title/tt0117666/?ref_=fn_tt_tt_1,309,English,USA,8.0,0
Nick Murphy,195,107,58,Imelda Staunton,,Horror|Thriller,Isaac Hempstead Wright,The Awakening ,Joseph Mawle,http://www.imdb.com/title/tt1687901/?ref_=fn_tt_tt_1,112,English,UK,6.5,10000
Eli Roth,303,93,0,Takashi Miike,47277326,Horror,Jay Hernandez,Hostel ,Rick Hoffman,http://www.imdb.com/title/tt0450278/?ref_=fn_tt_tt_1,1516,English,USA,5.9,0
Michael Winterbottom,122,94,187,Shirley Henderson,1247453,Comedy|Drama,Steve Coogan,Tristram Shandy: A Cock and Bull Story ,Dylan Moran,http://www.imdb.com/title/tt0423409/?ref_=fn_tt_tt_1,123,English,UK,6.8,750
Jeff Nichols,359,121,337,Shea Whigham,1729969,Drama|Thriller,Katy Mixon,Take Shelter ,Robert Longstreet,http://www.imdb.com/title/tt1675192/?ref_=fn_tt_tt_1,219,English,USA,7.4,14000
Frank LaLoggia,130,118,7,Lukas Haas,1705139,Fantasy|Horror|Mystery|Thriller,Alex Rocco,Lady in White ,Katherine Helmond,http://www.imdb.com/title/tt0095484/?ref_=fn_tt_tt_1,69,English,USA,6.7,0
Jeremy Brock,64,98,16,Julie Walters,238774,Comedy|Drama,Rupert Grint,Driving Lessons ,Tamsin Egerton,http://www.imdb.com/title/tt0446687/?ref_=fn_tt_tt_1,70,English,UK,6.8,864
Scott Foley,13,82,0,Greg Grunberg,,Comedy|Crime,Donald Faison,Let's Kill Ward's Wife ,Dagmara Dominczyk,http://www.imdb.com/title/tt2980708/?ref_=fn_tt_tt_1,11,English,USA,5.4,0
Tobe Hooper,159,101,365,Lou Perryman,8025872,Comedy|Horror,Bill Johnson,The Texas Chainsaw Massacre 2 ,Jim Siedow,http://www.imdb.com/title/tt0092076/?ref_=fn_tt_tt_1,258,English,USA,5.5,0
Sam Peckinpah,54,106,541,Bob Dylan,,Biography|Drama|Romance|Western,James Coburn,Pat Garrett & Billy the Kid ,Jason Robards,http://www.imdb.com/title/tt0070518/?ref_=fn_tt_tt_1,106,English,USA,7.4,0
Nicolas Winding Refn,440,90,0,Kristin Scott Thomas,778565,Crime|Drama,Ryan Gosling,Only God Forgives ,Yayaying Rhatha Phongam,http://www.imdb.com/title/tt1602613/?ref_=fn_tt_tt_1,475,English,Denmark,5.7,30000
Christophe Ali,7,79,0,Isild Le Besco,,Drama,Denis Lavant,Camping sauvage ,Emmanuelle Bercot,http://www.imdb.com/title/tt0451673/?ref_=fn_tt_tt_1,6,French,France,5.4,11
Gabriela Tagliavini,4,87,20,Kate del Castillo,,Comedy,Maria Conchita Alonso,Without Men ,Camryn Manheim,http://www.imdb.com/title/tt1547090/?ref_=fn_tt_tt_1,12,English,USA,3.2,491
Shekar,1,,0,Diganth,,Comedy|Romance,Bhama,Barfi ,Dileep Raj,http://www.imdb.com/title/tt3099638/?ref_=fn_tt_tt_1,1,Kannada,India,7.1,2
Shona Auerbach,96,105,11,Sharon Small,1340891,Drama|Romance,Gerard Butler,Dear Frankie ,Jack McElhone,http://www.imdb.com/title/tt0377752/?ref_=fn_tt_tt_1,182,English,UK,7.8,2000
Leonard Farlinger,8,89,0,Gary Farmer,,Western,Keith Carradine,All Hat ,Stephen McHattie,http://www.imdb.com/title/tt0903131/?ref_=fn_tt_tt_1,8,English,Canada,5.3,31
Michel Leclerc,87,100,3,Jacques Gamblin,513836,Comedy|Drama|Romance,Sara Forestier,The Names of Love ,Zinedine Soualem,http://www.imdb.com/title/tt1646974/?ref_=fn_tt_tt_1,21,French,France,7.2,0
Analeine Cal y Mayor,10,92,4,Douglas Smith,,Comedy|Drama,Zoë Kravitz,Treading Water ,Kim Ly,http://www.imdb.com/title/tt2091427/?ref_=fn_tt_tt_1,3,English,Mexico,6.2,199
Tom Kalin,121,97,4,Elena Anaya,434417,Drama,Eddie Redmayne,Savage Grace ,Stephen Dillane,http://www.imdb.com/title/tt0379976/?ref_=fn_tt_tt_1,65,English,Spain,5.9,0
Robert Sarkies,43,100,0,Matthew Sunderland,728,Crime|Drama,William Kircher,Out of the Blue ,Paul Glover,http://www.imdb.com/title/tt0839938/?ref_=fn_tt_tt_1,22,English,New Zealand,7.3,285
Hugh Wilson,45,96,37,Bubba Smith,81200000,Comedy,Steve Guttenberg,Police Academy ,Michael Winslow,http://www.imdb.com/title/tt0087928/?ref_=fn_tt_tt_1,133,English,USA,6.7,0
Randal Kleiser,36,104,116,Christopher Atkins,,Adventure|Drama|Romance,Brooke Shields,The Blue Lagoon ,Leo McKern,http://www.imdb.com/title/tt0080453/?ref_=fn_tt_tt_1,140,English,USA,5.7,0
Mike Newell,84,117,179,James Fleet,52700832,Comedy|Drama|Romance,Kristin Scott Thomas,Four Weddings and a Funeral ,Simon Callow,http://www.imdb.com/title/tt0109831/?ref_=fn_tt_tt_1,197,English,UK,7.1,0
Amy Heckerling,118,90,143,Judge Reinhold,,Comedy|Drama,Jennifer Jason Leigh,Fast Times at Ridgemont High ,Vincent Schiavelli,http://www.imdb.com/title/tt0083929/?ref_=fn_tt_tt_1,228,English,USA,7.2,0
John Huston,42,115,1000,Richard Basehart,,Adventure|Drama,Royal Dano,Moby Dick ,James Robertson Justice,http://www.imdb.com/title/tt0049513/?ref_=fn_tt_tt_1,115,English,USA,7.4,0
Spike Lee,202,108,0,Rosario Dawson,13060843,Drama,Philip Seymour Hoffman,25th Hour ,Aaron Stanford,http://www.imdb.com/title/tt0307901/?ref_=fn_tt_tt_1,454,English,USA,7.7,0
,5,43,,Indiana Evans,,Crime|Drama,Dan Fogler,Secrets and Lies             ,KaDee Strickland,http://www.imdb.com/title/tt3516878/?ref_=fn_tt_tt_1,27,English,USA,7.7,2000
Lana Wachowski,120,109,0,Kevin Michael Richardson,3798532,Crime|Drama|Romance|Thriller,Christopher Meloni,Bound ,Peter Spellos,http://www.imdb.com/title/tt0115736/?ref_=fn_tt_tt_1,208,English,USA,7.4,2000
Darren Aronofsky,234,102,0,Mark Margolis,3609278,Drama,Ellen Burstyn,Requiem for a Dream ,Louise Lasser,http://www.imdb.com/title/tt0180093/?ref_=fn_tt_tt_1,1916,English,USA,8.4,38000
Walter Lang,17,100,9,Jeanne Crain,,Musical|Romance,Dana Andrews,State Fair ,Frank McHugh,http://www.imdb.com/title/tt0038116/?ref_=fn_tt_tt_1,55,English,USA,7.1,501
Carlos Saura,35,115,98,Juan Luis Galiardo,1687311,Drama|Musical,Mía Maestro,Tango ,Miguel Ángel Solá,http://www.imdb.com/title/tt0120274/?ref_=fn_tt_tt_1,40,Spanish,Spain,7.2,539
Oliver Stone,48,122,0,John Savage,,Drama|History|Thriller|War,Jim Belushi,Salvador ,Juan Fernández,http://www.imdb.com/title/tt0091886/?ref_=fn_tt_tt_1,89,English,UK,7.5,1000
Andrew Erwin,49,98,10,Sarah Drew,10429707,Comedy,Alex Kendrick,Moms' Night Out ,Patricia Heaton,http://www.imdb.com/title/tt3014666/?ref_=fn_tt_tt_1,125,English,USA,5.4,0
Richard Kelly,283,133,219,Mary McDonnell,727883,Drama|Sci-Fi|Thriller,Jake Gyllenhaal,Donnie Darko ,James Duval,http://www.imdb.com/title/tt0246578/?ref_=fn_tt_tt_1,2110,English,USA,8.1,33000
Beto Gómez,16,105,5,Gerardo Taracena,1391770,Adventure|Comedy|Western,Jaime Camil,Saving Private Perez ,Joaquín Cosio,http://www.imdb.com/title/tt0461336/?ref_=fn_tt_tt_1,14,Spanish,Mexico,6.0,0
Mike van Diem,54,122,4,Fedja van Huêt,713413,Crime|Drama|Mystery,Jan Decleir,Character ,Hans Kesting,http://www.imdb.com/title/tt0119448/?ref_=fn_tt_tt_1,68,Dutch,Netherlands,7.8,689
Jonas Åkerlund,92,106,68,Nicholas Gonzalez,410241,Comedy|Crime|Drama,Patrick Fugit,Spun ,Debbie Harry,http://www.imdb.com/title/tt0283003/?ref_=fn_tt_tt_1,199,English,USA,6.8,3000
Todd Solondz,159,98,377,Shirley Henderson,278821,Comedy|Drama,Rich Pecci,Life During Wartime ,Charlotte Rampling,http://www.imdb.com/title/tt0808526/?ref_=fn_tt_tt_1,37,English,USA,6.5,0
Chan-wook Park,202,112,0,Yeong-ae Lee,211667,Crime|Drama,Min-sik Choi,Lady Vengeance ,Hye-jeong Kang,http://www.imdb.com/title/tt0451094/?ref_=fn_tt_tt_1,131,Korean,South Korea,7.7,4000
René Féret,50,120,0,Clovis Fouin,706622,Biography|Drama|Music|Romance,Nicolas Giraud,Mozart's Sister ,Marie Féret,http://www.imdb.com/title/tt1653911/?ref_=fn_tt_tt_1,17,French,France,6.4,0
Barry Skolnick,54,99,0,Jason Flemyng,92191,Comedy|Drama|Sport,Jason Statham,Mean Machine ,Danny Dyer,http://www.imdb.com/title/tt0291341/?ref_=fn_tt_tt_1,84,English,UK,6.5,0
Johnnie To,98,110,143,Anthony Chau-Sang Wong,49413,Action|Crime|Thriller,Simon Yam,Exiled ,Josie Ho,http://www.imdb.com/title/tt0796212/?ref_=fn_tt_tt_1,26,Cantonese,Hong Kong,7.3,528
Mateo Gil,92,102,3,Dominique McElligott,199652,Action|Adventure|Western,Sam Shepard,Blackthorn ,Stephen Rea,http://www.imdb.com/title/tt1629705/?ref_=fn_tt_tt_1,40,English,Spain,6.6,0
Lukas Moodysson,112,109,187,Artyom Bogucharskiy,181655,Crime|Drama,Oksana Akinshina,Lilya 4-Ever ,Lyubov Agapova,http://www.imdb.com/title/tt0300140/?ref_=fn_tt_tt_1,206,Russian,Sweden,7.9,0
Agnieszka Wojtowicz-Vosloo,138,104,0,Josh Charles,108229,Drama|Horror|Mystery|Thriller,Liam Neeson,After.Life ,Chandler Canterbury,http://www.imdb.com/title/tt0838247/?ref_=fn_tt_tt_1,137,English,USA,5.9,7000
Kabir Sadanand,9,134,0,Sana Saeed,,Drama|Thriller,Jimmy Shergill,Fugly ,Dimple Kapadia,http://www.imdb.com/title/tt3683702/?ref_=fn_tt_tt_1,7,Hindi,India,4.7,62
Milos Forman,149,133,869,Michael Berryman,112000000,Drama,Scatman Crothers,One Flew Over the Cuckoo's Nest ,Louise Fletcher,http://www.imdb.com/title/tt0073486/?ref_=fn_tt_tt_1,760,English,USA,8.7,32000
Peter DeLuise,5,85,358,Dove Cameron,,Comedy,Katherine McNamara,R.L. Stine's Monsterville: The Cabinet of Souls ,Braeden Lemasters,http://www.imdb.com/title/tt4386242/?ref_=fn_tt_tt_1,4,English,USA,5.9,224
Mel Brooks,39,87,0,Dom DeLuise,,Comedy|Romance,Sid Caesar,Silent Movie ,Bernadette Peters,http://www.imdb.com/title/tt0075222/?ref_=fn_tt_tt_1,61,,USA,6.7,629
Raja Menon,39,130,6,Sameer Ali Khan,,Action|Drama|History|Thriller|War,Nimrat Kaur,Airlift ,Purab Kohli,http://www.imdb.com/title/tt4387040/?ref_=fn_tt_tt_1,178,Hindi,India,8.5,10000
,2,199,,Jonathan Crombie,,Drama|Family,Zack Ward,Anne of Green Gables             ,Megan Follows,http://www.imdb.com/title/tt0088727/?ref_=fn_tt_tt_1,74,English,Canada,8.4,0
Ernie Barbarash,29,103,249,Michael J. Morris,8691,Action|Adventure,Michael Jai White,Falcon Rising ,Lateef Crowder,http://www.imdb.com/title/tt2295722/?ref_=fn_tt_tt_1,32,English,USA,5.8,0
Nick Love,111,112,63,Ray Winstone,26345,Action|Crime|Drama,Hayley Atwell,The Sweeney ,Alan Ford,http://www.imdb.com/title/tt0857190/?ref_=fn_tt_tt_1,99,English,UK,6.1,0
Jonathan Glazer,149,89,143,James Fox,6940281,Crime|Thriller,Ray Winstone,Sexy Beast ,Amanda Redman,http://www.imdb.com/title/tt0203119/?ref_=fn_tt_tt_1,346,English,UK,7.3,0
Daniel Espinosa,90,124,79,Fares Fares,188870,Action|Crime|Drama|Thriller,Fabian Bolin,Easy Money ,Matias Varela,http://www.imdb.com/title/tt1291652/?ref_=fn_tt_tt_1,25,Swedish,Sweden,6.7,0
Niki Caro,149,101,51,Rawiri Paratene,20772796,Drama|Family,Keisha Castle-Hughes,Whale Rider ,Tammy Davis,http://www.imdb.com/title/tt0298228/?ref_=fn_tt_tt_1,346,English,New Zealand,7.6,0
R. Balki,12,133,12,Abhishek Bachchan,199228,Comedy|Drama,Vidya Balan,Paa ,Paresh Rawal,http://www.imdb.com/title/tt1532957/?ref_=fn_tt_tt_1,49,Hindi,India,7.2,504
Ivan Engler,64,112,0,Claude-Oliver Rudolph,,Mystery|Sci-Fi|Thriller,Yangzom Brauen,Cargo ,Anna Katharina Schwabroh,http://www.imdb.com/title/tt0381940/?ref_=fn_tt_tt_1,62,German,Switzerland,6.2,2000
Joe Wright,256,111,456,Cara Delevingne,34964818,Adventure|Family|Fantasy,Hugh Jackman,Pan ,Nonso Anozie,http://www.imdb.com/title/tt3332064/?ref_=fn_tt_tt_1,186,English,USA,5.8,24000
Kenny Ortega,57,98,197,Corbin Bleu,,Comedy|Drama|Family|Music|Musical|Romance,Lucas Grabeel,High School Musical ,Olesya Rulin,http://www.imdb.com/title/tt0475293/?ref_=fn_tt_tt_1,726,English,USA,5.2,0
,8,60,,Daniella Alonso,,Crime|Drama,Dorian Missick,Animal Kingdom             ,Ellen Barkin,http://www.imdb.com/title/tt5574490/?ref_=fn_tt_tt_1,23,English,USA,8.1,0
Richard Kwietniowski,50,93,23,Maury Chaykin,2542264,Comedy|Drama,Jason Priestley,Love and Death on Long Island ,Danny Webb,http://www.imdb.com/title/tt0119574/?ref_=fn_tt_tt_1,48,English,UK,7.1,61
Timur Bekmambetov,232,104,335,Aleksey Chadov,1487477,Fantasy|Thriller,Konstantin Khabenskiy,Night Watch ,Zhanna Friske,http://www.imdb.com/title/tt0403358/?ref_=fn_tt_tt_1,310,Russian,Russia,6.5,0
Neil Jordan,63,112,277,Miranda Richardson,62549000,Crime|Drama|Romance|Thriller,Jim Broadbent,The Crying Game ,Stephen Rea,http://www.imdb.com/title/tt0104036/?ref_=fn_tt_tt_1,148,English,UK,7.3,0
Bob Clark,75,94,84,Susan Clark,105500000,Comedy,Art Hindle,Porky's ,Tony Ganios,http://www.imdb.com/title/tt0084522/?ref_=fn_tt_tt_1,152,English,Canada,6.2,0
George A. Romero,274,90,0,Shawn Roberts,101055,Horror,Julian Richings,Survival of the Dead ,Kathleen Munroe,http://www.imdb.com/title/tt1134854/?ref_=fn_tt_tt_1,159,English,USA,5.0,0
George A. Romero,284,96,0,Duane Jones,,Drama|Horror|Mystery,Judith O'Dea,Night of the Living Dead ,S. William Hinzman,http://www.imdb.com/title/tt0063350/?ref_=fn_tt_tt_1,580,English,USA,8.0,0
Sofia Coppola,265,101,0,Bill Murray,44566004,Drama,Scarlett Johansson,Lost in Translation ,Catherine Lambert,http://www.imdb.com/title/tt0335266/?ref_=fn_tt_tt_1,1848,English,USA,7.8,17000
Woody Allen,154,93,11000,Carol Kane,39200000,Comedy|Romance,Woody Allen,Annie Hall ,Shelley Duvall,http://www.imdb.com/title/tt0075686/?ref_=fn_tt_tt_1,491,English,USA,8.1,0
Cecil B. DeMille,44,152,309,Dorothy Lamour,36000000,Drama|Family|Romance,Gloria Grahame,The Greatest Show on Earth ,Cornel Wilde,http://www.imdb.com/title/tt0044672/?ref_=fn_tt_tt_1,107,English,USA,6.7,625
Ridley Scott,314,150,0,María Valverde,65007045,Action|Adventure|Drama,Christian Bale,Exodus: Gods and Kings ,Ben Mendelsohn,http://www.imdb.com/title/tt1528100/?ref_=fn_tt_tt_1,657,English,UK,6.1,51000
Marc Forster,153,112,395,Peter Boyle,31252964,Drama|Romance,Heath Ledger,Monster's Ball ,Marcus Lyle Brown,http://www.imdb.com/title/tt0285742/?ref_=fn_tt_tt_1,522,English,USA,7.1,0
Henry Hobson,256,95,9,J.D. Evermore,131175,Drama|Horror,Joely Richardson,Maggie ,David A Cole,http://www.imdb.com/title/tt1881002/?ref_=fn_tt_tt_1,200,English,USA,5.6,22000
Mike Figgis,123,111,81,Valeria Golino,31968347,Drama|Romance,Nicolas Cage,Leaving Las Vegas ,Julian Sands,http://www.imdb.com/title/tt0113627/?ref_=fn_tt_tt_1,286,English,USA,7.6,0
Duane Journey,46,86,2,Lara Flynn Boyle,,Comedy|Horror,Molly C. Quinn,Hansel & Gretel Get Baked ,Lochlyn Munro,http://www.imdb.com/title/tt2081194/?ref_=fn_tt_tt_1,11,English,USA,4.3,0
Dan O'Bannon,203,108,228,Clu Gulager,,Comedy|Horror|Sci-Fi,Linnea Quigley,The Return of the Living Dead ,Beverly Randolph,http://www.imdb.com/title/tt0089907/?ref_=fn_tt_tt_1,300,English,USA,7.3,0
Billy Wilder,34,105,0,Harold Gould,,Comedy|Drama|Romance,Austin Pendleton,The Front Page ,David Wayne,http://www.imdb.com/title/tt0071524/?ref_=fn_tt_tt_1,50,English,USA,7.3,661
Rob Cohen,149,91,357,Hill Harper,35385560,Mystery|Thriller,Ryan Guzman,The Boy Next Door ,Adam Hicks,http://www.imdb.com/title/tt3181822/?ref_=fn_tt_tt_1,131,English,USA,4.6,8000
Carol Reed,20,105,82,Katy Jurado,,Drama|Romance,Gina Lollobrigida,Trapeze ,Sidney James,http://www.imdb.com/title/tt0049875/?ref_=fn_tt_tt_1,35,English,USA,6.8,283
,9,60,,Dylan Minnette,,Drama|Fantasy,Holly Hunter,Saving Grace             ,Bokeem Woodbine,http://www.imdb.com/title/tt0830900/?ref_=fn_tt_tt_1,47,English,USA,7.5,634
Lisa Cholodenko,323,106,450,Mia Wasikowska,20803237,Comedy|Drama,Josh Hutcherson,The Kids Are All Right ,Yaya DaCosta,http://www.imdb.com/title/tt0842926/?ref_=fn_tt_tt_1,291,English,USA,7.1,16000
John Carpenter,172,93,0,Peter Jason,13008928,Horror|Sci-Fi|Thriller,Meg Foster,They Live ,George 'Buck' Flower,http://www.imdb.com/title/tt0096256/?ref_=fn_tt_tt_1,333,English,USA,7.3,27000
John Sturges,111,172,120,Donald Pleasence,,Adventure|Drama|History|Thriller|War,James Coburn,The Great Escape ,Gordon Jackson,http://www.imdb.com/title/tt0057115/?ref_=fn_tt_tt_1,301,English,USA,8.3,8000
William Arntz,74,109,0,Elaine Hendrix,10941801,Comedy|Documentary|Drama|Fantasy|Mystery|Sci-Fi,Marlee Matlin,What the #$*! Do We (K)now!? ,Armin Shimerman,http://www.imdb.com/title/tt0399877/?ref_=fn_tt_tt_1,486,English,USA,5.4,2000
Ed Gass-Donnelly,161,93,8,Spencer Treat Clark,15152879,Drama|Horror|Thriller,Muse Watson,The Last Exorcism Part II ,Ashley Bell,http://www.imdb.com/title/tt2034139/?ref_=fn_tt_tt_1,68,English,France,4.0,0
Richard Linklater,548,165,0,Lorelei Linklater,25359200,Drama,Ellar Coltrane,Boyhood ,Libby Villari,http://www.imdb.com/title/tt1065073/?ref_=fn_tt_tt_1,836,English,USA,8.0,92000
Woody Allen,177,96,11000,Kevin McNally,10515579,Comedy|Crime|Mystery,Scarlett Johansson,Scoop ,Geoff Bell,http://www.imdb.com/title/tt0457513/?ref_=fn_tt_tt_1,248,English,UK,6.7,0
Tim Burton,230,119,13000,Estella Warren,180011740,Action|Adventure|Sci-Fi|Thriller,Cary-Hiroyuki Tagawa,Planet of the Apes ,Erick Avari,http://www.imdb.com/title/tt0133152/?ref_=fn_tt_tt_1,1368,English,USA,5.7,0
DJ Pooh,27,93,69,Dr. Dre,10097096,Comedy,Angell Conwell,The Wash ,DJ Pooh,http://www.imdb.com/title/tt0290332/?ref_=fn_tt_tt_1,38,English,USA,4.6,842
DJ Pooh,22,82,69,Mike Epps,9821335,Comedy,Mo'Nique,3 Strikes ,Faizon Love,http://www.imdb.com/title/tt0199290/?ref_=fn_tt_tt_1,10,English,USA,4.0,118
Wayne Kramer,157,101,47,Paul Sorvino,8243880,Crime|Drama|Fantasy|Romance,Estella Warren,The Cooler ,Shawn Hatosy,http://www.imdb.com/title/tt0318374/?ref_=fn_tt_tt_1,215,English,USA,7.0,762
John Huston,70,120,1000,Kevin McCarthy,,Drama|Romance|Western,Montgomery Clift,The Misfits ,Thelma Ritter,http://www.imdb.com/title/tt0055184/?ref_=fn_tt_tt_1,121,English,USA,7.4,0
Patrick Stettner,125,81,5,Joe Morton,7825820,Crime|Mystery|Thriller,Robin Williams,The Night Listener ,Rory Culkin,http://www.imdb.com/title/tt0448075/?ref_=fn_tt_tt_1,156,English,USA,5.9,576
James Melkonian,10,82,7,William Hickey,7557877,Comedy|Crime,Vincent Pastore,The Jerky Boys ,Peter Appel,http://www.imdb.com/title/tt0110189/?ref_=fn_tt_tt_1,37,English,USA,4.6,138
