director_name,num_critic_for_reviews,actor_1_facebook_likes,actor_1_name,cast_total_facebook_likes,actor_3_name,plot_keywords,num_user_for_reviews,country,budget,imdb_score,movie_facebook_likes
Eric Blakeney,49,14000,Liam Neeson,17665,Mitch Pileggi,colombian|enema|group therapy|murder|nurse,91,USA,10000000,5.7,242
Douglas McGrath,80,16000,Charlie Hunnam,29177,Jim Broadbent,boy|boys' school|death|friend|orphan,103,UK,10000000,7.2,0
Ariel Vromen,221,11000,Chris Evans,23187,Robert Davi,based on true story|contract killer|crime family|murder of a girl|serial murderer,144,USA,10000000,6.9,20000
,53,20,Krystyna Janda,25,Olgierd Lukaszewicz,meaning of life|moral challenge|morality|search for meaning|ten commandments,37,Poland,,9.1,0
Rakesh Roshan,20,307,Naseeruddin Shah,616,Sharat Saxena,breaking the fourth wall|breaking the fourth wall by talking to the audience|computer|mask|singapore,110,India,10000000,6.3,533
John Waters,90,975,Alicia Witt,3059,Kevin Nealon,actress|drive in|female protagonist|movie star|woman shot in the forehead,150,France,10000000,6.2,795
William Friedkin,376,11000,Matthew McConaughey,11853,Carol Sutton,female nudity|female pubic hair|lingerie|neo noir|pubic hair,216,USA,11000000,6.7,12000
Derrick Borte,144,2000,Demi Moore,4607,Robert Pralgo,envy|fake family|gadget|materialism|unhappy marriage,88,USA,5000000,6.5,0
Richard Kwietniowski,82,22000,Philip Seymour Hoffman,23513,Maury Chaykin,bank|bank fraud|bank manager|gambling|toronto,83,Canada,10000000,7.2,0
Bob Odenkirk,51,966,Jenna Fischer,3307,Will Forte,antarctica|coma|neighbor|phd|pregnancy,46,USA,10000000,5.3,319
Kar-Wai Wong,192,20000,Natalie Portman,20364,Adriane Lenox,blueberry pie|diner|nevada|new york city|pie,117,Hong Kong,10000000,6.7,0
John Turturro,36,816,Beverly D'Angelo,1585,George DiCenzo,critic|new york|new york city|playwright|theater critic,40,Spain,,6.2,74
Guy Ritchie,71,990,Bruce Greenwood,2006,David Thornton,island|sailor|storm|stranded|vacation,215,UK,10000000,3.6,725
Joshua Seftel,79,603,Bashar Rahal,988,Ned Bellamy,assassin|corporation|pop star|reporter|satire,112,USA,10000000,5.7,883
Stephen Chow,246,478,Wei Zhao,700,Kwok-Kwan Chan,cult film|kung fu|martial arts|shaolin|soccer,243,Hong Kong,10000000,7.3,0
Vincent Gallo,115,787,Vincent Gallo,883,Anna Vareschi,boyfriend girlfriend relationship|erection|female frontal nudity|gang rape|prostitute,226,USA,10000000,5.0,952
Claude Chabrol,34,678,Isabelle Huppert,1256,Michel Serrault,con|con artist|money|scam|sils maria,21,France,60000000,6.6,33
Jon Stewart,129,374,Numan Acar,1283,Haluk Bilginer,based on true story|hijab|journalism|prison|reference to mahmoud ahmedinejad,37,USA,5000000,6.6,5000
Bigas Luna,22,837,Olivier Martinez,1019,Romane Bohringer,foundry|foundry worker|french|friend|titanic,14,France,,6.8,85
Ralph Fiennes,196,18000,Gerard Butler,18652,Lubna Azabal,modern day adaptation|reference to william shakespeare|shakespeare in modern dress|shakespeare play|shakespeare's coriolanus,118,UK,,6.2,12000
Dan Harris,73,374,Kip Pardue,768,Larry Fessenden,cat|christmas song|lawn mowing|leave of absence|medication,56,USA,4000000,7.3,345
Mel Smith,43,893,Minnie Driver,3049,Mary McCormack,attempted murder|blackmail|diver's watch|nurse|satire,44,UK,10000000,6.2,117
Bobcat Goldthwait,129,49000,Robin Williams,50542,Henry Simmons,black comedy|fictional talk show|high school teacher|phony suicide note|teacher,129,USA,,6.9,0
Christopher Smith,200,798,Danny Dyer,2217,Laura Harris,blood splatter|eastern europe|female nudity|pine forest|team building,194,UK,5000000,6.6,0
Stuart Gordon,79,1000,Joe Mantegna,5761,Jeffrey Combs,bipolar disorder|sodomy|stabbing|street life|violence,119,USA,10000000,6.3,661
Jake Scott,112,17000,Kristen Stewart,18236,Kerry Cahill,businessman|prostitute|street|stripper|travel,56,UK,,7.0,0
Alan Metter,17,16000,Christopher Lee,17469,G.W. Bailey,captain|commandant|mafia|russian mafia|security system,103,USA,6200000,3.3,321
Jeb Stuart,20,665,Ricky Schroder,4579,Lee Norris,based on autobiography|based on novel|based on true story|murder|racism,3,USA,,6.7,503
Rafa Lara,12,78,Jorge Luis Moreno,221,William Miller,,3,Mexico,10000000,6.2,874
Michael Radford,59,962,Chris Noth,3465,James Brolin,apartment|death of protagonist|follow that car|la dolce vita|love,18,USA,10000000,6.5,0
Arthur Hiller,29,795,Eric Idle,2655,Ryan O'Neal,box office flop|critically bashed|director|hollywood|mockumentary,85,USA,10000000,3.5,89
Michael Meredith,23,12000,Jeff Bridges,16118,Ted Danson,american south|baseball|farmland|motel|road trip,11,USA,10000000,5.5,370
Julio DePietro,22,806,Adrian Martinez,3124,Aaron Yoo,book club|cheating boyfriend|job promotion|manhattan new york city|new york city,20,USA,8000000,5.9,1000
Katherine Dieckmann,43,1000,Stephanie Szostak,3146,Anthony Edwards,birthday|birthday party|delivery man|mother|neighbor,23,USA,5000000,4.7,546
William Dear,16,835,Madison Pettis,2519,Sandra Echeverría,,4,Canada,,4.2,58
Kim Farrant,84,147,Nicholas Hamilton,285,Sean Keenan,australian|desert|mother daughter relationship|mother son relationship|promiscuity,57,Australia,10000000,5.2,0
Marcus Raboy,4,706,Mike Epps,1936,Glenn Plummer,bigger dreams|concert promoter|hotel maid|pep talk|rap concert,10,USA,,5.2,402
Scott Marshall,20,906,Drew Fuller,4725,Larry Miller,boss|business|career|confidence|female protagonist,34,USA,10000000,3.9,160
Álex de la Iglesia,71,439,Jim Carter,940,Danny Sapani,landlady|lecture|murder|oxford university|symbol,94,Spain,10000000,6.1,0
Andrew Traucki,102,122,Damian Walshe-Howling,375,Adrienne Pickering,boat|great white shark|killing an animal|shark|underwater,89,Australia,,5.8,0
Michael Clancy,27,11000,Zooey Deschanel,14656,Kelly Preston,dysfunctional family|family relationships|family reunion|funeral|twin,68,USA,6500000,6.7,376
Patrick Lussier,62,298,Teryl Rothery,934,Adrian Holmes,angry spirit|aura|electronic voice phenomena|electronics|near death experience,82,USA,10000000,5.7,509
Robert Adetuyi,5,485,Shane Pollard,964,Chase Armitage,,11,Canada,10000000,4.5,0
Kari Skogland,76,5000,Jim Sturgess,7637,Michael McElhatton,1980s|ira|near death experience|title directed by female|what happened to epilogue,38,UK,6000000,6.9,0
Taedong Park,8,1000,Drake Bell,2259,Amanda Troop,,2,South Korea,10000000,4.8,186
Paul Schrader,75,30000,Veronica Ferres,31325,Derek Jacobi,circus|dog|entertainer|holocaust|patient,31,Germany,10000000,6.3,589
Benedikt Erlingsson,66,63,Ingvar Eggert Sigurðsson,81,Sigríður María Egilsdóttir,barbed wire|barbed wire fence|horse|nature|snowstorm,7,Iceland,10000000,6.9,1000
Gurinder Chadha,31,1000,Sendhil Ramamurthy,2227,Shabana Azmi,afterlife|indian|murder|overweight woman|police,16,UK,10000000,5.4,695
Jason Connery,32,1000,Ray Winstone,3937,Jason London,desert|mercenary|priest|scientist|war veteran,60,USA,10000000,3.8,486
Vic Sarin,17,183,Jimi Mistry,428,John Light,india|love|muslim|pakistan|sikh,27,Canada,10000000,7.0,746
Jim Issa,4,670,Elaine Hendrix,2739,Jon Gries,,3,USA,10000000,5.2,119
Jee-woon Kim,152,398,Kang-ho Song,569,Dal-su Oh,bounty hunter|manchuria|map|train|treasure,74,South Korea,10000000,7.3,0
Douglas Aarniokoski,129,1000,Boris Kodjoe,4686,Kathleen Turner,carnage|female nudity|purple panties|sexual attraction|shaved labia,75,USA,10000000,4.6,0
William Phillips,15,764,Tyler Mane,2876,Dustin Milligan,blacksmith|bounty hunter|duel|gunslinger|wild west,27,Canada,10000000,6.5,850
Greg Mottola,248,17000,Kristen Stewart,18983,Wendie Malick,amusement park|strong female character|summer job|teen movie|teenager,220,USA,,6.8,0
Andy Garcia,52,786,Danny Pino,1674,Enrique Murciano,1950s|cuba|cuban flag|fidel castro|havana cuba,165,USA,9600000,6.7,957
Steve Carr,55,723,John Witherspoon,3939,Rolando Molina,african american|flashback|marijuana joint|porn magazine|suburb,84,USA,9500000,6.1,0
Sarik Andreasyan,30,4000,Hayden Christensen,9432,Akon,bank|critically bashed|heist|mechanic|prison,42,Canada,10000000,5.2,0
Lewis Gilbert,130,742,Donald Pleasence,2127,Desmond Llewelyn,faked death|japan|japanese|poison|secret headquarters,267,UK,9500000,6.9,0
Julian Gilbey,29,31000,Mem Ferda,35634,Malese Jow,credit card fraud|lesbian kiss|miami,12,UK,10000000,6.0,1000
Michael Haneke,447,678,Isabelle Huppert,1557,Jean-Louis Trintignant,aging|daughter|old couple|old love|stroke,190,France,8900000,7.9,33000
Gary Sherman,66,1000,Tom Skerritt,3827,Zelda Rubinstein,aunt niece relationship|brother sister relationship|building|father daughter relationship|mirror,114,USA,10500000,4.5,616
Valeri Milev,18,557,Daniella Alonso,1702,Jesse Garcia,after dark|after dark horrorfest|fictional tv news show|outbreak,26,USA,9500000,5.1,898
Stanley Kramer,61,924,Jonathan Winters,4109,Spencer Tracy,california|desert|dying words|money|race,344,USA,9400000,7.6,0
Pedro Almodóvar,232,148,Carmen Maura,448,Antonio de la Torre,abusive father|child abuse|death|rape|secret,228,Spain,,7.6,0
Gerald Potterton,62,187,John Vernon,646,Don Francks,anthology|girl|heavy metal|secretary|segments,147,Canada,9300000,6.7,0
Jared Hess,106,33000,Jizelle Jade,34398,Héctor Jiménez,amateur film|sexual harassment|sexual innuendo|small town|struggling parent,54,USA,,6.1,0
Richard Loncraine,56,21000,Robert Downey Jr.,23962,Kristin Scott Thomas,1930s|abuse of power|england|king|murder,88,UK,6000000,7.5,0
David Hackl,48,826,Scott Glenn,1586,Luisa D'Oliveira,bear|breasts|female nudity|grizzly|wilderness,38,USA,10000000,5.3,0
Anurag Basu,41,594,Bárbara Mori,1836,Kabir Bedi,casino|desert|love|suicide|tragic event,106,India,600000000,6.0,0
Lars von Trier,439,10000,Alexander Skarsgård,15835,Charlotte Rampling,art director|breasts|depression|outdoor sex|riding a horse,551,Denmark,7400000,7.1,50000
Kriv Stenders,54,509,Noah Taylor,1248,Luke Ford,australian|based on true events|dog|love|search,80,Australia,8500000,7.5,10000
Yash Chopra,50,8000,Shah Rukh Khan,13762,Vic Waghorn,accident|army|bomb|indian army|love,286,India,7217600,6.9,12000
Ridley Scott,392,1000,Tom Skerritt,2524,Bolaji Badejo,alien|creature|future|outer space|spaceship,1110,UK,11000000,8.5,23000
Tobe Hooper,277,383,Gunnar Hansen,1094,Marilyn Burns,cannibal|chainsaw|hitchhiker|independent film|leatherface,826,USA,83532,7.5,0
Floria Sigismondi,259,17000,Kristen Stewart,21711,Johnny Lewis,band|box office flop|critically bashed|historically inaccurate|revisionist history,129,USA,10000000,6.6,0
Norman Jewison,66,402,Topol,934,Rosalind Harris,immigration|jewish|pogrom|tradition|tradition versus modernity,150,USA,9000000,8.0,0
Terence Young,129,244,Desmond Llewelyn,1164,Lois Maxwell,domino|fiery redhead|nassau|official james bond series|underwater battle,275,UK,9000000,7.0,0
Joseph Kahn,115,14000,Josh Hutcherson,15014,Parker Bagley,blood splatter|detention|high school|overalls|reference to c. thomas howell,76,USA,10000000,5.8,0
Ferzan Ozpetek,81,580,Riccardo Scamarcio,662,Lunetta Savino,gay|gay friend|grandmother grandson relationship|heart attack|mother son relationship,29,Italy,,7.3,0
F. Gary Gray,29,890,Vivica A. Fox,3661,Blair Underwood,bank|black comedy|main characters killed off|money|robbery,70,USA,9000000,6.8,0
Malcolm D. Lee,32,1000,Harold Perrineau,5420,Jarrod Bunch,african american|bachelor party|brooklyn bridge|family relationships|stripper,79,USA,9000000,6.7,0
Tom Holland,142,311,Catherine Hicks,760,Dinah Manoff,birthday|doll|murder|serial killer|voodoo,281,USA,9000000,6.5,0
Michael Moore,263,909,Michael Moore,1633,Bill Clinton,canada|cuba|france|guantanamo|hmo,429,USA,9000000,8.0,0
James DeMonaco,285,2000,Noel Gugliemi,6807,Roberta Valderrama,held at gunpoint|machete|masked man|sequel|violence,244,USA,9000000,6.5,15000
Kris Isacsson,64,3000,Rosario Dawson,4409,Shawn Hatosy,artist|cake|college|new york city|student,173,USA,9000000,4.9,580
Danny Leiner,150,982,Ethan Embry,3114,Paula Garcés,marijuana|police|road trip|stoner|white castle,316,USA,9000000,7.1,0
Rod Lurie,136,12000,Jeff Bridges,25660,William Petersen,bridge|governor|political thriller|president|vice president,370,USA,20000000,7.0,1000
Ben Younger,132,14000,Vin Diesel,17336,Herbert Russell,career|casino|judge|stock|stock broker,246,USA,8000000,7.0,0
John Landis,71,392,Don Ameche,845,Ralph Bellamy,interracial relationship|poverty|prostitute|scam|stock market,159,USA,,7.5,0
Glen Morgan,186,607,Oliver Hudson,1611,Andrea Martin,attic|christmas|house|incest|sorority,278,USA,9000000,4.5,0
Daniel Taplitz,39,911,Jennifer Esposito,1345,Patrick Cranshaw,female to male foot in crotch|lingerie slip|love|mistaken identity|writer,26,USA,,5.5,266
Kenneth Branagh,46,591,Brian Blessed,1341,Danny Webb,battle|battle of agincourt|king|shakespeare play|sword and shield,108,UK,9000000,7.7,0
Tamara Jenkins,201,22000,Philip Seymour Hoffman,23770,Gbenga Akinnagbe,arizona|dementia|married man|sun city arizona|writing,127,USA,,7.2,0
Linda Mendoza,32,591,Carlos Ponce,2851,Maria Conchita Alonso,beauty pageant|bilingual|dating|latino|three women,41,USA,,4.8,419
Christopher McQuarrie,117,187,Kristin Lehman,358,Dylan Kussman,criminal|drifter|gangster|money|surrogate mother,327,USA,8500000,6.7,1000
Burr Steers,136,1000,Kieran Culkin,2478,Bill Irwin,boy|mistress|money|schizophrenic|school,238,USA,9000000,7.0,838
Hart Bochner,15,4000,Jon Favreau,4908,Chris Young,college|high school senior|meat|protest|university,52,USA,8000000,6.5,0
Michael O. Sajbel,46,970,Bill Cobbs,3824,Mircea Monroe,billionaire|grandfather|playboy|trust fund baby|wealth,81,USA,,7.4,0
,1,177,Ronn Moss,639,Hunter Tylo,beverly hills california|family relationships|los angeles california|soap opera,54,USA,,3.5,748
Stewart Raffill,41,1000,Anjelica Huston,1991,Robert Urich,bar fight|cult film|ice|psychotronic|sword fight,56,USA,9000000,5.7,0
Davis Guggenheim,65,702,Emma Bell,2007,Carly Schroeder,boy|girl|soccer|south orange new jersey|teenager,27,USA,9000000,6.2,313
Bart Freundlich,100,745,Billy Crudup,1721,Dagmara Dominczyk,actress|lesbianism|manhattan new york city|urination|watching pornography,63,USA,9000000,5.7,215
Andrew Fleming,129,1000,Steve Coogan,3767,David Arquette,gang banger|sequel|shakespeare's hamlet|student|time machine,76,USA,9000000,6.4,1000
Todd Haynes,103,23000,Christian Bale,24102,Janet McTeer,1970s|glitter|political cover up|reference to katharine hepburn|reference to spencer tracy,314,UK,,7.0,0
Hong-jin Na,77,45,Jung-min Hwang,50,Woo-hee Chun,policeman|stranger|supernatural|village|vomiting,24,South Korea,,7.7,0
Kevin Tancharoen,67,2000,Lea Michele,4617,Kevin McHale,concert|live in concert recording|live performance,21,USA,9000000,5.4,0
Chatrichalerm Yukol,31,7,Sarunyu Wongkrachang,32,Mai Charoenpura,16th century|burmese|invasion|queen|thailand,47,Thailand,400000000,6.6,124
Dario Argento,76,982,John Amos,2942,Sally Kirkland,black cat|cat|evil|photographer|undead,45,Italy,9000000,6.1,375
Eric Lavaine,17,186,Lambert Wilson,253,Lionel Abelanski,,1,France,,6.1,348
Mike Leigh,81,149,Lesley Manville,251,Gary McDonald,love|neighbor|single parent|supermarket|working class,94,UK,9000000,7.6,484
Marc Forby,26,679,Q'orianka Kilcher,1426,Shaun Evans,hawaii|hawaiian|historically inaccurate|princess|tearing up a letter,14,USA,9000000,6.2,0
Peter Cattaneo,24,185,Jacqueline McKenzie,299,Peter Callan,friend|girl|imaginary friend|outback|town,6,Australia,11400000,6.6,135
Scott Mann,44,22000,Robert De Niro,24154,D.B. Sweeney,bus|die hard scenario,57,USA,19000000,6.1,0
Ole Christian Madsen,80,573,Lars Mikkelsen,1098,Christian Berkel,danish|double agent|nazi|nazi occupation|resistance,44,Denmark,45000000,7.3,0
Meiert Avis,41,922,Fisher Stevens,1835,Perrey Reeves,bare chested male|box office flop|diner|german shepherd|one word title,45,Germany,9000000,4.2,128
Julian Jarrold,91,10000,Andrew Garfield,10369,John Henshaw,ejected from a moving vehicle|gun held to head|handcuffs|shot multiple times|strangulation,44,UK,,7.1,0
André Téchiné,66,963,Catherine Deneuve,1375,Émilie Dequenne,bar mitzvah|lawyer|train|wealth|wrestler,14,France,,6.0,120
Emily Young,19,4000,Sarah Michelle Gellar,6426,Jonathan Tucker,boyfriend girlfriend relationship|female protagonist|letter of resignation|mental hospital|sex,42,USA,9000000,6.5,3000
Peter Faiman,35,442,Paul Hogan,822,David Gulpilil,australian outback|crocodile|female reporter|journalist|new york city,93,Australia,8800000,6.5,0
Martyn Pick,19,722,Sean Pertwee,1254,Donald Sumpter,grimdark|mutilated corpse|space marine|ultramarines|warhammer 40k,64,UK,,5.7,0
Roland Suso Richter,33,1000,Stephen Graham,2310,Stephen Rea,2000s|hospital|man in a wheelchair|year 2000|year 2002,57,UK,8800000,6.1,458
Jeremy Sims,17,174,Harrison Gilbertson,498,Steve Le Marquand,blue clay|diversion|ends with biographical notes|ends with historical notes|tunnel,39,Australia,9000000,7.1,0
Maïwenn,163,580,Riccardo Scamarcio,1129,Karin Viard,abusive parent|child molester|child protection|photographer|police,33,France,,7.3,0
Joby Harold,133,4000,Hayden Christensen,6954,Denis O'Hare,anesthetic|anesthetic awareness|heart|heart surgery|surgery,196,USA,8600000,6.5,0
,47,668,Dee Bradley Baker,1484,Tom Kane,begins with narration|female warrior|inbetwequel|jedi knight|war against machines,73,USA,,7.9,2000
Ekachai Uekrongtham,66,2000,Michael Jai White,2802,Celina Jade,bangkok thailand|detective|human trafficking|revenge|sex slavery,38,Thailand,9000000,5.7,0
Joel Schumacher,147,967,Dianne Wiest,4458,Jason Patric,1980s|california|death|small town|vampire,339,USA,,7.2,19000
Scott Cooper,273,12000,Jeff Bridges,13172,Debrianna Mansini,country music|country western singer|journalist|musician|singer,226,USA,7000000,7.3,0
Mark Rydell,32,563,David Keith,1097,Alan Bates,awol|demand|driver|drugs|roses,52,USA,8500000,6.9,1000
David E. Talbert,52,3000,Djimon Hounsou,8097,Boris Kodjoe,woman wearing only a man's shirt,41,USA,8500000,5.0,0
Roger Vadim,107,949,Jane Fonda,1510,Milo O'Shea,41st century|angel|future|laser gun|space opera,186,France,9000000,5.9,0
Nils Gaup,6,35,Bjørn Sundquist,47,Stian Smestad,boy|island|pirate|ship|treasure,14,Norway,60000000,6.7,278
Alexander Payne,175,2000,Matthew Broderick,3516,Molly Hagan,female protagonist|high school|self destructiveness|student council president|student government,441,USA,8000000,7.3,0
Mira Nair,167,579,Jacinda Barrett,1637,Tabu,bengali|india|reference to gogol|train|train crash,117,USA,,7.6,0
Ari Sandel,132,35000,Bella Thorne,36892,Skyler Samuels,cartoon on tv|generation y|high school|overalls|strong female character,116,USA,8500000,6.5,8000
Vondie Curtis-Hall,66,736,Mariah Carey,1854,Valarie Pettiford,cult film|disc jockey|female protagonist|music business|one word title,308,USA,22000000,2.1,0
Tom Elkins,79,1000,Abigail Spencer,3164,Brad James,daughter|georgia|mother|slave|trailer,57,USA,9000000,5.3,0
Woo-Suk Kang,15,28,Yu-mi Jeong,97,Kyung-gu Sol,based on book|based on true story|rape|title spoken by character,17,South Korea,8000000,7.2,387
Jane Campion,222,2000,Abbie Cornish,3279,Samuel Roukin,19th century|friend|john keats|passion|poet,110,UK,8500000,7.0,0
Karan Johar,210,8000,Shah Rukh Khan,8532,Christopher B. Duncan,airport|asperger's syndrome|autism|muslim|racial profiling,235,India,12000000,8.0,27000
Herbert Ross,60,967,Dianne Wiest,1962,Lori Singer,church|cowboy boots|dancing|high school dance|teenager,113,USA,8200000,6.5,0
J.C. Chandor,346,0,Robert Redford,0,,boat|container|sea|shipping container|storm,312,USA,9000000,6.9,18000
John Sayles,46,638,Mary Elizabeth Mastrantonio,823,Vanessa Martinez,alaska|island|motorboat|singer|wilderness,140,USA,8000000,7.1,196
Vipul Amrutlal Shah,15,3000,Katrina Kaif,4004,Riteish Deshmukh,india|london england|marriage|stereotype|sugarcane,47,India,,7.3,341
Ken Loach,169,97,Padraic Delaney,128,Martin Lucey,civil war|colonialism|hatred|independence|rural ireland,222,Ireland,,7.5,0
Ayan Mukerji,25,964,Ranbir Kapoor,2350,Aditya Roy Kapoor,jealousy|jumping into sea|love|swimming pool|wet clothes,102,India,,6.9,0
John G. Avildsen,81,668,Martin Kove,2004,William Bassett,apartment|bully|fight|karate|master,235,USA,8000000,7.2,0
Mervyn LeRoy,54,440,Peter Ustinov,1373,Robert Taylor,christian|emperor|general|hostage|nero,90,USA,7623000,7.2,1000
Darren Lynn Bousman,147,2000,Alexa PenaVega,4168,Paul Sorvino,future|murder|opera|repossession|surgery,259,USA,8500000,6.7,8000
Serdar Akar,16,205,Necati Sasmaz,808,Ghassan Massoud,abu ghraib|bomb|christian|explosion|iraq,159,Turkey,8300000,6.0,467
Quentin Tarantino,215,13000,Bruce Willis,16557,Phil LaMarr,black comedy|cunnilingus|neo noir|nonlinear timeline|postmodern,2195,USA,8000000,8.9,45000
James Frawley,63,1000,Madeline Kahn,5673,Dom DeLuise,friend|frog leg|on the road|restaurant|the muppets,92,UK,,7.7,0
Dan Gilroy,534,15000,Jake Gyllenhaal,15554,James Huang,employer employee relationship|ethics|journalism|sociopath|tv news,552,USA,8500000,7.9,65000
Jay Chandrasekhar,66,861,Brittany Daniel,3306,Jay Chandrasekhar,beach|island|party|resort|serial killer,201,USA,8550000,5.6,713
Robert Wise,119,354,Eleanor Parker,1495,Nicholas Hammond,austria|children|governess|love|orchestral music score,406,USA,8200000,8.0,15000
Ron Howard,43,15000,Tom Hanks,15361,Patrick Cronin,cmnf|cmnf scene|mermaid|new york city|public nudity,99,USA,8000000,6.2,0
Jonathan Dayton,270,7000,Steve Carell,7227,Jill Talley,gay|graduate student|sister sister relationship|sprite|uncle nephew relationship,889,USA,8000000,7.9,15000
Rob Reiner,99,217,Marshall Bell,644,Casey Siemaszko,friendship|summertime|treehouse|walking on train tracks|woods,584,USA,8000000,8.1,24000
Danny Boyle,224,133,Noah Huntley,241,David Schneider,laboratory|london england|military|virus|zombie apocalypse,1441,UK,8000000,7.6,11000
Chris Stokes,58,389,Jennifer Freeman,1792,Steve Harvey,competition|dance contest|friend|money|street dancing,247,USA,8000000,3.5,0
Don Siegel,53,16000,Clint Eastwood,17568,Fred Ward,alcatraz|escape|inmate|island|prison,142,USA,8000000,7.6,0
Rick Famuyiwa,37,1000,Boris Kodjoe,3199,Wendell Pierce,basketball|hip hop|rap music|record company|writer,60,USA,8000000,6.5,0
Martin Lawrence,11,585,Faizon Love,3023,Della Reese,african american|dating|independent film|irreverence|revenge,14,USA,8000000,5.6,559
Jonathan Levine,327,23000,Joseph Gordon-Levitt,39807,Bryce Dallas Howard,best friend|cancer|survival rate|therapist|vomiting,378,USA,8000000,7.7,40000
Masayuki Ochiai,135,449,James Kyson,1534,Daisy Betts,car accident|japan|newlywed|photograph|photographer,148,USA,8000000,5.2,0
George A. Romero,127,875,Ted Danson,2662,Adrienne Barbeau,anthology|child abuse|critically acclaimed|death|grindhouse,211,USA,8000000,6.9,0
Tom Gormican,164,363,Mackenzie Davis,1024,Josh Pais,dating|divorce|father daughter relationship|mother daughter relationship|party,100,USA,8000000,6.1,0
Ken Shapiro,14,484,Brian Doyle-Murray,1455,Mary Kay Place,air traffic controller|nuclear waste|orgasm|telekinesis|voodoo,48,USA,8000000,5.0,495
Justin Tipping,6,861,Tina Gilton,1279,Justin Hall,,6,USA,,7.8,240
Kenneth Branagh,41,18000,Keanu Reeves,37645,Brian Blessed,16th century|bachelor|dishonor|masquerade party|wedding,165,UK,8000000,7.4,0
Peter R. Hunt,143,803,Telly Savalas,1769,Desmond Llewelyn,bond girl|british|mission|portugal|switzerland,452,UK,7000000,6.8,0
,9,666,Nick Wechsler,4043,Jeff Marlow,bet|friend|pit boss|secret|surveillance,25,USA,,7.1,0
Wes Craven,109,969,Miko Hughes,1775,Tracy Middendorf,earthquake|elm street|freddy krueger|nightmare|sleep,271,USA,8000000,6.4,0
John Schultz,59,452,Stephen Collins,1760,Keri Lynn Pratt,centennial|girl|next door neighbor|prom|school,147,USA,8000000,5.7,0
Doug Atchison,95,876,Curtis Armstrong,2832,Tzi Ma,national spelling bee|principal|school principal|spelling|spelling bee,172,USA,,7.5,0
Tamra Davis,40,744,Dave Chappelle,2400,Clarence Williams III,bail|diabetic|friend|jail|pharmaceutical lab,164,USA,8000000,6.7,0
Jonas Elmer,121,24000,J.K. Simmons,25792,Harry Connick Jr.,love|manufacturing|minnesota|plant|small town,78,USA,8000000,5.6,0
Stephen Gaghan,358,13000,Matt Damon,14747,Kayvan Novak,cia|hezbollah|lebanon|oil|prince,625,USA,50000000,7.0,0
Mary Harron,288,23000,Christian Bale,25462,Samantha Mathis,1980s|business card|male rear nudity|materialism|narcissism,1061,USA,7000000,7.6,18000
Miguel Arteta,107,15000,Jake Gyllenhaal,27646,Tim Blake Nelson,dysfunctional marriage|marijuana|small town|store|trying to conceive,298,USA,5000000,6.5,938
Erik Canuel,28,539,Colm Feore,895,Sarain Boylan,border|hockey|killer|police|tattoo,90,Canada,8000000,7.0,758
Troy Duffy,91,12000,Norman Reedus,17524,Clifton Collins Jr.,final showdown|ireland|justice|priest|sheep,188,USA,8000000,6.3,0
James Ivory,55,471,Alexandra Maria Lara,858,Diego Velazquez,child|student|university|widow|writer,25,USA,8300000,6.4,638
Nicole Holofcener,231,434,Christopher Nicholas Smith,1183,Michaela Watkins,dating|divorcee|ex husband|ex wife|party,142,USA,8000000,7.1,12000
Will Gluck,262,15000,Emma Stone,16982,Fred Armisen,gay|gay interest|high school|school|student,264,USA,8000000,7.1,19000
Matty Rich,7,851,Jada Pinkett Smith,3293,Larenz Tate,fire|marriage|martha's vineyard|teenager|vacation,11,USA,,6.5,160
E. Elias Merhige,196,776,Eddie Izzard,1761,Catherine McCormack,actor|breasts|film actress|nosferatu|vampire,339,UK,8000000,6.9,0
Joe Nussbaum,83,1000,Cameron Monaghan,5190,Aimee Teegarden,decoration|father daughter relationship|high school|prom|teenager,32,USA,8000000,5.4,0
Matt Reeves,18,1000,Mark Margolis,3502,Carol Kane,bachelor party|directorial debut|funeral|pallbearer|wedding,55,USA,8000000,4.9,125
Steve Rash,11,883,Barry Corbin,3291,Jake Busey,hold up|hostage|stockholm syndrome|swat team|vegetarian,34,USA,8000000,5.1,77
Fina Torres,72,1000,Harold Perrineau,2687,Mark Feuerstein,cross dresser|food|friend|motion sickness|restaurant,86,USA,8000000,5.3,859
James Ivory,51,12000,Anthony Hopkins,13180,Samuel West,england|friendship|prejudice|upper class|working class,86,UK,,7.5,788
,18,3000,Dominic Cooper,6034,Ruth Negga,heaven and hell|preacher|supernatural|vampire|vertigo comics,85,,,8.3,18000
Duke Johnson,328,1000,Jennifer Jason Leigh,1442,David Thewlis,full frontal male nudity|hotel room|multiple characters voiced by same person|one night stand|sex in hotel room,140,USA,8000000,7.3,0
Mike Leigh,248,1000,Jim Broadbent,2265,Phil Davis,autumn|four seasons|friend|looking at one's self in a mirror|unhappiness,141,UK,10000000,7.3,0
François Ozon,128,963,Catherine Deneuve,3543,Emmanuelle Béart,cook|industrialist|secret|snowstorm|suspect,162,France,8000000,7.1,0
Mark L. Lester,45,1000,Cary-Hiroyuki Tagawa,2404,Vernee Watson,bare chested male|detective|electric torture|japanese american|yakuza,102,USA,8000000,6.0,0
