director_name,num_critic_for_reviews,duration,actor_2_name,gross,movie_title,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,budget,actor_2_facebook_likes,imdb_score
Chatrichalerm Yukol,31,300,Chatchai Plengpanich,454255,The Legend of Suriyothai ,32,Mai Charoenpura,3,400000000,6,6.6
Dario Argento,76,120,Adrienne Barbeau,349618,Two Evil Eyes ,2942,Sally Kirkland,1,9000000,602,6.1
Eric Lavaine,17,98,Julie Engelbrecht,,Barbecue ,253,Lionel Abelanski,1,,41,6.1
Mike Leigh,81,121,Ruth Sheen,112935,All or Nothing ,251,Gary McDonald,0,9000000,44,7.6
Marc Forby,26,97,Will Patton,883887,Princess Kaiulani ,1426,Shaun Evans,3,9000000,537,6.2
Peter Cattaneo,24,86,Vince Colosimo,13751,Opal Dream ,299,Peter Callan,0,11400000,62,6.6
Scott Mann,44,93,Joshua Mikel,,Heist ,24154,D.B. Sweeney,1,19000000,1000,6.1
Ole Christian Madsen,80,45,Thure Lindhardt,145109,Flame and Citron ,1098,Christian Berkel,1,45000000,197,7.3
Meiert Avis,41,97,Kip Pardue,1046166,Undiscovered ,1835,Perrey Reeves,4,9000000,374,4.2
Julian Jarrold,91,102,Warren Clarke,,Red Riding: In the Year of Our Lord 1974 ,10369,John Henshaw,0,,281,7.1
André Téchiné,66,105,Ronit Elkabetz,2874,The Girl on the Train ,1375,Émilie Dequenne,1,,168,6.0
Emily Young,19,103,Erika Christensen,,Veronika Decides to Die ,6426,Jonathan Tucker,1,9000000,931,6.5
Peter Faiman,35,93,Linda Kozlowski,174635000,Crocodile Dundee ,822,David Gulpilil,1,8800000,162,6.5
Martyn Pick,19,76,Steven Waddington,,"Ultramarines: A Warhammer 40,000 Movie ",1254,Donald Sumpter,0,,212,5.7
Roland Suso Richter,33,90,Sarah Polley,,The I Inside ,2310,Stephen Rea,2,8800000,900,6.1
Jeremy Sims,17,122,Gyton Grantley,,Beneath Hill 60 ,498,Steve Le Marquand,12,9000000,109,7.1
Maïwenn,163,127,Maïwenn,171320,Polisse ,1129,Karin Viard,1,,236,7.3
