director_name,actor_3_facebook_likes,actor_1_facebook_likes,gross,movie_title,num_voted_users,movie_imdb_link,language,movie_facebook_likes
Atom Egoyan,395,990,4306697,The Sweet Hereafter ,26720,http://www.imdb.com/title/tt0120255/?ref_=fn_tt_tt_1,English,920
Xavier Beauvois,32,186,3950029,Of Gods and Men ,12411,http://www.imdb.com/title/tt1588337/?ref_=fn_tt_tt_1,French,0
Randall Miller,39,25000,4040588,Bottle Shock ,12233,http://www.imdb.com/title/tt0914797/?ref_=fn_tt_tt_1,English,0
Jerry Belson,83,922,,Jekyll and Hyde... Together Again ,881,http://www.imdb.com/title/tt0084171/?ref_=fn_tt_tt_1,English,323
Peter Jackson,88,14000,3049135,Heavenly Creatures ,50197,http://www.imdb.com/title/tt0110005/?ref_=fn_tt_tt_1,English,0
Michael Polish,473,4000,4700361,90 Minutes in Heaven ,2047,http://www.imdb.com/title/tt4337690/?ref_=fn_tt_tt_1,English,0
Dan Rush,939,8000,2711210,Everything Must Go ,40305,http://www.imdb.com/title/tt1531663/?ref_=fn_tt_tt_1,English,0
Jake Kasdan,102,624,1980338,Zero Effect ,12366,http://www.imdb.com/title/tt0120906/?ref_=fn_tt_tt_1,English,507
Brad Anderson,360,23000,1082044,The Machinist ,281649,http://www.imdb.com/title/tt0361862/?ref_=fn_tt_tt_1,English,21000
Paul Schrader,145,722,1100000,Light Sleeper ,3665,http://www.imdb.com/title/tt0102307/?ref_=fn_tt_tt_1,English,247
Michael Cuesta,688,10000,2445646,Kill the Messenger ,32382,http://www.imdb.com/title/tt1216491/?ref_=fn_tt_tt_1,English,13000
John Cameron Mitchell,192,967,2221809,Rabbit Hole ,40618,http://www.imdb.com/title/tt0935075/?ref_=fn_tt_tt_1,English,0
Fenton Bailey,600,3000,296665,Party Monster ,12675,http://www.imdb.com/title/tt0320244/?ref_=fn_tt_tt_1,English,0
Jeremy Saulnier,233,727,3219029,Green Room ,28845,http://www.imdb.com/title/tt4062536/?ref_=fn_tt_tt_1,English,10000
Billy Kent,276,740,,The Oh in Ohio ,5494,http://www.imdb.com/title/tt0422861/?ref_=fn_tt_tt_1,English,255
James Manera,361,578,830210,Atlas Shrugged: Who Is John Galt? ,1900,http://www.imdb.com/title/tt2800038/?ref_=fn_tt_tt_1,English,0
Wes Anderson,65,387,1040879,Bottle Rocket ,54478,http://www.imdb.com/title/tt0115734/?ref_=fn_tt_tt_1,English,0
Kevin Spacey,977,10000,326308,Albino Alligator ,6632,http://www.imdb.com/title/tt0115495/?ref_=fn_tt_tt_1,English,225
Feroz Abbas Khan,14,75,240425,Gandhi, My Father ,1311,http://www.imdb.com/title/tt0459293/?ref_=fn_tt_tt_1,Hindi,133
Errol Morris,0,6,228830,Standard Operating Procedure ,3329,http://www.imdb.com/title/tt0896866/?ref_=fn_tt_tt_1,English,489
Dennis Hopper,51,311,,Out of the Blue ,1599,http://www.imdb.com/title/tt0081291/?ref_=fn_tt_tt_1,English,274
Eli Craig,440,948,223615,Tucker and Dale vs Evil ,127842,http://www.imdb.com/title/tt1465522/?ref_=fn_tt_tt_1,English,49000
Nicholas Fackler,940,3000,124720,Lovely, Still ,1560,http://www.imdb.com/title/tt1150947/?ref_=fn_tt_tt_1,English,777
Richard Wallace,100,197,,Tycoon ,989,http://www.imdb.com/title/tt0039927/?ref_=fn_tt_tt_1,English,44
Morgan J. Freeman,697,1000,99147,Desert Blue ,1884,http://www.imdb.com/title/tt0126261/?ref_=fn_tt_tt_1,English,69
Matthew Hastings,383,889,,Decoys ,4041,http://www.imdb.com/title/tt0357585/?ref_=fn_tt_tt_1,English,174
M. Night Shyamalan,99,432,65069140,The Visit ,65299,http://www.imdb.com/title/tt3567288/?ref_=fn_tt_tt_1,English,27000
Brian De Palma,15,343,65087,Redacted ,8824,http://www.imdb.com/title/tt0937237/?ref_=fn_tt_tt_1,English,559
Klaus Menzel,227,811,16066,Fascination ,1207,http://www.imdb.com/title/tt0305632/?ref_=fn_tt_tt_1,English,40
,904,1000,,Saving Grace             ,3852,http://www.imdb.com/title/tt0830900/?ref_=fn_tt_tt_1,English,634
Oren Peli,14,46,,Area 51 ,7888,http://www.imdb.com/title/tt1519461/?ref_=fn_tt_tt_1,English,0
Jaume Balagueró,78,331,,Sleep Tight ,23756,http://www.imdb.com/title/tt1437358/?ref_=fn_tt_tt_1,Spanish,0
Paul Andrew Williams,141,570,,The Cottage ,10056,http://www.imdb.com/title/tt0465430/?ref_=fn_tt_tt_1,English,639
Stephen Herek,686,866,,Dead Like Me: Life After Death ,10734,http://www.imdb.com/title/tt1079444/?ref_=fn_tt_tt_1,English,887
Bob Saget,854,3000,,Farce of the Penguins ,4322,http://www.imdb.com/title/tt0488539/?ref_=fn_tt_tt_1,English,419
Jim Amatulli,483,695,,Flying By ,215,http://www.imdb.com/title/tt1131732/?ref_=fn_tt_tt_1,English,38
,816,1000,,Psych             ,67315,http://www.imdb.com/title/tt0491738/?ref_=fn_tt_tt_1,English,0
William H. Macy,394,745,37440,Rudderless ,12672,http://www.imdb.com/title/tt1798243/?ref_=fn_tt_tt_1,English,0
Barrett Esposito,388,979,,Henry & Me ,83,http://www.imdb.com/title/tt1460798/?ref_=fn_tt_tt_1,English,165
Mitch Davis,541,989,,Christmas Eve ,1091,http://www.imdb.com/title/tt3703148/?ref_=fn_tt_tt_1,English,0
Eric Bross,601,708,,We Have Your Husband ,216,http://www.imdb.com/title/tt2063015/?ref_=fn_tt_tt_1,English,58
Paul Schrader,179,12000,,Dying of the Light ,6964,http://www.imdb.com/title/tt1274586/?ref_=fn_tt_tt_1,English,0
Vicky Jewson,126,1000,,Born of War ,237,http://www.imdb.com/title/tt1554921/?ref_=fn_tt_tt_1,English,190
Peter Hyams,826,1000,,Capricorn One ,15988,http://www.imdb.com/title/tt0077294/?ref_=fn_tt_tt_1,English,2000
Marc Bennett,723,975,,Should've Been Romeo ,38,http://www.imdb.com/title/tt1717210/?ref_=fn_tt_tt_1,English,35
Mike Mayhall,668,784,,Running Forever ,8,http://www.imdb.com/title/tt4453560/?ref_=fn_tt_tt_1,English,49
Kevin Smith,1000,40000,,Yoga Hosers ,849,http://www.imdb.com/title/tt3838992/?ref_=fn_tt_tt_1,English,0
Stanton Barrett,538,741,,Navy Seals vs. Zombies ,928,http://www.imdb.com/title/tt4511566/?ref_=fn_tt_tt_1,English,0
Jirí Menzel,4,61,617228,I Served the King of England ,6183,http://www.imdb.com/title/tt0284363/?ref_=fn_tt_tt_1,Czech,1000
Fatih Akin,269,595,274385,Soul Kitchen ,29203,http://www.imdb.com/title/tt1244668/?ref_=fn_tt_tt_1,German,0
Billy Bob Thornton,263,3000,24475416,Sling Blade ,72443,http://www.imdb.com/title/tt0117666/?ref_=fn_tt_tt_1,English,0
Nick Murphy,537,874,,The Awakening ,46347,http://www.imdb.com/title/tt1687901/?ref_=fn_tt_tt_1,English,10000
Eli Roth,581,1000,47277326,Hostel ,138814,http://www.imdb.com/title/tt0450278/?ref_=fn_tt_tt_1,English,0
Michael Winterbottom,427,1000,1247453,Tristram Shandy: A Cock and Bull Story ,11202,http://www.imdb.com/title/tt0423409/?ref_=fn_tt_tt_1,English,750
Jeff Nichols,41,982,1729969,Take Shelter ,68211,http://www.imdb.com/title/tt1675192/?ref_=fn_tt_tt_1,English,14000
Frank LaLoggia,339,968,1705139,Lady in White ,4695,http://www.imdb.com/title/tt0095484/?ref_=fn_tt_tt_1,English,0
Jeremy Brock,621,10000,238774,Driving Lessons ,9611,http://www.imdb.com/title/tt0446687/?ref_=fn_tt_tt_1,English,864
Scott Foley,316,927,,Let's Kill Ward's Wife ,4247,http://www.imdb.com/title/tt2980708/?ref_=fn_tt_tt_1,English,0
Tobe Hooper,14,237,8025872,The Texas Chainsaw Massacre 2 ,19234,http://www.imdb.com/title/tt0092076/?ref_=fn_tt_tt_1,English,0
Sam Peckinpah,372,773,,Pat Garrett & Billy the Kid ,13467,http://www.imdb.com/title/tt0070518/?ref_=fn_tt_tt_1,English,0
Nicolas Winding Refn,428,33000,778565,Only God Forgives ,83234,http://www.imdb.com/title/tt1602613/?ref_=fn_tt_tt_1,English,30000
Christophe Ali,20,226,,Camping sauvage ,262,http://www.imdb.com/title/tt0451673/?ref_=fn_tt_tt_1,French,11
Gabriela Tagliavini,329,571,,Without Men ,1427,http://www.imdb.com/title/tt1547090/?ref_=fn_tt_tt_1,English,491
Shekar,0,5,,Barfi ,57,http://www.imdb.com/title/tt3099638/?ref_=fn_tt_tt_1,Kannada,2
Shona Auerbach,16,18000,1340891,Dear Frankie ,18940,http://www.imdb.com/title/tt0377752/?ref_=fn_tt_tt_1,English,2000
Leonard Farlinger,413,584,,All Hat ,436,http://www.imdb.com/title/tt0903131/?ref_=fn_tt_tt_1,English,31
Michel Leclerc,9,74,513836,The Names of Love ,6304,http://www.imdb.com/title/tt1646974/?ref_=fn_tt_tt_1,French,0
Analeine Cal y Mayor,140,943,,Treading Water ,421,http://www.imdb.com/title/tt2091427/?ref_=fn_tt_tt_1,English,199
Tom Kalin,577,13000,434417,Savage Grace ,8867,http://www.imdb.com/title/tt0379976/?ref_=fn_tt_tt_1,English,0
Robert Sarkies,3,109,728,Out of the Blue ,2776,http://www.imdb.com/title/tt0839938/?ref_=fn_tt_tt_1,English,285
Hugh Wilson,542,801,81200000,Police Academy ,87739,http://www.imdb.com/title/tt0087928/?ref_=fn_tt_tt_1,English,0
Randal Kleiser,83,1000,,The Blue Lagoon ,50125,http://www.imdb.com/title/tt0080453/?ref_=fn_tt_tt_1,English,0
Mike Newell,239,1000,52700832,Four Weddings and a Funeral ,107923,http://www.imdb.com/title/tt0109831/?ref_=fn_tt_tt_1,English,0
Amy Heckerling,811,1000,,Fast Times at Ridgemont High ,71217,http://www.imdb.com/title/tt0083929/?ref_=fn_tt_tt_1,English,0
John Huston,68,232,,Moby Dick ,13474,http://www.imdb.com/title/tt0049513/?ref_=fn_tt_tt_1,English,0
Spike Lee,346,22000,13060843,25th Hour ,149528,http://www.imdb.com/title/tt0307901/?ref_=fn_tt_tt_1,English,0
,298,562,,Secrets and Lies             ,6762,http://www.imdb.com/title/tt3516878/?ref_=fn_tt_tt_1,English,2000
Lana Wachowski,126,3000,3798532,Bound ,41138,http://www.imdb.com/title/tt0115736/?ref_=fn_tt_tt_1,English,2000
Darren Aronofsky,167,1000,3609278,Requiem for a Dream ,573541,http://www.imdb.com/title/tt0180093/?ref_=fn_tt_tt_1,English,38000
Walter Lang,37,188,,State Fair ,2756,http://www.imdb.com/title/tt0038116/?ref_=fn_tt_tt_1,English,501
Carlos Saura,4,341,1687311,Tango ,2412,http://www.imdb.com/title/tt0120274/?ref_=fn_tt_tt_1,Spanish,539
Oliver Stone,491,854,,Salvador ,15175,http://www.imdb.com/title/tt0091886/?ref_=fn_tt_tt_1,English,1000
Andrew Erwin,402,589,10429707,Moms' Night Out ,10483,http://www.imdb.com/title/tt3014666/?ref_=fn_tt_tt_1,English,0
Richard Kelly,701,15000,727883,Donnie Darko ,580999,http://www.imdb.com/title/tt0246578/?ref_=fn_tt_tt_1,English,33000
Beto Gómez,122,274,1391770,Saving Private Perez ,1592,http://www.imdb.com/title/tt0461336/?ref_=fn_tt_tt_1,Spanish,0
Mike van Diem,3,25,713413,Character ,9171,http://www.imdb.com/title/tt0119448/?ref_=fn_tt_tt_1,Dutch,689
Jonas Åkerlund,391,835,410241,Spun ,32357,http://www.imdb.com/title/tt0283003/?ref_=fn_tt_tt_1,English,3000
Todd Solondz,844,1000,278821,Life During Wartime ,5465,http://www.imdb.com/title/tt0808526/?ref_=fn_tt_tt_1,English,0
Chan-wook Park,38,717,211667,Lady Vengeance ,53508,http://www.imdb.com/title/tt0451094/?ref_=fn_tt_tt_1,Korean,4000
René Féret,9,24,706622,Mozart's Sister ,1213,http://www.imdb.com/title/tt1653911/?ref_=fn_tt_tt_1,French,0
Barry Skolnick,798,26000,92191,Mean Machine ,29463,http://www.imdb.com/title/tt0291341/?ref_=fn_tt_tt_1,English,0
Johnnie To,76,155,49413,Exiled ,6919,http://www.imdb.com/title/tt0796212/?ref_=fn_tt_tt_1,Cantonese,528
Mateo Gil,327,820,199652,Blackthorn ,7390,http://www.imdb.com/title/tt1629705/?ref_=fn_tt_tt_1,English,0
Lukas Moodysson,0,129,181655,Lilya 4-Ever ,35464,http://www.imdb.com/title/tt0300140/?ref_=fn_tt_tt_1,Russian,0
Agnieszka Wojtowicz-Vosloo,329,14000,108229,After.Life ,30836,http://www.imdb.com/title/tt0838247/?ref_=fn_tt_tt_1,English,7000
Kabir Sadanand,62,327,,Fugly ,781,http://www.imdb.com/title/tt3683702/?ref_=fn_tt_tt_1,Hindi,62
Milos Forman,425,888,112000000,One Flew Over the Cuckoo's Nest ,680041,http://www.imdb.com/title/tt0073486/?ref_=fn_tt_tt_1,English,32000
Peter DeLuise,212,19000,,R.L. Stine's Monsterville: The Cabinet of Souls ,917,http://www.imdb.com/title/tt4386242/?ref_=fn_tt_tt_1,English,224
Mel Brooks,753,898,,Silent Movie ,12666,http://www.imdb.com/title/tt0075222/?ref_=fn_tt_tt_1,,629
Raja Menon,12,85,,Airlift ,30977,http://www.imdb.com/title/tt4387040/?ref_=fn_tt_tt_1,Hindi,10000
,505,662,,Anne of Green Gables             ,14251,http://www.imdb.com/title/tt0088727/?ref_=fn_tt_tt_1,English,0
Ernie Barbarash,261,2000,8691,Falcon Rising ,4952,http://www.imdb.com/title/tt2295722/?ref_=fn_tt_tt_1,English,0
Nick Love,422,2000,26345,The Sweeney ,16445,http://www.imdb.com/title/tt0857190/?ref_=fn_tt_tt_1,English,0
Jonathan Glazer,100,1000,6940281,Sexy Beast ,43135,http://www.imdb.com/title/tt0203119/?ref_=fn_tt_tt_1,English,0
Daniel Espinosa,93,309,188870,Easy Money ,13443,http://www.imdb.com/title/tt1291652/?ref_=fn_tt_tt_1,Swedish,0
Niki Caro,8,446,20772796,Whale Rider ,34232,http://www.imdb.com/title/tt0298228/?ref_=fn_tt_tt_1,English,0
R. Balki,106,464,199228,Paa ,7295,http://www.imdb.com/title/tt1532957/?ref_=fn_tt_tt_1,Hindi,504
Ivan Engler,7,29,,Cargo ,15780,http://www.imdb.com/title/tt0381940/?ref_=fn_tt_tt_1,German,2000
Joe Wright,394,20000,34964818,Pan ,39975,http://www.imdb.com/title/tt3332064/?ref_=fn_tt_tt_1,English,24000
Kenny Ortega,578,755,,High School Musical ,59254,http://www.imdb.com/title/tt0475293/?ref_=fn_tt_tt_1,English,0
,551,1000,,Animal Kingdom             ,3673,http://www.imdb.com/title/tt5574490/?ref_=fn_tt_tt_1,English,0
Richard Kwietniowski,130,471,2542264,Love and Death on Long Island ,3407,http://www.imdb.com/title/tt0119574/?ref_=fn_tt_tt_1,English,61
Timur Bekmambetov,16,114,1487477,Night Watch ,47097,http://www.imdb.com/title/tt0403358/?ref_=fn_tt_tt_1,Russian,0
Neil Jordan,327,1000,62549000,The Crying Game ,41361,http://www.imdb.com/title/tt0104036/?ref_=fn_tt_tt_1,English,0
Bob Clark,95,110,105500000,Porky's ,31260,http://www.imdb.com/title/tt0084522/?ref_=fn_tt_tt_1,English,0
George A. Romero,231,648,101055,Survival of the Dead ,17478,http://www.imdb.com/title/tt1134854/?ref_=fn_tt_tt_1,English,0
George A. Romero,56,125,,Night of the Living Dead ,87978,http://www.imdb.com/title/tt0063350/?ref_=fn_tt_tt_1,English,0
Sofia Coppola,11,19000,44566004,Lost in Translation ,321283,http://www.imdb.com/title/tt0335266/?ref_=fn_tt_tt_1,English,17000
Woody Allen,629,11000,39200000,Annie Hall ,192940,http://www.imdb.com/title/tt0075686/?ref_=fn_tt_tt_1,English,0
Cecil B. DeMille,132,232,36000000,The Greatest Show on Earth ,9456,http://www.imdb.com/title/tt0044672/?ref_=fn_tt_tt_1,English,625
Ridley Scott,748,23000,65007045,Exodus: Gods and Kings ,128694,http://www.imdb.com/title/tt1528100/?ref_=fn_tt_tt_1,English,51000
Marc Forster,80,13000,31252964,Monster's Ball ,71495,http://www.imdb.com/title/tt0285742/?ref_=fn_tt_tt_1,English,0
Henry Hobson,428,584,131175,Maggie ,30219,http://www.imdb.com/title/tt1881002/?ref_=fn_tt_tt_1,English,22000
Mike Figgis,687,12000,31968347,Leaving Las Vegas ,93894,http://www.imdb.com/title/tt0113627/?ref_=fn_tt_tt_1,English,0
Duane Journey,555,707,,Hansel & Gretel Get Baked ,2806,http://www.imdb.com/title/tt2081194/?ref_=fn_tt_tt_1,English,0
Dan O'Bannon,358,431,,The Return of the Living Dead ,39857,http://www.imdb.com/title/tt0089907/?ref_=fn_tt_tt_1,English,0
Billy Wilder,116,597,,The Front Page ,9007,http://www.imdb.com/title/tt0071524/?ref_=fn_tt_tt_1,English,661
Rob Cohen,326,3000,35385560,The Boy Next Door ,27198,http://www.imdb.com/title/tt3181822/?ref_=fn_tt_tt_1,English,8000
Carol Reed,69,746,,Trapeze ,3102,http://www.imdb.com/title/tt0049875/?ref_=fn_tt_tt_1,English,283
,904,1000,,Saving Grace             ,3852,http://www.imdb.com/title/tt0830900/?ref_=fn_tt_tt_1,English,634
Lisa Cholodenko,712,14000,20803237,The Kids Are All Right ,110616,http://www.imdb.com/title/tt0842926/?ref_=fn_tt_tt_1,English,16000
John Carpenter,133,355,13008928,They Live ,73501,http://www.imdb.com/title/tt0096256/?ref_=fn_tt_tt_1,English,27000
John Sturges,145,773,,The Great Escape ,165638,http://www.imdb.com/title/tt0057115/?ref_=fn_tt_tt_1,English,8000
William Arntz,428,847,10941801,What the #$*! Do We (K)now!? ,12059,http://www.imdb.com/title/tt0399877/?ref_=fn_tt_tt_1,English,2000
Ed Gass-Donnelly,400,45000,15152879,The Last Exorcism Part II ,13506,http://www.imdb.com/title/tt2034139/?ref_=fn_tt_tt_1,English,0
Richard Linklater,127,230,25359200,Boyhood ,266020,http://www.imdb.com/title/tt1065073/?ref_=fn_tt_tt_1,English,92000
Woody Allen,405,19000,10515579,Scoop ,66840,http://www.imdb.com/title/tt0457513/?ref_=fn_tt_tt_1,English,0
Tim Burton,567,1000,180011740,Planet of the Apes ,177729,http://www.imdb.com/title/tt0133152/?ref_=fn_tt_tt_1,English,0
DJ Pooh,69,522,10097096,The Wash ,5612,http://www.imdb.com/title/tt0290332/?ref_=fn_tt_tt_1,English,842
DJ Pooh,585,939,9821335,3 Strikes ,1415,http://www.imdb.com/title/tt0199290/?ref_=fn_tt_tt_1,English,118
Wayne Kramer,407,658,8243880,The Cooler ,28714,http://www.imdb.com/title/tt0318374/?ref_=fn_tt_tt_1,English,762
John Huston,268,862,,The Misfits ,12981,http://www.imdb.com/title/tt0055184/?ref_=fn_tt_tt_1,English,0
Patrick Stettner,710,49000,7825820,The Night Listener ,13086,http://www.imdb.com/title/tt0448075/?ref_=fn_tt_tt_1,English,576
James Melkonian,27,584,7557877,The Jerky Boys ,2129,http://www.imdb.com/title/tt0110189/?ref_=fn_tt_tt_1,English,138
Wes Craven,255,798,14637490,My Soul to Take ,16411,http://www.imdb.com/title/tt0872230/?ref_=fn_tt_tt_1,English,0
J.A. Bayona,143,382,7159147,The Orphanage ,120189,http://www.imdb.com/title/tt0464141/?ref_=fn_tt_tt_1,Spanish,11000
Michael Tiddes,511,986,17314483,A Haunted House 2 ,14621,http://www.imdb.com/title/tt2828996/?ref_=fn_tt_tt_1,English,0
Roger Avary,968,16000,6525762,The Rules of Attraction ,44339,http://www.imdb.com/title/tt0292644/?ref_=fn_tt_tt_1,English,0
Alfred Hitchcock,148,204,,Topaz ,12677,http://www.imdb.com/title/tt0065112/?ref_=fn_tt_tt_1,English,414
Bob Odenkirk,242,812,4613815,Let's Go to Prison ,19622,http://www.imdb.com/title/tt0454987/?ref_=fn_tt_tt_1,English,931
Allison Anders,960,4000,4301331,Four Rooms ,78241,http://www.imdb.com/title/tt0113101/?ref_=fn_tt_tt_1,English,0
Steven Shainberg,296,769,4046737,Secretary ,67949,http://www.imdb.com/title/tt0274812/?ref_=fn_tt_tt_1,English,15000
Rick de Oliveira,0,960,3713002,The Real Cancun ,3611,http://www.imdb.com/title/tt0360916/?ref_=fn_tt_tt_1,English,131
Oliver Stone,237,721,3468572,Talk Radio ,10073,http://www.imdb.com/title/tt0096219/?ref_=fn_tt_tt_1,English,816
Christopher Guest,611,925,2892582,Waiting for Guffman ,22697,http://www.imdb.com/title/tt0118111/?ref_=fn_tt_tt_1,English,0
Jeff Franklin,545,834,2800000,Love Stinks ,4377,http://www.imdb.com/title/tt0188863/?ref_=fn_tt_tt_1,English,309
John Dahl,90,497,2426851,You Kill Me ,16224,http://www.imdb.com/title/tt0796375/?ref_=fn_tt_tt_1,English,830
Mike Mills,71,730,1325073,Thumbsucker ,18762,http://www.imdb.com/title/tt0318761/?ref_=fn_tt_tt_1,English,708
Kevin Smith,939,1000,,Red State ,53342,http://www.imdb.com/title/tt0873886/?ref_=fn_tt_tt_1,English,16000
Dave McKean,161,420,864959,Mirrormask ,20275,http://www.imdb.com/title/tt0366780/?ref_=fn_tt_tt_1,English,0
Ron Fricke,0,48,2601847,Samsara ,22457,http://www.imdb.com/title/tt0770802/?ref_=fn_tt_tt_1,None,26000
Ruggero Deodato,324,721,800000,The Barbarians ,2308,http://www.imdb.com/title/tt0092615/?ref_=fn_tt_tt_1,English,550
Gavin Wiesen,322,947,1429260,The Art of Getting By ,45293,http://www.imdb.com/title/tt1645080/?ref_=fn_tt_tt_1,English,0
Mora Stephens,842,1000,,Zipper ,4091,http://www.imdb.com/title/tt3346224/?ref_=fn_tt_tt_1,English,987
Mars Callahan,444,979,562059,Poolhall Junkies ,8535,http://www.imdb.com/title/tt0273982/?ref_=fn_tt_tt_1,English,872
Mike Figgis,687,2000,399793,The Loss of Sexual Innocence ,2877,http://www.imdb.com/title/tt0126859/?ref_=fn_tt_tt_1,English,111
Leos Carax,226,690,,Holy Motors ,29440,http://www.imdb.com/title/tt2076220/?ref_=fn_tt_tt_1,French,12000
David Gordon Green,221,12000,371897,Joe ,36494,http://www.imdb.com/title/tt2382396/?ref_=fn_tt_tt_1,English,11000
Stefan Schwartz,159,419,302204,Shooting Fish ,6705,http://www.imdb.com/title/tt0120122/?ref_=fn_tt_tt_1,English,167
Renny Harlin,195,10000,354704,Prison ,2705,http://www.imdb.com/title/tt0095904/?ref_=fn_tt_tt_1,English,314
Robert Lee King,209,945,265107,Psycho Beach Party ,4617,http://www.imdb.com/title/tt0206226/?ref_=fn_tt_tt_1,English,614
Kevin Allen,428,759,185577,The Big Tease ,2133,http://www.imdb.com/title/tt0156639/?ref_=fn_tt_tt_1,English,182
Jorge Ramírez Suárez,69,623,100412,Buen Día, Ramón ,2112,http://www.imdb.com/title/tt2876428/?ref_=fn_tt_tt_1,German,0
David Schwimmer,67,617,58214,Trust ,34224,http://www.imdb.com/title/tt1529572/?ref_=fn_tt_tt_1,English,10000
Barry Levinson,70,736,75078,An Everlasting Piece ,1398,http://www.imdb.com/title/tt0218182/?ref_=fn_tt_tt_1,English,132
Sam Miller,15,578,64359,Among Giants ,811,http://www.imdb.com/title/tt0122906/?ref_=fn_tt_tt_1,English,108
Anne Fontaine,748,18000,317125,Adore ,23334,http://www.imdb.com/title/tt2103267/?ref_=fn_tt_tt_1,English,0
Dan Ireland,476,4000,,The Velocity of Gary ,1555,http://www.imdb.com/title/tt0120878/?ref_=fn_tt_tt_1,English,98
Fernando León de Aranoa,9,331,146402,Mondays in the Sun ,9913,http://www.imdb.com/title/tt0319769/?ref_=fn_tt_tt_1,Spanish,0
Jim Mickle,65,530,18469,Stake Land ,34263,http://www.imdb.com/title/tt1464580/?ref_=fn_tt_tt_1,English,0
,218,254,,Sonny with a Chance             ,7673,http://www.imdb.com/title/tt1252374/?ref_=fn_tt_tt_1,English,325
Stephen Kay,599,18000,12836,The Last Time I Committed Suicide ,1686,http://www.imdb.com/title/tt0119502/?ref_=fn_tt_tt_1,English,161
Karim Aïnouz,9,585,20262,Futuro Beach ,1738,http://www.imdb.com/title/tt2199543/?ref_=fn_tt_tt_1,Portuguese,278
Sam Levinson,2000,3000,,Another Happy Day ,3297,http://www.imdb.com/title/tt1719071/?ref_=fn_tt_tt_1,English,798
Julian Gilbey,641,762,,A Lonely Place to Die ,22220,http://www.imdb.com/title/tt1422136/?ref_=fn_tt_tt_1,English,0
Vincenzo Natali,150,686,,Nothing ,5137,http://www.imdb.com/title/tt0298482/?ref_=fn_tt_tt_1,English,688
Aleksandr Veledinskiy,22,114,,The Geographer Drank His Globe Away ,2488,http://www.imdb.com/title/tt3155604/?ref_=fn_tt_tt_1,Russian,282
Peter H. Hunt,69,713,,1776 ,6303,http://www.imdb.com/title/tt0068156/?ref_=fn_tt_tt_1,English,0
Ruba Nadda,5,223,4063,Inescapable ,2086,http://www.imdb.com/title/tt1844203/?ref_=fn_tt_tt_1,English,657
Howard Hughes,4,431,,Hell's Angels ,3753,http://www.imdb.com/title/tt0020960/?ref_=fn_tt_tt_1,English,279
Edward Burns,183,650,,Purple Violets ,2727,http://www.imdb.com/title/tt0491109/?ref_=fn_tt_tt_1,English,296
Phil Joanou,359,763,,The Veil ,4146,http://www.imdb.com/title/tt3533916/?ref_=fn_tt_tt_1,English,0
Sean Byrne,35,399,,The Loved Ones ,27781,http://www.imdb.com/title/tt1316536/?ref_=fn_tt_tt_1,English,0
Chris Stokes,104,166,,No Vacancy ,1561,http://www.imdb.com/title/tt1854582/?ref_=fn_tt_tt_1,English,531
Mark Griffiths,271,637,,How to Fall in Love ,1929,http://www.imdb.com/title/tt2395247/?ref_=fn_tt_tt_1,English,170
Bruce Macdonald,111,544,,The Perfect Wave ,724,http://www.imdb.com/title/tt2414822/?ref_=fn_tt_tt_1,English,365
Timur Bekmambetov,635,11000,,Ben-Hur ,67,http://www.imdb.com/title/tt2638144/?ref_=fn_tt_tt_1,English,0
Fred Zinnemann,94,559,,A Man for All Seasons ,23713,http://www.imdb.com/title/tt0060665/?ref_=fn_tt_tt_1,English,2000
Sidney Lumet,682,3000,,Network ,103493,http://www.imdb.com/title/tt0074958/?ref_=fn_tt_tt_1,English,17000
Victor Fleming,248,503,198655278,Gone with the Wind ,215340,http://www.imdb.com/title/tt0031381/?ref_=fn_tt_tt_1,English,16000
Richard Raymond,196,507,143653,Desert Dancer ,1177,http://www.imdb.com/title/tt2403393/?ref_=fn_tt_tt_1,English,0
Sam Peckinpah,288,773,14873,Major Dundee ,5294,http://www.imdb.com/title/tt0059418/?ref_=fn_tt_tt_1,English,251
Alan Jacobs,601,881,,Down for Life ,257,http://www.imdb.com/title/tt1056477/?ref_=fn_tt_tt_1,English,237
George Sidney,83,277,8000000,Annie Get Your Gun ,3167,http://www.imdb.com/title/tt0042200/?ref_=fn_tt_tt_1,English,456
Christopher Morris,106,414,304137,Four Lions ,55982,http://www.imdb.com/title/tt1341167/?ref_=fn_tt_tt_1,English,17000
Andrucha Waddington,24,119,,House of Sand ,2650,http://www.imdb.com/title/tt0373747/?ref_=fn_tt_tt_1,Portuguese,385
Peter Stebbings,388,963,37606,Defendor ,31836,http://www.imdb.com/title/tt1303828/?ref_=fn_tt_tt_1,English,0
Vincente Minnelli,48,89,2956000,The Pirate ,3258,http://www.imdb.com/title/tt0040694/?ref_=fn_tt_tt_1,English,359
Dagur Kári,64,117,19959,The Good Heart ,3579,http://www.imdb.com/title/tt0808285/?ref_=fn_tt_tt_1,English,0
Nicholas Hytner,480,3000,2706659,The History Boys ,17770,http://www.imdb.com/title/tt0464049/?ref_=fn_tt_tt_1,English,0
Jaume Collet-Serra,767,14000,61094903,Unknown ,210548,http://www.imdb.com/title/tt1401152/?ref_=fn_tt_tt_1,English,29000
