director_name,director_facebook_likes,gross,movie_title,plot_keywords,num_user_for_reviews,language,content_rating,actor_2_facebook_likes,movie_facebook_likes
Joel Paul Reisig,431,,Horse Camp ,,1,English,PG,96,71
Kristin Rizzo,30,,Give Me Shelter ,independent film,2,English,,683,199
King Vidor,54,,The Big Parade ,chewing gum|climbing a tree|france|translation problems|world war one,45,,Not Rated,12,226
Ward Roberts,12,,Little Big Top ,amateur|circus|clown|unconsciousness|urination,1,English,,185,72
Zoran Lisinac,0,,Along the Roadside ,,2,English,,297,231
Nicolas Winding Refn,0,104792,Bronson ,male full frontal nudity|prison|prisoner|solitary confinement|violence,145,English,R,161,22000
James O'Brien,7,,Western Religion ,arizona|gambling|gunfighter|poker game|year 1879,4,English,,755,244
Tom Putnam,15,111300,Burn ,abandoned building|detroit michigan|firefighter|michigan|urban setting,6,English,Not Rated,0,801
Jon Shear,0,1027119,Urbania ,hot dog bun|needle|new york|rat|tourist,73,English,R,147,72
Al Silliman Jr.,0,,The Stewardesses ,female frontal nudity|female nudity|lesbian sex|lesbianism|sex,5,English,X,12,17
Eugène Lourié,7,5000000,The Beast from 20,000 Fathoms ,arctic|beast|dinosaur|monster|rhedosaurus,88,English,Approved,40,465
Richard Fleischer,130,,20,000 Leagues Under the Sea ,captain|expedition|sea|submarine|whale,108,English,Approved,53,0
George Miller,750,,Mad Max ,biker|motorcycle|motorcycle gang|post apocalypse|woman wearing only a man's shirt,303,English,R,76,10000
Doug Liman,218,4505922,Swingers ,actor|black panties|cult film|friend|upskirt,252,English,R,135,0
Sergio Leone,0,3500000,A Fistful of Dollars ,balladeer|bar|drifter|mexican|revenge,235,Italian,R,360,0
Lowell Sherman,16,,She Done Him Wrong ,captain|marriage proposal|saloon|saloon singer|singer,59,English,Approved,85,328
Maurizio Benazzo,0,381225,Short Cut to Nirvana: Kumbh Mela ,,13,English,Unrated,0,30
David G. Evans,0,2428241,The Grace Card ,christian film|forgiveness|hospital|pastor|police,26,English,PG-13,21,0
Ava DuVernay,151,78030,Middle of Nowhere ,,10,English,R,1000,569
Tom Tykwer,670,59774,3 ,female nudity|full frontal female nudity|male frontal nudity|menage a trois|pubic hair,18,German,Unrated,20,2000
Sherman Alexie,18,174682,The Business of Fancydancing ,funeral|gay|native american protagonist|poet|reservation,14,English,,90,96
Justin Dillon,0,215185,Call + Response ,fair trade|human trafficking|non profit|rockumentary|slavery,2,English,PG-13,58,26
Steven Soderbergh,0,32154410,Side Effects ,clinical trial|female protagonist|neuropharmacology|psychiatrist|side effect,274,English,R,681,29000
Stevan Mena,25,,Malevolence ,abandoned house|bank|robber|swing|witness,112,English,R,25,198
Adam Rifkin,89,,Shooting the Warwicks ,family relationships|husband wife relationship|nudity|reality|reality spoof,1,English,,89,47
Eric Valette,2,,Super Hybrid ,based on comic book|blue bra and panties|female protagonist|girl in bra and panties|killer car,22,English,PG-13,165,0
Jay Duplass,157,140016,Baghead ,actor|cabin|california|paper bag|vomiting,40,English,R,873,443
Livingston Oden,0,,Solitude ,,1,English,,18,267
Chris Marker,121,,The Case of the Grinning Cat ,,4,French,,0,44
Carl Theodor Dreyer,147,,Ordet ,august|doctor|faith|patriarch|prayer,49,Danish,Not Rated,0,863
Marianna Palka,123,15542,Good Dick ,avoidant personality disorder|emotionally vulnerable|sex|video store|video store clerk,51,English,R,985,0
Richard Schenkman,29,,The Man from Earth ,cro magnon|dialogue driven storyline|single set production|single setting|storytelling,638,English,Not Rated,323,46000
Ricki Stern,15,1111,The Trials of Darryl Hunt ,false accusation|murder|north carolina|trial|wrongful conviction,10,English,PG-13,0,246
Nadia Tass,20,,An American Girl Holiday ,courtship|friend|girl|servant|sister,32,English,,194,90
James Kerwin,0,,Yesterday Was a Lie ,claim in title|jazz|jazz singer|sexy woman|time manipulation,10,English,PG,189,83
C. Fraser Press,0,,Theresa Is a Mother ,,1,English,,32,38
Rania Attieh,0,,H. ,,1,English,,79,142
Sharon Greytak,0,,Archaeology of a Woman ,,3,English,,375,66
Majid Majidi,373,925402,Children of Heaven ,class|gardening|race|school|shoe,130,Persian,PG,35,0
Andrew Haigh,131,469947,Weekend ,coming out|fellatio|male in bathtub|male nudity|nudity,68,English,Not Rated,75,0
Spike Lee,0,7137502,She's Gotta Have It ,female nudity|male model|nudity|rite of passage|sex,26,English,R,53,406
Cary Bell,0,,Butterfly Girl ,,1,English,,0,88
Nicolae Constantin Tanase,0,,The World Is Mine ,,1,Romanian,,0,34
Mike Cahill,135,1316074,Another Earth ,duplicate earth|janitor|planet|solar system|synchronicity,228,English,PG-13,399,21000
Jason Stone,14,,The Calling ,bouquet|house fire|praying|serial killer|tied to a chair,28,English,R,1000,0
Melvin Van Peebles,101,15180000,Sweet Sweetback's Baadasssss Song ,black panther|hells angels|on the run|racist|racist cop,50,English,R,535,566
Ken Roht,0,,Perfect Cowboy ,country singer|father son relationship|music group,,English,,54,65
Gary Winick,56,2882062,Tadpole ,best friend|boy|french|friend|love,101,English,PG-13,346,132
John Carney,109,9437933,Once ,immigrant|independent film|song|street|vacuum cleaner,329,English,R,96,26000
Robinson Devor,14,110720,The Woman Chaser ,car salesman|filmmaking|pulp fiction|santa claus suit|truck driver,22,English,,23,73
Michel Orion Scott,0,155984,The Horse Boy ,horse|journey|mongolia|shaman|travel,9,English,Unrated,2,0
Pat Holden,6,,When the Lights Went Out ,father daughter relationship|poltergeist|spirit|stairway|urination,27,English,,204,0
Eric Bugbee,0,,Heroes of Dirt ,bike|bmx|drugs|troubled teen|youth,1,English,PG-13,36,197
Tobe Hooper,365,30859000,The Texas Chain Saw Massacre ,cannibal|chainsaw|hitchhiker|independent film|leatherface,826,English,R,371,0
Bill Melendez,36,,A Charlie Brown Christmas ,christmas|christmas tree|commercialism|meaning of christmas|tree,126,English,TV-G,36,0
Dena Seidel,0,4914,Antarctic Edge: 70° South ,,2,English,,0,215
Deborah Anderson,4,,Aroused ,aroused|photography|pornography documentary|pornstar,9,English,,366,207
Sara Newens,0,5858,Top Spin ,,2,English,,0,116
Michael Moore,909,6706368,Roger & Me ,factory|flint michigan|general motors|michigan|quest,133,English,R,91,667
Paul Schrader,261,,Cat People ,cat|cat people|leopard|love|slip the undergarment,106,English,R,782,0
Sai Varadan,0,,An American in Hollywood ,place name in title,3,English,R,180,72
Zal Batmanglij,129,405614,Sound of My Voice ,cult|cult leader|female nudity|greedy institution|manipulation,69,English,R,119,0
Amal Al-Agroobi,58,,The Brain That Sings ,autism|middle east|music therapy|united arab emirates,,Arabic,,,54
Andrew Berends,0,,The Blood of My Brother ,american|blood|dream|patrol|tank,7,English,,,14
Lynn Shelton,100,1573712,Your Sister's Sister ,drunken sex|mashed potatoes|pancakes|tequila|title directed by female,62,English,R,128,3000
Valentine,0,,Romantic Schemer ,,,English,PG-13,0,0
David Hewlett,686,,A Dog's Breakfast ,dog|vegetarian,46,English,,686,377
David Hewlett,686,,A Dog's Breakfast ,dog|vegetarian,46,English,,686,377
George A. Romero,0,,Night of the Living Dead ,cemetery|farmhouse|radiation|running out of gas|zombie,580,English,Unrated,108,0
Jean-Luc Godard,0,,Une Femme Mariée ,acting|actor|face slap|fashion|magazine,10,French,,7,187
Nate Parker,664,,The Birth of a Nation ,,8,English,R,664,0
Nathan Smith Jones,7,,The Work and the Story ,latter day saints|lds film|mock documentary|mormon|mormonism,5,English,,81,0
Alex Kendrick,589,10174663,Facing the Giants ,christian|coach|faith|football|football team,382,English,PG,150,0
Travis Cluff,3,22757819,The Gallows ,breaking and entering|gallows|hanging|high school|stage,150,English,R,40,0
David Lynch,0,,Eraserhead ,apartment|baby|deformed baby|factory|surrealism,535,English,Unrated,158,0
Harry F. Millarde,0,3000000,Over the Hill to the Poorhouse ,family relationships|gang|idler|poorhouse|thief,1,,,2,0
Robert Townsend,467,5228617,Hollywood Shuffle ,actor|african american|dream|two word title|written and directed by cast member,32,English,R,322,471
Peter Chelsom,23,2643689,The Mighty ,book|friendship|knight|learning disability|tutor,113,English,PG-13,577,0
Jamaa Fanaka,9,,Penitentiary ,blaxploitation|boxing|convict|drifter|false accusation,10,English,R,24,157
Larry Blamire,56,110536,The Lost Skeleton of Cadavra ,alien|cave|husband wife relationship|monster|skeleton,118,English,PG,76,0
Stephen Langford,7,,Dude, Where's My Dog?! ,,4,English,PG,134,178
E.L. Katz,3,59379,Cheap Thrills ,cocaine|extramarital affair|sex|shooting|violence,52,English,Not Rated,982,0
Lisanne Pajot,0,,Indie Game: The Movie ,movie in title,23,English,Not Rated,0,0
Dan Reed,3,,Closure ,countryside|night|party|rape|scar,44,English,R,279,246
John Reinhardt,2,,Open Secret ,anti semitism|gangster,9,English,Approved,86,10
Patrick Ryan Sims,0,,Echo Dr. ,android|artificial intelligence|home invasion|security system|tech noir,1,English,,18,17
Laslo Benedek,6,,The Night Visitor ,escape|independent film|mental illness|prison|revenge,19,English,GP,98,65
Jason Miller,0,,The Past is a Grotesque Animal ,artist|band|male rear nudity|sexuality|stage,1,English,Unrated,0,82
Dennis Iliadis,29,32721635,The Last House on the Left ,kidnapping|lake|microwave oven|psychopath|woods,279,English,R,878,0
Sut Jhally,3,,Peace, Propaganda & the Promised Land ,arab israeli conflict|israel|media|middle east|palestine,13,English,,0,110
Darren Aronofsky,0,3216970,Pi ,mathematician|nature|numbers|pattern|using a metal detector on a beach,586,English,R,512,24000
Julie Davis,12,33598,I Love You, Don't Touch Me! ,female frontal nudity|female rear nudity|title directed by female|virgin|written and directed by cast member,15,English,R,166,97
Myles Berkowitz,0,536767,20 Dates ,fake documentary|hidden camera|mockumentary|narrative|reality show,83,English,R,184,30
Brett Piper,7,,Queen Crab ,,18,English,,15,34
Morgan Spurlock,293,11529368,Super Size Me ,experiment|fast food|food industry|meal|overeating,404,English,PG,0,0
Brandon Trost,32,40557,The FP ,abbreviation in title|based on short film|competition dancing|dystopia|location in title,22,English,R,407,0
Joe Swanberg,217,30084,Happy Christmas ,chicago illinois|drink|drinking|filmmaker|writer,23,English,R,969,812
Joseph Green,2,,The Brain That Wouldn't Die ,brain|fiance|laboratory|surgeon|surgery,152,English,Approved,16,1000
Wade Gasque,0,,Tiger Orange ,coming out|father son relationship|gay|gay brother|toilet sex,8,English,Unrated,87,182
Daniel Schechter,8,,Supporting Characters ,film editor|kiss|marriage proposal|movie screening|urination,4,English,Not Rated,778,209
Mike Flanagan,59,,Absentia ,anticipate|dead in absentia|foetus|tunnel|unreliable narration,136,English,R,28,3000
Edward Burns,0,10246600,The Brothers McMullen ,abusive father|critically acclaimed|loss of father|love|true love,36,English,R,111,265
Matt Johnson,8,,The Dirties ,best friend|bully|friend|revenge|school,40,English,Not Rated,19,1000
Bruno Barreto,9,,Gabriela ,based on novel|brazil|female underarm hair|sex in a window|star appears nude,9,Portuguese,R,308,114
Lena Dunham,969,389804,Tiny Furniture ,adult returns home|girl with glasses|hipster|shower|title directed by female,35,English,Not Rated,529,0
