num_critic_for_reviews,actor_2_name,gross,genres,movie_title,facenumber_in_poster,plot_keywords,content_rating,title_year,actor_2_facebook_likes
284,Duane Jones,,Drama|Horror|Mystery,Night of the Living Dead ,5,cemetery|farmhouse|radiation|running out of gas|zombie,Unrated,1968,108
265,Bill Murray,44566004,Drama,Lost in Translation ,0,fish out of water|japanese|loneliness|older man younger woman relationship|unlikely friendship,R,2003,13000
154,Carol Kane,39200000,Comedy|Romance,Annie Hall ,0,breaking the fourth wall|comedian|jewish|neurosis|singer,PG,1977,636
44,Dorothy Lamour,36000000,Drama|Family|Romance,The Greatest Show on Earth ,0,circus|clown|elephant trainer|trapeze|trapeze artist,Not Rated,1952,178
314,María Valverde,65007045,Action|Adventure|Drama,Exodus: Gods and Kings ,0,egypt|exodus|moses|pharaoh|plague,PG-13,2014,892
153,Peter Boyle,31252964,Drama|Romance,Monster's Ball ,1,cunnilingus|female frontal nudity|female nudity|interracial sex|rear entry sex,R,2001,595
256,J.D. Evermore,131175,Drama|Horror,Maggie ,2,father daughter relationship|playing against type|post apocalypse|protective father|zombie apocalypse,PG-13,2015,430
123,Valeria Golino,31968347,Drama|Romance,Leaving Las Vegas ,0,alcoholic|bar|love|prostitute|sex,R,1995,898
46,Lara Flynn Boyle,,Comedy|Horror,Hansel & Gretel Get Baked ,0,hansel and gretel|lesbian kiss|marijuana|witch|witchcraft,,2013,619
203,Clu Gulager,,Comedy|Horror|Sci-Fi,The Return of the Living Dead ,0,crematorium|female frontal nudity|naked dead woman|paramedic|poison gas,R,1985,426
34,Harold Gould,,Comedy|Drama|Romance,The Front Page ,2,1920s|communist|escape from jail|newspaper|reporter,PG,1974,222
149,Hill Harper,35385560,Mystery|Thriller,The Boy Next Door ,1,adultery|argument|older woman younger man relationship|oral sex|sex scene,R,2015,465
20,Katy Jurado,,Drama|Romance,Trapeze ,0,acrobat|circus|cripple|trapeze|trapeze artist,Approved,1956,119
9,Dylan Minnette,,Drama|Fantasy,Saving Grace             ,1,catholic|death row|inmate|oklahoma city|sexual promiscuity,TV-MA,,1000
323,Mia Wasikowska,20803237,Comedy|Drama,The Kids Are All Right ,1,biological father|college|motorcycle|sperm|sperm donor,R,2010,3000
172,Peter Jason,13008928,Horror|Sci-Fi|Thriller,They Live ,0,alien|brainwashing|construction worker|sunglasses|teleportation,R,1988,151
111,Donald Pleasence,,Adventure|Drama|History|Thriller|War,The Great Escape ,0,digging|escape|escape attempt|prisoner|tunnel,Approved,1963,742
74,Elaine Hendrix,10941801,Comedy|Documentary|Drama|Fantasy|Mystery|Sci-Fi,What the #$*! Do We (K)now!? ,0,consciousness|photographer|radical|science|scientist,Unrated,2004,670
161,Spencer Treat Clark,15152879,Drama|Horror|Thriller,The Last Exorcism Part II ,0,car fire|evil|hospital|hotel|prophecy,PG-13,2013,541
548,Lorelei Linklater,25359200,Drama,Boyhood ,0,12 year time span|coming of age|domestic abuse|growing up|separated parents,R,2014,193
177,Kevin McNally,10515579,Comedy|Crime|Mystery,Scoop ,0,english garden|fake drowning|fake parent|musical instrument|poker the card game,PG-13,2006,427
230,Estella Warren,180011740,Action|Adventure|Sci-Fi|Thriller,Planet of the Apes ,0,astronaut|cage|planet|wilhelm scream|year 2029,PG-13,2001,658
27,Dr. Dre,10097096,Comedy,The Wash ,2,african american stereotype|car wash|rent|roommate|threatening telephone call,R,2001,231
22,Mike Epps,9821335,Comedy,3 Strikes ,1,adult diaper|diaper|digit in title|dream|sawed off shotgun,R,2000,706
157,Paul Sorvino,8243880,Crime|Drama|Fantasy|Romance,The Cooler ,1,female pubic hair|girl in panties|leg spreading|public nudity|sex in bed,R,2003,636
70,Kevin McCarthy,,Drama|Romance|Western,The Misfits ,2,cowboy|divorce|horse|sexy|wild horse,Approved,1961,403
125,Joe Morton,7825820,Crime|Mystery|Thriller,The Night Listener ,0,boy|radio show|social worker|telephone|wisconsin,R,2006,780
10,William Hickey,7557877,Comedy|Crime,The Jerky Boys ,0,critically bashed|mafia|police|telephone|unemployment,R,1995,246
160,Emily Meade,14637490,Horror|Mystery|Thriller,My Soul to Take ,2,evil|killer|murder|psychopath|serial killer,R,2010,374
300,Belén Rueda,7159147,Drama|Mystery|Thriller,The Orphanage ,0,dead children|ghost|missing child|orphan|orphanage,R,2007,273
69,Essence Atkins,17314483,Comedy|Fantasy,A Haunted House 2 ,2,bare breasts|parody|sexual innuendo|slip and fall|squirting orgasm,R,2014,713
143,Faye Dunaway,6525762,Comedy|Drama|Romance,The Rules of Attraction ,2,bisexual|college|drug dealer|drugs|student,R,2002,977
50,John Vernon,,Drama|Thriller,Topaz ,0,1960s|agent|cuba|intelligence|spy,M,1969,187
46,Chi McBride,4613815,Comedy|Crime,Let's Go to Prison ,0,illinois|judge|male full back nudity|revenge|wine tasting,R,2006,466
51,Alicia Witt,4301331,Comedy|Fantasy,Four Rooms ,6,bellhop|coven|gangster|hotel|new year's eve,R,1995,975
163,Stephen McHattie,4046737,Comedy|Drama|Romance,Secretary ,1,bdsm|employer employee relationship|hospital|mental hospital|secretary,R,2002,413
52,Alan Taylor,3713002,Documentary,The Real Cancun ,1,cancun mexico|mexico|spring break|vacation|wisconsin,R,2003,12
40,Zach Grenier,3468572,Drama,Talk Radio ,0,listener|neo nazi|radio|radio station|radio talk show,R,1988,246
50,Fred Willard,2892582,Comedy,Waiting for Guffman ,0,amateur theater|dentist|missouri|small town|travel agent,R,1996,729
45,Tyra Banks,2800000,Comedy,Love Stinks ,3,black comedy|marriage|marriage proposal|not taking no for an answer|obsessive woman,R,1999,625
121,Aaron Hughes,2426851,Comedy|Crime|Romance|Thriller,You Kill Me ,1,alcoholic|buffalo new york|claim in title|embalming|mortuary,R,2007,113
114,Lou Taylor Pucci,1325073,Comedy|Drama,Thumbsucker ,0,attention deficit disorder|debate|drugs|psychologist|school,R,2005,394
270,Michael Angarano,,Action|Crime|Horror|Thriller,Red State ,0,atf agent|ball gag|cult leader|pastor|pretending to be dead,R,2011,947
116,Gina McKee,864959,Adventure|Fantasy,Mirrormask ,0,circus|dark fantasy|dream|dream world|fantasy world,PG,2005,291
115,Balinese Tari Legong Dancers,2601847,Documentary|Music,Samsara ,0,hall of mirrors|mont saint michel france|palace of versailles|turkey the country|yellowstone national park,PG-13,2011,0
15,Eva LaRue,800000,Adventure|Fantasy,The Barbarians ,0,bare breasts|comic relief|dragon|gladiator|harem,R,1987,576
122,Blair Underwood,1429260,Drama|Romance,The Art of Getting By ,1,art teacher|artist|high school|homework|principal,PG-13,2011,685
35,Alexandra Breckenridge,,Drama|Thriller,Zipper ,0,escort|f word|no opening credits|one word title|prosecutor,R,2015,1000
41,Ricky Schroder,562059,Drama|Thriller,Poolhall Junkies ,4,beating|hustler|jail|money|revenge,R,2002,665
31,Saffron Burrows,399793,Drama,The Loss of Sexual Innocence ,0,1950s|italian|murder|tunisia|vomiting,R,1999,811
332,Leos Carax,,Drama|Fantasy,Holy Motors ,0,boudoir|death|insanity|male full frontal nudity|penis,Not Rated,2012,227
232,Tye Sheridan,371897,Drama,Joe ,2,alcoholic|cigarette smoking|father son relationship|teenage boy|woods,R,2013,1000
43,Dan Futterman,302204,Comedy|Crime|Romance,Shooting Fish ,3,con artist|money|orphan|scam|secretary,PG,1997,254
68,Lane Smith,354704,Crime|Drama|Horror|Thriller,Prison ,0,electric chair|haunting|prison|prisoner|revenge,R,1987,633
51,Kathleen Robertson,265107,Comedy|Horror|Mystery,Psycho Beach Party ,1,cliche|exchange student|slasher|spoof|surfing,Unrated,2000,774
33,Frances Fisher,185577,Comedy,The Big Tease ,1,competition|fake documentary|hairdresser|nudity|reference to liberace,R,1999,638
26,Adriana Barraza,100412,Drama,Buen Día, Ramón ,0,,PG-13,2013,85
109,Jordan Trovillion,58214,Crime|Drama|Thriller,Trust ,0,counselor|fbi|revenge motive|school|teenage girl,R,2010,163
34,Brían F. O'Byrne,75078,Comedy,An Everlasting Piece ,4,alopecia|belfast northern ireland|ireland|irish republican army|scalper,R,2000,450
31,Alan Williams,64359,Comedy|Romance,Among Giants ,1,australian|female armpit hair|friend|sheffield|yorkshire,R,1998,29
141,Naomi Watts,317125,Drama|Romance,Adore ,0,beach|friend|friendship|happiness|neighbor,R,2013,6000
19,Danny Arroyo,,Comedy|Drama|Romance,The Velocity of Gary ,0,dying|hospital|parenthesis in title|punctuation in title|tears,R,1998,575
64,Enrique Villén,146402,Comedy|Drama,Mondays in the Sun ,1,australia|bar|shipyard|siamese twins|tuna,R,2002,27
215,Michael Cerveris,18469,Drama|Horror|Sci-Fi,Stake Land ,1,canada|post apocalypse|road movie|vampire|vampire hunter,R,2010,238
5,Tiffany Thornton,,Comedy|Family|Romance,Sonny with a Chance             ,1,cafeteria|female protagonist|rival|teenage girl|teenager,TV-G,,248
12,Marg Helgenberger,12836,Biography|Drama,The Last Time I Committed Suicide ,1,1940s|female bare foot|picket fence|tire|vomiting,R,1997,759
70,Clemens Schick,20262,Drama,Futuro Beach ,2,gay|male frontal nudity|male nudity|male rear nudity|nudity,Unrated,2014,29
46,Ezra Miller,,Comedy|Drama,Another Happy Day ,4,countryside|marriage|maryland|usa|wedding,R,2011,3000
135,Eamonn Walker,,Action|Adventure|Crime|Thriller,A Lonely Place to Die ,1,kidnapper|mountaineering|scotland|scottish highlands|sniper,R,2011,706
38,Angelo Tsarouchas,,Comedy|Fantasy,Nothing ,0,imagination|one word title|part animation|surrealism|virtual reality,R,2003,246
8,Elena Lyadova,,Adventure|Drama,The Geographer Drank His Globe Away ,0,rafting|russia|school|student|teacher,,2013,45
34,Ken Howard,,Drama|Family|History|Musical,1776 ,0,continental congress|debate|declaration of independence|massachusetts|pennsylvania,PG,1972,649
36,Bonnie Lee Bouman,4063,Drama|Mystery|Romance|Thriller,Inescapable ,3,,R,2012,11
35,Marian Marsh,,Drama|War,Hell's Angels ,1,bomb|bombing mission|munitions|oxford|royal flying corps,Passed,1930,12
6,Rosemarie DeWitt,,Comedy|Drama|Romance,Purple Violets ,5,directed by star|written and directed by cast member,,2007,536
39,Shannon Woodward,,Horror,The Veil ,2,documentary crew|mass suicide|survivor|tied feet|tied up while barefoot,R,2016,637
182,Jessica McNamee,,Horror|Thriller,The Loved Ones ,1,escape|high school|high school prom|prom|prom king,R,2009,129
14,Rachel Sterling,,Horror,No Vacancy ,0,motel|psychopath|psychopathic killer|road trip|vomiting,R,2012,134
3,Gina Holden,,Comedy|Romance,How to Fall in Love ,2,,TV-G,2012,346
3,Cheryl Ladd,,Adventure|Biography|Drama|Romance,The Perfect Wave ,1,boyfriend girlfriend relationship|friend|praying|surfing|wave,PG,2014,476
1,Ayelet Zurer,,Adventure|Drama|History,Ben-Hur ,2,chariot race|epic|false accusation|jerusalem|slave,PG-13,2016,744
62,Susannah York,,Biography|Drama|History,A Man for All Seasons ,0,catholic|chancellor|divorce|king henry viii|thomas more,Approved,1966,269
161,Faye Dunaway,,Drama|Romance,Network ,0,media|monologue|television|television network|television news,R,1976,977
157,George Reeves,198655278,Drama|History|Romance|War,Gone with the Wind ,1,battle of the sexes|gallantry|honesty|indifference|scandal,G,1939,384
31,Reece Ritchie,143653,Biography|Drama,Desert Dancer ,0,dance|dancer|dancing|desert|iran,PG-13,2014,236
53,Slim Pickens,14873,Adventure|War|Western,Major Dundee ,2,apache|apache indian|confederate|mexico|scout,Approved,1965,575
1,Laz Alonso,,Drama,Down for Life ,3,latina|south central los angeles,R,2009,826
21,Howard Keel,8000000,Biography|Comedy|Musical|Romance|Western,Annie Get Your Gun ,0,girl|gun|love|sharpshooter|the end,Passed,1950,244
246,Riz Ahmed,304137,Comedy|Crime|Drama,Four Lions ,0,accidental shooting|bird|crow|exploding animal|muslim,R,2010,365
42,Seu Jorge,,Drama,House of Sand ,1,1910s|desert|dunes|goat|slave,R,2005,69
78,Tony Nappo,37606,Comedy|Crime|Drama,Defendor ,0,gun running|organized crime|pimp|superhero|vigilante,R,2009,654
41,Reginald Owen,2956000,Adventure|Comedy|Musical|Romance,The Pirate ,0,hoop|horseback riding|love|pirate|singer,Approved,1948,78
61,Susan Blommaert,19959,Drama,The Good Heart ,2,bar|bartender|death|heart attack|mentor protege relationship,R,2009,64
112,Russell Tovey,2706659,Comedy|Drama,The History Boys ,0,gay|headmaster|oxford|school|teacher,R,2006,796
349,Frank Langella,61094903,Action|Mystery|Thriller,Unknown ,3,agriculture|airport|amnesia|nurse|scientist,PG-13,2011,902
55,Jamie Farr,,Comedy|Drama|War,M*A*S*H             ,5,colonel|doctor|korean war|major|nurse,TV-PG,,421
88,Barnard Hughes,,Drama,Midnight Cowboy ,2,gay|homosexual|homosexuality|hustler|male rear nudity,X,1969,89
122,Mark Addy,45857453,Comedy|Drama|Music,The Full Monty ,3,dole|male stripper|northern england|steel worker|unemployment,R,1997,891
134,Lloyd Bridges,83400000,Comedy,Airplane! ,0,air traffic controller|airplane|airport|pilot|spoof,PG,1980,575
11,Max Ryan,,Action|Thriller,Chain of Command ,3,army|michael jai white|ohio|steve austin,R,2015,872
20,John Witherspoon,27900000,Comedy|Drama,Friday ,1,bully|drug dealer|first part|neighbor|neighborhood,R,1995,723
28,Larenz Tate,27900000,Crime|Drama|Thriller,Menace II Society ,2,1990s|escape|graduation|hustler|street,R,1993,582
22,Gabourey Sidibe,,Drama|Music,Empire             ,2,music business|new york city|record executive|record label|singer,TV-14,,906
95,Holt McCallany,14000000,Comedy|Fantasy|Horror|Thriller,Creepshow 2 ,0,anthology|hit and run|hit by a car|living statue|melting woman,R,1987,273
31,Jason Robards,,Comedy|Drama|Romance|Western,The Ballad of Cable Hogue ,2,desert|partner|prostitute|stagecoach|water,R,1970,372
79,Robert Blake,,Biography|Crime|Drama|History,In Cold Blood ,1,homoeroticism|kansas|murder|police|robbery,Approved,1967,220
25,Peter Finch,,Drama,The Nun's Story ,0,belgium|congo|convent|nun|nurse,Not Rated,1959,139
22,Robert Wagner,,Action|Crime|Drama|Mystery|Thriller,Harper ,1,kidnapping|los angeles california|neo noir|private detective|ransom,Not Rated,1966,481
110,Jean Marsh,,Thriller,Frenzy ,0,penknife|police|rape|serial killer|united kingdom,R,1972,146
425,Kate Dickie,25138292,Horror|Mystery,The Witch ,0,black magic|goat|isolation|naked woman|witch,R,2015,191
19,Master P,10305534,Comedy,I Got the Hook Up ,2,friend|obscenity|scam|vacant lot|van,R,1998,118
43,Frank Vincent,9449219,Comedy|Drama|Romance,She's the One ,2,claim in title|infidelity|irish american|love|sex,R,1996,356
127,Lynn Redgrave,6390032,Biography|Drama,Gods and Monsters ,2,friendship|gardener|gay interest|homosexual|memory,R,1998,258
262,Soledad Villamil,20167424,Drama|Mystery|Thriller,The Secret in Their Eyes ,0,investigation|justice|murder|suspect|tension,R,2009,88
184,John Amplas,,Horror,Day of the Dead ,1,bunker|experiment|military|research|scientist,Unrated,1985,177
33,Gloria Votsis,,Horror|Thriller,Train ,1,blood splatter|heart ripped out|jock strap|train|vomiting,R,2008,209
252,Dan Hicks,5923044,Comedy|Fantasy|Horror|Thriller,Evil Dead II ,0,cabin|cabin in the woods|demon|evil dead|woods,X,1987,328
31,J.B. Smoove,3293258,Action|Adventure|Comedy|Musical,Pootie Tang ,0,based on sketch comedy|corporation|cult film|evil corporation|sex,PG-13,2001,555
139,John Heard,,Horror,Sharknado ,0,cult film|hurricane|school bus|shark|shark feature,TV-14,2013,697
39,Zaide Silvia Gutiérrez,886410,Drama|History,La otra conquista ,0,1520s|aztec|indian|spanish colonization|spanish conquest,R,1998,16
337,Johanna Mørck,252652,Comedy|Drama|Fantasy|Horror,Trollhunter ,0,bear|cameraman|hunter|secret government agency|troll,PG-13,2010,4
30,Fred Willard,220234,Comedy|Romance,Ira & Abby ,3,erectile dysfunction|mugger|mugging|subway robbery|therapy,R,2006,729
265,Nicholas Braun,34350553,Action|Comedy|Sci-Fi,The Watch ,4,alien|escape|manager|neighborhood watch|ohio,R,2012,591
50,Will Ferrell,101228,Comedy|Drama,Winter Passing ,4,love|michigan|musician|novelist|student,R,2005,8000
50,Geoff Stults,96793,Action|Comedy|Romance,D.E.B.S. ,3,1959 cadillac|diamonds|female villain|force field|voyeurism,PG-13,2004,756
9,Mykel Shannon Jenkins,123777,Action|Biography|Crime|Drama|Family|Fantasy,The Masked Saint ,0,,PG-13,2016,294
15,Christian Campbell,,Crime|Drama|Mystery|Thriller,The Betrayed ,0,blood splatter|ski mask|stolen money|vomiting|warehouse,,2008,168
5,Elizabeth Berkley,,Action|Comedy|Crime|Thriller,Taxman ,6,bar|box office flop|dance|one word title|voice over narration,R,1998,893
1,Ash Cook,,Drama|Thriller,The Secret             ,3,adultery|baptist church|dentist|double murder|tv mini series,,,133
4,Kevin Pollak,,Horror|Thriller,2:13 ,0,death|forensic|murder|profiler|serial killer,,2009,574
44,Mark Valley,,Action|Animation|Crime|Sci-Fi|Thriller,Batman: The Dark Knight Returns, Part 2 ,0,batman|joker|mutant|tattoo on breast|the joker,PG-13,2013,774
6,Jerry Brown,29233,Documentary,Time to Choose ,0,,,2015,3
17,Shelly Varod,,Action|Adventure|Fantasy|Thriller,In the Name of the King: The Last Job ,1,castle|dragon|kidnapping|satire|sword and sorcery,R,2014,145
7,Jake Busey,,Action|Crime|Drama|Thriller,Wicked Blood ,2,chess|drugs|love|meth|pawn,Not Rated,2014,660
