director_facebook_likes,num_voted_users,cast_total_facebook_likes,plot_keywords,title_year,actor_2_facebook_likes
37,17309,4262,bondage gear|bound and gagged|hung by one's wrists|tied to a chair|tied to a table,2002,886
80,35990,20503,antidote|based on young adult novel|flyer|spider|vampire,2009,4000
118,28618,12876,assistant|experiment|frankenstein|medical student|scientist,2015,1000
0,46205,3096,christmas|duplex|television|tenant|writer,2003,627
92,7794,4103,band|masturbation|reunion|singer|tribute,2008,760
5,2933,1883,military|mineral|ocean|ship|titanic,1980,372
7,24216,4024,combat|computer|general|military|reporter,1999,577
22,121432,14127,future|mission|space|spaceship|survival,2009,2000
39,19986,2664,alien|android|bomb|future|weapon,2001,1000
18,4821,4123,commercial|extreme sports|mountain|serbian|terrorist,2002,545
8,15130,1149,alternate history|alternate timeline|flatulence|future time travel|time travel comedy,2001,248
0,190132,11623,astronaut|earth|future|icarus|sun,2007,372
48,30842,222,box office flop|buddhist|liar|literary agent|magical tree,2012,46
0,2458,2449,box office flop|computer animation|one word title|surrealism|villainess,2008,754
180,28429,1686,assassination|blood vomiting|death|hit squad|mercenary,2015,535
13,20201,15638,14 year old|british|gadget|spy|training,2006,460
154,186982,2288,binoculars|electronic tag|house arrest|neighbor|watching someone,2007,617
34,54650,13821,computer|computer virus|cyberpunk|fight the system|sexual fantasy,1995,922
47,22010,504,bosnia|cia|fox|hunt|war criminal,2007,3
0,65474,2612,art deco|board of directors|industry|mail|stock,1994,970
31,22897,6267,assassination|blood brother|dynasty|general|stabbing a woman,2007,755
44,3322,2115,1800s|kazakhstan|nomad,2005,580
584,181472,12286,closed ecological system|perpetual winter|population control|revolt|train,2013,557
10,15790,3243,belle epoque|city name in title|monster|paris france,2011,559
23,3789,5240,fbi|movie producer|sting operation|undercover|urination,2004,894
295,136580,2630,back from the dead|crime boss|crow|gothic|vigilante,1994,581
50,62756,554,ancient india|dual role|good versus evil|hindu|kingdom,2015,133
