num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,cast_total_facebook_likes,movie_imdb_link,num_user_for_reviews,budget,title_year,imdb_score,aspect_ratio
64,94,261,179,12000,,Drama|Thriller,Nicolas Cage,Dying of the Light ,12676,http://www.imdb.com/title/tt1274586/?ref_=fn_tt_tt_1,47,5000000,2014,4.4,2.35
8,109,3,126,1000,,Action|Drama|Thriller|War,James Frain,Born of War ,1681,http://www.imdb.com/title/tt1554921/?ref_=fn_tt_tt_1,3,5000000,2014,4.4,
64,130,0,826,1000,,Action|Sci-Fi|Thriller,David Huddleston,Capricorn One ,5191,http://www.imdb.com/title/tt0077294/?ref_=fn_tt_tt_1,153,5000000,1977,6.8,2.35
2,,3,723,975,,Comedy|Drama,Michael Rapaport,Should've Been Romeo ,4991,http://www.imdb.com/title/tt1717210/?ref_=fn_tt_tt_1,2,5000000,2012,6.7,
,88,14,668,784,,Family,David Raizor,Running Forever ,3021,http://www.imdb.com/title/tt4453560/?ref_=fn_tt_tt_1,,5000000,2015,8.6,
35,88,0,1000,40000,,Comedy|Fantasy|Horror|Thriller,Johnny Depp,Yoga Hosers ,46115,http://www.imdb.com/title/tt3838992/?ref_=fn_tt_tt_1,4,5000000,2016,4.8,
21,97,20,538,741,,Action|Horror,Mikal Vega,Navy Seals vs. Zombies ,2849,http://www.imdb.com/title/tt4511566/?ref_=fn_tt_tt_1,14,,2015,3.4,
99,113,44,4,61,617228,Comedy|Drama|Romance|War,Julia Jentsch,I Served the King of England ,92,http://www.imdb.com/title/tt0284363/?ref_=fn_tt_tt_1,27,84450000,2006,7.4,1.85
115,99,766,269,595,274385,Comedy|Drama,Udo Kier,Soul Kitchen ,1519,http://www.imdb.com/title/tt1244668/?ref_=fn_tt_tt_1,26,4000000,2009,7.3,1.85
104,148,0,263,3000,24475416,Drama,Robert Duvall,Sling Blade ,3967,http://www.imdb.com/title/tt0117666/?ref_=fn_tt_tt_1,309,890000,1996,8.0,1.85
195,107,58,537,874,,Horror|Thriller,Isaac Hempstead Wright,The Awakening ,2363,http://www.imdb.com/title/tt1687901/?ref_=fn_tt_tt_1,112,3000000,2011,6.5,2.35
303,93,0,581,1000,47277326,Horror,Jay Hernandez,Hostel ,2990,http://www.imdb.com/title/tt0450278/?ref_=fn_tt_tt_1,1516,4800000,2005,5.9,2.35
122,94,187,427,1000,1247453,Comedy|Drama,Steve Coogan,Tristram Shandy: A Cock and Bull Story ,3690,http://www.imdb.com/title/tt0423409/?ref_=fn_tt_tt_1,123,2800000,2005,6.8,2.35
359,121,337,41,982,1729969,Drama|Thriller,Katy Mixon,Take Shelter ,1520,http://www.imdb.com/title/tt1675192/?ref_=fn_tt_tt_1,219,5000000,2011,7.4,2.35
130,118,7,339,968,1705139,Fantasy|Horror|Mystery|Thriller,Alex Rocco,Lady in White ,2545,http://www.imdb.com/title/tt0095484/?ref_=fn_tt_tt_1,69,4700000,1988,6.7,1.85
64,98,16,621,10000,238774,Comedy|Drama,Rupert Grint,Driving Lessons ,11703,http://www.imdb.com/title/tt0446687/?ref_=fn_tt_tt_1,70,,2006,6.8,1.85
13,82,0,316,927,,Comedy|Crime,Donald Faison,Let's Kill Ward's Wife ,2469,http://www.imdb.com/title/tt2980708/?ref_=fn_tt_tt_1,11,5000000,2014,5.4,
159,101,365,14,237,8025872,Comedy|Horror,Bill Johnson,The Texas Chainsaw Massacre 2 ,302,http://www.imdb.com/title/tt0092076/?ref_=fn_tt_tt_1,258,4700000,1986,5.5,1.85
54,106,541,372,773,,Biography|Drama|Romance|Western,James Coburn,Pat Garrett & Billy the Kid ,2409,http://www.imdb.com/title/tt0070518/?ref_=fn_tt_tt_1,106,4638783,1973,7.4,2.35
440,90,0,428,33000,778565,Crime|Drama,Ryan Gosling,Only God Forgives ,34779,http://www.imdb.com/title/tt1602613/?ref_=fn_tt_tt_1,475,4800000,2013,5.7,1.85
7,79,0,20,226,,Drama,Denis Lavant,Camping sauvage ,286,http://www.imdb.com/title/tt0451673/?ref_=fn_tt_tt_1,6,,2005,5.4,
4,87,20,329,571,,Comedy,Maria Conchita Alonso,Without Men ,2006,http://www.imdb.com/title/tt1547090/?ref_=fn_tt_tt_1,12,4700000,2011,3.2,
1,,0,0,5,,Comedy|Romance,Bhama,Barfi ,5,http://www.imdb.com/title/tt3099638/?ref_=fn_tt_tt_1,1,,2013,7.1,
96,105,11,16,18000,1340891,Drama|Romance,Gerard Butler,Dear Frankie ,18105,http://www.imdb.com/title/tt0377752/?ref_=fn_tt_tt_1,182,,2004,7.8,1.85
8,89,0,413,584,,Western,Keith Carradine,All Hat ,2668,http://www.imdb.com/title/tt0903131/?ref_=fn_tt_tt_1,8,5000000,2007,5.3,2.35
87,100,3,9,74,513836,Comedy|Drama|Romance,Sara Forestier,The Names of Love ,143,http://www.imdb.com/title/tt1646974/?ref_=fn_tt_tt_1,21,4600000,2010,7.2,1.85
10,92,4,140,943,,Comedy|Drama,Zoë Kravitz,Treading Water ,1795,http://www.imdb.com/title/tt2091427/?ref_=fn_tt_tt_1,3,4700000,2013,6.2,
121,97,4,577,13000,434417,Drama,Eddie Redmayne,Savage Grace ,15093,http://www.imdb.com/title/tt0379976/?ref_=fn_tt_tt_1,65,4600000,2007,5.9,1.85
43,100,0,3,109,728,Crime|Drama,William Kircher,Out of the Blue ,122,http://www.imdb.com/title/tt0839938/?ref_=fn_tt_tt_1,22,,2006,7.3,1.85
45,96,37,542,801,81200000,Comedy,Steve Guttenberg,Police Academy ,3113,http://www.imdb.com/title/tt0087928/?ref_=fn_tt_tt_1,133,4500000,1984,6.7,1.85
36,104,116,83,1000,,Adventure|Drama|Romance,Brooke Shields,The Blue Lagoon ,1662,http://www.imdb.com/title/tt0080453/?ref_=fn_tt_tt_1,140,4500000,1980,5.7,1.85
84,117,179,239,1000,52700832,Comedy|Drama|Romance,Kristin Scott Thomas,Four Weddings and a Funeral ,1862,http://www.imdb.com/title/tt0109831/?ref_=fn_tt_tt_1,197,4500000,1994,7.1,1.66
118,90,143,811,1000,,Comedy|Drama,Jennifer Jason Leigh,Fast Times at Ridgemont High ,5002,http://www.imdb.com/title/tt0083929/?ref_=fn_tt_tt_1,228,4500000,1982,7.2,1.85
42,115,1000,68,232,,Adventure|Drama,Royal Dano,Moby Dick ,588,http://www.imdb.com/title/tt0049513/?ref_=fn_tt_tt_1,115,4500000,1956,7.4,1.66
202,108,0,346,22000,13060843,Drama,Philip Seymour Hoffman,25th Hour ,26050,http://www.imdb.com/title/tt0307901/?ref_=fn_tt_tt_1,454,15000000,2002,7.7,2.35
5,43,,298,562,,Crime|Drama,Dan Fogler,Secrets and Lies             ,1587,http://www.imdb.com/title/tt3516878/?ref_=fn_tt_tt_1,27,,,7.7,16.0
120,109,0,126,3000,3798532,Crime|Drama|Romance|Thriller,Christopher Meloni,Bound ,3668,http://www.imdb.com/title/tt0115736/?ref_=fn_tt_tt_1,208,4500000,1996,7.4,1.85
234,102,0,167,1000,3609278,Drama,Ellen Burstyn,Requiem for a Dream ,2235,http://www.imdb.com/title/tt0180093/?ref_=fn_tt_tt_1,1916,4500000,2000,8.4,1.37
17,100,9,37,188,,Musical|Romance,Dana Andrews,State Fair ,496,http://www.imdb.com/title/tt0038116/?ref_=fn_tt_tt_1,55,,1945,7.1,1.37
