num_critic_for_reviews,duration,actor_1_facebook_likes,genres,num_voted_users,plot_keywords,language,actor_2_facebook_likes,movie_facebook_likes
148,104,1000,Comedy|Romance,40654,artificial insemination|baby|cheese|chick flick|pet shop,English,700,0
128,112,969,Comedy|Drama|Romance,48019,best friend|crush|law school|lawyer|loud sex,English,826,13000
3,60,897,Drama|Romance,1641,affair|hip hop|sex scene,English,637,265
46,95,1000,Adventure|Comedy|Fantasy,30771,14th century|king|knight|sword duel|time travel,English,691,0
40,102,288,Comedy|Drama|Family|Sport,16323,baseball|california|coach|little league|swimming pool,English,257,0
63,102,2000,Action|Adventure|Comedy|Thriller,53115,guile|hostage|ransom|soldier|united nations,English,1000,0
193,150,396,Biography|Drama|War,497946,ghetto|holocaust|jewish|piano|warsaw ghetto,English,338,21000
208,122,40000,Horror|Mystery|Thriller,124765,freemason|jack the ripper|opium|prostitute|victorian era,English,1000,0
122,101,446,Drama|Family|Fantasy,8143,angel|bethlehem|journey|nazareth|virgin,English,224,0
228,108,730,Horror,94456,brother sister relationship|group of friends|male nudity|twin|wax,English,716,0
212,98,20000,Drama|Romance,168314,cheating wife|film camera|hasselblad camera|leica camera|medium format camera,English,8000,12000
392,137,29000,Biography|Crime|Drama,102728,agent|fbi|federal bureau of investigation|gay relationship|secret,English,6000,16000
208,112,1000,Horror|Mystery,86205,estranged wife|evil|fire|medication|mirror,English,915,5000
137,101,775,Drama|Fantasy|Horror,43991,fatal attraction|interspecies romance|queen|supernatural power|vampire,English,541,0
119,103,2000,Action|Horror|Sci-Fi,105478,alien|drug lord|gang|hunter|predator,English,683,0
195,101,2000,Crime|Drama|Thriller,40964,cat|fbi agent|murder|serial killer|website,English,648,0
95,112,3000,Comedy|Drama|Romance|Sci-Fi,48621,1960s|bomb shelter|cuban missile crisis|food|naive man,English,874,0
100,111,591,Action|Adventure|Sci-Fi,38017,american football|cult film|emperor|flash gordon|mind reading,English,488,12000
164,102,939,Comedy|Drama|Romance,54346,baby|childbirth|death|karma|publicist,English,854,0
211,101,907,Action|Crime|Mystery|Thriller,28257,assassin|detective|partner|police|serial killer,English,445,11000
91,155,18000,Crime|Drama|Mystery|Thriller,31751,graveyard|murder|murder trial|reporter|trial,English,461,0
44,93,22000,Action|Crime|Thriller,16193,bus|die hard scenario,English,1000,0
97,109,287,Comedy|Family|Fantasy,19230,farm|magic|mother daughter relationship|overalls|title directed by female,English,175,0
32,140,436,Biography|Crime|Drama,17124,labor|labor union|leader|mafia|union,English,263,949
270,108,826,Drama|Mystery|Sci-Fi|Thriller,78256,fbi|priest|psychic|psychic vision|staff physician,English,716,0
89,96,11000,Comedy|Family|Fantasy|Romance,47800,curse|fairy|obedience|prince|strong female character,English,1000,0
219,123,10000,Biography|Drama|Sport,44788,chronic traumatic encephalopathy|concussion|football|football player|pathologist,English,979,23000
180,106,327,Action|Mystery|Thriller,65044,assassin|high school|on the run|teenager|website,English,73,13000
93,76,1000,Adventure|Animation|Comedy|Family|War,15788,dove|falcon|nursing|pigeon|psychological torture,English,766,538
173,107,21000,Comedy|Drama,54643,based on novel|college girl|midlife crisis|pittsburgh pennsylvania|professor,English,826,0
121,82,1000,Action|Comedy|Sci-Fi|Thriller,52052,dragonfly|hero|high school|soaking wet|supervillian origin,English,642,0
298,109,1000,Crime|Drama|Thriller,63548,election|father son relationship|fellatio|gay slur|title spoken by character,English,412,0
158,99,1000,Comedy|Horror,26126,creature|death|party|rescue|werewolf,English,573,0
248,91,23000,Action|Crime|Thriller,95274,chase|courier|delivery|envelope|police,English,1000,20000
155,87,472,Action|Comedy|Crime,34948,danger|drug cartel|female cop|female police officer|fugitive,English,328,0
105,125,3000,Adventure|Drama|Romance|War,28130,male nudity|naked dead man|nudity|sex|whipping,English,61,0
224,118,26000,Action|Crime|Romance|Thriller,90046,action hero|disguise|hospital|real estate agent|thief,English,968,17000
129,98,4000,Comedy|Romance|Sport,51842,career|player|tennis|tennis player|wimbledon,English,4000,0
101,92,3000,Comedy|Family,12399,animal|bear|land developer|real estate|real estate developer,English,1000,0
145,93,465,Action|Horror|Sci-Fi,11482,great white shark|shark|supermarket|swimming|tsunami,English,351,0
57,116,14000,Action|Adventure|Fantasy,23351,cyclops|fortress|monster|planet|rescue,English,192,0
227,92,11000,Drama|Thriller|War,41170,afghanistan|professor|reporter|student|university,English,10000,0
13,115,605,Action|Drama|Thriller|War,4795,bombardier|pilot|u.s. navy|vietnam|vietnam war,English,367,452
171,120,553,Comedy|Music,55630,drugs|elvis|musician|singer|the beatles,English,214,0
119,111,18000,Drama,28542,employee employer relationship|husband wife relationship|newspaper|ship|wake,English,826,0
44,94,694,Action|Western,12077,legend|old west|outlaw|railroad|stealing from the rich,English,605,433
188,100,2000,Biography|Drama|History|Romance,44931,19th century|courtship|female protagonist|princess|queen of england,English,1000,0
166,101,1000,Action|Crime|Mystery|Thriller,31918,antarctica|geologist|investigation|u.s. marshal|winter,English,603,0
584,139,11000,Drama|Fantasy,136367,1950s|children|ice cube|texas|waco texas,English,1000,39000
67,91,635,Action|Comedy|Thriller,11512,cia|hong kong|market|undercover|van,English,316,471
233,109,1000,Action|Crime|Drama|Thriller,47498,dea|drug cartel|kicked in the crotch|strip club|tough girl,English,206,10000
112,102,13000,Action|Mystery|Thriller,14962,death|exorcism|heaven|priest|sin eater,English,891,704
151,103,3000,Action|Crime|Drama|Thriller,48999,gun fu|plastic surgery|psychopath|undercover|vigilante,English,967,0
63,83,2000,Action|Adventure|Family|Sci-Fi,15015,bruise|female hero|super strength|superhero|teenage superhero,English,826,494
335,123,23000,Adventure|Biography|Drama|Thriller,77394,1970s|based on true story|new york city|skyscraper|tightrope walker,English,22,24000
24,101,690,Action|Adventure|Fantasy,2189,anthropomorphic animal|football|kangaroo|sword and sorcery|water boy,English,457,0
147,117,883,Comedy|Drama|Romance,70698,based on novel|inheritance|provence|uncle|wine,English,883,9000
51,60,2000,Crime|Drama|Mystery|Thriller,70568,murder|police|psychopath,English,729,20000
10,114,2000,Drama,10410,father son relationship|physical abuse|radio flyer|stepfather|stepfather stepson relationship,English,864,892
12,330,848,Crime|Drama,23181,1970s|1980s|barrio|gang war|mexican,English,674,6000
50,121,1000,Action|Drama|Sci-Fi|Thriller,11747,boy|greenland|neighbor|roof|snow,English,1000,561
149,114,548,Crime|Drama|Mystery|Thriller,28584,ambassador|cannes|identity|suicide|thief,English,298,675
24,156,695,Biography|Drama|History|War,9852,arab|general|libya|muslim|mussolini,English,279,0
28,135,837,Adventure|Drama|Romance|War,4885,austrian|breasts|cholera|police|provence,French,541,262
95,148,3,Drama|Romance|War|Western,11101,bushwhacker|friend|honor|kansas|raid,English,2,633
288,148,30,Drama,68885,children|chinese|illegal immigrant|immigrant|male ponytail,Spanish,9,29000
10,109,621,Action|Adventure|Romance|Sci-Fi,2138,1770s|british india|great barrier reef|india|ring,English,525,677
58,93,4000,Action|Comedy|Crime|Western,28848,bank|cleavage|farmer|female gunfighter|mexico,English,820,0
,,970,Crime|Drama,219,based on novel,English,856,26
297,113,988,Action|Mystery|Sci-Fi|Thriller,310903,based on novel|concrete wall|maze|open ended|teenage boy,English,149,38000
90,91,1000,Comedy,23072,business trip|company|glory hole|male frontal nudity|male nudity,English,249,0
56,139,554,Drama|Romance,36267,19th century|countess|lawyer|love|new york,English,382,0
274,96,20000,Drama|Sci-Fi,190990,eternity|love|mayan|tree|tree of life,English,1000,23000
68,102,372,Action|Adventure|Comedy|Drama|Thriller,8367,colonel|ice|ice cream truck|military|u.s. army,English,248,120
98,96,12000,Action|Crime|Drama|Thriller,36914,bank|money|presumed dead|rescue|thief,English,774,0
256,101,6,Adventure|Animation|Family|Fantasy,85589,children adventure|magical realism|sea goddess|small town|tsunami,Japanese,3,0
117,128,989,Drama|Romance,50041,1940s|art collector|bull riding|north carolina|student,English,970,23000
107,109,40000,Drama|Sci-Fi|Thriller,45497,astronaut|electrocuted in bathtub|mission|pilot|sister,English,9000,1000
52,114,818,Adventure|Drama|Romance,3740,dream|italian|kenya|ranch|snake,English,649,314
135,105,18000,Comedy|Romance|Sport,23916,coach|soccer|soccer coach|soccer mom|soccer team,English,2000,0
211,141,113,Biography|Drama|History,21223,africa|apartheid|nelson mandela|president|resistance,English,98,13000
57,195,635,Biography|Drama|History|Romance,16255,cold war|cold war era|interview|russia|written and directed by cast member,English,631,0
81,138,10000,Drama|Thriller,181879,cuba|guantanamo|lance corporal|lawyer|murder,English,2000,0
107,101,2000,Action|Comedy|Crime|Drama|Thriller,27580,corrupt cop|drug dealer|drugs|heroin|vice president,English,1000,742
100,99,826,Action|Comedy|Crime,66941,disguise|fbi|female impersonation|gender disguise|obesity,English,436,1000
60,85,324,Adventure|Animation|Comedy|Family|Fantasy,4265,,English,15,0
195,89,614,Action|Adventure|Horror|Sci-Fi|Thriller,49312,alien|aurora borealis|critically bashed|killing an animal|nightclub,English,150,0
121,99,3000,Drama|Music|Romance,45394,3 dimensional|dance|dancer|dancing|flash mob,English,594,19000
285,105,852,Action|Adventure|Crime|Drama|Thriller,115649,baby rattle|famous line|murder|passenger|snake,English,521,4000
103,97,18000,Crime|Horror|Mystery|Thriller,22220,fbi|murder|scene of the crime|serial killer|therapy,English,223,463
192,140,669,Action|Crime|Drama|Thriller,124242,death|family reunion|fbi|fbi agent|vigilante,English,403,4000
90,118,722,Drama|Romance|Sport,50919,barrio|border|newcastle united|party|soccer,English,580,0
258,94,26000,Action|Crime|Thriller,83097,bodyguard|gang war|russian|russian mafia|triad,English,828,12000
56,124,11000,Comedy|Drama|Romance,24826,air traffic control|air traffic controller|female bodybuilder|job|marriage,English,617,783
197,134,11000,Action|Adventure|Fantasy|Sci-Fi,681857,death star|emperor|empire|princess|rebel,English,1000,14000
254,113,165,Action|Sci-Fi|Thriller,62770,cure|quarantine|scotland|virus|wall,English,107,0
299,124,14000,Drama|Romance,189812,love|reading|teaching oneself to read|trial|war crime,English,388,15000
163,98,1000,Comedy,62198,childbirth|female frontal nudity|nude protest|nudist|skinny dipping,English,945,0
152,97,22000,Comedy|Family|Fantasy|Romance,147597,baby|christmas spirit|elf|new york city|north pole,English,11000,21000
53,123,3000,Drama|Fantasy|Romance|Sci-Fi,63839,brain tumor|genius|psionic power|telekinesis|terminal illness,English,941,0
67,99,773,Adventure|Comedy|Family|Sport,20219,dentist|dog|inheritance|race|sled dog,English,664,0
88,101,13000,Comedy|Drama|Fantasy,61396,christmas|compassion|executive|ghost|redemption,English,1000,11000
163,92,678,Comedy|Family|Sport,65551,lucha libre|monastery|nun|orphan|wrestling,English,635,0
371,131,722,Comedy|Romance,218711,best friend|failure|food|job|partial female nudity,English,655,27000
418,107,17000,Comedy|Fantasy,310540,apocalypse|celebrity|ensemble cast|party|rapture,English,11000,97000
131,103,826,Horror,54390,catholic|priest|stigmata|vatican|wound,English,724,0
98,129,22000,Biography|Drama,89424,african american|amputee|navy|racial discrimination|racism,English,9000,0
119,107,23000,Action|Crime|Thriller,46961,armored car|bank|falling out among thieves|heist|planning,English,4000,0
133,89,49000,Comedy,37493,adoption|divorce|family relationships|farce|wedding,English,22000,0
88,113,918,Action|Comedy|Crime,19671,fbi agent|murder|performing arts school|scene during end credits|undercover,English,845,0
522,93,15000,Mystery|Sci-Fi|Thriller,379462,bomber|time|time loop|train|trapped in a time loop,English,491,56000
43,120,344,Adventure|Biography|Drama|Thriller,38949,andes mountains|crash|death|starvation|stranded,English,242,0
224,98,8000,Mystery|Thriller,164608,destiny|detective|imagination|murder|sex scene,English,912,10000
122,105,716,Action|Adventure|Drama|Family,11347,3 dimensional|cartographer|punctuation in title|smithsonian|train,English,648,5000
56,142,16000,Action|Comedy|War,25193,california|captain|cult film|pearl harbor|submarine,English,1000,2000
75,98,649,Drama|Family|Sport,10018,colon in title|horse|kentucky|overalls|six word title,English,579,0
441,96,10000,Crime|Drama|Thriller,186606,bar|crotch shot|female full frontal nudity|female pubic hair|robbery,English,917,0
163,87,26000,Action|Crime|Thriller,156267,driver|french|kidnapping|police|sequel,English,1000,0
63,107,29000,Action|Thriller|Western,69197,authority figure as villian|gun duel|saved from hanging|showdown|street shootout,English,165,0
90,90,638,Comedy|Romance,18771,date|divorce|divorce lawyer|drinking|lawyer,English,160,702
163,121,12000,Drama|Thriller,53028,ambulance|ghost|hell|paramedic|rescue,English,368,0
197,119,1000,Action|Crime|Sci-Fi|Thriller,87768,artificial organ|best friend|enforcer|future|near future,English,561,12000
93,107,889,Action|Drama|Fantasy|Horror|Thriller,21506,antique shop|asian dragon|dragon|korean|reporter,English,618,0
15,110,3000,Comedy|Family|Fantasy,5176,box office flop|circus|imaginary friend|magician|one word title,English,359,350
260,100,12000,Comedy,60596,magic|magic kit|magician|stage magician|vegas,English,10000,13000
18,75,3000,Animation|Comedy|Family|Fantasy|Musical,5600,animal|cat|child star|hollywood|star,English,2000,643
70,132,13000,Drama,8039,1930s|depression|play|theatre|union,English,898,625
183,105,845,Drama|Mystery|Thriller,21481,american|driver|journalist|russian|secret,English,552,559
12,93,330,Action|Adventure|Comedy|Fantasy|Romance,3088,dragon|knight|love|priest|princess,English,239,290
261,289,11000,Drama|War,450676,army|green beret|insanity|jungle|vietnam,English,10000,19000
167,102,839,Comedy|Romance,50523,bar|job|long distance relationship|male pubic hair|pubic hair,English,730,0
42,143,975,Drama|Music,30230,1990s|high school|high school teacher|teacher inspires students|teaching,English,345,0
130,113,10000,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,17319,cia|husband wife relationship|memory|tied up while barefoot|violence,English,877,0
66,161,11000,Biography|Drama|Romance,52339,africa|hunter|love|marriage|plantation,English,920,0
449,138,18000,Drama|Thriller,264047,airline|flight|flight attendant|lawyer|pilot,English,984,64000
121,126,244,Action|Adventure|Sci-Fi|Thriller,69534,astronaut|dog|official james bond series|space shuttle|space shuttle transported on a 747,English,202,0
536,99,13000,Adventure|Comedy|Crime|Drama,475518,first person narration|hotel|lobby boy|mentor protege relationship|painting,English,1000,149000
135,101,12000,Drama|Mystery,30339,based on multiple works|bully|kiss|memory|mysterious stranger,English,495,0
