director_name,duration,actor_3_facebook_likes,actor_2_name,actor_1_name,movie_title,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,country,title_year,aspect_ratio
Geoff Murphy,92,488,Brenda Bakke,Peter Greene,Under Siege 2: Dark Territory ,1,http://www.imdb.com/title/tt0114781/?ref_=fn_tt_tt_1,126,USA,1995,1.85
Kenneth Branagh,105,288,Nonso Anozie,Colm Feore,Jack Ryan: Shadow Recruit ,3,http://www.imdb.com/title/tt1205537/?ref_=fn_tt_tt_1,289,USA,2014,2.35
David O. Russell,124,14000,Robert De Niro,Jennifer Lawrence,Joy ,3,http://www.imdb.com/title/tt2446980/?ref_=fn_tt_tt_1,256,USA,2015,1.85
Babak Najafi,99,864,Radha Mitchell,Gerard Butler,London Has Fallen ,3,http://www.imdb.com/title/tt3300542/?ref_=fn_tt_tt_1,323,UK,2016,2.35
Jean-Pierre Jeunet,116,672,Michael Wincott,Gary Dourdan,Alien: Resurrection ,0,http://www.imdb.com/title/tt0118583/?ref_=fn_tt_tt_1,656,USA,1997,2.35
Antoine Fuqua,124,295,Ned Beatty,Tate Donovan,Shooter ,0,http://www.imdb.com/title/tt0822854/?ref_=fn_tt_tt_1,338,USA,2007,2.35
Graham Annable,96,642,Dee Bradley Baker,Isaac Hempstead Wright,The Boxtrolls ,3,http://www.imdb.com/title/tt0787474/?ref_=fn_tt_tt_1,122,USA,2014,1.85
Griffin Dunne,104,944,Dianne Wiest,Goran Visnjic,Practical Magic ,1,http://www.imdb.com/title/tt0120791/?ref_=fn_tt_tt_1,257,USA,1998,2.35
Phil Lord,100,2000,Will Ferrell,Morgan Freeman,The Lego Movie ,0,http://www.imdb.com/title/tt1490017/?ref_=fn_tt_tt_1,471,Australia,2014,2.35
John Pasquin,115,642,Diedrich Bader,Eileen Brennan,Miss Congeniality 2: Armed and Fabulous ,2,http://www.imdb.com/title/tt0385307/?ref_=fn_tt_tt_1,156,USA,2005,2.35
Rob Bowman,101,11000,Gerard Butler,Christian Bale,Reign of Fire ,0,http://www.imdb.com/title/tt0253556/?ref_=fn_tt_tt_1,569,USA,2002,2.35
Ruben Fleischer,113,300,Brandon Molale,Ryan Gosling,Gangster Squad ,3,http://www.imdb.com/title/tt1321870/?ref_=fn_tt_tt_1,264,USA,2013,2.35
Harold Ramis,100,485,Oliver Platt,Olivia Wilde,Year One ,2,http://www.imdb.com/title/tt1045778/?ref_=fn_tt_tt_1,203,USA,2009,1.85
Clint Eastwood,134,204,Morgan Freeman,Matt Damon,Invictus ,1,http://www.imdb.com/title/tt1057500/?ref_=fn_tt_tt_1,259,USA,2009,2.35
Kevin Macdonald,127,379,Harry Lennix,Robin Wright,State of Play ,3,http://www.imdb.com/title/tt0473705/?ref_=fn_tt_tt_1,235,USA,2009,2.35
Tony Gilroy,125,896,Tom Wilkinson,Julia Roberts,Duplicity ,0,http://www.imdb.com/title/tt1135487/?ref_=fn_tt_tt_1,184,USA,2009,2.35
Donald Petrie,94,230,Ray Walston,Steven Anthony Lawrence,My Favorite Martian ,2,http://www.imdb.com/title/tt0120764/?ref_=fn_tt_tt_1,73,USA,1999,1.85
Clark Johnson,107,206,David Rasche,Blair Brown,The Sentinel ,0,http://www.imdb.com/title/tt0443632/?ref_=fn_tt_tt_1,213,USA,2006,2.35
Jorge Blanco,91,480,Gary Oldman,Dwayne Johnson,Planet 51 ,1,http://www.imdb.com/title/tt0762125/?ref_=fn_tt_tt_1,72,Spain,2009,2.35
Stuart Baird,116,906,LeVar Burton,Tom Hardy,Star Trek: Nemesis ,0,http://www.imdb.com/title/tt0253754/?ref_=fn_tt_tt_1,842,USA,2002,2.35
Joel Coen,100,210,Paul Adelstein,Cedric the Entertainer,Intolerable Cruelty ,1,http://www.imdb.com/title/tt0138524/?ref_=fn_tt_tt_1,322,USA,2003,1.85
Robert Lorenz,111,461,Ed Lauter,Clint Eastwood,Trouble with the Curve ,0,http://www.imdb.com/title/tt2083383/?ref_=fn_tt_tt_1,150,USA,2012,2.35
Martin Campbell,117,896,Ray Winstone,Bojana Novakovic,Edge of Darkness ,1,http://www.imdb.com/title/tt1226273/?ref_=fn_tt_tt_1,256,UK,2010,2.35
Peter Hyams,110,308,Penelope Ann Miller,John Kapelos,The Relic ,0,http://www.imdb.com/title/tt0120004/?ref_=fn_tt_tt_1,165,UK,1997,2.35
Harold Ramis,96,236,Cathy Moriarty,Robert De Niro,Analyze That ,1,http://www.imdb.com/title/tt0289848/?ref_=fn_tt_tt_1,138,USA,2002,1.85
Jon Avnet,101,1000,Al Pacino,Robert De Niro,Righteous Kill ,2,http://www.imdb.com/title/tt1034331/?ref_=fn_tt_tt_1,248,USA,2008,2.35
Harold Becker,111,652,Miko Hughes,Bruce Willis,Mercury Rising ,1,http://www.imdb.com/title/tt0120749/?ref_=fn_tt_tt_1,127,USA,1998,2.35
Joe Wright,117,569,Stephen Root,Robert Downey Jr.,The Soloist ,0,http://www.imdb.com/title/tt0821642/?ref_=fn_tt_tt_1,143,UK,2009,2.35
Robert Redford,126,9000,Will Smith,Matt Damon,The Legend of Bagger Vance ,3,http://www.imdb.com/title/tt0146984/?ref_=fn_tt_tt_1,267,USA,2000,1.85
Cameron Crowe,152,947,Zooey Deschanel,Philip Seymour Hoffman,Almost Famous ,1,http://www.imdb.com/title/tt0181875/?ref_=fn_tt_tt_1,822,USA,2000,1.85
Tim Hill,86,265,Roger Rees,Bill Murray,Garfield 2 ,0,http://www.imdb.com/title/tt0455499/?ref_=fn_tt_tt_1,74,UK,2006,1.85
Lee Tamahori,101,218,Nona Gaye,Sunny Mabrey,xXx: State of the Union ,2,http://www.imdb.com/title/tt0329774/?ref_=fn_tt_tt_1,213,USA,2005,2.35
Scott Stewart,87,77,Alan Dale,Josh Wingate,Priest ,0,http://www.imdb.com/title/tt0822847/?ref_=fn_tt_tt_1,233,USA,2011,2.35
Patrick Gilmore,85,82,Adriano Giannini,Brad Pitt,Sinbad: Legend of the Seven Seas ,0,http://www.imdb.com/title/tt0165982/?ref_=fn_tt_tt_1,91,USA,2003,1.66
Paul W.S. Anderson,130,552,Joely Richardson,Sean Pertwee,Event Horizon ,0,http://www.imdb.com/title/tt0119081/?ref_=fn_tt_tt_1,857,UK,1997,2.35
Joss Whedon,173,19000,Robert Downey Jr.,Chris Hemsworth,The Avengers ,3,http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1,1722,USA,2012,1.85
Tom Shadyac,104,256,Susanna Thompson,Joe Morton,Dragonfly ,0,http://www.imdb.com/title/tt0259288/?ref_=fn_tt_tt_1,243,USA,2002,2.35
Brian De Palma,121,854,Mia Kirshner,Scarlett Johansson,The Black Dahlia ,0,http://www.imdb.com/title/tt0387877/?ref_=fn_tt_tt_1,644,Germany,2006,2.35
Tony Bill,140,579,Tyler Labine,James Franco,Flyboys ,1,http://www.imdb.com/title/tt0454824/?ref_=fn_tt_tt_1,247,UK,2006,2.35
Rod Lurie,131,507,Delroy Lindo,Clifton Collins Jr.,The Last Castle ,3,http://www.imdb.com/title/tt0272020/?ref_=fn_tt_tt_1,281,USA,2001,2.35
Walter Hill,91,68,Wilson Cruz,Robert Forster,Supernova ,0,http://www.imdb.com/title/tt0134983/?ref_=fn_tt_tt_1,282,USA,2000,2.35
Akiva Goldsman,118,778,William Hurt,Matt Bomer,Winter's Tale ,0,http://www.imdb.com/title/tt1837709/?ref_=fn_tt_tt_1,126,USA,2014,2.35
Harald Zwart,130,1000,Kevin Zegers,Aidan Turner,The Mortal Instruments: City of Bones ,3,http://www.imdb.com/title/tt1538403/?ref_=fn_tt_tt_1,457,USA,2013,2.35
Brian Robbins,90,196,Mike O'Malley,Marc Blucas,Meet Dave ,1,http://www.imdb.com/title/tt0765476/?ref_=fn_tt_tt_1,109,USA,2008,1.85
Walter Salles,103,87,Camryn Manheim,Dougray Scott,Dark Water ,2,http://www.imdb.com/title/tt0382628/?ref_=fn_tt_tt_1,411,USA,2005,2.35
Ron Howard,122,1000,Adam Goldberg,Matthew McConaughey,Edtv ,0,http://www.imdb.com/title/tt0131369/?ref_=fn_tt_tt_1,195,USA,1999,1.85
Iain Softley,106,466,Stephen Graham,Brendan Fraser,Inkheart ,3,http://www.imdb.com/title/tt0494238/?ref_=fn_tt_tt_1,110,Germany,2008,2.35
Frank Miller,103,437,Jaime King,Scarlett Johansson,The Spirit ,1,http://www.imdb.com/title/tt0831887/?ref_=fn_tt_tt_1,290,USA,2008,2.35
David Koepp,107,280,Olivia Munn,Johnny Depp,Mortdecai ,2,http://www.imdb.com/title/tt3045616/?ref_=fn_tt_tt_1,188,UK,2015,2.35
Uwe Boll,156,102,Mike Dopud,Jason Statham,In the Name of the King: A Dungeon Siege Tale ,3,http://www.imdb.com/title/tt0460780/?ref_=fn_tt_tt_1,368,Germany,2007,2.35
Martin Campbell,127,617,Teri Polo,Angelina Jolie Pitt,Beyond Borders ,2,http://www.imdb.com/title/tt0294357/?ref_=fn_tt_tt_1,156,USA,2003,2.35
Pou-Soi Cheang,119,22,Aaron Kwok,Li Gong,Xi you ji zhi: Sun Wukong san da Baigu Jing ,1,http://www.imdb.com/title/tt4591310/?ref_=fn_tt_tt_1,9,China,2016,2.35
John Dahl,132,242,Clayne Crawford,James Franco,The Great Raid ,0,http://www.imdb.com/title/tt0326905/?ref_=fn_tt_tt_1,183,USA,2005,2.35
Tim Miller,108,361,Ed Skrein,Ryan Reynolds,Deadpool ,0,http://www.imdb.com/title/tt1431045/?ref_=fn_tt_tt_1,1058,USA,2016,2.35
Stephen Herek,114,440,Morgan Fairchild,Kelly Preston,Holy Man ,1,http://www.imdb.com/title/tt0120701/?ref_=fn_tt_tt_1,88,USA,1998,2.35
Clint Eastwood,133,318,Leonard Roberts,Bradley Cooper,American Sniper ,0,http://www.imdb.com/title/tt2179136/?ref_=fn_tt_tt_1,916,USA,2014,2.35
Rob Letterman,103,543,Dylan Minnette,Odeya Rush,Goosebumps ,4,http://www.imdb.com/title/tt1051904/?ref_=fn_tt_tt_1,154,USA,2015,2.35
,22,271,Soleil Moon Frye,Nate Richert,"Sabrina, the Teenage Witch             ",1,http://www.imdb.com/title/tt0115341/?ref_=fn_tt_tt_1,94,USA,,1.33
Mark Waters,95,512,Ivana Milicevic,Jon Heder,Just Like Heaven ,1,http://www.imdb.com/title/tt0425123/?ref_=fn_tt_tt_1,263,USA,2005,1.85
Brian Levant,90,809,Mark Addy,Taylor Negron,The Flintstones in Viva Rock Vegas ,0,http://www.imdb.com/title/tt0158622/?ref_=fn_tt_tt_1,85,USA,2000,1.85
Peter MacDonald,87,349,Kurtwood Smith,Sylvester Stallone,Rambo III ,1,http://www.imdb.com/title/tt0095956/?ref_=fn_tt_tt_1,171,USA,1988,2.35
George Clooney,114,110,Malcolm Goodwin,Robert Baker,Leatherheads ,8,http://www.imdb.com/title/tt0379865/?ref_=fn_tt_tt_1,120,USA,2008,1.85
Frank Coraci,119,11000,Adam Sandler,Taylor Lautner,The Ridiculous 6 ,4,http://www.imdb.com/title/tt2479478/?ref_=fn_tt_tt_1,143,USA,2015,2.35
Marc Lawrence,103,727,Kim Shaw,Michael Kelly,Did You Hear About the Morgans? ,2,http://www.imdb.com/title/tt1314228/?ref_=fn_tt_tt_1,121,USA,2009,2.35
Shawn Levy,125,839,Jessica Szohr,Josh Gad,The Internship ,2,http://www.imdb.com/title/tt2234155/?ref_=fn_tt_tt_1,281,USA,2013,2.35
Paul W.S. Anderson,97,529,Boris Kodjoe,Milla Jovovich,Resident Evil: Afterlife ,1,http://www.imdb.com/title/tt1220634/?ref_=fn_tt_tt_1,410,Germany,2010,2.35
Anthony Hemingway,125,519,Nate Parker,David Oyelowo,Red Tails ,0,http://www.imdb.com/title/tt0485985/?ref_=fn_tt_tt_1,273,USA,2012,2.35
,30,479,Kristin Davis,Chris Noth,Sex and the City             ,0,http://www.imdb.com/title/tt0159206/?ref_=fn_tt_tt_1,238,USA,,1.33
Taylor Hackford,136,9000,Al Pacino,Keanu Reeves,The Devil's Advocate ,2,http://www.imdb.com/title/tt0118971/?ref_=fn_tt_tt_1,431,USA,1997,2.35
Sean Anders,116,622,Leighton Meester,Adam Sandler,That's My Boy ,2,http://www.imdb.com/title/tt1232200/?ref_=fn_tt_tt_1,198,USA,2012,2.35
Rob Cohen,103,40,Brian Thompson,Dennis Quaid,DragonHeart ,0,http://www.imdb.com/title/tt0116136/?ref_=fn_tt_tt_1,139,USA,1996,2.35
Brett Ratner,97,455,Don Cheadle,Salma Hayek,After the Sunset ,2,http://www.imdb.com/title/tt0367479/?ref_=fn_tt_tt_1,147,USA,2004,2.35
Mark Neveldine,96,1000,Spencer Wilding,Nicolas Cage,Ghost Rider: Spirit of Vengeance ,1,http://www.imdb.com/title/tt1071875/?ref_=fn_tt_tt_1,331,USA,2011,2.35
John Madden,131,58,Irene Papas,Christian Bale,Captain Corelli's Mandolin ,2,http://www.imdb.com/title/tt0238112/?ref_=fn_tt_tt_1,220,UK,2001,2.35
,22,676,Noureen DeWulf,Barry Corbin,Anger Management             ,1,http://www.imdb.com/title/tt1986770/?ref_=fn_tt_tt_1,54,USA,,16.0
Adam Shankman,95,650,Brad Garrett,Vin Diesel,The Pacifier ,0,http://www.imdb.com/title/tt0395699/?ref_=fn_tt_tt_1,225,Canada,2005,2.35
Kevin Bray,86,348,Ashley Scott,Dwayne Johnson,Walking Tall ,1,http://www.imdb.com/title/tt0351977/?ref_=fn_tt_tt_1,221,USA,2004,2.35
Robert Zemeckis,142,194,Siobhan Fallon Hogan,Tom Hanks,Forrest Gump ,0,http://www.imdb.com/title/tt0109830/?ref_=fn_tt_tt_1,1398,USA,1994,2.35
Tim Hill,92,639,Beth Riesgraf,Jesse McCartney,Alvin and the Chipmunks ,0,http://www.imdb.com/title/tt0952640/?ref_=fn_tt_tt_1,146,USA,2007,1.85
Jay Roach,108,708,Blythe Danner,Robert De Niro,Meet the Parents ,2,http://www.imdb.com/title/tt0212338/?ref_=fn_tt_tt_1,507,USA,2000,1.85
Mike Gabriel,84,752,Frank Welker,Christian Bale,Pocahontas ,1,http://www.imdb.com/title/tt0114148/?ref_=fn_tt_tt_1,216,USA,1995,1.78
Richard Donner,188,467,Margot Kidder,Marlon Brando,Superman ,0,http://www.imdb.com/title/tt0078346/?ref_=fn_tt_tt_1,497,USA,1978,2.35
Tom Shadyac,95,744,James Coburn,Jada Pinkett Smith,The Nutty Professor ,1,http://www.imdb.com/title/tt0117218/?ref_=fn_tt_tt_1,99,USA,1996,1.85
Andy Tennant,118,681,Michael Rapaport,Will Smith,Hitch ,1,http://www.imdb.com/title/tt0386588/?ref_=fn_tt_tt_1,372,USA,2005,2.35
Sam Weisman,92,458,Abraham Benrubi,Brendan Fraser,George of the Jungle ,0,http://www.imdb.com/title/tt0119190/?ref_=fn_tt_tt_1,103,USA,1997,1.85
Jesse Dylan,74,729,Thomas Ian Nicholas,Alyson Hannigan,American Wedding ,3,http://www.imdb.com/title/tt0328828/?ref_=fn_tt_tt_1,332,USA,2003,2.35
Paul Greengrass,134,186,Chris Mulkey,Tom Hanks,Captain Phillips ,0,http://www.imdb.com/title/tt1535109/?ref_=fn_tt_tt_1,527,USA,2013,2.35
Shawn Levy,101,7000,James Franco,Mila Kunis,Date Night ,2,http://www.imdb.com/title/tt1279935/?ref_=fn_tt_tt_1,207,USA,2010,2.35
Brad Silberling,100,394,Fred Rogers,Eric Idle,Casper ,0,http://www.imdb.com/title/tt0112642/?ref_=fn_tt_tt_1,92,USA,1995,1.85
Antoine Fuqua,132,683,Chloë Grace Moretz,Denzel Washington,The Equalizer ,0,http://www.imdb.com/title/tt0455944/?ref_=fn_tt_tt_1,436,USA,2014,2.35
Wayne Wang,105,708,Frances Conroy,Bob Hoskins,Maid in Manhattan ,2,http://www.imdb.com/title/tt0252076/?ref_=fn_tt_tt_1,242,USA,2002,2.35
Tony Scott,123,665,Viggo Mortensen,Denzel Washington,Crimson Tide ,0,http://www.imdb.com/title/tt0112740/?ref_=fn_tt_tt_1,194,USA,1995,2.35
Gabriele Muccino,117,168,Kurt Fuller,Will Smith,The Pursuit of Happyness ,0,http://www.imdb.com/title/tt0454921/?ref_=fn_tt_tt_1,611,USA,2006,2.35
Robert Schwentke,98,354,Michael Irby,Erika Christensen,Flightplan ,1,http://www.imdb.com/title/tt0408790/?ref_=fn_tt_tt_1,600,USA,2005,2.35
Barry Levinson,128,383,Dylan Baker,Demi Moore,Disclosure ,0,http://www.imdb.com/title/tt0109635/?ref_=fn_tt_tt_1,95,USA,1994,2.35
Brad Silberling,114,539,Andre Braugher,Nicolas Cage,City of Angels ,1,http://www.imdb.com/title/tt0120632/?ref_=fn_tt_tt_1,322,Germany,1998,2.35
Quentin Tarantino,111,640,Vivica A. Fox,David Carradine,Kill Bill: Vol. 1 ,0,http://www.imdb.com/title/tt0266697/?ref_=fn_tt_tt_1,2105,USA,2003,2.35
Frank Oz,85,490,Adam Alexi-Malle,Robert Downey Jr.,Bowfinger ,2,http://www.imdb.com/title/tt0131325/?ref_=fn_tt_tt_1,358,USA,1999,1.37
,44,72,Don S. Davis,Christopher Judge,Stargate SG-1             ,4,http://www.imdb.com/title/tt0118480/?ref_=fn_tt_tt_1,181,USA,,1.33
Quentin Tarantino,137,348,Michael Parks,Vivica A. Fox,Kill Bill: Vol. 2 ,0,http://www.imdb.com/title/tt0378194/?ref_=fn_tt_tt_1,935,USA,2004,2.35
Andrey Konchalovskiy,97,403,Jack Palance,Sylvester Stallone,Tango & Cash ,1,http://www.imdb.com/title/tt0098439/?ref_=fn_tt_tt_1,149,USA,1989,2.35
Robert Zemeckis,104,812,Meryl Streep,Bruce Willis,Death Becomes Her ,3,http://www.imdb.com/title/tt0104070/?ref_=fn_tt_tt_1,173,USA,1992,1.85
Tom Dey,110,95,Jason Connery,Xander Berkeley,Shanghai Noon ,2,http://www.imdb.com/title/tt0184894/?ref_=fn_tt_tt_1,293,USA,2000,2.35
Stuart Baird,133,263,Joe Morton,Oliver Platt,Executive Decision ,0,http://www.imdb.com/title/tt0116253/?ref_=fn_tt_tt_1,144,USA,1996,2.35
Mark Waters,94,497,Ophelia Lovibond,Madeline Carroll,Mr. Popper's Penguins ,1,http://www.imdb.com/title/tt1396218/?ref_=fn_tt_tt_1,108,USA,2011,1.85
Rob Minkoff,104,947,Thomas McDonell,Jet Li,The Forbidden Kingdom ,0,http://www.imdb.com/title/tt0865556/?ref_=fn_tt_tt_1,279,USA,2008,2.35
Jimmy Hayward,91,562,Carlos Ponce,Amy Poehler,Free Birds ,1,http://www.imdb.com/title/tt1621039/?ref_=fn_tt_tt_1,73,USA,2013,1.85
David Fincher,145,243,Holt McCallany,Charles S. Dutton,Alien 3 ,0,http://www.imdb.com/title/tt0103644/?ref_=fn_tt_tt_1,776,USA,1992,2.35
Alan Parker,135,34,Jimmy Nail,Andrea Corr,Evita ,1,http://www.imdb.com/title/tt0116250/?ref_=fn_tt_tt_1,194,USA,1996,2.35
John Frankenheimer,122,135,Natascha McElhone,Robert De Niro,Ronin ,2,http://www.imdb.com/title/tt0122690/?ref_=fn_tt_tt_1,572,UK,1998,2.35
Stephen Hopkins,110,163,Bernard Hill,Tom Wilkinson,The Ghost and the Darkness ,0,http://www.imdb.com/title/tt0116409/?ref_=fn_tt_tt_1,155,USA,1996,2.35
Paul King,95,594,Matt Lucas,Julie Walters,Paddington ,0,http://www.imdb.com/title/tt1109624/?ref_=fn_tt_tt_1,174,UK,2014,2.35
Akiva Schaffer,102,537,Nicholas Braun,Will Forte,The Watch ,4,http://www.imdb.com/title/tt1298649/?ref_=fn_tt_tt_1,207,USA,2012,2.35
William Friedkin,94,215,Jenna Boyd,Connie Nielsen,The Hunted ,1,http://www.imdb.com/title/tt0269347/?ref_=fn_tt_tt_1,321,USA,2003,1.85
Jon Turteltaub,126,241,Maura Tierney,Anthony Hopkins,Instinct ,1,http://www.imdb.com/title/tt0128278/?ref_=fn_tt_tt_1,232,USA,1999,2.35
Bobby Farrelly,118,327,Terence Bernie Hines,Matt Damon,Stuck on You ,2,http://www.imdb.com/title/tt0338466/?ref_=fn_tt_tt_1,154,USA,2003,2.35
Kent Alterman,99,490,Maura Tierney,Will Ferrell,Semi-Pro ,3,http://www.imdb.com/title/tt0839980/?ref_=fn_tt_tt_1,119,USA,2008,2.35
Peter Lord,88,591,Russell Tovey,Salma Hayek,The Pirates! Band of Misfits ,0,http://www.imdb.com/title/tt1430626/?ref_=fn_tt_tt_1,101,UK,2012,2.35
Clint Eastwood,141,539,Michael Kelly,Angelina Jolie Pitt,Changeling ,0,http://www.imdb.com/title/tt0824747/?ref_=fn_tt_tt_1,387,USA,2008,2.35
Andrew Davis,107,581,Morgan Freeman,Keanu Reeves,Chain Reaction ,1,http://www.imdb.com/title/tt0115857/?ref_=fn_tt_tt_1,95,USA,1996,1.85
Tony Scott,116,552,Kurt Fuller,Robert De Niro,The Fan ,3,http://www.imdb.com/title/tt0116277/?ref_=fn_tt_tt_1,89,USA,1996,2.35
Joel Schumacher,143,530,Minnie Driver,Gerard Butler,The Phantom of the Opera ,0,http://www.imdb.com/title/tt0293508/?ref_=fn_tt_tt_1,2047,UK,2004,2.35
Shekhar Kapur,114,877,Abbie Cornish,Eddie Redmayne,Elizabeth: The Golden Age ,1,http://www.imdb.com/title/tt0414055/?ref_=fn_tt_tt_1,216,UK,2007,1.85
Karyn Kusama,93,352,Sophie Okonedo,Charlize Theron,Æon Flux ,0,http://www.imdb.com/title/tt0402022/?ref_=fn_tt_tt_1,532,USA,2005,2.35
Ron Maxwell,280,67,Bruce Boxleitner,Billy Campbell,Gods and Generals ,0,http://www.imdb.com/title/tt0279111/?ref_=fn_tt_tt_1,497,USA,2003,2.35
Robert Butler,100,745,Lauren Holly,Hector Elizondo,Turbulence ,0,http://www.imdb.com/title/tt0120390/?ref_=fn_tt_tt_1,84,USA,1997,2.35
Karey Kirkpatrick,107,506,Ronny Cox,Stephen Root,Imagine That ,2,http://www.imdb.com/title/tt0780567/?ref_=fn_tt_tt_1,39,USA,2009,2.35
James Bobin,119,518,Tina Fey,Ty Burrell,Muppets Most Wanted ,4,http://www.imdb.com/title/tt2281587/?ref_=fn_tt_tt_1,110,USA,2014,1.85
Jonathan Frakes,95,287,Philip Winchester,Sophia Myles,Thunderbirds ,0,http://www.imdb.com/title/tt0167456/?ref_=fn_tt_tt_1,229,UK,2004,1.85
Steve Antin,119,676,Peter Gallagher,Eric Dane,Burlesque ,1,http://www.imdb.com/title/tt1126591/?ref_=fn_tt_tt_1,222,USA,2010,2.35
Jean-Pierre Jeunet,133,46,André Dussollier,Denis Lavant,A Very Long Engagement ,1,http://www.imdb.com/title/tt0344510/?ref_=fn_tt_tt_1,239,France,2004,2.35
Stanley Kubrick,152,177,Shelley Winters,James Mason,Lolita ,0,http://www.imdb.com/title/tt0056193/?ref_=fn_tt_tt_1,207,UK,1962,1.66
Jim Gillespie,96,534,Tom Berenger,Sylvester Stallone,Eye See You ,1,http://www.imdb.com/title/tt0160184/?ref_=fn_tt_tt_1,142,USA,2002,2.35
Guillermo del Toro,117,845,Thomas Kretschmann,Norman Reedus,Blade II ,1,http://www.imdb.com/title/tt0187738/?ref_=fn_tt_tt_1,559,USA,2002,1.85
Gabriele Muccino,123,835,Rosario Dawson,Will Smith,Seven Pounds ,1,http://www.imdb.com/title/tt0814314/?ref_=fn_tt_tt_1,599,USA,2008,2.35
Walter Hill,92,565,Jason Momoa,Sylvester Stallone,Bullet to the Head ,3,http://www.imdb.com/title/tt1308729/?ref_=fn_tt_tt_1,131,USA,2012,1.85
Francis Ford Coppola,170,889,Joe Mantegna,Al Pacino,The Godfather: Part III ,1,http://www.imdb.com/title/tt0099674/?ref_=fn_tt_tt_1,545,USA,1990,1.85
Cameron Crowe,123,2000,Kirsten Dunst,Orlando Bloom,Elizabethtown ,0,http://www.imdb.com/title/tt0368709/?ref_=fn_tt_tt_1,495,USA,2005,1.85
Anthony Russo,110,240,Billy Gardell,Todd Stashwick,"You, Me and Dupree ",1,http://www.imdb.com/title/tt0463034/?ref_=fn_tt_tt_1,195,USA,2006,1.85
Richard Lester,116,420,Ned Beatty,Margot Kidder,Superman II ,4,http://www.imdb.com/title/tt0081573/?ref_=fn_tt_tt_1,269,USA,1980,2.35
Martin Brest,121,43,Lenny Venito,Todd Giebenhain,Gigli ,0,http://www.imdb.com/title/tt0299930/?ref_=fn_tt_tt_1,418,USA,2003,2.35
Steven Zaillian,128,581,Anthony Hopkins,Kate Winslet,All the King's Men ,0,http://www.imdb.com/title/tt0405676/?ref_=fn_tt_tt_1,178,Germany,2006,1.85
John Singleton,99,577,Vanessa Williams,Christian Bale,Shaft ,0,http://www.imdb.com/title/tt0162650/?ref_=fn_tt_tt_1,301,Germany,2000,2.35
Don Bluth,94,753,Kelsey Grammer,Kirsten Dunst,Anastasia ,1,http://www.imdb.com/title/tt0118617/?ref_=fn_tt_tt_1,191,USA,1997,2.35
Baz Luhrmann,127,653,Kylie Minogue,Jim Broadbent,Moulin Rouge! ,1,http://www.imdb.com/title/tt0203009/?ref_=fn_tt_tt_1,2319,USA,2001,2.35
Harold Becker,89,303,Teri Polo,Steve Buscemi,Domestic Disturbance ,1,http://www.imdb.com/title/tt0249478/?ref_=fn_tt_tt_1,190,USA,2001,2.35
Scott Cooper,123,3000,Benedict Cumberbatch,Johnny Depp,Black Mass ,7,http://www.imdb.com/title/tt1355683/?ref_=fn_tt_tt_1,289,USA,2015,2.35
Clint Eastwood,135,310,Chris Bauer,Paul Walker,Flags of Our Fathers ,0,http://www.imdb.com/title/tt0418689/?ref_=fn_tt_tt_1,415,USA,2006,2.35
F. Gary Gray,118,963,Leslie Bibb,Gerard Butler,Law Abiding Citizen ,0,http://www.imdb.com/title/tt1197624/?ref_=fn_tt_tt_1,429,USA,2009,2.35
Robert Rodriguez,189,1000,Rosario Dawson,Quentin Tarantino,Grindhouse ,0,http://www.imdb.com/title/tt0462322/?ref_=fn_tt_tt_1,532,USA,2007,2.35
Jonathan Demme,172,466,Kimberly Elise,Oprah Winfrey,Beloved ,1,http://www.imdb.com/title/tt0120603/?ref_=fn_tt_tt_1,207,USA,1998,1.85
Curtis Hanson,124,681,Robert Duvall,Robert Downey Jr.,Lucky You ,1,http://www.imdb.com/title/tt0338216/?ref_=fn_tt_tt_1,63,USA,2007,2.35
Steven Spielberg,141,3000,Tom Hanks,Leonardo DiCaprio,Catch Me If You Can ,0,http://www.imdb.com/title/tt0264464/?ref_=fn_tt_tt_1,667,USA,2002,1.85
Kathryn Bigelow,157,304,Harold Perrineau,Jennifer Ehle,Zero Dark Thirty ,0,http://www.imdb.com/title/tt1790885/?ref_=fn_tt_tt_1,640,USA,2012,1.85
Peyton Reed,106,931,John Michael Higgins,Jon Favreau,The Break-Up ,1,http://www.imdb.com/title/tt0452594/?ref_=fn_tt_tt_1,483,USA,2006,1.85
Phyllida Lloyd,108,838,Meryl Streep,Colin Firth,Mamma Mia! ,1,http://www.imdb.com/title/tt0795421/?ref_=fn_tt_tt_1,611,USA,2008,2.35
Garry Marshall,125,11000,Taylor Lautner,Bradley Cooper,Valentine's Day ,12,http://www.imdb.com/title/tt0817230/?ref_=fn_tt_tt_1,211,USA,2010,1.85
Jay Chandrasekhar,107,379,Jessica Simpson,Alice Greczyn,The Dukes of Hazzard ,5,http://www.imdb.com/title/tt0377818/?ref_=fn_tt_tt_1,612,USA,2005,2.35
Terrence Malick,215,463,Miranda Otto,Nick Stahl,The Thin Red Line ,0,http://www.imdb.com/title/tt0120863/?ref_=fn_tt_tt_1,1448,USA,1998,2.35
