director_name,num_critic_for_reviews,director_facebook_likes,actor_2_name,gross,genres,actor_1_name,movie_title,cast_total_facebook_likes,actor_3_name,plot_keywords,content_rating,budget,actor_2_facebook_likes,imdb_score,aspect_ratio
Tony Kaye,47,194,Pat Buchanan,23807,Documentary,Noam Chomsky,Lake of Fire ,105,Bill Baird,abortion|southern accent|title based on the bible|trial|usa,Unrated,,2,8.3,
Greg Marcks,68,9,Barbara Hershey,,Comedy|Crime|Drama,Henry Thomas,11:14 ,2200,Shawn Hatosy,convenience store|multiple perspectives|murder|paramedic|van,R,6000000,618,7.2,1.85
Perry Lang,19,17,Kevin Tighe,,Action|Drama|Thriller,Catherine Bell,Men of War ,2152,Tim Guinee,cockney accent|fight|island|machismo|mercenary,R,8600000,472,5.8,2.35
Jake Goldberger,39,2,M. Emmet Walsh,,Drama|Mystery|Thriller,Pruitt Taylor Vince,Don McKay ,1227,Robert Wahlberg,dead body|dead body in a freezer|dead body wrapped in carpet|person in a car trunk|school janitor,R,,521,5.9,1.85
Stefan Ruzowitzky,162,24,Olivia Wilde,65804,Crime|Drama|Thriller,Charlie Hunnam,Deadfall ,27575,Sissy Spacek,police officer|police officer killed|police officer shot|sex scene,R,12000000,10000,6.3,2.35
Vic Sarin,37,24,Aidan Quinn,,Drama|Family,Connie Nielsen,A Shine of Rainbows ,1940,John Bell,island|love|new home|orphan|rainbow,PG,6000000,767,7.2,2.35
William Kaufman,26,58,Sean Cook,,Action|Thriller,Drew Waters,The Hit List ,3469,Cole Hauser,die hard scenario|engineer|held at gunpoint|race against time|shot to death,R,6000000,816,5.4,1.85
,10,,Blake Ritson,,Comedy|Drama|Romance,Romola Garai,Emma             ,2563,Rupert Evans,friendship|love triangle|matchmaker|naivety|opposites attract,,,432,8.2,1.78
David Cronenberg,179,0,Leslie Carlson,,Horror|Mystery|Sci-Fi|Thriller,Debbie Harry,Videodrome ,477,Reiner Schwarz,cyberpunk|hallucination|illegality|snuff film|surrealism,R,5952000,20,7.3,1.85
Cédric Klapisch,88,82,Cécile De France,3895664,Comedy|Drama,Romain Duris,L'auberge espagnole ,1858,Iddo Goldberg,apartment|erasmus|language|student|trip,R,5300000,447,7.3,1.85
Kate Barker-Froyland,43,4,Shawn Parsons,20200,Drama|Music,Anne Hathaway,Song One ,12772,Li Jun Li,musician|number in title|recording|sibling,PG-13,6000000,485,5.8,
Barbet Schroeder,136,58,Chris Penn,31874869,Crime|Mystery|Thriller,Ryan Gosling,Murder by Numbers ,34605,Agnes Bruckner,disposing of a dead body|high school student|murder|sociopath|teenage boy,R,50000000,455,6.1,1.85
Martin Koolhoven,111,12,Tygo Gernandt,542860,Drama|History|War,Yorick van Wageningen,Winter in Wartime ,219,Martijn Lakemeier,horse|nazi|occupation|resistance movement|uncle nephew relationship,R,4000000,20,7.1,2.35
Charles Matthau,13,139,Michael Jai White,,Comedy|Crime|Thriller,Billy Burke,Freaky Deaky ,6569,Bill Duke,black panties|bomb squad|car bomb|dynamite|girl in panties,R,6000000,2000,6.5,
John Frankenheimer,64,287,Paul Scofield,,Thriller|War,Jeanne Moreau,The Train ,502,Michel Simon,art|french|german|painting|train,Unrated,6700000,94,7.9,1.66
Christopher M. Bessette,6,0,John Billingsley,15059,Drama|Thriller,Mira Sorvino,Trade of Innocents ,1443,Trieu Tran,angkor wat|human trafficking|sex slavery|sex tourism,PG-13,,323,5.4,2.35
Prachya Pinkaew,112,64,Nathan Jones,11905519,Action|Crime|Drama|Thriller,Jon Foo,The Protector ,2205,Johnny Nguyen,die hard scenario|elephant|long take|police|sydney australia,R,200000000,635,7.1,1.85
Gary Sinyor,12,0,Frank Finlay,69582,Comedy,Sean Pertwee,Stiff Upper Lips ,1477,Samuel West,class conflict|edwardian era|england|sexual awakening|spoof,R,,338,6.4,1.85
,15,,Belinda Stewart-Wilson,,Comedy|Romance,Simon Bird,The Inbetweeners             ,1239,James Buckley,black comedy|bully|friend|house|practical joke,TV-14,,223,8.4,16.0
Gurinder Chadha,161,98,Parminder Nagra,32541719,Comedy|Drama|Romance|Sport,Archie Panjabi,Bend It Like Beckham ,2201,Anupam Kher,hinduism|marriage engagement|soccer|team|tradition,PG-13,3500159,528,6.7,1.85
John Sayles,68,407,Edie Falco,3064356,Drama|Romance,Miguel Ferrer,Sunshine State ,2584,Timothy Hutton,african american|business|coastline|florida|real estate,PG-13,5600000,659,6.9,1.85
Preston A. Whitmore II,25,17,Wayne Brady,7009668,Action|Sport,Wesley Jonathan,Crossover ,2000,Eva Marcille,african american|basketball|basketball movie|critically bashed|tv commercial,PG-13,5600000,378,2.1,1.85
Ashish R. Mohan,23,2,Mithun Chakraborty,352684,Action|Comedy,Asin,Khiladi 786 ,1065,Johnny Lever,car crash|impersonating a police officer|long lost brother|marriage bureau|suitor,Not Rated,,284,4.3,
Jaume Balagueró,222,57,Pablo Rosso,27024,Horror,Jonathan D. Mellor,[Rec] 2 ,73,Andrea Ros,apartment|apartment building|blood sample|crucifix|zombie,R,5600000,9,6.6,1.85
Stewart Raffill,9,12,Alexis Biesiada,531806,Musical,Kayla Jackson,Standing Ovation ,72,Kayla Raparelli,dance|dream|frog|philadelphia pennsylvania|snake,PG,,11,3.4,
George Roy Hill,119,131,Robert Shaw,159600000,Comedy|Crime|Drama,Eileen Brennan,The Sting ,2387,Ray Walston,con|con man|courier|long con|murder,PG,5500000,559,8.3,1.85
Hugh Hudson,90,46,Ben Cross,58800000,Biography|Drama|Sport,Alice Krige,Chariots of Fire ,1651,John Gielgud,athlete|jew|missionary|olympic games|race,PG,5500000,303,7.2,1.85
Darren Grant,62,0,Kimberly Elise,50382128,Comedy|Drama|Romance,Cicely Tyson,Diary of a Mad Black Woman ,2723,Tamara Taylor,comic relief|diary|kiss|madea series|state flag,PG-13,5500000,637,5.6,1.85
Scott Hicks,71,96,Armin Mueller-Stahl,35811509,Biography|Drama|Music|Romance,Noah Taylor,Shine ,888,Nicholas Bell,abuse|australia|concert|pianist|piano,PG-13,5500000,294,7.7,1.85
Joseph Gordon-Levitt,364,23000,Scarlett Johansson,24475193,Comedy|Drama|Romance,Joseph Gordon-Levitt,Don Jon ,44265,Tony Danza,camera focus on female butt|cunnilingus|new jersey|oral sex|reference to facebook,R,3000000,19000,6.6,2.35
Clint Eastwood,72,16000,Richard Bull,,Mystery|Western,Clint Eastwood,High Plains Drifter ,17599,John Hillerman,gravestone|gunfighter|outlaw|revenge|small town,R,5500000,742,7.6,2.35
Terry Zwigoff,122,72,Steve Buscemi,6200756,Comedy|Drama,Scarlett Johansson,Ghost World ,34106,T.J. Thyne,art class|diner|friend|graduation|high school,R,7000000,12000,7.4,1.85
Richard Eyre,100,14,Jim Broadbent,1292119,Biography|Drama|Romance,Kate Winslet,Iris ,16768,Kris Marshall,alzheimer's disease|book|love|novelist|writer,R,5500000,1000,7.1,1.85
William Sachs,24,14,Avery Schreiber,,Comedy|Sci-Fi,Stephen Macht,Galaxina ,396,Angelo Rossitto,alien|android|fem bot|female android|stars,R,,110,3.4,2.35
Christophe Barratier,112,25,François Berléand,3629758,Drama|Music,Jean-Baptiste Maunier,The Chorus ,745,Gérard Jugnot,boarding school|boy|choir|school|teacher,PG-13,5500000,86,7.9,2.35
Émile Gaudreault,67,9,Luke Kirby,6239558,Comedy|Drama,Paul Sorvino,Mambo Italiano ,1033,Claudia Ferri,gay|immigrant|italian|police|police officer,R,5000000,210,6.7,1.85
James Cox,91,10,Louis Lombardi,1056102,Crime|Drama|Mystery|Thriller,Alexis Dziena,Wonderland ,1315,Franky G,murder|police|police investigation|porn star|robbery,R,5000000,436,6.6,1.85
Spike Lee,103,0,John Savage,27545445,Drama,Ruby Dee,Do the Right Thing ,2892,Danny Aiello,black militant|frustration|pizza|pizza parlor|pizzeria,R,6500000,652,7.9,1.85
James Toback,27,56,Eric Stoltz,56007,Comedy|Crime|Drama|Romance|Thriller,Sarah Michelle Gellar,Harvard Man ,6776,Joey Lauren Adams,basketball|cheerleader|college|harvard|philosophy,R,5500000,902,4.9,2.35
Aki Kaurismäki,205,592,Kati Outinen,611709,Comedy|Drama,Jean-Pierre Léaud,Le Havre ,391,Jean-Pierre Darroussin,bar|container|illegal immigrant|neighbor|shoe shiner,Not Rated,3850000,67,7.2,1.85
Gaspar Noé,192,929,Albert Dupontel,753501,Crime|Drama|Mystery|Thriller,Philippe Nahon,Irreversible ,118,Jo Prestia,long take|male frontal nudity|revenge|reverse chronology|vengeance,Not Rated,,46,7.4,2.35
Hitoshi Matsumoto,72,17,Hitoshi Matsumoto,22770,Comedy|Drama,Lindsay Kay Hayward,R100 ,81,Shinobu Terajima,coma|one word title|spitting|sushi|swimming pool,Unrated,5500000,17,6.1,1.85
Rakeysh Omprakash Mehra,33,85,Steven Mackintosh,2197331,Comedy|Drama|History|Romance,Anupam Kher,Rang De Basanti ,1519,Madhavan,freedom|friend|india|student|urination,Not Rated,,227,8.4,2.35
Collin Schiffli,22,4,John Heard,,Drama,Kim Shaw,Animals ,2030,David Dastmalchian,drug addict|drug addiction|drug use|drugs|junkie,,,697,6.2,2.35
George Ratliff,48,3,Cree Kelly,27445,Action|Comedy|Drama|Thriller,Jim Gaffigan,Salvation Boulevard ,561,Mike Eshaq,cross|doused with gasoline|pastor|security guard|shower,R,9000000,39,5.3,1.85
David Wain,65,136,Ken Marino,766487,Comedy|Romance,Jon Hamm,The Ten ,4883,Ron Silver,death|mexico|sabbath|surgeon|ten stories,R,5250000,543,5.0,1.85
Shane Meadows,29,222,Paddy Considine,18434,Comedy|Drama,Bob Hoskins,A Room for Romeo Brass ,6111,Shane Meadows,betrayal|family relationships|friendship|psychosis|stranger,R,,680,7.7,1.85
Morten Tyldum,284,77,Synnøve Macody Lund,1196752,Crime|Drama|Thriller,Aksel Hennie,Headhunters ,385,Julie R. Ølgaard,art thief|male frontal nudity|male nudity|male star appears nude|painting,R,30300000,52,7.6,2.39
Jon Wright,187,4,Richard Coyle,,Comedy|Horror|Sci-Fi|Thriller,Russell Tovey,Grabbers ,1832,Bronagh Gallagher,bathtub|eaten alive|ferry boat|lobster trap|sprinkler system,Not Rated,4000000,567,6.3,2.35
Michael McGowan,47,12,Adam Butcher,795126,Comedy|Drama|Sport,Campbell Scott,Saint Ralph ,955,Gordon Pinsent,boston marathon|coma|marathon|miracles|running,PG-13,6000000,259,7.6,1.85
Liv Ullmann,88,440,Jessica Chastain,,Drama|Romance,Samantha Morton,Miss Julie ,631,Colin Farrell,kissing someone's boot|midsummer|telling someone to shut up|two word title|valet,PG-13,5500000,0,5.6,
Jeannot Szwarc,41,82,Bill Erwin,,Drama|Fantasy|Romance,Teresa Wright,Somewhere in Time ,454,George Voskovec,hotel|love|love across time|time travel|time travel romance,PG,5100000,191,7.3,1.85
Rohan Sippy,24,4,Bipasha Basu,563699,Action|Crime|Drama|Thriller,Abhishek Bachchan,Dum Maaro Dum ,787,Prateik,airport|drugs|loss of loved one|police|title based on song,R,,282,6.2,
James Wan,318,0,Barbara Hershey,83574831,Fantasy|Horror|Thriller,Lin Shaye,Insidious: Chapter 2 ,2975,Leigh Whannell,barricading a door|injection in leg|police detective|supernatural|taser,PG-13,5000000,618,6.6,2.35
Darren Lynn Bousman,250,163,Tony Nappo,87025093,Horror|Mystery,Emmanuelle Vaugier,Saw II ,4134,Shawnee Smith,death|detective|nerve gas|serial killer|trap,R,4000000,654,6.6,1.85
Dan Trachtenberg,411,16,John Gallagher Jr.,71897215,Drama|Horror|Mystery|Sci-Fi|Thriller,Bradley Cooper,10 Cloverfield Lane ,14504,Sumalee Montano,alien|bunker|car crash|kidnapping|minimal cast,PG-13,15000000,338,7.3,2.35
Jeff Tremaine,106,79,Steve-O,64267897,Comedy|Documentary,Bam Margera,Jackass: The Movie ,1770,Chris Pontius,alligator|golf|japan|panda|stunt,R,5000000,362,6.6,1.85
David F. Sandberg,159,26,Amiah Miller,56536016,Horror,Billy Burke,Lights Out ,3344,Gabriel Bateman,based on short film|reference to avenged sevenfold|reference to slayer|switching lights on and off|two word title,PG-13,4900000,509,6.9,2.35
Henry Joost,251,24,Sprague Grayden,104007828,Horror,Johanna Braddy,Paranormal Activity 3 ,2371,Christopher Nicholas Smith,animate object|imaginary friend|reference to macgyver|whispering|woman wearing only a man's shirt,R,5000000,438,5.8,1.85
Stiles White,183,10,Shelley Hennig,50820940,Fantasy|Horror,Lin Shaye,Ouija ,5056,Daren Kagasoff,death of girlfriend|funeral|ghost|ouija|spirit,PG-13,5000000,707,4.4,2.35
Chuck Russell,131,55,Heather Langenkamp,44793200,Action|Fantasy|Horror|Thriller,John Saxon,A Nightmare on Elm Street 3: Dream Warriors ,1584,Jennifer Rubin,dream|freddy krueger|killer|nightmare|springwood ohio,X,4500000,449,6.6,1.85
Joel Edgerton,297,0,Allison Tolman,43771291,Mystery|Thriller,Busy Philipps,The Gift ,3215,Wendell Pierce,compulsive liar|fired from a job|gift|rape|substance abuse,R,5000000,562,7.1,2.35
Eugenio Derbez,41,399,Jessica Lindsey,44456509,Comedy|Drama,Eugenio Derbez,Instructions Not Included ,688,Hugo Stiglitz,father daughter relationship,PG-13,5000000,89,7.6,1.85
Henry Joost,248,24,Brendon Eggertsen,53884821,Horror,Matt Shively,Paranormal Activity 4 ,799,Alisha Boe,boy in a bathtub|demon|laptop computer|pulled underwater|walking in the dark,R,5000000,119,4.6,1.85
Henry Koster,42,28,Jean Simmons,36000000,Drama|History,Richard Burton,The Robe ,1920,Victor Mature,box office hit|crucifixion|nightmare|palestine|robe,Unrated,5000000,422,6.8,2.2
Blake Edwards,33,688,Herbert Lom,,Comedy|Crime|Mystery,Burt Kwouk,The Return of the Pink Panther ,971,Catherine Schell,clouseau|diamond|panther|pink|pink panther,G,5000000,278,7.1,2.35
Rachel Talalay,91,54,Tom Arnold,34872293,Comedy|Fantasy|Horror|Thriller,Johnny Depp,Freddy's Dead: The Final Nightmare ,42002,Yaphet Kotto,dark comedy|dream|freddy krueger|nightmare|serial murder,R,8500000,618,4.9,1.85
Patty Jenkins,185,260,Bruce Dern,34468224,Biography|Crime|Drama|Thriller,Charlize Theron,Monster ,11736,Pruitt Taylor Vince,beach|female criminal|hooker|lesbian|prostitute,R,4500000,844,7.3,1.85
Richard Fleischer,69,130,Robert J. Wilke,,Adventure|Drama|Family|Fantasy|Sci-Fi,James Mason,20,000 Leagues Under the Sea ,799,Paul Lukas,captain|expedition|sea|submarine|whale,Approved,5000000,53,7.2,1.37
Christopher Landon,220,52,Gloria Sandoval,32453345,Fantasy|Horror|Thriller,Richard Cabral,Paranormal Activity: The Marked Ones ,2161,Molly Ephraim,apartment|blood|demonic possession|neighbor|pentagram,R,5000000,358,5.0,1.78
David Lynch,117,0,Anne Bancroft,,Biography|Drama,Anthony Hopkins,The Elephant Man ,13864,Dexter Fletcher,curiosity|exploitation|freak|hospital|physical deformity,PG,5000000,754,8.2,2.35
Jean-Marc Vallée,471,212,Jennifer Garner,27296514,Biography|Drama,Matthew McConaughey,Dallas Buyers Club ,17738,Denis O'Hare,drugs|fda|gay community|hiv|homophobia,R,5000000,3000,8.0,2.35
David Gelb,152,26,Mark Duplass,25799043,Horror|Sci-Fi|Thriller,Olivia Wilde,The Lazarus Effect ,11771,Donald Glover,electrocuted|experiment|hell|serum|university,PG-13,3300000,830,5.2,2.35
Christopher Nolan,274,22000,Thomas Lennon,25530884,Mystery|Thriller,Callum Rennie,Memento ,1997,Jorja Fox,flashback|memory|murder|short term memory|telephone,R,9000000,651,8.5,2.35
Mike Flanagan,336,59,Rory Cochrane,27689474,Horror|Mystery,James Lafferty,Oculus ,2071,Garrett Ryan,home office|mirror|released from a mental hospital|trauma|video camera,R,5000000,407,6.5,2.35
Kevin Smith,174,0,Jason Mewes,24138847,Comedy,Ethan Suplee,Clerks II ,2990,Brian O'Halloran,fast food|fast food restaurant|new jersey|quick stop|restaurant,R,5000000,898,7.4,1.85
Stephen Daldry,151,335,Gary Lewis,21994911,Drama|Music,Julie Walters,Billy Elliot ,1122,Jamie Draven,audition|ballet|boxing|miner|miners strike,R,5000000,203,7.7,1.85
Nat Faxon,276,214,Liam James,21501098,Comedy|Drama,Steve Carell,The Way Way Back ,8375,Jim Rash,awkward boy|shy kid|summer|vacation|water park,PG-13,5000000,468,7.4,1.85
George Jackson,12,0,Tisha Campbell-Martin,19281235,Comedy|Drama|Music|Romance,William Schallert,House Party 2 ,2523,Helen Martin,college|misogyny|money|new friend|party,R,5000000,413,5.1,1.85
George Miller,18,18,Jack Thompson,,Adventure|Drama|Family|Romance|Western,Tony Bonner,The Man from Snowy River ,854,Tom Burlinson,australia|brumby|ranch|stallion|twin,PG,3500000,155,7.3,2.35
Maurice Joyce,28,0,Constance Shulman,19421271,Animation|Comedy|Family,Frank Welker,Doug's 1st Movie ,2908,Alice Playten,dance|friend|monster|reference to batman|valentine,G,5000000,804,5.0,1.33
Robert Duvall,95,3000,Todd Allen,20733485,Drama,John Beasley,The Apostle ,428,June Carter Cash,church|louisiana|minister|preacher|texas,PG-13,5000000,130,7.2,1.85
Frank Perry,74,24,Xander Berkeley,,Biography|Drama,Faye Dunaway,Mommie Dearest ,2014,Diana Scarwid,abusive mother|adopted daughter|borderline personality disorder|perfection|sadistic cruelty,R,5000000,485,6.7,1.85
Jesse Peretz,179,37,Adam Scott,24809547,Comedy|Drama,Zooey Deschanel,Our Idiot Brother ,15710,Steve Coogan,art model|farmer|jail|nude model|three sisters,R,5000000,3000,6.4,1.85
Stephen Hopkins,125,81,Tony Curran,19097994,Biography|Drama|Sport,William Hurt,Race ,2410,David Kross,1930s|athlete|nazi germany|olympics|track and field,PG-13,,845,7.1,2.35
Ice Cube,22,0,Monica Calhoun,23031390,Comedy|Drama,Bernie Mac,The Players Club ,2868,Chrystale Wilson,catfight|dominatrix|rape|spanking|stripper,R,4500000,597,5.6,1.85
Tim Blake Nelson,92,596,Andrew Keegan,16017403,Drama|Romance|Thriller,Mekhi Phifer,O ,3300,John Heard,basketball|basketball player|boarding school|love|shakespeare's othello,R,5000000,835,6.2,1.85
John Erick Dowdle,196,66,Edwin Hodge,21197315,Horror|Mystery|Thriller,Ben Feldman,As Above, So Below ,1410,Perdita Weeks,archeologist|catacomb|found footage|paris france|philosopher's stone,R,5000000,200,6.1,1.85
Bille Woodruff,9,23,Cameron Mills,17382982,Drama|Thriller,Boris Kodjoe,Addicted ,2840,Sharon Leal,adultery|attraction|lust|obsession|temptation,R,5000000,694,5.2,1.85
Kasi Lemmons,31,148,Lynn Whitfield,14821531,Drama,Jurnee Smollett-Bell,Eve's Bayou ,3843,Diahann Carroll,doctor|louisiana|secret|title directed by female|witchcraft,R,6000000,434,7.3,1.85
Richard Glatzer,309,25,Hunter Parrish,18656400,Drama,Kristen Stewart,Still Alice ,19673,Seth Gilliam,alzheimer's disease|bechdel test passed|linguistics professor|new york city|reference to angels in america the play,PG-13,5000000,2000,7.5,1.85
Michael Curtiz,15,345,Peter Ustinov,,Drama|History,Gene Tierney,The Egyptian ,2112,Jean Simmons,afterlife|egypt|pharaoh|princess|pyramid,Approved,5000000,440,6.6,2.55
Bruce Malmuth,36,6,Lindsay Wagner,,Action|Crime|Thriller,Sylvester Stallone,Nighthawks ,14306,Persis Khambatta,bomb|new york city|partner|shooting|terrorist,R,5000000,970,6.4,1.85
Rob Hedden,129,6,Peter Mark Richman,14343976,Adventure|Horror,Kane Hodder,Friday the 13th Part VIII: Jason Takes Manhattan ,1327,Scott Reeves,cult film|friday the thirteenth|hockey mask|jason voorhees|murder spree,R,5000000,120,4.5,1.85
Joel Zwick,168,38,Louis Mandylor,241437427,Comedy|Family|Romance,Nia Vardalos,My Big Fat Greek Wedding ,1495,Lainie Kazan,baptism|greek|greek restaurant|prejudice|travel agency,PG,5000000,312,6.6,1.85
Harmony Korine,444,520,Heather Morris,14123773,Crime|Drama,James Franco,Spring Breakers ,12306,Rachel Korine,kissing a dead body|repeated dialogue|sex in pool|spring break|twins,R,5000000,892,5.3,2.35
Joe Chappelle,123,13,Kim Darby,15126948,Horror|Thriller,Donald Pleasence,Halloween: The Curse of Michael Myers ,1227,Mitchell Ryan,halloween|michael myers|nudity|returning character with different actor|slasher flick,R,5000000,152,4.9,1.85
Alfonso Cuarón,173,0,Daniel Giménez Cacho,13622333,Adventure|Comedy|Drama|Romance,Maribel Verdú,Y Tu Mamá También ,361,María Aura,beach|cleaning a swimming pool|male male kiss|mexico|on the road,R,2000000,43,7.7,1.85
Edgar Wright,246,1000,Dylan Moran,13464388,Comedy|Horror,Peter Serafinowicz,Shaun of the Dead ,1686,Rafe Spall,british horror|pub|record collection|zombie|zombie apocalypse,R,4000000,427,8.0,2.35
Mickey Liddell,74,7,Randy Wayne,13350177,Drama|Horror|Thriller,Jessica Lowndes,The Haunting of Molly Hartley ,4856,Haley Bennett,18th birthday|birthday|community center|resurrection|teenager,PG-13,5000000,984,3.8,1.85
John Sayles,68,407,Clifton James,13269963,Drama|Mystery,Matthew McConaughey,Lone Star ,11400,Miriam Colon,father son relationship|interracial relationship|neo western|sheriff|texas,R,5000000,189,7.6,2.35
Dwight H. Little,144,27,Kathleen Kinmont,17768000,Horror|Thriller,Donald Pleasence,Halloween 4: The Return of Michael Myers ,1136,Ellie Cornell,halloween|michael myers|murder|niece|october,R,5000000,120,5.9,1.85
Fred Walton,96,17,Deborah Foreman,12947763,Horror|Mystery,Thomas F. Wilson,April Fool's Day ,1160,Clayton Rohner,april fool's day|island|mansion|psycho|secret,R,5000000,190,6.2,2.35
Barry Levinson,42,272,Daniel Stern,14100000,Comedy|Drama,Steve Guttenberg,Diner ,2943,Ellen Barkin,baltimore colts|diner|marriage|salesman|wedding,R,5000000,796,7.2,1.85
Steve Carver,29,8,William Sanderson,12200000,Action|Crime|Drama|Thriller|Western,David Carradine,Lone Wolf McQuade ,2383,Robert Beltran,drugs|martial arts|texas|texas ranger|weapon,PG,5000000,400,6.3,1.85
Gonzalo López-Gallego,228,17,Ryan Robbins,17683670,Horror|Mystery|Sci-Fi|Thriller,Warren Christie,Apollo 18 ,1520,Andrew Airlie,cosmonaut|footprint|found footage|moon|secret mission,PG-13,5000000,270,5.2,1.33
Christine Jeffs,195,19,Mary Lynn Rajskub,12055108,Comedy|Drama,Clifton Collins Jr.,Sunshine Cleaning ,2528,Paul Dooley,business|crime scene cleanup|private school|school|sister sister relationship,R,8000000,934,6.9,2.35
John Erick Dowdle,203,66,Claire Geare,27285953,Action|Thriller,Sterling Jerins,No Escape ,259,Sahajak Boonthanakit,asia|fictional country|hotel|rebellion|revolution,R,5000000,78,6.8,1.85
Don Coscarelli,44,152,John Amos,,Action|Adventure|Fantasy,Vanna Bonta,The Beastmaster ,23714,Rip Torn,breasts|critically acclaimed|female frontal nudity|psychotronic film|sword and sorcery,PG,8000000,982,6.2,1.85
King Vidor,14,54,George Sanders,,Drama|History|Romance|War,Gina Lollobrigida,Solomon and Sheba ,1332,Finlay Currie,king|pharaoh|queen|queen of sheba|tribe,,5000000,333,6.2,2.2
Michael Tiddes,59,89,Mike Epps,11675178,Comedy,Fred Willard,Fifty Shades of Black ,2848,Russell Peters,color in title|parody|reference to cuba gooding jr|reference to netflix|written by star,R,5000000,706,3.5,
Bill Duke,45,1000,Jenifer Lewis,10572742,Drama|Romance,Eddie Cibrian,Not Easily Broken ,2269,Wood Harris,african american protagonist|based on novel|title spoken by character,PG-13,8000000,578,6.1,1.85
Frank Borzage,42,57,Helen Hayes,,Drama|Romance|War,Gary Cooper,A Farewell to Arms ,1284,Adolphe Menjou,1910s|ambulance driver|italy|lake|nurse,Unrated,800000,164,6.6,1.37
Bille Woodruff,12,23,Brandy Norwood,9658370,Comedy|Romance,Donald Faison,The Perfect Match ,3552,Lauren London,,R,5000000,509,4.5,
Mamoru Hosoda,29,99,Colleen O'Shaughnessey,9628751,Action|Adventure|Animation|Family|Sci-Fi,Lara Jill Miller,Digimon: The Movie ,315,Mona Marshall,based on video game|box office hit|computer|digimon|internet,PG,5000000,45,5.9,1.85
Brian Dannelly,121,12,Patrick Fugit,8786715,Comedy|Drama,Macaulay Culkin,Saved! ,5668,Eva Amurri Martino,christian|jewish|pastor|school|virginity,PG-13,5000000,835,6.9,1.85
