director_name,num_critic_for_reviews,duration,actor_2_name,gross,movie_title,cast_total_facebook_likes,plot_keywords,movie_imdb_link,language,country,budget,title_year,actor_2_facebook_likes,aspect_ratio
David Zucker,151,84,Pamela Anderson,110000082,Scary Movie 3 ,3629,crop circle|farm|orchestral music score|reference to michael jackson|videotape,http://www.imdb.com/title/tt0306047/?ref_=fn_tt_tt_1,English,USA,48000000,2003,780,1.85
Donald Petrie,140,109,Wendy Raquel Robinson,106807667,Miss Congeniality ,1574,beauty pageant|fbi|female agent|pageant|undercover,http://www.imdb.com/title/tt0212346/?ref_=fn_tt_tt_1,English,USA,45000000,2000,337,1.85
Eric Brevig,201,93,Brendan Fraser,101702060,Journey to the Center of the Earth ,17925,cave|lost world|missing brother|mountain|venus flytrap,http://www.imdb.com/title/tt0373051/?ref_=fn_tt_tt_1,English,USA,45000000,2008,3000,1.85
Garry Marshall,77,113,Raven-Symoné,95149435,The Princess Diaries 2: Royal Engagement ,15362,coronation|horse|princess|queen|side saddle,http://www.imdb.com/title/tt0368933/?ref_=fn_tt_tt_1,English,USA,40000000,2004,1000,1.85
Alan J. Pakula,43,141,Julia Roberts,100768056,The Pelican Brief ,30063,college professor|fbi|president|professor|supreme court,http://www.imdb.com/title/tt0107798/?ref_=fn_tt_tt_1,English,USA,45000000,1993,8000,2.35
Joel Schumacher,39,119,Anthony LaPaglia,92115211,The Client ,4043,boy|brother|lawyer|mafia|senator,http://www.imdb.com/title/tt0109446/?ref_=fn_tt_tt_1,English,USA,45000000,1994,577,2.35
Rob Reiner,207,97,Noel Gugliemi,93452056,The Bucket List ,14868,billionaire|friend|hospital|list|mechanic,http://www.imdb.com/title/tt0825232/?ref_=fn_tt_tt_1,English,USA,45000000,2007,2000,1.85
Phillip Noyce,47,117,Polly Walker,83287363,Patriot Games ,12757,analyst|cia|ira|terrorist|terrorist attack,http://www.imdb.com/title/tt0105112/?ref_=fn_tt_tt_1,English,USA,45000000,1992,530,2.35
Robert Luketic,132,101,Jane Fonda,82931301,Monster-in-Law ,6292,breakdown|fight|mother in law|scheme|wedding,http://www.imdb.com/title/tt0369735/?ref_=fn_tt_tt_1,English,Germany,60000000,2005,949,2.35
Denis Villeneuve,454,153,Jake Gyllenhaal,60962878,Prisoners ,37321,child abduction|detective|investigation|police|sex offender,http://www.imdb.com/title/tt1392214/?ref_=fn_tt_tt_1,English,USA,46000000,2013,15000,1.85
Antoine Fuqua,109,122,Snoop Dogg,76261036,Training Day ,22370,lapd|narc|narcotics|title spoken by character|training,http://www.imdb.com/title/tt0139654/?ref_=fn_tt_tt_1,English,USA,45000000,2001,881,2.35
Dean Parisot,213,102,Enrico Colantoni,71423726,Galaxy Quest ,26998,alien|alien race|convention|fan|general,http://www.imdb.com/title/tt0177789/?ref_=fn_tt_tt_1,English,USA,45000000,1999,724,2.35
Keenen Ivory Wayans,127,83,Veronica Cartwright,71277420,Scary Movie 2 ,1645,blow job|demon|exorcism|priest|professor,http://www.imdb.com/title/tt0257106/?ref_=fn_tt_tt_1,English,USA,45000000,2001,422,1.85
James Bobin,398,103,Eric Jacobson,88625922,The Muppets ,1336,bel air california|book|friends who live together|the muppets|tribute band,http://www.imdb.com/title/tt1204342/?ref_=fn_tt_tt_1,English,USA,45000000,2011,91,1.85
Stephen Norrington,184,110,Traci Lords,70001065,Blade ,3174,1990s|blade|blood|vampire|vampire hunter,http://www.imdb.com/title/tt0120611/?ref_=fn_tt_tt_1,English,USA,45000000,1998,650,2.35
Thomas Carter,127,136,Rick Gonzalez,67253092,Coach Carter ,20299,basketball|basketball coach|coach|contract|high school,http://www.imdb.com/title/tt0393162/?ref_=fn_tt_tt_1,English,USA,30000000,2005,807,2.35
Roger Michell,167,91,Matt Malloy,66790248,Changing Lanes ,758,car accident|feud|lawyer|revenge|road rage,http://www.imdb.com/title/tt0264472/?ref_=fn_tt_tt_1,English,USA,45000000,2002,108,2.35
Luis Llosa,119,89,Eric Stoltz,65557989,Anaconda ,3717,amazon|anaconda|boat|jungle|snake,http://www.imdb.com/title/tt0118615/?ref_=fn_tt_tt_1,English,USA,45000000,1997,902,2.35
David McNally,155,107,Tyra Banks,60786269,Coyote Ugly ,3106,girl in panties|lift skirt|sexual attraction|short shorts|songwriter,http://www.imdb.com/title/tt0200550/?ref_=fn_tt_tt_1,English,USA,45000000,2000,625,2.35
Richard Curtis,218,129,Liam Neeson,59365105,Love Actually ,28886,aging rocker|christmas|love at first sight|minister|prime minister,http://www.imdb.com/title/tt0314331/?ref_=fn_tt_tt_1,English,UK,45000000,2003,14000,2.35
John Lasseter,117,95,Madeline Kahn,162792677,A Bug's Life ,24205,ant|circus|grasshopper|misunderstanding|overhearing,http://www.imdb.com/title/tt0120623/?ref_=fn_tt_tt_1,English,USA,120000000,1998,1000,2.35
Albert Hughes,208,122,Jason Flemyng,31598308,From Hell ,41636,freemason|jack the ripper|opium|prostitute|victorian era,http://www.imdb.com/title/tt0120681/?ref_=fn_tt_tt_1,English,USA,35000000,2001,1000,2.35
Luis Llosa,38,110,Rod Steiger,57362581,The Specialist ,13331,bomb|cia|explosive|explosives expert|miami florida,http://www.imdb.com/title/tt0111255/?ref_=fn_tt_tt_1,English,Peru,45000000,1994,279,1.85
Ron Shelton,48,135,Cheech Marin,53854588,Tin Cup ,3648,driving range|golf|golfer|tournament|winnebago,http://www.imdb.com/title/tt0117918/?ref_=fn_tt_tt_1,English,USA,45000000,1996,843,2.35
Melville Shavelson,8,111,Tom Bosley,,Yours, Mine and Ours ,7493,nurse|parent|sibling|widow|widower,http://www.imdb.com/title/tt0063829/?ref_=fn_tt_tt_1,English,USA,2500000,1968,584,1.85
Jesse Dylan,94,95,Will Ferrell,52580895,Kicking & Screaming ,27351,book|child|slapstick comedy|soccer|suburb,http://www.imdb.com/title/tt0384642/?ref_=fn_tt_tt_1,English,USA,45000000,2005,8000,2.35
Garth Jennings,276,109,Kelly Macdonald,51019112,The Hitchhiker's Guide to the Galaxy ,14073,alien|friend|galaxy|hyperspace|spaceship,http://www.imdb.com/title/tt0371724/?ref_=fn_tt_tt_1,English,USA,50000000,2005,2000,2.35
Joel Zwick,59,93,Nick Zano,48114556,Fat Albert ,4604,animated sequence|junkyard|love|party|television,http://www.imdb.com/title/tt0396592/?ref_=fn_tt_tt_1,English,USA,26000000,2004,641,2.35
Russell Mulcahy,216,94,Mike Epps,50648679,Resident Evil: Extinction ,16225,clone|convoy|crow|desert|satellite,http://www.imdb.com/title/tt0432021/?ref_=fn_tt_tt_1,English,France,45000000,2007,706,2.35
Frank Coraci,173,117,Adam Sandler,46280507,Blended ,49743,blind date|children|date|daughter|son,http://www.imdb.com/title/tt1086772/?ref_=fn_tt_tt_1,English,USA,40000000,2014,11000,1.85
Wayne Wang,99,112,Alicia Witt,38360195,Last Holiday ,3757,chef|congressman|cook|hotel|senator,http://www.imdb.com/title/tt0408985/?ref_=fn_tt_tt_1,English,USA,45000000,2006,976,2.35
Curtis Hanson,42,111,Glenn Morshower,46815748,The River Wild ,12161,criminal|rafting|river|robber|white water rafting,http://www.imdb.com/title/tt0110997/?ref_=fn_tt_tt_1,English,USA,45000000,1994,894,2.35
Frank Oz,25,96,Vincent Kartheiser,35617599,The Indian in the Cupboard ,2965,best friend|birthday|boy|friend|magic,http://www.imdb.com/title/tt0113419/?ref_=fn_tt_tt_1,English,USA,45000000,1995,845,1.85
Oliver Stone,339,141,Shea Whigham,47307550,Savages ,1948,arms tied overhead|damsel in distress|dea|marijuana|southern california,http://www.imdb.com/title/tt1615065/?ref_=fn_tt_tt_1,English,USA,45000000,2012,463,2.35
David R. Ellis,127,94,Valerie Cruz,32003620,Cellular ,1102,cell phone|distress signal|family in danger|police|stealing a car,http://www.imdb.com/title/tt0337921/?ref_=fn_tt_tt_1,English,USA,25000000,2004,216,2.35
Peter Howitt,122,87,Natalie Imbruglia,27972410,Johnny English ,1461,british|crown jewels|explosion|funeral|spy,http://www.imdb.com/title/tt0274166/?ref_=fn_tt_tt_1,English,UK,35000000,2003,304,1.85
John A. Davis,105,88,Meryl Streep,28133159,The Ant Bully ,33822,ant|miniaturization|punishment|shrinking|sudden change in size,http://www.imdb.com/title/tt0429589/?ref_=fn_tt_tt_1,English,USA,50000000,2006,11000,1.85
David Lynch,144,177,Jürgen Prochnow,27400000,Dune ,2449,desert planet|dune|giant worm|space travel|spice,http://www.imdb.com/title/tt0087182/?ref_=fn_tt_tt_1,English,USA,40000000,1984,362,2.35
Julie Taymor,156,133,T.V. Carpio,24343673,Across the Universe ,5405,anti war|liverpool|love|protest|song,http://www.imdb.com/title/tt0445922/?ref_=fn_tt_tt_1,English,USA,45000000,2007,117,2.35
Sam Mendes,323,119,Kate Winslet,22877808,Revolutionary Road ,53895,based on novel|children|connecticut|suburb|work,http://www.imdb.com/title/tt0959337/?ref_=fn_tt_tt_1,English,USA,35000000,2008,14000,2.35
Richard Donner,199,102,David Zayas,36883539,16 Blocks ,15053,alcoholic|courthouse|detective|jail|witness,http://www.imdb.com/title/tt0450232/?ref_=fn_tt_tt_1,English,Germany,52000000,2006,929,2.35
Mathieu Kassovitz,164,101,Charlotte Rampling,22531698,Babylon A.D. ,15990,box office flop|convent|mercenary|new york|pregnant,http://www.imdb.com/title/tt0364970/?ref_=fn_tt_tt_1,English,France,70000000,2008,844,2.35
John Gray,39,91,Bob Gunton,20400913,The Glimmer Man ,3855,detective|heavy rain|murder|partner|serial killer,http://www.imdb.com/title/tt0116421/?ref_=fn_tt_tt_1,English,USA,45000000,1996,461,1.85
Harold Ramis,43,117,Brian Doyle-Murray,20101861,Multiplicity ,2348,clone|cloning|construction|same actor playing two characters simultaneously on screen|year 1996,http://www.imdb.com/title/tt0117108/?ref_=fn_tt_tt_1,English,USA,45000000,1996,484,2.35
John Schultz,82,86,Carter Jenkins,25200412,Aliens in the Attic ,3423,alien|attic|boyfriend|mind control|nintendo ds,http://www.imdb.com/title/tt0775552/?ref_=fn_tt_tt_1,English,USA,45000000,2009,701,1.85
Sean Penn,150,124,Adrien Dorval,19719930,The Pledge ,793,nevada|pledge|police|porcupine|search,http://www.imdb.com/title/tt0237572/?ref_=fn_tt_tt_1,English,USA,45000000,2001,44,2.35
Susan Stroman,168,134,Will Ferrell,19377727,The Producers ,24351,accountant|money|opening night|scheme|swedish,http://www.imdb.com/title/tt0395251/?ref_=fn_tt_tt_1,English,USA,45000000,2005,8000,2.35
Pete Travis,432,95,Jason Cope,13401683,Dredd ,578,brutality|dark humor|female antagonist|female warrior|post apocalypse,http://www.imdb.com/title/tt1343727/?ref_=fn_tt_tt_1,English,UK,35000000,2012,107,2.35
Simon Wincer,60,100,Treat Williams,17300889,The Phantom ,3855,ghost|new york city|phantom|skull|superhero,http://www.imdb.com/title/tt0117331/?ref_=fn_tt_tt_1,English,Australia,45000000,1996,642,2.35
Billy Bob Thornton,85,220,Henry Thomas,15527125,All the Pretty Horses ,15006,1940s|cowboy|mexico|railway station|texas,http://www.imdb.com/title/tt0149624/?ref_=fn_tt_tt_1,English,USA,57000000,2000,861,2.35
Oliver Stone,83,212,Bob Hoskins,13560960,Nixon ,21130,courtship|election|paranoia|president|quaker,http://www.imdb.com/title/tt0113987/?ref_=fn_tt_tt_1,English,USA,50000000,1995,5000,2.35
Roman Polanski,343,128,Olivia Williams,15523168,The Ghost Writer ,2507,british prime minister|death|island|memoir|writer,http://www.imdb.com/title/tt1139328/?ref_=fn_tt_tt_1,English,France,45000000,2010,766,2.35
Stephen Sommers,106,106,Jason Flemyng,11146409,Deep Rising ,6558,creature feature|hijacker|ocean|ship|shot in the leg,http://www.imdb.com/title/tt0118956/?ref_=fn_tt_tt_1,English,USA,45000000,1998,1000,2.35
Spike Lee,158,160,Omari Hardwick,7916887,Miracle at St. Anna ,26982,boy|german soldier|partisan|trapped|village,http://www.imdb.com/title/tt1046997/?ref_=fn_tt_tt_1,English,USA,45000000,2008,1000,2.35
Yimou Zhang,189,114,Ye Liu,6565495,Curse of the Golden Flower ,949,china|chrysanthemum|emperor|empress|prince,http://www.imdb.com/title/tt0473444/?ref_=fn_tt_tt_1,Mandarin,China,45000000,2006,52,2.35
Danny Pang,125,99,Charlie Yeung,15279680,Bangkok Dangerous ,12166,deaf|hitman|nightclub|pickpocket|rules of profession,http://www.imdb.com/title/tt0814022/?ref_=fn_tt_tt_1,English,USA,40000000,2008,68,1.85
Barry Sonnenfeld,87,74,Janeane Garofalo,7262288,Big Trouble ,13917,airport|fbi agent|person in a car trunk|suitcase|suitcase bomb,http://www.imdb.com/title/tt0246464/?ref_=fn_tt_tt_1,English,USA,40000000,2002,1000,1.85
Mike Newell,115,139,Giovanna Mezzogiorno,4584886,Love in the Time of Cholera ,538,19th century|colombia|love|marriage|widow,http://www.imdb.com/title/tt0484740/?ref_=fn_tt_tt_1,English,USA,45000000,2007,202,2.35
,23,52,Clotilde Hesme,,The Returned             ,654,france|living dead|serial killer|small town|supernatural,http://www.imdb.com/title/tt2521668/?ref_=fn_tt_tt_1,French,France,,,116,16.0
George P. Cosmatos,24,103,Ben Gazzara,2154540,Shadow Conspiracy ,2457,american president|assassin|conspiracy|president|white house,http://www.imdb.com/title/tt0120107/?ref_=fn_tt_tt_1,English,USA,45000000,1997,623,2.35
Oliver Parker,152,101,Tim McInnerny,8129455,Johnny English Reborn ,661,assassin|chinese|conspiracy|gadget|premier,http://www.imdb.com/title/tt1634122/?ref_=fn_tt_tt_1,English,USA,45000000,2011,141,2.35
Lawrence Kasanoff,12,91,Larry Miller,,Foodfight! ,3090,femme fatale|food|pun|supermarket|troubled production,http://www.imdb.com/title/tt0249516/?ref_=fn_tt_tt_1,English,USA,65000000,2012,611,
Ben Affleck,656,130,Scoot McNairy,136019448,Argo ,3133,1970s|cia|f word|u.s. embassy|year 1979,http://www.imdb.com/title/tt1024648/?ref_=fn_tt_tt_1,English,USA,44500000,2012,660,2.35
Andrew Davis,119,130,Daniel Roebuck,183875760,The Fugitive ,13357,hospital|on the run|one armed man|surgeon|u.s. marshal,http://www.imdb.com/title/tt0106977/?ref_=fn_tt_tt_1,English,USA,44000000,1993,1000,1.85
Andy Tennant,161,110,Dorian Missick,67061228,The Bounty Hunter ,21554,bounty hunter|death|murder|police officer|reporter,http://www.imdb.com/title/tt1038919/?ref_=fn_tt_tt_1,English,USA,40000000,2010,1000,2.35
Barry Levinson,73,147,Brad Pitt,53300852,Sleepers ,37076,boy|guard|kicked in the crotch|prank|sexual abuse,http://www.imdb.com/title/tt0117665/?ref_=fn_tt_tt_1,English,USA,44000000,1996,11000,2.35
George P. Cosmatos,96,96,Julia Nickson,150415432,Rambo: First Blood Part II ,15662,1980s|mission|prison|rambo|vietnam,http://www.imdb.com/title/tt0089880/?ref_=fn_tt_tt_1,English,USA,44000000,1985,738,2.35
Brian Gibson,28,118,Demi Moore,44834712,The Juror ,26907,breasts|mafia|sex scene|temple|woods,http://www.imdb.com/title/tt0116731/?ref_=fn_tt_tt_1,English,USA,44000000,1996,2000,2.35
Norman Ferguson,105,88,Dickie Jones,84300000,Pinocchio ,1178,boy|conscience|fairy|jiminy cricket|pinocchio,http://www.imdb.com/title/tt0032910/?ref_=fn_tt_tt_1,English,USA,2600000,1940,48,1.37
Michael Cimino,102,325,Sam Waterston,1500000,Heaven's Gate ,14255,1890s|hired gun|immigrant|johnson county war|sheriff,http://www.imdb.com/title/tt0080855/?ref_=fn_tt_tt_1,English,USA,44000000,1980,849,2.35
Len Wiseman,206,102,Tony Curran,62318875,Underworld: Evolution ,2998,death|feud|forbidden love|vampire|werewolf,http://www.imdb.com/title/tt0401855/?ref_=fn_tt_tt_1,English,USA,50000000,2006,845,2.35
Paul McGuigan,159,110,Spencer Wilding,5773519,Victor Frankenstein ,12876,assistant|experiment|frankenstein|medical student|scientist,http://www.imdb.com/title/tt1976009/?ref_=fn_tt_tt_1,English,USA,40000000,2015,1000,2.35
Gus Van Sant,137,136,Rob Brown,51768623,Finding Forrester ,1801,basketball|mentor|new york|school|writing,http://www.imdb.com/title/tt0181536/?ref_=fn_tt_tt_1,English,USA,43000000,2000,370,2.35
Betty Thomas,116,103,Viggo Mortensen,37035515,28 Days ,23864,12 step program|box office hit|car accident|vomiting|wedding,http://www.imdb.com/title/tt0191754/?ref_=fn_tt_tt_1,English,USA,43000000,2000,10000,1.37
Louis Leterrier,177,103,Jet Li,24520892,Unleashed ,22383,collar|dog|fight|fighting|piano,http://www.imdb.com/title/tt0342258/?ref_=fn_tt_tt_1,English,France,45000000,2005,5000,2.35
Roger Kumble,99,90,Lillian Adams,24430272,The Sweetest Thing ,132,female removes her clothes|roommate|voyeur|voyeurism|wedding,http://www.imdb.com/title/tt0253867/?ref_=fn_tt_tt_1,English,USA,43000000,2002,28,1.85
Sydney Pollack,56,154,Holly Hunter,158348400,The Firm ,14244,bar|fbi|law|law firm|lawyer,http://www.imdb.com/title/tt0106918/?ref_=fn_tt_tt_1,English,USA,42000000,1993,1000,1.85
Burr Steers,117,99,Charlie Tahan,31136950,Charlie St. Cloud ,1066,brother brother relationship|death of brother|ghost|seeing dead people|talking with the dead,http://www.imdb.com/title/tt1438254/?ref_=fn_tt_tt_1,English,USA,44000000,2010,268,2.35
Simon West,252,93,Tony Goldwyn,29113588,The Mechanic ,27834,apprentice|disobeying orders|gas station|hitman|nightclub,http://www.imdb.com/title/tt0472399/?ref_=fn_tt_tt_1,English,USA,40000000,2011,956,2.35
Phil Lord,375,109,Dax Flame,138447667,21 Jump Street ,19968,narcotics|parody|police|remake|undercover cop,http://www.imdb.com/title/tt1232829/?ref_=fn_tt_tt_1,English,USA,42000000,2012,971,2.35
Roger Michell,150,124,Clarke Peters,116006080,Notting Hill ,9255,actress|bookstore|friend|kiss|love,http://www.imdb.com/title/tt0125439/?ref_=fn_tt_tt_1,English,UK,42000000,1999,437,2.35
