director_name,actor_2_name,num_voted_users,cast_total_facebook_likes,actor_3_name,movie_imdb_link,num_user_for_reviews,content_rating,budget,actor_2_facebook_likes,movie_facebook_likes
Nicholaus Goossen,Joel David Moore,67853,5202,Shirley Jones,http://www.imdb.com/title/tt0456554/?ref_=fn_tt_tt_1,202,R,,936,0
Tamara Jenkins,Kevin Corrigan,9427,2691,Jessica Walter,http://www.imdb.com/title/tt0120831/?ref_=fn_tt_tt_1,79,R,5000000,778,462
Sergio Leone,Woody Strode,216005,2589,Jack Elam,http://www.imdb.com/title/tt0064116/?ref_=fn_tt_tt_1,565,PG-13,5000000,423,10000
Jon Favreau,Faizon Love,15053,5245,Jonathan Silverman,http://www.imdb.com/title/tt0227005/?ref_=fn_tt_tt_1,165,R,5000000,585,393
Duncan Jones,Matt Berry,260607,19404,Benedict Wong,http://www.imdb.com/title/tt1182345/?ref_=fn_tt_tt_1,485,R,5000000,572,47000
Scott Marshall,Jami Gertz,2719,5900,Carter Jenkins,http://www.imdb.com/title/tt0415949/?ref_=fn_tt_tt_1,41,PG-13,,847,249
Ronan Chapalain,Guillaume Denaiffe,296,55,Chloe Hollings,http://www.imdb.com/title/tt1529567/?ref_=fn_tt_tt_1,4,,5000000,0,89
Atom Egoyan,Sarah Polley,26720,2820,Simon Baker,http://www.imdb.com/title/tt0120255/?ref_=fn_tt_tt_1,196,R,5000000,900,920
Xavier Beauvois,Michael Lonsdale,12411,416,Olivier Rabourdin,http://www.imdb.com/title/tt1588337/?ref_=fn_tt_tt_1,89,PG-13,4000000,135,0
Randall Miller,Freddy Rodríguez,12233,25676,Greg Collins,http://www.imdb.com/title/tt0914797/?ref_=fn_tt_tt_1,89,PG-13,5000000,579,0
Jerry Belson,Tim Thomerson,881,1324,Bess Armstrong,http://www.imdb.com/title/tt0084171/?ref_=fn_tt_tt_1,32,R,5000000,162,323
Peter Jackson,Jed Brophy,50197,14574,Liz Mullane,http://www.imdb.com/title/tt0110005/?ref_=fn_tt_tt_1,265,R,5000000,433,0
Michael Polish,Bobby Batson,2047,6617,Cynthia Barrett,http://www.imdb.com/title/tt4337690/?ref_=fn_tt_tt_1,29,PG-13,5000000,849,0
Dan Rush,Scott Takeda,40305,10517,Stephen Root,http://www.imdb.com/title/tt1531663/?ref_=fn_tt_tt_1,86,R,5000000,981,0
Jake Kasdan,Ryan O'Neal,12366,1209,Angela Featherstone,http://www.imdb.com/title/tt0120906/?ref_=fn_tt_tt_1,151,R,5000000,385,507
Brad Anderson,Jennifer Jason Leigh,281649,24994,Reg E. Cathey,http://www.imdb.com/title/tt0361862/?ref_=fn_tt_tt_1,458,R,5000000,1000,21000
Paul Schrader,Jane Adams,3665,1201,David Clennon,http://www.imdb.com/title/tt0102307/?ref_=fn_tt_tt_1,39,R,5000000,280,247
Michael Cuesta,Paz Vega,32382,12897,Robert Pralgo,http://www.imdb.com/title/tt1216491/?ref_=fn_tt_tt_1,99,R,5000000,963,13000
John Cameron Mitchell,Jon Tenney,40618,1582,Tammy Blanchard,http://www.imdb.com/title/tt0935075/?ref_=fn_tt_tt_1,144,PG-13,5000000,289,0
Fenton Bailey,Mia Kirshner,12675,5185,Marilyn Manson,http://www.imdb.com/title/tt0320244/?ref_=fn_tt_tt_1,158,R,5000000,971,0
Jeremy Saulnier,Mark Webber,28845,1836,Joe Cole,http://www.imdb.com/title/tt4062536/?ref_=fn_tt_tt_1,125,R,5000000,442,10000
Billy Kent,Tim Russ,5494,1665,Winter Ave Zoli,http://www.imdb.com/title/tt0422861/?ref_=fn_tt_tt_1,56,R,5000000,625,255
James Manera,Greg Germann,1900,3382,Kristoffer Polaha,http://www.imdb.com/title/tt2800038/?ref_=fn_tt_tt_1,56,PG-13,5000000,435,0
Wes Anderson,Darryl Cox,54478,648,Lumi Cavazos,http://www.imdb.com/title/tt0115734/?ref_=fn_tt_tt_1,184,R,7000000,96,0
Kevin Spacey,Joe Mantegna,6632,13718,Faye Dunaway,http://www.imdb.com/title/tt0115495/?ref_=fn_tt_tt_1,69,R,5000000,1000,225
Feroz Abbas Khan,Bhoomika Chawla,1311,172,Darshan Jariwala,http://www.imdb.com/title/tt0459293/?ref_=fn_tt_tt_1,25,,,45,133
Errol Morris,Megan Ambuhl Graner,3329,6,Ken Davis,http://www.imdb.com/title/tt0896866/?ref_=fn_tt_tt_1,22,R,,0,489
Dennis Hopper,Don Gordon,1599,498,Jim Byrnes,http://www.imdb.com/title/tt0081291/?ref_=fn_tt_tt_1,27,R,2200000,59,274
Eli Craig,Tyler Labine,127842,2958,Chelan Simmons,http://www.imdb.com/title/tt1465522/?ref_=fn_tt_tt_1,200,R,,779,49000
Nicholas Fackler,Ellen Burstyn,1560,4987,Martin Landau,http://www.imdb.com/title/tt1150947/?ref_=fn_tt_tt_1,15,PG,5000000,1000,777
Richard Wallace,Paul Fix,989,538,Laraine Day,http://www.imdb.com/title/tt0039927/?ref_=fn_tt_tt_1,23,Approved,3209000,116,44
Morgan J. Freeman,John Heard,1884,3207,Sara Gilbert,http://www.imdb.com/title/tt0126261/?ref_=fn_tt_tt_1,28,R,2000000,697,69
Matthew Hastings,Marc Trottier,4041,2984,Corey Sevier,http://www.imdb.com/title/tt0357585/?ref_=fn_tt_tt_1,66,R,5000000,680,174
M. Night Shyamalan,Patch Darragh,65299,1010,Olivia DeJonge,http://www.imdb.com/title/tt3567288/?ref_=fn_tt_tt_1,455,PG-13,5000000,309,27000
Brian De Palma,Daniel Stewart Sherman,8824,408,Kel O'Neill,http://www.imdb.com/title/tt0937237/?ref_=fn_tt_tt_1,108,R,5000000,29,559
Klaus Menzel,Jacqueline Bisset,1207,1789,Alice Evans,http://www.imdb.com/title/tt0305632/?ref_=fn_tt_tt_1,44,R,5000000,522,40
,Dylan Minnette,3852,5203,Bokeem Woodbine,http://www.imdb.com/title/tt0830900/?ref_=fn_tt_tt_1,47,TV-MA,,1000,634
Oren Peli,Sandra Staggs,7888,117,Jelena Nik,http://www.imdb.com/title/tt1519461/?ref_=fn_tt_tt_1,55,R,5000000,21,0
Jaume Balagueró,Tony Corvillo,23756,526,Marta Etura,http://www.imdb.com/title/tt1437358/?ref_=fn_tt_tt_1,48,Not Rated,5000000,93,0
Paul Andrew Williams,Doug Bradley,10056,1258,Georgia Groome,http://www.imdb.com/title/tt0465430/?ref_=fn_tt_tt_1,82,Unrated,2500000,337,639
Stephen Herek,Callum Blue,10734,3724,Shenae Grimes-Beech,http://www.imdb.com/title/tt1079444/?ref_=fn_tt_tt_1,80,R,5000000,738,887
Bob Saget,John Stamos,4322,10727,Jim Belushi,http://www.imdb.com/title/tt0488539/?ref_=fn_tt_tt_1,47,R,,2000,419
Jim Amatulli,Patricia Neal,215,3217,Katie Leclerc,http://www.imdb.com/title/tt1131732/?ref_=fn_tt_tt_1,2,PG-13,,617,38
,Dulé Hill,67315,4092,Timothy Omundson,http://www.imdb.com/title/tt0491738/?ref_=fn_tt_tt_1,127,TV-PG,,922,0
William H. Macy,Felicity Huffman,12672,1986,David Adam Flannery,http://www.imdb.com/title/tt1798243/?ref_=fn_tt_tt_1,60,R,5000000,508,0
Barrett Esposito,Cyndi Lauper,83,2509,Danny Aiello,http://www.imdb.com/title/tt1460798/?ref_=fn_tt_tt_1,1,PG,10000000,732,165
Mitch Davis,Jon Heder,1091,3514,Cheryl Hines,http://www.imdb.com/title/tt3703148/?ref_=fn_tt_tt_1,15,PG,,970,0
Eric Bross,Esai Morales,216,3059,Nicholas Gonzalez,http://www.imdb.com/title/tt2063015/?ref_=fn_tt_tt_1,3,TV-PG,5000000,699,58
Paul Schrader,Irène Jacob,6964,12676,Tomiwa Edun,http://www.imdb.com/title/tt1274586/?ref_=fn_tt_tt_1,47,R,5000000,316,0
Vicky Jewson,Sofia Black-D'Elia,237,1681,Lisa Kay,http://www.imdb.com/title/tt1554921/?ref_=fn_tt_tt_1,3,R,5000000,266,190
Peter Hyams,Sam Waterston,15988,5191,Hal Holbrook,http://www.imdb.com/title/tt0077294/?ref_=fn_tt_tt_1,153,PG,5000000,849,2000
Marc Bennett,Natasha Henstridge,38,4991,Costas Mandylor,http://www.imdb.com/title/tt1717210/?ref_=fn_tt_tt_1,2,,5000000,900,35
Mike Mayhall,Cody Howard,8,3021,Martin Kove,http://www.imdb.com/title/tt4453560/?ref_=fn_tt_tt_1,,,5000000,763,49
Kevin Smith,Haley Joel Osment,849,46115,Natasha Lyonne,http://www.imdb.com/title/tt3838992/?ref_=fn_tt_tt_1,4,PG-13,5000000,3000,0
Stanton Barrett,Michael Dudikoff,928,2849,Ed Quinn,http://www.imdb.com/title/tt4511566/?ref_=fn_tt_tt_1,14,,,615,0
Jirí Menzel,Ivan Barnev,6183,92,Milan Lasica,http://www.imdb.com/title/tt0284363/?ref_=fn_tt_tt_1,27,R,84450000,12,1000
Fatih Akin,Moritz Bleibtreu,29203,1519,Birol Ünel,http://www.imdb.com/title/tt1244668/?ref_=fn_tt_tt_1,26,,4000000,486,0
Billy Bob Thornton,Dwight Yoakam,72443,3967,J.T. Walsh,http://www.imdb.com/title/tt0117666/?ref_=fn_tt_tt_1,309,R,890000,324,0
Nick Murphy,Imelda Staunton,46347,2363,Joseph Mawle,http://www.imdb.com/title/tt1687901/?ref_=fn_tt_tt_1,112,R,3000000,579,10000
Eli Roth,Takashi Miike,138814,2990,Rick Hoffman,http://www.imdb.com/title/tt0450278/?ref_=fn_tt_tt_1,1516,R,4800000,1000,0
Michael Winterbottom,Shirley Henderson,11202,3690,Dylan Moran,http://www.imdb.com/title/tt0423409/?ref_=fn_tt_tt_1,123,R,2800000,887,750
Jeff Nichols,Shea Whigham,68211,1520,Robert Longstreet,http://www.imdb.com/title/tt1675192/?ref_=fn_tt_tt_1,219,R,5000000,463,14000
Frank LaLoggia,Lukas Haas,4695,2545,Katherine Helmond,http://www.imdb.com/title/tt0095484/?ref_=fn_tt_tt_1,69,R,4700000,733,0
Jeremy Brock,Julie Walters,9611,11703,Tamsin Egerton,http://www.imdb.com/title/tt0446687/?ref_=fn_tt_tt_1,70,PG-13,,838,864
Scott Foley,Greg Grunberg,4247,2469,Dagmara Dominczyk,http://www.imdb.com/title/tt2980708/?ref_=fn_tt_tt_1,11,Unrated,5000000,833,0
Tobe Hooper,Lou Perryman,19234,302,Jim Siedow,http://www.imdb.com/title/tt0092076/?ref_=fn_tt_tt_1,258,X,4700000,28,0
Sam Peckinpah,Bob Dylan,13467,2409,Jason Robards,http://www.imdb.com/title/tt0070518/?ref_=fn_tt_tt_1,106,R,4638783,476,0
Nicolas Winding Refn,Kristin Scott Thomas,83234,34779,Yayaying Rhatha Phongam,http://www.imdb.com/title/tt1602613/?ref_=fn_tt_tt_1,475,R,4800000,1000,30000
Christophe Ali,Isild Le Besco,262,286,Emmanuelle Bercot,http://www.imdb.com/title/tt0451673/?ref_=fn_tt_tt_1,6,,,40,11
Gabriela Tagliavini,Kate del Castillo,1427,2006,Camryn Manheim,http://www.imdb.com/title/tt1547090/?ref_=fn_tt_tt_1,12,R,4700000,345,491
Shekar,Diganth,57,5,Dileep Raj,http://www.imdb.com/title/tt3099638/?ref_=fn_tt_tt_1,1,,,0,2
Shona Auerbach,Sharon Small,18940,18105,Jack McElhone,http://www.imdb.com/title/tt0377752/?ref_=fn_tt_tt_1,182,PG-13,,66,2000
Leonard Farlinger,Gary Farmer,436,2668,Stephen McHattie,http://www.imdb.com/title/tt0903131/?ref_=fn_tt_tt_1,8,R,5000000,580,31
Michel Leclerc,Jacques Gamblin,6304,143,Zinedine Soualem,http://www.imdb.com/title/tt1646974/?ref_=fn_tt_tt_1,21,R,4600000,52,0
Analeine Cal y Mayor,Douglas Smith,421,1795,Kim Ly,http://www.imdb.com/title/tt2091427/?ref_=fn_tt_tt_1,3,,4700000,480,199
Tom Kalin,Elena Anaya,8867,15093,Stephen Dillane,http://www.imdb.com/title/tt0379976/?ref_=fn_tt_tt_1,65,Not Rated,4600000,1000,0
