director_name,num_critic_for_reviews,duration,actor_2_name,genres,movie_title,num_voted_users,actor_3_name,facenumber_in_poster,plot_keywords,language,content_rating,budget,aspect_ratio
John Milius,166,129,Mako,Adventure|Fantasy,Conan the Barbarian ,113065,Sandahl Bergman,0,actual animal killed|cult|evil sorcerer|gladiator|warlord,English,R,20000000,2.35
Ron Howard,201,144,Bruce McGill,Biography|Drama|Sport,Cinderella Man ,148238,Rosemarie DeWitt,0,boxer|boxing|dream|great depression|love,English,PG-13,88000000,2.35
Andrey Konchalovskiy,47,110,Nathan Lane,Action|Family|Fantasy|Musical,The Nutcracker in 3D ,2508,Richard E. Grant,0,box office flop|christmas|christmas eve|critically bashed|toy comes to life,English,PG,90000000,2.35
Gary Ross,175,140,Michael Angarano,Drama|History|Sport,Seabiscuit ,57661,Michael O'Neill,0,horse|horse racing|jockey|limp|seabiscuit,English,PG-13,87000000,2.35
Jan de Bont,114,113,Alan Ruck,Action|Adventure|Drama|Thriller,Twister ,144053,Jami Gertz,0,device|disaster|divorce|storm|tornado,English,PG-13,92000000,2.35
Rob Cohen,187,106,Vin Diesel,Action|Crime|Thriller,The Fast and the Furious ,272223,Jordana Brewster,2,eighteen wheeler|illegal street racing|truck|trucker|undercover cop,English,PG-13,38000000,2.35
Robert Zemeckis,221,143,Paul Sanchez,Adventure|Drama|Romance,Cast Away ,394317,Nick Searcy,1,christmas|island|love|survival|talking to inanimate object,English,PG-13,90000000,1.85
George Miller,206,108,Hugh Jackman,Animation|Comedy|Family|Music|Romance,Happy Feet ,132501,Elizabeth Daily,0,dance|emperor penguin|friend|penguin|song,English,PG,100000000,2.35
Paul Greengrass,239,108,Joan Allen,Action|Mystery|Thriller,The Bourne Supremacy ,348232,Oksana Akinshina,1,assassin|car chase|cia|hidden truth|one against many,English,PG-13,75000000,2.35
Wolfgang Petersen,142,124,Gary Oldman,Action|Adventure|Drama|Thriller,Air Force One ,146134,Dean Stockwell,1,ex soldier|hijacker|hostage|president|terrorist,English,R,85000000,2.35
Steven Soderbergh,186,116,Bernie Mac,Crime|Thriller,Ocean's Eleven ,402645,Elliott Gould,4,card dealer|casino|criminal mastermind|recruiting|ulcer,English,PG-13,85000000,2.35
Paul W.S. Anderson,228,110,Logan Lerman,Action|Adventure|Romance,The Three Musketeers ,88542,Orlando Bloom,8,box office flop|cardinal richelieu|critically bashed|duel|musketeer,English,PG-13,75000000,2.35
Genndy Tartakovsky,256,91,Adam Sandler,Animation|Comedy|Family|Fantasy,Hotel Transylvania ,164148,Jon Lovitz,2,dracula|hotel|invisible man|monster|transylvania,English,PG,85000000,1.85
Kevin Lima,222,107,Teala Dunn,Animation|Comedy|Family|Fantasy|Musical|Romance,Enchanted ,142496,Fred Tatasciore,2,fairy tale|lawyer|love|new york|prince,English,PG,85000000,2.35
,103,44,Scott Thompson,Crime|Drama|Horror|Mystery|Thriller,Hannibal             ,159910,Hettienne Park,1,blood|cannibalism|fbi|manipulation|psychiatrist,English,TV-14,,1.78
Daniel Espinosa,298,115,Ryan Reynolds,Action|Crime|Mystery|Thriller,Safe House ,166693,Sam Shepard,1,cia|cia agent|consulate|on the run|safe house,English,R,85000000,2.35
Kevin Lima,84,100,Eric Idle,Adventure|Comedy|Family,102 Dalmatians ,26413,Jim Carter,1,dog|parole|parole officer|prison|puppy,English,G,85000000,1.85
Brett Ratner,236,104,Gabourey Sidibe,Action|Comedy|Crime,Tower Heist ,110073,Judd Hirsch,5,apartment|fbi|fraud|heist|manager,English,PG-13,75000000,2.35
Nancy Meyers,157,138,Rufus Sewell,Comedy|Romance,The Holiday ,182757,Sarah Parish,3,book|composer|house|love|self esteem,English,PG-13,85000000,1.85
Tony Scott,81,140,Jake Busey,Action|Crime|Drama|Mystery|Thriller,Enemy of the State ,188116,Lisa Bonet,4,congressman|lawyer|nsa|on the run|surveillance,English,R,90000000,2.35
Nancy Meyers,187,120,Hunter Parrish,Comedy|Drama|Romance,It's Complicated ,69860,Zoe Kazan,2,affair|divorce|graduation|vomiting|watching television,English,R,85000000,1.85
Steven Soderbergh,238,122,Matt Damon,Crime|Thriller,Ocean's Thirteen ,256928,Brad Pitt,3,casino|heist|manmade earthquake|revenge|tunnel boring machine,English,PG-13,85000000,2.35
Roger Allers,107,83,Debra Messing,Adventure|Animation|Comedy|Family,Open Season ,65270,Jane Krakowski,1,bear|deer|forest|grizzly bear|hunter,English,PG,85000000,1.85
Neil Burger,459,139,Theo James,Adventure|Mystery|Sci-Fi,Divergent ,341058,Mekhi Phifer,2,army|brother sister relationship|dystopia|father son relationship|narrated by character,English,PG-13,85000000,2.35
Jean-Jacques Annaud,187,131,Gabriel Thomson,Drama|History|War,Enemy at the Gates ,188887,Clemens Schick,1,battle|german|russian|sniper|stalingrad,English,R,68000000,2.35
Peter Berg,151,104,Rosario Dawson,Action|Adventure|Comedy|Thriller,The Rundown ,82731,Ewen Bremner,1,amazon|bounty hunter|fight|hunter|jungle,English,PG-13,85000000,2.35
John McTiernan,80,130,Tom Noonan,Action|Adventure|Comedy|Fantasy,Last Action Hero ,106528,Joan Plowright,1,action hero|hero|magic|ticket|video store,English,PG-13,70000000,2.35
Rob Marshall,229,145,Mako,Drama|Romance,Memoirs of a Geisha ,119286,Karl Yune,1,coming of age|geisha|japan|jealousy|love,English,PG-13,85000000,2.35
Justin Lin,158,104,Zachery Ty Bryan,Action|Crime|Thriller,The Fast and the Furious: Tokyo Drift ,179500,Nikki Griffin,5,car|challenge|drift racing|drifting|tokyo japan,English,PG-13,85000000,2.35
Sarah Smith,190,97,Imelda Staunton,Adventure|Animation|Comedy|Family|Fantasy,Arthur Christmas ,35446,Michael Palin,1,christmas|christmas eve|elf|high tech|resentment,English,PG,100000000,1.85
Martin Brest,98,178,Brad Pitt,Drama|Fantasy|Romance,Meet Joe Black ,169023,Jake Weber,0,birthday|death|death personified|fear of death|wealth,English,PG-13,90000000,1.85
Andrew Davis,135,108,Rick Worthy,Action|Drama|Thriller,Collateral Damage ,61417,Jsu Garcia,1,bare chested boy|car explosion|colombia|explosion|terrorism,English,R,85000000,1.85
Bob Fosse,84,123,Ben Vereen,Comedy|Drama|Music|Musical,All That Jazz ,19228,Max Wright,0,dancer|editing|stand up comedian|surgery|vomiting,English,R,,1.85
Tarsem Singh,382,106,Nathan Lane,Adventure|Comedy|Drama|Family|Fantasy,Mirror Mirror ,70838,Danny Woodburn,1,kingdom|prince|princess|queen|snow,English,PG,85000000,1.85
Edgar Wright,393,112,Kieran Culkin,Action|Comedy|Fantasy|Romance,Scott Pilgrim vs. the World ,273921,Ellen Wong,0,band|dating|high school|hipster|rock band,English,PG-13,60000000,1.85
Jon Amiel,149,135,Tchéky Karyo,Action|Adventure|Sci-Fi|Thriller,The Core ,77029,Rekha Sharma,0,core|earth|natural disaster|pacemaker|scientist,English,PG-13,60000000,2.35
Peter Segal,94,109,Janet Jackson,Comedy|Romance|Sci-Fi,Nutty Professor II: The Klumps ,39391,Chris Elliott,1,alter ego|marriage|professor|scientist|serum,English,PG-13,65000000,1.85
Raja Gosnell,138,86,Linda Cardellini,Adventure|Comedy|Mystery,Scooby-Doo ,71424,Miguel A. Núñez Jr.,3,amusement park|island|motorcycle|scooby doo|tough girl,English,PG,84000000,1.85
Pete Travis,432,95,Jason Cope,Action|Sci-Fi,Dredd ,203458,Rakie Ayola,0,brutality|dark humor|female antagonist|female warrior|post apocalypse,English,R,35000000,2.35
Frank Coraci,173,107,Cameron Monaghan,Comedy|Drama|Fantasy|Romance,Click ,246492,Julie Kavner,1,architect|frozen time|obese man|remote control|stopped time,English,PG-13,70000000,1.85
George A. Romero,127,130,Hal Holbrook,Comedy|Fantasy|Horror,Creepshow ,29932,Adrienne Barbeau,0,anthology|child abuse|critically acclaimed|death|grindhouse,English,R,8000000,1.85
Brad Peyton,91,82,Sean Hayes,Action|Comedy|Family|Fantasy,Cats & Dogs: The Revenge of Kitty Galore ,10233,Katt Williams,0,cartoon on tv|cat|dog|kitty|special agent,English,PG,85000000,1.85
Doug Liman,238,88,Hayden Christensen,Action|Adventure|Sci-Fi|Thriller,Jumper ,243053,Tom Hulce,0,bank|based on novel|ice|teleportation|vault,English,PG-13,85000000,2.35
Guillermo del Toro,345,120,Iván Kamarás,Action|Adventure|Fantasy|Horror|Sci-Fi,Hellboy II: The Golden Army ,208422,Brian Steele,0,creature|elf|prince|rebellion|superhero,English,PG-13,85000000,1.85
David Fincher,377,162,Jake Gyllenhaal,Crime|Drama|History|Mystery|Thriller,Zodiac ,301279,Anthony Edwards,0,cartoonist|reporter|serial killer|zodiac|zodiac killer,English,R,65000000,2.35
Roger Spottiswoode,170,123,Michael Rapaport,Action|Mystery|Sci-Fi|Thriller,The 6th Day ,100001,Tony Goldwyn,1,clone|cloning|future|laser gun|murder,English,PG-13,82000000,2.35
Tom Shadyac,191,101,Steve Carell,Comedy|Drama,Bruce Almighty ,296904,Lisa Ann Walter,1,answer to prayer|breast expansion|pleading with god|supernatural power|walking on water,English,PG-13,81000000,1.85
Sylvester Stallone,424,113,Sylvester Stallone,Action|Adventure|Thriller,The Expendables ,270226,Jet Li,9,action hero|assassination attempt|explosion|machine gun|rescue mission,English,R,80000000,2.35
Brian De Palma,154,110,Kristin Scott Thomas,Action|Adventure|Thriller,Mission: Impossible ,300542,Vanessa Redgrave,0,disguise|mission|spy|stealing|traitor,English,PG-13,80000000,2.35
Gary Ross,673,142,Josh Hutcherson,Adventure|Drama|Sci-Fi|Thriller,The Hunger Games ,701607,Anthony Reynolds,0,fight to the death|game|massacre|self survival|suicide attempt,English,PG-13,78000000,2.35
Todd Phillips,383,102,Mason Lee,Comedy,The Hangover Part II ,375879,Mike Tyson,0,hotel|male frontal nudity|pubic hair|thailand|wedding,English,R,80000000,2.35
Tim Burton,153,126,Vincent Schiavelli,Action,Batman Returns ,215255,Andrew Bryniarski,0,box office hit|dc comics|gotham|mayor|penguin,English,PG-13,80000000,1.85
Tim Johnson,166,83,Steve Carell,Adventure|Animation|Comedy|Family,Over the Hedge ,127345,Catherine O'Hara,1,bear|food|forest|raccoon|turtle,English,PG,80000000,1.85
Dean DeBlois,180,85,Jason Scott Lee,Adventure|Animation|Comedy|Drama|Family|Fantasy|Sci-Fi,Lilo & Stitch ,117212,David Ogden Stiers,0,alien|escape|fugitive|hawaii|social worker,English,PG,80000000,1.66
Gary Winick,120,97,Julia Roberts,Comedy|Family|Fantasy,Charlotte's Web ,27838,Oprah Winfrey,0,barn|pig|piglet|spider|uncle,English,G,,1.85
Mimi Leder,125,120,Jon Favreau,Action|Drama|Romance|Sci-Fi|Thriller,Deep Impact ,135601,Robert Duvall,0,astronomer|comet|mission|president|secretary,English,PG-13,75000000,2.35
Dean Parisot,234,116,Anthony Hopkins,Action|Comedy|Crime|Thriller,RED 2 ,125036,Garrick Hagon,7,cia|cia agent|rescue|russian|team,English,PG-13,84000000,2.35
Peter Segal,134,113,Steve Reevis,Comedy|Crime|Sport,The Longest Yard ,130070,Dalip Singh,11,coach|convict|football|prison|warden,English,PG-13,82000000,2.35
Mike Mitchell,91,87,Jesse McCartney,Adventure|Animation|Comedy|Family|Fantasy|Music,Alvin and the Chipmunks: Chipwrecked ,22838,Lauren Gottlieb,0,chipmunk|cruise ship|football ball|overboard|tennis ball,English,G,75000000,1.85
Dennis Dugan,139,101,Adam Sandler,Comedy,Grown Ups 2 ,107817,Jon Lovitz,4,belching|number in title|party|reference to nicki minaj|sneezing,English,PG-13,80000000,1.85
Peter Segal,265,110,Dwayne Johnson,Action|Adventure|Comedy,Get Smart ,168172,Anne Hathaway,1,airplane|misunderstanding|obese woman|overweight woman|spy,English,PG-13,80000000,1.85
Nancy Meyers,145,128,Jon Favreau,Comedy|Drama|Romance,Something's Gotta Give ,91092,Paul Michael Glaser,1,beach|dating|doctor|heart attack|weekend,English,PG-13,80000000,1.85
Martin Scorsese,490,138,Joseph Sikora,Mystery|Thriller,Shutter Island ,786092,Nellie Sciutto,0,female prisoner|plot twist|self delusion|surprise ending|year 1954,English,R,80000000,2.35
Seth Gordon,141,88,Robert Duvall,Comedy|Drama|Romance,Four Christmases ,48500,Katy Mixon,2,airport|christmas|news broadcast|tv broadcast|tv news,English,PG-13,80000000,1.85
Chris Wedge,163,91,Drew Carey,Adventure|Animation|Comedy|Family|Sci-Fi,Robots ,103022,Paula Abdul,1,actor voicing multiple characters|box office hit|coffee|plate|robot,English,PG,75000000,1.85
John Woo,155,138,CCH Pounder,Action|Crime|Sci-Fi|Thriller,Face/Off ,283967,Joan Allen,0,death of child|face|face transplant|prison|terrorist,English,R,80000000,2.35
Adam Shankman,144,99,Carmen Electra,Comedy|Family|Fantasy|Romance,Bedtime Stories ,72326,Kathryn Joosten,0,2000s|bedtime story|elephant|handyman|tween girl,English,PG,80000000,2.35
Sam Mendes,226,117,Jennifer Jason Leigh,Crime|Drama|Thriller,Road to Perdition ,200359,Liam Aiken,0,1930s|blood|gun|on the run|revenge,English,R,80000000,2.35
Dennis Dugan,204,117,Bailee Madison,Comedy|Romance,Just Go with It ,172878,Kevin Nealon,1,chick flick|hawaii|love|plastic surgeon|woman wearing a string bikini,English,PG-13,80000000,1.85
,95,54,Royce Johnson,Action|Adventure|Crime|Drama|Sci-Fi|Thriller,Daredevil             ,213483,Charlie Cox,0,corruption|lawyer|partnership|superhero|vigilante,English,TV-MA,,16.0
Simon West,139,123,Monica Potter,Action|Crime|Thriller,Con Air ,225282,Dave Chappelle,6,army rangers|convict|criminal|escape|prison,English,R,75000000,2.35
D.J. Caruso,215,118,Ethan Embry,Action|Mystery|Thriller,Eagle Eye ,150764,Cameron Boyce,3,audio surveillance|death|pentagon|technology|twin brother,English,PG-13,80000000,2.35
Anthony Minghella,198,154,Natalie Portman,Adventure|Drama|History|Romance|War,Cold Mountain ,118483,Charlie Hunnam,3,civil war|mountain|soldier|well|wounded soldier,English,R,79000000,2.35
Albert Hughes,325,118,Mila Kunis,Action|Adventure|Drama|Thriller,The Book of Eli ,227072,Gary Oldman,0,blind|book|long take|post apocalypse|water,English,R,80000000,2.35
Les Mayfield,53,90,Jodi Benson,Comedy|Family|Sci-Fi,Flubber ,63625,Sam Lloyd,1,college|flubber|flying rubber|professor|wedding,English,PG,80000000,1.85
Jan de Bont,167,113,Lili Taylor,Fantasy|Horror|Mystery|Thriller,The Haunting ,58184,Virginia Madsen,0,greenhouse|haunted house|horror movie remake|mansion|old house,English,PG-13,80000000,2.35
Joe Pytka,46,88,Wayne Knight,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi|Sport,Space Jam ,112167,Michael Jordan,1,alien|basketball|basketball game|cult film|monstars,English,PG,80000000,1.77
Shawn Levy,147,93,Henry Czerny,Adventure|Comedy|Crime|Family|Mystery,The Pink Panther ,65499,William Abadie,0,diamond|france|investigation|pink panther|soccer,English,PG,65000000,1.85
Scott Derrickson,276,104,Jon Hamm,Drama|Sci-Fi|Thriller,The Day the Earth Stood Still ,139423,Juan Riedinger,0,alien|earth|giant robot|military|scientist,English,PG-13,80000000,2.35
Richard Donner,80,135,Alex McArthur,Action|Crime|Mystery|Romance|Thriller,Conspiracy Theory ,76099,Michael Potts,1,conspiracy|fbi|mk ultra|newsletter|taxi,English,R,75000000,2.35
David Ayer,406,134,Logan Lerman,Action|Drama|War,Fury ,303185,Jim Parrack,4,battle|battlefield|brutality|combat|tank,English,R,68000000,2.35
Ivan Reitman,97,98,Anne Heche,Action|Adventure|Comedy|Romance,Six Days Seven Nights ,60910,Amy Sedaris,2,airplane|island|pilot|storm|thunderstorm,English,PG-13,70000000,2.35
Eric Brevig,143,80,Tom Cavanagh,Adventure|Animation|Comedy|Family,Yogi Bear ,16385,Josh Robert Thompson,0,bear|mayor|park|sabotage|yogi bear,English,PG,80000000,1.85
Kelly Asbury,106,83,Charles Napier,Adventure|Animation|Family|Western,Spirit: Stallion of the Cimarron ,44143,Zahn McClarnon,0,cavalry|escape|herd|stallion|wild stallion,English,G,80000000,2.35
Frank Coraci,178,102,Leslie Bibb,Comedy|Family|Romance,Zookeeper ,44662,Nicholas Turturro,1,champagne bottle|coca cola|jewelry box|red bull|zoo,English,PG,80000000,2.35
Stephen Hopkins,102,130,William Hurt,Action|Adventure|Family|Sci-Fi|Thriller,Lost in Space ,58402,June Lockhart,0,based on tv series|remake|robot|scientist|spaceship,English,PG-13,80000000,2.35
Jonathan Demme,209,129,Dorian Missick,Drama|Mystery|Sci-Fi|Thriller,The Manchurian Candidate ,86422,Jose Pablo Cantillo,1,brainwashed assassin|conspiracy|critically acclaimed|mother son relationship|soldier,English,R,80000000,1.85
Henry Jaglom,19,117,Stephen Dillane,Drama|Romance,Déjà Vu ,666,Michael Brandon,0,american|love|pin|ruby|stranger,English,PG-13,,1.85
Genndy Tartakovsky,152,89,Adam Sandler,Animation|Comedy|Family|Fantasy,Hotel Transylvania 2 ,56501,Fran Drescher,0,california|dracula|hotel|transylvania|vampire,English,PG,80000000,1.85
,31,25,Agnes Moorehead,Comedy|Family|Fantasy,Bewitched             ,11427,Dick York,1,connecticut|magic|marriage|witch|witchcraft,English,TV-G,,4.0
James Algar,129,74,Penn Jillette,Animation|Family|Fantasy|Music,Fantasia 2000 ,27543,Russi Taylor,0,abstract|ark|disney|fairy tale|piano,English,G,80000000,1.78
Simon Wells,124,96,Alan Young,Action|Adventure|Sci-Fi,The Time Machine ,103787,Josh Stamberg,0,hunter|scientist|time machine|time travel|time travel romance,English,PG-13,80000000,2.35
Ron Underwood,35,114,Mika Boorem,Action|Adventure|Family|Fantasy|Thriller,Mighty Joe Young ,22955,David Paymer,0,animal|california|gorilla|hunter|poacher,English,PG,90000000,1.85
Dominic Sena,166,99,Don Cheadle,Action|Crime|Thriller,Swordfish ,155532,Sam Shepard,4,computer|secret agent|terrorism|told in flashback|wearing a sound wire,English,R,80000000,2.35
Martin Campbell,137,129,Nick Chinlund,Action|Adventure|Western,The Legend of Zorro ,71574,Adrian Alonso,1,california|fight|hero|mask|zorro,Spanish,PG,75000000,2.35
Vincent Ward,121,113,Annabella Sciorra,Drama|Fantasy|Romance,What Dreams May Come ,83560,Rosalind Chao,1,heaven|hell|soul|soul mate|suicide,English,PG-13,85000000,2.35
Steven Brill,87,90,Jon Lovitz,Comedy|Fantasy,Little Nicky ,80639,Michael McKean,0,angel|devil|flask|hell|the devil,English,PG-13,80000000,1.85
Terry Gilliam,233,118,Heath Ledger,Action|Adventure|Comedy|Fantasy|Thriller,The Brothers Grimm ,98472,Mackenzie Crook,2,creature|curse|exorcism|girl|village,English,PG-13,88000000,1.85
Tim Burton,132,106,Martin Short,Action|Comedy|Sci-Fi,Mars Attacks! ,172217,Lukas Haas,3,alien|general|martian|president|weapon,English,PG-13,70000000,2.35
Lucile Hadzihalilovic,63,81,Roxane Duran,Drama|Horror|Mystery|Sci-Fi,Evolution ,979,Julie-Marie Parmentier,0,boy|giving birth|nurse|sea|ultrasonography,French,,,2.35
Lee Tamahori,95,117,Harold Perrineau,Action|Adventure|Drama|Thriller,The Edge ,55913,Bart the Bear,2,bear|billionaire|crash|survival tactics|wilderness,English,R,,2.35
Jonathan Mostow,258,89,Devin Ratray,Action|Sci-Fi|Thriller,Surrogates ,151424,Boris Kodjoe,5,android|fbi agent|future|murder|robot,English,PG-13,80000000,2.35
Roger Donaldson,162,145,Jon Foster,Drama|History|Thriller,Thirteen Days ,45231,Bruce Thomas,1,blockade|crisis|cuba|missile|president,English,PG-13,80000000,1.85
Rob Cohen,61,114,Viggo Mortensen,Action|Adventure|Drama|Thriller,Daylight ,53132,Amy Brenneman,0,collapsing tunnel|explosion|new jersey|tunnel|weimaraner,English,PG-13,80000000,1.85
Barry Cook,113,87,Tiya Sircar,Adventure|Animation|Family,Walking with Dinosaurs 3D ,8913,Madison Rothschild,0,brother|dinosaur|head butt|hero|orphan,English,PG,80000000,2.35
Roger Christian,174,119,Michael Byrne,Action|Adventure|Sci-Fi,Battlefield Earth ,65464,John Topor,0,alien|bad acting|pulp fiction|resistance fighter|voyager golden record,English,PG-13,44000000,2.35
Joe Dante,101,91,Jenna Elfman,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,Looney Tunes: Back in Action ,24183,Heather Locklear,4,diamond|duck|monkey|spy|stuntman,English,PG,80000000,2.35
Rob Marshall,205,118,Elio Germano,Drama|Musical|Romance,Nine ,37446,Andrea Di Stefano,4,based on stage musical based on film|child abuse|film director|italian|mistress,English,PG-13,80000000,2.35
Richard Donner,123,116,Gerard Butler,Action|Adventure|Sci-Fi,Timeline ,53057,Ethan Embry,0,castle|france|professor|student|time machine,English,PG-13,80000000,2.35
Kevin Costner,79,177,Brian Anthony Wilson,Action|Adventure|Drama|Sci-Fi,The Postman ,56403,Larenz Tate,1,drifter|escape|hope|postman|usa,English,R,80000000,2.35
George Miller,61,97,Elizabeth Daily,Adventure|Comedy|Drama|Family|Fantasy,Babe: Pig in the City ,24868,Glenne Headly,0,animal|farm|farmer|hotel|pig,English,G,80000000,1.85
Breck Eisner,202,106,Joseph Gilgun,Action|Adventure|Fantasy,The Last Witch Hunter ,58752,Lotte Verbeek,0,box office flop|burned to death|magic|witch|witch hunter,English,PG-13,90000000,2.35
Antony Hoffman,145,106,Val Kilmer,Action|Sci-Fi|Thriller,Red Planet ,47612,Tom Sizemore,1,astronaut|mars|robot|robot as menace|survival,English,PG-13,70000000,2.35
Luc Besson,101,94,Adam LeFevre,Adventure|Animation|Family|Fantasy,Arthur and the Invisibles ,25843,Penny Balfour,0,boy|debt|garden|princess|treasure,English,PG,86000000,2.35
Jacques Perrin,113,104,Jacques Perrin,Documentary|Drama,Oceans ,7630,Rie Miyazawa,0,damselfish|ocean habitat|ocean life|razorfish|spider crab,French,G,40000000,2.35
Peter Hyams,113,102,Catherine McCormack,Action|Adventure|Horror|Sci-Fi|Thriller,A Sound of Thunder ,16474,Jemima Rooper,0,butterfly|hunter|time|time travel|wave,English,PG-13,52000000,2.35
Paul W.S. Anderson,272,105,Currie Graham,Action|Adventure|Drama|History|Romance,Pompeii ,84508,Dylan Schombing,0,arena|lava bomb|mount vesuvius|pompeii|slave,English,PG-13,80000000,2.35
Andrés Couturier,3,89,David Hoffman,Animation|Family,Top Cat Begins ,230,Ben Diskin,0,,Spanish,PG,8000000,
Ron Howard,205,135,Austin Pendleton,Biography|Drama,A Beautiful Mind ,610568,Judd Hirsch,0,conspiracy|cryptography|mathematician|mental illness|nobel prize,English,PG-13,58000000,1.85
Roger Allers,186,73,Nathan Lane,Adventure|Animation|Drama|Family|Musical,The Lion King ,644348,Niketa Calame,0,king|prince|scar|uncle|unnecessary guilt,English,G,45000000,1.66
Brad Peyton,178,94,Dwayne Johnson,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,Journey 2: The Mysterious Island ,67296,Kristin Davis,3,gold|hurricane|island|mountain|mysterious island,English,PG,79000000,1.85
Cody Cameron,169,95,Khamani Griffin,Animation|Comedy|Family|Fantasy|Sci-Fi,Cloudy with a Chance of Meatballs 2 ,64387,Melissa Sturm,0,food|inventor|island|orangutan|scientist,English,PG,78000000,2.35
Brett Ratner,210,124,Anthony Hopkins,Crime|Drama|Thriller,Red Dragon ,204063,Emily Watson,0,criminal profile|fbi agent|madman|tabloid reporter|tragic villain,English,R,78000000,2.35
Joe Johnston,140,136,Viggo Mortensen,Action|Adventure|Western,Hidalgo ,67856,Peter Mensah,1,arab|cowboy|horse|race|sheik,English,PG-13,100000000,2.35
Dennis Dugan,156,91,Adam Sandler,Comedy,Jack and Jill ,60370,Tim Meadows,2,advertising|advertising executive|commercial|protective male|twins,English,PG,79000000,1.85
John Singleton,150,107,Cole Hauser,Action|Crime|Thriller,2 Fast 2 Furious ,191912,Mo Gallini,5,bust|racing|shotgun|street racing|undercover agent,English,PG-13,76000000,2.35
Mark Osborne,119,108,James Franco,Adventure|Animation|Drama|Family|Fantasy,The Little Prince ,28276,Mackenzie Foy,1,aviator|based on book|girl|little girl|the little prince,English,PG,81200000,2.35
Oliver Hirschbiegel,232,99,Veronica Cartwright,Sci-Fi|Thriller,The Invasion ,65037,Jeremy Northam,2,alien|epidemic|psychiatrist|space shuttle|virus,English,PG-13,80000000,1.85
Des McAnuff,49,92,Janeane Garofalo,Adventure|Animation|Comedy|Family|Fantasy,The Adventures of Rocky & Bullwinkle ,16611,Jonathan Winters,0,deforestation|fbi|lighthouse|moose|squirrel,English,PG,76000000,1.85
Yarrow Cheney,165,87,Eric Stonestreet,Animation|Comedy|Family,The Secret Life of Pets ,24407,Albert Brooks,0,animal control|lost animal|mongrel|pet|terrier,English,PG,75000000,1.85
Stephen Norrington,202,110,Max Ryan,Action|Adventure|Fantasy|Sci-Fi,The League of Extraordinary Gentlemen ,141533,Tony Curran,3,box office flop|captain nemo|dorian gray|invisible man|steampunk,English,PG-13,78000000,2.35
Pierre Coffin,306,98,Miranda Cosgrove,Animation|Comedy|Family|Sci-Fi,Despicable Me 2 ,286877,Steve Coogan,0,dating|minion|overprotective father|undercover spy|woman agent,English,PG,76000000,1.85
Roland Emmerich,185,154,Adam Baldwin,Action|Adventure|Sci-Fi,Independence Day ,430055,Mary McDonnell,0,alien|area 51|military|spacecraft|spaceship,English,PG-13,75000000,2.35
Steven Spielberg,177,129,Richard Schiff,Action|Adventure|Sci-Fi,The Lost World: Jurassic Park ,278362,Vanessa Lee Chester,0,capture|dinosaur|island|jurassic|jurassic park,English,PG-13,73000000,1.85
Eric Darnell,181,86,Cedric the Entertainer,Adventure|Animation|Comedy|Family,Madagascar ,266636,Andy Richter,0,escape|jungle|lemur|madagascar|zoo,English,PG,75000000,1.85
Alfonso Cuarón,372,109,Danny Huston,Drama|Sci-Fi|Thriller,Children of Men ,361767,Rita Davies,0,chaos|england|long take|survival|violence,English,R,76000000,1.85
Bryan Singer,290,104,Tyler Mane,Action|Adventure|Sci-Fi,X-Men ,452928,Bruce Davison,0,first part|mutant|professor|superhero|superhero team,English,PG-13,75000000,2.35
Timur Bekmambetov,316,110,Morgan Freeman,Action|Crime|Fantasy|Thriller,Wanted ,299852,Common,0,assassin|bobble head doll|femme fatale|rejuvenation|strong female lead,English,R,75000000,2.35
Michael Bay,122,136,Michael Biehn,Action|Adventure|Thriller,The Rock ,259492,Bokeem Woodbine,1,alcatraz|fbi|general|hostage|rocket,English,R,75000000,2.35
Carlos Saldanha,164,115,Ray Romano,Action|Adventure|Animation|Comedy|Family|Fantasy,Ice Age: The Meltdown ,194249,Jay Leno,0,flood|mammoth|no opening credits|squirrel|valley,English,PG,80000000,1.85
Peter Segal,147,99,Peter Dante,Comedy|Romance,50 First Dates ,266103,Allen Covert,2,dream|hawaii|hawaiian shirt|short term memory loss|veterinarian,English,PG-13,75000000,2.35
Adam Shankman,219,117,Elijah Kelley,Comedy|Drama|Family|Music|Musical|Romance,Hairspray ,98693,Paul Dooley,9,audition|best friend|dance|friend|tv dance show,English,PG,75000000,2.35
Renny Harlin,167,125,Alan Ford,Horror|Mystery|Thriller,Exorcist: The Beginning ,28635,Izabella Scorupco,0,archeologist|church|excavation|faith|relic,English,R,50000000,2.0
David Kellogg,70,110,Rene Auberjonois,Action|Adventure|Comedy|Family|Sci-Fi,Inspector Gadget ,36491,Rupert Everett,0,actor playing multiple roles|claw|gadget|inspector|police,English,PG,75000000,1.85
Louis Leterrier,384,125,Common,Crime|Mystery|Thriller,Now You See Me ,447979,Michael Kelly,6,bank|fbi|heist|interpol|magician,English,PG-13,75000000,2.35
Dennis Dugan,179,102,Adam Sandler,Comedy,Grown Ups ,181443,Salma Hayek,4,basketball|coach|daughter|high school|high school basketball,English,PG-13,80000000,1.85
